,A,Rgg
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,4.0227888008,0.0741824689
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,-1.0933855554,0.43303537680000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-1.0026646682,0.4562985726
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,2.9282230797,0.1173368847
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,3.0080334467,-0.0007781015000000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,4.2056242133,-0.4389236562
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,3.6375309091,-0.2456946666
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,3.0851768412,-0.4780940208
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,3.1851435995,-0.0299239895
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,3.0012864128,-0.0450581804
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,2.2100657205,-0.1193711014
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,3.7255716323,-0.0192701185
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,2.8037322791,-0.049021866500000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,1.7947926793,-0.8059073689
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,3.0400449201,-0.8271559575
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,2.9577686969,-0.8444096838
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,2.6559613657,0.11556268260000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,2.8050630373,-0.2395130111
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,2.5426210538,-0.9758026571
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,2.6956726548,-0.0650059899
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,5.0202569769,-1.5015103588
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,2.9366332566,0.015510257000000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,4.0389424175,-0.18384027800000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,4.8627485044,-0.0810193817
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,4.4359419864,-0.6978139072
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.4757146109,0.09203766120000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.45923237910000003,-0.0949694338
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.0164822317,0.0029317726000000002
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,7.8787964154,-0.6528048341
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,7.2007543091,-0.3378127718
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,7.5469096261,-0.5043307363
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,15.0156638086,-0.4041882651
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,0.7464482511,-0.09971419200000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.46663934020000003,0.0928856918
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.036467102700000004,0.12855483010000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,-0.2433418082,-0.1217263299
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,-2.1106579252,-2.323550721
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,-0.9723062057,-1.8339861340999999
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,-1.8653777630000001,-2.1706249803
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,0.43042771430000004,-1.9832154019
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,1.9211296516,-1.739346649
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,0.9972209194,-1.7044556259
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,0.7733374028000001,-1.7516802706
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,0.5483172991,-1.8215726777999999
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,5.8067728385,0.1989844983
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,6.9072870528,0.16764172200000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-1.485393213,0.2901393054
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-2.1122972248,0.2623467075
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,1.2045031064,0.7005621799
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,0.806372053,0.4795116394
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.4470259689,0.5002737021
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,-1.5231023815,0.256231056
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,-1.6877460242,0.3063533829
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,-1.1362765025,0.1969957138
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,2.4654269657,0.3903251345
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,-1.6386994438,-2.8945661327
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,2.6824147354,0.6365533287
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,-1.2693738955,-2.5130108469
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,2.4613918957,0.2931705465
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,-0.9332581671,-2.4304019921
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-1.342091046,-0.8781348266000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,-6.9759402902000005,-0.281073821
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-0.3084723285,-0.3301283102
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,-6.901591755,-0.3239638642
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-0.8073377538000001,-0.4720843845
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-7.7446662998,-0.7406570729
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,-0.4265433751,0.0363424476
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-0.776409985,-0.051574526600000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,1.2029533601,0.015232078900000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,6.4665391997,0.8043943383000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,6.6783301884,0.8721696616
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,7.038722462,0.576403167
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,0.147053594,0.4483911164
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,4.7231611308,-0.0463050736
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,0.9573398278,0.4566719101
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,5.3976139365,0.6175256393
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,5.7888493791,0.5897644666
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,4.8493990687,0.6502410433
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,9.8956837741,-0.683193072
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,9.5740899644,-0.6841437886
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,10.041550135,-0.5393600231
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,5.1742828851,-1.2691567594
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,5.9199269127,-0.9506454024000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,5.0171340246,-0.7094345453
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,7.5584144703,0.0660069241
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,7.4185360244,-0.0486723482
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,7.4517845871,0.2684010914
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,5.8882021761,0.11367788690000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,13.3653882647,0.4691256012
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,13.8950131952,0.025091231500000002
