,A,Crp,GlpR
ssw__wt_xyl__1,-0.4693905692463599,0.6151089029999994,-1.5704648099999992
ssw__glc_ale1__1,20.089059164691776,0.31199771300000023,-0.20385675599999864
ssw__glc_ale2__1,1.1469762062398947,0.5353218630000001,-0.9669980789999988
ssw__glc_ale3__1,0.7871826650800116,0.4454840030000007,-1.2873648349999989
ssw__glyc_ale1__1,19.219047691937806,0.2988789030000003,-0.13121143299999893
ssw__glyc_ale2__1,0.4422370594570982,0.3021156230000006,-0.9925779629999988
ssw__xyl_ale1__1,2.341248778292239,-0.2147884219999998,-0.3600672919999983
ssw__xyl_ale2__1,0.4728018300269985,0.026451148999999674,-0.2552692529999989
ssw__xyl_ale3__1,1.977125096929878,-0.3138359289999997,-0.34451656699999944
ssw__glc_ac_ac2__1,0.7108607195401571,0.5069351229999999,-1.5522769789999993
ssw__glc_ac_glc1__1,0.979353926221492,-0.42053636400000016,-1.2686728759999992
ssw__glc_glyc_glc__1,18.124333890195345,0.565682133000001,-1.897700497999999
ssw__glc_glyc_glyc__1,19.309978718452,0.3070424930000009,-1.9311531379999989
ssw__glc_xyl_glc__1,-0.386411388971324,0.029020071999999782,-0.8172944049999993
ssw__glc_xyl_xyl__1,0.2350986677777627,-0.2438474470000003,-0.5668599279999986
ica__wt_glc__1,-0.3042784487469983,-0.02120516499999958,-1.231241869999999
ica__wt_glc__2,0.013056522698936,-0.013075077999999962,-1.1627573889999994
ica__wt_glc__3,-0.1609259082375665,0.0930502690000008,-0.9901835719999984
ica__wt_glc__4,-0.6457925360236161,0.399858493,-1.195954056999999
ica__arg_sbt__1,3.8583421050857374,0.17296083299999945,-1.5281805929999992
ica__arg_sbt__2,3.245000178360556,0.4931735029999995,-1.270961892999999
ica__cytd_rib__1,3.947619301209144,0.5032386530000004,-2.2418384379999985
ica__cytd_rib__2,4.054656675118397,0.4864851229999996,-2.101720036999999
ica__gth__1,1.7781072962975937,-0.3447319570000005,-1.3292952889999992
ica__gth__2,2.235568766126788,-0.5509396859999995,-0.7702354369999984
ica__leu_glcr__1,0.8381754923075251,1.0260792930000004,-1.1466694979999987
ica__leu_glcr__2,1.0895873378111145,0.964590953,-1.2203529339999992
ica__met_glc__1,-0.1835992156574478,-0.0020434050000002198,-1.2756640629999991
ica__met_glc__2,-0.3171665403182836,-0.06998528999999998,-1.2617450439999989
ica__no3_anaero__1,-1.076618635279959,0.16601552300000044,-1.5122890039999994
ica__no3_anaero__2,-0.954118997857586,0.1659366630000001,-1.3997765619999996
ica__phe_acgam__1,-0.5630873456935703,0.08710832000000046,-1.164851754999999
ica__phe_acgam__2,-0.564955570921184,0.07371453200000032,-1.0748391959999992
ica__thm_gal__1,0.7085307862918256,0.41909228299999945,-1.188940303999999
ica__thm_gal__2,0.8797728956913115,0.4125785030000007,-1.005169026
ica__tyr_glcn__1,-0.2449284164627748,0.211699823,-1.235228671999998
ica__tyr_glcn__2,-0.005325780733,0.2492893929999997,-1.1503053939999992
ica__ura_pyr__1,-0.0576909492217627,0.8236668229999999,-1.364621625999999
ica__ura_pyr__2,0.1713525520895608,1.104333543000001,-1.3353823429999991
ica__wt_glc__5,-0.5231191526203459,0.3105034530000008,-1.024161821
ica__wt_glc__6,-0.8387120487159333,0.3376528430000008,-0.9850550069999988
ica__bw_delpurR_cytd__1,-0.7088208438904771,-0.14178576699999998,-1.0470271549999994
ica__bw_delpurR_cytd__2,-0.6921650836469222,0.2554834630000009,-0.9591620729999991
ica__ade_glc__1,-1.1610797966527722,0.27079068299999953,-0.9921211519999984
ica__ade_glc__2,-0.8806450824029356,-0.10748262699999957,-0.9578064229999992
ytf__wt_glc__1,0.1409591367901513,0.34000217300000024,-1.028978314999999
ytf__wt_glc__2,0.2410073831319858,0.487174103000001,-1.0767676219999984
ytf__delyafC__1,0.3208139801754956,0.518280163,-1.3022897349999996
ytf__delyafC__2,0.4969385696232947,0.558626223000001,-1.3657660669999991
ytf__delyeiE__1,0.0641493201515677,0.4528218430000006,-0.5602020049999991
ytf__delyeiE__2,-0.4892867191787959,0.3693801830000005,-0.6169143309999994
ytf__delyiaJ__1,0.2092360990238119,0.4900788630000008,-1.3789830579999984
ytf__delyiaJ__2,0.3084472925834996,0.4743345229999996,-1.470334692999999
ytf__delyieP__1,-0.1439683856267703,0.8306116230000011,-1.1104052709999994
ytf__delyieP__2,0.0551977623440056,0.7498248230000009,-1.2680230569999988
ytf__wt_ph5__1,-0.3133793374718812,0.3985759630000008,-0.9808921059999998
ytf__wt_ph5__2,-0.4269758025709766,0.4747397030000009,-0.8338710919999981
ytf__wt_ph8__1,-0.895570331254431,0.2756429229999995,-0.9193239549999994
ytf__wt_ph8__2,-0.188045082680351,0.2681548629999995,-0.9763459379999988
ytf__delybaO__1,0.6867895314953507,0.5823761830000009,-1.624385692999999
ytf__delybaO__2,0.5632553973001351,0.6367440230000003,-1.269982563999999
ytf__delybaQ__1,-0.3385385098171922,0.3329404930000006,-1.1067485629999991
ytf__delybaQ__2,-0.5104121003239658,0.3236855130000009,-0.9040879639999986
ytf__delybiH__1,0.7313360309356046,0.6363319829999998,-1.5298214519999993
ytf__delybiH__2,0.9124190175358716,0.5546718429999995,-1.607655627999999
ytf__delydcI_ph5__1,-0.6957478487836251,0.36809995299999976,-0.946729261999999
ytf__delydcI_ph5__2,-0.3596544725958862,0.4226014830000011,-0.8363155959999986
ytf__delydcI_ph8__1,-0.6181046680489698,0.3631957630000002,-0.8726686869999982
ytf__delydcI_ph8__2,-1.0515953471061077,0.3071113430000008,-1.2620496919999988
ytf__delyddM__1,-0.4287995326914069,0.8218948030000011,-0.7324001149999989
ytf__delyddM__2,-0.5533393666723668,0.8320546029999996,-0.686167789999999
ytf__delyheO__1,0.3686285088413181,0.5961686430000004,-1.6912771429999989
ytf__delyheO__2,0.2925744584507927,0.6336565129999999,-1.344137266999999
fps__bw_glc__1,-0.8867665437428918,0.23073483299999964,-0.9394622849999994
fps__bw_glc__2,-1.2137882416621262,0.16040873300000058,-1.0936161519999985
fps__fps_thrA_ale1__1,-0.7788359777857464,0.3327312029999998,-0.6811742239999994
fps__fps_thrA_ale1__2,-1.247115792441417,0.3516250830000001,-0.7739284589999986
fps__fps_thrA_ale2__1,-0.6542251449794888,0.22966762300000101,-0.7793000529999992
fps__fps_thrA_ale2__2,-0.8554178362769814,0.28896753300000105,-0.7031317799999997
fps__fps_serB_ale1__1,-1.0371479388405842,0.2630278130000008,-0.8269714429999988
fps__fps_serB_ale1__2,-0.9268451762967322,0.3896577630000007,-0.7468777389999994
fps__fps_serB_ale4__1,-0.7431655462352691,0.20591431300000096,-0.9983097719999988
fps__fps_serB_ale4__2,-0.3681160725613672,0.3602136930000004,-0.9161079719999988
fps__fps_ptsI_ale1__1,2.1932032490314275,0.045779202000000296,-1.5180429969999991
fps__fps_ptsI_ale1__2,3.0827489089703706,0.14486478300000094,-1.336230110999999
fps__fps_ptsI_ale3__1,17.493049703135437,0.2525903130000007,-1.2203552449999986
fps__fps_ptsI_ale3__2,16.972814680918084,0.22323634299999995,-1.3260563149999989
pal__lyx_ale2_f6__1,2.1668674871343736,0.3334221829999997,-1.0985161009999986
pal__lyx_ale2__1,2.1185753487304484,0.2649081029999998,-0.6269495019999987
pal__lyx_ale2__2,2.394780918546537,0.3071416530000004,-0.593922287999999
pal__lyx_ale4__1,2.533132742878448,-0.057655872999999865,-1.0543584649999989
pal__lyx_ale4__2,3.0199302718430387,-0.07060586499999921,-1.040247514999999
pal__5drib_ale10_f18__1,3.865854096851961,-0.06913953699999986,-1.1217677999999989
pal__5drib_ale10_f18__2,3.741027487486436,-0.022394786999999642,-1.1250886569999985
pal__5drib_ale10__1,5.289106626322133,0.4018362730000007,-0.7390936319999986
pal__arab_ale14_f9__1,1.7778997539296926,0.24554710299999985,-0.7630215950000006
pal__arab_ale14_f9__2,1.1213474864363304,0.4127220729999994,-0.8317769379999991
pal__arab_ale14__1,0.4446183627540856,0.3767839330000005,-0.7771742109999993
pal__arab_ale14__2,0.4497480766968387,0.3756092130000006,-0.8029038739999992
pal__arab_ale16__1,1.7247123465890812,0.02985453700000029,-0.3086775539999991
pal__arab_ale16__2,1.289370184185726,0.10976642500000013,-0.5050497039999993
pal__tartr_ale26_f10__1,2.103382573241152,0.3119472930000011,-0.8644406809999996
pal__tartr_ale26_f10__2,2.0858532678252746,0.19927317299999991,-1.138193907999999
pal__tartr_ale26__1,2.345809768551384,0.3850793330000002,-0.9000170059999997
pal__tartr_ale26__2,2.491811909853855,0.334463263,-0.9127629029999992
pal__tartr_ale28_f10__1,3.37387524752508,-0.003712276999999986,-1.2221449509999998
pal__tartr_ale28_f10__2,2.0934162940378536,-0.0986905509999989,-1.200211863999999
pal__tartr_ale28__1,1.8262887409837032,0.27296854300000106,-1.079483641999999
pal__tartr_ale28__2,1.348964290149717,0.2684948929999997,-0.8421601649999992
efeU__delmenFentC_citr__1,0.246928130543889,0.4221979430000005,-1.1373905599999992
efeU__delmenFentC_citr__2,0.1443352891362087,0.5677252629999998,-1.128522758999999
efeU__delmenFentC__1,0.0558765938708217,0.6961985229999996,-1.1862686049999986
efeU__delmenFentC__2,-0.0852207476821339,0.7362106530000005,-1.1231258919999982
efeU__menFentC_ale39__1,1.587891330133399,0.5420487930000011,-1.7249671799999993
efeU__menFentC_ale39__2,1.5777105975927768,0.5730386230000004,-1.7793028089999992
efeU__menFentC_ale29__1,1.4000809509755976,0.9115027730000004,-1.0704866429999988
efeU__menFentC_ale29__2,1.8670852438984604,0.9432762930000004,-1.0986978419999982
efeU__menFentC_ale30__1,0.0906488551292326,0.10668520800000003,-0.7147460219999981
efeU__menFentC_ale30__2,-0.3179558512622075,0.06397155600000026,-0.7907187529999975
efeU__menFentCubiC_ale36__1,-0.1316812130642979,0.8218575829999999,-0.7490900679999974
efeU__menFentCubiC_ale36__2,-0.0327675109938336,0.6481697730000011,-0.6647289019999985
efeU__menFentCubiC_ale37__1,0.16219913335608,0.8430776529999999,-0.5608385029999985
efeU__menFentCubiC_ale37__2,0.4668905785067649,0.8884085729999995,-0.7817858519999987
efeU__menFentCubiC_ale38__1,1.7859592353631044,0.3484389429999997,-0.649210941999999
efeU__menFentCubiC_ale38__2,1.906349527036381,0.30990829299999945,-0.8741335479999988
misc2__salc_glc__1,-0.8937095355779009,-0.03094168600000025,-0.9368265749999988
misc2__salc_glc__2,-0.4454684796773832,-0.041858421999998896,-0.7069336769999985
misc2__dbcn_glc__1,-1.0590615865781003,-0.41418928399999894,-0.8985417719999989
misc2__dbcn_glc__2,-0.6189554358855033,-0.32218037899999885,-0.9113828159999996
misc2__tyr_glc__1,-0.3563921144529328,0.4823384130000008,-1.0620900369999982
misc2__tyr_glc__2,-0.3495899323237544,0.5197261330000007,-0.9217179789999994
misc2__arg_cytd__1,-0.7314116825367334,0.10509646700000096,-0.8585983769999981
misc2__arg_cytd__2,-0.5852494744628559,0.09710128400000073,-0.8884648039999989
misc2__delyheO_pyr__1,0.9040832949525276,1.0004127829999998,-0.9158523109999992
misc2__delyheO_pyr__2,0.8692664552885698,1.0134814930000005,-1.245480753999999
misc2__dellon_glc__1,-0.3724062930169816,0.4872481129999997,-0.7409565199999992
misc2__dellon_glc__2,0.1151283415662118,0.2154419530000009,-1.4319468889999991
nquinone__delubiC__1,1.524642997859573,0.4464799330000009,-1.0579396369999987
nquinone__delubiC__2,1.2543519855421064,0.6182852329999999,-1.1308495959999991
nquinone__ubiC_ale1__1,1.0431836750531152,0.4621411030000005,-0.6307086589999988
nquinone__ubiC_ale1__2,0.8327810499781573,0.5186398529999998,-0.8971033359999998
nquinone__ubiC_ale2__1,0.5882772441875452,0.4747234030000005,-0.7974280279999988
nquinone__ubiC_ale2__2,0.6539420581971171,0.4297995330000006,-0.9402087359999998
nquinone__ubiC_ale3__1,-0.0406317757228851,0.026469302000000642,-1.443955575999999
nquinone__ubiC_ale3__2,0.2431144621906606,0.09906102300000086,-1.3024241079999983
nquinone__ubiC_ale4__1,0.9079461365311292,0.493212583,-0.9848080419999984
nquinone__ubiC_ale4__2,1.0421270890702747,0.5086079229999996,-0.9376989329999992
nquinone__delpdhR__1,-0.9102682712088196,0.3856681930000008,-0.912311182999999
nquinone__delpdhR__2,-0.2036465648882316,0.36299017299999997,-1.0958025989999989
quinone__glu_ale4__1,-0.1498281734101255,0.3684261329999998,-0.7296594859999992
quinone__glu_ale4__2,0.2965257663550826,0.7361257729999995,-0.7527735139999994
quinone__delmenF__1,-0.4190121291485403,0.5532796730000005,-1.0903213399999991
quinone__delmenF__2,-0.1785153587832698,0.4243016730000004,-1.0830591059999994
quinone__menF_ale5__1,0.7741213546413153,0.9045305230000018,-1.5130529079999988
quinone__menF_ale5__2,0.1980179020454082,0.9292543930000008,-2.041372952999999
quinone__menF_ale6__1,0.8690404866221608,0.928937233000001,-1.6920050169999987
quinone__menF_ale6__2,0.5982745866463165,0.9358953230000004,-1.6923995989999991
quinone__menF_ale7__1,1.8389513767049064,0.8647486830000002,-1.6195817959999983
quinone__menF_ale7__2,1.57099221612754,0.8297670830000001,-1.6426365489999988
quinone__menF_ale8__1,1.5109836592464545,1.0002332430000005,-1.9984054599999992
quinone__menF_ale8__2,0.6890664723008342,0.9954071830000012,-2.0881463999999994
quinone__delmenFubiC__1,-0.3985076566823615,0.5032428030000009,-1.1436193659999994
quinone__delmenFubiC__2,-0.253912622290513,0.5733612729999997,-1.0550598459999998
quinone__menFubiC_ale1__1,0.684391223249799,0.6889852029999997,-1.838766792999999
quinone__menFubiC_ale1__2,0.173907876778259,0.6891632330000004,-1.918724155
quinone__menFubiC_ale2__1,0.5891831072931173,0.5664049030000005,-1.8640075099999984
quinone__menFubiC_ale2__2,-0.0417733940118741,0.587592463,-1.9081899679999983
quinone__menFubiC_ale3__1,-0.0155707594998737,0.1084791789999997,-0.8043742989999991
quinone__menFubiC_ale3__2,0.1209339225682543,0.1436014399999994,-1.0673784789999994
quinone__menFubiC_ale4__1,1.1646502675220542,1.042582673,-1.5939063479999989
quinone__menFubiC_ale4__2,0.7831637995072183,1.0279896629999996,-1.2476443129999986
oxyR__wt_glc__1,-0.4473436414205,0.09382866099999987,-0.5516543739999991
oxyR__wt_glc__2,-0.4279188408519844,0.13043923000000035,-0.6992690439999993
oxyR__wt_h2o2__1,-0.7464984132408141,0.05757602200000101,-0.6532557459999992
oxyR__wt_h2o2__2,-0.0810749229687035,0.4618741830000008,-0.4294274249999992
oxyR__glu_ale4__1,0.0667957181111301,0.7723290729999999,0.1545753740000002
oxyR__glu_ale4__2,0.0684499560503256,0.49579595299999996,0.12681232100000095
oxyR__glu_ale4_h2o2__1,-0.1838711741692055,0.6213283730000008,0.09696378600000076
oxyR__glu_ale4_h2o2__2,-0.3385947566452651,0.4863484329999999,-0.08776752899999885
oxyR__oxyR_ale17__1,-0.312998795668691,0.13801763000000022,0.1868856170000015
oxyR__oxyR_ale17__2,-0.2088633453743125,0.15520324300000074,-0.028457365999999595
oxyR__oxyR_ale17_h2o2__1,0.0312232195740832,0.21122745300000112,0.042497093000001485
oxyR__oxyR_ale17_h2o2__2,-0.4944234289934159,0.156206473000001,0.3461664080000011
oxyR__oxyR_ale18__1,-0.3271431466418631,-0.2332659079999999,-0.4388868729999986
oxyR__oxyR_ale18__2,-0.4191534224950919,-0.08594182799999928,-0.35473530699999856
oxyR__oxyR_ale18_h2o2__1,-0.8117627791397011,0.027939159000000657,-0.32321069399999924
oxyR__oxyR_ale18_h2o2__2,-0.3271450753814051,0.09512536300000107,-0.19975868999999855
oxyR__oxyR_ale19__1,-1.0829292163343625,-0.1866830670000006,0.08792976100000073
oxyR__oxyR_ale19__2,-0.7870232808880699,-0.08065952299999958,0.1958754160000007
oxyR__oxyR_ale19_h2o2__1,-1.239109910426578,-0.3216936859999997,0.16044841000000076
oxyR__oxyR_ale19_h2o2__2,-0.9320888927955489,-0.22926116100000016,0.13052475700000254
