,A,GadE,GadX,GadW
crp__delar1_glyc__2,-2.338668675,6.6197144321,8.5479638314,6.6822459433
crp__delar1ar2_glyc__1,-2.3196651004,5.3206886344,7.3245952708,6.3315174326
crp__delar1ar2_glyc__2,-2.3210975362,4.8191898534,7.3104344512,6.0421906649
crp__delar1ar2_glyc__3,-1.7103233975,5.6665715792,7.5550440868,6.2691604087
crp__delar2_glyc__1,2.6455200988,7.6189385581,8.2758072165,6.5448930859
crp__delar2_glyc__2,3.1718385697,7.8246600559,8.2091462356,6.8660012231
crp__delar2_glyc__3,2.791594641,7.5284156803,8.2167379274,6.5865602746
crp__delcrp_fru__1,12.1447218827,9.8855113323,9.7994264104,8.4450422907
crp__delcrp_fru__2,11.2999945304,9.1864854152,9.2778396222,8.1874524933
crp__delcrp_fru__3,11.7676093556,9.7590107032,9.8500072038,8.4743948373
crp__delcrp_glc__1,11.4435999493,9.1410737425,9.2622220686,7.553230613
crp__delcrp_glc__2,11.051583309,9.2210604869,9.2127125701,7.6592288288
crp__delcrp_glc__3,11.6015082748,9.3702878353,9.4727179963,7.6018595737
crp__delcrp_glyc__1,7.411032038,8.0815677989,8.0561436386,7.2102671501
crp__delcrp_glyc__2,7.8073043177,8.4200401941,8.1399693123,7.0918684778
crp__delcrp_glyc__3,8.18523012,8.7250621401,8.3338636263,7.351432948
glu__glu_ale3__1,-17.3759000864,1.6558468235000001,4.7823752589,2.7751535714
glu__glu_ale4__1,-17.8756811571,0.0,3.845589306,4.0121237454
glu__glu_ale5__1,-17.1867635305,0.6161278816,4.7511899903,4.684156312
glu__glu_ale6__1,-17.757433687,1.0983334503,4.4877639617,4.0627127686
glu__glu_ale8__1,-16.1719562821,1.8365614006,5.7395047355,3.9342270577000003
glu__glu_ale9__1,-17.5010230694,0.5062501516,4.450468151,4.3136790072
glu__glu_ale10__1,-16.786981952,0.9553594397,5.2812825056,4.9030961785
42c__wt_42c__1,-2.2432702139,5.5194497558,7.9184953557,5.4844540181
42c__42c_ale1__1,-10.5987796591,3.7908121767000003,5.8902444494,4.2620432936
42c__42c_ale2__1,-14.3422603291,2.4959521588999998,4.9412311193,4.4496579223
42c__42c_ale3__1,-11.9055139827,2.8030484356,5.6765207048,4.2752252895
42c__42c_ale4__1,-16.635046919,0.7646067263,4.7407811207,3.338627741
42c__42c_ale5__1,-16.081019377,1.5292186545000002,5.2343559598,5.7811826524
42c__42c_ale6__1,-6.2308277486,4.8219835060000005,5.8216027693,4.4275172454
42c__42c_ale8__1,-10.1945347546,5.044989975,6.8334187626,4.8686325715
42c__42c_ale9__1,-15.6397389297,3.0932399323,6.0863680252,4.0809959793
42c__42c_ale10__1,-13.764190864,3.5034700818999998,5.9544121322,4.2942961639
ssw__wt_ac__1,12.7050463224,9.4668450856,10.1725902063,9.2039137319
ssw__wt_glc__1,2.6055073165,8.0622438806,9.4492898124,8.6208951805
ssw__wt_glyc__1,-0.49812791,7.2702823878,7.8886329331,6.4991576848
ssw__wt_xyl__1,1.7866745058,6.9749127817000005,8.6298494037,7.1867778565
ssw__glc_ale1__1,-12.9603668326,2.3216323574,7.4365708085,5.8457109746
ssw__glc_ale2__1,-12.3476197941,3.5176303527,6.995879364,5.5952036197
ssw__glc_ale3__1,-13.3697569806,2.6400907571000003,6.9659991968,4.8799433563
ssw__glyc_ale1__1,-8.1659706634,4.9415409844,7.7833841328,7.7997256616
ssw__glyc_ale2__1,-13.2155333299,1.6061372917,7.3575982098,6.8277025835
ssw__xyl_ale1__1,-14.0747340639,2.4857134544,6.3494999272,4.9545722365
ssw__xyl_ale2__1,-15.4194116126,2.6202245126,5.7125188555,5.2022742126
ssw__xyl_ale3__1,-5.7809117047,5.5010582433,7.7909212682,7.1250132483
ssw__glc_ac_ac2__1,-9.9455961984,5.1360156169,8.2289250891,6.9147893757
ssw__glc_ac_glc1__1,-9.1494857494,5.2121208178,7.4495330111,7.06797985
ssw__glc_ac_glc2__1,-11.136768938,3.9250650895,8.1456916735,7.0500035052
ssw__glc_glyc_glc__1,-10.0576544874,4.5311929039,7.9857781067,6.2479562482
ssw__glc_glyc_glyc__1,-13.4450196585,1.7267843539,6.2281817653000004,5.3340033891
ssw__glc_xyl_glc__1,-15.4677432757,2.6785091173,6.2595903847,4.8836374064
ssw__glc_xyl_xyl__1,-16.362630157,1.4908550838,6.1991132527,5.5721969252
pgi__glu4_delpgi__1,-15.3276960883,0.5159682253,4.2401804003,2.9735228967
pgi__pgi_ale1__1,-15.01434119,1.6365991633,5.8514276525,4.549577341
pgi__pgi_ale2__1,-10.491520553600001,2.6050737255,6.924532934,5.1325761952
pgi__pgi_ale3__1,-14.8031925416,1.7257365835,5.4547079303,4.3776086861
pgi__pgi_ale5__1,-16.9695163078,0.0,4.8073255908,3.9744894009
pgi__pgi_ale6__1,-18.1289413802,0.7851806130000001,4.9700125359000005,3.5539856009
pgi__pgi_ale7__1,-17.7674285683,1.2645506286,5.0847007491,3.6064235813
pgi__pgi_ale8__1,-18.6134509644,0.4815630944,5.3609490994,4.019606752
ica__wt_glc__1,-8.7963123144,3.9193398747,6.1006282089,6.0274421033
ica__wt_glc__2,-9.1146462175,4.1623123913,5.9977035896,6.2078895382
ica__wt_glc__3,-7.5770341763,3.1341736968,5.7685744163,5.6814785975
ica__wt_glc__4,-5.0027918004,5.8286544326000005,6.9430768263000004,6.6768952682
ica__arg_sbt__1,-6.8813559314,4.0778543554,5.9402185787,3.4420236227
ica__arg_sbt__2,-7.1152118768,4.2357400087,6.3141920711,3.8994149785000003
ica__cytd_rib__1,-8.2199965889,4.7702505443,7.1805506509,6.7787899598
ica__cytd_rib__2,-6.6825628095,4.9632728436,7.3130387347,6.9029497616
ica__gth__1,-10.5947342166,2.9836736425,8.5387849769,5.9179684557000005
ica__gth__2,-11.2063271262,2.1710972169,7.8633584449,4.9096240995
ica__leu_glcr__1,-10.18413533,3.0327268334,6.08534889,4.7907079399
ica__leu_glcr__2,-10.1548203159,3.2954073689,5.7767758162,4.5585379198
ica__met_glc__1,-4.1336440952,5.3616691906,7.0188984069,5.9589018603
ica__met_glc__2,-4.7885452234,4.8597410712,6.610205243,5.6096191296
ica__no3_anaero__1,12.2993387789,10.4424077254,9.8788564476,8.6058716357
ica__no3_anaero__2,12.0312600376,10.7532474072,10.0832733509,8.6430080796
ica__phe_acgam__1,-5.316884277,4.8080160022000005,6.9816839804,6.2182260303
ica__phe_acgam__2,-6.6986554477,4.3981767585,6.8353981138,6.057339824
ica__thm_gal__1,7.1050003603,9.0003708822,8.5404049448,6.8547315761
ica__thm_gal__2,6.8314489824999995,8.5314859616,8.1526599941,6.7366648205
ica__tyr_glcn__1,-9.6218613661,3.6789396011,5.9308181928,5.7301856883
ica__tyr_glcn__2,-10.1100708592,3.6647711514,5.9524303357,5.9083154597
ica__ura_pyr__1,-2.9161444578999998,6.1204148371,7.2579593629,6.6346940217
ica__ura_pyr__2,-1.1043699213,6.4636122663,7.76216346,6.4501230484
ica__wt_glc__5,-9.0209089588,4.4783339437,6.5960585939000005,6.2439843836
ica__wt_glc__6,-8.3719132405,4.1827103541,6.8179237785,6.1861397629
ica__bw_delpurR_cytd__1,-16.1215819247,1.4087831714,5.1149986925,4.5353663019
ica__bw_delpurR_cytd__2,-17.4982040029,0.0,4.9268328126,4.4824221795
ica__ade_glc__1,-12.5906074989,3.3437136637,6.5326885749,5.5031157776
ica__ade_glc__2,-11.8693784966,3.1985571799,6.7908815495,5.59764779
ytf__wt_glc__1,1.4439414948,8.0816995717,9.2259248526,7.2265689553
ytf__wt_glc__2,1.8239721602999999,9.0942341214,9.7602449792,7.471312881
ytf__delyafC__1,3.7005082834,8.9760876983,9.8245962311,8.0473555142
ytf__delyafC__2,4.0084619108,9.0734093975,9.9468230556,8.1632117311
ytf__delyeiE__1,1.9599470440000002,7.6845447926,9.7912561633,8.5550945257
ytf__delyeiE__2,0.6176191036,7.0188627965,8.9771022071,7.596056764
ytf__delyiaJ__1,3.5839656301,9.5777005333,10.0570269342,8.2096282677
ytf__delyiaJ__2,6.1401541453,10.2408114477,10.5028122175,8.7810650386
ytf__delyieP__1,-0.2951512021,8.2502649647,9.3790812178,7.9110925516
ytf__delyieP__2,0.9062774394,8.378824225,9.296185060100001,7.8783071694
ytf__wt_ph5__1,5.1739719313,9.0019253413,9.4879361958,8.4415754901
ytf__wt_ph5__2,4.9834395103,9.1890423822,9.6038639736,8.5534177599
ytf__wt_ph8__1,-2.5586844257,6.6100520875,8.6242312505,7.2830657829
ytf__wt_ph8__2,-2.90605028,6.7274248171,8.6073620227,7.2933897887
ytf__delybaO__1,3.2114919553,8.9803117144,9.5155286128,8.0556069655
ytf__delybaO__2,2.0565835143,8.8235401777,9.6692507726,7.9167432808000004
ytf__delybaQ__1,-0.5241109958,6.769812678,8.825841405,7.4217510331
ytf__delybaQ__2,-0.4623604734,7.0521279516,8.7891907328,7.3979633657
ytf__delybiH__1,3.2135513612,8.9344859482,9.7460309271,7.657631201
ytf__delybiH__2,4.0828850648,9.5951483262,9.9122566958,8.0627999934
ytf__delydcI_ph5__1,2.2878729016,7.7446715448,8.9418725443,7.9745367323
ytf__delydcI_ph5__2,2.893787783,8.1257324827,9.0893921067,8.1201802161
ytf__delydcI_ph8__1,-3.0086367379,6.5589395459,8.5316737951,7.3771385955
ytf__delydcI_ph8__2,-5.4447465639,5.819730529,8.345738762,7.0255730116
ytf__delyddM__1,0.0372121089,7.4315876357,9.2381599745,7.7919166316
ytf__delyddM__2,-0.6470428929,6.9507254176,9.0221672594,7.6486464877
ytf__delyheO__1,3.1356529153,8.7571083493,9.5917858805,7.8654846544
ytf__delyheO__2,2.1462258686,8.7884959165,9.4914240118,7.7524507877
fps__bw_glc__1,-3.5889198925,4.8129258947,8.6856764529,7.1817867736
fps__bw_glc__2,-1.9094728142,7.277036713,8.7590717183,7.1114902315
fps__fps_thrA_ale1__1,-2.4830607841,7.6226858457,9.5331900659,8.3786225408
fps__fps_thrA_ale1__2,-2.1818891851,7.4647940175,9.4187046056,8.2929085973
fps__fps_thrA_ale2__1,-4.6439644604,7.0375389589,9.3889368243,8.3854951468
fps__fps_thrA_ale2__2,-5.2521805122,6.9471923608,9.1952074165,8.2419782602
fps__fps_serB_ale1__1,-2.103907793,7.55839321,9.235838959,7.6516596945
fps__fps_serB_ale1__2,-2.8797120097,5.1111699825,9.0317392774,7.6963850838
fps__fps_serB_ale4__1,0.6967703319,7.5301422669,10.248794184,7.7958556408
fps__fps_serB_ale4__2,1.8872837458,9.1924632141,10.2971704751,8.0361427292
fps__fps_ptsI_ale1__1,-8.2911199789,5.4532892329,8.1760162554,6.1273018358
fps__fps_ptsI_ale1__2,-8.2047639969,5.3828859407,8.1830175404,6.3440736591
fps__fps_ptsI_ale3__1,-8.1139141203,5.362399181,8.028502146,6.0513919133
fps__fps_ptsI_ale3__2,-8.8054942112,4.9491699919,8.036460201,5.9421315964
pal__lyx_ale2_f6__1,-2.9685343553,5.6239426478,7.659108019,6.0121093102
pal__lyx_ale2__1,-17.3545565433,0.8613718932000001,5.1717967895,3.5427223166
pal__lyx_ale2__2,-14.72994196,1.4070435228,4.8062148292,3.9967103154
pal__lyx_ale4__1,-17.3545565433,0.8613718932000001,5.1717967895,3.5427223166
pal__lyx_ale4__2,-14.72994196,1.4070435228,4.8062148292,3.9967103154
pal__5drib_ale10_f18__1,-12.097254946,1.0419935414000001,6.3283560647,3.7311202178
pal__5drib_ale10_f18__2,-11.0731407874,3.2876052732,6.3644614768,4.2794339598
pal__5drib_ale10__1,-16.0212461324,0.8999558683000001,5.4126709506,4.3543362191
pal__arab_ale14_f9__1,-0.8387540751,6.2130480914,7.7582604467,5.9080424155
pal__arab_ale14_f9__2,-1.8358068308000002,4.0143069139,7.1309047564,5.9116720188
pal__arab_ale14__1,-1.6126850596,5.3067140953,7.2790080506,5.8440503719
pal__arab_ale14__2,-2.9646336121,4.2283851348,6.9832439856,5.5052741867
pal__arab_ale16__1,-9.1590000357,3.4453824515,6.6027855192,5.6214663804
pal__arab_ale16__2,-9.980511182,3.8868601396,7.0366821575,5.7238527839
pal__tartr_ale26_f10__1,-8.0163153632,3.1565621023,6.4368363613,4.4194502487000005
pal__tartr_ale26_f10__2,-7.5487035682,3.0889576629,6.5541636582,5.0196449973
pal__tartr_ale26__1,-14.0869677595,1.340097907,5.8796031346,4.3908772555
pal__tartr_ale26__2,-13.373859510900001,1.3124519864,5.6419460521,4.4920144216
pal__tartr_ale28_f10__1,11.7558447438,9.5889432195,9.8258963402,7.5621319395
pal__tartr_ale28_f10__2,10.2634000818,9.2404627046,9.4603056917,6.7821415671
pal__tartr_ale28__1,-2.5677407295,5.9171502487000005,7.788642648,5.6173384525
pal__tartr_ale28__2,-3.6048603212,6.0820588916,8.0842541121,5.8389934611
efeU__delmenFentC_citr__1,2.6916438319,7.9918404462,9.4363369704,7.8724996734
efeU__delmenFentC_citr__2,3.3780335769,8.2984784548,9.3200589086,7.5011665862
efeU__delmenFentC__1,7.2035945346,9.683347364,9.6560678206,8.7735400272
efeU__delmenFentC__2,6.9748804837,9.413598782,9.5923235645,8.7322269302
efeU__menFentC_ale39__1,-11.6410893875,3.747180494,6.9911033076999995,5.3981701401
efeU__menFentC_ale39__2,-11.5550753641,3.4906706323,7.0974122627,5.7264885929
efeU__menFentC_ale29__1,-11.6438303426,3.0171158295,7.7233632973,5.8377519768
efeU__menFentC_ale29__2,-11.7643854062,1.5794582023000001,7.5756129014999996,5.8379539601
efeU__menFentC_ale30__1,-13.5677343799,2.3222357731,6.9109227567,5.7104166719
efeU__menFentC_ale30__2,-13.7228355878,1.6931915363,6.5707458979,6.011966615
efeU__menFentCubiC_ale36__1,-4.8421071482,5.3382152578,8.4010251267,7.4671408006
efeU__menFentCubiC_ale36__2,-5.0957382097,5.5864166125,8.360709801,7.2854446874
efeU__menFentCubiC_ale37__1,-0.9029851152,7.3752995046,9.3102858463,8.3264398037
efeU__menFentCubiC_ale37__2,-1.087549922,7.2901153101,9.3251486725,8.4127276085
efeU__menFentCubiC_ale38__1,-7.3051459894,5.6562695458,7.3709447824,7.4885123729
efeU__menFentCubiC_ale38__2,-8.7714790208,5.1292664606,6.9706933642,7.1281872621
