,A,BasR
minspan__wt_glc__2,1.057961001,-0.40336848900000005
minspan__wt_glc__3,1.3525878367,-0.7764904530000001
minspan__wt_glc__4,0.7593324221000001,-0.45955593200000006
minspan__wt_glc_anaero__1,0.3742357563,-0.529658127
minspan__wt_glc_anaero__2,0.4726622143,-0.10268838100000001
minspan__wt_trp__1,0.5710826902,0.021818931
minspan__bw_delcra_glc__2,0.7569872206,0.176729611
minspan__bw_delcra_trp__1,2.0942848522,0.223557689
minspan__bw_delmntr__1,-2.4866319189,0.136021327
minspan__bw_delnac_ade__1,1.3567691483,-0.36029177300000004
minspan__bw_delnac_glc__1,1.1621303971,-0.553912821
cra_crp__wt_ac__1,1.6090093372,-0.24911516
cra_crp__wt_ac__2,1.3278996805,-0.19770441900000002
cra_crp__wt_fru__1,1.5475724607,-0.084474351
cra_crp__wt_fru__2,1.6994083328,-0.003542508
cra_crp__delcra_ac__1,-0.48817757800000006,-0.069037313
cra_crp__delcra_ac__2,-0.079976767,-0.11546951800000001
cra_crp__delcra_fru__1,0.6249693566,0.153699791
cra_crp__delcra_fru__2,0.482335198,-0.027984963
cra_crp__delcra_glc__1,-0.0564315852,-0.151487075
cra_crp__delcra_glc__2,-0.0178018502,-0.098959999
rpoB__wt_031__1,1.7868769205000001,0.07415584600000001
rpoB__wt_044__1,0.6735676328,-0.489092911
rpoB__wt_lb__1,3.2721343665,0.7639581350000001
rpoB__wt_lb__2,3.4934590511,0.7574840690000001
rpoB__rpoBE546V_031__1,0.5872279677000001,-0.046955444000000006
rpoB__rpoBE546V_044__1,1.0291921568,0.298841452
rpoB__rpoBE546V_lb__1,1.9266652228,0.633345883
rpoB__rpoBE546V_lb__2,2.5651547859,0.6522298120000001
rpoB__rpoBE546V_glc__1,-0.6802281878,-0.30671468300000004
rpoB__rpoBE672K_glc__1,-1.5936369595,-0.324227323
rpoB__rpoBE672K_glc__2,-0.7338286239,-0.5045167180000001
rpoB__rpoBE672K_lb__1,4.9119911552,-0.161564822
rpoB__rpoBE672K_lb__2,4.8146319809,0.298787114
crp__wt_fru__1,-0.4196597013,-0.24584704300000002
crp__wt_glyc__1,-0.1441914574,-0.518070013
crp__wt_glyc__2,-0.2293536552,-0.30226377
crp__delar1_glyc__1,-0.3298987902,1.143289065
crp__delar1_glyc__2,-0.5169581196,1.198302207
crp__delar1ar2_glyc__1,1.6020423737,0.286143969
crp__delar1ar2_glyc__2,1.6524600384,0.598467704
crp__delar1ar2_glyc__3,1.5135821899000002,0.35391393
crp__delar2_glyc__1,0.5431120452,0.610899147
crp__delar2_glyc__2,0.8197894187,0.43805148800000004
crp__delar2_glyc__3,1.4177224292,0.42368033200000005
crp__delcrp_fru__1,1.6122084762000002,0.30683012
crp__delcrp_fru__2,1.1657060803000001,0.435185327
crp__delcrp_fru__3,1.1246078447,0.07021247500000001
crp__delcrp_glc__1,1.5018201983,0.22239661
crp__delcrp_glc__2,1.4271381338,0.296886637
crp__delcrp_glc__3,1.1190526147,0.328333039
crp__delcrp_glyc__1,1.0761311155,0.13410525
crp__delcrp_glyc__2,0.4553484297,0.138996802
crp__delcrp_glyc__3,1.5434894972,0.295236271
glu__glu_ale3__1,-4.8836555039,0.258040845
glu__glu_ale4__1,-4.2772966582,-0.6996863630000001
glu__glu_ale5__1,-2.9369820918,-0.9303790270000001
glu__glu_ale6__1,-3.8189364248,-1.081301426
glu__glu_ale8__1,-4.7582637129,0.32178997
glu__glu_ale9__1,-4.7243999295,0.154116221
glu__glu_ale10__1,-4.0671588905,0.013765431000000002
42c__wt_42c__1,-1.888626263,-0.19290604700000002
42c__42c_ale1__1,-2.3722578278,0.35235599700000003
42c__42c_ale2__1,-2.200003612,-0.423778311
42c__42c_ale3__1,-1.4084701333,-0.312209566
42c__42c_ale4__1,-4.0638765618,0.086001978
42c__42c_ale5__1,-2.4821517888,-0.567116531
42c__42c_ale6__1,-4.7686827502,1.095475471
42c__42c_ale8__1,-4.3878452157,1.035293492
42c__42c_ale9__1,-4.7635237413,-0.24086917
42c__42c_ale10__1,-4.1616301067,0.5927002140000001
ssw__wt_ac__1,0.6375538701,-0.53131922
ssw__wt_glc__1,1.9339281327000002,-0.7552303260000001
ssw__wt_glyc__1,1.6097443383,0.40188273100000005
ssw__wt_xyl__1,4.0918219046,-0.279767221
ssw__glc_ale1__1,-1.8657727545,-0.397375258
ssw__glc_ale2__1,-1.3057403876,0.026037316
ssw__glc_ale3__1,-2.8847844114,0.038443428
ssw__glyc_ale1__1,-1.5358935727,-0.064237046
ssw__glyc_ale2__1,-2.1079737679,0.103089731
ssw__xyl_ale1__1,-0.7515752676,-0.970055752
ssw__xyl_ale2__1,-1.6976032170000002,-0.26611287100000003
ssw__xyl_ale3__1,0.4104289084,-0.6818082670000001
ssw__glc_ac_ac2__1,0.5721958272000001,0.038227524000000006
ssw__glc_ac_glc1__1,-0.959536193,-0.573470661
ssw__glc_glyc_glc__1,-1.1983675341,0.087453787
ssw__glc_glyc_glyc__1,0.06526783280000001,-0.093187857
ssw__glc_xyl_glc__1,-3.0009416381,-1.0667274820000001
ssw__glc_xyl_xyl__1,-2.316173832,-1.142743686
ica__wt_glc__1,-0.6039573522,-0.8295364230000001
ica__wt_glc__2,-0.9242442745,-1.046142765
ica__wt_glc__3,-1.978782955,-0.967515035
ica__wt_glc__4,-0.7362747564000001,-0.570778906
ica__arg_sbt__1,1.7181078768,-0.320026176
ica__arg_sbt__2,0.8727157784,-0.37345390100000003
ica__cytd_rib__1,2.5398473752,0.918120912
ica__cytd_rib__2,2.8461123148,1.030184442
ica__gth__1,3.2494059499,0.262083025
ica__gth__2,3.0379653021,-0.010775011000000001
ica__leu_glcr__1,-0.7810109998,-0.88906682
ica__leu_glcr__2,-0.6476960074,-1.046315889
ica__met_glc__1,-1.568181459,-1.058484541
ica__met_glc__2,-1.7326414519000002,-1.145789409
ica__no3_anaero__1,-1.4833632431,-0.45068163400000005
ica__no3_anaero__2,-1.2086408187,-0.334183114
ica__phe_acgam__1,-0.938164003,-0.8470305290000001
ica__phe_acgam__2,-1.6123601559,-0.9186824
ica__thm_gal__1,0.699546682,-0.167121883
ica__thm_gal__2,0.2957348707,-0.158596537
ica__tyr_glcn__1,-1.3009871553,-0.9882410150000001
ica__tyr_glcn__2,-1.0036879376,-0.8091865180000001
ica__ura_pyr__1,-0.8957607118,-0.6448123090000001
ica__ura_pyr__2,0.0331288136,-0.607648961
ica__wt_glc__5,-0.8393349118000001,-0.548975823
ica__wt_glc__6,-1.1755329536999999,-0.44144269
ica__bw_delpurR_cytd__1,-2.241625351,-0.779958084
ica__bw_delpurR_cytd__2,-3.2395330968,-0.9836299020000001
ica__ade_glc__1,-3.3812846084,-1.101981196
ica__ade_glc__2,-1.2567632726,-0.49227184900000004
ytf__wt_glc__1,-0.2195454947,0.13178572800000002
ytf__wt_glc__2,0.0437038815,0.5176655520000001
ytf__delyafC__1,0.9392990965,0.6516199490000001
ytf__delyafC__2,0.8832980649000001,0.8163568720000001
ytf__delyeiE__1,1.2090199552,0.176028988
ytf__delyeiE__2,0.7956331547000001,-0.112657243
ytf__delyiaJ__1,1.0328728531,0.645318323
ytf__delyiaJ__2,2.4320313766,0.5261419540000001
ytf__delyieP__1,-0.2608542927,0.360922548
ytf__delyieP__2,0.6490739186000001,0.428317924
ytf__wt_ph5__1,4.4892746684,0.42231347300000005
ytf__wt_ph5__2,4.7298382529000005,0.40307444200000003
ytf__wt_ph8__1,0.684337292,0.017791678000000002
ytf__wt_ph8__2,0.7013432315,0.019303795000000002
ytf__delybaO__1,0.6365004918,0.5863209060000001
ytf__delybaO__2,0.3417261097,0.579978232
ytf__delybaQ__1,0.7774456883,-0.38295752
ytf__delybaQ__2,0.42936571160000003,-0.36583502900000003
ytf__delybiH__1,-0.4077812523,0.47694185800000005
ytf__delybiH__2,-0.5254992938,0.733992894
ytf__delydcI_ph5__1,3.2619095949,-0.037233007000000005
ytf__delydcI_ph5__2,3.6468681597,0.11016900900000001
ytf__delydcI_ph8__1,0.4516912175,-0.19105402700000002
ytf__delydcI_ph8__2,0.4240405339,-0.120038454
ytf__delyddM__1,1.1008469094,0.33656407200000005
ytf__delyddM__2,0.7196908493,0.080407954
ytf__delyheO__1,0.9252873657,0.42647738500000004
ytf__delyheO__2,0.5930337015,0.44538008300000004
fps__bw_glc__1,-0.4689293087,-0.612771307
fps__bw_glc__2,-0.8724285736,-0.590250673
fps__fps_thrA_ale1__1,1.5141559003,-0.283341404
fps__fps_thrA_ale1__2,1.7909657797,-0.42312098400000003
fps__fps_thrA_ale2__1,1.8592093103,-0.764955416
fps__fps_thrA_ale2__2,1.8262710603,-0.695363615
fps__fps_serB_ale1__1,1.1268637433,-0.5728971260000001
fps__fps_serB_ale1__2,1.0615864839,-0.64757355
fps__fps_serB_ale4__1,1.7131714216,-0.538515533
fps__fps_serB_ale4__2,2.3386755176,-0.285981988
fps__fps_ptsI_ale1__1,2.016627219,-0.453863055
fps__fps_ptsI_ale1__2,2.1287559853,-0.39053114800000005
fps__fps_ptsI_ale3__1,1.9150173928,-0.581513377
fps__fps_ptsI_ale3__2,1.7416744427,-0.668786438
pal__lyx_ale2_f6__1,2.9786147335,0.24681261200000001
pal__lyx_ale2__1,2.1685440961999998,0.37362853500000004
pal__lyx_ale2__2,1.9526543879,0.289082632
pal__lyx_ale4__1,0.43449994880000004,-0.448488679
pal__lyx_ale4__2,-0.0303836858,-0.474289685
pal__5drib_ale10_f18__1,0.5534554201,-0.16004774100000002
pal__5drib_ale10_f18__2,0.737352734,-0.11842511100000001
pal__5drib_ale10__1,4.8907532693,0.682819049
pal__arab_ale14_f9__1,0.6685521512,-0.25085440400000003
pal__arab_ale14_f9__2,1.0057960304,0.165300581
pal__arab_ale14__1,-0.8106995477000001,-1.0679599770000001
pal__arab_ale14__2,-1.0627853308,-0.6040180030000001
pal__arab_ale16__1,1.2306317139,-0.429634406
pal__arab_ale16__2,3.0647938406,0.32548229
pal__tartr_ale26_f10__1,5.7652412891,0.456571021
pal__tartr_ale26_f10__2,4.2977212739,0.45512606600000005
pal__tartr_ale26__1,7.3186031224,0.967861693
pal__tartr_ale26__2,10.0705585839,0.929231095
pal__tartr_ale28_f10__1,4.1265709758,0.327148782
pal__tartr_ale28_f10__2,10.615360445,0.970897898
pal__tartr_ale28__1,0.9913022313000001,-0.129767673
pal__tartr_ale28__2,0.6475947035,-0.485674207
efeU__delmenFentC_citr__1,0.6239547414000001,-0.495057956
efeU__delmenFentC_citr__2,0.1966016113,-0.26998972600000004
efeU__delmenFentC__1,2.7576967784,0.26651736800000003
efeU__delmenFentC__2,2.7843947365,0.160545766
efeU__menFentC_ale39__1,-0.6389584836000001,0.26008014900000004
efeU__menFentC_ale39__2,-1.2891772833,0.21201987200000003
efeU__menFentC_ale29__1,-2.1543469745,-0.017836634
efeU__menFentC_ale29__2,-1.5949948688000002,-0.22001503900000002
efeU__menFentC_ale30__1,0.0072038309,-0.711444677
efeU__menFentC_ale30__2,-1.1792866152,-0.66059386
efeU__menFentCubiC_ale36__1,1.2170764663,0.267790468
efeU__menFentCubiC_ale36__2,0.9866152720000001,0.23211420700000002
efeU__menFentCubiC_ale37__1,0.47937673740000003,-0.113710475
efeU__menFentCubiC_ale37__2,1.3336301953,-0.148150485
efeU__menFentCubiC_ale38__1,-0.1460881347,-0.481794302
efeU__menFentCubiC_ale38__2,-0.1925762689,-0.630683832
misc2__salc_glc__1,1.598675177,-0.24091487700000003
misc2__salc_glc__2,0.6528207119,-0.026249619000000002
misc2__dbcn_glc__1,-4.3852020173,-1.204917804
misc2__dbcn_glc__2,-1.7907196707000002,-1.091665843
misc2__tyr_glc__1,-1.6102408029,-0.31009812600000003
misc2__tyr_glc__2,-1.2333085165,-0.14410989200000002
misc2__arg_cytd__1,-1.9688480941000002,-0.713405599
misc2__arg_cytd__2,-2.0735648259,-0.913684822
misc2__delyheO_pyr__1,1.8069127305000001,-0.09838611600000001
misc2__delyheO_pyr__2,1.8619911386,-0.43990217800000003
nquinone__delubiC__1,-1.3919069355,-0.5433383890000001
nquinone__delubiC__2,-1.3333447766,-0.6326274590000001
nquinone__ubiC_ale1__1,1.4704813769,-0.001791112
nquinone__ubiC_ale1__2,2.1495846057,-0.07011765
nquinone__ubiC_ale2__1,2.2947165991,-0.17105119
nquinone__ubiC_ale2__2,2.0110613483,-0.014402917000000001
nquinone__ubiC_ale3__1,-0.0362417031,-0.9826863790000001
nquinone__ubiC_ale3__2,0.2942185506,-0.8025545230000001
nquinone__ubiC_ale4__1,2.5601809381000002,-0.047402464000000005
nquinone__ubiC_ale4__2,2.7159879909,0.061338
nquinone__delpdhR__1,0.30101899190000003,-0.866168119
nquinone__delpdhR__2,1.1140035486,-1.203549464
quinone__glu_ale4__1,-3.3693254929,-1.393426228
quinone__glu_ale4__2,-3.2224137194,-0.5836035230000001
quinone__delmenF__1,1.7234814558,-0.174969657
quinone__delmenF__2,1.2183370788,-0.19994550600000002
quinone__menF_ale5__1,-1.0760855347,0.48458993400000006
quinone__menF_ale5__2,-0.2578835369,0.6072532860000001
quinone__menF_ale6__1,-0.0826329413,0.588399124
quinone__menF_ale6__2,-0.019722494,0.658011259
quinone__menF_ale7__1,0.8990009839,0.514325864
quinone__menF_ale7__2,0.554299987,0.662278487
quinone__menF_ale8__1,-0.6593464157000001,0.300234308
quinone__menF_ale8__2,0.0386368463,0.32535388
quinone__delmenFubiC__1,0.3463005552,-0.33402858900000004
quinone__delmenFubiC__2,0.5417445255000001,-0.334436501
quinone__menFubiC_ale1__1,0.9628258491,-0.14844721
quinone__menFubiC_ale1__2,-0.1150821734,0.042480386
quinone__menFubiC_ale2__1,0.8717917213,0.110099715
quinone__menFubiC_ale2__2,0.9029011742,-0.063697921
quinone__menFubiC_ale3__1,0.313726836,-0.7111929330000001
quinone__menFubiC_ale3__2,0.300844227,-0.664212004
quinone__menFubiC_ale4__1,-0.9427500269,0.214001606
quinone__menFubiC_ale4__2,-0.7436230655,0.496611324
oxyR__wt_glc__1,-1.4758560833,-0.814062002
oxyR__wt_glc__2,-1.2426127818000001,-0.6829204050000001
oxyR__wt_h2o2__1,-0.9344184567,-0.866034434
oxyR__wt_h2o2__2,0.28550859170000004,-0.046557485
oxyR__glu_ale4__1,-2.3795269961,-0.26396718
oxyR__glu_ale4__2,-3.0275887851,-0.126917294
oxyR__glu_ale4_h2o2__1,-2.6099623352,-0.200245105
oxyR__glu_ale4_h2o2__2,-2.3600060549,-0.190808723
oxyR__oxyR_ale17__1,0.0265965836,-0.510160838
oxyR__oxyR_ale17__2,-0.2251028863,-0.5349945140000001
oxyR__oxyR_ale17_h2o2__1,0.0674946464,-0.29062208300000003
oxyR__oxyR_ale17_h2o2__2,-0.4949857285,-0.585757783
oxyR__oxyR_ale18__1,-2.9623961067,-1.017240323
oxyR__oxyR_ale18__2,-2.4665397404,-1.008740313
oxyR__oxyR_ale18_h2o2__1,-1.6074086675,-0.762312913
oxyR__oxyR_ale18_h2o2__2,-1.8021450699,-1.015704669
oxyR__oxyR_ale19__1,-3.3634909945,-1.063289199
oxyR__oxyR_ale19__2,-2.5995492671,-0.8980349980000001
oxyR__oxyR_ale19_h2o2__1,-2.8024915208000003,-1.158896259
oxyR__oxyR_ale19_h2o2__2,-2.8174272748,-1.164260521
oxyR__oxyR_ale20__1,-0.1677917368,-1.054694216
oxyR__oxyR_ale20__2,-0.37534200770000004,-1.012548963
oxyR__oxyR_ale20_h2o2__1,-0.9951922114,-0.624679458
oxyR__oxyR_ale20_h2o2__2,-0.8820932218,-0.723093485
svns_pgi__BmePgi24_15__1,1.1727859397,-0.5503872830000001
svns_pgi__BmePgi24_15__2,1.0006697867,-0.530679322
svns_pgi__BmePgi24_26__1,0.20867596100000002,-0.707687181
svns_pgi__BmePgi24_26__2,0.1508181298,-0.507485637
svns_pgi__BmePgi24_41__1,1.3646601386000001,0.36652191
svns_pgi__BmePgi24_41__2,-0.3945001026,-0.7170319820000001
svns_pgi__BmePgi24_52__1,0.4136262502,-0.45459474400000005
svns_pgi__BmePgi24_52__2,-0.0027095386000000003,-0.693424637
svns_pgi__PaePgi2_34__1,0.6490252928,-0.153295486
svns_pgi__PaePgi2_34__2,0.7043098526,-0.103637933
svns_pgi__PaePgi2_63__1,0.8057768614,-0.059150805
svns_pgi__PaePgi2_63__2,0.47764490870000004,0.017931018
svns_pgi__PaePgi24_54__1,-0.3252321255,-0.51541759
svns_pgi__PaePgi24_54__2,-0.2526688399,-0.6357706780000001
svns_pgi__PaePgi24_90__1,-0.044031817200000004,-0.27669081300000004
svns_pgi__PaePgi24_90__2,-0.8263598278000001,-0.6495697530000001
abx_media__m9_ctrl__1,5.0718138547,-0.929337873
abx_media__m9_ctrl__2,4.8032903277,-0.676792143
abx_media__rpmi_ctrl__1,-3.3398600894,-1.291240984
abx_media__rpmi_ctrl__2,-3.8412136761,-1.319363138
abx_media__camhb_ctrl__1,0.5869920814,-2.261824603
abx_media__camhb_ctrl__2,0.8684914394000001,-2.047992513
abx_media__m9_mero__1,3.6505493170000003,-0.9927413270000001
abx_media__m9_mero__2,4.5079466262,-1.003714638
abx_media__rpmi_mero__1,-1.7814517313,-1.5078896689999999
abx_media__rpmi_mero__2,-2.4052391168,-1.230764125
abx_media__camhb_mero__1,2.0816277459,-2.339476873
abx_media__camhb_mero__2,1.9891808694000002,-2.432550671
abx_media__m9_trisulf__1,3.9000427134,-0.686386232
abx_media__m9_trisulf__2,3.4686955735,-0.545177859
abx_media__rpmi_trisulf__1,-1.3573308372000001,-1.782779683
abx_media__rpmi_trisulf__2,-0.8068112487,-1.671699908
abx_media__camhb_trisulf__1,-1.1066325252,-1.091014508
abx_media__camhb_trisulf__2,-1.1719372837,-1.237081056
abx_media__m9_cef__1,3.2699816617,-1.148948754
abx_media__m9_cef__2,3.5131583198,-0.88867834
abx_media__rpmi_cef__1,-0.9508619937,-1.470378079
abx_media__rpmi_cef__2,-0.8893041970000001,-1.2905206439999999
abx_media__camhb_cef__1,-0.264360134,-1.461493639
abx_media__camhb_cef__2,-0.5263103842,-1.598228414
abx_media__m9_cipro__1,2.5035199325,-0.493375999
abx_media__m9_cipro__2,2.0994772945,-0.482068745
abx_media__rpmi_cipro__1,-0.6988590392,-1.572391744
abx_media__rpmi_cipro__2,-0.8627663327,-1.370976099
abx_media__camhb_cipro__1,-2.4458129886,-1.808065258
abx_media__camhb_cipro__2,-2.2110979676999998,-1.693585608
hot_tale__42c_ale3_30c__1,-1.53909158,-1.101955936
hot_tale__42c_ale3_30c__2,-0.6940303845,-1.015036373
hot_tale__42c_ale3_37c__1,-2.9204866458,-0.6102495330000001
hot_tale__42c_ale3_37c__2,-2.1843404455,-0.9407142510000001
hot_tale__42c_ale3_44c__1,0.5383569146,-0.209139771
hot_tale__42c_ale3_44c__2,0.3689082839,-0.024169377000000002
hot_tale__hot_ale3_mid_30c__1,1.1803484063,-0.86512356
hot_tale__hot_ale3_mid_30c__2,1.3726044806,-0.8539532160000001
hot_tale__hot_ale3_mid_37c__1,-3.5052847444,-1.176951706
hot_tale__hot_ale3_mid_37c__2,-3.4802733443,-1.127009088
hot_tale__hot_ale3_mid_44c__1,-2.6108434696,-0.8227452670000001
hot_tale__hot_ale3_mid_44c__2,-1.5673589029000001,-0.5580730740000001
hot_tale__hot_ale3_30c__1,-0.1737745205,-1.0921011
hot_tale__hot_ale3_30c__2,-1.2885355989,-1.114857899
hot_tale__hot_ale3_37c__1,-4.1300911506,-0.876083999
hot_tale__hot_ale3_37c__2,-3.4924352068,-0.97083549
hot_tale__hot_ale3_44c__1,-2.9946915354,-0.7631790740000001
hot_tale__hot_ale3_44c__2,-2.3142617622,-0.5459797230000001
hot_tale__hot_ale4_30c__1,-2.5280866594,-1.238516674
hot_tale__hot_ale4_30c__2,-2.4516419541,-1.146254932
hot_tale__hot_ale4_37c__1,-3.5767564944,-0.928914773
hot_tale__hot_ale4_37c__2,-3.5232332315,-1.340949874
hot_tale__hot_ale4_44c__1,-1.7563922322,-0.388179351
hot_tale__hot_ale4_44c__2,-2.1982039013,-0.5203261
hot_tale__hot_ale8_30c__1,-0.9053057706000001,-1.341711984
hot_tale__hot_ale8_30c__2,-2.4033061491,-1.219019721
hot_tale__hot_ale8_37c__1,-3.1918191887,-0.8558036170000001
hot_tale__hot_ale8_37c__2,-3.1956400714,-1.034823067
hot_tale__hot_ale8_44c__1,-1.0842986757,-0.130678028
hot_tale__hot_ale8_44c__2,-1.585858846,-0.308601462
hot_tale__hot_ale9_mid_30c__1,3.0140468578,-0.433178591
hot_tale__hot_ale9_mid_30c__2,2.5633050922000002,-0.44469282
hot_tale__hot_ale9_30c__1,-1.8514703637,-1.149755002
hot_tale__hot_ale9_30c__2,-1.6426301348,-0.947447707
hot_tale__hot_ale9_mid_37c__1,-1.8000509207,-1.163623453
hot_tale__hot_ale9_mid_37c__2,-1.6767041297,-1.001027809
hot_tale__hot_ale9_37c__1,-3.4752389278,-0.8769400940000001
hot_tale__hot_ale9_37c__2,-2.9981376128,-1.115793628
hot_tale__hot_ale9_mid_44c__1,-1.4259827359,-0.523778319
hot_tale__hot_ale9_mid_44c__2,-0.6039413102,-0.216493806
hot_tale__hot_ale9_44c__1,-1.6637109334,-0.246806612
hot_tale__hot_ale9_44c__2,-2.2335747807,-0.515793104
hot_tale__hot_ale10_30c__1,-1.0990730427,-0.890362077
hot_tale__hot_ale10_30c__2,-1.3961014149,-1.325154628
hot_tale__hot_ale10_37c__1,-3.2008665897,-1.203917763
hot_tale__hot_ale10_37c__2,-3.4852631813,-1.064460219
hot_tale__hot_ale10_44c__1,-0.9109445731,-0.33641127800000004
hot_tale__hot_ale10_44c__2,-1.1145732078,-0.48593334800000004
hot_tale__hot_ale16_30c__1,-1.2471378403,-1.225151799
hot_tale__hot_ale16_30c__2,-1.5988243372,-1.286504902
hot_tale__hot_ale16_37c__1,-3.4122068159,-1.008285935
hot_tale__hot_ale16_37c__2,-2.9963224008,-1.04692664
hot_tale__hot_ale16_44c__1,-1.9626128362,-0.49602087300000003
hot_tale__hot_ale16_44c__2,-2.2473116903,-0.51856561
pdhr_ale__pdhR-13_51__1,-0.0644711618,-0.176512536
pdhr_ale__pdhR-13_51__2,-0.4586036672,-0.39135541500000004
pdhr_ale__pdhR-14_46__1,3.0758541953,0.15888021100000002
pdhr_ale__pdhR-14_46__2,1.8226602732,0.161884478
pdhr_ale__pdhR-15_51__1,0.0757985813,-0.615889839
pdhr_ale__pdhR-15_51__2,0.1670184046,-0.49749160700000006
pdhr_ale__pdhR-16_49__1,2.466594054,-0.067966413
pdhr_ale__pdhR-16_49__2,1.6410444183,0.10412513400000001
tcs__del_atoC_LiAcet__1,0.37944448810000003,-0.336693683
tcs__del_atoC_LiAcet__2,0.0861791618,-0.215687012
tcs__del_atoC_LiCl__1,0.2579587888,-0.08147957900000001
tcs__del_atoC_LiCl__2,0.2552138397,-0.004300972
tcs__del_atoC_m9__1,0.5864120367,-0.14496938
tcs__del_atoC_m9__2,0.9419561514,0.015667819
tcs__del_baeR_etoh__1,-3.9967592304,0.618167541
tcs__del_baeR_etoh__2,-3.8417838216,0.7076623590000001
tcs__del_baeR_lb__1,1.5597606767,0.7474483
tcs__del_baeR_lb__2,1.9085268686,0.6366818280000001
tcs__del_btsR_01xlb__1,4.2444179265,-0.029229743000000002
tcs__del_btsR_01xlb__2,4.6692948696,0.08890047200000001
tcs__del_btsR_lb__1,-3.1188356516,0.47073838
tcs__del_btsR_lb__2,-2.9443267835,0.312963041
tcs__del_btsR_pyruvate__1,5.0035946901,0.37981879900000004
tcs__del_btsR_pyruvate__2,4.943658582,0.283569506
tcs__del_cpxR_etoh__1,-3.2819902596,0.47252267000000003
