,A,BtsR
abx_media__m9_ctrl__1,-0.8819449686,-0.7837543035000001
abx_media__m9_ctrl__2,-0.9757363991,-0.7264880375
abx_media__rpmi_ctrl__1,6.2059163424,0.6223865785
abx_media__rpmi_ctrl__2,7.4948451615,0.6037871615
abx_media__camhb_ctrl__1,6.9581048995,-0.39949990750000003
abx_media__camhb_ctrl__2,7.8796104835000005,-0.033287500500000004
abx_media__m9_mero__1,-1.2676714508,-0.46815060350000004
abx_media__m9_mero__2,-0.7403192154,-0.7360995175
abx_media__rpmi_mero__1,4.5845781106,0.7140061775000001
abx_media__rpmi_mero__2,5.3868252437,0.6857565175
abx_media__camhb_mero__1,2.2072560861,-1.4815233195
abx_media__camhb_mero__2,2.8497576278,-1.6665925795
abx_media__m9_trisulf__1,0.0717652522,-1.5567060895
abx_media__m9_trisulf__2,-0.365431942,-1.3112542975
abx_media__rpmi_trisulf__1,4.0056351597,-1.2002429095
abx_media__rpmi_trisulf__2,4.3579902286,-1.2490415575
abx_media__camhb_trisulf__1,2.7947126606,-1.1347282155
abx_media__camhb_trisulf__2,3.1018902195,-1.4311622635
abx_media__m9_cef__1,2.0727975215,-1.7464988104999999
abx_media__m9_cef__2,2.1980007834,-1.3077367715000001
abx_media__rpmi_cef__1,4.2298645578,-0.0251548855
abx_media__rpmi_cef__2,4.1621823861,0.1124995265
abx_media__camhb_cef__1,6.272950987,-1.4605924175
abx_media__camhb_cef__2,5.8343057306,-1.4009898275000001
abx_media__m9_cipro__1,-0.3184020668,-1.1438388505
abx_media__m9_cipro__2,-0.8217050238,-1.0864325295
abx_media__rpmi_cipro__1,3.5891479476,-0.36192849850000003
abx_media__rpmi_cipro__2,3.218877718,-0.8857108885
abx_media__camhb_cipro__1,5.7699235482999995,-1.5117926895
abx_media__camhb_cipro__2,5.455665683,-1.7931712585000001
hot_tale__42c_ale3_30c__1,0.3229884589,0.3076535335
hot_tale__42c_ale3_30c__2,-0.2098573736,0.07769566950000001
hot_tale__42c_ale3_37c__1,0.0608333116,0.32476917650000003
hot_tale__42c_ale3_37c__2,0.37721953680000003,0.1531037995
hot_tale__42c_ale3_44c__1,1.1640275116,0.3847987855
hot_tale__42c_ale3_44c__2,0.5909686270000001,0.2267912315
hot_tale__hot_ale3_mid_30c__1,5.9355772558,-0.6766138745
hot_tale__hot_ale3_mid_30c__2,0.30795429490000004,0.18435666750000002
hot_tale__hot_ale3_mid_37c__1,0.2726694293,0.5242031175
hot_tale__hot_ale3_mid_37c__2,0.5603388508,0.1323415375
hot_tale__hot_ale3_mid_44c__1,2.8211717264000002,0.2758189155
hot_tale__hot_ale3_mid_44c__2,1.196762416,0.8090167685
hot_tale__hot_ale3_30c__1,-0.0306241491,-0.5031024665
hot_tale__hot_ale3_30c__2,0.26256797060000003,-0.1701810595
hot_tale__hot_ale3_37c__1,0.0257004384,0.13517250150000001
hot_tale__hot_ale3_37c__2,0.6411689958,0.1699008375
hot_tale__hot_ale3_44c__1,1.3723774768,0.1485643765
hot_tale__hot_ale3_44c__2,1.250463173,0.0178796985
hot_tale__hot_ale4_30c__1,-0.1124837585,0.0748855985
hot_tale__hot_ale4_30c__2,0.239234088,0.0898634735
hot_tale__hot_ale4_37c__1,0.3376767431,0.43698124250000003
hot_tale__hot_ale4_37c__2,0.0491664262,0.5173525265
hot_tale__hot_ale4_44c__1,1.6202946684000001,0.2733334095
hot_tale__hot_ale4_44c__2,1.3413723328,0.4180263555
hot_tale__hot_ale8_30c__1,0.8443027161000001,0.1548799545
hot_tale__hot_ale8_30c__2,0.887979488,-0.1955967785
hot_tale__hot_ale8_37c__1,0.3960917513,0.1652293165
hot_tale__hot_ale8_37c__2,0.48838696810000004,-0.0372336625
hot_tale__hot_ale8_44c__1,0.9976029855,0.2603518705
hot_tale__hot_ale8_44c__2,1.1823868616,0.3046675415
hot_tale__hot_ale9_mid_30c__1,0.4078339134,-0.1359491715
hot_tale__hot_ale9_mid_30c__2,1.0600944521,0.0052238105
hot_tale__hot_ale9_30c__1,0.47150831600000004,0.2285216585
hot_tale__hot_ale9_30c__2,-0.13354850270000002,0.2877190435
hot_tale__hot_ale9_mid_37c__1,0.6113222343,0.45188966350000004
hot_tale__hot_ale9_mid_37c__2,0.0758036282,0.43406722950000004
hot_tale__hot_ale9_37c__1,0.802471244,0.4121021895
hot_tale__hot_ale9_37c__2,-0.08510541840000001,0.2919180455
hot_tale__hot_ale9_mid_44c__1,0.1405055214,0.42670980750000004
hot_tale__hot_ale9_mid_44c__2,1.0556165002,0.35947948150000003
hot_tale__hot_ale9_44c__1,-0.045815306,0.46520870750000004
hot_tale__hot_ale9_44c__2,0.10437659290000001,0.5056558135
hot_tale__hot_ale10_30c__1,0.1269618321,0.00023751150000000002
hot_tale__hot_ale10_30c__2,0.387156221,-0.2779493075
hot_tale__hot_ale10_37c__1,0.17905209500000002,0.3413278175
hot_tale__hot_ale10_37c__2,0.5809507580000001,0.3791060115
hot_tale__hot_ale10_44c__1,2.9536765037,0.6975938525000001
hot_tale__hot_ale10_44c__2,2.0657680686,0.7854559535000001
hot_tale__hot_ale16_30c__1,6.7254461879,-0.1262933155
hot_tale__hot_ale16_30c__2,6.8860520815,-0.22872934550000001
hot_tale__hot_ale16_37c__1,5.484769214,0.2063092785
hot_tale__hot_ale16_37c__2,5.3918160062,0.20059482050000002
hot_tale__hot_ale16_44c__1,-0.1808852017,0.7671466765
hot_tale__hot_ale16_44c__2,-0.6023704744,0.8877203305
pdhr_ale__pdhR-13_51__1,1.098748537,0.0241339005
pdhr_ale__pdhR-13_51__2,0.8327353602,0.1289636775
pdhr_ale__pdhR-14_46__1,0.17033740290000002,-0.4060675105
pdhr_ale__pdhR-14_46__2,0.10023460910000001,-0.1803602845
pdhr_ale__pdhR-15_51__1,8.1249141376,-0.2478915905
pdhr_ale__pdhR-15_51__2,6.5693647935,-0.1109592335
pdhr_ale__pdhR-16_49__1,0.1903927312,-0.2371050805
pdhr_ale__pdhR-16_49__2,0.5749652691,-0.5585721255
tcs__del_atoC_LiAcet__1,3.3572071367,0.8218092775
tcs__del_atoC_LiAcet__2,3.670732534,0.9268594905
tcs__del_atoC_LiCl__1,1.1621750283,0.5819520805
tcs__del_atoC_LiCl__2,1.1273887133,0.7669174665
tcs__del_atoC_m9__1,1.1322992428,0.7420590795
tcs__del_atoC_m9__2,1.2333652958,0.6179421205
tcs__del_baeR_etoh__1,10.5946193107,0.6959836985000001
tcs__del_baeR_etoh__2,10.7985858296,0.9212543965000001
tcs__del_baeR_lb__1,2.6538600129,-0.3034723975
tcs__del_baeR_lb__2,2.3184141478,-0.45914196150000003
tcs__del_btsR_01xlb__1,1.2380321194000001,-4.1845354215
tcs__del_btsR_01xlb__2,-0.7101127722,-4.8343927655000005
tcs__del_btsR_lb__1,1.7065697815,-4.8343927655000005
tcs__del_btsR_lb__2,1.8079261679,-4.8343927655000005
tcs__del_btsR_pyruvate__1,-0.8395557627,-4.8343927655000005
