,A,SigD
S6_6,-36.4361056432,-4.1073666666666675
S7_4,-32.99085015,-3.667366666666668
S7_5,-32.8425708438,-3.8772666666666673
S7_6,-33.0389645458,-3.639866666666668
S8_4,-32.5235759756,-4.016066666666667
S8_5,-32.9927532877,-4.294166666666667
G135_1,-36.670758211,-2.6836666666666673
G135_3,-35.444735639,-4.209966666666668
G150_1,-32.2164050946,-2.0291666666666686
G150_2,-33.5258760786,-1.5956666666666681
G150_3,-30.7968429754,-1.468466666666668
G180_1,-35.4811095538,-2.6835666666666675
G180_2,-37.1082760567,-2.502666666666668
G180_3,-36.2790057675,-3.4235666666666678
C30_1,5.3436227185,0.5990333333333329
C30_2,5.3304933335,0.7298333333333318
C90_1,6.3892942805,0.30673333333333197
C90_2,9.4103173375,0.6408333333333331
BI_1,-14.0870956749,-0.9720666666666684
BI_2,-11.0522035971,-0.8328666666666678
BC_2,-41.36112354,-1.3734666666666673
BC/t_1,-41.7178282528,-2.1550666666666682
BC/t_2,-40.5490446134,-1.6176666666666684
BC_1,-40.3988500049,-2.0284666666666684
Sw_1,-13.9001709121,-1.2482666666666677
Sw_2,-13.1389894126,-0.42006666666666703
BT_1,-49.5027236537,-5.270266666666668
BT_2,-48.7629646501,-5.579366666666668
B36_1,-40.9709312073,-4.028166666666667
B36_2,-42.3490194256,-4.1732666666666685
B60_1,-41.6746970623,-3.667766666666667
B60_2,-42.439843373,-3.671266666666668
M9exp_1,-0.2723781482,0.2880333333333329
M9exp_2,-0.7454607742,-0.12016666666666787
M9exp_3,1.0178389223,-0.1678666666666686
M9tran_1,-3.8734234705,-0.7552666666666674
M9tran_2,-3.0574915693,-0.7456666666666685
M9tran_3,-2.4020830217,-0.42466666666666697
M9stat_1,-28.6684543931,-4.3950666666666685
M9stat_2,-30.8823573706,-3.395966666666668
M9stat_3,-30.5517914418,-4.0604666666666684
M+G_1,-1.7959863736,-0.29696666666666793
M+G_2,6.1431708189,0.18433333333333302
M+G_3,5.4056862748,-0.061666666666667425
Glu_1,8.1121131773,0.7182333333333322
Glu_2,8.2556345391,0.734633333333333
Glu_3,5.2590051925,0.5749333333333322
Fru_1,-2.1213624747,0.030233333333331558
Fru_2,5.4699799552,0.5694333333333326
Fru_3,6.2113916375,0.16923333333333268
Mal_1,1.5646905064999999,-0.276366666666668
Mal_2,1.6828224277000001,-0.21896666666666853
Mal_3,4.0018693475,0.2831333333333319
G+S_2,-4.6086397937,-1.0691666666666677
G+S_3,-5.5215844857,-0.7186666666666675
Pyr_1,-3.7880619953,-1.4504666666666672
Pyr_2,-1.546630621,-0.6287666666666674
Pyr_3,-2.0306860245,-0.7212666666666685
Gly_1,5.5436380573,0.18533333333333246
Gly_2,7.9228828936,0.8848333333333329
Gly_3,1.63440635,-0.7257666666666669
Glucon_1,1.0682982516,-0.42276666666666785
Glucon_2,4.0049525442,0.13913333333333178
Glucon_3,-3.9397095429,-1.054566666666668
aero_1,-0.9427637816000001,0.04243333333333155
aero_2,-0.6304942575,-0.7623666666666686
aero_3,4.8659221185,0.3501333333333321
nit_1,-3.7609960613,-0.656366666666667
nit_2,0.38330837360000003,-0.43716666666666804
nit_3,-3.0583801338,-0.856366666666668
ferm_1,-6.7715464369,-1.1288666666666671
ferm_2,-3.5246056864,-1.2709666666666681
ferm_3,-6.0955004683,-0.8992666666666675
T-5.40H_1,4.7263389476,0.6768333333333327
T-4.40H_1,3.5949682449,0.5421333333333322
T-3.40H_1,1.1602193832,0.1144333333333325
T-2.40H_1,1.0013667837,-0.12416666666666742
T-1.40H_1,-0.5241402122000001,-0.27376666666666694
T-1.10H_1,-1.2487815964,-0.005666666666668263
T-0.40H_1,-0.7614494782,-0.34946666666666815
T0.0H_1,0.5007087166,-0.31426666666666847
T0.30H_1,-5.8592808467,-2.2345666666666677
T1.0H_1,-9.4319357856,-2.609166666666667
T1.30H_1,-12.9393031715,-2.963166666666668
T2.0H_1,-15.7015127267,-3.2631666666666685
T2.30H_1,-14.7338932308,-2.565166666666668
T3.0H_1,-17.3656260967,-3.1434666666666686
T3.30H_1,-20.2775685564,-2.9603666666666673
T4.0H_1,-24.0384191396,-3.236366666666667
T5.0H_1,-31.4146581374,-4.008966666666668
HPh_1,1.9946751444,0.2402333333333324
HPh_2,0.974050713,-0.3313666666666677
HPh_3,-2.2813492146,-0.6558666666666682
LPh_1,-0.5130151756,0.2582333333333331
LPh_2,-0.6580333819,0.6924333333333319
LPh_3,-3.8120736954,-0.044166666666667354
LPhT_1,1.0134563665,-1.2318666666666687
LPhT_2,0.7609677534,-0.9936666666666678
LPhT_3,-0.9075479926000001,-0.5256666666666678
SMMPr_1,-0.8771720548,-0.4325666666666681
SMMPr_2,-2.3192404222,-0.5403666666666673
SMMPr_3,1.5423011347,-0.33926666666666705
HiTm_1,-17.5466719086,-1.2682666666666673
HiTm_2,-8.4273787056,-1.232566666666667
HiTm_3,-9.3761860745,-1.224166666666667
LoTm_1,-25.4038319289,-2.3650666666666673
LoTm_2,-26.5868357727,-2.788566666666668
LoTm_3,-25.2135054406,-2.676566666666668
HiOs_1,-31.4511609724,-2.0361666666666682
HiOs_2,-35.1634997209,-2.338466666666667
HiOs_3,-32.6381275397,-2.310666666666668
BMM_1,2.9365415362,0.2676333333333325
BMM_2,3.0902925589,0.24523333333333142
BMM_3,0.9464395112,0.41463333333333274
Heat_1,-5.144895135,-0.573266666666667
Heat_2,-4.4229163482,-0.4767666666666681
Heat_3,-4.5617597235,-0.8727666666666671
Cold_1,13.0885886486,0.657333333333332
Cold_2,11.1245469667,-0.3966666666666683
Cold_3,9.038677987,-0.8809666666666676
Etha_1,-15.9639403147,-1.3092666666666677
Etha_2,-16.263840196,-2.518366666666667
Etha_3,-14.8671117846,-1.2863666666666678
SMM_1,6.0895321563,0.4792333333333332
SMM_2,6.1538517467,0.376833333333332
SMM_3,6.4315089624,0.4117333333333324
Salt_1,-9.7151043508,0.3374333333333315
Salt_2,-9.6420511837,0.2098333333333322
Salt_3,-9.2811897999,0.37373333333333214
Mt0_1,-8.6948119488,-0.7183666666666682
Mt0_3,-15.1920290442,-1.1484666666666676
M0t45_1,5.4250619643,0.37123333333333264
M0t45_2,1.6539963668,0.07043333333333202
M0t45_3,0.8240845407,0.1299333333333319
M0t90_1,10.844906337,-0.155166666666668
M0t90_2,13.2300890388,0.5760333333333314
M0t90_3,9.5603981307,-0.04476666666666773
M40t45_1,3.2506191021,0.3783333333333321
M40t45_2,6.1970987502,0.502933333333333
M40t45_3,-0.5346409717,0.17433333333333145
M40t90_1,8.9224574373,0.05623333333333136
M40t90_2,9.376632032,0.4003333333333323
M40t90_3,5.8001015247000005,-0.29806666666666715
dia0_1,-5.5320393272,-0.6969666666666683
dia0_2,-3.898496385,-0.17776666666666685
dia0_3,-1.1039823447,0.19193333333333307
dia5_1,-8.0620164354,-0.8151666666666681
dia5_2,-8.0463143024,-0.9450666666666674
dia5_3,-6.4964988899,-1.091866666666668
dia15_1,-11.599638226,-0.7960666666666683
dia15_2,-8.6246164864,-0.7213666666666683
dia15_3,-9.7052007474,-2.322766666666668
Diami_1,-8.5793611745,-1.7604666666666677
Diami_2,-4.6685983158,-1.2576666666666672
Diami_3,-9.4838168296,-1.4022666666666677
Paraq_1,-11.1454797727,-1.057566666666668
Paraq_2,-8.5835532423,-0.5241666666666678
Paraq_3,-11.5515201141,-2.089966666666667
H2O2_1,-14.1503987567,-1.8130666666666677
H2O2_2,-14.3859097456,-1.2574666666666676
H2O2_3,-17.3494084282,-1.797366666666667
Oxctl_1,-9.9977148063,-1.1518666666666668
Oxctl_2,-10.2598379437,-1.1232666666666677
Oxctl_3,-9.4925417054,-0.576666666666668
GM-0.1_1,5.027165854,0.07343333333333213
GM-0.2_1,2.8875715908,0.20133333333333248
GM+5_1,5.8851707995,-0.012266666666667092
GM+15_1,6.2196968465,0.14963333333333217
GM+25_1,10.5206579412,0.9855333333333327
GM+45_1,7.237530444,0.6380333333333326
GM+60_1,7.8309963222,0.5748333333333324
GM+90_1,7.0557142839,0.7984333333333318
GM+120_1,3.1173472303,-0.2505666666666677
GM+150_1,4.3059246273,-0.17276666666666785
GM-0.1_2,7.9112947507,0.7322333333333315
GM-0.2_2,8.1252924794,0.5436333333333323
GM+5_2,8.703744650400001,0.4272333333333318
GM+10_2,10.2474404943,0.550633333333332
GM+15_2,9.1736478411,0.05613333333333159
GM+25_2,13.0688378603,0.4173333333333318
GM+45_2,10.3195692816,-0.4319666666666677
GM+60_2,8.5471917889,-0.35746666666666727
GM+90_2,11.4227595775,0.8671333333333315
GM+150_2,1.4949223783,-1.0928666666666675
GM-0.1_3,11.9538138637,0.6616333333333326
GM-0.2_3,13.4095800345,0.730833333333333
GM+5_3,11.1036634202,0.810533333333332
GM+10_3,9.5100069107,-0.43546666666666844
GM+15_3,11.3828123894,0.23343333333333227
GM+25_3,10.8336200107,0.03233333333333199
GM+45_3,7.4219609084,-0.015066666666667672
GM+60_3,7.7784844332,-0.005666666666668263
GM+90_3,11.6342519804,0.6891333333333325
GM+120_3,9.6116226366,0.17903333333333293
GM+150_3,10.5638223368,0.4255333333333322
MG-0.1_1,2.073083665,0.22053333333333214
MG+5_1,4.1175819102,0.48483333333333256
MG+10_1,5.8049573379,0.9513333333333325
MG+15_1,4.5857100106,0.011533333333332507
MG+25_1,5.3604966246,0.6576333333333331
MG+45_1,4.4120405194,0.146233333333333
MG+120_1,3.4309959103,-0.8231666666666673
MG+150_1,7.8345298053,0.423333333333332
MG-0.1_2,-1.2343941693,-1.012666666666668
MG-0.2_2,-1.303164419,-0.505766666666668
MG+5_2,-0.11817384500000001,-0.12876666666666736
MG+10_2,0.7179244448000001,0.2071333333333314
MG+15_2,2.0392833309,0.7330333333333314
MG+25_2,0.160781161,-0.1070666666666682
MG+45_2,-2.2635647088,-0.6381666666666685
MG+60_2,0.8357339737,0.04123333333333257
MG+90_2,3.7615500146,-0.19596666666666707
MG+120_2,4.1743810565,0.24173333333333247
MG-0.1_3,-5.9530402002,-0.09766666666666701
MG-0.2_3,-6.5621837995,-0.708966666666667
MG+5_3,-6.0534458293,-0.9631666666666678
MG+10_3,-7.0857928617,-1.2663666666666682
MG+15_3,-4.547362127,-0.37676666666666847
MG+25_3,-4.279463991,-0.15066666666666784
MG+45_3,-4.3412386689,0.1606333333333314
MG+60_3,-4.2062400262,-0.497066666666667
MG+90_3,3.4422955602,0.21493333333333275
MG+120_3,4.1950270546,-0.21846666666666792
MG+150_3,7.7599343749,-0.08026666666666848
