,A,AbrB
M40t90_3,4.9865783082,-2.0428
dia0_1,-16.0286383617,0.41600000000000004
dia0_2,-11.7120491925,0.3593
dia0_3,-13.2331357948,0.1242
dia5_1,-12.9008959922,1.6343
dia5_2,-11.3988067768,1.3548
dia5_3,-12.5735704895,0.9587
dia15_1,-18.9348118434,0.5695
dia15_2,-18.3802448468,-0.14400000000000002
dia15_3,-14.205548261,-0.38530000000000003
Diami_1,-22.7838646847,0.1852
Diami_2,-20.2946613537,0.6117
Diami_3,-21.9944669643,0.2298
Paraq_1,-24.340544143,0.5481
Paraq_2,-21.5736790947,1.2476
Paraq_3,-21.468573984,-0.21130000000000002
H2O2_1,-25.2545537886,0.23750000000000002
H2O2_2,-23.8320601111,0.4511
H2O2_3,-25.0099160927,0.2298
Oxctl_1,-19.7755174029,0.1965
Oxctl_2,-19.5107764486,0.2277
Oxctl_3,-20.1574975394,1.193
GM-0.1_1,-3.5497465073,0.44270000000000004
GM-0.2_1,-4.1639322602,0.26230000000000003
GM+5_1,-3.0790697881,0.3032
GM+15_1,-4.039526896,0.6156
GM+25_1,-3.9407604565,0.7334
GM+45_1,-1.2133363217,0.664
GM+60_1,0.6759594336,0.2977
GM+90_1,5.531242731,-0.10840000000000001
GM+120_1,8.0165233626,-2.1944
GM+150_1,16.2971503712,-1.2409
GM-0.1_2,-14.2639472,0.6885
GM-0.2_2,-11.339719841299999,0.6262
GM+5_2,-13.5377135406,0.6951
GM+10_2,-13.9663058115,0.7064
GM+15_2,-12.820170600600001,0.8456
GM+25_2,-12.6084931962,0.8391000000000001
GM+45_2,-11.2025542223,-0.6863
GM+60_2,-6.9678183019,-0.9699000000000001
GM+90_2,0.9805711466,-1.1871
GM+150_2,20.8295182535,-2.6172
GM-0.1_3,1.8193710733000001,0.5424
GM-0.2_3,1.3410258309,0.2978
GM+5_3,2.667197057,0.5598000000000001
GM+10_3,1.0582569072,-0.3725
GM+15_3,2.5634580034,0.5979
GM+25_3,1.721214883,0.14550000000000002
GM+45_3,-0.41167858030000004,-0.4621
GM+60_3,3.4748983429,-0.8101
GM+90_3,9.6033990414,-1.0724
GM+120_3,11.2274887873,-1.475
GM+150_3,17.5815133907,-1.615
MG-0.1_1,-12.4211819437,0.6352
MG+5_1,-11.4523447314,0.7941
MG+10_1,-12.1046228846,0.6001000000000001
MG+15_1,-10.8176474181,0.1595
MG+25_1,-9.5958950615,0.8247
MG+45_1,-7.1482119513,0.9641000000000001
MG+120_1,8.4734356917,-1.9435
MG+150_1,19.6115743422,-1.8598
MG-0.1_2,-15.7167756614,-0.0054
MG-0.2_2,-16.3965855593,0.5758
MG+5_2,-16.8950264853,0.6041000000000001
MG+10_2,-16.9431076003,0.7609
MG+15_2,-14.2718566515,0.9598000000000001
MG+25_2,-14.1096321246,0.6394000000000001
MG+45_2,-15.0794461327,0.16090000000000002
MG+60_2,-12.8229428895,0.3155
MG+90_2,-7.2621694717,-0.6605000000000001
MG+120_2,9.6978968214,-1.4605000000000001
MG-0.1_3,-19.8471897008,1.6344
MG-0.2_3,-18.3028866744,1.306
MG+5_3,-17.8106780607,1.0637
MG+10_3,-19.0843094703,-0.0766
MG+15_3,-19.3966597508,1.2244
MG+25_3,-17.5521197654,1.4026
MG+45_3,-18.3152614359,1.2103
MG+60_3,-17.5887704469,0.21030000000000001
MG+90_3,-9.0086441143,0.15660000000000002
MG+120_3,5.1384028432,-0.8247
MG+150_3,13.0491125118,-1.0244
