,A,CzrA
G150_1,-0.2413430575,-1.4795666666666687
G150_2,-3.7153804505,-1.2075666666666685
G150_3,-2.6988926161,-1.3966666666666683
G180_1,-1.9541583913,-1.5355666666666679
G180_2,-3.5081003157,-1.371666666666668
G180_3,-1.7528021805,-2.1328666666666685
C30_1,3.3314980681,-0.7616666666666685
C30_2,2.5587181677,-0.8845666666666681
C90_1,3.7704511032,-0.5208666666666684
C90_2,1.2440311669,-0.3899666666666679
BI_1,4.4229382946,-0.2179666666666673
BI_2,6.3205416986,-0.1526666666666685
BC_2,3.696274404,-0.8968666666666678
BC/t_1,3.7801212443,-1.4918666666666685
BC/t_2,5.0131428919,-0.4728666666666683
BC_1,3.7929615682,-1.7836666666666687
Sw_1,7.3484780504,-2.278566666666668
Sw_2,6.6449941611,-1.9626666666666672
BT_1,5.8550947467,-1.6667666666666676
BT_2,5.6511415545,-2.2286666666666672
B36_1,5.7283740397,-1.5060666666666673
B36_2,5.5541838539,-1.440966666666668
B60_1,7.2212354311,-1.5045666666666673
B60_2,5.0743058738,-0.8079666666666672
M9exp_1,-0.5158033872000001,0.3422333333333327
M9exp_2,-0.38360324900000004,-0.05216666666666825
M9exp_3,0.8994066362,-0.290066666666668
M9tran_1,5.3367136121,-0.23636666666666706
M9tran_2,4.0086234679,-0.22686666666666788
M9tran_3,3.9229075595,0.16413333333333213
M9stat_1,7.3754174464,-1.8132666666666672
M9stat_2,8.5044526738,-2.200166666666668
M9stat_3,8.9443079224,-2.271366666666667
M+G_1,5.2299045704000005,-0.17086666666666872
M+G_2,0.9776876424000001,-0.6477666666666675
M+G_3,1.8036246564,-0.3789666666666687
Glu_1,0.9415144464,0.3743333333333325
Glu_2,0.9432636509000001,-0.2494666666666685
Glu_3,1.3881544807,-0.08426666666666804
Fru_1,4.0494746828,-0.021466666666666967
Fru_2,1.9885022783,-0.2425666666666686
Fru_3,0.9254681876,-0.4001666666666672
Mal_1,5.3802964129,-1.089666666666668
Mal_2,2.8144805869000002,-0.6486666666666672
Mal_3,3.7562386487,-0.18596666666666728
G+S_2,4.2766605175,-0.5668666666666677
G+S_3,3.833445067,-0.13596666666666835
Pyr_1,1.6112588956,-0.4251666666666676
Pyr_2,2.9635206568,-0.48196666666666843
Pyr_3,2.0765526697,-0.3446666666666687
Gly_1,14.9769278672,-1.5268666666666686
Gly_2,14.412883105,-0.989766666666668
Gly_3,18.3920417348,-2.139166666666668
Glucon_1,3.5980576177,-0.5547666666666675
Glucon_2,2.4028904752,-0.08006666666666717
Glucon_3,4.634653078,-0.6805666666666674
aero_1,-3.094151089,-0.10596666666666721
aero_2,0.521843347,-0.9233666666666682
aero_3,-0.16086514,-0.14406666666666723
nit_1,3.8223816232,-0.11726666666666752
nit_2,3.8126177117999998,0.35843333333333227
nit_3,3.3983835674,-0.05516666666666836
ferm_1,5.3696837588,-0.1433666666666671
ferm_2,6.0995308444,-0.22786666666666733
ferm_3,4.8817116731,0.18463333333333232
T-5.40H_1,-0.8169670779,0.413433333333332
T-4.40H_1,-0.9680853734,0.44253333333333167
T-3.40H_1,0.6061429690000001,0.2294333333333327
T-2.40H_1,0.1155691149,0.10563333333333169
T-1.40H_1,0.3054646809,-0.06986666666666785
T-1.10H_1,0.6147076497,-0.0730666666666675
T-0.40H_1,-0.7150990854,-0.004866666666668351
T0.0H_1,0.1185597627,-0.08746666666666769
T0.30H_1,14.3387841714,-1.3191666666666677
T1.0H_1,10.996361246,-1.0017666666666685
T1.30H_1,9.8424504489,-1.362466666666668
T2.0H_1,6.9042369845,-1.4848666666666688
T2.30H_1,6.9405607659,-0.6216666666666679
T3.0H_1,7.2198439607000005,-0.9619666666666671
T3.30H_1,6.6082811034999995,-0.8252666666666677
T4.0H_1,6.2286794303,-0.707766666666668
T5.0H_1,5.2140209958,-1.4339666666666684
HPh_1,3.3791005982,0.025433333333332087
HPh_2,3.0183001062,-0.24796666666666844
HPh_3,4.2517140483,-0.058566666666667544
LPh_1,4.2703390314,-0.1073666666666675
LPh_2,2.7062664308,0.2594333333333321
LPh_3,4.0165786825,-0.2892666666666681
LPhT_1,11.4334598601,0.326533333333332
LPhT_2,12.0639230994,0.020933333333331916
LPhT_3,12.3694211042,0.1722333333333328
SMMPr_1,5.0886500649,-0.47146666666666803
SMMPr_2,6.9116060578,-0.1950666666666674
SMMPr_3,7.0596589959,-0.1681666666666679
HiTm_1,5.1181725232,-0.7492666666666672
HiTm_2,7.2119452084,-0.052666666666667084
HiTm_3,4.3947455596000005,-0.1521666666666679
LoTm_1,10.154449203,0.4020333333333319
LoTm_2,10.5672858566,0.34553333333333214
LoTm_3,10.0308321607,0.12123333333333264
HiOs_1,6.5121878725,0.43263333333333165
HiOs_2,6.054000642,0.17093333333333227
HiOs_3,6.9264031437,0.30893333333333217
BMM_1,-0.15058008280000001,-0.6206666666666685
BMM_2,0.15232368570000002,-0.8123666666666676
BMM_3,-1.9140580705999999,-0.1690666666666676
Heat_1,5.2617299114,0.3774333333333324
Heat_2,5.7467130397,0.029733333333332723
Heat_3,5.9859709555,-0.09166666666666856
Cold_1,-0.1026179517,0.2775333333333325
Cold_2,-1.2436233484,0.048933333333332385
Cold_3,-0.039465647,-0.07546666666666724
Etha_1,7.1299898562,0.027833333333331822
Etha_2,6.8044835957,0.10803333333333143
Etha_3,5.9453139639,0.22043333333333237
SMM_1,3.7933192298,-0.27256666666666796
SMM_2,4.0205064836,-0.37466666666666804
SMM_3,3.7866758024,-0.3493666666666684
Salt_1,0.334601918,-0.8135666666666683
Salt_2,0.1373744549,-1.0800666666666672
Salt_3,-0.0613009058,-1.171166666666668
Mt0_1,11.4563956012,-0.48226666666666773
Mt0_3,6.4385218124,-0.5811666666666682
M0t45_1,10.2337836293,-0.2309666666666672
M0t45_2,17.3210673033,-0.6694666666666684
M0t45_3,8.4667767182,-0.003666666666667595
M0t90_1,12.6283685196,-0.879666666666667
M0t90_2,14.2948118875,-0.20986666666666842
M0t90_3,11.535335547,-0.5392666666666681
M40t45_1,11.7675386037,-0.8451666666666675
M40t45_2,10.4290826174,0.1711333333333318
M40t45_3,8.476357031,-0.05096666666666749
M40t90_1,13.5032118352,-1.3355666666666686
M40t90_2,15.3639055296,-0.5131666666666685
M40t90_3,17.6278271324,-0.36796666666666766
dia0_1,12.3661325757,-0.5700666666666674
dia0_2,12.3077543925,-0.4364666666666679
dia0_3,13.0282696916,-0.26346666666666785
dia5_1,24.335982767,0.8317333333333323
dia5_2,23.2616032817,1.2645333333333326
dia5_3,22.0818252501,1.282333333333332
dia15_1,9.5785558268,1.9488333333333312
dia15_2,2.1865721966000002,1.6309333333333313
dia15_3,4.1074338264,1.0116333333333323
Diami_1,14.3535664446,0.2897333333333325
Diami_2,14.7791790763,0.6752333333333329
Diami_3,13.1585354392,0.6261333333333319
Paraq_1,-2.832372523,-0.8543666666666674
Paraq_2,-2.9673380984,-0.5306666666666686
Paraq_3,-1.6960364109000001,-1.4037666666666677
H2O2_1,-3.5774041546,0.1736333333333313
H2O2_2,-3.5615458915,0.19123333333333292
H2O2_3,-2.3667741984,-0.0968666666666671
Oxctl_1,-1.3118826863,-1.027866666666668
Oxctl_2,0.4318997564,-0.8943666666666683
Oxctl_3,-2.0804551409,-0.6579666666666686
GM-0.1_1,1.2659927904,-0.2810666666666677
GM-0.2_1,1.0564742069,-0.34166666666666856
GM+5_1,1.7145969881,-0.4853666666666676
GM+15_1,1.4043472713,-0.18216666666666725
GM+25_1,0.9916881283000001,0.14473333333333294
GM+45_1,0.5494163179,0.21083333333333165
GM+60_1,1.1353108074,-0.022666666666667723
GM+90_1,0.43464783640000004,-0.13106666666666733
GM+120_1,1.7130105438,-1.001166666666668
GM+150_1,2.2605324412,-0.2721666666666671
GM-0.1_2,1.1694838878,0.04733333333333256
GM-0.2_2,1.8333219466,-0.0018666666666682374
GM+5_2,0.4892747854,-0.08276666666666799
GM+10_2,0.45106445970000003,-0.19286666666666719
GM+15_2,2.1412804722,-0.21526666666666827
GM+25_2,1.8735345105999999,-0.15006666666666746
GM+45_2,1.0891659867,-0.7395666666666685
GM+60_2,2.0764620217,-0.7175666666666682
GM+90_2,0.7605718763,0.07673333333333154
GM+150_2,2.9644107771,-0.7720666666666673
GM-0.1_3,0.8976983109000001,-0.07176666666666698
GM-0.2_3,-0.32131324780000003,-0.14676666666666804
GM+5_3,-0.44130633620000004,0.14313333333333134
GM+10_3,0.685001264,-0.9776666666666678
GM+15_3,0.4071380497,-0.21776666666666777
GM+25_3,1.0421169794,-0.2242666666666686
GM+45_3,0.6004531137,-0.12996666666666812
GM+60_3,2.2319708115,-0.5807666666666673
GM+90_3,2.019576653,-0.657466666666668
GM+120_3,2.0200310592,-0.2259666666666682
GM+150_3,1.0821812733,-0.37986666666666835
MG-0.1_1,1.7460365244,0.02893333333333281
MG+5_1,0.6268277672,-0.40666666666666806
MG+10_1,-0.42217193470000003,-0.08806666666666807
MG+15_1,0.6233514154,-0.7720666666666673
MG+25_1,-0.9532409900000001,-0.1507666666666676
MG+45_1,-0.7019756839,-0.5096666666666678
MG+120_1,1.8767833300999999,-0.09776666666666856
MG+150_1,3.87591661,-0.49706666666666877
MG-0.1_2,2.7404730339,-0.4048666666666687
MG-0.2_2,2.2187683049,0.00413333333333199
MG+5_2,1.1582850291,-0.22306666666666786
MG+10_2,0.1433628139,-0.14146666666666796
MG+15_2,0.4223358901,0.15743333333333176
MG+25_2,0.1221699692,-0.5913666666666675
MG+45_2,-0.2752949343,-0.7483666666666675
MG+60_2,1.0933726418,-0.20016666666666794
MG+90_2,1.336613625,-0.7745666666666686
MG+120_2,4.7389348147,-0.06096666666666728
MG-0.1_3,3.0600431526,0.6025333333333318
MG-0.2_3,3.9905960334,0.3534333333333315
MG+5_3,2.7770800320999998,-0.29946666666666744
MG+10_3,0.6948571734,-0.5100666666666687
MG+15_3,0.7456799312,-0.06456666666666777
MG+25_3,0.5300738556,-0.1372666666666671
MG+45_3,0.4931673413,0.24033333333333218
MG+60_3,1.0431743278,-0.10466666666666846
MG+90_3,2.0392944616,-0.10766666666666858
MG+120_3,5.4185492706,-0.1026666666666678
MG+150_3,5.1205363386,0.07253333333333245
