,A,BluR
abx_mega__novo_h2o__2,-1.0059102274,-1.3151658542
abx_mega__dmso-10__2,-5.0334503247,-0.5682961692
abx_mega__phos_h2o__3,-2.7590324233,0.3112936739
abx_mega__dmso-6__2,-2.6745023071,-0.24428827760000002
abx_mega__rfp_ethanol__1,-4.2045195792,-2.1407818982
abx_mega__dmso-5__3,-2.0389252523,0.0802457231
abx_mega__amyc-d_dmso__1,2.0840180839,1.2853327213
abx_mega__sxt_dmso__1,-3.3670463431,-1.3249242204
abx_mega__dmso-1__1,-2.0582623826,-0.3655878238
abx_mega__pen_h2o__1,-1.1618519172,-0.2733750202
abx_mega__dmso-10__3,-3.3283028229,-0.8305025176
abx_mega__nal_naoh__4,-1.485757178,-0.20309935880000002
abx_mega__cip_naoh__1,-1.4104394958,-0.5893952032
abx_mega__pen_h2o__2,-1.9283646242999999,0.0020635769
abx_mega__ery_dmso__2,0.6539963363,-0.3416266233
abx_mega__dmso-2__2,-8.2486527551,0.6077569948
abx_mega__van_dmso__2,-3.2945389237000002,-0.2973072471
abx_mega__h2o-1b__1,-2.1090009915,0.3936218244
abx_mega__ery_h2o__1,0.6452075605,0.49849388450000004
abx_mega__bacit_h2o__1,-6.2534105244,-1.9736231997
abx_mega__chl_h2o__2,1.4688443944,0.1163490148
abx_mega__str_h2o__2,-8.1647375204,0.4829360755
abx_mega__rfp_ethanol__2,-6.8701099923,-0.8441270276
abx_mega__polmyx_h2o__2,-1.516596282,-1.0741221699
abx_mega__tric_h2o__1,0.4254663563,-0.5483020645000001
abx_mega__cip_naoh__2,0.1778105015,-0.008710404100000001
abx_mega__novo_h2o__3,-0.2494624469,-1.5590637847000002
abx_mega__bacit_dmso__1,-1.4118580256,-0.38315748380000003
abx_mega__gen_h2o__1,-4.3854396359,1.2484842107
abx_mega__bacit_dmso__2,-0.09823108450000001,-0.40993297830000003
abx_mega__chl_dmso__1,-0.6748917636,-0.2615850389
abx_mega__bacit_h2o__2,-1.3869015267,-0.46811544180000003
abx_mega__lvx_dmso__1,-2.5287109622,-1.1598649407
abx_mega__bacit_h2o__3,-4.0507270241,-1.5803736649
abx_mega__nor_naoh__2,1.7300994975,0.1594371801
abx_mega__amyc-d_dmso__2,0.7092365298000001,0.8003009188
abx_mega__polmyx_h2o__3,-5.1582920382,1.2716017416
abx_mega__naoh-6__1,-4.5094970671,0.4206208444
abx_mega__cst_h2o__2,-0.9684689166,0.6482626456
abx_mega__h2o-1b__2,-3.0694449495,0.8477339279
abx_mega__rfp_h2o__1,5.2404918877,0.5864499899
abx_mega__tet_h2o__1,0.4806182523,-0.2673612708
abx_mega__flavo_dmso__1,-4.6199113358,-0.3408220104
abx_mega__zeocin_h2o__1,-4.4180863993,-1.1919697886
abx_mega__nor_naoh__3,1.1227790876000001,0.0471424814
abx_mega__rach_dmso__2,-7.0781958909,-2.136983017
abx_mega__thio_dmso__2,1.3091085934,0.3442651229
abx_mega__amyc-d_dmso__3,2.6724653586000002,1.1446900163
abx_mega__rif_dmso__2,0.0989713675,0.8251550265
abx_mega__amyc-d_dmso__4,2.3894445037,0.7503664993
abx_mega__teix_dmso__3,-3.8114869774,0.0234813767
abx_mega__valin_dmso__1,-1.3285898627,-0.6156036099000001
abx_mega__teix_dmso__4,-2.6022238386,-0.0354581161
abx_mega__ethanol-10__1,-3.6388095191,-0.8308190536000001
abx_mega__inh_h2o__1,-3.8101160261,-1.8406551430000002
abx_mega__rif_dmso__3,1.3816128503,-0.0928124426
abx_mega__van_dmso__3,1.854328529,-0.6968536442000001
abx_mega__doxo_dmso__1,-4.2051528747,-1.2497215031
abx_mega__tmp_dmso__1,-1.2812568089,0.0259748001
abx_mega__ethanol-10__2,-3.8017405572,-1.5971396694000002
abx_mega__tmp_dmso__2,-2.2035834372,0.019763628000000002
abx_mega__amyc-d_dmso__5,3.7288352128,1.0250690807
abx_mega__novo_h2o__4,-4.3495297914,-1.6682443524
abx_mega__cro_h2o__2,-4.5848319378,-1.0708192009
abx_mega__cro_h2o__3,-5.1961166203,-1.4351398408
abx_mega__gen_h2o__2,-6.1453453047,0.9947524996
abx_mega__phos_h2o__4,-8.9798245478,0.4727378232
abx_mega__metro_dmso__2,-0.7996234916,0.3383374088
abx_mega__ery_h2o__2,1.8268745576,0.5538349587
abx_mega__sacet_h2o__1,-6.150356065,2.2312547198
abx_mega__nal_naoh__5,-1.7013455272,0.1181363285
abx_mega__bacit_h2o__4,-1.4332827268,-0.0388861238
abx_mega__cip_naoh__3,-2.7968347062000003,-0.7859237567
abx_mega__ethanol-8__1,-6.4528676394,-0.8822464911000001
abx_mega__h2o-8a__1,-0.2567110805,-0.2148043603
abx_mega__ery_h2o__3,-0.4027130707,0.1703886823
abx_mega__flavo_dmso__2,-7.2961596484,-1.8276031151
abx_mega__rif_dmso__4,1.019116455,-0.07526238290000001
abx_mega__novo_h2o__5,-1.1847623649,-1.6085516057
abx_mega__teix_dmso__5,-5.4782814992,-0.7839913153
abx_mega__naoh-2__1,-6.6185124274,1.2037918844
abx_mega__novo_h2o__6,-1.0921466761,-1.2126191822
abx_mega__ctx_h2o__3,-7.1725753609,-1.9073498713
abx_mega__rach_dmso__3,-7.4486602535,-2.220308144
abx_mega__valin_dmso__2,-2.0493577726,0.0135610204
abx_mega__amyc-d_dmso__6,4.8459634298,1.021593618
abx_mega__dox_dmso__2,-0.742476949,-0.1694575235
abx_mega__teix_dmso__6,-6.5537514239,-1.6666627056
abx_mega__naoh-6__2,-2.4022479795000002,0.42398824030000004
abx_mega__inh_h2o__2,-1.9022842885000002,0.0190549722
abx_mega__chl_h2o__3,-0.4094517829,-1.4362141379
abx_mega__nal_naoh__6,-1.2011585773,0.13676558960000001
abx_mega__chl_dmso__2,-0.5559824457,-0.2399505527
abx_mega__rach_dmso__4,-6.8561125614,-2.165629308
abx_mega__teix_dmso__7,-5.1851012445,-1.2178050911
abx_mega__ceru_ethanol__1,-2.0801133902,-0.19342122750000001
abx_mega__dmso-7__1,-4.8497542983,-1.3960787615
abx_mega__naoh-6__3,-2.3985212953,0.3421590183
abx_mega__phos_ethanol__2,-4.2184218627,-0.32644132670000003
abx_mega__metro_dmso__3,0.028982208000000002,0.4933449037
abx_mega__van_dmso__4,1.7656837537,-0.4824439022
abx_mega__h2o-10__1,-2.1421255394,-1.4073386747
abx_mega__h2o-10__2,-2.8350447839,-1.3589359457
abx_mega__dmso-6__3,-1.9658205256,-0.20142419320000002
abx_mega__mem_dmso__1,-3.9856838945,-1.8231548357
abx_mega__ethanol-8__2,-3.5563034124,-0.3350827615
abx_mega__chl_h2o__4,-1.2111574825,-1.4138264424
abx_mega__van_h2o__1,0.26297450910000003,-0.1084014824
abx_mega__dcs_h2o__1,-7.3928214061,-1.2871498986
abx_mega__rif_dmso__5,-0.20656175170000002,0.5558382932
abx_mega__dox_dmso__3,-3.7147386735,-0.5433063708
abx_mega__mem_dmso__2,-1.6593146826,-0.42830298980000003
abx_mega__lvx_dmso__2,-0.8473172689,-1.0084921302
abx_mega__tet_h2o__2,3.9295434344,0.31351575400000004
abx_mega__phos_h2o__5,-6.8503842242,0.7170481912000001
abx_mega__monac_dmso__1,-3.0877982654,-0.6352132435
abx_mega__str_h2o__3,-5.2264804226,-2.2676983402
abx_mega__zeocin_h2o__2,-5.0272340508,0.1810624141
abx_mega__amyc-d_dmso__7,5.7140278582,0.5960444391
abx_mega__fidax_dmso__1,-5.344446631,-0.8754776736000001
abx_mega__h2o-1a__1,-0.0756860949,-0.0974701792
abx_mega__dox_dmso__4,-1.4417380115,0.006358079
abx_mega__lzd_dmso__2,-3.4134141598,-0.2616244184
abx_mega__tet_h2o__3,-0.5296647598,-0.2657183381
abx_mega__dmso-1__2,-2.1637189464,-0.5005039122
abx_mega__sxt_dmso__2,-1.5959603407,-0.4001406602
abx_mega__tric_ethanol__2,-1.7981385735000002,-1.0711122872
abx_mega__teix_dmso__8,-2.2078688763,-0.501241237
abx_mega__ramo_h2o__2,-4.7086425688,-1.603012909
abx_mega__inh_h2o__3,-5.3020326846,-1.2658119961
abx_mega__cst_h2o__3,-2.091654961,0.7421518448000001
abx_mega__dmso-9__1,-3.0595309126,-0.4202700404
abx_mega__ethanol-8__3,-2.4240919513,-0.9248239637000001
abx_mega__monac_dmso__2,-3.0445800468,-0.6076625649
abx_mega__dmso-9__2,-2.3464121446,-0.5633690319
abx_mega__metro_dmso__4,-1.9204925158,0.2316154647
abx_mega__ctx_h2o__4,-7.8638318636,-1.7141588730000001
abx_mega__zeocin_h2o__3,-2.590624764,0.7072179993000001
abx_mega__bacit_h2o__5,-1.0038416013,-0.5192419961
abx_mega__reta_dmso__1,0.0032397362,-0.1398728406
abx_mega__ery_h2o__4,3.6719696201,-0.28177202430000003
abx_mega__ceru_ethanol__2,4.2602855815,0.8997708191
abx_mega__fidax_dmso__2,-4.197138562,-0.5781409192
abx_mega__novo_dmso__1,-0.46617761900000004,-1.452124687
abx_mega__naoh-6__4,-3.4215718528,0.48375034850000004
abx_mega__amyc-d_dmso__8,1.9322990874000001,0.9228184933
abx_mega__chl_dmso__3,1.5202453106,-0.21684960050000002
abx_mega__nal_naoh__7,-3.3517492634,-0.4036649145
abx_mega__teix_dmso__9,-6.7519976646,-1.8134533225
abx_mega__ery_dmso__3,-3.8090184872,-0.6163150028000001
abx_mega__tmp_dmso__3,-1.8516381033,0.1908100771
abx_mega__sxt_dmso__3,-6.5233080604,-1.5624180497
abx_mega__polmyx_h2o__4,-7.1245677448,2.0108029094
abx_mega__mem_dmso__3,-2.2791835565,-0.27708663910000003
abx_mega__nal_naoh__8,-7.4520599238,0.3700552871
abx_mega__pen_h2o__3,-4.275147857,-0.9558825836
abx_mega__van_dmso__5,-0.2134424127,-0.6170819356
abx_mega__zeocin_h2o__4,-6.2166947193,0.7012939418
abx_mega__h2o-6__2,-2.513218282,0.4578362856
abx_mega__tet_h2o__4,-1.3085603845,-0.41165327620000003
abx_mega__nor_naoh__4,-1.3252596018,-0.2404370516
abx_mega__cip_naoh__4,0.8936681322000001,0.3447096705
abx_mega__tmp_dmso__4,-2.1429479326,0.5755358834000001
abx_mega__reta_dmso__2,-1.9296623365,-0.07343627380000001
abx_mega__mem_dmso__4,-9.0830353839,-2.0136924734
abx_mega__dox_dmso__5,-4.0469429981,-1.7071405753
abx_mega__tmp_dmso__5,-3.1943297175,-0.354522324
abx_mega__flavo_dmso__3,-8.1564626928,-1.8011017603
abx_mega__tmp_dmso__6,-3.4704054617,-0.9478473391000001
abx_mega__ceru_ethanol__3,1.1205552577,0.3586576043
abx_mega__teix_dmso__10,-1.4907091968000001,0.1013388717
abx_mega__novo_h2o__7,-0.26405762120000004,-1.2076163369
abx_mega__fidax_dmso__3,-3.154315323,0.0579560966
abx_mega__h2o-1a__2,0.29939845260000003,-0.0006360472
abx_mega__dcs_h2o__2,-3.0846953495,-0.5475195703
abx_mega__cst_h2o__4,-1.3887172214,0.8266616042
abx_mega__van_h2o__2,-4.6333338700999995,-1.1036662223
abx_mega__pen_h2o__4,-6.3764332501,-0.5893009032000001
abx_mega__h2o-8b__2,-4.8414465273000005,-1.49274927
abx_mega__reta_dmso__3,-4.4957390198,-1.1157717467000001
abx_mega__dmso-7__2,-4.4291377157,-1.6870326875
abx_mega__rfp_h2o__2,4.8847660491,0.6002531213
abx_mega__rif_dmso__6,1.007889655,0.4197886648
abx_mega__sxt_dmso__4,-5.9693207093,-1.5463204804
abx_mega__cip_naoh__5,-1.747377151,-0.0463952091
abx_mega__dmso-9__3,-2.4354051974,-0.9174816587
abx_mega__mem_dmso__5,-7.4975601793,-1.7989907372
abx_mega__tric_h2o__2,-2.6440027409,-0.3477600141
abx_mega__phos_h2o__6,-3.8481503659,0.4432724531
abx_mega__h2o-7__2,-6.4049220346,-1.3534017159
abx_mega__h2o-10__3,-3.1284735528,-1.4779565721
abx_mega__h2o-8a__2,0.3358600859,-0.2810246637
abx_mega__thio_dmso__3,-5.3058060328,-1.6590728666999999
abx_mega__lzd_dmso__3,-2.0052525467,-0.1915858964
abx_mega__monac_dmso__3,2.4792132327,-0.22629323280000002
abx_mega__polmyx_h2o__5,-3.65783354,-0.3734335894
abx_mega__naoh-6__5,-0.7713981037000001,0.4873988819
abx_mega__teix_dmso__11,-4.1148764096,0.18651802550000002
abx_mega__van_h2o__3,-5.8406057233,-1.5730317622
abx_mega__teix_dmso__12,-5.9676676814,-0.5806195121000001
abx_mega__dox_dmso__6,-4.7252438462,-0.3656393298
abx_mega__teix_dmso__13,-6.4163921067,-1.9870155877000002
abx_mega__h2o-7__3,-4.9711146694,-1.1620740999
abx_mega__str_h2o__4,-9.004515002,-0.2626745727
abx_mega__tec_h2o__3,-5.6987648475,0.11646808950000001
abx_mega__phos_h2o__7,-3.9291496459,0.4238265439
abx_mega__chl_h2o__5,2.5788716202,0.6479840679000001
abx_mega__polmyx_h2o__6,-7.3445375638,0.9869525589
abx_mega__teix_dmso__14,-4.0237875858,0.256430261
abx_mega__rif_dmso__7,2.4252094865,0.9121213392
abx_mega__ramo_h2o__3,-2.3175154391,-0.9073472086000001
abx_mega__fidax_dmso__4,-1.9126889375,-0.0855258381
abx_mega__teix_dmso__15,-6.7621411169000005,-0.9453845030000001
abx_mega__thio_dmso__4,-2.9330009005,-1.728472339
abx_mega__rif_dmso__8,0.26771531330000004,0.4170256357
abx_mega__reta_dmso__4,-2.6741425225,-0.9132790881
abx_mega__inh_h2o__4,-2.5780658659,-0.538185393
abx_mega__novo_dmso__2,0.10713542770000001,-1.4724756297
abx_mega__dcs_h2o__3,-1.5552468322,-0.8837946682000001
abx_mega__h2o-8b__3,-3.4192199507,-0.7041994899
abx_mega__valin_dmso__3,-3.0584357284,-0.4703658733
abx_mega__h2o-2__1,-4.5231777209,0.8079425554
abx_mega__cro_h2o__4,-2.8631828573,-0.40526662890000004
abx_mega__dcs_h2o__4,-7.3063646951,-1.1593732795
abx_mega__str_h2o__5,-4.8043438771,-1.6214663310000001
abx_mega__h2o-8a__3,-1.5362201438,-0.9039329905
abx_mega__dox_dmso__7,-0.909078381,-0.19748216740000002
abx_mega__doxo_dmso__2,-3.9419288378,-1.8869334836
abx_mega__teix_dmso__16,-7.8342321296,-1.8951610229
abx_mega__rfp_h2o__3,4.2587526565000005,0.6741007066
abx_mega__ethanol-10__3,-2.4236839999,-1.137806106
abx_mega__naoh-2__2,-4.9894823265,0.3416640751
abx_mega__van_h2o__4,-0.8998089155000001,-0.573250769
abx_mega__sacet_h2o__2,-4.4857612003,2.5519116985
abx_mega__monac_dmso__4,-3.0907345998,-0.6002004083
abx_mega__h2o-2__2,-6.3806889962,0.5237250306
abx_mega__zeocin_h2o__5,-3.0264158259,-1.2058138919
abx_mega__nor_naoh__5,-3.5264830451,-0.5838275094
abx_mega__naoh-9__2,-2.6524760696,-0.0979968086
abx_mega__dmso-7__3,-7.2569269857,-1.4777672518
abx_mega__van_h2o__5,0.1038253886,-0.13618364530000002
abx_mega__flavo_dmso__4,-7.687412418,-1.7737301122
abx_mega__novo_dmso__3,-0.9338808463,-1.8016503178
abx_mega__polmyx_h2o__7,-3.3909021227,-1.1197522306
abx_mega__teix_dmso__17,-6.1004121401,-1.4256454486
abx_mega__doxo_dmso__3,-4.413574582,-1.4070746030999999
abx_mega__mem_dmso__6,-1.9938615368,-0.23693645470000002
abx_mega__h2o-1a__3,-0.2237123577,0.09810622640000001
abx_mega__bacit_dmso__3,0.7357391881,-0.3530821778
abx_mega__dox_dmso__8,-9.1657883306,0.3087249871
abx_mega__teix_dmso__18,-3.257232037,-0.4845552349
abx_mega__h2o-6__3,-1.8021396107,0.22665107280000002
abx_mega__pen_h2o__5,-0.8384825264,-0.3418646367
abx_mega__lzd_dmso__4,-2.4139450205,-0.2867915117
abx_mega__daro__1,-0.0783357425,-1.4478024842
abx_mega__solv__1,-2.8453363305,-2.1223014937
abx_mega__daro__2,-0.9267759719,-1.3500168345
abx_mega__daro__3,-0.18103545540000002,-1.0218323277
abx_mega__solv__2,-3.3413540112,-1.6892998629
abx_mega__solv__3,-0.1272808073,-1.0733455155
abx_mega__dmso-4__1,-1.7602184735000002,0.0217471126
abx_mega__kirr_dmso__1,2.5302792956999998,0.2430708677
abx_mega__kirr_dmso__2,2.2280119893,0.1985023187
abx_mega__kirr_dmso__3,2.4250805971,0.5230620601
abx_mega__dmso-4__2,-0.833323173,0.08650526110000001
abx_mega__dmso-4__3,-1.6866531678999999,-0.23835666230000002
ackA_pta__dnaA46_del_ackA__1,0.5799647163,0.7505258027
ackA_pta__dnaA46_del_ackA__2,2.1163001022,1.0178173875
ackA_pta__dnaA46_del_ackA__3,-1.3073145178,0.2236418315
ackA_pta__dnaA46_del_pta__1,3.7354966274,1.459385826
ackA_pta__dnaA46_del_pta__2,0.7675529704,0.6720115897000001
ackA_pta__dnaA46_del_pta__3,1.7969982998,0.8831042956
ackA_pta__dnaA46__1,-1.1465677062,-0.24904115240000002
ackA_pta__dnaA46__2,-0.7042174802000001,-0.3589228277
ackA_pta__dnaA46__3,-0.1177334991,0.0315450586
ackA_pta__del_ackA__1,-0.2564672738,0.3893132696
ackA_pta__del_ackA__2,3.3018695588,1.4810419515
ackA_pta__del_ackA__3,-0.7259355676,0.48839132570000005
ackA_pta__del_pta__1,-1.0244497685,0.2658558755
ackA_pta__del_pta__2,0.987124572,0.9339697664000001
ackA_pta__del_pta__3,0.2661926428,0.5402637446
ackA_pta__wt__1,-0.4340313396,-0.2601235925
ackA_pta__wt__2,0.32708425010000003,0.2129500675
ackA_pta__wt__3,0.10694708950000001,0.047173525
anticancer__5fu__1,-1.2957487173,-0.9957386751
anticancer__5fu__2,-2.8819501898,-0.9334432543000001
anticancer__cap__1,1.9753908116,0.5858668522
anticancer__cap__2,0.8970120031000001,0.4988536354
anticancer__cap__3,1.1970876542,0.574843721
anticancer__wt__1,1.2633385125,0.0019125342
anticancer__wt__2,-1.2768117082,0.1670620185
anticancer__wt__3,0.013473195700000001,-0.1689745527
anticancer__5fu__3,-0.8304973417,-1.2226989049
bio_pln__aero_pln__1,-0.4972602441,0.0439528101
bio_pln__aero_pln__2,0.4972602441,-0.0439528101
bio_pln__anaero_pln__1,-1.4404543039,0.0731329175
bio_pln__anaero_pln__2,-1.5462876978,0.2800563639
biocide__bzcl_12h__1,3.1843275473,-0.2814624677
biocide__bzcl_12h__2,3.8465100451,0.3258588938
biocide__bzcl_12h__3,3.5557493145,-0.3649899547
biocide__etoh_12h__1,2.8465309042999998,0.9566125624
biocide__etoh_12h__2,2.1905905658,0.9393483697
biocide__etoh_12h__3,2.5603121441,0.8531443316
biocide__gluald_12h__1,3.13967173,0.39647198920000004
biocide__gluald_12h__2,3.4830919665,0.5204274908000001
biocide__gluald_12h__3,3.7586289053,0.2474816938
biocide__h2o2_12h__1,2.4820091487,0.3079530142
biocide__h2o2_12h__2,3.1802990819,0.2084265005
biocide__h2o2_12h__3,1.3441027956,0.1344081294
biocide__2ppoh_12h__1,5.8981318288,0.7471919745000001
biocide__2ppoh_12h__2,5.7161975221,0.6179920445
biocide__2ppoh_12h__3,6.5465104105,0.5905357055
biocide__paa_12h__1,2.0835080387,0.1175711317
biocide__paa_12h__2,1.0242574355,0.2500372742
biocide__paa_12h__3,0.7258223633,0.1360714297
biocide__phe_12h__1,4.1221107574,-0.1350517966
biocide__phe_12h__2,3.4827360003,-0.0839819173
biocide__phe_12h__3,3.4748187251,-0.1249219909
biocide__pvp-i_12h__1,1.8700783449,-0.00030395380000000004
biocide__pvp-i_12h__2,1.1501553929,-0.2561824142
biocide__pvp-i_12h__3,1.7818568998000002,-0.235490729
biocide__bleach_12h__1,2.2461529182,-0.1714731803
biocide__bleach_12h__2,1.0575013718,-0.08923950280000001
biocide__bleach_12h__3,0.9317032942000001,-0.2052392782
biocide__chx_12h__1,1.1844707272,0.43464146400000003
biocide__chx_12h__2,1.7938843445,0.000908281
biocide__chx_12h__3,1.1144223039,-0.1939526422
biocide__bzcl_30m__1,1.786540767,0.2810834251
biocide__bzcl_30m__2,0.9948866713000001,-0.08889453230000001
biocide__bzcl_30m__3,0.8358045239,0.0531294765
biocide__phe_30m__1,1.5317154143,-0.3842759518
biocide__phe_30m__2,0.1636279636,-0.076182072
biocide__phe_30m__3,1.5574177872,-0.17291320270000002
biocide__pvp-i_30m__1,0.4446093445,0.1083408151
biocide__pvp-i_30m__2,1.2301416556,-0.1702060856
biocide__pvp-i_30m__3,0.6102961141000001,0.13080787060000001
biocide__ctrl_12h__1,1.4704742872,0.4030321948
biocide__ctrl_12h__2,1.9512185909,0.2980881808
biocide__ctrl_12h__3,2.1093672833,0.44803622060000003
biocide__ctrl_30m__1,0.7331580910000001,0.31431194900000003
biocide__ctrl_30m__2,-0.1938169901,-0.3601184322
biocide__ctrl_30m__3,-0.5393411009,0.0458064833
clpP__wt__1,-0.2262798955,0.30251347840000004
clpP__wt_DPTA__1,-3.3864597059,0.9609898786000001
clpP__wt__2,-0.412607318,-0.3468334676
clpP__wt_DPTA__2,-2.9641506568000002,1.3953508297
clpP__wt__3,0.6388872136,0.0443199892
clpP__wt_DPTA__3,-4.9280545532,1.0513084106
clpP__delclpP__1,0.1084321131,0.0451956768
clpP__delclpP_DPTA__1,-3.7859885044,0.7680111556
clpP__delclpP__2,-1.6883840697,-0.1682566495
clpP__delclpP_DPTA__2,-4.4802777944,0.6217440394
clpP__delclpP__3,-1.7797031205,0.1565763607
clpP__delclpP_DPTA__3,-5.1891567161,1.1060458862
colombos2__delydcR__1,-1.6669131135000002,0.1997764333
colombos2__delydcR__2,2.323954665,-0.4527164323
colombos2__delydcR__3,0.0558384379,-0.12142015610000001
colombos2__delyjiR__1,-0.4212093521,-0.2036820252
colombos2__delyjiR__2,1.5472037652,-0.1907165122
colombos2__delyjiR__3,-2.8277508758,0.2583106832
colombos2__wt__1,-0.9693359188,0.2717238819
colombos2__wt__2,0.8823452900000001,-0.36415511970000003
colombos2__wt__3,0.0869906288,0.09243123780000001
crp_k100__ar1_ar2__1,-1.5805556775,0.402954568
crp_k100__ar1_ar2__2,-2.5161820341,0.4018877958
crp_k100__ar1_ar2__3,-3.4328113916,0.2784961505
crp_k100__wt__1,0.10804208010000001,0.1289181887
crp_k100__wt__2,-1.4587597272,-0.0789659383
crp_k100__wt__3,1.3507176471,-0.0499522505
crp_k100__K100Q__1,-1.0887149377,0.4360640525
crp_k100__K100Q__2,-0.2196096608,0.3181178881
crp_k100__K100R__1,-0.9041695266,0.01597503
crp_k100__K100R__2,-1.0659843603,0.2734234101
crp_k100__K100R__3,2.4097055477,-0.0636360039
csrA__wt_t00__1,-0.145928002,-0.2144958994
csrA__wt_t02_30__1,-0.5277202434,-3.6959335483
csrA__wt_t05__1,1.5868987883,-4.3316732205
csrA__wt_t10__1,4.3496692809,-2.77369746
csrA__wt_t15__1,5.395603474,-2.1842189477
csrA__delcsrA_t00__1,-0.4550747677,0.1783803749
csrA__delcsrA_t02_30__1,-1.8032737699,-3.4980511693
csrA__delcsrA_t05__1,1.1869986556,-4.4077184711
csrA__delcsrA_t10__1,2.7695423749,-3.0419781193
csrA__delcsrA_t15__1,3.0109507138,-2.4257106416
csrA__wt_t00__2,0.145928002,0.2144958994
csrA__wt_t02_30__2,-1.4728979109,-3.2234417518
csrA__wt_t05__2,2.1057922886,-3.7495169151
csrA__wt_t10__2,4.9604479345,-3.3981750894
csrA__wt_t15__2,6.3180496689,-2.4155053197000003
csrA__delcsrA_t00__2,-0.8493799625,0.1698296127
csrA__delcsrA_t02_30__2,-2.2273170714,-3.8312792141000003
csrA__delcsrA_t05__2,0.2912565628,-4.3089518485
csrA__delcsrA_t10__2,3.1359223758,-3.1649171195
csrA__delcsrA_t15__2,4.609574722,-1.498755798
cstr_pfr__str_0005m__1,-0.7977351887,-0.0649858269
cstr_pfr__str_0010m__1,-0.0839837304,-0.19247186730000002
cstr_pfr__str_0025m__1,0.2420321077,0.07019253810000001
cstr_pfr__str_0045m__1,-0.0853848514,0.0007398354
cstr_pfr__str_0075m__1,0.21273765690000002,0.0984664252
cstr_pfr__str_0120m__1,0.36643022350000004,0.1381518785
cstr_pfr__str_0210m__1,0.7987176119,0.0497957699
cstr_pfr__str_0330m__1,1.2337855762,0.1237271182
