,A,Crp,AscG
ssw__glc_ale3__1,1.7238577043,0.445484003,0.8044005615
ssw__glyc_ale1__1,-0.4821035889,0.29887890300000003,0.2366608125
ssw__glyc_ale2__1,1.0495137075,0.302115623,0.8973644575
ssw__xyl_ale1__1,-0.8506554756,-0.214788422,0.4235070205
ssw__xyl_ale2__1,0.0069517107000000005,0.026451149,0.7859344775
ssw__xyl_ale3__1,2.6299436881,-0.313835929,-0.3193479125
ssw__glc_ac_ac2__1,2.0316118663,0.506935123,0.1872002045
ssw__glc_ac_glc1__1,0.1390825847,-0.42053636400000005,0.1618957605
ssw__glc_glyc_glc__1,-0.5822766574,0.565682133,0.3629769845
ssw__glc_glyc_glyc__1,-1.3582465001,0.307042493,-0.1269566455
ssw__glc_xyl_glc__1,-1.3908427471,0.029020072,0.5456750065
ssw__glc_xyl_xyl__1,-0.33806976710000003,-0.24384744700000002,0.35141977750000003
ica__wt_glc__1,-1.0369735999,-0.021205165,-0.7650717635000001
ica__wt_glc__2,-1.0220368337,-0.013075078,-0.7960315035000001
ica__wt_glc__3,-0.7705358668000001,0.093050269,-0.1801738615
ica__wt_glc__4,-0.6130884003,0.39985849300000004,-0.3624276265
ica__arg_sbt__1,0.3560609086,0.172960833,-0.7819990655
ica__arg_sbt__2,-0.5485038824,0.493173503,-0.8946959485
ica__cytd_rib__1,0.0551947088,0.503238653,-0.9127665825
ica__cytd_rib__2,0.3639930997,0.486485123,-0.6054180825000001
ica__gth__1,1.6761255171,-0.34473195700000003,-0.7588648755
ica__gth__2,1.814680213,-0.550939686,-0.6158350615
ica__leu_glcr__1,0.2504698137,1.026079293,-0.20644317750000002
ica__leu_glcr__2,0.4756516462,0.9645909530000001,-0.2817640665
ica__met_glc__1,-0.8177112554,-0.0020434050000000003,-1.0688582785
ica__met_glc__2,-0.38544847600000004,-0.06998529,-0.7647199805
ica__no3_anaero__1,-1.2112177583000001,0.166015523,-0.7076542255
ica__no3_anaero__2,-1.5387411480000002,0.165936663,-0.8251742915
ica__phe_acgam__1,-1.0619962021,0.08710832,-0.7861812215
ica__phe_acgam__2,-0.8656535426,0.073714532,-0.7080357705
ica__thm_gal__1,-1.3068491659,0.419092283,0.0466899285
ica__thm_gal__2,-0.9976507631,0.41257850300000004,0.1526277465
ica__tyr_glcn__1,-0.8412711393000001,0.211699823,-0.8955353515000001
ica__tyr_glcn__2,-0.5697942173,0.24928939300000003,-0.7741965265
ica__ura_pyr__1,-2.3110824475,0.823666823,-0.4148521395
ica__ura_pyr__2,-2.1957885955,1.104333543,-0.1167127815
ica__wt_glc__5,-0.7032721189000001,0.31050345300000004,-0.7791103565
ica__wt_glc__6,-1.4717738359,0.33765284300000004,-0.45636980050000003
ica__bw_delpurR_cytd__1,-1.1609782573,-0.141785767,-0.4357537145
ica__bw_delpurR_cytd__2,-1.4232519878,0.255483463,0.1019696945
ica__ade_glc__1,-1.2947048392,0.27079068300000003,0.0428178605
ica__ade_glc__2,-1.0440625009,-0.10748262700000001,-0.5674674585
ytf__wt_glc__1,-1.1004971117,0.340002173,0.28656853050000003
ytf__wt_glc__2,-1.6975185929,0.487174103,0.5448090955
ytf__delyafC__1,-0.2795871135,0.518280163,0.4372248385
ytf__delyafC__2,-0.2163920253,0.5586262230000001,0.32779418050000003
ytf__delyeiE__1,-1.5631825476999999,0.452821843,0.1929609205
ytf__delyeiE__2,-1.9699711871,0.36938018300000003,-0.0385990785
ytf__delyiaJ__1,-0.6821848614,0.49007886300000003,0.4968296065
ytf__delyiaJ__2,-0.37912246580000003,0.474334523,0.1845727725
ytf__delyieP__1,-0.4835700712,0.830611623,0.44442840250000004
ytf__delyieP__2,-0.10323348090000001,0.7498248230000001,0.3017169525
ytf__wt_ph5__1,-0.2588051133,0.39857596300000003,0.07619495550000001
ytf__wt_ph5__2,-0.1741186397,0.474739703,0.1062520655
ytf__wt_ph8__1,-1.2206414805999999,0.27564292300000004,0.10767294050000001
ytf__wt_ph8__2,-1.6423144712000002,0.268154863,-0.0057949555
ytf__delybaO__1,-0.5346641861,0.582376183,0.24188307950000001
ytf__delybaO__2,-0.2422589765,0.636744023,0.3036662625
ytf__delybaQ__1,-0.4714285798,0.332940493,-0.2581575155
ytf__delybaQ__2,-0.8058233760000001,0.32368551300000004,-0.1570925265
ytf__delybiH__1,-0.4178198987,0.636331983,-0.1830285265
ytf__delybiH__2,0.39185368810000004,0.554671843,0.2693036965
ytf__delydcI_ph5__1,0.25596969,0.36809995300000004,-0.12134341350000001
ytf__delydcI_ph5__2,0.1333982759,0.422601483,-0.2639815105
ytf__delydcI_ph8__1,-1.2623245024,0.363195763,-0.2405911615
ytf__delydcI_ph8__2,-1.2168064376,0.30711134300000004,-0.037245718500000004
ytf__delyddM__1,-0.7831268532000001,0.8218948030000001,-0.41920182850000004
ytf__delyddM__2,-0.7468630801,0.832054603,-0.1889036675
ytf__delyheO__1,-0.0675976503,0.596168643,0.0708375915
ytf__delyheO__2,-0.0052163487,0.633656513,0.0563205565
fps__bw_glc__1,-0.5392728854000001,0.23073483300000003,-0.6163982765
fps__bw_glc__2,-0.956808446,0.160408733,-0.3052267115
fps__fps_thrA_ale1__1,-0.9320036625,0.33273120300000003,-0.5281971975
fps__fps_thrA_ale1__2,-1.6375121093,0.351625083,-0.0903046975
fps__fps_thrA_ale2__1,-1.8770491449,0.22966762300000002,-0.08576510350000001
fps__fps_thrA_ale2__2,-1.9007015817,0.288967533,0.0012776835000000001
fps__fps_serB_ale1__1,-1.4900958863,0.263027813,-0.4175263675
fps__fps_serB_ale1__2,-0.9664264722,0.38965776300000005,-0.1688697825
fps__fps_serB_ale4__1,-0.6148818500000001,0.20591431300000002,-0.6857485925
fps__fps_serB_ale4__2,-1.2427479312,0.360213693,-0.2227584635
fps__fps_ptsI_ale1__1,-2.1704978857,0.045779202000000005,-0.10694716950000001
fps__fps_ptsI_ale1__2,-1.9422839352999999,0.144864783,-0.0103755355
fps__fps_ptsI_ale3__1,-2.028563876,0.252590313,-0.2962500525
fps__fps_ptsI_ale3__2,-1.8984979628,0.223236343,-0.3134797935
pal__lyx_ale2_f6__1,-0.5204272007,0.33342218300000004,0.7522379215
pal__lyx_ale2__1,-0.057085175700000004,0.264908103,0.34386186750000003
pal__lyx_ale2__2,0.141462109,0.307141653,0.4292958395
pal__lyx_ale4__1,-0.3196426119,-0.057655873,0.0183129205
pal__lyx_ale4__2,-0.9147531787000001,-0.070605865,-0.3211928935
pal__5drib_ale10_f18__1,2.5197415577999998,-0.069139537,0.8855178455
pal__5drib_ale10_f18__2,1.9471700936,-0.022394787000000003,0.7647145915
pal__5drib_ale10__1,1.9001953897,0.401836273,0.6428043795
pal__arab_ale14_f9__1,0.2042392191,0.24554710300000002,0.5498109775000001
pal__arab_ale14_f9__2,0.1560072606,0.412722073,0.41158270350000004
pal__arab_ale14__1,-1.1204185589,0.376783933,0.3500562645
pal__arab_ale14__2,-1.7291638953000001,0.375609213,0.2513402055
pal__arab_ale16__1,3.1153293231,0.029854537,0.5810515585
pal__arab_ale16__2,3.5590236945,0.109766425,0.3684253295
pal__tartr_ale26_f10__1,0.08149177490000001,0.311947293,0.7669611855
pal__tartr_ale26_f10__2,0.4886369158,0.19927317300000003,0.8121152155
pal__tartr_ale26__1,-0.4995414953,0.385079333,0.7124511035000001
pal__tartr_ale26__2,-0.2605003766,0.334463263,0.43966917050000004
pal__tartr_ale28_f10__1,1.3906113612,-0.0037122770000000004,0.4783808225
pal__tartr_ale28_f10__2,0.5714272579,-0.098690551,0.46892804050000003
pal__tartr_ale28__1,-1.1329561493,0.272968543,0.5278590545
pal__tartr_ale28__2,-1.3283895619,0.268494893,1.0766129605
efeU__delmenFentC_citr__1,-0.7835048441,0.422197943,-0.6498692615
efeU__delmenFentC_citr__2,-0.2164521234,0.567725263,-0.9844488525
efeU__delmenFentC__1,-1.1848483068,0.6961985230000001,-0.5983284765
efeU__delmenFentC__2,-0.9697794186,0.736210653,-0.8054714775
efeU__menFentC_ale39__1,1.4927371675,0.5420487930000001,-0.2221531995
efeU__menFentC_ale39__2,0.9070000812000001,0.5730386230000001,-0.3678991485
efeU__menFentC_ale29__1,2.0410479031,0.911502773,-0.0554737395
efeU__menFentC_ale29__2,2.2756215555,0.943276293,-0.0863143215
efeU__menFentC_ale30__1,-0.5753735378,0.106685208,-0.2521531205
efeU__menFentC_ale30__2,-0.3578112329,0.063971556,-0.6932838145
efeU__menFentCubiC_ale36__1,-0.7748649556,0.821857583,-0.8353613295000001
efeU__menFentCubiC_ale36__2,-1.3767615389,0.648169773,-0.8184389035
efeU__menFentCubiC_ale37__1,-1.1886089338,0.843077653,-0.1442316165
efeU__menFentCubiC_ale37__2,-1.8432621432,0.8884085730000001,-0.2968801115
efeU__menFentCubiC_ale38__1,-3.1760155613,0.348438943,-0.2604325745
efeU__menFentCubiC_ale38__2,-3.1941333117,0.309908293,-0.5735096265
misc2__salc_glc__1,0.3491757536,-0.030941686000000003,0.0734116425
misc2__salc_glc__2,0.8142323573,-0.041858422,0.3705257085
misc2__dbcn_glc__1,-0.3131000002,-0.41418928400000005,-0.8865577595
misc2__dbcn_glc__2,-0.8566083625,-0.322180379,-0.0859632495
misc2__tyr_glc__1,-1.2392399854,0.482338413,-0.1002493555
misc2__tyr_glc__2,-1.3106381777,0.519726133,-0.1064197875
misc2__arg_cytd__1,-1.5505387464,0.10509646700000001,-0.49959976050000005
misc2__arg_cytd__2,-1.1494114293,0.09710128400000001,-0.27522558350000004
misc2__delyheO_pyr__1,-1.6125463317,1.000412783,0.1836883295
misc2__delyheO_pyr__2,-2.0766463229,1.013481493,-0.0038332245000000003
nquinone__delubiC__1,-1.7794044708,0.44647993300000005,-0.3640717925
nquinone__delubiC__2,-2.4754587504,0.618285233,-0.7786842705
nquinone__ubiC_ale1__1,-1.8646770555,0.46214110300000005,-0.3935932575
nquinone__ubiC_ale1__2,-2.1365019262000002,0.518639853,-0.46848536350000003
nquinone__ubiC_ale2__1,-1.2963305165,0.47472340300000004,-0.4494845315
nquinone__ubiC_ale2__2,-1.1951860882,0.429799533,-0.4364976955
nquinone__ubiC_ale3__1,-0.9038065839,0.026469302,-0.8127414435
nquinone__ubiC_ale3__2,-0.6709446594,0.09906102300000001,-0.5716197945
nquinone__ubiC_ale4__1,-1.9214471567,0.49321258300000004,-0.7581395665
nquinone__ubiC_ale4__2,-2.0788313645,0.508607923,-0.25668205050000004
nquinone__delpdhR__1,-1.9623481838,0.38566819300000005,-0.2824212325
nquinone__delpdhR__2,-1.5038883842000002,0.362990173,-0.2680800215
quinone__glu_ale4__1,-0.6807516772000001,0.36842613300000004,-0.3044705455
quinone__glu_ale4__2,-1.1304213855,0.736125773,-0.20245909350000002
quinone__delmenF__1,-0.49542121200000006,0.553279673,-0.5655976135
quinone__delmenF__2,-1.5043211363,0.42430167300000005,-0.1182591375
quinone__menF_ale5__1,-0.2042001102,0.904530523,-0.1496615965
quinone__menF_ale5__2,-0.2684401589,0.929254393,-0.2544599435
quinone__menF_ale6__1,-0.339590622,0.9289372330000001,-0.3878669025
quinone__menF_ale6__2,0.0271130116,0.9358953230000001,-0.22115080550000002
quinone__menF_ale7__1,1.0070660274,0.8647486830000001,0.1158218245
quinone__menF_ale7__2,0.13664877250000002,0.829767083,0.0433529375
quinone__menF_ale8__1,0.1936411663,1.000233243,0.0062072835
quinone__menF_ale8__2,0.3807778307,0.9954071830000001,-0.6415315915
quinone__delmenFubiC__1,-1.1578117915,0.503242803,-0.7777297775
quinone__delmenFubiC__2,-0.5309098259,0.5733612730000001,-0.5410440755
quinone__menFubiC_ale1__1,-0.1031089942,0.688985203,-0.5393610425
quinone__menFubiC_ale1__2,0.0060033224,0.689163233,-0.6555806475
quinone__menFubiC_ale2__1,0.39129312990000004,0.566404903,-0.9012039305
quinone__menFubiC_ale2__2,0.4744322199,0.587592463,-0.5187032385
quinone__menFubiC_ale3__1,-1.1844493115999999,0.10847917900000001,-0.4347140715
quinone__menFubiC_ale3__2,-1.2792675878,0.14360144,-0.7452645645
quinone__menFubiC_ale4__1,-0.9715453395,1.042582673,0.18136572450000002
quinone__menFubiC_ale4__2,-0.4547956004,1.027989663,0.34146060850000004
oxyR__wt_glc__1,-1.2312676126,0.09382866100000001,1.4131398215
oxyR__wt_glc__2,-0.7693537458,0.13043923,1.3729809255
oxyR__wt_h2o2__1,-0.8699124161,0.057576022000000004,1.1554830645
oxyR__wt_h2o2__2,-0.7792065223,0.46187418300000005,1.2535838225
oxyR__glu_ale4__1,-0.8014201533,0.7723290730000001,1.6223350294999999
oxyR__glu_ale4__2,-0.8793326006000001,0.495795953,1.6472019385
oxyR__glu_ale4_h2o2__1,-0.3864046695,0.621328373,1.7419740745
oxyR__glu_ale4_h2o2__2,-0.2015770986,0.486348433,1.5446485175
oxyR__oxyR_ale17__1,-0.26361567750000003,0.13801763,1.4995725375
oxyR__oxyR_ale17__2,0.1352054228,0.15520324300000002,1.3127032105
oxyR__oxyR_ale17_h2o2__1,-0.2601433247,0.211227453,1.4579675495
oxyR__oxyR_ale17_h2o2__2,-0.0926138428,0.156206473,1.2488464045
oxyR__oxyR_ale18__1,-0.5496547528,-0.23326590800000002,0.9957579415000001
oxyR__oxyR_ale18__2,-1.05545212,-0.08594182800000001,1.2203504805
oxyR__oxyR_ale18_h2o2__1,-0.5279259995,0.027939159,1.3331155595
oxyR__oxyR_ale18_h2o2__2,-0.5991501015,0.095125363,1.3265390835
oxyR__oxyR_ale19__1,-0.7969068238,-0.186683067,1.1124907855
oxyR__oxyR_ale19__2,-1.5782245698000001,-0.08065952300000001,1.3453148305
oxyR__oxyR_ale19_h2o2__1,-0.9593883059,-0.32169368600000003,1.1316036535
oxyR__oxyR_ale19_h2o2__2,-0.7819723402000001,-0.22926116100000002,1.0044068685
oxyR__oxyR_ale20__1,-0.14663619190000002,-0.29073972200000003,1.4940970275
oxyR__oxyR_ale20__2,0.4053465765,-0.328630297,1.2097273725
oxyR__oxyR_ale20_h2o2__1,-0.5751951212,-0.103214605,1.3438821765
oxyR__oxyR_ale20_h2o2__2,-0.5162476927,-0.05797147800000001,1.3897865185
svns_pgi__BmePgi24_15__1,-0.89456647,0.20789728300000002,1.2270949615
svns_pgi__BmePgi24_15__2,-0.8164505795,0.288214413,1.1887552735
svns_pgi__BmePgi24_26__1,-0.8855106344,0.16856253300000001,1.3842471585
svns_pgi__BmePgi24_26__2,-1.2511851795,0.144982372,1.4644409745
svns_pgi__BmePgi24_41__1,0.4401463309,0.495849313,1.4645405915
svns_pgi__BmePgi24_41__2,-0.0481347343,0.08223337900000001,1.3599443625
svns_pgi__BmePgi24_52__1,-0.3495541224,0.260077643,1.2799885215
svns_pgi__BmePgi24_52__2,-0.5281016964,0.110092349,1.3969635705
svns_pgi__PaePgi2_34__1,-1.1628514403,0.946417433,1.2430479735
svns_pgi__PaePgi2_34__2,-1.4464883734,0.980365153,1.2604028975000001
svns_pgi__PaePgi2_63__1,-0.8140802994,0.9986914830000001,1.4560301615
svns_pgi__PaePgi2_63__2,-0.8934915859,0.9749593430000001,1.3706341115
svns_pgi__PaePgi24_54__1,-2.4572922063,0.830338573,1.4331319135
svns_pgi__PaePgi24_54__2,-2.1615590327,0.926503413,1.5463858645
svns_pgi__PaePgi24_90__1,-2.0320158166,0.8096897230000001,1.2588988225
svns_pgi__PaePgi24_90__2,-1.7719334701,0.9991721830000001,1.3923890345
abx_media__m9_ctrl__1,1.1625316062,-0.219087253,0.45482229750000003
abx_media__m9_ctrl__2,1.1586898153,0.06872793,0.2198141445
abx_media__rpmi_ctrl__1,3.5187112125,0.181883243,0.6641784605000001
abx_media__rpmi_ctrl__2,3.5431708431,0.46045822300000006,0.7967497715
abx_media__camhb_ctrl__1,2.6998856835,-1.466715649,0.0172745235
abx_media__camhb_ctrl__2,3.7471154928,-1.564214307,0.1726868805
abx_media__m9_mero__1,2.1486957831,0.10006032100000001,-0.1171204805
abx_media__m9_mero__2,2.1399329881,-0.24440689100000001,0.3184398235
abx_media__rpmi_mero__1,4.5657958317,-0.15585906600000002,0.3089784725
abx_media__rpmi_mero__2,4.7090846639,0.12222331400000001,0.4284782865
abx_media__camhb_mero__1,4.0997234245,-2.568928611,-0.9355932525
abx_media__camhb_mero__2,3.7241851727,-2.37205329,-0.6639346435
abx_media__m9_trisulf__1,1.0554649131,-0.13952741600000002,-0.2279751475
abx_media__m9_trisulf__2,2.0051945706,-0.121563182,-0.11992219850000001
abx_media__rpmi_trisulf__1,2.196691099,-1.138543574,-0.6748874885
abx_media__rpmi_trisulf__2,2.5344593045,-1.125744815,-0.5478275695
abx_media__camhb_trisulf__1,3.2522985540000002,-0.616348749,-0.13812103950000001
abx_media__camhb_trisulf__2,2.5416535078,-0.651084973,-0.5357468985
