,A,PhrR
Carbons__M9Na_glucoseGrowth_Late__2,8.655034656328754,0.2078826265
Carbons__M9Na_glucoseGrowth_Mid__1,1.6114049182639902,0.2850749214999997
Carbons__M9Na_glucoseGrowth_Mid__2,-1.611404918264009,-0.2850749214999997
Carbons__M9Na_glucoseGrowth_Stat__1,15.22160855987224,1.6669712174999995
Carbons__M9Na_glucoseGrowth_Stat__2,12.6616594313378,-0.0808442415000003
Carbons__M9Na_ribose_Mid__1,6.199072974087497,1.1121957475000004
Carbons__M9Na_ribose_Mid__2,10.564593829506125,0.8206018254999998
Carbons__M9Na_succinate_Mid__1,-5.434079573899144,0.1662030664999996
Carbons__M9Na_succinate_Mid__2,20.653772658289096,1.0335607165000005
Carbons__M9Na_sucrose_Mid__1,-2.215726457492954,-0.9978297134999998
Carbons__M9Na_sucrose_Mid__2,-3.7677291254054937,-1.6906128335000004
Rich_TF_over_stress__LBv2_HapROver_Late__1,2.5660528853994307,-0.9505463470000004
Rich_TF_over_stress__LBv2_HapROver_Late__2,2.49767504097189,-1.3275426560000008
Rich_TF_over_stress__LBv2_HapROver_Mid__1,4.390781411728437,-0.4914514450000009
Rich_TF_over_stress__LBv2_HapROver_Mid__2,3.3638325656216,-0.1283268900000003
Rich_TF_over_stress__LBv2_HapROver_Stat__1,3.574227309661449,-1.7859160600000004
Rich_TF_over_stress__LBv2_HapROver_Stat__2,2.7736791244067707,-1.8902773730000004
Rich_TF_over_stress__LBv2_LuxOOver_Late__1,13.576826086660729,-1.8971530120000004
Rich_TF_over_stress__LBv2_LuxOOver_Late__2,13.638509088568176,-1.7890692700000006
Rich_TF_over_stress__LBv2_LuxOOver_Mid__1,2.21011996358506,-1.8562601700000003
Rich_TF_over_stress__LBv2_LuxOOver_Mid__2,-0.0466891766195455,-1.4266558850000006
Rich_TF_over_stress__LBv2_LuxOOver_Stat__1,-3.6411247769450448,-0.1870894960000004
Rich_TF_over_stress__LBv2_LuxOOver_Stat__2,-1.988534301966442,-0.6407652420000005
Rich_TF_over_stress__LBv2_QstROver_Late__1,6.892455696979307,-1.9509085070000007
Rich_TF_over_stress__LBv2_QstROver_Late__2,5.1100769431614665,-2.2849752200000006
Rich_TF_over_stress__LBv2_QstROver_Mid__1,1.3535814441684422,-1.7746693970000007
Rich_TF_over_stress__LBv2_QstROver_Mid__2,0.281176388738112,-1.4331235810000007
Rich_TF_over_stress__LBv2_QstROver_Stat__1,-5.537133611421004,-0.1641559660000009
Rich_TF_over_stress__LBv2_QstROver_Stat__2,-4.426088223299647,-0.4623463180000007
Rich_TF_over_stress__LBv2_TfoXOver_Late__1,18.196988891424088,-3.287964207000001
Rich_TF_over_stress__LBv2_TfoXOver_Late__2,18.8406801787536,-3.3048425910000008
Rich_TF_over_stress__LBv2_TfoXOver_Mid__1,-2.141511449555685,-1.0558720920000004
Rich_TF_over_stress__LBv2_TfoXOver_Mid__2,-2.659768386599376,-1.0536613310000007
Rich_TF_over_stress__LBv2_TfoXOver_Stat__1,-4.230215472601144,-0.6547299730000002
Rich_TF_over_stress__LBv2_TfoXOver_Stat__2,-5.315622440790045,-0.4727820420000004
Salinity and Temperature Variations__20-300-T1__1,-0.0983114424091195,-0.1290917560000002
Salinity and Temperature Variations__20-300-T1__2,-7.106230812239427,-0.0612921890000004
Salinity and Temperature Variations__20-300-T2__1,0.0983114424091187,0.1290917560000002
Salinity and Temperature Variations__20-300-T2__2,-3.579283180571315,0.0311527170000003
Rich_TF_over_stress__LBv2_LowpH_Mid__1,-2.196223957560527,-0.1567302780000004
Rich_TF_over_stress__LBv2_LowpH_Mid__2,-2.662112519208818,0.1821492279999992
Rich_TF_over_stress__LBv2_highSalt_Mid__1,1.1418727227714995,-2.0246749790000007
Rich_TF_over_stress__LBv2_highSalt_Mid__2,-0.6019400559903124,-2.1019442960000005
Carbons__M9Na_glucoseKanamycin_Mid__1,24.96224356984983,0.7698735924999998
Carbons__M9Na_glucoseKanamycin_Mid__2,31.19266237023367,0.4450338255000003
microgravity__R_wt__1,-0.3343355545280624,0.0465041804999999
microgravity__R_wt__2,0.3343355545280582,-0.0465041805000003
microgravity__R_s__1,-0.7370355704650577,-0.2142259075000003
microgravity__R_s__2,-0.0412546293878579,-0.2237750005000003
Competence_condition__OSS_TfoXOver_Stat__1,8.985135886226692,0.9517291594999993
Competence_condition__OSS_TfoXOver_Stat__2,8.680635648838624,1.3868847414999994
Competence_condition__OSS_VectorOnly_Stat__1,0.1742158452993073,-0.1597960685000004
Competence_condition__OSS_VectorOnly_Stat__2,-0.1742158452992791,0.1597960684999995
Competence_Recovery__LBv2_TfoXOver_Recov__1,0.4162757029280011,-0.7554119615000001
Competence_Recovery__LBv2_TfoXOver_Recov__2,-1.2952356380836054,-1.1744349005000003
Competence_Recovery__LBv2_VectorOnly_Recov__1,-1.2756935560854052,-0.1041517165000005
Competence_Recovery__LBv2_VectorOnly_Recov__2,1.2756935560853968,0.1041517164999996
