,A,YgbI
abx_mega__dmso-5__3,0.6747856138,-0.7272908640000001
abx_mega__amyc-d_dmso__1,2.8968232928,-0.4216561858
abx_mega__sxt_dmso__1,0.1603237001,-0.5083130491
abx_mega__dmso-1__1,-0.2191021983,0.1763661926
abx_mega__pen_h2o__1,-1.4060657112000001,0.0147888848
abx_mega__dmso-10__3,1.5088915186,0.1156506137
abx_mega__nal_naoh__4,-0.5549666205,0.0994838383
abx_mega__cip_naoh__1,-0.2077432514,0.0978632776
abx_mega__pen_h2o__2,-1.1608887359,-0.13159779230000002
abx_mega__ery_dmso__2,3.7780935764,-0.4521271779
abx_mega__dmso-2__2,1.559926269,0.358722294
abx_mega__van_dmso__2,2.0942185744,0.5478419071
abx_mega__h2o-1b__1,-0.2167845484,-0.8631188437
abx_mega__ery_h2o__1,1.2667683251000001,-1.0961816837
abx_mega__bacit_h2o__1,1.0595882115,-0.5588138279
abx_mega__chl_h2o__2,1.8125839089,-0.5985119451
abx_mega__str_h2o__2,-0.9451319737,-0.1886646129
abx_mega__rfp_ethanol__2,2.2211154871,-0.2204329816
abx_mega__polmyx_h2o__2,-0.7622513914,0.1487752161
abx_mega__tric_h2o__1,2.3979331974,1.2375156898
abx_mega__cip_naoh__2,0.8019616544,-0.46885689550000004
abx_mega__novo_h2o__3,1.9640623051000001,-0.4743582121
abx_mega__bacit_dmso__1,2.0897158497,0.0659539073
abx_mega__gen_h2o__1,1.0813416816,-0.2606462671
abx_mega__bacit_dmso__2,3.4815393258,0.0057268802
abx_mega__chl_dmso__1,1.5925709817,-0.8467368994000001
abx_mega__bacit_h2o__2,-0.0777297725,-0.9706414781
abx_mega__lvx_dmso__1,-0.4535140629,0.050819734000000005
abx_mega__bacit_h2o__3,1.5631216876,-0.3627781174
abx_mega__nor_naoh__2,0.5959842085,-0.1222455404
abx_mega__amyc-d_dmso__2,3.6920590572,0.20299499040000002
abx_mega__polmyx_h2o__3,0.8578959221,-0.6711209991
abx_mega__naoh-6__1,0.0063793901,-0.3925751844
abx_mega__cst_h2o__2,3.0882908315,0.15846797510000002
abx_mega__h2o-1b__2,0.5919135698,-0.6187991255
abx_mega__rfp_h2o__1,2.6212294052000003,-0.0674048606
abx_mega__tet_h2o__1,0.6051100823000001,0.025462620300000002
abx_mega__flavo_dmso__1,-3.0231050574,0.48793562630000004
abx_mega__zeocin_h2o__1,0.6186753019,0.3074271413
abx_mega__nor_naoh__3,0.36232865950000004,-0.6721573937
abx_mega__rach_dmso__2,0.9185992655,-0.6256384850000001
abx_mega__thio_dmso__2,2.6701159549,0.0054687386
abx_mega__amyc-d_dmso__3,2.246160684,0.1724848642
abx_mega__rif_dmso__2,5.0003670415,0.7487777663
abx_mega__amyc-d_dmso__4,0.7411462766,-0.1697150152
abx_mega__teix_dmso__3,-0.7947627421,-0.5171079847
abx_mega__valin_dmso__1,5.8107075463,0.7268879835000001
abx_mega__teix_dmso__4,0.31084190100000003,-0.4457345052
abx_mega__ethanol-10__1,1.6313429456000001,0.7688768095
abx_mega__inh_h2o__1,0.6212094420000001,0.0842913169
abx_mega__rif_dmso__3,2.0312279526,-0.2502962924
abx_mega__van_dmso__3,2.9631942297,-0.4269530031
abx_mega__doxo_dmso__1,0.4057310034,0.593026909
abx_mega__tmp_dmso__1,-0.1901657565,-0.4089555345
abx_mega__ethanol-10__2,0.5229459932,0.1860990321
abx_mega__tmp_dmso__2,0.0972705266,-0.3728807926
abx_mega__amyc-d_dmso__5,-0.4602930524,0.4352071751
abx_mega__novo_h2o__4,2.8794919919,0.0472079153
abx_mega__cro_h2o__2,0.3728389257,-0.586890624
abx_mega__cro_h2o__3,-0.8409757495,0.180056653
abx_mega__gen_h2o__2,0.9440645510000001,-0.5513631735
abx_mega__phos_h2o__4,1.0891482568,-0.8408295052
abx_mega__metro_dmso__2,1.2174117254,-0.446767886
abx_mega__ery_h2o__2,0.7675932808,-1.9523063192
abx_mega__sacet_h2o__1,2.1669458702,-0.8461872841
abx_mega__nal_naoh__5,-0.11537032800000001,-0.8583912175
abx_mega__bacit_h2o__4,-0.07178292500000001,-0.8160897505
abx_mega__cip_naoh__3,-0.9831165539000001,-0.090573336
abx_mega__ethanol-8__1,0.001946989,0.45630576910000004
abx_mega__h2o-8a__1,-0.43084427500000005,-0.1438396706
abx_mega__ery_h2o__3,0.2107801464,-0.9669616596
abx_mega__flavo_dmso__2,-0.5875800683,-0.10307240170000001
abx_mega__rif_dmso__4,3.7842109158,-0.1893127114
abx_mega__novo_h2o__5,0.0262630407,-1.0493622378
abx_mega__teix_dmso__5,1.0597389038,-0.0117556234
abx_mega__naoh-2__1,-0.7111009399,-1.0059539994
abx_mega__novo_h2o__6,0.2428643171,-0.8442856111
abx_mega__ctx_h2o__3,-0.0411850566,0.2130322889
abx_mega__rach_dmso__3,0.23639272120000002,-0.16659238610000002
abx_mega__valin_dmso__2,5.4496050971,0.47880630690000003
abx_mega__amyc-d_dmso__6,1.3729733398000001,1.1556846503
abx_mega__dox_dmso__2,2.0914135492,-0.14277079310000002
abx_mega__teix_dmso__6,1.2648822177,-0.096643373
abx_mega__naoh-6__2,-0.6446066135,-0.6168892446
abx_mega__inh_h2o__2,1.6787892405,1.6835115617
abx_mega__chl_h2o__3,4.124635801,-0.3889955913
abx_mega__nal_naoh__6,-0.1843112694,-0.7887860039
abx_mega__chl_dmso__2,3.124161429,-0.5460802167000001
abx_mega__rach_dmso__4,-0.5033600153,-0.5173799232
abx_mega__teix_dmso__7,1.1059534284,-0.07063488180000001
abx_mega__ceru_ethanol__1,0.1908049326,0.8215864654
abx_mega__dmso-7__1,1.4063649244,-0.1908401887
abx_mega__naoh-6__3,0.47254764790000003,-0.6072653493
abx_mega__phos_ethanol__2,0.7382731672,0.4618055039
abx_mega__metro_dmso__3,-0.4733313662,-0.8707213515000001
abx_mega__van_dmso__4,2.7026935550999998,-0.39878036910000003
abx_mega__h2o-10__1,0.6693931980000001,0.1422336018
abx_mega__h2o-10__2,1.0939238273,0.0334689158
abx_mega__dmso-6__3,1.5296497803,-1.0742279145
abx_mega__mem_dmso__1,-0.6838857489,-0.3768922752
abx_mega__ethanol-8__2,0.4326837732,0.5756082798000001
abx_mega__chl_h2o__4,3.273069477,-0.4160294237
abx_mega__van_h2o__1,-1.4416813298,-0.4633670663
abx_mega__dcs_h2o__1,0.1259831173,-0.2626513301
abx_mega__rif_dmso__5,1.9688509499,0.24698324100000002
abx_mega__dox_dmso__3,-0.09128670700000001,0.29763389560000003
abx_mega__mem_dmso__2,-0.6929319276,0.3604289825
abx_mega__lvx_dmso__2,0.42520109380000004,0.019779491
abx_mega__tet_h2o__2,2.5181222377,0.0190269147
abx_mega__phos_h2o__5,-2.2995181018,-0.4706604969
abx_mega__monac_dmso__1,2.097766433,0.084034514
abx_mega__str_h2o__3,-0.1107506612,0.0638170836
abx_mega__zeocin_h2o__2,5.1082814383,0.4405033305
abx_mega__amyc-d_dmso__7,1.8923701576,1.1525160524
abx_mega__fidax_dmso__1,1.7793664253,-0.3444748325
abx_mega__h2o-1a__1,0.0836411486,-0.2320617626
abx_mega__dox_dmso__4,0.7788624144,-0.4018972094
abx_mega__lzd_dmso__2,1.7151737847000001,-0.0426745297
abx_mega__tet_h2o__3,1.1201801341,-0.025927729
abx_mega__dmso-1__2,-0.15195344,0.0343074223
abx_mega__sxt_dmso__2,-1.6741888693,0.1654344884
abx_mega__tric_ethanol__2,2.4078614473,0.2923010949
abx_mega__teix_dmso__8,-0.6313362584000001,-0.6971349822
abx_mega__ramo_h2o__2,0.6247572299,-0.1319021515
abx_mega__inh_h2o__3,-0.3847574588,0.4178692344
abx_mega__cst_h2o__3,-0.6589640491000001,-0.2669958301
abx_mega__dmso-9__1,0.6640889532,0.5062622491000001
abx_mega__ethanol-8__3,1.1540724914,0.4668024277
abx_mega__monac_dmso__2,2.0654235982,0.31479917760000004
abx_mega__dmso-9__2,0.6790244415000001,0.40341206150000003
abx_mega__metro_dmso__4,2.3051152525,0.3027373058
abx_mega__ctx_h2o__4,-0.44892035480000003,-0.0690067652
abx_mega__zeocin_h2o__3,6.7269670777,1.4330755423000001
abx_mega__bacit_h2o__5,5.3729558938,0.5226883644
abx_mega__reta_dmso__1,3.1943403776,-0.10475321130000001
abx_mega__ery_h2o__4,2.6677027016,-0.2714559627
abx_mega__ceru_ethanol__2,0.7288795787,0.2859944404
abx_mega__fidax_dmso__2,1.1392803071,-0.1649212742
abx_mega__novo_dmso__1,0.9424038229,-0.5068486246
abx_mega__naoh-6__4,-0.2312593907,-1.2643218692
abx_mega__amyc-d_dmso__8,2.8751790303,-0.13663085590000001
abx_mega__chl_dmso__3,2.1001971121,-0.6438344221
abx_mega__nal_naoh__7,-0.33837206140000003,0.2797089854
abx_mega__teix_dmso__9,0.4665954631,-0.0021509132
abx_mega__ery_dmso__3,1.6215169407999999,-0.4451472985
abx_mega__tmp_dmso__3,-1.4649940473,-0.4979683448
abx_mega__sxt_dmso__3,0.0586731359,-0.6244058267
abx_mega__polmyx_h2o__4,-0.6738138785000001,-0.5435994317
abx_mega__mem_dmso__3,0.5425853618,0.29053211760000003
abx_mega__nal_naoh__8,-1.0456422994,-2.2805564574
abx_mega__pen_h2o__3,-0.5961699993,0.099277295
abx_mega__van_dmso__5,2.2457227881,-0.3960078299
abx_mega__zeocin_h2o__4,-0.32611909440000003,0.5967216774
abx_mega__h2o-6__2,-0.29521744,-0.7037338315
abx_mega__tet_h2o__4,-0.5161505243,-0.3887546254
abx_mega__nor_naoh__4,-0.2501058429,0.1780658471
abx_mega__cip_naoh__4,-0.22750002500000002,-0.40368072600000005
abx_mega__tmp_dmso__4,0.025714649200000002,-0.3706939998
abx_mega__reta_dmso__2,3.1274857465,-0.0588070406
abx_mega__mem_dmso__4,0.1846446608,0.2483135877
abx_mega__dox_dmso__5,2.1892336841,-0.630328144
abx_mega__tmp_dmso__5,0.4503448229,0.4936933331
abx_mega__flavo_dmso__3,-0.2431019499,-0.3146438822
abx_mega__tmp_dmso__6,-0.1408034884,0.34909316100000004
abx_mega__ceru_ethanol__3,0.24504204540000002,0.3964202687
abx_mega__teix_dmso__10,-0.8714088857000001,-0.2158105194
abx_mega__novo_h2o__7,2.6980265021000003,-0.5953183786
abx_mega__fidax_dmso__3,0.8787907491,0.2960916386
abx_mega__h2o-1a__2,-0.2615459558,0.14063496050000002
abx_mega__dcs_h2o__2,-0.48950675530000004,0.0977875703
abx_mega__cst_h2o__4,-0.0402387208,-0.7251201953
abx_mega__van_h2o__2,-0.1020440143,0.2249215031
abx_mega__pen_h2o__4,-1.0638330878,0.1706275421
abx_mega__h2o-8b__2,1.3584731894,-0.5216539539
abx_mega__reta_dmso__3,2.8520244797,-0.4834073667
abx_mega__dmso-7__2,0.8264980328,-0.0340472067
abx_mega__rfp_h2o__2,2.722124384,-0.3866663231
abx_mega__rif_dmso__6,4.2715656213,0.9439608633000001
abx_mega__sxt_dmso__4,1.1726923847,-0.2909605279
abx_mega__cip_naoh__5,-0.3746158074,-0.1468099181
abx_mega__dmso-9__3,0.4337528941,0.46555945540000004
abx_mega__mem_dmso__5,0.2965764563,-0.0178382624
abx_mega__tric_h2o__2,1.8388812691,0.9578563362
abx_mega__phos_h2o__6,-0.6117033540000001,-0.5521338386
abx_mega__h2o-7__2,-0.1205288315,-0.0335943041
abx_mega__h2o-10__3,0.7243320778,-0.038535582400000004
abx_mega__h2o-8a__2,-1.0425331502,0.309190725
abx_mega__thio_dmso__3,1.6998342024,-0.4429064952
abx_mega__lzd_dmso__3,0.4770592735,-1.021229565
abx_mega__monac_dmso__3,2.1042253695,0.7848128478
abx_mega__polmyx_h2o__5,-0.1368063916,0.15794829030000002
abx_mega__naoh-6__5,0.2932148304,-0.0822377048
abx_mega__teix_dmso__11,-0.7677808341,-0.764764027
abx_mega__van_h2o__3,-0.4430033705,-0.1345715994
abx_mega__teix_dmso__12,-0.1147866938,0.3753415678
abx_mega__dox_dmso__6,-2.8652737891,0.1469039215
abx_mega__teix_dmso__13,0.5541158425,-0.5438828623
abx_mega__h2o-7__3,-0.1138571829,-0.1334758551
abx_mega__str_h2o__4,-0.6042175298,-0.4268740335
abx_mega__tec_h2o__3,-0.323392134,-1.4493410630999999
abx_mega__phos_h2o__7,0.058553579200000004,-0.9506299052
abx_mega__chl_h2o__5,1.9155044739,-1.0825269794
abx_mega__polmyx_h2o__6,-1.5057190383,-1.3748186196
abx_mega__teix_dmso__14,-0.9749679546000001,-0.6933273556
abx_mega__rif_dmso__7,1.1015392719000001,-0.1712349152
abx_mega__ramo_h2o__3,-0.5516932086,0.0870670733
abx_mega__fidax_dmso__4,0.6071109633,-0.0909212435
abx_mega__teix_dmso__15,0.7055835867,0.1871808238
abx_mega__thio_dmso__4,1.4382024206000001,-0.6745618037000001
abx_mega__rif_dmso__8,4.4827703007,0.940706138
abx_mega__reta_dmso__4,3.2868828283,-0.420502782
abx_mega__inh_h2o__4,1.4245776254,1.0504743389
abx_mega__novo_dmso__2,0.5771135582,-0.3933101175
abx_mega__dcs_h2o__3,1.1077762905,0.060994426500000004
abx_mega__h2o-8b__3,-0.3066530469,0.09737558900000001
abx_mega__valin_dmso__3,0.7652943398000001,-0.0599139074
abx_mega__h2o-2__1,0.7613515505,-0.399008417
abx_mega__cro_h2o__4,-0.8481689504000001,0.2845214936
abx_mega__dcs_h2o__4,0.5138295105,0.2311517588
abx_mega__str_h2o__5,2.1076241306,-0.2524230772
abx_mega__h2o-8a__3,-0.5235541034,-0.1286104542
abx_mega__dox_dmso__7,-0.1090848434,-0.265680316
abx_mega__doxo_dmso__2,1.4413539105,0.749364698
abx_mega__teix_dmso__16,-0.43430618670000004,-0.9826801896
abx_mega__rfp_h2o__3,2.2289544147,-0.29104578470000003
abx_mega__ethanol-10__3,2.6576721094,0.5232090818
abx_mega__naoh-2__2,-0.1764093233,-0.1656274091
abx_mega__van_h2o__4,-0.9493135421000001,-0.7167026842
abx_mega__sacet_h2o__2,2.8867266594,-0.5162934116
abx_mega__monac_dmso__4,1.9978850843,0.4685640097
abx_mega__h2o-2__2,0.2933955863,-0.7010728059
abx_mega__zeocin_h2o__5,0.5433830423,0.2436794754
abx_mega__nor_naoh__5,-0.5462750371,-0.0645831719
abx_mega__naoh-9__2,-0.7329427188000001,0.25963181890000003
abx_mega__dmso-7__3,0.6757943396,-0.5369321326000001
abx_mega__van_h2o__5,-0.6501171858,-0.7348445766
abx_mega__flavo_dmso__4,-0.31295170040000003,-0.4031073166
abx_mega__novo_dmso__3,1.1097791148,-0.5326416031
abx_mega__polmyx_h2o__7,-0.11462423570000001,-0.0853744679
abx_mega__teix_dmso__17,1.206665096,-0.1525391103
abx_mega__doxo_dmso__3,2.0605444869,0.41801556360000003
abx_mega__mem_dmso__6,0.5928948807000001,0.33182755880000003
abx_mega__h2o-1a__3,0.1779048071,0.091426802
abx_mega__bacit_dmso__3,5.0585488483,0.2570179951
abx_mega__dox_dmso__8,1.4508353884,-0.5870401234
abx_mega__teix_dmso__18,0.08488522800000001,-0.5489092551
abx_mega__h2o-6__3,0.7642623864,-0.4280454435
abx_mega__pen_h2o__5,-1.5964623382,-0.027540142700000003
abx_mega__lzd_dmso__4,-0.3941085925,-0.6371023793
abx_mega__daro__1,-0.1161460044,-0.2882231617
abx_mega__solv__1,1.0739920127,-0.478366977
abx_mega__daro__2,0.8761646731,-0.0382134614
abx_mega__daro__3,0.9759213565,-0.18984450090000002
abx_mega__solv__2,1.0483618133000001,-0.8627262822
abx_mega__solv__3,1.6224203096,-0.2377832028
abx_mega__dmso-4__1,5.5488535928000005,0.5828561302
abx_mega__kirr_dmso__1,2.5979145841999998,-0.2218369851
abx_mega__kirr_dmso__2,1.9582663024,-0.3371652295
abx_mega__kirr_dmso__3,5.0704328236,-0.3423564327
abx_mega__dmso-4__2,6.0744029562,1.0494497288
abx_mega__dmso-4__3,4.3439139546,0.4806900793
ackA_pta__dnaA46_del_ackA__1,0.6023280243,0.2883635613
ackA_pta__dnaA46_del_ackA__2,1.15367874,0.46490029250000003
ackA_pta__dnaA46_del_ackA__3,0.3862536924,-0.018787631200000002
ackA_pta__dnaA46_del_pta__1,2.2329334979,0.5853395593
ackA_pta__dnaA46_del_pta__2,0.38311636930000004,-0.0481071254
ackA_pta__dnaA46_del_pta__3,-0.0327557814,-0.032708168100000004
ackA_pta__dnaA46__1,0.1797759808,-0.0037899825
ackA_pta__dnaA46__2,0.0054081405,-0.5987977624
ackA_pta__dnaA46__3,-0.053279307500000005,-0.21327304100000002
ackA_pta__del_ackA__1,-0.0138735703,0.6493140447
ackA_pta__del_ackA__2,1.0951678415,0.9120546651
ackA_pta__del_ackA__3,-0.1778203333,0.1530579055
ackA_pta__del_pta__1,-0.4592039003,-0.3563466931
ackA_pta__del_pta__2,0.0372918064,0.2530575436
ackA_pta__del_pta__3,-0.012629185400000001,-0.1832305099
ackA_pta__wt__1,0.16043983080000002,0.5120974371
ackA_pta__wt__2,0.0148367984,-0.3101005441
ackA_pta__wt__3,-0.1752766292,-0.201996893
anticancer__5fu__1,-0.2466065674,0.1432918544
anticancer__5fu__2,-0.917442618,-0.1461057087
anticancer__cap__1,0.2251110077,0.0370592582
anticancer__cap__2,0.1620644481,-0.1070611843
anticancer__cap__3,0.49120012500000004,-0.058600035
anticancer__wt__1,-0.1117201904,0.0139806588
anticancer__wt__2,-0.1763548264,0.259304442
anticancer__wt__3,0.2880750168,-0.2732851008
anticancer__5fu__3,-1.1218648793,-0.6177074048
bio_pln__aero_pln__1,0.2114815266,-0.0386912654
bio_pln__aero_pln__2,-0.2114815266,0.0386912654
bio_pln__anaero_pln__1,0.6573014143,-0.29063690940000003
bio_pln__anaero_pln__2,-1.3051959337999999,-0.7029405098
biocide__bzcl_12h__1,-1.6620358990000001,0.0970153183
biocide__bzcl_12h__2,-1.5503872234,0.3226090685
biocide__bzcl_12h__3,-1.8305376314,0.3526299981
biocide__etoh_12h__1,-1.1145634215,0.7293025877
biocide__etoh_12h__2,-1.0363108534,0.3777573395
biocide__etoh_12h__3,-1.6282808377,0.4143474607
biocide__gluald_12h__1,-1.4610891827999999,-0.1178210163
biocide__gluald_12h__2,-1.1479275389999999,0.115405143
biocide__gluald_12h__3,-0.9699952887000001,0.1213813516
biocide__h2o2_12h__1,-1.183458629,0.1353647359
biocide__h2o2_12h__2,-0.8086688062,-0.0874673616
biocide__h2o2_12h__3,-0.8011261788,0.2716768452
biocide__2ppoh_12h__1,-1.3099154098999999,0.5197583025
biocide__2ppoh_12h__2,-1.2153971696,0.5776264221
biocide__2ppoh_12h__3,-0.7241962943,0.7428694145
biocide__paa_12h__1,-0.9015901126,-0.3029765371
biocide__paa_12h__2,-1.5967528918,0.2520749983
biocide__paa_12h__3,-1.0474060764,-0.1467693716
biocide__phe_12h__1,-0.6554490843,0.4300558102
biocide__phe_12h__2,-1.681198915,0.42164180430000003
biocide__phe_12h__3,-1.0944802213,0.491681898
biocide__pvp-i_12h__1,-1.2565159911000001,0.30670583490000003
biocide__pvp-i_12h__2,-0.30637934640000003,0.0801097857
biocide__pvp-i_12h__3,-1.2949480164,0.2721339474
biocide__bleach_12h__1,-1.0287432786,0.15367677400000002
biocide__bleach_12h__2,-0.6197510188,0.4381744879
biocide__bleach_12h__3,-0.2055073185,0.2784395636
biocide__chx_12h__1,-0.8540092718000001,0.35750589600000005
biocide__chx_12h__2,-0.7579686262,0.23453903820000002
biocide__chx_12h__3,-0.9764318013000001,0.3080857984
biocide__bzcl_30m__1,-0.6580382529000001,0.021658880000000002
biocide__bzcl_30m__2,-1.4002331088,-0.074992107
biocide__bzcl_30m__3,-0.6505851370000001,0.0656088678
biocide__phe_30m__1,-0.0536433216,-0.1138042264
biocide__phe_30m__2,-2.9558863339,-0.1231006748
biocide__phe_30m__3,-1.606587059,-0.22806172770000002
biocide__pvp-i_30m__1,-0.9758483156000001,0.033677877200000005
biocide__pvp-i_30m__2,-1.0726310566,0.2780210924
biocide__pvp-i_30m__3,-0.6001396325,-0.18866703210000002
biocide__ctrl_12h__1,-1.7290888312,0.0644917026
biocide__ctrl_12h__2,-0.5662911622,0.30714756800000004
biocide__ctrl_12h__3,-1.091334411,0.0384664756
biocide__ctrl_30m__1,-0.0077992888,0.040700644200000004
biocide__ctrl_30m__2,0.1925977124,-0.1441710142
biocide__ctrl_30m__3,-0.1847984236,0.10347037
clpP__wt__1,-0.0829306367,0.0793124129
clpP__wt_DPTA__1,1.9826328489,2.2051158338
clpP__wt__2,-0.2402696778,-0.2507432087
clpP__wt_DPTA__2,1.6555319804000002,2.1452626492
clpP__wt__3,0.32320031450000003,0.17143079590000002
clpP__wt_DPTA__3,1.8200216884,1.8621825671
clpP__delclpP__1,1.0522956315,0.4014819193
clpP__delclpP_DPTA__1,0.6577027949,2.2175479327
clpP__delclpP__2,0.6542631913,0.2466000694
clpP__delclpP_DPTA__2,2.611712857,2.1845678686
clpP__delclpP__3,1.1867649865,-0.10598444080000001
clpP__delclpP_DPTA__3,0.1847590033,2.3578992529000002
colombos2__delydcR__1,-1.2348586943,0.0096519087
colombos2__delydcR__2,1.1303349132,0.18688096540000002
colombos2__delydcR__3,-0.7393654136000001,-0.029979220900000002
colombos2__delyjiR__1,-0.012908384200000001,-0.1627895443
colombos2__delyjiR__2,-0.0462730478,0.1949559439
colombos2__delyjiR__3,0.24917911010000002,0.3009619767
colombos2__wt__1,-0.44866647810000004,0.0457663507
colombos2__wt__2,0.7229651949,-0.0501854007
colombos2__wt__3,-0.2742987168,0.00441905
crp_k100__ar1_ar2__1,3.1210009126,-1.1383175892
crp_k100__ar1_ar2__2,2.0774619177,-0.9504969326
crp_k100__ar1_ar2__3,1.8901437967999999,-0.8938645133
crp_k100__wt__1,0.1894933286,0.1237588418
crp_k100__wt__2,-1.1686689915,-0.2612475005
crp_k100__wt__3,0.9791756629,0.13748865870000002
crp_k100__K100Q__1,0.2725372292,-0.6318108025
crp_k100__K100Q__2,0.7459789369000001,-0.5507545585
crp_k100__K100R__1,0.7174059324000001,-0.7176001568
crp_k100__K100R__2,2.9590056872,-0.6221669457
crp_k100__K100R__3,0.43110634470000003,-0.9171958834
csrA__wt_t00__1,0.32558471370000003,-0.47067790190000003
csrA__wt_t02_30__1,3.72754124,-2.2099980855
csrA__wt_t05__1,8.1174260292,-2.7814517831
csrA__wt_t10__1,14.0661608461,-1.7422962887
csrA__wt_t15__1,15.926522876,-2.2373149175
csrA__delcsrA_t00__1,-0.7048749103,0.7778112651
csrA__delcsrA_t02_30__1,2.7215653851,-1.2045510516
csrA__delcsrA_t05__1,5.4382152325,-1.4490163203
csrA__delcsrA_t10__1,9.8478761979,-1.6728289783
csrA__delcsrA_t15__1,11.6543933506,-0.9407058336
csrA__wt_t00__2,-0.32558471370000003,0.47067790190000003
csrA__wt_t02_30__2,3.1449890016,-1.63565015
csrA__wt_t05__2,7.4131957596,-2.4571956216
csrA__wt_t10__2,13.2680805874,-2.2677992318999998
csrA__wt_t15__2,14.4199849144,-1.3752122862
csrA__delcsrA_t00__2,-0.4091354815,0.6299233982
csrA__delcsrA_t02_30__2,2.362186377,-0.7619224723
csrA__delcsrA_t05__2,5.7686732227,-2.0434176181
csrA__delcsrA_t10__2,9.4322489432,-0.7300364755000001
csrA__delcsrA_t15__2,10.9827754015,-0.4463366938
cstr_pfr__str_0005m__1,0.4584436461,0.08661481680000001
cstr_pfr__str_0010m__1,0.5441202614,0.1305149907
cstr_pfr__str_0025m__1,0.15109675,0.20565421820000002
cstr_pfr__str_0045m__1,0.24523099310000002,0.3254503448
cstr_pfr__str_0075m__1,0.44381043870000003,0.1412491729
cstr_pfr__str_0120m__1,0.2852083797,0.18522693480000002
cstr_pfr__str_0210m__1,0.323738558,0.173933266
cstr_pfr__str_0330m__1,1.3524165614,0.2556356379
cstr_pfr__str_1500m__1,1.4463194874,0.4289853129
cstr_pfr__str_1560m__1,0.30174622570000004,0.2292369673
