,A,CdaR
omics__bw_glc__2,0.5659825949,1.1572275315
omics__bw_pyr__1,0.8157153628,1.8902006574999999
omics__bw_pyr__2,0.8356511119000001,1.7483172355
ompr__wt_nacl__1,2.2021404437,-0.4508328675
ompr__wt_nacl__2,2.3659549383,-0.5084373215
ompr__bw_delompr_nacl__1,2.4769490863,-0.0785773375
ompr__bw_delompr_nacl__2,2.0224866339,-0.1612035115
minspan__wt_ade__1,-0.4656386226,-0.9505085195
minspan__wt_glc__2,0.5504078598000001,-0.5143999915
minspan__wt_glc__3,0.2544768324,0.1052057155
minspan__wt_glc__4,0.6501345107000001,0.06428985450000001
minspan__wt_glc_anaero__1,0.440503641,0.0191715465
minspan__wt_glc_anaero__2,1.9118971737,-1.3145408615
minspan__wt_trp__1,1.3064195324,0.6743504085
minspan__bw_delcra_glc__2,1.4858590796,0.4291818135
minspan__bw_delcra_trp__1,2.2855882681,0.4313096965
minspan__bw_delmntr__1,1.5205892216999999,0.7554789275
minspan__bw_delnac_ade__1,0.556170071,0.3442589465
minspan__bw_delnac_glc__1,1.3263300557,0.0805425995
cra_crp__wt_ac__1,1.9642845666,1.4794684785
cra_crp__wt_ac__2,1.5823182151,1.1329266695
cra_crp__wt_fru__1,2.4044636132,1.0008081955
cra_crp__wt_fru__2,1.8958846205,0.6585821085
cra_crp__delcra_ac__1,2.5496635697,2.2480076085
cra_crp__delcra_ac__2,2.6286056363,2.2843980515
cra_crp__delcra_fru__1,1.9752099368,0.5995011455
cra_crp__delcra_fru__2,1.6163734731,0.3073333925
cra_crp__delcra_glc__1,1.267606414,0.2653467305
cra_crp__delcra_glc__2,1.6641528059000001,0.46878793350000003
rpoB__wt_031__1,5.2359446978,2.1366240495
rpoB__wt_044__1,0.9238064398,0.7573881695
rpoB__wt_lb__1,7.6553312226,1.8286742085
rpoB__wt_lb__2,7.8584739787,1.8282650435
rpoB__rpoBE546V_031__1,1.7012636833,1.4829178475
rpoB__rpoBE546V_044__1,1.5484509422000001,1.3185920885
rpoB__rpoBE546V_lb__1,6.0094636579,1.7404599345
rpoB__rpoBE546V_lb__2,6.0261451513,1.6387281635000002
rpoB__rpoBE546V_glc__1,-0.2820335284,-0.0201131815
rpoB__rpoBE672K_glc__1,0.0882347691,0.1200727905
rpoB__rpoBE672K_glc__2,-0.15756258680000002,0.1947205215
rpoB__rpoBE672K_lb__1,4.6263940698,0.4949661825
rpoB__rpoBE672K_lb__2,4.8711980744000005,0.4619940235
crp__wt_fru__1,6.435584978,2.4195194525
crp__wt_glyc__1,2.4766320144,2.3005153525
crp__wt_glyc__2,2.9552197693,2.4950168085
crp__delar1_glyc__1,2.5852694554999998,0.0596131825
crp__delar1_glyc__2,2.8387263663,0.5060605545
crp__delar1ar2_glyc__1,1.3873587077,0.33524698750000004
crp__delar1ar2_glyc__2,1.9589577953,0.44534795450000003
crp__delar1ar2_glyc__3,1.7330753937,0.19691664250000002
crp__delar2_glyc__1,5.564074723,2.8167403914999998
crp__delar2_glyc__2,5.2286572453,2.5970158395
crp__delar2_glyc__3,5.2007117906,2.7088991975
crp__delcrp_fru__1,2.1757531354,0.4831053735
crp__delcrp_fru__2,2.099082673,0.6183084605
crp__delcrp_fru__3,2.0423266085,0.29152161050000003
crp__delcrp_glc__1,2.4089983788,0.5191508135
crp__delcrp_glc__2,1.8392321903000002,0.4391910995
crp__delcrp_glc__3,1.9222156496,0.5327989545
crp__delcrp_glyc__1,2.0621507082,0.054296895500000004
crp__delcrp_glyc__2,2.504756748,0.2622938885
crp__delcrp_glyc__3,1.9194975523000002,0.2143389605
glu__glu_ale3__1,2.4784097923,-0.4401446845
glu__glu_ale4__1,1.5242733485,0.1497059425
glu__glu_ale5__1,0.2248209753,0.2283729365
glu__glu_ale6__1,0.9916131649000001,-0.4858997485
glu__glu_ale8__1,0.8856507054,-0.28837409750000004
glu__glu_ale9__1,1.5353638987,-0.1669454015
glu__glu_ale10__1,0.8427176815,-0.41621828250000004
42c__wt_42c__1,1.7798462018999999,0.6649797655
42c__42c_ale1__1,2.0926064978,1.3047468235
42c__42c_ale2__1,2.1808208625,-0.0944523075
42c__42c_ale3__1,0.5561463986,0.42944098750000004
42c__42c_ale4__1,1.4624145049,-0.34534193150000003
42c__42c_ale5__1,0.7160619247000001,-0.0758694495
42c__42c_ale6__1,1.9225915884,0.5900246025
42c__42c_ale8__1,2.1479197322,-0.3211872845
42c__42c_ale9__1,0.9645356832,0.2317269285
42c__42c_ale10__1,1.6992775236000002,0.7541531805
ssw__wt_ac__1,2.1760301739,1.6933658185
ssw__wt_glc__1,-1.4164800363,-0.6094230485000001
ssw__wt_glyc__1,12.1420051295,3.6887376265
ssw__wt_xyl__1,1.3649975465,1.4093316535
ssw__glc_ale1__1,4.0959040319,1.2571686385
ssw__glc_ale2__1,2.6619463953,0.7291306525
ssw__glc_ale3__1,1.3884863179,0.7630854805
ssw__glyc_ale1__1,3.3259695871,1.1336721245
ssw__glyc_ale2__1,0.9908162838000001,0.8463568535
ssw__xyl_ale1__1,5.6462093345,1.5785382975000002
ssw__xyl_ale2__1,14.0146557223,3.7581605365
ssw__xyl_ale3__1,2.8794086966,1.3291710055000001
ssw__glc_ac_ac2__1,2.5009861051,0.7759283815
ssw__glc_ac_glc1__1,0.572368584,0.41098103950000003
ssw__glc_glyc_glc__1,1.5904408714,0.3255341755
ssw__glc_glyc_glyc__1,10.341238905400001,2.8977836195
ssw__glc_xyl_glc__1,1.0854498564,0.21230925750000001
ssw__glc_xyl_xyl__1,8.206214759,1.7014896585
ica__wt_glc__1,0.8840705308000001,0.6174198265
ica__wt_glc__2,0.2986794862,0.5610730165
ica__wt_glc__3,0.8257650518,0.7645236165
ica__wt_glc__4,0.3621517951,0.41950361150000004
ica__arg_sbt__1,4.0975502284,2.1243081285
ica__arg_sbt__2,3.080763993,1.7679789195
ica__cytd_rib__1,16.735064925,3.0076204215
ica__cytd_rib__2,15.9816917871,2.9925581145
ica__gth__1,2.8530395956,0.7553202725
ica__gth__2,2.6386901882,1.0343114025
ica__leu_glcr__1,26.0171213349,4.9825145815
ica__leu_glcr__2,26.0558171274,5.0199142445
ica__met_glc__1,0.0033305208000000003,0.5371032495
ica__met_glc__2,0.6973881014000001,0.6667892235
ica__no3_anaero__1,1.1472551355,0.19044495250000001
ica__no3_anaero__2,1.3780477155,0.2234924715
ica__phe_acgam__1,0.3168224099,0.0417030355
ica__phe_acgam__2,0.2901077043,0.25157669050000003
ica__thm_gal__1,2.6722254187,1.9809884165
ica__thm_gal__2,3.0661259817,2.1146405275
ica__tyr_glcn__1,0.7414817145,-0.1246534445
ica__tyr_glcn__2,0.5637830135,0.2896730065
ica__ura_pyr__1,0.44095354130000003,1.1409433775
ica__ura_pyr__2,0.3306094549,1.5368330665
ica__wt_glc__5,1.2858198302,0.5839053475
ica__wt_glc__6,0.6212952313,0.5236292405
ica__bw_delpurR_cytd__1,0.6502712030000001,0.5414323415
ica__bw_delpurR_cytd__2,0.198142865,0.8158066335
ica__ade_glc__1,0.3689443717,0.5845058495000001
ica__ade_glc__2,0.313020046,0.5194770485
ytf__wt_glc__1,1.0487792471,0.2564954695
ytf__wt_glc__2,1.6735075963,0.3849656455
ytf__delyafC__1,2.1846429494,1.1651001945
ytf__delyafC__2,2.3864045961,1.2641202085
ytf__delyeiE__1,0.5600064876,0.8098149365
ytf__delyeiE__2,0.9130035814,0.3764442195
ytf__delyiaJ__1,2.2123317643,0.7346865075
ytf__delyiaJ__2,1.7586718383000002,0.6149174935
ytf__delyieP__1,1.2199058325,0.9112584395000001
ytf__delyieP__2,1.477571985,0.5965124455
ytf__wt_ph5__1,1.1643602161,0.4461670325
ytf__wt_ph5__2,1.1757263312,0.5317511175
ytf__wt_ph8__1,0.488230898,0.4248707245
ytf__wt_ph8__2,0.32021175100000004,0.6541271225
ytf__delybaO__1,2.3696345269,1.3254032935
ytf__delybaO__2,1.4083971639000001,1.3721985485000001
ytf__delybaQ__1,0.6675730924000001,0.12323370850000001
ytf__delybaQ__2,0.7558665612000001,0.4385661035
ytf__delybiH__1,1.6044963855,-0.0614324295
ytf__delybiH__2,1.8089714794,0.9484888965
ytf__delydcI_ph5__1,0.5850213830000001,0.48624975950000004
ytf__delydcI_ph5__2,0.7376491952,-0.0471823605
ytf__delydcI_ph8__1,0.6846006570000001,0.11958885150000001
ytf__delydcI_ph8__2,0.7310470727,0.47963590450000004
ytf__delyddM__1,1.1301077319,0.30899384950000003
ytf__delyddM__2,1.4226665461,0.3821842875
ytf__delyheO__1,2.2555864419000002,1.1012522925
ytf__delyheO__2,1.6563067757,1.1648777715
fps__bw_glc__1,0.0842799859,0.5712188225
fps__bw_glc__2,0.0778790644,0.2056350775
fps__fps_thrA_ale1__1,0.6138424769,0.0202676205
fps__fps_thrA_ale1__2,-0.0757247009,0.1548815445
fps__fps_thrA_ale2__1,0.11696369150000001,0.42544224550000004
fps__fps_thrA_ale2__2,0.23251864400000002,0.1396070305
fps__fps_serB_ale1__1,0.6645905282,0.47610490850000003
fps__fps_serB_ale1__2,0.2997406915,0.25526737850000003
fps__fps_serB_ale4__1,0.6024446715,0.6168600405
fps__fps_serB_ale4__2,0.7578891670000001,0.5645263125000001
fps__fps_ptsI_ale1__1,2.0076235161,1.7934850025
fps__fps_ptsI_ale1__2,1.6169982313,1.7697384514999999
fps__fps_ptsI_ale3__1,1.1431945552,1.6689003475000002
fps__fps_ptsI_ale3__2,1.3891148018,1.6284724025
pal__lyx_ale2_f6__1,3.5391058131,2.7572856855000003
pal__lyx_ale2__1,2.3578028808,2.1669040245
pal__lyx_ale2__2,3.0296175082,2.3731782755
pal__lyx_ale4__1,2.0093054814,2.0480409425
pal__lyx_ale4__2,1.984879861,1.7903002985
pal__5drib_ale10_f18__1,5.1658233187,2.8934282035
pal__5drib_ale10_f18__2,4.8266600228000005,3.0776858955
pal__5drib_ale10__1,3.0356869726,2.9085277395
pal__arab_ale14_f9__1,5.1415490526,1.8001602755000001
pal__arab_ale14_f9__2,4.476936729,1.5365699565000002
pal__arab_ale14__1,13.2515412804,1.7962359765
pal__arab_ale14__2,13.8715750955,2.2398181955
pal__arab_ale16__1,13.2001817992,3.0454107405
pal__arab_ale16__2,14.9848807872,3.1981701935
pal__tartr_ale26_f10__1,27.0947914144,6.0200218605
pal__tartr_ale26_f10__2,25.6637425347,5.6979404615
pal__tartr_ale26__1,28.1891922246,6.1705032785
pal__tartr_ale26__2,28.3462787034,6.2038795815
pal__tartr_ale28_f10__1,25.6126487089,5.7393256925
pal__tartr_ale28_f10__2,26.0302880208,6.1769552355
pal__tartr_ale28__1,30.114845754,6.7360060005
pal__tartr_ale28__2,28.4770370438,6.9196173505
efeU__delmenFentC_citr__1,1.4995750952,0.4375708425
efeU__delmenFentC_citr__2,1.1972153334,0.1076339405
efeU__delmenFentC__1,1.3358640179,0.4298406665
efeU__delmenFentC__2,0.9459799824,0.3078679315
efeU__menFentC_ale39__1,2.4095733424,0.9490236285
efeU__menFentC_ale39__2,2.2720957624,0.6715194935000001
efeU__menFentC_ale29__1,2.3542241383,-0.2646426805
efeU__menFentC_ale29__2,3.1524514799,0.0811652575
efeU__menFentC_ale30__1,1.8817676620000001,0.7444464655
efeU__menFentC_ale30__2,1.5449287133,0.25039888250000003
efeU__menFentCubiC_ale36__1,0.8067263468,0.3643514875
efeU__menFentCubiC_ale36__2,1.0005116178,0.44255416950000004
efeU__menFentCubiC_ale37__1,1.0716394448,0.4016797225
efeU__menFentCubiC_ale37__2,0.5375713673,0.5213064405
efeU__menFentCubiC_ale38__1,1.0479627838,0.5589466615
efeU__menFentCubiC_ale38__2,1.5233225986,0.5624672675
misc2__salc_glc__1,1.2314205973,0.46890652050000003
misc2__salc_glc__2,1.2782784586,0.4759023525
misc2__dbcn_glc__1,-0.1421196451,0.4604084135
misc2__dbcn_glc__2,0.7859244981,0.4277143175
misc2__tyr_glc__1,1.4550504068,0.3527189525
misc2__tyr_glc__2,1.5055041713000001,0.4817939895
misc2__arg_cytd__1,0.8230049302,0.3848492215
misc2__arg_cytd__2,0.3333855228,0.0655528855
misc2__delyheO_pyr__1,1.3889239254,1.5551246635
misc2__delyheO_pyr__2,0.7377841271000001,1.6794013465000002
nquinone__delubiC__1,0.5752164549000001,0.1092044445
nquinone__delubiC__2,0.7616794951,0.09293968350000001
nquinone__ubiC_ale1__1,0.8284570656,0.44186998050000004
nquinone__ubiC_ale1__2,0.9402110023,0.23186675850000002
nquinone__ubiC_ale2__1,1.5136693956,0.22042975550000002
nquinone__ubiC_ale2__2,1.2483635491,0.18776565550000002
nquinone__ubiC_ale3__1,1.1239553342,-0.0830336135
nquinone__ubiC_ale3__2,0.7841103309,-0.4695278765
nquinone__ubiC_ale4__1,1.1204699967,-0.1956268655
nquinone__ubiC_ale4__2,1.4428964995,0.2544401725
nquinone__delpdhR__1,0.7977397621000001,0.5546561335
nquinone__delpdhR__2,0.6092400349,0.3492226735
quinone__glu_ale4__1,1.9767331171,0.2069142065
quinone__glu_ale4__2,2.7089203482,0.4906886915
quinone__delmenF__1,0.6502264482,0.6060371155000001
quinone__delmenF__2,1.5236178028,0.2372759805
quinone__menF_ale5__1,1.9353902639,0.6443476915
quinone__menF_ale5__2,2.062611156,0.3280897045
quinone__menF_ale6__1,2.2669502174,0.5462275805
quinone__menF_ale6__2,1.6610570936,0.2782635285
quinone__menF_ale7__1,2.8505579558000003,1.1190346375
quinone__menF_ale7__2,2.855557349,1.2056126435
quinone__menF_ale8__1,2.8318350647,0.7132910455
quinone__menF_ale8__2,2.5951504080000003,0.2757859865
quinone__delmenFubiC__1,1.1564853711,0.1179555385
quinone__delmenFubiC__2,1.0431720046,0.46042887450000003
quinone__menFubiC_ale1__1,2.4496491206,0.5612963265
quinone__menFubiC_ale1__2,1.3605720407000002,0.5822834445
quinone__menFubiC_ale2__1,2.163702906,0.5662375885
quinone__menFubiC_ale2__2,1.8130405695,0.4042287625
quinone__menFubiC_ale3__1,1.4192312926000001,0.0845186525
quinone__menFubiC_ale3__2,1.3206990392,0.5408020595
quinone__menFubiC_ale4__1,2.1618371693,0.5442592535
quinone__menFubiC_ale4__2,2.487391058,0.7261743975
oxyR__wt_glc__1,1.2737638977999999,1.0302422275
oxyR__wt_glc__2,1.3627700965,0.9543914605
oxyR__wt_h2o2__1,1.1924702554,0.7653369435
oxyR__wt_h2o2__2,1.7048678759,0.9500815405
oxyR__glu_ale4__1,2.3349691494,0.8851008535
oxyR__glu_ale4__2,2.3173243198,1.0723728875
oxyR__glu_ale4_h2o2__1,2.0846566825,0.9123114785
oxyR__glu_ale4_h2o2__2,2.0218648642,0.8262557445000001
oxyR__oxyR_ale17__1,2.0322134202,0.8736340545
oxyR__oxyR_ale17__2,1.9450046681000002,0.8710202455
oxyR__oxyR_ale17_h2o2__1,1.8110299088000001,0.8615837285
oxyR__oxyR_ale17_h2o2__2,1.6356627059000002,0.7002143025
oxyR__oxyR_ale18__1,1.4131705722,0.8846697355
oxyR__oxyR_ale18__2,1.2220275191,0.8810467845000001
oxyR__oxyR_ale18_h2o2__1,1.7627166361,0.6890138475
oxyR__oxyR_ale18_h2o2__2,2.0100573288,0.7013082295
oxyR__oxyR_ale19__1,0.8756017691,0.7563481235
oxyR__oxyR_ale19__2,1.3039222352,1.0203987644999999
oxyR__oxyR_ale19_h2o2__1,0.9841316072,0.8168306635
oxyR__oxyR_ale19_h2o2__2,1.2433480654,0.8847907645
oxyR__oxyR_ale20__1,2.7102430624,0.6949953865
oxyR__oxyR_ale20__2,2.5540352367,0.7642135705
oxyR__oxyR_ale20_h2o2__1,1.6426589078,0.8689388725
oxyR__oxyR_ale20_h2o2__2,1.7834066464,0.7126349155
svns_pgi__BmePgi24_15__1,0.8351531957,1.2234094765
svns_pgi__BmePgi24_15__2,0.8865311956,1.1079348315
svns_pgi__BmePgi24_26__1,1.0981929084,1.1198259775
svns_pgi__BmePgi24_26__2,0.8206939604,1.2228700735
svns_pgi__BmePgi24_41__1,2.8153435903,0.9584808385
svns_pgi__BmePgi24_41__2,1.7012077293,0.9386753325
svns_pgi__BmePgi24_52__1,1.3294665299,1.1583261245
svns_pgi__BmePgi24_52__2,1.0209965571,1.1536239645
svns_pgi__PaePgi2_34__1,1.6668313733,0.9877476165
svns_pgi__PaePgi2_34__2,1.4325831925,1.0094906415
svns_pgi__PaePgi2_63__1,1.7802367881,0.7193270645000001
svns_pgi__PaePgi2_63__2,1.7821767025000002,0.7941281685
svns_pgi__PaePgi24_54__1,1.0933128525,1.1829945595
svns_pgi__PaePgi24_54__2,1.2310587755,1.2567242955
svns_pgi__PaePgi24_90__1,1.3363975465,0.7125151365
svns_pgi__PaePgi24_90__2,1.2223494094,0.8464576325000001
abx_media__m9_ctrl__1,-0.0695575548,0.3632167995
abx_media__m9_ctrl__2,0.1231337232,1.0561460195
abx_media__rpmi_ctrl__1,-1.256028596,1.6561793505
abx_media__rpmi_ctrl__2,-0.2057984558,1.5610221095
abx_media__camhb_ctrl__1,-1.317866861,-0.6172280115000001
abx_media__camhb_ctrl__2,-0.5327894445,0.2975182565
abx_media__m9_mero__1,-0.7495800586,0.7062699795
abx_media__m9_mero__2,0.0766859765,0.6140505875
abx_media__rpmi_mero__1,-0.9195379118,1.0118732055
abx_media__rpmi_mero__2,-0.4581647696,1.4863483865
abx_media__camhb_mero__1,0.2106346627,-0.2928264695
abx_media__camhb_mero__2,-0.1373878993,-0.13777685250000002
abx_media__m9_trisulf__1,-0.5107968755,0.13038072150000002
abx_media__m9_trisulf__2,-0.2367065261,0.1732938205
abx_media__rpmi_trisulf__1,-0.2257165115,-0.1748025265
abx_media__rpmi_trisulf__2,0.1772256207,0.0277470805
abx_media__camhb_trisulf__1,-0.44085507970000004,0.27196251450000003
abx_media__camhb_trisulf__2,-0.36516862050000004,-0.07225087050000001
abx_media__m9_cef__1,0.0179757685,0.35684443650000003
abx_media__m9_cef__2,0.22164312400000002,0.9488821145
abx_media__rpmi_cef__1,-0.1552540446,1.0469926535
abx_media__rpmi_cef__2,-0.4663745842,1.0541468605
abx_media__camhb_cef__1,-0.1975900994,0.5075355535
abx_media__camhb_cef__2,-0.44691388200000004,0.6139017685
abx_media__m9_cipro__1,0.6367861572,0.2888156575
abx_media__m9_cipro__2,0.8371856634,0.2617245565
abx_media__rpmi_cipro__1,-0.7105146569,0.1618152255
abx_media__rpmi_cipro__2,-0.5766525502000001,0.0373606115
abx_media__camhb_cipro__1,-0.057026385400000004,-0.9164062735
abx_media__camhb_cipro__2,-0.4534356923,-0.7070295795
hot_tale__42c_ale3_30c__1,-0.2979810181,0.3469987585
hot_tale__42c_ale3_30c__2,0.3616899034,0.3604491235
hot_tale__42c_ale3_37c__1,0.7444885533000001,0.4717572065
hot_tale__42c_ale3_37c__2,-0.25993334760000003,0.4222641905
hot_tale__42c_ale3_44c__1,2.530711847,1.3830892685
hot_tale__42c_ale3_44c__2,2.8335519494,1.4666840975
hot_tale__hot_ale3_mid_30c__1,0.5156534694,0.4976514375
hot_tale__hot_ale3_mid_30c__2,0.4999696723,0.7546505095
hot_tale__hot_ale3_mid_37c__1,-0.12127750890000001,0.49860209450000004
hot_tale__hot_ale3_mid_37c__2,0.047218894000000004,0.40297042450000004
hot_tale__hot_ale3_mid_44c__1,3.0709056598,1.0477424215
hot_tale__hot_ale3_mid_44c__2,2.3887231140000003,1.2468147135
hot_tale__hot_ale3_30c__1,0.3584585281,1.0576468725
hot_tale__hot_ale3_30c__2,0.23655299230000001,0.7788044905
hot_tale__hot_ale3_37c__1,0.8692091247,0.8530652775
hot_tale__hot_ale3_37c__2,0.7090212298,0.5401148605
hot_tale__hot_ale3_44c__1,2.199859342,1.0254343835
hot_tale__hot_ale3_44c__2,1.9678885756,0.6870017785
hot_tale__hot_ale4_30c__1,-1.1189277301,0.1489227425
hot_tale__hot_ale4_30c__2,-0.0215533989,0.5134930275
hot_tale__hot_ale4_37c__1,0.2288709756,0.3658395915
hot_tale__hot_ale4_37c__2,0.6093558487,0.5235609345
hot_tale__hot_ale4_44c__1,1.7334684771000002,0.9452027935
hot_tale__hot_ale4_44c__2,1.5818302375000002,0.7979310235
hot_tale__hot_ale8_30c__1,-0.0115107972,0.8474506315
hot_tale__hot_ale8_30c__2,-0.4209152593,0.3908524285
hot_tale__hot_ale8_37c__1,0.351389377,0.7184552725000001
hot_tale__hot_ale8_37c__2,0.8360537968,0.6566899305
hot_tale__hot_ale8_44c__1,1.5495159215,0.9600651465000001
hot_tale__hot_ale8_44c__2,1.8162765346,0.9640696615000001
hot_tale__hot_ale9_mid_30c__1,-0.2106794834,0.2985860835
hot_tale__hot_ale9_mid_30c__2,-0.3558855389,0.1438573585
hot_tale__hot_ale9_30c__1,-0.08613018500000001,0.6762149595
hot_tale__hot_ale9_30c__2,-0.3148079904,0.7829582495
hot_tale__hot_ale9_mid_37c__1,0.1164432353,0.2504782895
hot_tale__hot_ale9_mid_37c__2,-0.3207982448,0.31608027850000003
hot_tale__hot_ale9_37c__1,0.3630758132,0.3165942275
hot_tale__hot_ale9_37c__2,0.2551082816,0.0745976865
hot_tale__hot_ale9_mid_44c__1,1.0720453454,1.0894633795
hot_tale__hot_ale9_mid_44c__2,1.6963818872,1.0277333845
hot_tale__hot_ale9_44c__1,1.4174572592999999,0.8827769975
hot_tale__hot_ale9_44c__2,1.7538605558,0.6729003675
hot_tale__hot_ale10_30c__1,0.3231601343,0.7933428255
hot_tale__hot_ale10_30c__2,-0.030121543400000002,0.5225325725000001
hot_tale__hot_ale10_37c__1,0.1165967712,0.6234876815
hot_tale__hot_ale10_37c__2,0.5181270305,0.5732647645
hot_tale__hot_ale10_44c__1,2.5117329039,1.5409970145
hot_tale__hot_ale10_44c__2,2.5086891618,1.5896391955
hot_tale__hot_ale16_30c__1,-0.2563251617,1.0038998515
hot_tale__hot_ale16_30c__2,0.0205921212,1.1191197455
hot_tale__hot_ale16_37c__1,0.5291028403,0.9399791505
hot_tale__hot_ale16_37c__2,0.8318757297,1.2248829905
hot_tale__hot_ale16_44c__1,2.1469625519,1.4195319025
hot_tale__hot_ale16_44c__2,1.5231689603,1.3642368255
pdhr_ale__pdhR-13_51__1,1.3051172071,0.6447957325
pdhr_ale__pdhR-13_51__2,1.2149928855,0.8367466765
pdhr_ale__pdhR-14_46__1,1.6879422477000001,0.8419922425
pdhr_ale__pdhR-14_46__2,2.1502885147,0.7839590735
pdhr_ale__pdhR-15_51__1,1.0902367067,0.4090084775
pdhr_ale__pdhR-15_51__2,1.5924496324000001,0.48829084450000004
pdhr_ale__pdhR-16_49__1,2.37946442,0.9038079905
pdhr_ale__pdhR-16_49__2,2.1264118262,0.9294151515
tcs__del_atoC_LiAcet__1,1.0866825195,1.2735582595000001
tcs__del_atoC_LiAcet__2,1.1998433647,1.4519516435
tcs__del_atoC_LiCl__1,1.5819699264,1.2383114315000001
tcs__del_atoC_LiCl__2,1.5710157334,1.1962322655
tcs__del_atoC_m9__1,1.265469229,1.3781206435
tcs__del_atoC_m9__2,1.1063886515,1.2501706585
tcs__del_baeR_etoh__1,10.4469180795,2.0857787135
tcs__del_baeR_etoh__2,10.8076764543,2.2919669265
tcs__del_baeR_lb__1,9.0018269378,2.1062421455
tcs__del_baeR_lb__2,8.7979009428,2.0053350035
tcs__del_btsR_01xlb__1,3.3317834229,0.8705703185
tcs__del_btsR_01xlb__2,3.376850292,0.8514751725
tcs__del_btsR_lb__1,5.3732108966,3.1290256555
tcs__del_btsR_lb__2,5.523386093,3.2449160505
tcs__del_btsR_pyruvate__1,3.5507237986,0.8151494555000001
tcs__del_btsR_pyruvate__2,3.2923073881000002,0.6686356795
tcs__del_cpxR_etoh__1,10.2981400174,2.4927545205
tcs__del_cpxR_etoh__2,10.1469693494,2.7281195605
tcs__del_cpxR_lb__1,10.1347018414,2.3763322955
tcs__del_cpxR_lb__2,10.2144043594,2.1380761465
tcs__del_cusR_CuSO4__1,9.2277383614,2.2385200735
tcs__del_cusR_CuSO4__2,9.3709499984,2.2088110675
tcs__del_cusR_lb__1,14.1741090718,3.8740124385
tcs__del_cusR_lb__2,14.1369630865,3.8131091735
tcs__del_kdpE_01-kcl__1,2.1939991918,0.6617990825
