,A,PlaR
pgi__pgi_ale3__1,0.5162998476,7.0010416386
pgi__pgi_ale5__1,0.3442107802,7.0900096322
pgi__pgi_ale6__1,0.9496019084,6.9942738048
pgi__pgi_ale7__1,0.5875097439,7.121052502
pgi__pgi_ale8__1,1.2409724512,6.6025612995
ica__wt_glc__1,1.0434043552,6.9629352352
ica__wt_glc__2,1.6081353411000001,6.9434234505
ica__wt_glc__3,1.029371373,7.3143619157
ica__wt_glc__4,1.7105927525,7.4203206034
ica__arg_sbt__1,5.1039276119,6.3764511664
ica__arg_sbt__2,1.3540313882000001,6.5322557139
ica__cytd_rib__1,4.8899352148,5.7219726344
ica__cytd_rib__2,6.400876992,5.8424018863
ica__gth__1,1.5313180746000001,7.1965045019
ica__gth__2,2.6048653028,6.7067124448
ica__leu_glcr__1,0.3571720584,7.2092035885
ica__leu_glcr__2,0.5444946002000001,7.1177093249
ica__met_glc__1,1.4208354776,6.9602469958
ica__met_glc__2,0.6421618119,6.8964767693
ica__no3_anaero__1,0.2145927731,7.3044356006
ica__no3_anaero__2,-0.0094007085,7.6015680821
ica__phe_acgam__1,1.0360967885,7.4266472706
ica__phe_acgam__2,0.9674051276000001,7.2946490326
ica__thm_gal__1,2.0140897498,7.2926289973
ica__thm_gal__2,2.8759361375,7.1966251678
ica__tyr_glcn__1,1.4570697769,6.9982235916
ica__tyr_glcn__2,2.3521330106000002,7.0353976807
ica__ura_pyr__1,1.0635155282,7.3201134696
ica__ura_pyr__2,2.071571621,6.9721140084
ica__wt_glc__5,1.9298485065,7.4885369075
ica__wt_glc__6,2.1628633595,7.5185051106
ica__bw_delpurR_cytd__1,0.8710213213,6.4216227873000005
ica__bw_delpurR_cytd__2,0.7312064871,6.6160012588
ica__ade_glc__1,-0.1173346586,7.5065561724
ica__ade_glc__2,-0.0683263526,7.4009322737
ytf__wt_glc__1,0.6646897293,6.8679255503
ytf__wt_glc__2,0.5713140565,7.1875834568
ytf__delyafC__1,0.2872260163,6.9812765779
ytf__delyafC__2,0.5746301856,6.8067247
ytf__delyeiE__1,0.1188956939,7.5216204918
ytf__delyeiE__2,1.1859010562,7.3393555265
ytf__delyiaJ__1,25.2160868059,0.42457739800000005
ytf__delyiaJ__2,24.7566960454,0.0
ytf__delyieP__1,0.5618509847000001,7.131307549
ytf__delyieP__2,0.43629038210000004,7.0741306991
ytf__wt_ph5__1,0.0016518863,7.0549944165
ytf__wt_ph5__2,1.0410947674,7.0135985352
ytf__wt_ph8__1,1.9762933854,7.2299822921
ytf__wt_ph8__2,1.8473979024,7.0695950619
ytf__delybaO__1,1.1217670534,6.9284739704
ytf__delybaO__2,1.0278635666,7.1653516837
ytf__delybaQ__1,0.3208250781,6.9883420721
ytf__delybaQ__2,-0.2756332596,6.9022867733
ytf__delybiH__1,1.7674094885,6.7270236586
ytf__delybiH__2,1.9527959154,7.0945012118
ytf__delydcI_ph5__1,0.4473812861,6.9789697103
ytf__delydcI_ph5__2,0.9789068005,7.1329785352
ytf__delydcI_ph8__1,0.0894555194,7.0555268101
ytf__delydcI_ph8__2,1.1531109878,6.9409817254
ytf__delyddM__1,-0.8925311032000001,7.0574777885
ytf__delyddM__2,0.1878307278,7.0169220702
ytf__delyheO__1,1.066091849,6.6970102862
ytf__delyheO__2,0.5082805904000001,6.6427405295
fps__bw_glc__1,0.45068875810000003,6.6370065687
fps__bw_glc__2,-0.4713344024,6.6487641023
fps__fps_thrA_ale1__1,-0.4831410613,6.9016895004
fps__fps_thrA_ale1__2,-0.5370274356,6.771507731
fps__fps_thrA_ale2__1,-0.0289386402,6.9988423077
fps__fps_thrA_ale2__2,-0.3997631889,7.0118546078
fps__fps_serB_ale1__1,-0.1205562606,6.9447287884
fps__fps_serB_ale1__2,0.36297345740000003,7.0722639123
fps__fps_serB_ale4__1,-0.5738228425,7.4380298608
fps__fps_serB_ale4__2,0.5226360142,7.8742897983999995
fps__fps_ptsI_ale1__1,1.8261010151,6.2823707379
fps__fps_ptsI_ale1__2,2.9446844285,6.0662096258
fps__fps_ptsI_ale3__1,2.9431119855,6.080740317
fps__fps_ptsI_ale3__2,2.8525196798,6.1163202989
pal__lyx_ale2_f6__1,3.1496334296,5.985608995
pal__lyx_ale2__1,6.370701156,8.1683728372
pal__lyx_ale2__2,6.5118554352,7.9852427121
pal__lyx_ale4__1,6.370701156,8.1683728372
pal__lyx_ale4__2,6.5118554352,7.9852427121
pal__5drib_ale10_f18__1,7.7186522186,6.8865822608
pal__5drib_ale10_f18__2,7.851729756,6.8659566593
pal__5drib_ale10__1,6.1309224575,5.8342098922000005
pal__arab_ale14_f9__1,2.7859907172,6.6381632112
pal__arab_ale14_f9__2,2.6139130026,6.6672538137
pal__arab_ale14__1,2.7661135752,7.2973341304
pal__arab_ale14__2,1.5662993822,7.2003806752
pal__arab_ale16__1,3.681275959,6.8687245488
pal__arab_ale16__2,3.1766133541,7.055092165
pal__tartr_ale26_f10__1,2.9965056622,5.8288702
pal__tartr_ale26_f10__2,3.7124854485,5.847916985
pal__tartr_ale26__1,3.537182834,6.1892369623
pal__tartr_ale26__2,2.6469699588999998,5.8868093611
pal__tartr_ale28_f10__1,4.2987934557,6.6293945523
pal__tartr_ale28_f10__2,4.5099879328,7.1534719816
pal__tartr_ale28__1,3.9343650665,7.4899473161
pal__tartr_ale28__2,3.2516578077,7.6333859665
efeU__delmenFentC_citr__1,1.6884691255000002,6.4039934632
efeU__delmenFentC_citr__2,0.3376740071,6.2437901269000005
efeU__delmenFentC__1,0.0156110502,7.1492257602
efeU__delmenFentC__2,0.39938645310000004,7.1578587197
efeU__menFentC_ale39__1,0.9745932854,6.3773771384
efeU__menFentC_ale39__2,1.9492423482999999,6.4242814114
efeU__menFentC_ale29__1,1.8309897240000002,5.6943992841
efeU__menFentC_ale29__2,2.781389186,5.6225276785
efeU__menFentC_ale30__1,3.4157830161,6.9174239694
efeU__menFentC_ale30__2,1.4852677576,6.6595158176
efeU__menFentCubiC_ale36__1,1.2226938072,7.0657823421
efeU__menFentCubiC_ale36__2,0.2944852432,7.1121545702
efeU__menFentCubiC_ale37__1,0.2456708383,7.1245493743
efeU__menFentCubiC_ale37__2,0.0566043608,7.2402807059
efeU__menFentCubiC_ale38__1,0.6099553335,7.110653637
efeU__menFentCubiC_ale38__2,2.2614454371,6.7667471703
