,A,SigK,GerE,GerR
Heat_1,-12.1967469805,8.129,11.5051,9.328
Heat_2,-12.3319550413,7.6074,11.2764,8.8468
Heat_3,-11.2057471995,7.8953,10.8701,8.7593
Cold_1,-10.2003062481,8.0516,9.5634,11.2827
Cold_2,-8.8246648941,7.9266000000000005,8.9732,10.7353
Cold_3,-8.4877539478,7.8169,8.9609,10.3593
Etha_1,-13.8788973079,7.7727,9.1894,8.8087
Etha_2,-13.149723057,7.8858,9.4466,8.9083
Etha_3,-13.6978339115,7.5543,9.619,8.9267
SMM_1,-8.0588806486,8.4142,10.4034,8.8878
SMM_2,-10.1767022092,8.3815,10.3082,9.3321
SMM_3,-9.2947394875,8.8295,10.1121,9.532
Salt_1,-12.3905416323,8.2086,8.9772,8.8021
Salt_2,-11.460376014,8.2485,8.6998,9.0048
Salt_3,-11.1956278369,8.1111,8.8524,8.1998
Mt0_1,-11.1129749193,7.8132,11.3889,8.5965
Mt0_3,-7.3962842897,7.68,10.975200000000001,8.8084
M0t45_1,-10.9170489386,7.6178,9.5944,8.1644
M0t45_2,-9.7866503972,7.7624,10.759,8.7164
M0t45_3,-10.4910559675,7.4985,9.5866,8.2802
M0t90_1,-9.6623661845,7.5457,10.5961,8.2119
M0t90_2,-12.7581246614,7.2343,10.8241,8.4299
M0t90_3,-10.5197602385,7.2245,10.0871,8.3897
M40t45_1,-9.9555026915,7.696,9.6518,8.0216
M40t45_2,-13.8786434928,7.4304,11.1189,7.7315000000000005
M40t45_3,-10.5793309291,7.4239,9.6434,8.4337
M40t90_1,-10.3936177404,7.2348,10.6564,8.1943
M40t90_2,-12.5420709776,7.112,11.0459,8.4114
M40t90_3,-11.9095117889,7.2391,11.2305,8.652
dia0_1,-10.2433085639,7.4943,10.4732,8.3232
dia0_2,-10.443648688,7.5666,11.1586,8.5207
dia0_3,-9.8971250368,7.7949,10.9636,8.4984
dia5_1,-9.5118506431,7.2002,10.7796,7.941
dia5_2,-10.0140212521,7.4928,11.0181,7.9801
dia5_3,-10.0501737291,7.061,10.7686,7.9605
dia15_1,-11.0855757397,8.1481,11.7434,8.3041
dia15_2,-10.7121506727,8.8984,11.4563,9.3033
dia15_3,-9.914156313,7.6807,9.7098,9.3093
Diami_1,-9.0794499428,7.7226,10.5095,8.6007
Diami_2,-7.9783399461,7.4224,10.5846,8.6594
Diami_3,-8.6217405316,8.0491,10.4667,9.1971
Paraq_1,-9.3587930939,8.534,9.6522,10.1677
Paraq_2,-9.5296613497,8.3597,9.9718,10.1618
Paraq_3,-9.0682414831,7.7702,8.3642,8.8366
H2O2_1,-9.061388242,8.4929,8.9526,9.7142
H2O2_2,-8.5649952148,8.7637,9.5658,9.9378
H2O2_3,-8.2903080876,8.8928,9.1343,9.9351
Oxctl_1,-8.8339428557,8.3895,9.7441,9.8496
Oxctl_2,-8.6896381391,8.3391,9.8218,9.4907
Oxctl_3,-8.9991059802,8.2493,10.0044,9.7892
GM-0.1_1,-4.5589400635,7.7296,10.3587,8.3516
GM-0.2_1,-4.0381375717,8.1806,10.4602,8.7213
GM+5_1,-5.3944561929,7.7788,10.0782,8.231
GM+15_1,-4.4360341833,7.8954,9.9942,8.6311
GM+25_1,-5.728427735,8.0194,9.8599,8.8261
GM+45_1,-5.5667434673,8.0639,10.0008,9.0402
GM+60_1,-6.0249992734,7.959,10.1906,8.5981
GM+90_1,-5.7700673176,8.2186,10.3045,8.6064
GM+120_1,-6.9081799269,8.3486,9.8111,8.6722
GM+150_1,-8.8335585326,8.3086,10.2973,8.5619
GM-0.1_2,-12.3326201882,7.4911,10.1568,8.2129
GM-0.2_2,-11.4939010923,7.8187,10.4188,8.5461
GM+5_2,-10.8647743143,7.42,9.9903,7.9404
GM+10_2,-11.0979369271,7.2171,9.7473,8.0201
GM+15_2,-10.5734308417,7.5127,9.3569,8.1228
GM+25_2,-12.7260189155,7.4702,9.2371,8.3449
GM+45_2,-11.4121409121,7.1075,8.6837,7.7401
GM+60_2,-10.6277308956,7.7086,8.957699999999999,8.2836
GM+90_2,-11.8756794989,8.3258,10.2858,8.92
GM+150_2,-8.8568461543,7.8773,9.31,8.2529
GM-0.1_3,-11.5585097815,7.9518,9.8643,8.3266
GM-0.2_3,-12.8162960659,7.6441,9.8405,8.0853
GM+5_3,-11.3288242741,7.8913,10.2178,8.2783
GM+10_3,-11.0189073104,7.4962,8.9768,7.6059
GM+15_3,-11.2616991159,7.7943999999999996,9.4699,8.2133
GM+25_3,-12.4605493324,7.9083,8.9907,8.3902
GM+45_3,-11.9153453062,8.2022,9.2393,8.546
GM+60_3,-11.4411156964,8.0418,9.1676,8.4138
GM+90_3,-10.5459625794,8.1188,9.4695,8.3726
GM+120_3,-11.2110142234,8.7539,10.084,8.8556
GM+150_3,-10.2879524623,8.1743,10.2067,8.3376
MG-0.1_1,8.9638819518,7.5512,12.6446,8.4381
MG+5_1,7.1720338957,7.7595,12.308,8.5799
MG+10_1,5.9430620556000004,7.5605,12.0852,8.5643
MG+15_1,3.7335451438,7.5416,11.1199,8.2103
MG+25_1,1.5031981932,7.7238,11.4443,8.4658
MG+45_1,-1.0165121749,7.6835,11.1969,8.538
MG+120_1,-7.2752557278,7.865,9.966,7.9977
MG+150_1,-7.0507219408,8.0766,10.6856,8.3239
MG-0.1_2,-1.0040645387,6.9517,9.9154,7.9359
MG-0.2_2,-0.2219505196,7.0622,10.5884,8.04
MG+5_2,0.6579817535,7.0098,9.9842,8.0754
MG+10_2,-0.259824867,7.1919,9.9472,8.3242
MG+15_2,-1.4937828146,7.8795,10.469,8.9994
MG+25_2,-3.5722222648,7.4864,9.637,8.2912
MG+45_2,-4.9823591054000005,7.3428,9.362,7.9836
MG+60_2,-7.1132614105,7.6444,9.7933,8.2347
MG+90_2,-7.5599521002,7.2017,9.723700000000001,7.8802
MG+120_2,-8.7209148472,7.7157,10.8529,8.2536
MG-0.1_3,-11.0361268115,7.3805,11.4238,8.6325
MG-0.2_3,-10.9292886309,7.4915,10.6889,8.4412
MG+5_3,-9.7960839458,7.6269,9.6563,8.5054
MG+10_3,-9.6005555441,7.8694,9.2078,8.8166
MG+15_3,-10.3686915496,7.389,9.8789,8.6592
MG+25_3,-11.1757518559,7.3303,9.8001,8.496
MG+45_3,-11.4716781261,7.4893,10.271,8.6783
MG+60_3,-11.0011534883,7.7164,9.7361,8.497
MG+90_3,-10.9640794566,7.3035,10.2069,8.2301
MG+120_3,-9.9534358548,7.2908,10.452,7.8598
MG+150_3,-10.7035018441,7.7766,10.5823,8.308
