,A,GntR
glu__glu_ale5__1,0.9235804802,-0.940161314
glu__glu_ale6__1,0.2910219913,-0.939015624
glu__glu_ale8__1,0.2210888873,0.18594659100000002
glu__glu_ale9__1,0.7861722678,0.16158351
glu__glu_ale10__1,1.4046520455,0.004909889000000001
42c__wt_42c__1,0.8770821327,-0.591891929
42c__42c_ale1__1,3.0459626401,-0.021740349000000003
42c__42c_ale2__1,1.5281660659,-0.9167023910000001
42c__42c_ale3__1,0.6138130078,-0.49212573800000003
42c__42c_ale4__1,0.0547050606,0.106969957
42c__42c_ale5__1,-0.289931833,-0.54949479
42c__42c_ale6__1,1.8625209068,0.48439299
42c__42c_ale8__1,0.8144652006,0.37672937
42c__42c_ale9__1,-0.3635348033,-0.490152085
42c__42c_ale10__1,1.3952985907,0.030101111000000003
ssw__wt_ac__1,1.6250003288000001,-0.554081515
ssw__wt_glc__1,0.0269517191,-0.809643981
ssw__wt_glyc__1,1.5919817257000002,0.624180304
ssw__wt_xyl__1,1.7840905374,0.068331638
ssw__glc_ale1__1,3.6632564564,-0.293673819
ssw__glc_ale2__1,1.8616512054,-0.43140979
ssw__glc_ale3__1,1.0644515882,-0.106754557
ssw__glyc_ale1__1,2.5216532622,0.09518040400000001
ssw__glyc_ale2__1,0.8463312927000001,-0.132848296
ssw__xyl_ale1__1,2.0169339485,-0.45276670300000005
ssw__xyl_ale2__1,2.8743964574,-0.100313839
ssw__xyl_ale3__1,0.6964648207,-0.452580892
ssw__glc_ac_ac2__1,2.4406468473,-0.6656854170000001
ssw__glc_ac_glc1__1,-0.259857226,-0.580069142
ssw__glc_glyc_glc__1,1.3317766664000001,-0.162783165
ssw__glc_glyc_glyc__1,2.4141649288,-0.6420670190000001
ssw__glc_xyl_glc__1,1.0328089922,-0.805306438
ssw__glc_xyl_xyl__1,0.8864005951,-0.6986794660000001
ica__wt_glc__1,1.4186610344,-1.155125269
ica__wt_glc__2,1.4122505072,-1.153671578
ica__wt_glc__3,0.6205827148,-0.792489226
ica__wt_glc__4,0.07363793760000001,-0.8779266160000001
ica__arg_sbt__1,2.8079579426,-0.9957765780000001
ica__arg_sbt__2,2.5608371213,-0.78486795
ica__cytd_rib__1,6.4775285619,-0.39282291300000005
ica__cytd_rib__2,6.0665255978,-0.41665843500000005
ica__gth__1,0.6226736045,-0.27017346200000003
ica__gth__2,0.6761089723,-0.21156112200000002
ica__leu_glcr__1,2.6720195075,-1.004453953
ica__leu_glcr__2,2.1718072623,-0.979302765
ica__met_glc__1,1.7760276234,-1.108965653
ica__met_glc__2,1.5701863743,-1.271860433
ica__no3_anaero__1,-0.6170688331,-0.585377382
ica__no3_anaero__2,-0.3700497733,-0.6613646870000001
ica__phe_acgam__1,0.7098295783,-1.009941629
ica__phe_acgam__2,0.7532503682,-1.09449116
ica__thm_gal__1,3.0388119102,-0.8493666150000001
ica__thm_gal__2,3.0104633317,-0.6598406760000001
ica__tyr_glcn__1,22.6766804211,-1.082960322
ica__tyr_glcn__2,22.9897302264,-1.12660681
ica__ura_pyr__1,1.6058374096999999,-0.6836973430000001
ica__ura_pyr__2,1.9094704697,-0.7116565420000001
ica__wt_glc__5,1.1527974737,-0.8172695160000001
ica__wt_glc__6,0.5043999065,-0.8572609680000001
ica__bw_delpurR_cytd__1,1.5188171175,-1.044056007
ica__bw_delpurR_cytd__2,0.2274747229,-1.016813836
ica__ade_glc__1,-0.5010741817000001,-0.9623601070000001
ica__ade_glc__2,1.7948551176,-1.042373634
ytf__wt_glc__1,0.6701937638000001,-0.493258911
ytf__wt_glc__2,0.5854117598,-0.269502573
ytf__delyafC__1,1.6785700971000002,-0.208504756
ytf__delyafC__2,2.4365900418,-0.258698796
ytf__delyeiE__1,0.3004426375,-0.505419134
ytf__delyeiE__2,0.2093256862,-0.591066045
ytf__delyiaJ__1,1.3258215648,-0.328442807
ytf__delyiaJ__2,0.9714410402,-0.268967966
ytf__delyieP__1,0.7385974119000001,0.010406564
ytf__delyieP__2,0.37785122870000004,0.014791079
ytf__wt_ph5__1,0.113964702,-0.576440024
ytf__wt_ph5__2,-0.1409384073,-0.594388507
ytf__wt_ph8__1,-0.5147836732000001,-0.727906322
ytf__wt_ph8__2,0.7004673346,-0.497299411
ytf__delybaO__1,2.5486025602,-0.11576198700000001
ytf__delybaO__2,1.4988612164,-0.14352594200000002
ytf__delybaQ__1,-0.2139214168,-0.45639088
ytf__delybaQ__2,-0.3806293691,-0.551658993
ytf__delybiH__1,1.3579958886,-0.265007892
ytf__delybiH__2,1.3104179583,-0.043009768000000004
ytf__delydcI_ph5__1,-0.1068850229,-0.7833533610000001
ytf__delydcI_ph5__2,-0.1102330175,-0.5844030090000001
ytf__delydcI_ph8__1,0.0802848342,-0.6105448800000001
ytf__delydcI_ph8__2,-0.3118110331,-0.8157123430000001
ytf__delyddM__1,-0.6072099574,-0.46692326500000003
ytf__delyddM__2,-0.8471299750000001,-0.404241866
ytf__delyheO__1,2.584944343,-0.39023717300000005
ytf__delyheO__2,1.9810544727,-0.337701103
fps__bw_glc__1,0.177295962,-0.537378343
fps__bw_glc__2,-0.4015434476,-0.7629342130000001
fps__fps_thrA_ale1__1,-0.6677216812,-0.668737137
fps__fps_thrA_ale1__2,-0.2414699476,-0.667919208
fps__fps_thrA_ale2__1,-0.454251179,-0.7181632800000001
fps__fps_thrA_ale2__2,-0.28519317980000003,-0.6999498470000001
fps__fps_serB_ale1__1,-0.9753350146,-0.68438703
fps__fps_serB_ale1__2,-1.3004665772,-0.698185155
fps__fps_serB_ale4__1,-1.9622328729,-0.635937431
fps__fps_serB_ale4__2,-1.9768754288000001,-0.369398104
fps__fps_ptsI_ale1__1,2.379742045,-0.900279417
fps__fps_ptsI_ale1__2,2.864112518,-0.9923985710000001
fps__fps_ptsI_ale3__1,1.7718181071,-0.8096525870000001
fps__fps_ptsI_ale3__2,1.7782274295,-0.8766848660000001
pal__lyx_ale2_f6__1,2.1828298542,-0.368087661
pal__lyx_ale2__1,3.0064644338,-0.40303228700000004
pal__lyx_ale2__2,3.0329684207,-0.5146588950000001
pal__lyx_ale4__1,2.3216280557,-0.9982473570000001
pal__lyx_ale4__2,2.1801541228,-0.9802906710000001
pal__5drib_ale10_f18__1,3.6904919403000003,-0.350035921
pal__5drib_ale10_f18__2,2.9493829588000002,-0.21379772300000002
pal__5drib_ale10__1,4.8471988329,-0.007008015
pal__arab_ale14_f9__1,0.9882058629,-0.28048095
pal__arab_ale14_f9__2,1.5798073744,-0.21160240900000002
pal__arab_ale14__1,1.0637656191,-0.74453852
pal__arab_ale14__2,1.1636921849,-0.76321814
pal__arab_ale16__1,3.3706630987,0.009904134
pal__arab_ale16__2,3.2200550117,0.084150657
pal__tartr_ale26_f10__1,2.3078310703,-0.39540564
pal__tartr_ale26_f10__2,3.2388122906,-0.275678509
pal__tartr_ale26__1,1.7358724598,-0.56328575
pal__tartr_ale26__2,2.1013456759,-0.5240699600000001
pal__tartr_ale28_f10__1,3.6617174124,-0.312203188
pal__tartr_ale28_f10__2,2.8856969643,-0.38491297300000005
pal__tartr_ale28__1,1.7623484099,-0.7631193
pal__tartr_ale28__2,1.7671190455999999,-0.6191220940000001
efeU__delmenFentC_citr__1,0.1250623609,-0.963789188
efeU__delmenFentC_citr__2,0.44499010580000004,-0.6924126340000001
efeU__delmenFentC__1,0.1448952739,-0.690594209
efeU__delmenFentC__2,-0.2126181749,-0.619002295
efeU__menFentC_ale39__1,1.8388791669,-0.5365306790000001
efeU__menFentC_ale39__2,2.7257687333,-0.733205061
efeU__menFentC_ale29__1,1.4369551547000001,-0.6330090690000001
efeU__menFentC_ale29__2,1.8276367201000001,-0.508615991
efeU__menFentC_ale30__1,0.7964770815000001,-0.842523067
efeU__menFentC_ale30__2,0.2159521925,-0.8166191960000001
efeU__menFentCubiC_ale36__1,-0.590169377,-0.70154932
efeU__menFentCubiC_ale36__2,0.0064954095,-0.790157305
efeU__menFentCubiC_ale37__1,-0.5563276478,-0.801600147
efeU__menFentCubiC_ale37__2,-0.6401157925000001,-0.775138944
efeU__menFentCubiC_ale38__1,0.5947867392,-0.769576722
efeU__menFentCubiC_ale38__2,0.1594205908,-0.762904416
misc2__salc_glc__1,0.8665458181000001,-0.276361954
misc2__salc_glc__2,1.0303552476,0.07007352700000001
misc2__dbcn_glc__1,-0.0693046975,-1.109353436
misc2__dbcn_glc__2,0.1187034284,-0.9097579610000001
misc2__tyr_glc__1,0.9628610633,-0.923051033
misc2__tyr_glc__2,1.3472188861,-0.6467384580000001
misc2__arg_cytd__1,0.8369479049,-1.022863887
misc2__arg_cytd__2,1.0000459237,-0.964483387
misc2__delyheO_pyr__1,1.8419807654,-0.6405975150000001
misc2__delyheO_pyr__2,1.8083295036,-0.519008099
nquinone__delubiC__1,0.2835667147,-1.057546453
nquinone__delubiC__2,-0.07707757750000001,-0.840763162
nquinone__ubiC_ale1__1,-0.2966700224,-0.579062289
nquinone__ubiC_ale1__2,-0.003228837,-0.7226755290000001
nquinone__ubiC_ale2__1,-0.1004849953,-0.9368572810000001
nquinone__ubiC_ale2__2,0.0983644927,-0.86269574
nquinone__ubiC_ale3__1,0.6316884495,-1.322005075
nquinone__ubiC_ale3__2,-0.5760125197,-1.0787533950000001
nquinone__ubiC_ale4__1,-0.1812299689,-0.828380965
nquinone__ubiC_ale4__2,0.0050024655,-0.7157138710000001
nquinone__delpdhR__1,0.9680845831,-1.04129069
nquinone__delpdhR__2,0.44295867590000004,-1.072129826
quinone__glu_ale4__1,0.5555365106,-0.9557335090000001
quinone__glu_ale4__2,0.8968359898,-0.9258881240000001
quinone__delmenF__1,0.0867323515,-0.798663922
quinone__delmenF__2,0.1943144979,-0.7049064610000001
quinone__menF_ale5__1,1.0900110519,-0.20560825400000002
quinone__menF_ale5__2,1.6870831335,-0.39133184800000004
quinone__menF_ale6__1,1.5340060125,-0.41163274800000005
quinone__menF_ale6__2,1.0569946581,-0.38177308600000004
quinone__menF_ale7__1,2.3427655811,-0.49918212
quinone__menF_ale7__2,2.7400164807,-0.501240122
quinone__menF_ale8__1,3.7042152998,-0.584708627
quinone__menF_ale8__2,2.6023564984,-0.38170336200000005
quinone__delmenFubiC__1,-0.0525220475,-0.49333535300000003
quinone__delmenFubiC__2,-0.5026673662,-0.623836202
quinone__menFubiC_ale1__1,2.1712402574,-0.416923971
quinone__menFubiC_ale1__2,2.2164280026,-0.52329244
quinone__menFubiC_ale2__1,0.7211683266000001,-0.5659294490000001
quinone__menFubiC_ale2__2,0.3465409048,-0.42567453800000005
quinone__menFubiC_ale3__1,0.4661796469,-1.029285904
quinone__menFubiC_ale3__2,0.6885280460000001,-0.94789031
quinone__menFubiC_ale4__1,2.3143953577,-0.31871752000000003
quinone__menFubiC_ale4__2,2.4064544373,-0.37400898800000004
oxyR__wt_glc__1,0.9790619742000001,-0.9748900650000001
oxyR__wt_glc__2,0.5374790669,-0.9064058650000001
oxyR__wt_h2o2__1,1.0021156802,-0.957301515
oxyR__wt_h2o2__2,0.5003248108,-0.7562430910000001
oxyR__glu_ale4__1,-0.32621054790000004,-0.539210311
oxyR__glu_ale4__2,-0.3886454823,-0.552129356
oxyR__glu_ale4_h2o2__1,0.3230414721,-0.35430010100000003
oxyR__glu_ale4_h2o2__2,-0.2659471939,-0.361729044
oxyR__oxyR_ale17__1,0.6339610803,-0.515405886
oxyR__oxyR_ale17__2,0.5426862293,-0.599964002
oxyR__oxyR_ale17_h2o2__1,1.0417490667,-0.534428319
oxyR__oxyR_ale17_h2o2__2,-0.0947323405,-0.644106728
oxyR__oxyR_ale18__1,1.3220969062,-1.309106214
oxyR__oxyR_ale18__2,1.3787018947,-1.071497279
oxyR__oxyR_ale18_h2o2__1,-0.3084633639,-0.75875783
oxyR__oxyR_ale18_h2o2__2,0.1547536573,-0.789049611
oxyR__oxyR_ale19__1,0.7871730812000001,-1.314783903
oxyR__oxyR_ale19__2,1.6605684743,-1.092027425
oxyR__oxyR_ale19_h2o2__1,0.7740061566,-1.265589417
oxyR__oxyR_ale19_h2o2__2,1.0736565353,-1.276690843
oxyR__oxyR_ale20__1,0.0674210033,-0.775573127
oxyR__oxyR_ale20__2,-0.1004231475,-0.8021534920000001
oxyR__oxyR_ale20_h2o2__1,-0.4852817286,-0.901336628
oxyR__oxyR_ale20_h2o2__2,-0.0792237627,-0.670046338
svns_pgi__BmePgi24_15__1,0.2949073592,-0.757582341
svns_pgi__BmePgi24_15__2,0.2413115465,-0.780001173
svns_pgi__BmePgi24_26__1,1.3223481374000001,-0.7014600320000001
svns_pgi__BmePgi24_26__2,1.1397686558,-0.709038464
svns_pgi__BmePgi24_41__1,0.7759214532,-0.46377023900000003
svns_pgi__BmePgi24_41__2,1.4765615084000001,-0.8519245790000001
svns_pgi__BmePgi24_52__1,1.1934268813,-0.678772499
svns_pgi__BmePgi24_52__2,1.2807844566,-0.7676567430000001
svns_pgi__PaePgi2_34__1,0.30021486280000004,-0.6828666680000001
svns_pgi__PaePgi2_34__2,-0.1982486659,-0.7164883310000001
svns_pgi__PaePgi2_63__1,0.1323361624,-0.5121071140000001
svns_pgi__PaePgi2_63__2,0.3510943224,-0.425396945
svns_pgi__PaePgi24_54__1,0.624628723,-0.7026148320000001
svns_pgi__PaePgi24_54__2,0.6742865739,-0.7281827670000001
svns_pgi__PaePgi24_90__1,1.0155166579,-0.711422074
svns_pgi__PaePgi24_90__2,0.5285340740000001,-0.689163163
abx_media__m9_ctrl__1,0.694409544,-0.784603869
abx_media__m9_ctrl__2,0.3790307553,-0.720875793
abx_media__rpmi_ctrl__1,1.5535732212,-0.767488142
abx_media__rpmi_ctrl__2,1.5040586971,-0.823859809
abx_media__camhb_ctrl__1,2.4755384891,-1.233519912
abx_media__camhb_ctrl__2,2.5212487917,-1.245786142
abx_media__m9_mero__1,0.2403088626,-0.771980577
abx_media__m9_mero__2,-0.1198450892,-0.9963267240000001
abx_media__rpmi_mero__1,1.2584628204000001,-1.307727737
abx_media__rpmi_mero__2,1.8467350734,-0.964307236
abx_media__camhb_mero__1,0.9298995165,-2.014114572
abx_media__camhb_mero__2,1.8489434087,-1.8400260890000002
abx_media__m9_trisulf__1,-1.1688992102,-0.795441061
abx_media__m9_trisulf__2,-0.9609727634,-0.7391173950000001
abx_media__rpmi_trisulf__1,-0.0133346218,-1.161498215
abx_media__rpmi_trisulf__2,-0.22239313830000002,-1.202184044
abx_media__camhb_trisulf__1,1.5599544023,-0.553508883
abx_media__camhb_trisulf__2,1.4954341142,-0.595589672
abx_media__m9_cef__1,-0.7983529029,-0.928727854
abx_media__m9_cef__2,-1.1528895608,-1.033350407
abx_media__rpmi_cef__1,1.3065880511999999,-0.8175877330000001
abx_media__rpmi_cef__2,1.4129344396,-0.870952626
abx_media__camhb_cef__1,2.3497203443,-1.197272666
abx_media__camhb_cef__2,2.0443509318,-1.065119702
abx_media__m9_cipro__1,-0.1657631732,-0.8205685730000001
abx_media__m9_cipro__2,-0.011965103000000001,-0.6901351830000001
abx_media__rpmi_cipro__1,2.1604598696,-0.788921124
abx_media__rpmi_cipro__2,1.5147102671,-0.59115245
abx_media__camhb_cipro__1,1.4492922352,-1.194683202
abx_media__camhb_cipro__2,1.0114451173,-1.001270339
hot_tale__42c_ale3_30c__1,0.5199999314,-0.894522204
hot_tale__42c_ale3_30c__2,0.9908174486,-0.895969564
hot_tale__42c_ale3_37c__1,0.8553578789,-0.527991391
hot_tale__42c_ale3_37c__2,1.0137104614,-0.554290232
hot_tale__42c_ale3_44c__1,1.5259303771,-0.759373391
hot_tale__42c_ale3_44c__2,1.2709283566,-0.9991352870000001
hot_tale__hot_ale3_mid_30c__1,-1.3081090538,-0.61913107
hot_tale__hot_ale3_mid_30c__2,-0.9032786606000001,-0.610859797
hot_tale__hot_ale3_mid_37c__1,0.0969242724,-0.535884792
hot_tale__hot_ale3_mid_37c__2,0.22429134890000002,-0.785495237
hot_tale__hot_ale3_mid_44c__1,1.7133253016,-0.685764294
hot_tale__hot_ale3_mid_44c__2,1.4693501556,-0.7878332920000001
hot_tale__hot_ale3_30c__1,-0.8471232515,-0.69774544
hot_tale__hot_ale3_30c__2,-0.4581025312,-0.820185895
hot_tale__hot_ale3_37c__1,0.4489559153,-0.8519062070000001
hot_tale__hot_ale3_37c__2,0.5608877298,-0.580309052
hot_tale__hot_ale3_44c__1,2.0148583653,-0.803570301
hot_tale__hot_ale3_44c__2,1.8728492768,-0.828343578
hot_tale__hot_ale4_30c__1,-0.2853944758,-0.95186351
hot_tale__hot_ale4_30c__2,0.10278036630000001,-0.9889196210000001
hot_tale__hot_ale4_37c__1,1.231229277,-0.846753607
hot_tale__hot_ale4_37c__2,1.1360731722,-0.872747198
hot_tale__hot_ale4_44c__1,0.8000497988,-0.341198722
hot_tale__hot_ale4_44c__2,1.1312131453,-0.46031940600000004
hot_tale__hot_ale8_30c__1,-0.2930030109,-0.822460131
hot_tale__hot_ale8_30c__2,-0.17371747780000002,-0.7671366260000001
hot_tale__hot_ale8_37c__1,0.7617666869,-0.6705942420000001
hot_tale__hot_ale8_37c__2,0.3699389115,-0.7011039170000001
hot_tale__hot_ale8_44c__1,2.0142605658,0.051790874
hot_tale__hot_ale8_44c__2,1.5612368549,0.012806171000000002
hot_tale__hot_ale9_mid_30c__1,0.3948435621,-0.699262111
hot_tale__hot_ale9_mid_30c__2,0.5034635824,-0.7128503140000001
hot_tale__hot_ale9_30c__1,0.3585633715,-1.070536091
hot_tale__hot_ale9_30c__2,0.7808930510000001,-1.051002556
hot_tale__hot_ale9_mid_37c__1,1.1554370623999999,-0.879200045
hot_tale__hot_ale9_mid_37c__2,0.5382405897,-0.800527772
hot_tale__hot_ale9_37c__1,0.8790993948,-1.096644461
hot_tale__hot_ale9_37c__2,0.0065620161,-0.997868222
hot_tale__hot_ale9_mid_44c__1,0.7622892764,-0.198278689
hot_tale__hot_ale9_mid_44c__2,2.008557291,-0.564529943
hot_tale__hot_ale9_44c__1,1.3960788402,-0.351852477
hot_tale__hot_ale9_44c__2,0.9640636042,-0.630687573
hot_tale__hot_ale10_30c__1,-0.413870903,-0.8826600560000001
hot_tale__hot_ale10_30c__2,-0.035166066100000004,-0.877036985
hot_tale__hot_ale10_37c__1,1.0584628428,-0.9012192280000001
hot_tale__hot_ale10_37c__2,0.98813996,-0.9186120350000001
hot_tale__hot_ale10_44c__1,2.3122867779,-0.56304812
hot_tale__hot_ale10_44c__2,1.5748575827,-0.488563575
hot_tale__hot_ale16_30c__1,0.2259875673,-0.9323309660000001
hot_tale__hot_ale16_30c__2,-0.0235245362,-0.787066079
hot_tale__hot_ale16_37c__1,0.5703032393,-0.9657659070000001
hot_tale__hot_ale16_37c__2,0.8669103943,-1.018456267
hot_tale__hot_ale16_44c__1,1.2753453803,-0.431549891
hot_tale__hot_ale16_44c__2,1.1626735444,-0.29278861500000003
pdhr_ale__pdhR-13_51__1,-0.037787148900000005,-1.014333714
pdhr_ale__pdhR-13_51__2,-0.21126685580000001,-1.107211655
pdhr_ale__pdhR-14_46__1,-0.156063546,-0.849059607
pdhr_ale__pdhR-14_46__2,-0.48124828940000003,-0.824573372
pdhr_ale__pdhR-15_51__1,-0.49383291030000004,-0.997238594
pdhr_ale__pdhR-15_51__2,0.1655901162,-1.075757857
pdhr_ale__pdhR-16_49__1,-0.0069865495000000005,-0.9897415700000001
pdhr_ale__pdhR-16_49__2,-0.4259524998,-1.063201631
tcs__del_atoC_LiAcet__1,0.3471497987,-0.8511391730000001
tcs__del_atoC_LiAcet__2,-0.27384665550000004,-0.93995767
tcs__del_atoC_LiCl__1,1.2594249073000001,-0.740755373
tcs__del_atoC_LiCl__2,1.1366723309,-0.7175146250000001
tcs__del_atoC_m9__1,0.8828246893,-0.7235992410000001
tcs__del_atoC_m9__2,0.8654850026,-0.6704124640000001
tcs__del_baeR_etoh__1,8.6325081693,-0.952762819
tcs__del_baeR_etoh__2,8.2468256706,-0.555681971
tcs__del_baeR_lb__1,5.4853986373,-0.435810964
tcs__del_baeR_lb__2,5.4664822301000005,-0.45030689100000004
tcs__del_btsR_01xlb__1,1.7023532542000002,-0.445023314
tcs__del_btsR_01xlb__2,1.9104509782,-0.41429222800000004
tcs__del_btsR_lb__1,10.7291652711,-0.042011907
