,A,CodY
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,6.093135976,8.7912731883
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-1.62960424,8.9407117122
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,0.201561282,8.7597322751
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-2.129305245,9.1821687789
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-1.984934698,9.1757273217
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,3.414090945,8.8652963811
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,1.906461243,8.9282504105
USA300_LAC_ICA-Set002_CAMHB_Control_1,-5.435719478,8.95536319
USA300_LAC_ICA-Set002_CAMHB_Control_2,-3.531232701,8.9185115888
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,22.73772803,8.5338722961
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,24.72427608,8.397374600100001
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,8.230388016,9.2882319711
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,7.740067317,9.3436560571
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,1.843877014,9.2601220408
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,3.495753697,9.3190101192
USA300_SNFM1_ICA-Set002_R10LB_Control_1,12.83928922,9.1216895842
USA300_SNFM1_ICA-Set002_R10LB_Control_2,11.60113681,9.0829160474
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,4.200395481,9.3790285525
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,3.518888221,9.3929643639
USA300_SNFR19_ICA-Set002_R10LB_Control_1,10.29875378,9.1613445324
USA300_SNFR19_ICA-Set002_R10LB_Control_2,10.2634035,9.1335914361
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,0.30774105300000004,8.9600901625
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,-0.30774105300000004,8.8213549303
USA300_TCH1516_ICA-Set002_R10LB_Control_1,5.606068616,9.5584827473
USA300_TCH1516_ICA-Set002_R10LB_Control_2,5.47543992,9.6590894251
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,1.419252661,9.0827724224
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,50.54991596,9.4104973953
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,1.842722641,9.1060494016
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,51.22911606,9.2919399364
USA300_TCH1516_ICA-Set003_250nMParaquat_1,0.027477321000000002,9.464524978
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-0.22654954900000002,9.0296793463
USA300_TCH1516_ICA-Set003_2gLGalactose_1,-1.691619678,8.9857208987
USA300_TCH1516_ICA-Set003_2gLGalactose_2,-0.691899302,9.1206731007
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,5.921812856,8.4355374184
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,7.275454625,8.4138873483
USA300_TCH1516_ICA-Set003_Control_1,-3.039119272,9.4094475806
USA300_TCH1516_ICA-Set003_Control_2,-1.416231155,9.1581120834
USA300_TCH1516_ICA-Set003_StationaryPhase_1,0.5546424120000001,9.5843666594
USA300_TCH1516_ICA-Set003_StationaryPhase_2,-1.028260864,9.6299998332
