,A,GacA
AB5075_med__RPMI+_pH6__1.0,12.785755541,0.3122564705
AB5075_med__RPMI+_pH6__2.0,4.4082244318,0.28206691500000003
AB5075_med__RPMI+_-HCO3__1.0,-3.2919904314,0.199274318
AB5075_med__RPMI+_-HCO3__2.0,-0.9655726957,0.0103084032
AB5075_med__LB__1.0,0.514781436,-0.1106667051
AB5075_med__LB__2.0,-0.514781436,0.1106667051
AB5075_med__M9+AA__1.0,1.3259245480000001,0.4324826431
AB5075_med__M9+AA__2.0,-1.3946106062,0.1334883953
AB5075_med__M9-AA__1.0,4.4955673124,0.2366619178
AB5075_med__M9-AA__2.0,0.5967645741000001,0.1298996761
AYE_adeB__WT__1.0,3.2562932127,-0.3680511835
AYE_adeB__WT__2.0,-2.3931944364,0.1604714
AYE_adeB__WT__3.0,-0.8630987764,0.2075797835
AYE_adeB__adeB__1.0,0.19491305690000002,-0.5673602365
AYE_adeB__adeB__2.0,5.195038392,0.3706952483
AYE_adeB__adeB__3.0,6.4783595671,0.2420792488
COL__0ug/ml__1.0,0.40404568500000004,-0.0227191485
COL__0ug/ml__2.0,-0.40404568500000004,0.0227191485
COL__0.25ug/ml__1.0,1.5278794758,-0.3886747935
COL__0.25ug/ml__2.0,-1.0826722555,-1.8997885585
COL__1ug/ml__1.0,-0.8063561051,-0.7631052655
COL__1ug/ml__2.0,3.1134254853,-0.9086833005
H2O2__0ug/ml__1.0,0.9062751335,-0.32161346350000003
H2O2__0ug/ml__2.0,-0.9062751335,0.32161346350000003
H2O2__1.25ug/ml__1.0,1.3607767934,0.6998607584000001
H2O2__1.25ug/ml__2.0,0.4729835337,-0.06321595370000001
H2O2__2.5ug/ml__1.0,0.0309616424,-0.5203354766
H2O2__2.5ug/ml__2.0,1.588908284,-0.8043817945
H2O2__5ug/ml__1.0,1.4277624959000002,1.6494956713
H2O2__5ug/ml__2.0,1.9809203602,1.3647920563
MRP__0ug/ml__1.0,1.3962523619,0.1567155835
MRP__0ug/ml__2.0,-1.3962523619,-0.1567155835
MRP__25ug/ml__1.0,0.45750332060000004,-0.039012090900000004
MRP__25ug/ml__2.0,-1.6493976118,-0.8125586339
MRP__100ug/ml__1.0,-1.3614016305,-0.6855700112
MRP__100ug/ml__2.0,-1.9695124569,-0.6086858512000001
MRP__200ug/ml__1.0,-1.4006507449,-0.5282263744
MRP__200ug/ml__2.0,-1.3934161757,-0.2739992844
growth__2h__1.0,-0.5415887376,-0.2189519779
growth__2h__2.0,0.5415887376,0.2189519779
growth__4h__1.0,2.3157871754,0.24658675400000002
growth__4h__2.0,2.3327617158000002,0.5183395575
growth__6h__1.0,29.8593536529,-0.5858885084000001
growth__6h__2.0,22.0271261139,0.1154355036
growth__8h__1.0,32.0749290602,0.7246674134000001
growth__8h__2.0,32.9407175952,0.4742536264
growth__10h__1.0,32.8561017899,0.8613229675
growth__10h__2.0,34.658803588,0.3463269264
mutants__WT__1.0,0.1979734079,-0.064780797
mutants__WT__2.0,-0.1979734079,0.064780797
mutants__R7__1.0,0.21472484890000001,-0.495006009
mutants__R7__2.0,0.6438645394,-0.212002295
mutants__gacA__1.0,-0.7516512358,0.93530357
mutants__gacA__2.0,-1.0693993017,0.9904552740000001
vacJ_LL-37__WT__1.0,0.0699819503,0.022131572500000002
vacJ_LL-37__WT__2.0,-0.0699819503,-0.022131572500000002
vacJ_LL-37__WT+LL-37__1.0,-1.4279836656,-0.2447594036
vacJ_LL-37__WT+LL-37__2.0,-4.2813955826,-0.5066707176
vacJ_LL-37__vacJ__1.0,-3.3122537824,-0.0430206891
vacJ_LL-37__vacJ__2.0,-4.7859041932,-0.7898935471
vacJ_LL-37__vacJ+LL-37__1.0,-5.4660221368,-0.6488887504
vacJ_LL-37__vacJ+LL-37__2.0,-5.5248228757,-0.06444727580000001
