,A,PhoB
abx_mega__teix_dmso__1,2.6171229077,0.5050103118
abx_mega__dmso-10__1,-1.5742176874,-0.36705523900000003
abx_mega__van_dmso__1,0.8136513214000001,2.3685057526
abx_mega__ramo_h2o__1,2.179458028,0.5517114805000001
abx_mega__tec_h2o__2,0.8898990644,0.4551472003
abx_mega__h2o-7__1,-0.055656168400000004,-0.2761207358
abx_mega__cro_h2o__1,1.1297551211,-0.46458306250000003
abx_mega__tric_ethanol__1,1.283422339,-0.0183899255
abx_mega__nor_naoh__1,1.2041817391,-0.1832542973
abx_mega__teix_dmso__2,9.3171592682,0.2002400667
abx_mega__nal_naoh__3,0.6076638662,-0.09534342380000001
abx_mega__novo_h2o__2,8.4313113874,0.007873737700000001
abx_mega__dmso-10__2,-0.6668240786,-0.2218401267
abx_mega__phos_h2o__3,0.3586578461,-0.2095874287
abx_mega__dmso-6__2,7.4372262044,0.1148847848
abx_mega__rfp_ethanol__1,1.7042741123,1.9859195324
abx_mega__dmso-5__3,7.8804264082,0.2228724178
abx_mega__amyc-d_dmso__1,2.7495604933,1.5856757704
abx_mega__sxt_dmso__1,0.503949453,-0.5106157994
abx_mega__dmso-1__1,-0.0738467565,-0.5240711665000001
abx_mega__pen_h2o__1,1.3489905151000001,-0.34042273630000003
abx_mega__dmso-10__3,-0.7783728321000001,-0.3251316294
abx_mega__nal_naoh__4,-0.49689380450000004,-0.19328837340000002
abx_mega__cip_naoh__1,-0.4197955989,-0.5013159502
abx_mega__pen_h2o__2,1.5083914001,-0.2491479594
abx_mega__ery_dmso__2,14.8286318888,0.8599834896
abx_mega__dmso-2__2,1.3453684726000001,0.7643233674000001
abx_mega__van_dmso__2,0.44563687160000004,1.6651302744
abx_mega__h2o-1b__1,1.645354334,-0.34557191930000003
abx_mega__ery_h2o__1,0.203969427,-0.9062638785
abx_mega__bacit_h2o__1,2.6749008458,1.529186496
abx_mega__chl_h2o__2,1.509825113,-0.3344836249
abx_mega__str_h2o__2,5.525171392,0.0356575079
abx_mega__rfp_ethanol__2,3.0995417256,1.7102869779
abx_mega__polmyx_h2o__2,-0.1458804588,-0.3908183311
abx_mega__tric_h2o__1,-0.8307331499,0.5514049099
abx_mega__cip_naoh__2,4.9631491105,-0.0222948076
abx_mega__novo_h2o__3,9.4511049404,-0.3079812824
abx_mega__bacit_dmso__1,13.4452231824,0.74800013
abx_mega__gen_h2o__1,4.0729863777,1.6832904851000001
abx_mega__bacit_dmso__2,12.4733837439,1.2659970044
abx_mega__chl_dmso__1,3.8588956679,1.1142688067
abx_mega__bacit_h2o__2,3.7167862683,2.2012092319
abx_mega__lvx_dmso__1,1.10685321,0.3921139326
abx_mega__bacit_h2o__3,2.4598109626,1.6130428969000001
abx_mega__nor_naoh__2,2.337009432,-0.0178143339
abx_mega__amyc-d_dmso__2,15.0942008076,0.7133592037
abx_mega__polmyx_h2o__3,5.5839460761,1.2818809526
abx_mega__naoh-6__1,0.0708484872,0.2643644462
abx_mega__cst_h2o__2,9.2694929321,0.46090553630000003
abx_mega__h2o-1b__2,2.2729142158,-0.6282913141
abx_mega__rfp_h2o__1,8.2039484024,1.3873937471
abx_mega__tet_h2o__1,1.1145550975,-0.8595106744000001
abx_mega__flavo_dmso__1,0.20290835570000001,0.22543533840000002
abx_mega__zeocin_h2o__1,-0.47487126760000004,-0.592478395
abx_mega__nor_naoh__3,2.455058111,0.045574688200000005
abx_mega__rach_dmso__2,1.6385408121,-0.9609435281
abx_mega__thio_dmso__2,0.3342964574,1.5386804070000002
abx_mega__amyc-d_dmso__3,10.2412962763,1.7031902116
abx_mega__rif_dmso__2,16.3275903512,1.2042742245
abx_mega__amyc-d_dmso__4,7.193205974,-0.060440975800000005
abx_mega__teix_dmso__3,2.4486124219,1.4036969962999999
abx_mega__valin_dmso__1,11.9588036639,0.8759138288
abx_mega__teix_dmso__4,6.0856232955,-0.2576046933
abx_mega__ethanol-10__1,-0.2914437905,-0.112015105
abx_mega__inh_h2o__1,0.8035912443000001,-1.3112966129
abx_mega__rif_dmso__3,1.486212562,0.508958763
abx_mega__van_dmso__3,11.3373506786,2.1898243966
abx_mega__doxo_dmso__1,0.49580668200000005,-0.780776718
abx_mega__tmp_dmso__1,1.1493639204,-0.0694318892
abx_mega__ethanol-10__2,0.5838097846,-0.049931477200000005
abx_mega__tmp_dmso__2,0.8413919326,-0.1650930506
abx_mega__amyc-d_dmso__5,2.7629795075,1.7504704567
abx_mega__novo_h2o__4,13.6708223211,-1.448580114
abx_mega__cro_h2o__2,0.8118838116,-0.2921222945
abx_mega__cro_h2o__3,0.7141591417,-0.7484970482000001
abx_mega__gen_h2o__2,4.8207117126,2.418665
abx_mega__phos_h2o__4,2.2864244962,0.1592255967
abx_mega__metro_dmso__2,0.7621082675,0.0766832049
abx_mega__ery_h2o__2,0.32947426360000004,-5.0599803669
abx_mega__sacet_h2o__1,5.8531075059,3.6597915292
abx_mega__nal_naoh__5,0.8631913548,-0.5299373236
abx_mega__bacit_h2o__4,3.3705094613,2.9690417263
abx_mega__cip_naoh__3,0.0866157783,-0.5242974328000001
abx_mega__ethanol-8__1,-0.11082770950000001,-0.3446758152
abx_mega__h2o-8a__1,0.9394296385,-0.3704789854
abx_mega__ery_h2o__3,-0.1359781914,-0.6739987376000001
abx_mega__flavo_dmso__2,0.8343447155,-0.0442498219
abx_mega__rif_dmso__4,7.9968801757,0.4193082342
abx_mega__novo_h2o__5,5.7181687479,-0.1694027498
abx_mega__teix_dmso__5,0.2418410761,0.6652342687
abx_mega__naoh-2__1,5.8800077415,0.12867025240000002
abx_mega__novo_h2o__6,7.096463409,-1.1349715044
abx_mega__ctx_h2o__3,1.9594220847,-0.5379352187
abx_mega__rach_dmso__3,2.6177665188,-0.5771027474
abx_mega__valin_dmso__2,13.0371675861,0.9327633556
abx_mega__amyc-d_dmso__6,1.5601741063999999,3.036089275
abx_mega__dox_dmso__2,13.34489089,0.4072180225
abx_mega__teix_dmso__6,0.8074426023,-0.076928538
abx_mega__naoh-6__2,1.2600400928,-0.1169496185
abx_mega__inh_h2o__2,3.0805036432,3.3406417124
abx_mega__chl_h2o__3,1.1771877484,0.5074864448
abx_mega__nal_naoh__6,1.8603063162,-0.2983811386
abx_mega__chl_dmso__2,6.4614247866,1.1229439434
abx_mega__rach_dmso__4,1.0837014677,-0.4363378492
abx_mega__teix_dmso__7,-0.1843194846,-0.3077458451
abx_mega__ceru_ethanol__1,-1.1869461111,2.3222009132
abx_mega__dmso-7__1,-0.0221038721,-0.0970864365
abx_mega__naoh-6__3,0.3218403237,0.0411323051
abx_mega__phos_ethanol__2,-1.4455742833,-0.19749690250000002
abx_mega__metro_dmso__3,0.5002989525,0.8287469030000001
abx_mega__van_dmso__4,9.3819649009,1.9349936451
abx_mega__h2o-10__1,1.3145066324,-0.5178092298
abx_mega__h2o-10__2,1.1583027705,-0.6421503043
abx_mega__dmso-6__3,2.0836005068,0.5371884362
abx_mega__mem_dmso__1,1.3192127368,-0.21749051800000002
abx_mega__ethanol-8__2,-0.2736372556,-0.2988452689
abx_mega__chl_h2o__4,1.4521385847000001,0.5527624539
abx_mega__van_h2o__1,1.695551386,2.1740694521
abx_mega__dcs_h2o__1,0.14527553940000001,-0.31156689590000003
abx_mega__rif_dmso__5,6.1807284414,0.31794019300000004
abx_mega__dox_dmso__3,-0.7873296547,0.0308927271
abx_mega__mem_dmso__2,0.7145445783000001,-0.4347272689
abx_mega__lvx_dmso__2,0.6438698478,0.09918721200000001
abx_mega__tet_h2o__2,-0.039608165300000005,0.311481157
abx_mega__phos_h2o__5,1.9907106957,0.0704286636
abx_mega__monac_dmso__1,1.4838694987,1.6903933196
abx_mega__str_h2o__3,1.7132490724,-0.9913024321
abx_mega__zeocin_h2o__2,21.6152365299,1.5792732111
abx_mega__amyc-d_dmso__7,1.7834826937,2.8815402185
abx_mega__fidax_dmso__1,0.2367773993,-0.551549269
abx_mega__h2o-1a__1,-0.31197675820000004,0.2363791415
abx_mega__dox_dmso__4,5.7622368298,0.0181999734
abx_mega__lzd_dmso__2,0.94269008,-0.2189674747
abx_mega__tet_h2o__3,1.0193259828,-1.4284343053000002
abx_mega__dmso-1__2,-0.6041233564,-0.1938575455
abx_mega__sxt_dmso__2,-0.0873223273,0.1619639846
abx_mega__tric_ethanol__2,-0.1346095461,0.1187173173
abx_mega__teix_dmso__8,-0.1083403614,-0.17888464710000002
abx_mega__ramo_h2o__2,1.095989883,1.2686694878
abx_mega__inh_h2o__3,-0.0783143199,-0.35115507630000004
abx_mega__cst_h2o__3,0.8943808725,-0.1863823839
abx_mega__dmso-9__1,-0.30250401450000003,-0.008076465100000001
abx_mega__ethanol-8__3,0.012051479200000001,-0.0473434162
abx_mega__monac_dmso__2,1.6904238455,3.1525484397
abx_mega__dmso-9__2,-0.7239383211,0.22176839680000002
abx_mega__metro_dmso__4,10.0459925031,0.6879420708
abx_mega__ctx_h2o__4,1.7583146077,-0.4921433747
abx_mega__zeocin_h2o__3,22.1391496868,1.2076057018
abx_mega__bacit_h2o__5,16.880331347,2.6092894175
abx_mega__reta_dmso__1,0.6014078367,-0.2963130127
abx_mega__ery_h2o__4,-0.6533362795000001,-0.00050964
abx_mega__ceru_ethanol__2,2.6630099214,2.9501358344
abx_mega__fidax_dmso__2,-0.5941876427,-0.6220983531000001
abx_mega__novo_dmso__1,7.4946949138,1.6250259691
abx_mega__naoh-6__4,0.9477596801,-0.27054652500000004
abx_mega__amyc-d_dmso__8,12.5277757359,0.8394584190000001
abx_mega__chl_dmso__3,4.7510578415,0.9468347951
abx_mega__nal_naoh__7,-0.3669690413,-0.1600291151
abx_mega__teix_dmso__9,0.4820225044,-0.6196192891
abx_mega__ery_dmso__3,6.121763805,-0.6182054455
abx_mega__tmp_dmso__3,0.09764632990000001,0.09783128220000001
abx_mega__sxt_dmso__3,0.3436952233,0.033823894800000004
abx_mega__polmyx_h2o__4,5.1973951937,0.2993884409
abx_mega__mem_dmso__3,-0.0986145749,0.09455541910000001
abx_mega__nal_naoh__8,4.8942832272,0.0153174672
abx_mega__pen_h2o__3,0.533650614,1.4587434848
abx_mega__van_dmso__5,8.7650584804,2.2651197407
abx_mega__zeocin_h2o__4,18.7754215688,2.22525034
abx_mega__h2o-6__2,-0.1905343824,0.0305671292
abx_mega__tet_h2o__4,1.0206899552,-0.6159305841
abx_mega__nor_naoh__4,-0.0098768993,-0.11311851140000001
abx_mega__cip_naoh__4,3.8973241928,0.1056794576
abx_mega__tmp_dmso__4,0.013882177300000001,-0.015591816900000001
abx_mega__reta_dmso__2,1.9113692667,-0.58304412
abx_mega__mem_dmso__4,0.1290168893,-0.9811818135
abx_mega__dox_dmso__5,-0.1306050755,-1.282169456
abx_mega__tmp_dmso__5,-0.9134695496,0.259380692
abx_mega__flavo_dmso__3,0.9761837818,-0.3298617042
abx_mega__tmp_dmso__6,0.3683684593,-0.3224278857
abx_mega__ceru_ethanol__3,1.0681578009,2.7889110394000003
abx_mega__teix_dmso__10,-0.060516788700000004,-0.1321580488
abx_mega__novo_h2o__7,9.6585382719,-0.38224935520000003
abx_mega__fidax_dmso__3,-0.4156672965,0.2772096718
abx_mega__h2o-1a__2,0.20412686600000002,-0.0762441465
abx_mega__dcs_h2o__2,-0.9902684197,-0.7982579995
abx_mega__cst_h2o__4,3.2221838348,-0.0813988331
abx_mega__van_h2o__2,1.1655818182,2.3819527842
abx_mega__pen_h2o__4,-0.0394896359,1.1495729516
abx_mega__h2o-8b__2,0.41877167390000003,-1.3730311866
abx_mega__reta_dmso__3,2.035628407,-0.5734855603
abx_mega__dmso-7__2,1.0107924793,0.2626254233
abx_mega__rfp_h2o__2,5.773121303,1.6513759818
abx_mega__rif_dmso__6,12.3188278672,1.4615497973
abx_mega__sxt_dmso__4,0.3738993855,-0.3823013592
abx_mega__cip_naoh__5,1.0408840211000001,-0.4589221382
abx_mega__dmso-9__3,0.0168659756,-0.0332975503
abx_mega__mem_dmso__5,0.15110011040000002,-0.5467613207
abx_mega__tric_h2o__2,-0.8709404409,0.5337156492
abx_mega__phos_h2o__6,0.4172413854,-0.1940934124
abx_mega__h2o-7__2,0.2718262883,-0.20017797210000002
abx_mega__h2o-10__3,0.9114216466,-0.5172933083
abx_mega__h2o-8a__2,0.8970667295,-0.2695963579
abx_mega__thio_dmso__3,0.8836359716000001,-0.8222616411
abx_mega__lzd_dmso__3,3.6490706001,-0.7199684907
abx_mega__monac_dmso__3,0.993308489,3.44683685
abx_mega__polmyx_h2o__5,1.020722854,0.0902741081
abx_mega__naoh-6__5,0.0233634869,0.1115148125
abx_mega__teix_dmso__11,0.5170990139,0.7678033785
abx_mega__van_h2o__3,2.1866635115,2.3103842681
abx_mega__teix_dmso__12,0.5051733302,0.464198172
abx_mega__dox_dmso__6,-0.0334216206,0.2250775691
abx_mega__teix_dmso__13,2.658749328,0.3234093188
abx_mega__h2o-7__3,-0.4405696425,-0.5882067815
abx_mega__str_h2o__4,0.9150618076,-0.4230281636
abx_mega__tec_h2o__3,4.3468157789,0.7343401916000001
abx_mega__phos_h2o__7,0.5646943784,-0.2410238268
abx_mega__chl_h2o__5,1.8912484058999999,-0.6359217789
abx_mega__polmyx_h2o__6,3.4541605689,0.6862213629
abx_mega__teix_dmso__14,0.27701489,0.9978786601
abx_mega__rif_dmso__7,2.6887625311,1.0237846145
abx_mega__ramo_h2o__3,1.2505097541999999,0.6758144222
abx_mega__fidax_dmso__4,-0.23400301110000002,0.3015162867
abx_mega__teix_dmso__15,0.3526799659,-0.44223413240000004
abx_mega__thio_dmso__4,1.2262556438,-0.6931450718000001
abx_mega__rif_dmso__8,14.7891425673,0.9800035956
abx_mega__reta_dmso__4,1.7376062738,-0.3711909064
abx_mega__inh_h2o__4,4.5526721396,3.3914647803
abx_mega__novo_dmso__2,6.8412652917,1.4559832073
abx_mega__dcs_h2o__3,-0.2636429011,-0.27676079330000003
abx_mega__h2o-8b__3,-0.5682652391,0.0003951882
abx_mega__valin_dmso__3,0.5998868529,0.3158130818
abx_mega__h2o-2__1,0.9421686560000001,-0.1542568286
abx_mega__cro_h2o__4,1.0975895152,-0.5297967685
abx_mega__dcs_h2o__4,-0.1641606301,-0.6331813268
abx_mega__str_h2o__5,0.5164056974,-0.818745359
abx_mega__h2o-8a__3,1.7955677302000002,-0.9864332369000001
abx_mega__dox_dmso__7,2.1987131844,-0.2681026005
abx_mega__doxo_dmso__2,1.7721079793999999,-0.8148304095000001
abx_mega__teix_dmso__16,3.0211151069,0.4718514767
abx_mega__rfp_h2o__3,4.8669274523,1.2555101217
abx_mega__ethanol-10__3,-0.7078808774,-0.205691422
abx_mega__naoh-2__2,1.9903356925,0.729893326
abx_mega__van_h2o__4,0.7950966441,2.4010226967
abx_mega__sacet_h2o__2,4.5532195999,3.3873656029
abx_mega__monac_dmso__4,1.1554869621,2.7548591139000003
abx_mega__h2o-2__2,1.2424060954,1.327599618
abx_mega__zeocin_h2o__5,0.2192951032,-0.5901869005
abx_mega__nor_naoh__5,0.1679552191,-0.47369081220000003
abx_mega__naoh-9__2,-0.5237496866,-0.28052759120000004
abx_mega__dmso-7__3,1.1804431405,-0.5760016513
abx_mega__van_h2o__5,1.5229658447999999,2.1587018238
abx_mega__flavo_dmso__4,0.6341139476000001,-0.1376374148
abx_mega__novo_dmso__3,7.3919009629,1.9610486671
abx_mega__polmyx_h2o__7,0.8879704482,-0.3576458847
abx_mega__teix_dmso__17,0.0716824522,0.0887660913
abx_mega__doxo_dmso__3,0.7059698520000001,-0.8174514690000001
abx_mega__mem_dmso__6,-0.5592956459,0.3134763658
abx_mega__h2o-1a__3,0.1078498922,-0.160134995
abx_mega__bacit_dmso__3,18.4278734165,1.2150492734
abx_mega__dox_dmso__8,0.34932451870000003,0.41590938
abx_mega__teix_dmso__18,4.4640689749,0.0687567618
abx_mega__h2o-6__3,0.4557151922,0.2029816492
abx_mega__pen_h2o__5,0.0225586071,0.0124249554
abx_mega__lzd_dmso__4,3.0467204253,-0.5640112220000001
abx_mega__daro__1,2.293248722,-0.8708381525000001
abx_mega__solv__1,1.4416342282,-0.0061583291
abx_mega__daro__2,1.9640301968,-0.31487804620000004
abx_mega__daro__3,1.7877881612,0.0016736551
abx_mega__solv__2,1.7516925444,-0.4975104061
abx_mega__solv__3,1.8872304029,-0.0598926254
abx_mega__dmso-4__1,10.4359317029,0.8362272231000001
abx_mega__kirr_dmso__1,7.039478959,-0.2111185528
abx_mega__kirr_dmso__2,5.7963437803,0.0140185979
abx_mega__kirr_dmso__3,10.6385589028,0.3437332133
abx_mega__dmso-4__2,15.1836012015,1.2633022024
abx_mega__dmso-4__3,14.4121194777,0.6959382994000001
ackA_pta__dnaA46_del_ackA__1,-0.5423746889000001,0.4003063263
ackA_pta__dnaA46_del_ackA__2,-0.27163952750000003,0.4031138131
ackA_pta__dnaA46_del_ackA__3,0.4788200119,0.7650684934
ackA_pta__dnaA46_del_pta__1,-1.0214245835,0.5089831707
ackA_pta__dnaA46_del_pta__2,-0.4056195823,0.32362925330000003
ackA_pta__dnaA46_del_pta__3,-0.7880173144,-0.29226051950000004
ackA_pta__dnaA46__1,0.09356066240000001,0.2547285144
ackA_pta__dnaA46__2,1.1877320292,0.2862065514
ackA_pta__dnaA46__3,0.1554108088,0.2559450937
ackA_pta__del_ackA__1,-0.3374843766,0.3701647328
ackA_pta__del_ackA__2,-1.1110181471,0.6497338815
ackA_pta__del_ackA__3,-0.7368285552,0.105830692
ackA_pta__del_pta__1,-0.0218414674,-0.3348079724
ackA_pta__del_pta__2,-1.1025015181,0.27387417010000004
ackA_pta__del_pta__3,-0.1580892857,0.25172497720000003
ackA_pta__wt__1,0.0801327537,0.2045716807
ackA_pta__wt__2,0.0435186989,-0.341227461
ackA_pta__wt__3,-0.1236514526,0.1366557803
anticancer__5fu__1,0.8627945617,-0.8585891033
anticancer__5fu__2,0.09569931400000001,-0.4251082295
anticancer__cap__1,0.284561348,1.8125402179
anticancer__cap__2,-0.7360359767,1.7026388219
anticancer__cap__3,0.00581829,1.9822565092
anticancer__wt__1,0.6657042364,-0.0478759895
anticancer__wt__2,-0.5690604175,0.0848931498
anticancer__wt__3,-0.0966438189,-0.037017160300000004
anticancer__5fu__3,0.4758048528,-0.39509782590000003
bio_pln__aero_pln__1,0.8104620341000001,-0.1109931823
bio_pln__aero_pln__2,-0.8104620341000001,0.1109931823
bio_pln__anaero_pln__1,3.2927811537,-0.44250632
bio_pln__anaero_pln__2,-3.9877661197,-0.7156184694000001
biocide__bzcl_12h__1,0.4302939649,0.5952531639
biocide__bzcl_12h__2,1.0431879003,0.5647448427
biocide__bzcl_12h__3,1.8526838411000002,0.44847398450000003
biocide__etoh_12h__1,-0.4918483839,1.0030704521
biocide__etoh_12h__2,-1.0081019933,1.2932910180000001
biocide__etoh_12h__3,0.37056262900000003,1.1453139152
biocide__gluald_12h__1,0.7626671174,0.4949959031
biocide__gluald_12h__2,0.4707788995,0.6320347947
biocide__gluald_12h__3,0.8741073294,0.4100507357
biocide__h2o2_12h__1,0.8541770031,0.8627950707
biocide__h2o2_12h__2,0.5067419876,0.4934181808
biocide__h2o2_12h__3,0.7125019673,0.5151054503
biocide__2ppoh_12h__1,-0.8487337186,1.0772428017
biocide__2ppoh_12h__2,-0.9454190086,1.2000245065
biocide__2ppoh_12h__3,0.6408776239,1.2093959711
biocide__paa_12h__1,0.3678874185,0.4160649323
biocide__paa_12h__2,-1.2418755489,0.3769124739
biocide__paa_12h__3,-0.004912532900000001,0.2436166095
biocide__phe_12h__1,-0.11498101470000001,0.7150172587
biocide__phe_12h__2,0.09900785890000001,0.18707333980000002
biocide__phe_12h__3,1.1025762997,0.6210418328
biocide__pvp-i_12h__1,2.3020872709,0.288357274
biocide__pvp-i_12h__2,-0.7897643583,0.3523633333
biocide__pvp-i_12h__3,1.5993805611,0.38038589440000004
biocide__bleach_12h__1,1.5493207474,0.10267237400000001
biocide__bleach_12h__2,0.7481843442,0.40655981290000004
biocide__bleach_12h__3,0.461077783,0.5343131702
biocide__chx_12h__1,-0.25630588320000003,0.44635871250000003
biocide__chx_12h__2,0.9013699815,0.4962290714
biocide__chx_12h__3,0.9306445678,0.36972907390000004
biocide__bzcl_30m__1,-0.1478729575,0.5460470683
biocide__bzcl_30m__2,0.7934998642000001,0.8579209680000001
biocide__bzcl_30m__3,0.4850281578,0.8966910404
biocide__phe_30m__1,-0.2558602901,-0.1099641445
biocide__phe_30m__2,1.1492908563,0.7073889545000001
biocide__phe_30m__3,-0.09236863490000001,0.4376492979
biocide__pvp-i_30m__1,0.7506386811,1.330417818
biocide__pvp-i_30m__2,1.0619089525,1.1767067303
biocide__pvp-i_30m__3,1.4570178226000001,1.1305653774
biocide__ctrl_12h__1,1.0782068486,0.2188050326
biocide__ctrl_12h__2,1.784169794,0.5486562070000001
biocide__ctrl_12h__3,0.6233429012,0.5543185971
biocide__ctrl_30m__1,-0.2425629712,0.1884400692
biocide__ctrl_30m__2,0.1196641911,-0.1867221873
biocide__ctrl_30m__3,0.12289878010000001,-0.0017178819
clpP__wt__1,-0.2402031873,0.004458338300000001
clpP__wt_DPTA__1,-2.5344915055,0.3061044878
clpP__wt__2,-0.6033662436,-0.38180194630000003
clpP__wt_DPTA__2,-2.8582866967,0.2499634728
clpP__wt__3,0.8435694309,0.377343608
clpP__wt_DPTA__3,-3.1854945634,0.5014370243
clpP__delclpP__1,-0.487116309,0.0119288177
clpP__delclpP_DPTA__1,-2.0649629894,0.0315734718
clpP__delclpP__2,-0.19672544600000003,-0.041176533200000004
clpP__delclpP_DPTA__2,-1.4140095509,-0.3538652745
clpP__delclpP__3,-0.6097551235,0.033565964000000004
clpP__delclpP_DPTA__3,-2.4396268822,-0.20565982500000002
colombos2__delydcR__1,0.6708429218,0.2893436061
colombos2__delydcR__2,2.589663994,0.5825379843
colombos2__delydcR__3,-1.5298520927,0.3113008839
colombos2__delyjiR__1,-1.5587349182999999,0.2159130777
colombos2__delyjiR__2,-1.1833125129,0.0015800703000000001
colombos2__delyjiR__3,-0.7787194616,0.6744941949000001
colombos2__wt__1,-0.6075020445,-0.179634959
colombos2__wt__2,2.3496863293,0.1952147128
colombos2__wt__3,-1.7421842848,-0.0155797538
crp_k100__ar1_ar2__1,6.0382518389,2.7191671651
crp_k100__ar1_ar2__2,1.3168619962,1.8066656074
crp_k100__ar1_ar2__3,2.0770446948,3.0204019355
crp_k100__wt__1,-0.8868162097000001,0.5752581135
crp_k100__wt__2,0.4173700986,-0.304635772
crp_k100__wt__3,0.4694461111,-0.27062234150000003
crp_k100__K100Q__1,1.2277273534,-0.46639725600000004
crp_k100__K100Q__2,-0.0742527856,-0.1474000863
crp_k100__K100R__1,-0.1551057979,-0.036769523400000004
crp_k100__K100R__2,1.001484401,2.0900782089
crp_k100__K100R__3,-1.2229717737,0.6488053299000001
csrA__wt_t00__1,0.8960533217000001,-0.1372006432
csrA__wt_t02_30__1,4.1888240507,-0.1968397239
csrA__wt_t05__1,7.4146116633,-1.0728660732
csrA__wt_t10__1,9.8513216,-0.3823449115
csrA__wt_t15__1,11.1694813317,0.2577930183
csrA__delcsrA_t00__1,-0.6718826852,0.7169932025
csrA__delcsrA_t02_30__1,4.5745956852,-0.6722364682
csrA__delcsrA_t05__1,7.5547943267,-1.3305041067
csrA__delcsrA_t10__1,7.7418912257,-0.6574733865
csrA__delcsrA_t15__1,7.7509624861,0.1879924821
csrA__wt_t00__2,-0.8960533217000001,0.1372006432
csrA__wt_t02_30__2,4.8446488433,0.1838221978
csrA__wt_t05__2,6.9054143435,-0.6472181982
csrA__wt_t10__2,10.0809804983,-0.25924533040000003
csrA__wt_t15__2,10.3763141754,0.3970056294
csrA__delcsrA_t00__2,-0.5035880336,0.4568151447
csrA__delcsrA_t02_30__2,4.9444997244,-0.9136022920000001
csrA__delcsrA_t05__2,7.2600709156,-1.2799920476
csrA__delcsrA_t10__2,7.9074535661,-0.4781973076
csrA__delcsrA_t15__2,9.7990627796,-0.20191591520000002
cstr_pfr__str_0005m__1,-0.26903698330000003,0.1957036916
cstr_pfr__str_0010m__1,-0.1723505028,0.0884592381
cstr_pfr__str_0025m__1,-0.4076907852,0.1467068792
cstr_pfr__str_0045m__1,-0.38462896820000003,0.15147505390000002
cstr_pfr__str_0075m__1,0.9689839562,-0.0445970511
cstr_pfr__str_0120m__1,-0.5033005042,-0.0376781001
cstr_pfr__str_0210m__1,0.0744931409,0.0044156397000000005
cstr_pfr__str_0330m__1,3.2246104095,0.0093084336
cstr_pfr__str_1500m__1,4.033379222,0.0301873027
cstr_pfr__str_1560m__1,0.1698131332,0.0843868685
cstr_pfr__str_1680m__1,-0.8405993782000001,0.0527102844
cstr_pfr__str_ref1__1,0.0824387751,0.0503002899
cstr_pfr__str_ref2__1,-0.0922672574,0.050213263300000005
cstr_pfr__str_ref3__1,0.0594951954,0.15236062150000002
cstr_pfr__pfr_P5_0005m__1,0.4324075587,0.26684360090000003
