,A,GlcC,ArcA,ihfB,PdhR
abx_mega__ery_dmso__1,-1.5926395306,0.5473571611,-0.9538123343,-1.5657193052,1.3865036554999999
abx_mega__nal_naoh__1,-0.36329541120000003,0.689489974,0.3631602573,1.171465281,1.1613375295
abx_mega__dmso-5__1,1.099859967,-0.4853356044,-0.17749356630000002,0.294111116,-0.827989933
abx_mega__rif_dmso__1,2.5984864085,0.1455819414,-0.2571254471,0.9331627303000001,-1.6353559903
abx_mega__novo_h2o__1,-0.11520540550000001,-0.5985781101000001,-0.5795873771,-1.5948301920999999,-2.3337368603
abx_mega__rach_dmso__1,0.6005452139,-0.2837714182,-0.6394832572,-0.6969566792,0.1737032199
abx_mega__metro_dmso__1,0.0888148986,-1.3787358338,-0.5994008193,-0.24371025970000001,0.4052451144
abx_mega__dmso-6__1,5.063493265,-0.5945156173,-0.8093510237,0.3294536628,-0.8283493310000001
abx_mega__chl_h2o__1,-2.5648702236,1.4678696401,-1.223874242,-1.0253066066,2.6850749404
abx_mega__cst_h2o__1,2.3329814211,0.1353588339,-0.20132201460000002,-1.1929652783,-0.1260341966
abx_mega__tec_h2o__1,0.9006434189,0.4434905561,-0.38609345780000004,0.8805616572,1.8993536682
abx_mega__str_h2o__1,-1.1618041927,-0.12479702790000001,1.2331627263,1.9132335694,0.9910496412
abx_mega__ctx_h2o__1,-1.0288335755,-0.8468849756,-0.4496263185,-1.1279696429000001,-0.1334589168
abx_mega__nal_naoh__2,4.4010251461,0.1567759191,-0.5000365137,-0.9605612867000001,0.0270796529
abx_mega__phos_h2o__1,-1.7838556317,-1.5777150592,-0.9224545732,-0.7856317823000001,-0.8466689001000001
abx_mega__dmso-5__2,1.9360750139,-0.3429074044,-0.31040230480000003,0.10447339950000001,-0.8803425433000001
abx_mega__polmyx_h2o__1,1.256164045,0.10118166320000001,-0.1547312355,-1.1566112913,-0.2752803049
abx_mega__h2o-8b__1,0.1488283652,0.0147515079,-0.7734435138,-0.5151260577,-0.39945049250000003
abx_mega__h2o-6__1,4.5181144223,0.5326361619000001,-0.2452190206,-0.3442757495,-0.4419979311
abx_mega__thio_dmso__1,-2.4739539144,-0.7976796715000001,-0.6604458461,-2.3813583609,1.266892293
abx_mega__phos_h2o__2,0.5594541141,-0.31633062370000004,-0.36638296740000004,-1.0600417401,-0.0808113733
abx_mega__ctx_h2o__2,-0.9734793388,-0.8714271235000001,-0.6634625427,-2.7828060503,0.07512070230000001
abx_mega__lzd_dmso__1,-2.0777762868,0.5079888234000001,-0.7503258015000001,-0.938501404,-0.6673192978
abx_mega__naoh-9__1,3.1055015597,-0.24380252360000002,-0.1047583445,-1.1086632386,0.831519917
abx_mega__dox_dmso__1,-2.0236503987,0.39527750300000003,-1.0523870943,-1.5186830960000002,0.037717413400000004
abx_mega__phos_ethanol__1,2.4702212591,-1.1362844932,-0.3908090648,-1.0835463994,1.3179327087
abx_mega__teix_dmso__1,1.7157667846,-0.4663649978,-0.6588512144,-0.2108301915,0.42768361860000004
abx_mega__dmso-10__1,3.7221733376,-0.5264360163,-0.796986874,-1.1932094615,0.2221631061
abx_mega__van_dmso__1,0.9112762694000001,2.3136698394,0.6215221205,0.5828825608,-0.7253846821000001
abx_mega__ramo_h2o__1,1.4464613505,0.7965338030000001,-0.7357496835,-0.9701385051,-0.6514753326
abx_mega__tec_h2o__2,1.3627143325,-0.1863073069,-0.8809856715000001,-0.8524414069,-0.1516361028
abx_mega__h2o-7__1,-0.5478683718,-0.8821982302,-0.332200824,-1.405760481,0.6963605033
abx_mega__cro_h2o__1,-1.1136619727000001,-0.8775937931000001,-0.7032624132,-2.0779262437,0.1837709777
abx_mega__tric_ethanol__1,7.1272917908,0.9387238081,0.5471721956,-0.1903310601,1.9427185526000001
abx_mega__nor_naoh__1,1.5028874192,0.0223955167,-0.6750352942000001,-1.0812140072,0.046946868700000005
abx_mega__teix_dmso__2,1.2734736001,-0.0893679057,-0.7443126348,-0.026524093000000002,-1.4623495752
abx_mega__nal_naoh__3,4.4850786093,0.35692482880000004,-0.46151863260000003,-1.0022560843,-0.2098762837
abx_mega__novo_h2o__2,-1.8392249267,-0.4175011279,-0.6557503914,-1.7171008209,-2.4302167375
abx_mega__dmso-10__2,4.783560393,-0.7041341836,-0.6482476939,-0.8705550239000001,0.604853218
abx_mega__phos_h2o__3,4.4169223288,0.6039028241000001,-0.4793409832,-0.6341559143000001,-0.9640342847000001
abx_mega__dmso-6__2,5.7079351357,-0.7024323124,-0.5675396422,0.5477587571,-1.6481699323
abx_mega__rfp_ethanol__1,1.1423701833,1.715292403,-0.034679769900000004,-1.3179166312000001,0.9013299302000001
abx_mega__dmso-5__3,2.4969846789,0.0798319799,-0.3525345714,-0.09633023900000001,-0.10801200050000001
abx_mega__amyc-d_dmso__1,-0.7442620395,0.5192773796,-0.0338108436,0.6487792296,1.1608061739
abx_mega__sxt_dmso__1,3.3574479751,-0.6306100113,-0.4064062229,-1.398343179,0.4267420384
abx_mega__dmso-1__1,0.8408583054000001,-1.0106367255,-0.40150323260000004,-0.0548211138,-0.4874277622
abx_mega__pen_h2o__1,-2.4793991722,-0.0891241177,-0.4034077274,-0.4764255264,-1.8979802275000002
abx_mega__dmso-10__3,5.1645140244,-0.6113531753,-0.7157018740000001,-0.9915859493,0.1789729038
abx_mega__nal_naoh__4,3.2453754251999998,-0.1863682894,-0.7166546285000001,-1.1529412139,0.46096723570000003
abx_mega__cip_naoh__1,2.5000095919,-0.4210711773,-0.5501377366,-1.0626874924,0.1620881607
abx_mega__pen_h2o__2,-1.2632900128,0.6345847838,-0.3916451892,-0.9260874235000001,-1.4105969001
abx_mega__ery_dmso__2,0.15861914400000002,0.84142002,-0.7050130261,-1.3048554744,1.2973136534
abx_mega__dmso-2__2,-3.2839863442,-1.3193368046,0.5643015045,2.186138402,0.43651621490000003
abx_mega__van_dmso__2,-0.8107747943,1.3568435975,0.7962936861000001,0.9100277827000001,-0.2776117523
abx_mega__h2o-1b__1,1.6674423737000001,0.41284528070000004,-0.2826643938,-0.8877531976,0.19783469480000002
abx_mega__ery_h2o__1,-3.3162772936,-0.16647426740000001,-0.9324801713,-1.5251338072,1.0909626649
abx_mega__bacit_h2o__1,3.6456230185000003,1.9921612569,-0.7154435960000001,-1.4504833334,-0.5051957658
abx_mega__chl_h2o__2,-2.6596782635,0.7307286430000001,-1.0549187552000001,-1.2200697843000001,1.4602620033
abx_mega__str_h2o__2,-1.7878995928,-0.030435883700000003,1.2063663425,1.7775761065,0.7237114785000001
abx_mega__rfp_ethanol__2,-0.1632553729,1.3798450178000001,0.24705451250000002,-1.2855187251,0.9589068235
abx_mega__polmyx_h2o__2,0.9035582683000001,-0.6101132886,-0.8248140526000001,-0.8769879084000001,-0.6450805798
abx_mega__tric_h2o__1,0.6949901799,1.4018306662,0.0642004802,-1.2793691829,1.6610062005000001
abx_mega__cip_naoh__2,1.8277024955,0.3510608027,-0.6773202813,-1.080054735,0.6424275629
abx_mega__novo_h2o__3,-1.2573532553,-0.5544831794,-0.7345571464,-1.4207421173,-2.5199765503
abx_mega__bacit_dmso__1,1.7337020637,0.3320159022,-0.6457091890000001,-0.36320266970000004,-0.61694242
abx_mega__gen_h2o__1,-1.1976273161,1.9478442961,0.9416705114,3.0734252999,1.8493936930000001
abx_mega__bacit_dmso__2,1.516384708,1.203559465,-0.5853874625000001,-0.1474923579,-1.0286376569
abx_mega__chl_dmso__1,0.626239455,1.3069910264,-0.9406118542,-0.8603384773,-0.3900090181
abx_mega__bacit_h2o__2,5.9467253318,0.9138697495,-0.28599873,0.0810143052,0.3916022518
abx_mega__lvx_dmso__1,0.9308481222,-0.5925730235000001,-0.6848857907,-0.8766338815,-0.6139734105
abx_mega__bacit_h2o__3,4.7759451152,1.9404580185,-0.619184327,-1.0401998064,0.0134662168
abx_mega__nor_naoh__2,2.4823163124,0.35119407,-0.7077585323000001,-1.1131732022,-0.2786400758
abx_mega__amyc-d_dmso__2,1.1842239175,0.09788739560000001,-0.3164502813,1.1241333731,-0.5352352775
abx_mega__polmyx_h2o__3,0.1423249386,1.2887704977,0.6378008244000001,1.0533152899,1.7065577897000002
abx_mega__naoh-6__1,5.6760115178,0.23422693490000002,-0.2497476536,-0.2205498512,-0.7114469910000001
abx_mega__cst_h2o__2,-0.3614840723,0.9247053423,-0.3739455369,-0.9253991697,-0.4062820858
abx_mega__h2o-1b__2,2.5849024576,1.3965836774,-0.4412101766,-0.6949207847000001,1.1323660895
abx_mega__rfp_h2o__1,0.2712891343,0.9302905509,-0.5310190811000001,0.3662144094,-0.5028850884
abx_mega__tet_h2o__1,-3.6287991870000003,0.5188577774,-0.45421179570000003,-0.9221896544,-1.897170357
abx_mega__flavo_dmso__1,1.3572784281999999,-0.24749457300000002,-0.305938729,-0.3053163494,0.1384413032
abx_mega__zeocin_h2o__1,1.1489514015,-0.1893567918,-0.6137315737,-1.4155199507,-0.1544561085
abx_mega__nor_naoh__3,1.3615703994000001,-0.025321246800000002,-0.7445127357,-1.0599211097,0.34029836890000004
abx_mega__rach_dmso__2,1.8319825602000002,-1.7497980499999999,-0.440766099,-1.4386345449,-0.449618785
abx_mega__thio_dmso__2,-1.9137106864,2.1022823683,-0.1313631139,-0.2803295697,2.7152643049
abx_mega__amyc-d_dmso__3,-2.1783831047,0.2991260593,0.2026076278,0.6293734383,1.6077031243
abx_mega__rif_dmso__2,2.7133431295,0.8603780075,-0.7345121231,-0.2010869699,-0.1452984927
abx_mega__amyc-d_dmso__4,0.9581270802,-0.4801868495,-0.33577681130000003,1.2525770415,-0.233597714
abx_mega__teix_dmso__3,2.2202842086,-0.2455316625,-0.3764485198,-0.2896248806,0.1842955241
abx_mega__valin_dmso__1,1.1561975458,1.11751392,-0.9055701749,-0.5997892775,-1.8900768642
abx_mega__teix_dmso__4,1.9043261606000002,-0.5386763483,-0.7128745584,0.1237988565,-1.0885010201
abx_mega__ethanol-10__1,-1.6969331337,0.0630376987,-0.3365434024,-1.5734086149,0.33415471880000003
abx_mega__inh_h2o__1,2.8210388700999998,-0.1688828946,-0.9118016409,-1.8638919299,0.163974729
abx_mega__rif_dmso__3,-0.5073772309,-0.8698429643000001,-0.2723243866,0.6829585180000001,-0.9465467362000001
abx_mega__van_dmso__3,3.7908803818,1.2405505101,0.7195692725,0.9236742301,-0.11527832730000001
abx_mega__doxo_dmso__1,-1.6643137397,-0.6375936655000001,-0.7211493992,-1.7925095215,-1.6774971662
abx_mega__tmp_dmso__1,0.23298263800000002,0.2477678151,-1.1035471096,-1.0856227286,-0.5065759217
abx_mega__ethanol-10__2,0.1411446265,0.24563985740000002,-0.8090334449000001,-1.5969538419,-0.5628886394
abx_mega__tmp_dmso__2,-0.7399312253,-0.1703563996,-1.0282208658,-1.1365814194000001,-0.7358977565
abx_mega__amyc-d_dmso__5,-3.0113537742,-0.5498417988000001,0.1033229876,0.9335471945,1.7595576955
abx_mega__novo_h2o__4,1.2306926364,1.2225518608,-0.989631354,-0.9001345086,-3.5277934386
abx_mega__cro_h2o__2,-1.0957357254,-0.8940004082,-0.6898793059,-1.5787237146000002,0.6800925502
abx_mega__cro_h2o__3,-1.0708868248,-0.7687170201,-0.9385224537,-1.5363409356000002,0.0690848901
abx_mega__gen_h2o__2,-0.1202315763,1.9353077917000001,1.0977147786,3.3245249795,1.8034974754
abx_mega__phos_h2o__4,1.6726451198,0.6422132266,0.36099427310000004,1.3672523569,1.2636687302
abx_mega__metro_dmso__2,0.3524011999,-0.4900754088,-0.600790616,-0.2511288672,0.051329992000000005
abx_mega__ery_h2o__2,-3.7498727251,-0.2162703515,-0.5144488377,-1.2241393744,-0.6355700000000001
abx_mega__sacet_h2o__1,-0.11356817990000001,1.4859089102,1.4841765936,2.2712715973,3.0086459954
abx_mega__nal_naoh__5,3.1665307013,-0.3993517809,-0.7392321765000001,-1.1236160881,1.0393897033
abx_mega__bacit_h2o__4,4.6777941254,1.5509587898000001,-0.2944956992,0.16848949670000002,0.1199381191
abx_mega__cip_naoh__3,-0.6744209437,-0.1959590555,-0.8669199153,-1.2601444012,-0.9546299443
abx_mega__ethanol-8__1,-1.3738459215,-0.5176233009,-0.5948867843,-1.4558741109,-0.3625229781
abx_mega__h2o-8a__1,0.7563585203000001,0.7185248147000001,-0.5244472115000001,-1.5760854295,-0.6755486363000001
abx_mega__ery_h2o__3,-2.9960252494,-0.639673044,-0.786795397,-1.4715961776,1.1364678129
abx_mega__flavo_dmso__2,-0.0735876109,-1.1768044448000001,-0.5681068862,-1.5589412839999999,0.4532699526
abx_mega__rif_dmso__4,0.4990161618,-0.3415645136,-0.6737367768,0.3994912939,-0.44597501440000004
abx_mega__novo_h2o__5,-2.1708223721,-0.9141216883000001,-0.9874018292000001,-0.9678017240000001,-0.9021733236
abx_mega__teix_dmso__5,3.3078969928,-0.3547788774,-0.704628555,-0.9608040567,-0.29392495820000003
abx_mega__naoh-2__1,1.2131536108,0.5808808589000001,0.6390051229,1.2447894583,1.7575499723
abx_mega__novo_h2o__6,-2.2263679074000002,0.1235066066,-1.119492052,-1.191436742,-2.2880616785
abx_mega__ctx_h2o__3,-0.5919390452000001,-0.9366241430000001,-0.5892935844,-1.9337324817,-0.1260430246
abx_mega__rach_dmso__3,2.3971176574,-1.5107641878,-0.7488069058,-1.1366547883,-0.6224222674000001
abx_mega__valin_dmso__2,0.5986545926,0.8649555496,-0.9849220242000001,-0.7399595053,-0.4991096861
abx_mega__amyc-d_dmso__6,-2.3373589548,1.5402168796,0.0536946161,0.923138631,2.8750119271
abx_mega__dox_dmso__2,2.0270209103,0.66777306,-0.4765596486,-0.6534829936000001,-0.6416532500000001
abx_mega__teix_dmso__6,3.1374741178,-0.7764645399000001,-0.9315031237,-1.1495585992,-0.39564770450000003
abx_mega__naoh-6__2,3.6296057212,0.1053319907,-0.306814501,-0.3206835072,0.1878611425
abx_mega__inh_h2o__2,0.9906970199,0.7361492156,-0.14971446900000002,-0.8808770448000001,0.1596236761
abx_mega__chl_h2o__3,-2.0764822753,1.434751581,-1.7867935451,-2.0232756272,-0.8464006367
abx_mega__nal_naoh__6,3.8684874579,0.0080622246,-0.5907873538,-1.1867332256,0.6296171002000001
abx_mega__chl_dmso__2,-0.1089145875,1.3527745557,-0.8765617776,-0.9006154946,-0.21805504280000002
abx_mega__rach_dmso__4,3.6152119063,-1.7990999644999999,-0.5076306448,-1.631366638,-0.7590008223
abx_mega__teix_dmso__7,3.8346699885,-0.5429000987,-0.9455588033000001,-1.033868219,-0.0032073790000000002
abx_mega__ceru_ethanol__1,0.5359998874,0.8245571492,-0.0546648603,-0.7600665551,1.4435760144
abx_mega__dmso-7__1,3.1611842099,-1.5123621941,-0.7995883998000001,-0.4911206664,-1.0260677785
abx_mega__naoh-6__3,5.1045392088,0.42411350550000004,-0.2305797444,-0.30821672310000003,-0.6519718255
abx_mega__phos_ethanol__2,3.8054504313,0.2924157546,-0.2681092712,-1.1953659872,0.261166871
abx_mega__metro_dmso__3,0.6582264777,-1.0002854682,-0.6702235864,-0.137280135,0.1619025955
abx_mega__van_dmso__4,2.7234699659,0.7524346805000001,0.8816852332,1.2171043994,-1.1021793901
abx_mega__h2o-10__1,2.3885854,-0.0643086445,-0.8235027764,-1.5275886062000001,0.023180969000000003
abx_mega__h2o-10__2,1.3457153705,-0.09745580790000001,-0.4419145841,-1.9308061206,0.0228896086
abx_mega__dmso-6__3,4.9861640713,-0.6768816365,-0.7824784504000001,0.33441959600000004,-1.3316720743000001
abx_mega__mem_dmso__1,-0.22568373220000001,-1.1933785943,-0.8957583694000001,-1.6562199957,0.10431136960000001
abx_mega__ethanol-8__2,-1.6744895148,0.1352713937,-0.46520850020000004,-0.9106399612,-1.1348177466
abx_mega__chl_h2o__4,-2.8255968130999998,1.7958551815,-1.9027115429,-1.9080504914,-0.5021852574
abx_mega__van_h2o__1,-0.5030400338000001,0.8275360465,-0.5633653791000001,-0.9515812199,-0.8109298492
abx_mega__dcs_h2o__1,2.5590301031,-0.3641669796,-0.4577927678,-1.2671154485,0.8947460851000001
abx_mega__rif_dmso__5,3.2060699235,0.1443371594,-0.5244412812,-0.0163777134,-0.4245853972
abx_mega__dox_dmso__3,-0.9763108715000001,-0.7977880816,-0.4069620828,-1.1819124107,0.4786198345
abx_mega__mem_dmso__2,-0.4342561016,-0.5518101375000001,-0.6797229178,-0.8976499983,-0.47065052
abx_mega__lvx_dmso__2,1.870012182,-0.9714021572,-0.7931955938,-0.7905816784,-1.3783743383
abx_mega__tet_h2o__2,-1.8958899181,1.8789280348,-0.7313918552,-0.8527907562,0.9010077183
abx_mega__phos_h2o__5,-1.4872587273,0.5908997655,0.5205305132,1.3728449627,1.7212183656
abx_mega__monac_dmso__1,13.1711743894,2.0119458489,1.2752649621,0.5807675425000001,1.6380525906
abx_mega__str_h2o__3,-0.6604897377000001,0.2446771935,-0.8681426453000001,-1.8941859509,-0.8634437747
abx_mega__zeocin_h2o__2,2.693087207,1.2572308197,0.0039227364,0.3180122541,0.8500895152
abx_mega__amyc-d_dmso__7,-2.9530212939,1.8669042352,0.1272974469,0.8686363537,2.7092636837
abx_mega__fidax_dmso__1,4.2432003305,-1.1586485112,-1.0048620916,-0.8441132099,0.332572566
abx_mega__h2o-1a__1,-0.8777367746,0.1570141323,-0.0255081624,0.0625105212,-0.2097590615
abx_mega__dox_dmso__4,2.7657133247,0.3259237627,-0.37877042,-0.8835196625,-0.6135971464000001
abx_mega__lzd_dmso__2,-1.7366623795,1.158920286,-0.8464666129,-1.2250992002,2.3263255445
abx_mega__tet_h2o__3,-3.9258460662,0.5055850358,-0.3984785491,-1.2535987095,-1.6661178604
abx_mega__dmso-1__2,-1.7849397149000001,-0.7482571627,-0.302497715,-0.15609256470000002,-0.7963523501
abx_mega__sxt_dmso__2,0.737057065,0.009904231000000001,-0.6099977714,-0.5219061525,0.6676015018
abx_mega__tric_ethanol__2,4.8064726725,0.8271394004,-0.068855287,-0.6248932219000001,0.611818948
abx_mega__teix_dmso__8,-2.5537214161,-1.4001501724,-0.5813589195000001,-0.8532571789000001,0.2941291088
abx_mega__ramo_h2o__2,1.615626787,0.8210978355,-0.4586027053,-0.8440673101,0.29582476960000004
abx_mega__inh_h2o__3,2.8085928761,0.2923604735,-0.8332605673,-1.6423178196000001,0.4211354343
abx_mega__cst_h2o__3,-0.37482251,0.602361311,-0.7600289733000001,-0.7419004346,1.092421801
abx_mega__dmso-9__1,2.8289422352,-0.0038378116,-0.3639876078,-1.0228097095,-0.9959728360000001
abx_mega__ethanol-8__3,-0.14314578320000002,-0.1923719728,-0.6349855048,-0.8209870645,-1.1785853659
abx_mega__monac_dmso__2,9.4059023794,2.4995521438,1.262363916,0.5544799185,1.4194255879
abx_mega__dmso-9__2,2.959430251,-0.8900308405,-0.5589086929,-0.6908904131,-0.5654526825
abx_mega__metro_dmso__4,0.7687166056,-0.5795754097,-0.11194467350000001,0.11122089040000001,-0.0817218317
abx_mega__ctx_h2o__4,-1.0017185171,-0.6240471327,-0.576840738,-2.1413952496,0.2844940982
abx_mega__zeocin_h2o__3,1.6458125398,1.6096973277000002,0.38963961950000003,0.6797201304,0.3247935293
abx_mega__bacit_h2o__5,3.9988925945,1.5060355913999999,-0.3241111343,-0.0813581815,0.0287174311
abx_mega__reta_dmso__1,-1.5708287419,0.7507126912000001,-0.25701469,-0.8155494813,2.3413050593999998
abx_mega__ery_h2o__4,-3.0268278657,1.7236134048,-1.3601739322,-1.0687696929,1.5430646228
abx_mega__ceru_ethanol__2,2.4346449302,2.2916108164,-0.0437337862,0.3147754193,2.2689011297
abx_mega__fidax_dmso__2,4.6194039805,-0.3774429582,-0.8291054388,-0.7102352016,-0.1137787614
abx_mega__novo_dmso__1,-1.8571628091,-0.4230455641,-0.51258285,-0.8855864517,-0.408164154
abx_mega__naoh-6__4,4.1339029674,0.16308330610000002,-0.37249924100000004,-0.3273901919,0.1779227555
abx_mega__amyc-d_dmso__8,0.6423423098000001,0.0969663047,-0.230511501,1.1375522752,-0.4830104558
abx_mega__chl_dmso__3,-0.20791146630000001,1.3776869305,-0.8200548711000001,-0.8341317912,0.1846776134
abx_mega__nal_naoh__7,-0.1078768098,-0.5977162662000001,-0.4406184697,-0.7477767726,-0.5579709116
abx_mega__teix_dmso__9,3.1867196617,-0.6958452366,-1.0535215027,-1.2438504318999999,0.19114676800000002
abx_mega__ery_dmso__3,-1.5588202205,0.5129509833,-0.6204594402,-1.3600939619,-0.5998606199000001
abx_mega__tmp_dmso__3,-0.1498486843,-0.0998555462,-1.0780453714,-1.2032978044,-0.5849807367000001
abx_mega__sxt_dmso__3,4.2502316826,-0.6029061330000001,-0.2826101176,-1.5183364254,0.9691723634
abx_mega__polmyx_h2o__4,-1.5338470131,0.24256950060000002,0.3674181562,0.8265102893,1.5979652084
abx_mega__mem_dmso__3,2.401853994,-0.275894313,-0.5328863570000001,-0.8085937780000001,-1.0068605655
abx_mega__nal_naoh__8,1.1026759007,0.7191433148,-0.4055443481,0.6144673881,0.40523894190000004
abx_mega__pen_h2o__3,0.5502490114,-0.5925015452,-0.6397645289,-0.7307318690000001,0.0277423698
abx_mega__van_dmso__5,3.6158958988,0.7612566586,0.7842886771,1.0924749437,-0.7269173316
abx_mega__zeocin_h2o__4,2.2848414545,0.8864434543,0.0852071991,0.6265042858000001,1.1378334358
abx_mega__h2o-6__2,3.0823154818,0.0945987408,-0.18555417640000002,-0.1930641951,-0.0221615997
abx_mega__tet_h2o__4,-2.8641620236,0.1824693309,-0.3648115819,-1.1221989695,-0.8773841771
abx_mega__nor_naoh__4,3.1621506052,-0.0044575222,-0.5856403514,-0.8893847205000001,0.5746642230000001
abx_mega__cip_naoh__4,2.2739072966,0.7656864352,-0.6155918729000001,-1.1343377475,-0.9546694867000001
abx_mega__tmp_dmso__4,0.0701498523,0.2576114671,-0.8278137878,-1.2139028339,-0.6023950366
abx_mega__reta_dmso__2,-2.2823546666,0.0267160551,-0.346563681,-0.8070874991,2.5298865425
abx_mega__mem_dmso__4,0.4335559641,-0.5107223351,-0.6241635859,-2.112586486,0.5733171209
abx_mega__dox_dmso__5,-1.1340762752,-0.0431763695,-0.7549218009,-1.1911668779,0.1539947966
abx_mega__tmp_dmso__5,2.8316218667,-0.2347485309,-0.5317721226000001,-0.9323923927000001,-0.1057692011
abx_mega__flavo_dmso__3,-1.6582152099,-1.275844828,-0.42569096170000004,-1.3161077135,0.3525624363
abx_mega__tmp_dmso__6,0.9665313015,-1.3554614354,-0.7787333394,-1.3777511591,-0.8582718675000001
abx_mega__ceru_ethanol__3,3.9733684577,1.6099612933,0.2849311861,-0.1171657056,1.5460657521
abx_mega__teix_dmso__10,-2.1957071078,-0.761889382,-0.6791321378,-0.49182771470000003,-0.338155248
abx_mega__novo_h2o__7,-0.9594895104000001,-0.4510622207,-0.5489293682,-1.4181288842,-2.7097884011
abx_mega__fidax_dmso__3,4.6853866458999995,-0.0007600633,-0.4651611836,-0.1270655376,0.040824517000000005
abx_mega__h2o-1a__2,0.8964271706,-0.2508156029,-0.0026546786,0.019027187600000002,-0.0346983853
abx_mega__dcs_h2o__2,0.0919457141,-1.0469128339,-0.4027529064,-1.3556210419,-0.6031391581000001
abx_mega__cst_h2o__4,-1.3072403036,0.9377929374,-0.2620807039,-0.8715800265,0.4405357697
abx_mega__van_h2o__2,2.0516379752,0.1177195411,-0.1322773285,-1.0604877154,-0.4426223392
abx_mega__pen_h2o__4,-0.7382510116000001,-1.4422269482,-0.24219310500000002,-1.21089239,0.2513184476
abx_mega__h2o-8b__2,0.5059263660000001,-0.06668010960000001,-0.8656861585000001,-1.8870095360999999,0.6231524575
abx_mega__reta_dmso__3,-1.5740369411000001,-1.4972141895,-0.0965249888,-1.3888387334,1.6584761082
abx_mega__dmso-7__2,3.0467313116,-1.2663421993,-0.6125686037,-0.8358051031,-1.0349208702
abx_mega__rfp_h2o__2,0.0706731021,0.6102787355,-0.6780251964,0.5651488816,-0.5779139507000001
abx_mega__rif_dmso__6,1.5148982273,0.808705262,-0.3036139091,0.2685785134,-1.200123335
abx_mega__sxt_dmso__4,3.4620779142,-0.7593614023,-0.32311821100000004,-1.6003623698,1.0188274883
abx_mega__cip_naoh__5,2.3750428954,0.3176418119,-0.6472823522000001,-1.1976275807,-0.9591141556
abx_mega__dmso-9__3,1.910877893,-0.8518816551,-0.6886665677,-0.7254365348,-0.48678795020000004
abx_mega__mem_dmso__5,-0.8234052371,-0.8639792430000001,-0.8571132198,-1.5497718291,0.4173870995
abx_mega__tric_h2o__2,1.2938965697,1.5439422707000001,0.1284023329,-1.4148320002,1.5075158116
abx_mega__phos_h2o__6,2.652542272,0.4692172358,-0.4840414957,-0.5654554842,-0.4197426429
abx_mega__h2o-7__2,0.827965515,-1.3236363642,-0.5855811282,-0.9495107329,0.0371117412
abx_mega__h2o-10__3,0.5935566125,-0.2959759549,-0.6483210227,-1.5245136858000001,-0.1318831091
abx_mega__h2o-8a__2,1.5222721344,0.3665474023,-0.7268829535,-1.1641195583,-0.7855418463
abx_mega__thio_dmso__3,-1.9871683749,-0.57642098,-0.6520774905000001,-2.5741590835,0.9942240452000001
abx_mega__lzd_dmso__3,-2.3764352333,-0.5972687014,-0.5106188083000001,-1.0544668967,-0.18553622220000002
abx_mega__monac_dmso__3,7.2621780961,2.5492088528,0.24239025290000002,0.8937663383000001,-0.8518931401000001
