,A,NrdR
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.025522577,0.0590917143
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,0.3875923558,-0.0307899059
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,-0.8251836514,0.0015235404
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,0.8931085777000001,-0.1234258924
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,0.0447804682,-0.186299172
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,0.5505610292,-0.16224788880000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,0.0372330486,-0.0896901835
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,-0.5570511632,-0.16366594110000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,0.6132655798000001,-0.11565057070000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,-0.3914677459,-0.0732629271
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,0.6696566587,-0.1341759997
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,-0.6030192237,-0.1781092077
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,-1.5255198691,-0.09934641470000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-1.1477966496,0.073795846
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-1.8946016058000001,-0.0125774883
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,-0.8925193389,-0.0248596352
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,-0.6585805243,-0.0216315165
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,-0.4768383526,0.0047208874
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,-3.7596122709,-1.643094402
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,-3.8297835332,-1.5677027362
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,-3.5595402842,-1.5660303329
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-0.5078078957000001,-0.0339801168
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,-3.4371692708,-1.6454686407999999
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-0.46512306000000003,-0.1727733376
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,-3.7839483106,-1.5353553428
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,0.0863541607,-0.0956623468
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,-3.9461409983999998,-1.750392995
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,2.1968503623,-0.0244412227
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,2.1026317181,-0.8990478125
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,0.7994346818,0.1070267568
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,1.8247486147,-0.9932546215
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-0.9683468283000001,-0.0408152698
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,5.803048556,-1.3514973872
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,-0.2667215032,-0.13153013600000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,0.7715872026,-0.0827024913
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.5048656994,0.2142326273
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.1438220457,-0.2043599278
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-2.1289225568,-0.2164797436
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-2.0851383788,-0.4938256587
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,0.7030032208,0.019666085700000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,0.7732873634,0.3052855263
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,0.6734626146,0.2067447368
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-0.1233659381,-0.0131440858
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-0.29179635940000004,-0.0447300657
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-0.10349244190000001,-0.1094251044
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,0.4537628838,-1.7186357102
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,-0.0332406513,-1.9452311144
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,-0.8095018426,-1.7061632672
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,-2.2520247573,-1.8591694485999999
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,-2.7529234287,-1.6975748748
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,-1.3674523123,-2.0920726807
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,0.19321358600000002,-0.6511078933000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,-0.32529631940000003,-0.5756521394
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,-0.0804309788,-0.356257676
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,0.5986988709000001,-1.2861857998000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,-1.0913224919,-1.0759280149000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,-0.3158993559,-1.514326632
