,A,MarR,ComR
misc__bw_delfadr__1,0.6881239880000001,-0.75425566,0.11464412800000001
misc__bw_delfadr__2,0.2802021732,-0.463264783,0.002487298
misc__nitr_031__1,-1.0961863171,-0.448801661,0.37869310500000003
omics__wt_glu__1,-0.4159279516,-0.404441698,0.9617004750000001
omics__wt_glu__2,-0.7215967106000001,0.09620273800000001,1.096688203
omics__wt_gly__1,0.2827290704,-0.8607916590000001,0.280434613
omics__wt_gly__2,0.0158409686,-0.8671664870000001,0.198966828
omics__wt_thr__1,-0.8329085387,-0.32707811800000003,0.9294294580000001
omics__wt_thr__2,-0.9019070296,-0.281166499,1.170457546
omics__bw_ac__1,-3.7623687945,0.057422693000000004,0.87261067
omics__bw_ac__2,-3.363686212,0.132603662,0.675127174
omics__bw_fum__1,-2.2562696021,-0.166923272,0.513935244
omics__bw_fum__2,-2.0865160222,0.143580057,0.445632776
omics__bw_glc__1,0.2197694299,0.361255731,0.474857173
omics__bw_glc__2,-0.0297471194,0.35212654800000004,0.466270785
omics__bw_pyr__1,-2.5270063744,-0.329661659,0.6466604840000001
omics__bw_pyr__2,-2.5922206085,0.094019397,0.6847710720000001
ompr__wt_nacl__1,-0.0695827364,-1.334577356,0.282517996
ompr__wt_nacl__2,-0.6572208827,-1.165968012,0.111908038
ompr__bw_delompr_nacl__1,1.7052625524,-0.033999179000000004,-0.073868917
ompr__bw_delompr_nacl__2,1.1475261011,0.061499311,0.001125378
minspan__wt_ade__1,0.7287258425,0.177948936,0.063465456
minspan__wt_glc__2,0.1330899267,-0.10657530400000001,0.282723559
minspan__wt_glc__3,0.39064841650000004,0.029651283,0.46476142400000003
minspan__wt_glc__4,0.02297891,-0.16904481500000001,0.271023157
minspan__wt_glc_anaero__1,-0.7581537948,-0.706106083,0.46547896400000005
minspan__wt_glc_anaero__2,-0.1862796658,-0.384682101,0.7400868380000001
minspan__wt_trp__1,-1.9440726685,-0.55470916,0.198955224
minspan__bw_delcra_glc__2,-0.3459219986,-0.5499435610000001,-0.48050567600000005
minspan__bw_delcra_trp__1,-1.554520334,-1.145996422,-0.798783016
minspan__bw_delmntr__1,-0.3933639292,-0.324692767,1.2062678070000001
minspan__bw_delnac_ade__1,-0.8594431669,-0.531851865,-0.438433899
minspan__bw_delnac_glc__1,-0.26877917900000003,0.09851330500000001,-0.011621916000000001
cra_crp__wt_ac__1,-3.7621632062,-0.602288689,0.860172538
cra_crp__wt_ac__2,-4.0934182159,-0.503922157,0.907637813
cra_crp__wt_fru__1,-1.8331822288000001,-0.348280531,0.688968562
cra_crp__wt_fru__2,-1.8507591811,-0.03916475,0.8801872820000001
cra_crp__delcra_ac__1,-2.4422372004,-0.24171634,0.5398866999999999
cra_crp__delcra_ac__2,-1.6163216154,-0.173171884,0.610178634
cra_crp__delcra_fru__1,0.2103872105,-0.30000223800000003,0.211314782
cra_crp__delcra_fru__2,0.1736655219,-0.10189597800000001,0.239847885
cra_crp__delcra_glc__1,0.4997496031,-0.097530829,-0.043709054000000004
cra_crp__delcra_glc__2,0.3651040628,-0.17692083900000002,-0.093565649
rpoB__wt_031__1,-2.3329774088,-0.740370156,-0.176184905
rpoB__wt_044__1,-0.3739635168,0.142468648,0.121444434
rpoB__wt_lb__1,-0.8180045076,-0.741723828,-0.07987725500000001
rpoB__wt_lb__2,-0.7812453298,-0.357191433,-0.342483525
rpoB__rpoBE546V_031__1,-1.2150334323,-0.479612788,-0.16973633500000002
rpoB__rpoBE546V_044__1,-0.4346283488,-0.26741200200000004,0.366496682
rpoB__rpoBE546V_lb__1,1.6879940186,0.44822583400000005,0.027259965
rpoB__rpoBE546V_lb__2,0.4356766201,0.01518538,0.27098118400000004
rpoB__rpoBE546V_glc__1,0.5277109237000001,-0.9134513070000001,-0.499226989
rpoB__rpoBE672K_glc__1,-0.3423151552,-0.924812387,-0.583081309
rpoB__rpoBE672K_glc__2,0.9331220777,-0.834206969,-0.722493025
rpoB__rpoBE672K_lb__1,4.0652409894,0.035436537000000004,-0.31902455700000004
rpoB__rpoBE672K_lb__2,4.0428815874,0.28308160600000004,-0.42141783
crp__wt_fru__1,-2.5524316153,-0.122686977,0.034952469
crp__wt_glyc__1,-2.4310759104,-0.638093974,0.24255973100000003
crp__wt_glyc__2,-2.252920848,-0.457220094,0.171572724
crp__delar1_glyc__1,-3.216337295,-1.030620204,0.004767376
crp__delar1_glyc__2,-3.314040283,-1.122750241,0.220032894
crp__delar1ar2_glyc__1,-2.7582058948,-0.46116010300000004,0.185806824
crp__delar1ar2_glyc__2,-3.0245570604,-0.28359064300000003,0.084058306
crp__delar1ar2_glyc__3,-2.5414179034,-0.44990767600000003,0.103817109
crp__delar2_glyc__1,-4.7319486631,-1.094100729,0.842018665
crp__delar2_glyc__2,-4.6849399986,-0.74224145,0.85038908
crp__delar2_glyc__3,-4.0107945909,-0.831947509,0.957350181
crp__delcrp_fru__1,-0.4353032516,-0.399481623,0.95808262
crp__delcrp_fru__2,0.0770539657,-0.18228629600000001,0.7004962130000001
crp__delcrp_fru__3,-0.3402478915,-0.35606731900000005,0.955443122
crp__delcrp_glc__1,-1.0660196739,-1.157382577,0.8703649290000001
crp__delcrp_glc__2,-1.5280602932,-0.7205775120000001,1.078160142
crp__delcrp_glc__3,-1.7542616966,-0.697118511,1.049333461
crp__delcrp_glyc__1,-0.6593070374000001,-0.537009199,0.844979491
crp__delcrp_glyc__2,-0.2447545954,-0.483436291,0.71678092
crp__delcrp_glyc__3,-0.4449731262,-0.7020466160000001,0.7330102220000001
glu__glu_ale3__1,-1.0519134507,-1.985376212,1.194817856
glu__glu_ale4__1,-0.0659746305,-1.000922653,1.002349128
glu__glu_ale5__1,-1.2081934036,-1.389721274,0.26915478200000004
glu__glu_ale6__1,1.0497285098,-0.762348593,-0.676601416
glu__glu_ale8__1,-1.6080418202,-1.254958955,1.031064673
glu__glu_ale9__1,-1.0370693422,-1.459100054,0.7872390050000001
glu__glu_ale10__1,-1.7520481667,-1.559341203,1.091288921
42c__wt_42c__1,1.3440107209,-1.046029895,-0.477649745
42c__42c_ale1__1,-2.0776065467000002,-1.504010669,0.434748503
42c__42c_ale2__1,-0.0263589069,-0.7785052950000001,1.240167953
42c__42c_ale3__1,-0.677220413,-0.869731943,-0.133485882
42c__42c_ale4__1,0.3557883027,-0.333541664,1.525443631
42c__42c_ale5__1,1.9941553429,0.49909118500000005,0.605888807
42c__42c_ale6__1,-2.7501900781,-0.500529405,-0.33526371400000005
42c__42c_ale8__1,-1.8143276299000002,-0.5864482360000001,1.066617522
42c__42c_ale9__1,0.8095672601,0.11402382,0.109504638
42c__42c_ale10__1,-0.6239575093,-0.570241157,1.020661794
ssw__wt_ac__1,-3.8720051478,-0.56600564,0.058624143000000004
ssw__wt_glc__1,-1.5488244764,-0.661724718,-0.313549526
ssw__wt_glyc__1,-4.3722806083,-1.204432786,-0.34076347300000004
ssw__wt_xyl__1,-4.7096544969,-2.524566126,-0.7396356380000001
ssw__glc_ale1__1,-0.7230993536,-1.375954106,-0.053245338
ssw__glc_ale2__1,0.5988347997,-1.5992666130000002,0.102281064
ssw__glc_ale3__1,-1.3294520401,-1.686954703,-0.6058315320000001
ssw__glyc_ale1__1,-1.5228850166,-1.840391081,0.146539934
ssw__glyc_ale2__1,-2.1027769556,-2.014333776,-0.531556287
ssw__xyl_ale1__1,-1.478537701,-0.9178816270000001,0.7389606999999999
ssw__xyl_ale2__1,-1.2847424127,-1.276502756,1.012894728
ssw__xyl_ale3__1,-0.6928825125,-0.62991425,-0.29495908800000004
ssw__glc_ac_ac2__1,-3.8107158137,-2.520413791,-0.96741727
ssw__glc_ac_glc1__1,-0.0899237559,-1.224603361,0.311470907
ssw__glc_glyc_glc__1,-3.3241447929,-2.391899601,-0.039891437
ssw__glc_glyc_glyc__1,-3.3142012206,-1.809625014,0.28964174200000004
ssw__glc_xyl_glc__1,-0.5966870486,-1.702284922,0.16901274900000002
ssw__glc_xyl_xyl__1,0.1826692685,-1.114632879,-0.256584386
ica__wt_glc__1,0.5862054863,-0.48924207100000006,0.536086352
ica__wt_glc__2,1.0483897686,-0.44371687400000004,0.60823098
ica__wt_glc__3,0.4101759486,-0.639568298,0.9963818190000001
ica__wt_glc__4,1.0972144065,-0.46336303900000003,0.9912855780000001
ica__arg_sbt__1,-2.3696018915,-1.640522642,-0.13056905300000002
ica__arg_sbt__2,-3.2737396023,-1.358101252,-0.237733829
ica__cytd_rib__1,-5.1814559133,-1.682871733,1.727459923
ica__cytd_rib__2,-4.2602768408,-1.281195899,1.723832325
ica__gth__1,0.8145754493,0.141178531,1.619318436
ica__gth__2,0.0090737486,-0.108446105,1.347073876
ica__leu_glcr__1,-0.7832398698,-0.61116224,-0.08783911
ica__leu_glcr__2,-1.1798491494,-0.9758279510000001,-0.071661026
ica__met_glc__1,1.2660692634,-0.5465688200000001,-0.365151873
ica__met_glc__2,0.9164212865,-0.762032483,-0.26742482100000003
ica__no3_anaero__1,1.7457332399,0.044034877,0.35565307500000004
ica__no3_anaero__2,2.1828814585,0.15719406800000002,0.243595146
ica__phe_acgam__1,0.5271047319000001,-0.527974819,0.312601352
ica__phe_acgam__2,0.5251457412,-0.55948039,0.229827688
ica__thm_gal__1,-2.2639716939,-0.7654452860000001,0.9162626720000001
ica__thm_gal__2,-2.5889530258,-0.722156672,1.106548924
ica__tyr_glcn__1,0.9959840082,-0.6087719420000001,1.073163253
ica__tyr_glcn__2,1.3362211137,-0.294204332,1.080070089
ica__ura_pyr__1,-0.08113022880000001,-0.852576317,0.5209678790000001
ica__ura_pyr__2,-1.1417297156,-1.083916212,-0.010733329000000002
ica__wt_glc__5,0.8661943042,-0.7858477880000001,0.849429485
ica__wt_glc__6,1.0505386041,-0.6891018480000001,0.83169022
ica__bw_delpurR_cytd__1,2.1329889025,-0.050352727,0.364709428
ica__bw_delpurR_cytd__2,2.8495449909,-0.086426218,1.294017643
ica__ade_glc__1,2.5183580971,-0.188391042,1.221383311
ica__ade_glc__2,2.4860952434,-0.17596999600000002,0.21529129700000002
ytf__wt_glc__1,0.6704275858000001,-0.7697113010000001,0.07266683900000001
ytf__wt_glc__2,0.831235958,-0.533344393,0.10763784500000001
ytf__delyafC__1,-1.5225651173,-0.744089436,0.015395037
ytf__delyafC__2,-1.3530276231,-1.089780789,0.055214184000000006
ytf__delyeiE__1,-0.5208062295,-0.373213897,-0.080530396
ytf__delyeiE__2,-0.08525804470000001,-0.5562926420000001,-0.38564570400000003
ytf__delyiaJ__1,-0.9223547134000001,-0.44873603900000003,-0.24144220700000002
ytf__delyiaJ__2,-1.3402649174,-0.688381247,-0.07459801
ytf__delyieP__1,-0.028694426300000003,-0.13336662700000002,0.057310304000000006
ytf__delyieP__2,0.3862530339,-0.32737612800000004,0.232458086
ytf__wt_ph5__1,1.7411641452,-0.289397032,-0.042318098000000005
ytf__wt_ph5__2,1.6052258904,0.074599124,0.197030961
ytf__wt_ph8__1,2.2780763427,-0.657200687,-0.47508237400000003
ytf__wt_ph8__2,1.8453778541,-0.194745583,-0.357764639
ytf__delybaO__1,-1.4640420343,-0.608169109,0.01613163
ytf__delybaO__2,-0.4734338865,-0.170264261,0.066259151
ytf__delybaQ__1,0.9070896647000001,-0.360909706,-0.23739415500000002
ytf__delybaQ__2,1.7492741099,-0.175935699,-0.300669315
ytf__delybiH__1,0.0781997184,-0.7928560610000001,0.057239185000000005
ytf__delybiH__2,0.060103682400000004,-0.8864686430000001,0.368186601
ytf__delydcI_ph5__1,1.6051750261,-0.23815723800000002,-0.014310486
ytf__delydcI_ph5__2,1.704607218,-0.198059534,-0.017417973
ytf__delydcI_ph8__1,2.3380709389,-0.429967839,-0.42627742900000004
ytf__delydcI_ph8__2,2.3080037941000002,-0.10584597500000001,-0.553583463
ytf__delyddM__1,0.0963555199,-0.6514130610000001,-0.094905639
ytf__delyddM__2,0.6046350014,-0.849020784,-0.14181057700000002
ytf__delyheO__1,-1.715929384,-0.96356856,-0.07836021800000001
ytf__delyheO__2,-1.3855709104,-1.450843609,-0.19436109000000001
fps__bw_glc__1,1.6097659311,0.257125587,-0.582087729
fps__bw_glc__2,1.4098764942,-0.30742683800000004,-0.7254610840000001
fps__fps_thrA_ale1__1,0.1948436113,-0.538195759,-0.5721453830000001
fps__fps_thrA_ale1__2,-0.4829783694,-0.606002448,-0.586993246
fps__fps_thrA_ale2__1,0.20623692570000002,-0.7013698140000001,-0.7468564120000001
fps__fps_thrA_ale2__2,0.12504162,-0.491011297,-0.5945291530000001
fps__fps_serB_ale1__1,0.5528018029,-0.59835445,-0.277726199
fps__fps_serB_ale1__2,0.8896309468,-0.49335980900000004,-0.28610335800000003
fps__fps_serB_ale4__1,0.6307235047,-0.293862224,0.22275460300000002
fps__fps_serB_ale4__2,1.2515078854000001,0.22625992600000003,0.519553453
fps__fps_ptsI_ale1__1,-2.1085569262,-0.783267881,-0.375478387
fps__fps_ptsI_ale1__2,-2.420612662,-0.867686696,-0.21288178800000002
fps__fps_ptsI_ale3__1,-0.8954048680000001,-0.37676478100000005,-0.48137359700000004
fps__fps_ptsI_ale3__2,-1.3869461218999999,-0.676224316,-0.517921119
pal__lyx_ale2_f6__1,-4.839924779,-0.613888463,0.7141797010000001
pal__lyx_ale2__1,-3.0190035719,-0.983732476,0.48080638700000006
pal__lyx_ale2__2,-2.9614845067,-0.9409204320000001,0.366888196
pal__lyx_ale4__1,-3.6344699024000002,-1.056993166,-0.036476474
pal__lyx_ale4__2,-3.1237714252,-1.109620857,-0.21344929999999998
pal__5drib_ale10_f18__1,-2.3821737759,-0.852240671,0.41807318
pal__5drib_ale10_f18__2,-2.1903132545,-0.786992573,0.3575173
pal__5drib_ale10__1,-2.1791264978,-0.6363781900000001,0.274497779
pal__arab_ale14_f9__1,-1.4268980426,-0.426336694,0.284585283
pal__arab_ale14_f9__2,-1.5938700743,0.002957257,0.323515314
pal__arab_ale14__1,-1.2959679216,-0.5685782180000001,-0.19847128500000003
pal__arab_ale14__2,-1.2986520062,-0.31374578200000003,-0.132491605
pal__arab_ale16__1,-0.9354066189,-0.846536198,-0.061390128
pal__arab_ale16__2,-0.8340623792,0.013411995000000001,0.36534306800000005
pal__tartr_ale26_f10__1,-4.4759426145,-0.8636393290000001,0.595032419
pal__tartr_ale26_f10__2,-4.2033177409,-0.8530893020000001,0.679739133
pal__tartr_ale26__1,-4.7992435889,-0.977552378,0.582894667
pal__tartr_ale26__2,-2.8691511586000003,-1.394065505,0.621012782
pal__tartr_ale28_f10__1,-3.851611673,-0.39264112,0.729820321
pal__tartr_ale28_f10__2,-4.3467486549,-0.890891482,0.856198306
pal__tartr_ale28__1,-3.4644823785,-1.125315874,0.36382953700000004
pal__tartr_ale28__2,-2.3149403644,-0.599720873,0.303350192
efeU__delmenFentC_citr__1,0.5861234919,-0.9871519790000001,-0.348808544
efeU__delmenFentC_citr__2,-0.74296934,-1.32923092,-0.42897812300000004
efeU__delmenFentC__1,0.1755378564,-0.678218972,0.205344877
efeU__delmenFentC__2,0.7544144633000001,-0.529226995,0.05521464
efeU__menFentC_ale39__1,0.0839103101,-1.190362363,-0.296803667
efeU__menFentC_ale39__2,-0.08438925080000001,-1.260593799,-0.31953858100000004
efeU__menFentC_ale29__1,0.0436355345,-1.6743889630000002,-0.09651583200000001
efeU__menFentC_ale29__2,0.2227831483,-2.154339338,0.070869817
efeU__menFentC_ale30__1,1.9933536936,-1.092718919,-0.323101534
efeU__menFentC_ale30__2,1.8653231793,-0.979928753,-0.792222834
efeU__menFentCubiC_ale36__1,-0.2886493057,-1.230232869,0.014541183000000001
efeU__menFentCubiC_ale36__2,0.1548465401,-0.763539292,-0.086657416
efeU__menFentCubiC_ale37__1,0.48534557380000004,-0.633291595,-0.102790637
efeU__menFentCubiC_ale37__2,0.1830889635,-0.356925965,-0.052667199000000005
efeU__menFentCubiC_ale38__1,2.4303982362,0.012154378,-0.164107983
efeU__menFentCubiC_ale38__2,2.3409776036,-0.590712525,-0.23260275200000002
misc2__salc_glc__1,33.4108307347,5.737971181,2.288917878
misc2__salc_glc__2,32.6132723765,5.253908031,2.498367557
misc2__dbcn_glc__1,1.2888846905,-0.62801937,0.226575079
misc2__dbcn_glc__2,1.2558784295,-0.722225325,-0.075767003
misc2__tyr_glc__1,2.1466984279,-0.290474895,1.441812423
misc2__tyr_glc__2,2.3938287193,-0.259239846,1.642370576
misc2__arg_cytd__1,1.7001285926,-0.496733246,0.15393473800000002
misc2__arg_cytd__2,1.6445397430000002,-0.26860588,0.366513111
misc2__delyheO_pyr__1,-0.7157096043000001,-0.352183093,-0.607668796
misc2__delyheO_pyr__2,-0.5272991357,-0.70050008,-0.672759141
nquinone__delubiC__1,0.5303801495,-0.309595974,0.937612537
nquinone__delubiC__2,0.8708412552,-0.628778135,0.9646952790000001
nquinone__ubiC_ale1__1,-0.1952558114,-0.699412542,0.19236920700000001
nquinone__ubiC_ale1__2,0.8273842682,-0.20041160600000002,0.008375839000000001
nquinone__ubiC_ale2__1,0.6647117954,-0.36386517100000004,-0.398176955
nquinone__ubiC_ale2__2,0.5346349606,-0.8377728750000001,-0.41435606
nquinone__ubiC_ale3__1,-0.1024838998,-0.723707337,0.937879007
nquinone__ubiC_ale3__2,0.008667158900000001,-0.5866396690000001,1.025408709
nquinone__ubiC_ale4__1,0.8437006353000001,-0.531919045,-0.28386753600000003
nquinone__ubiC_ale4__2,1.1139518171,-0.31368665300000004,-0.14216837400000001
nquinone__delpdhR__1,0.3985803223,-0.6843910040000001,1.185718507
nquinone__delpdhR__2,0.3067682886,-0.699578722,1.217115377
quinone__glu_ale4__1,1.4821429289,-0.8527368070000001,0.7112828670000001
quinone__glu_ale4__2,-0.0084721415,-1.900790844,1.293714428
quinone__delmenF__1,1.3741128702,-0.13163307100000002,-0.19418774300000002
quinone__delmenF__2,1.7502869665,-0.184748343,-0.446991607
quinone__menF_ale5__1,-1.5292586047999999,-1.468804878,-0.18122058400000002
quinone__menF_ale5__2,-0.9902313059000001,-1.459526372,-0.501705238
quinone__menF_ale6__1,-1.6347071716000001,-1.5252575350000002,-0.464495824
quinone__menF_ale6__2,-1.7797812235000001,-1.504454168,-0.43577079100000005
quinone__menF_ale7__1,-1.8956878717,-1.081409518,-0.552582688
quinone__menF_ale7__2,-2.0326359108,-1.313315864,-0.7681139920000001
quinone__menF_ale8__1,-0.5080123655000001,-2.087990539,-0.368711977
quinone__menF_ale8__2,-0.7270262056,-1.8564612,-0.082389395
quinone__delmenFubiC__1,1.2810938729,-0.7291906920000001,-0.279188492
quinone__delmenFubiC__2,1.0919531539,-0.9591068030000001,-0.366937877
quinone__menFubiC_ale1__1,-2.073937769,-1.784373019,-0.6983113830000001
quinone__menFubiC_ale1__2,-2.1080312193,-1.362748163,-0.781789653
quinone__menFubiC_ale2__1,-2.6819717645,-1.5762116499999999,-0.663617764
quinone__menFubiC_ale2__2,-3.2266828844,-1.5988119470000002,-0.6097586580000001
quinone__menFubiC_ale3__1,1.1371697131,-0.647397427,-0.452195018
quinone__menFubiC_ale3__2,0.7044354903000001,-0.8321530540000001,-0.17128129
quinone__menFubiC_ale4__1,-0.3713392076,-1.62171194,0.133127352
quinone__menFubiC_ale4__2,0.12273674990000001,-1.5346989080000002,0.333300558
oxyR__wt_glc__1,1.0581921476,-0.628409377,1.007128284
oxyR__wt_glc__2,1.110103301,-0.41121028,1.087745393
oxyR__wt_h2o2__1,1.8529006955,-0.42754717600000003,0.87050229
oxyR__wt_h2o2__2,1.3228594403,-0.33096564,1.103777769
oxyR__glu_ale4__1,2.1188921826,-0.689931727,0.433238689
oxyR__glu_ale4__2,2.0025984096,-0.37201773,0.14594952
oxyR__glu_ale4_h2o2__1,1.7201223014,-0.622128016,0.49730589999999997
oxyR__glu_ale4_h2o2__2,1.7739398773000001,-0.21657414,0.50563114
oxyR__oxyR_ale17__1,2.8930769922,0.042878702000000005,0.353451509
oxyR__oxyR_ale17__2,3.0544685802,-0.09922934500000001,0.27063844
oxyR__oxyR_ale17_h2o2__1,2.5793789043,-0.239383792,0.31359799800000004
oxyR__oxyR_ale17_h2o2__2,2.3839048744999998,-0.331682755,0.382916862
oxyR__oxyR_ale18__1,1.1721480216,-0.6088088620000001,0.32528381300000003
oxyR__oxyR_ale18__2,1.0440898332,-0.707012645,0.5884131650000001
oxyR__oxyR_ale18_h2o2__1,1.8104492139000001,-0.402796078,1.042610834
oxyR__oxyR_ale18_h2o2__2,1.9757262577999999,-0.557496454,1.221139871
oxyR__oxyR_ale19__1,1.450103734,-0.797249627,-0.134448313
oxyR__oxyR_ale19__2,1.3835606904,-0.846687886,0.21441790500000002
oxyR__oxyR_ale19_h2o2__1,1.9307749565,-0.307575576,0.096532712
oxyR__oxyR_ale19_h2o2__2,1.4523100254,-0.599811875,0.04708496
oxyR__oxyR_ale20__1,1.9774032769,-0.11699039900000001,-0.058755673
oxyR__oxyR_ale20__2,2.0273552304,-0.544353898,0.20389384100000002
oxyR__oxyR_ale20_h2o2__1,2.3031298903,-0.36697742,0.294385132
oxyR__oxyR_ale20_h2o2__2,2.1379795883,-0.13176893,0.27543452100000004
svns_pgi__BmePgi24_15__1,1.1738225306,-0.41445121100000004,-0.519129999
svns_pgi__BmePgi24_15__2,1.3098168326000001,-0.265941388,-0.600278673
svns_pgi__BmePgi24_26__1,1.2919339618999999,-0.864381285,-0.6782134940000001
svns_pgi__BmePgi24_26__2,1.4679625431,-0.6144853840000001,-0.498283864
svns_pgi__BmePgi24_41__1,2.2400159933,-0.652586815,-0.25564327200000003
svns_pgi__BmePgi24_41__2,1.8018801615000002,-0.746488553,-0.451009631
svns_pgi__BmePgi24_52__1,1.063593798,-0.931526158,-0.5422890730000001
svns_pgi__BmePgi24_52__2,1.3593092204000001,-0.8050495,-0.523007067
svns_pgi__PaePgi2_34__1,-0.9795724267,-0.188886831,-0.554341273
svns_pgi__PaePgi2_34__2,-2.0314416245,-0.5434460670000001,-0.6548360510000001
svns_pgi__PaePgi2_63__1,-0.721059039,-0.8613455999999999,-0.7143586710000001
svns_pgi__PaePgi2_63__2,-0.7692480454,-0.8300061620000001,-0.708779873
svns_pgi__PaePgi24_54__1,0.2181065084,-0.20181231,-0.49240049300000005
svns_pgi__PaePgi24_54__2,0.3225613392,-0.25467412700000003,-0.38008471200000005
svns_pgi__PaePgi24_90__1,0.214713281,-0.640860753,-0.5800523860000001
svns_pgi__PaePgi24_90__2,0.7490414026000001,-0.6580301310000001,-0.55976437
abx_media__m9_ctrl__1,-0.8447901078000001,-1.057066801,-1.244746531
abx_media__m9_ctrl__2,0.2617827826,-0.9860067050000001,-1.235875591
abx_media__rpmi_ctrl__1,3.0534517595,-0.19585618400000002,-1.9887364390000002
abx_media__rpmi_ctrl__2,1.6833152944,-0.301798875,-2.144689744
abx_media__camhb_ctrl__1,7.1436635406,0.5105705620000001,-2.300491931
abx_media__camhb_ctrl__2,6.3024053117,0.22058898300000002,-1.83735727
abx_media__m9_mero__1,1.1144179477,-0.900616155,-1.784914182
abx_media__m9_mero__2,-0.1665975465,-1.207664414,-1.4151170990000002
abx_media__rpmi_mero__1,2.6895757102999998,-0.96487039,-2.594539486
abx_media__rpmi_mero__2,2.8800989418,-0.620126014,-2.265990276
abx_media__camhb_mero__1,8.0356055137,0.811267633,-2.220054798
abx_media__camhb_mero__2,7.3332437429,0.644748077,-2.03894833
abx_media__m9_trisulf__1,-0.7766804265,-1.771740525,-0.38811707300000003
abx_media__m9_trisulf__2,-1.4424879846,-1.821207018,-0.257974068
abx_media__rpmi_trisulf__1,3.761237099,0.192936149,-1.239705675
abx_media__rpmi_trisulf__2,3.7906626431,0.21860812500000001,-1.319385668
abx_media__camhb_trisulf__1,4.8550608373,0.589706024,-1.450161316
abx_media__camhb_trisulf__2,4.6462475227999995,0.5695458830000001,-1.411248032
abx_media__m9_cef__1,-0.4716869629,-0.7112150490000001,-0.90813756
abx_media__m9_cef__2,-0.6401642482000001,-0.9327568020000001,-0.597109907
abx_media__rpmi_cef__1,5.2783590749,0.121150379,-1.4205879430000001
abx_media__rpmi_cef__2,5.9382199276000005,0.08120527,-1.509381452
