,A,TdcA,Crp,Fnr,ihfB
abx_mega__ramo_h2o__1,-8.0280806448,-2.4748186906000003,-0.3443110079,-0.8002749045,-0.9701385051
abx_mega__tec_h2o__2,-8.9619999537,-4.0272598349,-0.9407234058,-1.6551107114999999,-0.8524414069
abx_mega__h2o-7__1,4.8723129106,0.09228012270000001,-0.0040549861000000005,0.21844817860000001,-1.405760481
abx_mega__cro_h2o__1,1.7727325431,-1.1838603509,-0.1478341465,0.0879280571,-2.0779262437
abx_mega__tric_ethanol__1,-10.4202508514,-5.0840157609,-0.1558928562,0.8900785727,-0.1903310601
abx_mega__nor_naoh__1,1.0680353673,0.6115764904000001,0.2764607147,-0.0313845657,-1.0812140072
abx_mega__teix_dmso__2,0.0444180886,0.4533335522,-0.14661147630000002,-0.4150383489,-0.026524093000000002
abx_mega__nal_naoh__3,-0.3790062239,-0.0223811932,0.2201400917,0.2272209504,-1.0022560843
abx_mega__novo_h2o__2,-6.3064543217,-3.5847989215,0.1874058842,0.16806743940000002,-1.7171008209
abx_mega__dmso-10__2,6.0176066519,-0.141072982,0.0513472187,0.40832126950000003,-0.8705550239000001
abx_mega__phos_h2o__3,1.6874411046,0.9435915226,0.3866879371,0.0877333852,-0.6341559143000001
abx_mega__dmso-6__2,1.2629041514,0.7674711111,-0.0602559214,-0.1654402185,0.5477587571
abx_mega__rfp_ethanol__1,-7.3107707357,-5.4306444237000004,-1.4743546362,-0.12067474560000001,-1.3179166312000001
abx_mega__dmso-5__3,1.2581911831,-0.17081498250000002,-0.13444608700000002,0.1613415464,-0.09633023900000001
abx_mega__amyc-d_dmso__1,-7.9520577496,-2.1226255579,-1.621907484,0.257224454,0.6487792296
abx_mega__sxt_dmso__1,5.5367809993,-0.21281922690000002,-0.0376343135,0.047755995,-1.398343179
abx_mega__dmso-1__1,4.775867816,0.6277245686,-0.0810478849,-0.1308553567,-0.0548211138
abx_mega__pen_h2o__1,-4.7753534531,-0.6158432408,0.1296583874,-0.3609283863,-0.4764255264
abx_mega__dmso-10__3,3.5441201072,-0.1349421612,0.2017965224,0.20815252,-0.9915859493
abx_mega__nal_naoh__4,0.8947857444,-1.1334690913,0.1490464558,0.0028938907,-1.1529412139
abx_mega__cip_naoh__1,0.4692474522,-1.4414703663,0.2623448043,0.11078089020000001,-1.0626874924
abx_mega__pen_h2o__2,-5.3440384636000005,-0.7866331791000001,-0.22631582460000002,-0.2836689398,-0.9260874235000001
abx_mega__ery_dmso__2,-10.2648901835,-4.3525877331,-1.9945889461,0.0804674744,-1.3048554744
abx_mega__dmso-2__2,6.0386819492,-2.7326540349,-0.303318389,-0.2221077391,2.186138402
abx_mega__van_dmso__2,-11.4467798014,-5.3775482506,-0.9213934478,0.6605546913,0.9100277827000001
abx_mega__h2o-1b__1,-0.1549755679,-1.7219819287,-0.5542551321,0.030807355300000002,-0.8877531976
abx_mega__ery_h2o__1,-11.7788771882,-4.1519796136,-2.4371824129,0.1635488437,-1.5251338072
abx_mega__bacit_h2o__1,-10.1377430479,-7.1439531096,-0.6975730314,-0.4774994905,-1.4504833334
abx_mega__chl_h2o__2,-11.2733099164,-4.7659490854,-2.788252041,0.0987552064,-1.2200697843000001
abx_mega__str_h2o__2,-7.3276688883,-4.3246436493000004,-0.46271994780000003,0.2741965069,1.7775761065
abx_mega__rfp_ethanol__2,-6.1780919674,-6.1884403893,-1.0117169578,0.12295077100000001,-1.2855187251
abx_mega__polmyx_h2o__2,-4.4073991238,-0.4682845056,-0.1729404675,-0.3737381984,-0.8769879084000001
abx_mega__tric_h2o__1,-6.842133514,-1.1839534839,0.2138522692,1.3424886167,-1.2793691829
abx_mega__cip_naoh__2,-2.0285338668,0.21098904710000002,0.22403181360000002,0.09932130680000001,-1.080054735
abx_mega__novo_h2o__3,-5.241823926,-3.2202330761,-0.09237995040000001,0.0559133562,-1.4207421173
abx_mega__bacit_dmso__1,-7.9354918467,-1.147787117,-0.38942819040000004,-0.2242105774,-0.36320266970000004
abx_mega__gen_h2o__1,-12.6309199438,-7.3204915124,-1.1362642293,0.41129122560000003,3.0734252999
abx_mega__bacit_dmso__2,-8.7480602318,-1.7967814056,-0.41342659340000004,-0.2049744387,-0.1474923579
abx_mega__chl_dmso__1,-12.1110048611,-5.5861209091,-1.6036324816,0.1866328231,-0.8603384773
abx_mega__bacit_h2o__2,-6.0930187004,-3.7027083609,-0.5104274184,-0.8589924069,0.0810143052
abx_mega__lvx_dmso__1,2.8487847311000003,-0.234393661,-0.1584196907,-0.18501779240000002,-0.8766338815
abx_mega__bacit_h2o__3,-11.6381944297,-6.8867142336,-0.6589226995,-0.3986390476,-1.0401998064
abx_mega__nor_naoh__2,0.10471759100000001,1.0898572084,0.1764471632,-0.11461450370000001,-1.1131732022
abx_mega__amyc-d_dmso__2,-7.5311483164,-1.5185162182,-0.5799739837,0.1534325597,1.1241333731
abx_mega__polmyx_h2o__3,-6.8238926353,-4.7490663312,-0.6950204566,0.4256416268,1.0533152899
abx_mega__naoh-6__1,-0.8683054504000001,-0.1275153815,0.245553549,0.1918842788,-0.2205498512
abx_mega__cst_h2o__2,-4.6109396851,-1.0505133185,-0.24882076420000002,0.2575678173,-0.9253991697
abx_mega__h2o-1b__2,-1.0984147465,-5.0058959803,-1.0972302127,0.7809611414000001,-0.6949207847000001
abx_mega__rfp_h2o__1,-5.1168761363,-2.3301074069,-2.0210704043,-1.0905972262999999,0.3662144094
abx_mega__tet_h2o__1,-10.9639574422,-3.1729017181,-1.6584843203,0.0295461953,-0.9221896544
abx_mega__flavo_dmso__1,-5.4916502271,-1.4394274179,-0.2397944182,-0.9098451584,-0.3053163494
abx_mega__zeocin_h2o__1,-1.2702638209,-0.1972016486,0.1989831632,0.11093211330000001,-1.4155199507
abx_mega__nor_naoh__3,-0.5038789262,0.4053177043,0.10670366340000001,-0.2660034833,-1.0599211097
abx_mega__rach_dmso__2,0.19557724840000001,-1.1726018498,-0.1227589166,0.1360391327,-1.4386345449
abx_mega__thio_dmso__2,-13.3799030757,-6.1905471837,-1.4531793695,0.3253789217,-0.2803295697
abx_mega__amyc-d_dmso__3,-8.4318665587,-2.5194065204,-1.642695013,0.33467356740000004,0.6293734383
abx_mega__rif_dmso__2,-1.9742002140000001,1.2353947439,-0.659556922,-0.7654036895,-0.2010869699
abx_mega__amyc-d_dmso__4,-6.5141838399,-0.7077741966000001,-0.5482364304,0.0720316185,1.2525770415
abx_mega__teix_dmso__3,1.9908946486999999,0.411611569,-0.1455592358,-0.1127364899,-0.2896248806
abx_mega__valin_dmso__1,-5.4233912574,-0.9321495788,-0.6506498564000001,-0.1452747475,-0.5997892775
abx_mega__teix_dmso__4,1.4687630259,0.5311384346,-0.0665078507,-0.2103049645,0.1237988565
abx_mega__ethanol-10__1,-3.4581327643,-0.0918938229,0.0163008612,0.6194313426,-1.5734086149
abx_mega__inh_h2o__1,1.2725343211,-0.2341529617,0.3281616036,-0.0340580552,-1.8638919299
abx_mega__rif_dmso__3,2.1390377803,-0.3964084042,-1.3897674496999999,-1.5589165824,0.6829585180000001
abx_mega__van_dmso__3,-10.7961774651,-4.2562455302,-0.94657928,0.2389667466,0.9236742301
abx_mega__doxo_dmso__1,3.4078043281,-1.0789159488,-0.11358356480000001,-0.1301723133,-1.7925095215
abx_mega__tmp_dmso__1,4.973882148,2.0963188708,0.2090437913,0.0567992999,-1.0856227286
abx_mega__ethanol-10__2,-1.6555848676,0.1733678075,0.156288703,0.4463184544,-1.5969538419
abx_mega__tmp_dmso__2,6.6891643751,2.5214690968999998,0.1914919696,-0.011770757000000001,-1.1365814194000001
abx_mega__amyc-d_dmso__5,-10.6346366001,-2.682993469,-1.6521756011000002,0.4703427457,0.9335471945
abx_mega__novo_h2o__4,-7.5997504914,-3.1302103024,-0.2527058608,0.7891519738,-0.9001345086
abx_mega__cro_h2o__2,-1.4260202459,-1.6187265941,-0.30657057660000003,0.0823465979,-1.5787237146000002
abx_mega__cro_h2o__3,-2.412988517,-1.176488091,-0.2669976047,-0.21446519260000002,-1.5363409356000002
abx_mega__gen_h2o__2,-14.4017634805,-7.6070053445,-1.0307723459,0.5545946817,3.3245249795
abx_mega__phos_h2o__4,-2.7778705162,-5.2821846205,-0.0309958632,-0.1556899832,1.3672523569
abx_mega__metro_dmso__2,-4.9628727672,-1.9280356719,-0.3804310446,0.40866825960000003,-0.2511288672
abx_mega__ery_h2o__2,-12.194872581,-3.2006926615,-2.3462003852,-0.0307498051,-1.2241393744
abx_mega__sacet_h2o__1,-13.8912743352,-6.3993351689,-0.6041545277,1.8984960352,2.2712715973
abx_mega__nal_naoh__5,0.5939777568,-0.40822278100000003,-0.054980210200000004,0.11935505780000001,-1.1236160881
abx_mega__bacit_h2o__4,-9.953408147,-5.2368966434,-0.7076949831,-0.7716038602,0.16848949670000002
abx_mega__cip_naoh__3,3.6257508844,-0.38996890630000003,0.1102525246,-0.1062377801,-1.2601444012
abx_mega__ethanol-8__1,6.8535040279,1.1157658197,-0.0590977866,-0.0429042057,-1.4558741109
abx_mega__h2o-8a__1,-9.524910763,-1.184015287,-0.22081801820000002,-0.1697118587,-1.5760854295
abx_mega__ery_h2o__3,-11.0359249961,-3.2613960131,-2.3057897995,-0.046749594000000005,-1.4715961776
abx_mega__flavo_dmso__2,1.7949187367000001,-1.3054863298,-0.3165443482,0.060263538500000005,-1.5589412839999999
abx_mega__rif_dmso__4,0.7865813306,-0.5398184223,-1.5399098517,-1.4686879149,0.3994912939
abx_mega__novo_h2o__5,-5.8396251627,-4.0908625537,-0.3411830033,0.2258676651,-0.9678017240000001
abx_mega__teix_dmso__5,6.8876084479,0.9418087845,-0.0340696975,-0.0180107938,-0.9608040567
abx_mega__naoh-2__1,-3.0487108493,-5.6646244158,-0.31705369640000003,0.12440957970000001,1.2447894583
abx_mega__novo_h2o__6,-6.9358383906,-3.9625171594,-0.5697764494,0.7205527484,-1.191436742
abx_mega__ctx_h2o__3,-3.1105977087,-1.9792490203000002,-0.31765341210000003,-0.064859922,-1.9337324817
abx_mega__rach_dmso__3,-0.629589132,-1.4077369537,-0.25011430100000004,-0.0946227506,-1.1366547883
abx_mega__valin_dmso__2,-3.3662136559,0.1957936825,-0.8373204843000001,-0.1504039911,-0.7399595053
abx_mega__amyc-d_dmso__6,-11.6089117553,-4.8034222478,-1.2728116676,1.0932260792,0.923138631
abx_mega__dox_dmso__2,-2.6013971407,1.090025832,-0.025511662,-0.3495048284,-0.6534829936000001
abx_mega__teix_dmso__6,8.0863707879,1.1481688392,0.1480773849,-0.19216870800000002,-1.1495585992
abx_mega__naoh-6__2,-0.64986287,-0.3328441488,0.1439389809,0.2508705046,-0.3206835072
abx_mega__inh_h2o__2,-12.5132914833,-3.611876243,0.0779751018,1.0236963855,-0.8808770448000001
abx_mega__chl_h2o__3,-10.5535740002,-5.0319465731,-2.8414442095,0.8645055481,-2.0232756272
abx_mega__nal_naoh__6,-0.6681202313,-0.3798827402,0.0426535923,0.1051428429,-1.1867332256
abx_mega__chl_dmso__2,-10.6989693348,-4.5525928372,-1.6022828696,0.2708431966,-0.9006154946
abx_mega__rach_dmso__4,4.9374494957,-0.7079410319,-0.0800003088,0.2606390819,-1.631366638
abx_mega__teix_dmso__7,5.0703264141,-0.22907287070000001,0.0001683552,0.3504676022,-1.033868219
abx_mega__ceru_ethanol__1,-5.8287622482,-2.184080847,0.1315329539,1.4535275098,-0.7600665551
abx_mega__dmso-7__1,5.6330719056,0.6646984372,-0.1486598298,0.0944210472,-0.4911206664
abx_mega__naoh-6__3,-0.534611645,-0.020729601,0.232671539,0.2067024995,-0.30821672310000003
abx_mega__phos_ethanol__2,3.665887691,0.4120746389,0.2168248136,0.5219782296000001,-1.1953659872
abx_mega__metro_dmso__3,-5.0734127919,-2.2018208337,-0.3791651303,0.5121052174,-0.137280135
abx_mega__van_dmso__4,-11.9303094421,-4.2161526567,-0.8353134788000001,0.28659288180000003,1.2171043994
abx_mega__h2o-10__1,-9.4953338834,-1.7889269605,-0.0202364792,0.2130377387,-1.5275886062000001
abx_mega__h2o-10__2,-7.330176561,-1.235796256,-0.0607073754,0.1522575818,-1.9308061206
abx_mega__dmso-6__3,1.4532592091,1.1039290995,-0.2527744328,-0.35454569550000004,0.33441959600000004
abx_mega__mem_dmso__1,0.4983262104,-0.5977483294,-0.1981004934,-0.3062884087,-1.6562199957
abx_mega__ethanol-8__2,6.3021091024,1.0886321382,-0.021523506600000002,-0.0252304237,-0.9106399612
abx_mega__chl_h2o__4,-9.6370274501,-5.7013813278,-2.6700349591,0.7271274121,-1.9080504914
abx_mega__van_h2o__1,-6.8393658083,-1.6362160725,-0.9103162108,-0.903332961,-0.9515812199
abx_mega__dcs_h2o__1,5.6969603981,0.024936968400000002,0.0943710534,0.6936041281,-1.2671154485
abx_mega__rif_dmso__5,-0.2461121862,0.6993851364,-0.1829334597,-0.7666040526,-0.0163777134
abx_mega__dox_dmso__3,-4.7923371579000005,-1.765383549,-0.3972091841,0.2468405504,-1.1819124107
abx_mega__mem_dmso__2,-6.1393290468,-0.20856180670000002,-0.2638287498,-0.4892115863,-0.8976499983
abx_mega__lvx_dmso__2,-0.24763121200000002,-0.6919575522,0.0417388443,-0.129152751,-0.7905816784
abx_mega__tet_h2o__2,-10.3483187744,-3.6129132497,-2.2693012292,0.2983443387,-0.8527907562
abx_mega__phos_h2o__5,0.040787415800000004,-4.3036008438,-0.1972134109,0.12871355610000002,1.3728449627
abx_mega__monac_dmso__1,-12.6932353063,-5.7322776624,-0.8663395759,1.4088048351,0.5807675425000001
abx_mega__str_h2o__3,-4.4947644168,-1.5279000303,0.1259657223,0.08708125080000001,-1.8941859509
abx_mega__zeocin_h2o__2,-4.5274191347,-2.5471427035,-0.6476176532,-0.42460153910000004,0.3180122541
abx_mega__amyc-d_dmso__7,-12.3065650936,-5.2220770024,-1.42088019,0.9037219768,0.8686363537
abx_mega__fidax_dmso__1,4.1957651551,-0.4766996283,0.007690172800000001,0.35278275610000004,-0.8441132099
abx_mega__h2o-1a__1,-0.0055666027,0.1495748664,0.0575483496,-0.1301828894,0.0625105212
abx_mega__dox_dmso__4,-1.2569898958,0.5545441710000001,0.2665585241,0.1499766492,-0.8835196625
abx_mega__lzd_dmso__2,-14.8281927451,-6.9308995524,-1.9463157999,0.8640746426,-1.2250992002
abx_mega__tet_h2o__3,-9.672660369,-2.7191961333,-1.5689931018,-0.014793680600000001,-1.2535987095
abx_mega__dmso-1__2,7.4589543955,1.2791143549,-0.0638843971,-0.0468660871,-0.15609256470000002
abx_mega__sxt_dmso__2,-3.8879045028,-0.6348436412,-0.6176702001000001,0.1322961821,-0.5219061525
abx_mega__tric_ethanol__2,-4.032484498,-1.4922726283,-0.058214080700000004,0.619159111,-0.6248932219000001
abx_mega__teix_dmso__8,-1.1301872827000001,-0.6827155229,-0.3208467193,-0.0780351353,-0.8532571789000001
abx_mega__ramo_h2o__2,-6.6116532042,-1.9739649734,-0.3043319677,-0.5733023752,-0.8440673101
abx_mega__inh_h2o__3,0.0030613971,-0.8086692945,0.2263080572,0.3346755523,-1.6423178196000001
abx_mega__cst_h2o__3,-2.1314378979,-2.7030760319000002,-0.6604587882,0.6157335293,-0.7419004346
abx_mega__dmso-9__1,2.8680750903,-0.6256371699000001,0.1652363888,-0.029816820400000003,-1.0228097095
abx_mega__ethanol-8__3,3.0479769568,0.6305724445,0.073808526,-0.1057688244,-0.8209870645
abx_mega__monac_dmso__2,-13.3853633295,-5.432556348,-1.4421129371,1.4863412037,0.5544799185
abx_mega__dmso-9__2,2.0606539707,-0.6880013467,0.0124821121,-0.0200467158,-0.6908904131
abx_mega__metro_dmso__4,-7.2370665394,-2.3121790512000002,-0.0624036472,0.6682181821000001,0.11122089040000001
abx_mega__ctx_h2o__4,-1.9567091944000001,-1.7061346163,-0.3304413054,0.1093383753,-2.1413952496
abx_mega__zeocin_h2o__3,-5.9962510206,-2.0247523893,-0.8187488844,-0.42024945410000003,0.6797201304
abx_mega__bacit_h2o__5,-7.4179302746,-2.4981864451,-0.6212632720000001,-1.0686406259,-0.0813581815
abx_mega__reta_dmso__1,-13.8053071372,-5.6548085543,-2.0377494386,0.2624442987,-0.8155494813
abx_mega__ery_h2o__4,-10.5797580649,-3.8265793883,-2.3919325405,0.1838410419,-1.0687696929
abx_mega__ceru_ethanol__2,-14.6840898615,-6.3734883934,-0.2507206522,1.4458719120999999,0.3147754193
abx_mega__fidax_dmso__2,5.2303093905,0.20746773570000002,0.07346573220000001,0.061060066100000004,-0.7102352016
abx_mega__novo_dmso__1,-8.2508143722,-4.5888752492,0.3143882568,0.8339819837,-0.8855864517
abx_mega__naoh-6__4,-0.5594956377,-0.2292917324,0.1617989176,0.2749615761,-0.3273901919
abx_mega__amyc-d_dmso__8,-6.9670335341000005,-1.0836240111,-0.4081937196,0.1675077619,1.1375522752
abx_mega__chl_dmso__3,-11.5997186996,-5.483225804,-1.7002395932,0.2359552994,-0.8341317912
abx_mega__nal_naoh__7,4.9528510951,0.6370719017,0.1538530863,-0.1143720156,-0.7477767726
abx_mega__teix_dmso__9,6.8355600162,0.194278475,0.1414549701,0.19924687600000002,-1.2438504318999999
abx_mega__ery_dmso__3,-12.6966294673,-4.7118202747,-1.7943494913,-0.1930182149,-1.3600939619
abx_mega__tmp_dmso__3,5.3414542879999996,2.097240555,0.2193526747,0.021624803,-1.2032978044
abx_mega__sxt_dmso__3,5.8598118769,-0.7097368797,-0.3849941899,0.1404174962,-1.5183364254
abx_mega__polmyx_h2o__4,-4.4729542626,-4.4571145102,-0.732440443,0.7190717129,0.8265102893
abx_mega__mem_dmso__3,1.9604169280000001,-0.7023862553,0.1017285234,-0.106792127,-0.8085937780000001
abx_mega__nal_naoh__8,2.5877970424,-3.9597934606000003,-0.2163555027,-0.5226446066,0.6144673881
abx_mega__pen_h2o__3,2.0335624911,0.0744821643,-0.1832599433,-0.9448240483,-0.7307318690000001
abx_mega__van_dmso__5,-11.0074644763,-4.7390233655,-0.9702752261,0.3519942873,1.0924749437
abx_mega__zeocin_h2o__4,-4.3560625972,-3.4291870798,-0.7029806271,-0.3420308308,0.6265042858000001
abx_mega__h2o-6__2,1.7609307474,0.4815768884,0.2689052974,0.2237971175,-0.1930641951
abx_mega__tet_h2o__4,-11.5122331085,-3.970909878,-1.7485042558,-0.09366302650000001,-1.1221989695
abx_mega__nor_naoh__4,-1.1352294508,-1.9090179402,0.2638014382,0.1884711132,-0.8893847205000001
abx_mega__cip_naoh__4,-0.7888987494,0.625728122,0.1813226141,0.1897163396,-1.1343377475
abx_mega__tmp_dmso__4,2.0075875699,0.8463888700000001,-0.0659537084,0.46955750020000003,-1.2139028339
abx_mega__reta_dmso__2,-12.5919553584,-4.303146974,-2.6935232182,0.079054857,-0.8070874991
abx_mega__mem_dmso__4,0.7093496371,-1.8636315043,-0.24608755940000002,0.1562169847,-2.112586486
abx_mega__dox_dmso__5,-8.9217283698,-4.2362570877,-1.4072956342,0.5560831223,-1.1911668779
abx_mega__tmp_dmso__5,10.7113769173,1.2054261312,0.13500124700000002,0.16093619850000002,-0.9323923927000001
abx_mega__flavo_dmso__3,3.6599610981,-0.9804398465,-0.16266356510000002,0.21465859110000002,-1.3161077135
abx_mega__tmp_dmso__6,7.7704895597,1.6771701584,-0.08100398930000001,-0.4506960218,-1.3777511591
abx_mega__ceru_ethanol__3,-9.7516992282,-3.3825756656,-0.0203257193,1.4078249743,-0.1171657056
abx_mega__teix_dmso__10,-2.5743504172,-0.5805376396,-0.0864598209,-0.024926434900000002,-0.49182771470000003
abx_mega__novo_h2o__7,-5.8400482998,-3.5453059146,0.09512308080000001,0.28331731590000003,-1.4181288842
abx_mega__fidax_dmso__3,1.7734202996000001,-1.8886248373,0.056592892000000006,0.1656484172,-0.1270655376
abx_mega__h2o-1a__2,0.7541855632000001,0.32636684190000004,-0.0203162279,0.0397621094,0.019027187600000002
abx_mega__dcs_h2o__2,-2.8640118130000003,-0.7850812652,0.08127249760000001,0.0295181061,-1.3556210419
abx_mega__cst_h2o__4,-4.1101556146,-1.8563383793,-0.42764759150000003,0.6765520599,-0.8715800265
abx_mega__van_h2o__2,-1.4659825503000001,-0.7921618447000001,-0.3318785326,-0.1313395527,-1.0604877154
abx_mega__pen_h2o__4,7.0997465169,0.7505263261,-0.1072682971,-1.1849000443,-1.21089239
abx_mega__h2o-8b__2,2.2660258905,0.0129427194,0.2832759084,0.1917764428,-1.8870095360999999
abx_mega__reta_dmso__3,-10.2334364713,-3.8168163304,-2.220698214,-0.1254083886,-1.3888387334
abx_mega__dmso-7__2,3.3907305784,-0.4250771035,-0.324421403,0.0413045956,-0.8358051031
abx_mega__rfp_h2o__2,-4.807247254,-2.8134792478,-2.078741852,-1.2130654544000001,0.5651488816
abx_mega__rif_dmso__6,-2.3222495691000002,-0.0070137016,-0.8986833081000001,-1.1475451275,0.2685785134
abx_mega__sxt_dmso__4,5.058113268,-1.2199121744,-0.39061972300000003,0.23990241980000002,-1.6003623698
abx_mega__cip_naoh__5,0.9521140531000001,0.9238351274000001,0.5302146851,-0.042177127,-1.1976275807
abx_mega__dmso-9__3,4.835972449,0.1968203249,-0.0648156579,-0.341587067,-0.7254365348
abx_mega__mem_dmso__5,3.2369512008,-0.5310728174,-0.2015433442,0.1067217318,-1.5497718291
abx_mega__tric_h2o__2,-6.7870192011,-1.8340013558,0.0561230447,1.3284647298,-1.4148320002
abx_mega__phos_h2o__6,2.4532336031,0.8647086299000001,0.1840419059,0.13667702310000002,-0.5654554842
abx_mega__h2o-7__2,4.6567560196999995,-0.1515871782,-0.0687134662,0.0400555976,-0.9495107329
abx_mega__h2o-10__3,-5.9100842622,-0.8723616995,-0.0029101905,0.1579017148,-1.5245136858000001
abx_mega__h2o-8a__2,-10.7304203374,-1.4476323154,-0.2414092729,-0.2295144067,-1.1641195583
abx_mega__thio_dmso__3,-7.042397282,-1.646636776,-1.3992598427,-0.40999634500000004,-2.5741590835
abx_mega__lzd_dmso__3,-12.5639557281,-4.2323258219,-1.4757436121,0.41635551470000004,-1.0544668967
abx_mega__monac_dmso__3,-12.3186246079,-5.3050427414,-1.5239909109,0.8852669989,0.8937663383000001
