,A,NanR
SRX5694285,-1.6154153999,-0.5581942916
SRX5694286,-0.8198805859,-0.8091035424
SRX5694287,-4.0518914012,0.3615066307
SRX5694288,-1.4050825285,-0.1996684132
SRX5694289,-0.1535605287,-0.45813530890000004
SRX5694290,-3.2558864366,-0.4740588062
SRX5694291,-3.0148378477,-3.0522385386
SRX5694292,-3.8476811422,-0.3017574448
SRX5694293,-2.1742021091,0.18945872800000002
SRX5694294,-2.7508371731,0.3812857899
SRX5694295,-1.6019445506,-1.2028764885
SRX5694296,-1.4289341305,0.0010585279
SRX5694297,-0.9603742757,0.07519290170000001
SRX5694298,-3.3110042627,-0.154472056
SRX5694299,-1.9469186815000001,0.342388113
SRX5694300,-0.1530802525,-0.5149389744
SRX5694301,-3.0408094574,0.1392144725
SRX5694302,-2.5129489659,-0.385910599
SRX5694303,-2.3919434434999998,-0.4269310142
SRX5694304,-0.3315034937,-0.824420688
SRX5694305,0.587137162,-0.9272380014
SRX5694306,-3.7301688938,1.0892042363
SRX5694307,-4.1208080132,-1.5849085088
SRX5694308,-1.1111910098,-0.7589442310000001
SRX5694309,-5.260301197,-1.722511725
SRX5694310,-2.5157001307,-1.2747504681000001
SRX5694311,-4.1731490938,-1.5194644762
SRX5694312,-3.4299646898000002,0.5286077635
SRX5694313,0.47010949970000004,-1.3071648096000001
SRX5694315,-0.9376294874000001,-0.4733522712
SRX5694317,-2.2850129363000002,0.6643843941
SRX5694319,-1.6964926043,-0.11435882180000001
SRX5694320,-1.3089774648999999,-3.3061841054
SRX5694321,0.4378758079,-0.8179593207
SRX5694322,-2.5956453314,-0.3927898711
SRX5694323,1.8444069644,-0.7178091694000001
SRX5694324,-1.283734755,-0.9230386303
SRX5694325,-3.367116536,-1.3404913663
SRX5694326,-1.7405136223,-0.6528586659000001
SRX5694327,-3.8581628068000002,-0.9434984187000001
SRX5694328,-1.9524196952000001,-0.1939148374
SRX5694329,1.1849970132,-0.20825049510000002
SRX5694330,-2.5747803681,-0.0028447219
SRX5694331,-2.5397824764,-0.29439072800000005
SRX5694332,1.7278631441,-0.840198918
SRX5694334,-2.1843939105,-1.1736125577
SRX5694335,1.0918814961,-1.5382568969000001
SRX5694336,-5.2637409133,-0.7236821920000001
SRX5694337,-3.4718722053,-0.8560714264
SRX5694338,-1.7385128724999999,-0.13524851670000002
SRX5694339,-1.3569635374,-0.4418305574
SRX5694340,-2.8518143643,-0.0598232184
SRX5694341,-3.7915257899,-1.0873544113
SRX5694342,0.900056685,-1.0222860439
SRX5694343,3.4014296636,0.0803554315
SRX5694344,-1.1720234065,-0.5516309664
SRX5694345,-2.6761755014,-0.7478874414000001
SRX5694346,2.7524107776999998,-0.6674564957
SRX5694347,-1.7228829908,-0.0532982481
SRX5694348,-1.1208883845,-0.0533844642
SRX5694349,-1.2786139484999999,-0.36391674760000003
SRX5694350,2.0498542864,-1.1491862355
SRX5694351,-0.2778054672,-1.0045921565
SRX5694352,-1.4089066141,-1.4567224706
SRX5694353,-2.2981559003,-0.3922998313
SRX5694354,-1.0389551936,-0.1715374214
SRX5694356,-2.273927403,-0.3911811579
SRX5694357,-1.6932419239,-0.3625723287
SRX5694358,0.23898884920000002,-3.1769933488
SRX5694359,-1.0777670291,-0.9682728706
SRX5694360,-1.4403991751,-0.7281780005
SRX5694361,-1.8532999742,-0.3635961454
SRX5694362,-1.3566703017,0.7712132092
SRX5694363,-2.9070929848000002,-0.5130256612
SRX5694364,-3.5116903089,-0.7861149362000001
SRX5694365,-8.5773638569,0.4138537902
SRX5694366,-2.8902460309,-0.7013663477000001
SRX5694367,-3.2658078711,-1.2746657843
SRX5694368,-1.7667532338,-0.7008766215000001
SRX5694369,-1.1553061052,-0.163801425
SRX5694370,-0.0190803225,-0.6536664416
SRX5694371,-4.9463684882,-1.6279085011
SRX5694372,-1.4186515242,-0.5506940021
SRX5694373,3.1621165596,-1.3966142263
SRX5694374,-3.0423697126,-3.0724156763
SRX5694375,-2.8867556661,-0.4121276271
SRX5694376,-2.5046958146,-0.2641156062
SRX5694377,-3.6590671178000003,-3.4905560994
SRX5694378,-1.5963302899,-0.6705680238
SRX5694379,-2.230434656,-0.3039073087
SRX5694380,2.3901782545,-0.7081418178000001
SRX5694381,-2.2558395597,-0.008968316300000001
SRX5694382,0.1201494003,0.1134249994
SRX5694383,-2.118094509,-0.4770852628
SRX5694384,-2.8031088155,-0.0577792548
SRX5694385,-5.7026837235,0.9961626102000001
SRX5694386,-4.0836490038,-1.6540976399
SRX5694387,-2.9525835906999998,-0.3834457049
SRX5694388,-0.6010380617000001,-1.1040302224
SRX5694389,-2.364440886,-0.2400151898
SRX5694390,-2.1418555762,-0.45051359090000004
SRX5694391,-4.3747562899,0.5639695842
SRX5694392,-2.5470025609,-0.0105594855
SRX5694393,-2.3236130939,-0.0376366107
SRX5694394,-2.3044125337,0.049880083000000006
SRX5694395,-1.1973575867,-0.33212327540000003
SRX5694396,-0.6042178248,-0.9576920036000001
SRX5694397,-1.0017026238,-0.6850499396
SRX5694398,-1.4572886425,-0.25534085100000004
SRX5694399,-4.1664272953,0.1876610135
SRX5694400,-0.6182257876,-0.7618565859
SRX5694401,-0.7994289318000001,-0.0501839779
SRX5694402,-2.7378282226,-1.8190210446
SRX5694403,-0.6476569366,-1.1081981378
SRX5694404,-2.6512913413,-0.5290434227
SRX5694405,-0.039591105700000004,0.22310900930000002
SRX5694406,-3.7965994892,-0.4627903835
SRX5694407,-2.098990559,-0.6196955915
SRX5694408,-0.6322560285000001,-0.7015762806
SRX5694409,-4.8802550721,-0.9189352291
SRX5694410,-1.2907321527,0.8046706332
SRX5694411,-2.1921044803,-1.1882256137
SRX5694412,-1.0370499435,-0.5394879856
SRX5694413,4.5948461451,-0.4602155805
SRX5694414,-1.7773542664000002,-0.7636260762
SRX5694415,-2.2025181525,-0.636371696
SRX5694416,-0.0253893705,0.0305275719
SRX5694417,-2.3039866128,0.080675048
SRX5694418,-5.6422330655,-1.2707368713
SRX5694419,-4.2365766153,-1.0360495665
SRX5694420,-1.8919624821,0.3141348069
SRX5694421,-3.6198759416,-0.9670811756000001
SRX5694422,-1.8284965620000002,-0.22704531160000002
SRX5694423,-2.1771798045,-0.9867030021000001
SRX5694424,-2.7503116443,-0.8884563391
SRX5694425,-2.3781213064,-0.31129135690000004
SRX5694426,-0.6640591897,-0.7581903349
SRX5694427,-0.6976201087,-0.2332929711
SRX5694428,-0.2580256687,0.0837572667
SRX5694429,-2.2366445362,-1.8991277042
SRX5694430,-1.2997111941,-0.3105451158
SRX5694431,-1.1876559536,0.325337932
SRX5694432,-1.5484572626,-0.47885778170000004
SRX5694433,6.2325643885,0.0742913545
SRX5694434,2.9890532836,-1.1440660307
SRX5694435,-5.0815997722,-1.4984185019
SRX5694436,-4.3259876632,-1.2023772939
SRX5694437,-4.7095871731,-0.2573015543
SRX5694438,-2.0647266273,-0.4415204568
SRX5694439,-2.0903564519,-2.2600799572
SRX5694440,-3.2022654874,-0.12232408210000001
SRX5694441,0.969545337,-0.5992160854
SRX5694442,-1.9300095598,-0.9489832178000001
SRX5694443,-1.0217924905,-0.5789503869
SRX5694444,-2.9657668242,-0.49030270210000004
SRX5694445,-1.5713253618,-1.0920047284
SRX5694446,-2.8150932476,-0.3397263527
SRX5694447,-3.1416204994,-0.8493433751
SRX5694448,-2.2406060826,-0.4165930712
SRX5694449,-1.2932072328,-0.4243252205
SRX5694450,-3.936682778,-0.5019746585
SRX5694451,-2.2802305442,-0.2186555367
SRX5694452,-1.8290301742000001,-1.2605436837
SRX5694453,4.115330339,-0.4796151916
SRX5694454,-2.4295172998,-0.0210588196
SRX5694455,-4.9076229071,-0.8686032203
SRX5694456,-1.7615967976,-0.4641528261
SRX5694457,-1.0061494022,0.2229242498
SRX5694459,-3.2501920507,-0.16401127370000002
SRX5694460,-5.1981536538,-1.7176092026
SRX5694461,-0.5024535512,-0.3943176901
SRX5694462,-5.0880230793,-1.4472586639
SRX5694463,-2.9663701834,0.0026219645000000002
SRX5694464,-0.0284105431,-0.6951447675
SRX5694465,-2.481455879,-0.786217868
SRX5694466,-4.4719027478,-0.2136491335
SRX5694467,-1.1717024288,-0.5055908525
SRX5694468,-1.7093230830000001,-3.2429499925
SRX5694469,-1.5494210759,-0.5091230231
SRX5694470,0.3428011279,-0.0888543
SRX5694471,-1.0755365761,-0.5999998491
SRX5694472,-0.4206631534,-0.7748804267
SRX5694474,-2.2909700433,-0.6603790802
SRX5694475,-2.709281522,-0.5237319147
SRX5694476,-0.43787283200000005,-0.3130934657
SRX5694477,-4.1111592329,-1.7867765209000002
SRX5694478,-2.9774329417,-0.20167373530000002
SRX5694479,1.1323934354,-1.79774873
SRX5694480,2.7487874004,-0.2713758613
SRX5694481,-2.4367546408000003,-0.5152660458
SRX5694482,-2.3875225089,0.217193609
SRX5694483,-1.4612425906,-0.5711302662000001
SRX5694484,-0.1415861547,-0.6877496068000001
SRX5694485,-2.7326216403,0.7551727742000001
SRX5694486,-2.3428393651,-0.0581792307
SRX5694487,-0.6064563602,-0.6041076362000001
SRX5694488,-1.4041392886000001,-0.43775214960000003
SRX5694489,0.0076436879000000004,-0.7429522735
SRX5694491,-3.2244196225,-1.5026762758999999
SRX5694492,-3.6187226667,-1.0862343362
SRX5694493,-1.7668365242,-1.7437934276
SRX5694494,-3.3874036523,-0.4979503839
SRX5694495,-2.9341430054,-0.0929601013
SRX5694496,-2.6951101739,-0.3037670018
SRX5694497,-2.4301399491,-1.0265656065
SRX5694498,-1.8643014208,-0.5064533840000001
SRX5694499,-2.5553996051,0.4401744044
SRX5694500,-3.7426308913,-0.8129919141
SRX5694501,-1.0825573344,-0.4862543038
SRX5694502,-7.0726057651,0.6629605002
SRX5694503,-4.0053385935,-1.1234875486
SRX5694504,-2.2331479024,0.07505764890000001
SRX5694505,-5.7317619997,-1.2320783944
SRX5694506,-2.1161778391,-0.25546855360000004
SRX5694507,-2.7087802249,-0.3680384316
SRX5694508,0.8082623344000001,-0.332826088
SRX5694509,-1.5561370161,-0.6565096057
SRX5694510,-1.7067735546,-0.8469726973
SRX5694511,-3.3145428504,-0.3145001196
SRX5694512,-3.8745878753,-1.4952342318
SRX5694513,3.2205936743,-0.6079342382
SRX5694514,-4.5487634875000005,-1.9084887612
SRX5694515,-4.951191503,0.6930912982
SRX5694516,-0.8619964818,-2.1068097946
SRX5694517,-0.7855033571000001,-0.523384245
SRX5694518,-1.4072542542,-0.6256912884
SRX5694519,-2.7837608096,-0.5725641942
SRX5694520,-2.7029662013999998,0.358468194
SRX5694521,-0.9035086316000001,-0.37971670690000003
SRX5694522,-2.1908829733,-0.3967820139
SRX5694523,0.0178390455,-0.35738523780000003
SRX5694524,-0.1767984655,-0.6788883047000001
SRX5694525,-2.2996694858,-0.09307125890000001
SRX5694526,-1.2080296012,-1.6502648269
SRX5694527,-4.4883272902,-0.8386047379
SRX5694528,0.0285619772,-2.1036693692
SRX5694529,-0.3196059699,0.1422887515
SRX5694530,-2.5717523107,0.6317196065
SRX5694532,-1.4035780089,-1.3243738824
SRX5694533,-5.1573821977,0.1559726945
SRX5694534,-2.8302605345,-1.2040741332
SRX5694535,-2.2223353915,0.6318325928
SRX5694536,-0.9640481336000001,-0.2409928512
SRX5694537,-0.6326443719,-0.6157360929
SRX5694538,-0.8837864144,-0.4093149824
SRX5694539,-3.134987798,-0.1052331599
SRX5694540,-1.8992105656,-1.4248598135
SRX5694541,-1.2186659707,-0.794483068
SRX5694543,-2.0990646766,-2.3606233366
SRX5694544,-1.9905907225,-0.6749921586000001
SRX5694545,-1.7230515534,-0.5003785538000001
SRX5694546,-1.4651566256000002,-1.9569480934999999
SRX5694547,-1.6263001161,-0.29884930260000003
SRX5694548,-0.3174117574,0.0583267281
SRX5694550,3.2210524857,-0.4585590825
SRX5694551,-5.249475486,-0.1177799954
SRX5694552,-1.2762101278,-0.3708527301
SRX5694553,-2.4624778403,-0.0398491478
SRX5694554,-0.19017456200000002,-0.3444101026
SRX5694555,-2.7368236059,-0.8212851342
SRX6072760,0.047235103,-0.9675368121000001
SRX6072761,-3.0673483136,-1.0850716934
SRX6072762,1.7143603686,-0.8726081560000001
SRX6072763,1.1567595013,-0.4724833935
SRX6072764,-3.5503644134,-1.2154141386
SRX6072765,1.3025266636000001,-0.5416115192000001
SRX6376491,1.5094908417,0.4074278804
SRX6376492,-2.6188650392,-1.0409418193
SRX6376493,-3.7977480736,-0.9641448908
SRX6376494,-2.0128309636,-0.9981247604000001
SRX6376495,2.6379670081,-0.0107508086
SRX6376496,1.0599551183,0.45266178300000004
SRX2723951,0.0998418623,0.8828164248
SRX2723952,0.6156572676000001,1.1035705862
SRX2723953,-0.9521817051,0.6732280952
SRX2723954,5.055515019,1.2892781587
SRX2723955,1.1174180145000001,0.12115659170000001
SRX2723956,-0.0832719405,0.9245825148000001
SRX2723957,0.042210881900000004,0.0697631819
SRX2723958,-1.1049683068,-0.2123075869
SRX2723959,0.2833101284,0.043577577
SRX2723960,-0.0622443623,0.6167399716
SRX2723961,2.8734659217000003,1.2917758653
SRX2723962,-0.4528093107,0.67652743
SRX2723963,-1.2564380535,-0.1771532485
SRX2723964,1.3891649887,0.09830638900000001
SRX2723965,0.0315309188,0.44816028020000004
SRX2723966,0.7224545561,0.0211424718
SRX2723967,-0.2314184642,-0.0471449009
SRX2723968,-0.4910360918,0.026002429100000002
SRX6977206,-8.6673810366,-0.4557035579
SRX6977207,-9.6594076408,-0.6946403802000001
SRX6977208,-5.4063203875,-0.1566082499
SRX6977209,-6.6232642845,-0.3954031584
SRX6977210,-6.2030085301,-0.3500589905
SRX6977211,-0.2521222661,0.1479999259
SRX6977212,-0.068280664,0.0778885114
SRX6977213,0.32040293010000004,-0.22588843720000001
SRX6977214,-9.2783803986,-0.9763784430000001
SRX1153733,0.17008792080000001,0.1411177095
SRX1153734,-0.17008792080000001,-0.1411177095
SRX1153735,0.9622448927,-0.0584503423
SRX1153736,-2.2040850875,-0.0631135039
SRX5204053,0.8126717139,-0.3619290791
SRX5204054,1.5386158629,-0.1835102646
SRX5204055,1.4171841257,-0.1839262515
SRX5204056,0.3076722655,0.246733479
SRX5204057,0.1302534189,0.21206884280000002
SRX5204058,0.3240485493,0.3016523258
SRX5204059,0.4446299213,0.2648872793
SRX5204060,0.3748981008,0.3756745576
SRX5204061,0.9676843097000001,0.2071919425
SRX5204062,0.4208115395,0.1707613621
SRX5204063,0.6712519936,-0.13638743720000002
SRX5204064,0.4148731124,0.14256151450000001
SRX5204065,2.0097812177,0.27699775590000003
SRX5204066,1.7582006432,0.47183940550000003
SRX5204067,2.0769279185,0.1706852825
SRX5204068,-0.5063889985,0.4199859781
SRX5204069,0.3575112573,0.1098862621
SRX5204070,-0.4838062106,0.1450546952
SRX5204071,0.6550867232,0.0911096535
SRX5204072,0.2365229187,0.2835543142
SRX5204073,0.8960301011,0.1463620199
SRX5204074,1.7560134641,-0.0720136681
SRX5204075,0.3853682518,-0.0170385976
SRX5204076,0.7652043161000001,-0.18277775170000002
SRX5204077,1.4273909722,-0.0687123295
SRX5204078,1.1662993603,0.14157800510000002
SRX5204079,0.5666770228,0.0020395211
SRX5204080,1.1345326773,0.5070314579
SRX5204081,1.3271509028000001,-0.0059828888
SRX5204082,0.9128310335,0.1007017045
SRX5204083,-0.7190903337,-0.028613978800000002
SRX5204084,-0.9182949071000001,-0.0148686715
SRX5204085,-0.8126710089,-0.051446206300000005
SRX5204086,0.1912634575,-0.0038105096000000003
SRX5204087,0.0507185457,0.15876180310000002
SRX5204088,-0.7555897288000001,-0.48274734010000003
SRX5204089,0.5234390568,0.070646362
SRX5204090,1.0427832183,-0.15757997740000002
SRX5204091,0.29701143150000003,-0.0694915695
SRX5204092,0.652089719,0.1054852118
SRX5204093,-0.3811411756,0.0695368158
SRX5204094,0.3968379211,0.08217478040000001
SRX5204095,0.1370400262,0.136373864
SRX5204096,0.2916889432,-0.2579897812
SRX5204097,-0.4287289694,0.1216159172
SRX683459,-0.380154765,-0.1645976703
SRX683460,1.5313463742,1.4206529174
SRX683461,-0.111942673,0.1431729111
SRX683462,-0.8257353288,1.4406455804
SRX683463,0.49209743800000005,0.0214247591
SRX683464,1.2271076633,1.5181670289
SRX683465,0.5835809066000001,-0.3136107964
SRX683466,1.6705132879,1.5529667817
SRX683467,0.0847909478,-0.3473322203
SRX683468,0.9303658101000001,1.4632700307
SRX683469,1.1281910836,-0.1676349595
SRX683470,1.0171523973,0.8415313194
SRX322077,-0.024569139400000002,-0.1194350586
SRX322078,2.1512182073,-0.1900382593
SRX322079,0.5399558776,-0.2168396011
SRX322080,-1.1202957793,-0.1030550942
SRX322081,-0.9386646818000001,0.15139445
SRX322082,-1.4609034972,0.039877584800000004
SRX322083,0.1240439978,0.16698110030000002
SRX322084,0.2120016431,-0.0744975031
SRX322085,-0.3360456409,-0.0924835972
SRX2708592,-4.8591404181,-0.3252574151
SRX2708593,-5.2291355188,-0.5641097123000001
SRX2708594,-7.7685313103,0.1224968996
SRX2708595,-0.1288291339,-0.0682911696
SRX2708596,0.098159704,-0.0196620482
SRX2708597,0.0306694299,0.0879532177
SRX2708598,1.4065916291,-0.7618802236000001
SRX2708600,2.3159516536,0.0775731575
SRX2708601,1.3653192257,0.0514238094
SRX2708602,-0.5979017534000001,-0.8599867192
SRX2708603,1.1816214323,-0.21732206240000002
SRX3073814,-0.23765746310000002,-0.1674491163
SRX3073815,4.796415587,-3.9185134717
SRX3073816,6.678475964,-4.6936950739
SRX3073817,-0.8701736913,-3.7135486099
SRX3073818,-4.0940071963,-2.4362330853
SRX3073819,-0.8622470866,0.06708292240000001
SRX3073820,6.0607342828,-4.215345328
SRX3073821,6.7228127994,-4.3382337055
SRX3073822,-0.6625091854,-3.6725596243
SRX3073823,-1.2326706596,-3.5163384695
SRX3073824,0.23765746310000002,0.1674491163
SRX3073825,6.6452403152,-3.7734687929
SRX3073826,10.0883585843,-4.9955452427
SRX3073827,0.9751771948,-3.2155953351
SRX3073828,-2.4041118182,-2.7235134305
SRX3073829,-2.4930842474,-0.1154539422
SRX3073830,3.2394999483,-4.1703568339
SRX3073831,3.460515813,-4.5434888446
SRX3073832,-1.8621378964000002,-3.7976591419
SRX3073833,-3.4509841235,-3.0621652676
SRX2391456,-0.21920564280000002,0.0659011719
SRX2391457,0.38795389760000004,-0.050073686400000005
SRX2391458,-0.019944281600000002,0.11871735550000001
SRX2391459,-0.231851505,0.1856272604
SRX2391460,0.3467698984,0.0371643258
SRX2391461,-0.24991883650000002,-0.024307824500000002
SRX2391462,-0.0977261142,-0.0093639133
SRX2391463,1.0163093674,0.0104277773
SRX2391464,1.3261086406,0.1416889995
SRX2391465,-0.1094150388,0.1279775824
SRX2391466,0.1470847493,0.0715034849
SRX2391467,0.07895832480000001,0.013108193800000001
SRX2391468,0.5131678809,0.0319485122
SRX2391469,0.5088999703,-0.0666736364
SRX2391470,1.1572998221,0.1316491787
SRX2391471,1.1212923195,0.1480837663
SRX2391472,0.970746015,0.4020459354
SRX2391473,0.8980436350000001,0.3244480124
SRX2391474,-0.0601952335,0.1176640028
SRX2391475,1.0299654651,0.2723611607
SRX2391476,1.2432103581,0.21648014710000002
SRX2391477,-0.0185897618,0.1577918399
SRX2391478,-0.7882661425,0.0544799346
SRX2391479,1.6669003714000001,0.2745623996
SRX2391480,0.8998940289,0.4046743269
SRX2391481,1.0871054848,0.2588287609
SRX2391482,1.0533832401,0.2256744785
SRX2391483,0.1690703213,0.2459429004
SRX2391484,0.1621876486,-0.1339127044
SRX2391485,-0.0850575798,-0.019004711900000002
SRX2391486,0.1941157963,0.111578934
SRX2391487,0.11807175810000001,0.0622650545
SRX2391488,-0.3158607496,0.1074230005
SRX2391489,-0.38549032850000003,0.0632846566
SRX2391490,-0.4260373884,0.0785419516
SRX2391491,-0.3558303538,0.0150488129
SRX2391492,-0.3215828318,0.1302613308
SRX2391493,-0.11993339300000001,0.07807384910000001
SRX2391494,0.6488563266,0.16268445580000002
SRX2391495,-0.07895832480000001,-0.013108193800000001
SRX2391496,0.10623146800000001,0.1117154134
SRX2391497,0.1630378641,0.041082249
SRX2391498,1.6862168906,0.1610932085
SRX2391499,0.8468956926000001,0.1616967062
SRX2391500,0.3384516876,0.3206736542
SRX2391501,-0.0095612961,0.1387707125
SRX2391502,-0.4197682587,-0.1562132028
SRX2391503,0.5876816442,0.4108523183
SRX2391505,-0.1602057004,0.2595906033
SRX2391506,-0.2121579969,0.09880463860000001
SRX2391507,-0.9833187621,0.0756237304
SRX2391508,0.16493986160000002,0.190683508
SRX2391510,0.5940198339,0.2792890163
SRX2391512,0.8799061721,0.2851123122
SRX2391513,0.2454875635,0.28979106920000003
SRX2391514,0.1319340124,0.1204321822
SRX5632598,2.7093825775,0.7405420546
SRX5632599,1.5426100455,0.4163752222
SRX5632600,6.9854391184,1.3297281775
SRX5632601,6.2592056537,0.8130873828
SRX5632602,5.4984413131,0.8889983183
SRX5632603,7.6885508911,1.3469949315
SRX5632604,6.476964194,0.7601840377
SRX5632605,5.7757801952,1.2760161583
SRX5632606,5.1533593733,0.49036863950000004
SRX5632607,1.7064773916,0.1659788377
SRX5632608,-0.5043437014000001,0.001095297
SRX5632609,0.33904430680000003,0.1965970245
SRX5632610,0.1954347867,-0.3779474105
SRX5632611,0.1652993946,-0.1976923216
SRX5632612,0.46232572190000004,0.0914589851
SRX5632613,-0.7227280648000001,0.22048541470000002
SRX5632614,1.0312463208,-0.23420119550000001
SRX5632615,1.8925883977,0.354071456
ERX2874132,0.8984990481,1.1869410348
ERX2874133,-0.5980240346,1.5602027091
ERX2874134,-6.3071425989,1.8200898702
ERX2874135,-6.2188150224,1.4416524486
ERX2874136,-5.5596101509,1.7274821025
ERX2874137,-5.7433306857,1.6857506779
ERX2874138,-0.6900159935,0.9413280341
ERX2874139,-1.8717391982,0.8788688805
ERX2874140,0.9605982033,0.0581839539
ERX2874141,-0.9605982033,-0.0581839539
ERX2874142,-5.8205712005,2.1750905647
ERX2874143,-7.7188560934,2.6291956991000003
ERX2874144,1.0398393249,0.9477403359000001
ERX2874145,-0.2785757511,1.104351501
ERX2874146,1.6504332639000001,0.5275522719
ERX2874147,0.1185725975,0.6160924202
SRX1300292,-0.6394921649,0.1945456703
SRX1300293,0.6394921649,-0.1945456703
SRX1300299,1.3512530715,-0.21435902810000002
SRX1300300,-0.9296411178,0.07596371
SRX1300304,-2.1129474231,-0.0687325951
SRX1300305,-0.9286258601,-0.4346725959
SRX1300306,-0.2195475457,-0.3298228372
SRX1300310,0.5506231402,-0.5651093648000001
SRX1300311,1.1879034682,-0.3524314073
SRX7291195,-3.1114525315,-0.22915524
SRX7291196,-3.5296266038,-0.2925403932
SRX7291197,-4.1383053395000005,-0.2571018713
SRX7291198,0.380442486,-0.0032618593000000003
SRX7291199,-0.2671383646,-0.0261351246
SRX7291200,-0.1133041214,0.0293969839
SRX7291201,-4.3238342352,-0.2359893585
SRX7291202,-2.071903067,-0.20981645810000002
SRX7291203,-3.1648744819,-0.21732735960000002
SRX7291204,0.3299553,0.0441056466
SRX7291205,0.0781800752,-0.062233637300000005
SRX7291206,0.19914277200000002,-0.0448295669
SRX2436955,-0.1703005644,0.7415812512000001
SRX2436956,-2.4221601163,0.5649055956
SRX2436957,-2.4149804872000002,0.5817901801
SRX2436958,-1.1962660094,0.876007744
SRX2436959,0.9415388953,0.0785478282
SRX2436960,0.9366186662,0.8024647148
SRX2436961,1.3266116728,0.9533808213
SRX2436962,-0.1487043851,0.7317113028000001
SRX2436963,0.5529564067,-0.22294360200000002
SRX2436964,1.7105510886,0.9548791795
SRX2436965,-3.5238697068000002,-0.7952213959000001
SRX2436966,-1.1669321538,0.3644363741
SRX2436967,2.1801181399,0.9909336118000001
SRX2436969,-0.6072397572,-0.291245646
SRX2436970,-1.2238259854,0.3895307027
SRX2436971,2.130194435,0.9678934113000001
SRX2437029,0.3513415139,0.9284211495
SRX2437030,-0.1607850042,0.8957776568
SRX2437031,-1.4568371878000002,0.3489332714
SRX2437032,-1.5762602506999999,0.31687566770000003
SRX2437033,1.0359875604,-0.125804324
SRX2437034,-4.1522705377,-0.8450801074000001
SRX2437035,-1.0714404759,0.3260567907
SRX2437036,-1.231522943,0.48786205730000004
SRX2437037,0.7817976692,0.7114134828
SRX2437038,-1.0039933779,0.3596910125
SRX2437039,-0.7836869727,0.38534709310000004
SRX2437040,-0.5672482824,0.5049006757
SRX2437041,-0.023359814200000002,0.6713697658000001
SRX2437042,0.9456813017000001,-0.17137779790000002
SRX2437043,1.621537348,0.8322494410000001
SRX2437044,0.9478600045000001,-0.3183324906
SRX4705203,-1.7936219306,0.036731614
SRX4705204,-1.9142834088,-0.5681810081
SRX4705205,-1.4419038412,-0.4640898893
SRX4705206,-0.9806364819000001,-0.2798636022
SRX4705207,-1.7826514479000002,0.3506991052
SRX4705208,-4.5551463813,-0.16958403
SRX4705209,-1.9997090728,0.0713613866
SRX4705210,-3.7750133373,-0.3472287263
SRX4705211,-4.5148896619,-0.1897303462
SRX4705212,-4.3032619223,-0.22935639770000002
SRX4705213,0.6943675973,-0.3485435995
SRX4705214,1.162845166,0.0399514609
SRX4705215,-0.3637513385,0.0526828618
SRX4705216,0.5195942639,-0.2709893285
