,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
42,abx_mega__cip_naoh,-0.24526471726,0.8504360633489602,5.0,68.0,0.7052123650000001,81.0,-0.3673357749,128.0,0.4045982011,217.0,-1.4638241661,240.0,-0.5049742114,,,,,,,,,,,,,,,,,,,,,,,,,,
43,abx_mega__h2o-1b,-0.32754229335000007,0.0346356293018477,2.0,73.0,-0.30305120500000005,95.0,-0.35203338170000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,abx_mega__ery_h2o,1.610241629875,1.496801734371228,4.0,74.0,1.7659256429,124.0,-0.1891125779,131.0,1.4053081641,196.0,3.4588452904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,abx_mega__bacit_h2o,0.13703769806000002,0.8581294207342229,5.0,75.0,1.365910863,87.0,-0.543923771,89.0,0.230775371,127.0,-0.7990360926000001,194.0,0.4314621199,,,,,,,,,,,,,,,,,,,,,,,,,,
46,abx_mega__tric_h2o,0.16003423885,0.1315314640229184,2.0,80.0,0.25304102900000003,243.0,0.0670274487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,abx_mega__bacit_dmso,0.6345436436666667,0.722007936511248,3.0,83.0,0.46896480900000004,85.0,1.4249581012,304.0,0.0097080208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,abx_mega__gen_h2o,2.6332772401,0.8567050257720321,2.0,84.0,2.0274953069,121.0,3.2390591733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,abx_mega__chl_dmso,-0.3278487049666667,0.9569061882329754,3.0,86.0,-0.3622140809,148.0,-1.2671092818,202.0,0.6457772478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,abx_mega__lvx_dmso,-0.33603440555,0.31673794978203346,2.0,88.0,-0.1120668534,168.0,-0.5600019577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,abx_mega__naoh-6,-0.9616989440400001,0.4930983494646684,5.0,93.0,-0.8727289136,144.0,-0.8286975639,153.0,-0.2487230107,200.0,-1.4010572637,252.0,-1.4572879683,,,,,,,,,,,,,,,,,,,,,,,,,,
52,abx_mega__rfp_h2o,0.36263365379999996,0.5199633604843104,3.0,96.0,0.72453217,237.0,-0.2332059443,285.0,0.5965747357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,abx_mega__tet_h2o,2.3678591886750002,1.309655300764949,4.0,97.0,1.5168660116,169.0,4.2250580491,179.0,1.3820612635,215.0,2.3474514305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,abx_mega__flavo_dmso,-1.3819141243000002,0.5540669589159302,4.0,98.0,-0.6697087292,132.0,-1.3760986968,223.0,-1.4617084096,297.0,-2.0201406616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,abx_mega__zeocin_h2o,-0.28772754622,0.8318400226751184,5.0,99.0,0.0736221534,173.0,0.44017950040000003,193.0,-1.5017607171,213.0,-0.7846906999000001,292.0,0.3340120321,,,,,,,,,,,,,,,,,,,,,,,,,,
56,abx_mega__valin_dmso,-0.8737621896666666,1.475836314857778,3.0,107.0,0.6646445045,140.0,-2.2778446282,276.0,-1.0080864453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,abx_mega__ethanol-10,0.43729946926666674,0.27150926702580064,3.0,109.0,0.7506628868,115.0,0.2722626127,286.0,0.2889729083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,abx_mega__inh_h2o,0.41800555392500005,0.8907844114282395,4.0,110.0,1.230907747,145.0,-0.8503051827,185.0,0.585005493,272.0,0.7064141584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,abx_mega__doxo_dmso,1.8940931382,0.8103676107793298,3.0,113.0,1.0643057089,283.0,2.6835336206,301.0,1.9344400850999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,abx_mega__tmp_dmso,-0.4314325817333333,0.7767529267940323,6.0,114.0,-0.447352852,116.0,-0.35259173800000004,206.0,-0.5696049358,218.0,-1.7846789564,222.0,0.5469995508000001,224.0,0.018633441,,,,,,,,,,,,,,,,,,,,,,,,
61,abx_mega__sacet_h2o,-0.31220811085,0.03729244500491248,2.0,125.0,-0.33857785160000003,289.0,-0.2858383701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,abx_mega__ethanol-8,-0.2067105651,0.6065838593427866,3.0,129.0,0.2547613666,161.0,0.0188721303,188.0,-0.8937651922000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,abx_mega__h2o-8a,1.0120958912000002,0.36387940752891007,3.0,130.0,0.657803233,247.0,0.9936258675,281.0,1.3848585731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,abx_mega__naoh-2,-0.1814145307,0.6701802443540412,2.0,136.0,-0.6553035261,287.0,0.2924744647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,abx_mega__ceru_ethanol,-0.21484125106666666,0.4682131176775838,3.0,151.0,0.2469378653,197.0,-0.2022281207,225.0,-0.6892334978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,abx_mega__dmso-7,-1.8170717158000003,0.5750510842195146,3.0,152.0,-2.4069616907,236.0,-1.7861458802999999,295.0,-1.2581075764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,abx_mega__h2o-10,0.6093872882333334,0.2280669263945119,3.0,157.0,0.8297187951,158.0,0.6241416822,246.0,0.3743013874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
