,A,AraC,Crp
abx_mega__phos_h2o__1,0.6966108166,-0.3914232164,-0.2490351859
abx_mega__dmso-5__2,0.5827499761,-0.1399194336,0.0411821817
abx_mega__polmyx_h2o__1,1.0192440901,0.10152517450000001,0.0231238538
abx_mega__h2o-8b__1,1.4387768411000001,0.15033211770000002,0.0476350313
abx_mega__h2o-6__1,0.3282729352,-0.1803274704,0.24713669740000002
abx_mega__thio_dmso__1,0.0230240796,-1.8288081905,-1.5465123927
abx_mega__phos_h2o__2,1.0478280845,0.22855144970000002,0.2066153554
abx_mega__ctx_h2o__2,2.6301858583,-0.8022401761,-0.5157335737000001
abx_mega__lzd_dmso__1,-0.6478545595,-2.2805752247,-1.8223907651
abx_mega__naoh-9__1,1.2482975361,0.0202982129,0.36042412560000003
abx_mega__dox_dmso__1,-0.2553853479,-1.2008053293,-1.3002511837
abx_mega__phos_ethanol__1,-0.0359934074,-0.3571818625,0.3379205155
abx_mega__teix_dmso__1,2.982373159,-0.6501751828,-0.6834405493
abx_mega__dmso-10__1,1.7920188490000002,0.1508435405,0.1656640608
abx_mega__van_dmso__1,1.1230612794,-1.5397913056,-0.9934080376000001
abx_mega__ramo_h2o__1,0.9033860492,-0.5370711389,-0.3443110079
abx_mega__tec_h2o__2,0.9186609017,-1.1000234965,-0.9407234058
abx_mega__h2o-7__1,1.3817629234,-0.3664867195,-0.0040549861000000005
abx_mega__cro_h2o__1,1.8338288588,-0.3481043541,-0.1478341465
abx_mega__tric_ethanol__1,0.3173513115,-0.1581575465,-0.1558928562
abx_mega__nor_naoh__1,0.2597779704,0.015530728,0.2764607147
abx_mega__teix_dmso__2,0.9273720988,-0.2186165052,-0.14661147630000002
abx_mega__nal_naoh__3,-0.1544866621,-0.3915765101,0.2201400917
abx_mega__novo_h2o__2,0.27402452450000003,-2.917187332,0.1874058842
abx_mega__dmso-10__2,2.1469779116,0.0594550374,0.0513472187
abx_mega__phos_h2o__3,0.0549212678,-0.033249097400000004,0.3866879371
abx_mega__dmso-6__2,1.0279136212,0.1335443193,-0.0602559214
abx_mega__rfp_ethanol__1,0.6696938587,-1.7349634304000001,-1.4743546362
abx_mega__dmso-5__3,1.3962278941,-0.1561905784,-0.13444608700000002
abx_mega__amyc-d_dmso__1,-0.47046023200000003,-1.5182521046000002,-1.621907484
abx_mega__sxt_dmso__1,1.8245155015,-0.6039711865,-0.0376343135
abx_mega__dmso-1__1,-0.41575038740000003,-0.0025322403,-0.0810478849
abx_mega__pen_h2o__1,-2.7395581619,-0.0869654738,0.1296583874
abx_mega__dmso-10__3,2.3811220074,0.17724194610000002,0.2017965224
abx_mega__nal_naoh__4,0.6255685859,-0.2863924637,0.1490464558
abx_mega__cip_naoh__1,0.938204074,-0.3026589756,0.2623448043
abx_mega__pen_h2o__2,-1.4223058632,-0.0242572206,-0.22631582460000002
abx_mega__ery_dmso__2,1.7874700841000002,-2.7023131283,-1.9945889461
abx_mega__dmso-2__2,2.2885976457,0.2007596007,-0.303318389
abx_mega__van_dmso__2,-0.1881027553,-1.9028363004000002,-0.9213934478
abx_mega__h2o-1b__1,-0.047541198,-0.9388676908,-0.5542551321
abx_mega__ery_h2o__1,-1.1574416426,-2.8308638417000003,-2.4371824129
abx_mega__bacit_h2o__1,2.389377293,-1.5784736799,-0.6975730314
abx_mega__chl_h2o__2,-0.6964533245,-2.7822431581,-2.788252041
abx_mega__str_h2o__2,-1.510697302,-0.2012264937,-0.46271994780000003
abx_mega__rfp_ethanol__2,-0.0423293437,-0.8005493333,-1.0117169578
abx_mega__polmyx_h2o__2,0.6642076176,0.1261257606,-0.1729404675
abx_mega__tric_h2o__1,-0.5093454159,0.5425608445,0.2138522692
abx_mega__cip_naoh__2,0.2348279395,-0.41727983550000003,0.22403181360000002
abx_mega__novo_h2o__3,0.3062365623,-2.7624742045,-0.09237995040000001
abx_mega__bacit_dmso__1,0.5098450708,-0.4154493281,-0.38942819040000004
abx_mega__gen_h2o__1,-1.5460971329,-1.2979988719,-1.1362642293
abx_mega__bacit_dmso__2,0.7568742027,-0.3633957761,-0.41342659340000004
abx_mega__chl_dmso__1,-0.29533096130000003,-2.0657230627,-1.6036324816
abx_mega__bacit_h2o__2,-0.4622069224,-1.3950714663000001,-0.5104274184
abx_mega__lvx_dmso__1,0.9278922356,-0.1715405253,-0.1584196907
abx_mega__bacit_h2o__3,1.8134958097,-1.4017871907,-0.6589226995
abx_mega__nor_naoh__2,0.0670607198,-0.1286146481,0.1764471632
abx_mega__amyc-d_dmso__2,0.8810020845000001,-0.7130296072,-0.5799739837
abx_mega__polmyx_h2o__3,4.20175365,0.1571639004,-0.6950204566
abx_mega__naoh-6__1,0.1107967812,-0.13198737,0.245553549
abx_mega__cst_h2o__2,0.6440904382,-0.13781608110000002,-0.24882076420000002
abx_mega__h2o-1b__2,0.7203386013,-1.7032481123,-1.0972302127
abx_mega__rfp_h2o__1,0.7755455932,-1.721894962,-2.0210704043
abx_mega__tet_h2o__1,-2.5416564158,-1.3826615343,-1.6584843203
abx_mega__flavo_dmso__1,0.3633242661,-0.703893039,-0.2397944182
abx_mega__zeocin_h2o__1,0.7372721532000001,0.1992798034,0.1989831632
abx_mega__nor_naoh__3,0.25039324620000003,-0.22328345770000002,0.10670366340000001
abx_mega__rach_dmso__2,3.0025992966,0.09700152020000001,-0.1227589166
abx_mega__thio_dmso__2,-1.0574106045,-2.3775751339,-1.4531793695
abx_mega__amyc-d_dmso__3,-0.7585990669,-1.6265203636,-1.642695013
abx_mega__rif_dmso__2,1.5346445594,-0.2470166073,-0.659556922
abx_mega__amyc-d_dmso__4,0.1644681681,-0.5304846896000001,-0.5482364304
abx_mega__teix_dmso__3,-0.22926985160000002,-0.5827954015,-0.1455592358
abx_mega__valin_dmso__1,1.4033690704000001,-0.1144670554,-0.6506498564000001
abx_mega__teix_dmso__4,0.4642533049,-0.21027483530000002,-0.0665078507
abx_mega__ethanol-10__1,1.2117343909,0.2934146615,0.0163008612
abx_mega__inh_h2o__1,0.7577510348000001,0.23798271910000002,0.3281616036
abx_mega__rif_dmso__3,0.45122622700000004,-1.2065523427,-1.3897674496999999
abx_mega__van_dmso__3,0.241735628,-1.5952304348,-0.94657928
abx_mega__doxo_dmso__1,-3.4692877585,-1.0235835175,-0.11358356480000001
abx_mega__tmp_dmso__1,0.7738360348000001,-0.085204691,0.2090437913
abx_mega__ethanol-10__2,0.9910284354000001,0.3840497986,0.156288703
abx_mega__tmp_dmso__2,0.3871352302,-0.1295775135,0.1914919696
abx_mega__amyc-d_dmso__5,-0.7735582668000001,-1.6791754697,-1.6521756011000002
abx_mega__novo_h2o__4,-0.9376426599000001,-2.0555338134,-0.2527058608
abx_mega__cro_h2o__2,1.2392747847,-0.478531134,-0.30657057660000003
abx_mega__cro_h2o__3,1.0120787899,-0.45791220650000003,-0.2669976047
abx_mega__gen_h2o__2,-1.6290475841,-1.4829716682,-1.0307723459
abx_mega__phos_h2o__4,0.9779120806,0.3556386113,-0.0309958632
abx_mega__metro_dmso__2,1.8949948859,-0.22384842230000002,-0.3804310446
abx_mega__ery_h2o__2,-5.8111678926,-2.4794746343,-2.3462003852
abx_mega__sacet_h2o__1,-1.7078580554,-0.9369283614,-0.6041545277
abx_mega__nal_naoh__5,-0.17298226930000002,-0.5599795972,-0.054980210200000004
abx_mega__bacit_h2o__4,-0.0736952275,-1.4137996747,-0.7076949831
abx_mega__cip_naoh__3,0.3856634921,-0.43034048340000003,0.1102525246
abx_mega__ethanol-8__1,1.5782880931,0.11503343840000001,-0.0590977866
abx_mega__h2o-8a__1,-0.1050783596,0.053061311400000005,-0.22081801820000002
abx_mega__ery_h2o__3,-1.3760541332,-2.4491983273,-2.3057897995
abx_mega__flavo_dmso__2,1.6431625692,-0.4476866981,-0.3165443482
abx_mega__rif_dmso__4,1.5500775155,-1.2003500719,-1.5399098517
abx_mega__novo_h2o__5,-0.7890577488,-2.3563124448,-0.3411830033
abx_mega__teix_dmso__5,2.5462717013000002,0.24371076390000002,-0.0340696975
abx_mega__naoh-2__1,-0.7027713732,-0.3452426585,-0.31705369640000003
abx_mega__novo_h2o__6,-0.6668075651,-2.2030800557,-0.5697764494
abx_mega__ctx_h2o__3,2.0339135808,-0.7004456449,-0.31765341210000003
abx_mega__rach_dmso__3,3.5538561971,0.1858603044,-0.25011430100000004
abx_mega__valin_dmso__2,1.5116804849,-0.49181259520000004,-0.8373204843000001
abx_mega__amyc-d_dmso__6,-1.2831714164,-1.9535569744,-1.2728116676
abx_mega__dox_dmso__2,0.072962382,-0.1731089547,-0.025511662
abx_mega__teix_dmso__6,2.7538967967,0.159166821,0.1480773849
abx_mega__naoh-6__2,-0.1458090305,-0.3367642547,0.1439389809
abx_mega__inh_h2o__2,1.7315738465,0.22265716730000001,0.0779751018
abx_mega__chl_h2o__3,-0.8536041012000001,-2.5023493577,-2.8414442095
abx_mega__nal_naoh__6,-0.0921006939,-0.4580490052,0.0426535923
abx_mega__chl_dmso__2,-0.2050923761,-2.3114676682,-1.6022828696
abx_mega__rach_dmso__4,3.1731178654,0.1184889023,-0.0800003088
abx_mega__teix_dmso__7,2.6769769737,0.0506089214,0.0001683552
abx_mega__ceru_ethanol__1,-0.15024531900000002,0.547078813,0.1315329539
abx_mega__dmso-7__1,3.1094034763,0.10745230300000001,-0.1486598298
abx_mega__naoh-6__3,0.1026023841,-0.0820446715,0.232671539
abx_mega__phos_ethanol__2,0.8136830391000001,0.1456218145,0.2168248136
abx_mega__metro_dmso__3,1.1685979239,-0.2364175909,-0.3791651303
abx_mega__van_dmso__4,-0.802140857,-1.2044199757,-0.8353134788000001
abx_mega__h2o-10__1,0.8145185139000001,-0.25034797610000004,-0.0202364792
abx_mega__h2o-10__2,1.044253053,-0.0002104681,-0.0607073754
abx_mega__dmso-6__3,1.6568987013,0.10630507380000001,-0.2527744328
abx_mega__mem_dmso__1,0.2178087941,-0.5718228188,-0.1981004934
abx_mega__ethanol-8__2,1.8554589252,0.5127082117,-0.021523506600000002
abx_mega__chl_h2o__4,0.07553401400000001,-2.2511362472,-2.6700349591
abx_mega__van_h2o__1,-1.6381520675,-0.846418921,-0.9103162108
abx_mega__dcs_h2o__1,1.3993809868,-0.1488605466,0.0943710534
abx_mega__rif_dmso__5,0.015823491000000002,-0.0948878242,-0.1829334597
abx_mega__dox_dmso__3,0.200060064,-0.3933031924,-0.3972091841
abx_mega__mem_dmso__2,-0.9551737086000001,-0.31233717440000003,-0.2638287498
abx_mega__lvx_dmso__2,1.4347150628,0.0192734069,0.0417388443
abx_mega__tet_h2o__2,0.1656704386,-1.8937014814,-2.2693012292
abx_mega__phos_h2o__5,1.1135197044,0.027877258000000002,-0.1972134109
abx_mega__monac_dmso__1,1.5873650331,-1.4659348838000001,-0.8663395759
abx_mega__str_h2o__3,1.9411111831999999,0.0464597208,0.1259657223
abx_mega__zeocin_h2o__2,1.7731685125,-0.2193500411,-0.6476176532
abx_mega__amyc-d_dmso__7,1.1471399293,-1.7989543935,-1.42088019
abx_mega__fidax_dmso__1,2.7497600849,0.028409734500000002,0.007690172800000001
abx_mega__h2o-1a__1,0.1770136044,0.0862150357,0.0575483496
abx_mega__dox_dmso__4,-0.1090723162,-0.0482564853,0.2665585241
abx_mega__lzd_dmso__2,-1.7305473711000001,-3.1616010523,-1.9463157999
abx_mega__tet_h2o__3,-2.1050928103,-1.0567656231,-1.5689931018
abx_mega__dmso-1__2,-0.34780975950000004,0.0963046246,-0.0638843971
abx_mega__sxt_dmso__2,0.7605187047,-0.5213645469,-0.6176702001000001
abx_mega__tric_ethanol__2,2.0746743343,0.0079538935,-0.058214080700000004
abx_mega__teix_dmso__8,-0.9369003709,-0.9689951137,-0.3208467193
abx_mega__ramo_h2o__2,0.5425698691,-0.6268000924,-0.3043319677
abx_mega__inh_h2o__3,1.9098196786,0.0478843517,0.2263080572
abx_mega__cst_h2o__3,0.6516908649,-0.6588624331,-0.6604587882
abx_mega__dmso-9__1,2.0583447384,0.3566369728,0.1652363888
abx_mega__ethanol-8__3,2.4604324187,0.49874949760000004,0.073808526
abx_mega__monac_dmso__2,1.4178662767999999,-1.9091636338,-1.4421129371
abx_mega__dmso-9__2,2.1634708384,0.1329814272,0.0124821121
abx_mega__metro_dmso__4,1.0638258358,-0.1460945491,-0.0624036472
abx_mega__ctx_h2o__4,1.1755114985,-0.7929200398,-0.3304413054
abx_mega__zeocin_h2o__3,1.8993759196000002,-0.0367228703,-0.8187488844
abx_mega__bacit_h2o__5,2.7049205181,-1.3738266623,-0.6212632720000001
abx_mega__reta_dmso__1,-0.0598751495,-2.4943252357,-2.0377494386
abx_mega__ery_h2o__4,-0.5508276024000001,-2.3117116591,-2.3919325405
abx_mega__ceru_ethanol__2,-0.44431123710000003,-1.0753145103,-0.2507206522
abx_mega__fidax_dmso__2,2.7273209617000003,0.2321140753,0.07346573220000001
abx_mega__novo_dmso__1,0.7833609366000001,-1.4672421729,0.3143882568
abx_mega__naoh-6__4,0.0624083369,-0.2938235313,0.1617989176
abx_mega__amyc-d_dmso__8,-0.5707831645,-0.7053492636,-0.4081937196
abx_mega__chl_dmso__3,-0.3061081814,-2.3207841034,-1.7002395932
abx_mega__nal_naoh__7,1.2535524018,-0.18087413800000002,0.1538530863
abx_mega__teix_dmso__9,2.8165386342,-0.3075709452,0.1414549701
abx_mega__ery_dmso__3,-0.7162193915,-2.3794165591,-1.7943494913
abx_mega__tmp_dmso__3,0.8024079922,-0.0529254267,0.2193526747
abx_mega__sxt_dmso__3,2.4864840769,-0.37905063180000004,-0.3849941899
abx_mega__polmyx_h2o__4,-0.3124586308,-0.25123992170000004,-0.732440443
abx_mega__mem_dmso__3,1.9280828955,0.1577350137,0.1017285234
abx_mega__nal_naoh__8,0.0397471449,-0.45317072690000004,-0.2163555027
abx_mega__pen_h2o__3,1.693100547,-0.1598881891,-0.1832599433
abx_mega__van_dmso__5,-0.35827503310000003,-1.7919070750000001,-0.9702752261
abx_mega__zeocin_h2o__4,3.6157120377,-0.1743729558,-0.7029806271
abx_mega__h2o-6__2,0.0313289307,-0.3095258459,0.2689052974
abx_mega__tet_h2o__4,-1.9839657701000002,-1.4946339096,-1.7485042558
abx_mega__nor_naoh__4,0.5680206544,-0.2254973194,0.2638014382
abx_mega__cip_naoh__4,0.0500666408,-0.1795804268,0.1813226141
abx_mega__tmp_dmso__4,0.5588423225,-0.5225126395,-0.0659537084
abx_mega__reta_dmso__2,0.47037528900000003,-2.5631822833999998,-2.6935232182
abx_mega__mem_dmso__4,0.0385063774,-0.42122853520000003,-0.24608755940000002
abx_mega__dox_dmso__5,-0.07393378490000001,-1.3897364516000001,-1.4072956342
abx_mega__tmp_dmso__5,1.0324596808,0.056781849200000005,0.13500124700000002
abx_mega__flavo_dmso__3,1.8986944275000002,-0.2637180717,-0.16266356510000002
abx_mega__tmp_dmso__6,0.751261139,-0.4223037525,-0.08100398930000001
abx_mega__ceru_ethanol__3,3.3690249074,-0.4111707079,-0.0203257193
abx_mega__teix_dmso__10,-0.1553181476,-0.212061034,-0.0864598209
abx_mega__novo_h2o__7,0.6070871079,-2.6425716662000003,0.09512308080000001
abx_mega__fidax_dmso__3,2.1756992778,-0.24898550600000002,0.056592892000000006
abx_mega__h2o-1a__2,-0.7571692019,-0.07763572490000001,-0.0203162279
abx_mega__dcs_h2o__2,0.38431567650000004,-0.3616591693,0.08127249760000001
abx_mega__cst_h2o__4,0.5114084884,-0.5528680677,-0.42764759150000003
abx_mega__van_h2o__2,1.4286367359,-0.0968574704,-0.3318785326
abx_mega__pen_h2o__4,0.47558664300000003,-0.3291896603,-0.1072682971
abx_mega__h2o-8b__2,0.8555901283,0.1218496854,0.2832759084
abx_mega__reta_dmso__3,0.8333347336,-2.0570174684,-2.220698214
abx_mega__dmso-7__2,2.8664931943000003,0.18326674010000002,-0.324421403
abx_mega__rfp_h2o__2,0.7932265420000001,-1.9974102369,-2.078741852
abx_mega__rif_dmso__6,1.2590818526,-0.5054954175,-0.8986833081000001
abx_mega__sxt_dmso__4,2.4983550479,-0.43450699410000004,-0.39061972300000003
abx_mega__cip_naoh__5,-0.2128892574,-0.13206198160000002,0.5302146851
abx_mega__dmso-9__3,1.3465008534,-0.10932797400000001,-0.0648156579
abx_mega__mem_dmso__5,1.278326704,-0.3673388677,-0.2015433442
abx_mega__tric_h2o__2,0.6711840882,0.7465268941000001,0.0561230447
abx_mega__phos_h2o__6,0.23715263320000002,-0.1076671946,0.1840419059
abx_mega__h2o-7__2,2.0170515123,-0.2244082628,-0.0687134662
abx_mega__h2o-10__3,0.4459850751,0.0378985681,-0.0029101905
abx_mega__h2o-8a__2,0.2032843094,-0.0838353275,-0.2414092729
abx_mega__thio_dmso__3,1.0106482214,-1.3785861158000001,-1.3992598427
abx_mega__lzd_dmso__3,-0.7074533361,-2.1439553285,-1.4757436121
abx_mega__monac_dmso__3,-0.0607313726,-1.7176139944000002,-1.5239909109
abx_mega__polmyx_h2o__5,0.3674608395,-0.7038560519,-0.5778881676000001
abx_mega__naoh-6__5,-0.0097377234,-0.2750303032,0.2383405456
abx_mega__teix_dmso__11,-0.1156080832,-0.3022286233,0.2231626615
abx_mega__van_h2o__3,1.0078269315,-0.5910745067000001,-0.6145709097000001
abx_mega__teix_dmso__12,1.4071733597,-0.3012074275,0.0065499987
abx_mega__dox_dmso__6,-3.8803015645,0.3710022224,-0.2166458346
abx_mega__teix_dmso__13,3.7490570382,-0.4588786078,-0.6082655704000001
abx_mega__h2o-7__3,1.4844706864,-0.5555293678000001,0.012213341
abx_mega__str_h2o__4,3.0009858383,-0.2255390982,-0.8489028276
abx_mega__tec_h2o__3,1.3865520176000001,-1.3047117525,-1.5276697252
abx_mega__phos_h2o__7,0.0825158195,-0.2048207501,0.23647347670000002
abx_mega__chl_h2o__5,0.0820227183,-3.1010898568,-2.8546736802
abx_mega__polmyx_h2o__6,1.462514309,-0.056900738400000005,-0.6676717403
abx_mega__teix_dmso__14,-0.5603839654,-0.4112242366,0.10364661430000001
abx_mega__rif_dmso__7,1.1062738953,-0.2665941099,-0.8174938777
abx_mega__ramo_h2o__3,-0.30502641140000003,-0.47617261260000004,-0.1972418484
abx_mega__fidax_dmso__4,2.0210791661,-0.2630940167,-0.2550231206
abx_mega__teix_dmso__15,2.6890989363,-0.279368693,-0.1637807405
abx_mega__thio_dmso__4,0.0983380938,-1.6023567415,-1.3135012281
abx_mega__rif_dmso__8,0.8076393582,-0.7298957134,-1.2176583871
abx_mega__reta_dmso__4,1.0404407014000001,-2.4867481237,-2.7449780099
abx_mega__inh_h2o__4,1.4042850091,0.4021689513,0.1674650962
abx_mega__novo_dmso__2,1.041027144,-0.6992999798,0.7184192778
abx_mega__dcs_h2o__3,-0.0638789785,-0.4109316254,-0.0899811296
abx_mega__h2o-8b__3,1.0968732859,-0.13881554910000002,-0.0284053616
abx_mega__valin_dmso__3,-0.1194429099,-0.2052562632,-0.4440190169
abx_mega__h2o-2__1,-1.1663271457,0.0979390597,-0.3742459546
abx_mega__cro_h2o__4,0.7990042488,-0.022097971,-0.0823108953
abx_mega__dcs_h2o__4,1.5468166857,-0.0817643834,0.19009073370000001
abx_mega__str_h2o__5,1.0904648804,0.1955236081,0.1230572979
abx_mega__h2o-8a__3,0.4095977531,-0.1708997647,-0.3090692798
abx_mega__dox_dmso__7,-0.0429736677,-0.027947055800000002,0.1271493457
abx_mega__doxo_dmso__2,-3.4790321656,-1.1418768114,-0.057352962300000004
abx_mega__teix_dmso__16,3.0933595889,-0.6609093103,-0.7911037301
abx_mega__rfp_h2o__3,0.4494521199,-2.4952396923,-2.2550692285
abx_mega__ethanol-10__3,1.5557410943,0.41787943400000005,0.09459037740000001
abx_mega__naoh-2__2,-3.3655470761,0.0200884164,-0.3417330189
abx_mega__van_h2o__4,-1.9001638746,-0.8869361229,-0.7655932475
abx_mega__sacet_h2o__2,-1.3040064893,-0.8285906114,-0.8230648089
abx_mega__monac_dmso__4,1.6807318076,-1.4735142487,-1.0244460877
abx_mega__h2o-2__2,1.8248697957000002,0.4126663426,-0.3020521984
abx_mega__zeocin_h2o__5,1.3663125025,-0.0236227842,0.0940214917
abx_mega__nor_naoh__5,0.4393397312,-0.3950397102,0.0455558508
abx_mega__naoh-9__2,1.3261989816,-0.1240741058,0.22416250880000002
abx_mega__dmso-7__3,3.2110508085,0.3185737126,-0.4554145486
abx_mega__van_h2o__5,-1.6551228596,-1.3686232170000001,-0.9496879326000001
abx_mega__flavo_dmso__4,1.5750734044999999,-0.2726692187,-0.14394191280000002
abx_mega__novo_dmso__3,0.6250615209,-1.6564461993,0.257330798
abx_mega__polmyx_h2o__7,0.3533779875,-0.3043366785,-0.3373228733
abx_mega__teix_dmso__17,2.7719114563,0.1399591047,0.035948117
abx_mega__doxo_dmso__3,-4.2457317974,-1.8086614186,-0.3182627866
abx_mega__mem_dmso__6,1.9515374833,-0.006764379300000001,-0.1118469182
abx_mega__h2o-1a__3,0.5801555975,-0.0085793108,-0.0372321217
abx_mega__bacit_dmso__3,4.4190372393,-0.4816302826,-0.4922607946
abx_mega__dox_dmso__8,-0.40203811510000004,-0.1569137343,-0.4416388787
abx_mega__teix_dmso__18,1.2959425208,-0.1563210085,0.0105278607
abx_mega__h2o-6__3,1.4690672932,-0.0136788076,0.2876777482
abx_mega__pen_h2o__5,-0.8282846447000001,0.1203046812,-0.1645882529
abx_mega__lzd_dmso__4,-1.9152412824,-1.4862005189,-0.8421746734000001
abx_mega__daro__1,0.6200441710000001,-1.0588247803,-0.7797289048
abx_mega__solv__1,-0.1233114275,-2.0029311293,-0.9412126322000001
abx_mega__daro__2,0.6820790059,-0.9245423601,-0.555678611
abx_mega__daro__3,1.1849416228,-0.3249801873,-0.38526479500000005
abx_mega__solv__2,-1.0041688695,-2.699385826,-1.0984957077
abx_mega__solv__3,0.6789532105,-0.3799286649,-0.4458656036
abx_mega__dmso-4__1,2.8672350458,0.2240048772,-0.23661516940000002
abx_mega__kirr_dmso__1,-0.8820818663000001,-2.4710928281,-1.8181327083
abx_mega__kirr_dmso__2,-1.1140294313,-2.6004645492,-2.037821897
abx_mega__kirr_dmso__3,2.3333679354,-2.7948438925,-2.2059426753
abx_mega__dmso-4__2,3.0689421555,0.1644718487,-0.4792645071
abx_mega__dmso-4__3,2.5155975547000002,0.207254765,-0.054275376300000004
ackA_pta__dnaA46_del_ackA__1,0.6942838839000001,0.3539826571,1.2971935035
ackA_pta__dnaA46_del_ackA__2,1.3178196313,1.0934174754,2.020927993
ackA_pta__dnaA46_del_ackA__3,0.9669501295,0.1360030186,0.5760517667
ackA_pta__dnaA46_del_pta__1,2.9427182749,2.1891895966,2.383091682
ackA_pta__dnaA46_del_pta__2,0.6794683885,-0.07661756210000001,1.2512872247
ackA_pta__dnaA46_del_pta__3,0.8764933769000001,0.0891211593,1.4331106707
ackA_pta__dnaA46__1,0.4400351061,-0.0542186211,0.1517886605
ackA_pta__dnaA46__2,1.0484021602,-0.649903914,-0.2646015759
ackA_pta__dnaA46__3,-0.0210230875,0.1723656547,0.256464884
ackA_pta__del_ackA__1,0.5329771994,0.6316702245,0.9591927252
ackA_pta__del_ackA__2,1.6258122844,1.8969275324,2.5388323397
ackA_pta__del_ackA__3,-0.0307644767,0.6246078780000001,0.9744724369000001
ackA_pta__del_pta__1,-0.0722844165,-0.9738678341,-0.30103145470000003
ackA_pta__del_pta__2,0.3359383146,0.17273660640000002,1.2020478367
ackA_pta__del_pta__3,0.173827315,0.3030769795,0.7380002376
ackA_pta__wt__1,-0.1597057359,0.47697085380000004,0.0829169912
ackA_pta__wt__2,0.0871687502,-0.17769135390000002,-0.075921268
ackA_pta__wt__3,0.0725369856,-0.2992794998,-0.006995723200000001
anticancer__5fu__1,1.0866117553,-0.6697234750000001,-0.2546401567
anticancer__5fu__2,1.2546408949,-0.41662013800000003,-0.30518404320000003
anticancer__cap__1,1.6135498516,1.3343980527000001,-0.5181824078
anticancer__cap__2,1.0020871753,0.8628168303,-0.675081557
anticancer__cap__3,0.33142162750000004,0.7815814401000001,-0.7835359689
anticancer__wt__1,0.2868188936,-0.5609568427,0.2440588662
anticancer__wt__2,0.2108564336,-0.2539684797,-0.0309117965
anticancer__wt__3,-0.4976753272,0.8149253224,-0.21314706960000002
anticancer__5fu__3,1.0242849164,-1.6145397685,-0.39514538390000004
bio_pln__aero_pln__1,0.1645215868,-0.1561439127,0.1831441383
bio_pln__aero_pln__2,-0.1645215868,0.1561439127,-0.1831441383
bio_pln__anaero_pln__1,0.7060558332,-0.5396536888,-0.1003374077
bio_pln__anaero_pln__2,-1.0820084053,-1.2037875344,-0.0489066405
biocide__bzcl_12h__1,-0.0605026051,0.4453460675,-0.1152614403
biocide__bzcl_12h__2,0.1379128784,0.39491177180000003,0.33069778580000003
biocide__bzcl_12h__3,0.3269442354,0.463263152,0.0395780566
biocide__etoh_12h__1,-0.7190261312,0.15879715760000002,0.0799160108
biocide__etoh_12h__2,-0.8150809319000001,-0.12038182500000001,0.13476163600000002
biocide__etoh_12h__3,-0.6548498207,-0.2370977045,0.1271931801
