,A,TurA
Muconate:GB045_glucose:2.0,-24.890928190554305,-1.3350688899999987
Muconate:GB045_glucose:3.0,-25.029836154432324,-0.7028515999999989
Muconate:GB062_fructose:1.0,-18.539764895128943,-1.141094759999998
Muconate:GB062_fructose:2.0,-23.83642087619423,-1.5699749099999971
Muconate:GB062_fructose:3.0,-23.129573745015765,-1.2271060599999988
Muconate:GB062_fructose_glucose:1.0,-23.86820342576545,-1.631563319999998
Muconate:GB062_fructose_glucose:2.0,-21.76906154270549,-0.986536179999998
Muconate:GB062_fructose_glucose:3.0,-23.451816286468755,-0.7716543199999979
Muconate:GB062_fructose_glucose_gluconate:1.0,-23.160915456399223,-1.1986690699999976
Muconate:GB062_fructose_glucose_gluconate:2.0,-23.14329639221756,-1.019743909999999
Muconate:GB062_fructose_glucose_gluconate:3.0,-23.3054483601152,-1.005751509999998
Muconate:GB062_glucose_gluconate:1.0,-23.57718584331684,-0.7100046999999989
Muconate:GB062_glucose_gluconate:2.0,-23.328168179231284,-0.5041640199999975
Muconate:GB062_glucose_gluconate:3.0,-23.58392392357096,-0.6018806399999974
Muconate:GB062_gluconate:1.0,-23.954715782003955,-1.540894599999998
Muconate:GB062_gluconate:2.0,-23.81366293913505,-0.912732639999998
Muconate:GB062_gluconate:3.0,-23.841345173069,-0.7381696099999981
Muconate:GB062_glucose:1.0,-22.649959900550822,0.0212811800000025
Muconate:GB062_glucose:2.0,-23.56340187627206,-0.2065046799999983
Muconate:GB062_glucose:3.0,-23.41518701192665,-0.1655942199999973
Muconate:KT2440_fructose:1.0,-3.1807052468476145,-0.4271005399999978
Muconate:KT2440_fructose:2.0,-3.0609445234131147,-0.4587234099999975
Muconate:KT2440_fructose:3.0,-1.6061785102075388,0.1825223900000026
Muconate:KT2440_fructose_glucose:1.0,2.6503409934954085,0.692094130000001
Muconate:KT2440_fructose_glucose:2.0,1.8576608395835144,-0.2491758199999978
Muconate:KT2440_fructose_glucose:3.0,2.7492621148577343,0.4504110400000023
Muconate:KT2440_fructose_glucose_gluconate:1.0,1.4524928394773102,0.1062701300000021
Muconate:KT2440_fructose_glucose_gluconate:2.0,0.3617725272664092,-0.2590320999999989
Muconate:KT2440_fructose_glucose_gluconate:3.0,0.2925863264268251,-0.2322488199999988
Muconate:KT2440_glucose_gluconate:1.0,0.7717326754114204,0.1127780100000013
Muconate:KT2440_glucose_gluconate:2.0,0.1427800919565537,0.2284510600000011
Muconate:KT2440_glucose_gluconate:3.0,0.3972383451567706,0.2914677200000017
Muconate:KT2440_gluconate:1.0,1.2454066093768488,0.2803434500000019
Muconate:KT2440_gluconate:2.0,2.2301220813231333,0.809384630000002
Muconate:KT2440_gluconate:3.0,0.6323547420804507,0.7482174700000019
Muconate:KT2440_glucose:1.0,-0.0387102442512424,-0.6530063299999984
Muconate:KT2440_glucose:2.0,-0.2024245790700222,0.1869536400000022
Muconate:KT2440_glucose:3.0,0.2411348234864289,0.4660526900000015
Multistress:Control:1.0,-1.414847324559114,0.1962789000000011
Multistress:Control:2.0,-1.222122632168536,-0.1836273699999981
Multistress:Control:3.0,2.6369699555973267,-0.0126515299999976
Multistress:NaCl_7min:1.0,-1.4739065486219234,0.9403810700000008
Multistress:NaCl_60min:1.0,-16.586286188240393,-1.017653799999998
Multistress:NaCl_7min:2.0,0.2311533885100413,0.7602402900000023
Multistress:NaCl_60min:2.0,-16.879948698017998,-1.2842324799999982
Multistress:NaCl_7min:3.0,-0.6022077472567396,0.3093952300000016
Multistress:NaCl_60min:3.0,-15.806332773471368,-1.2433212699999991
Multistress:Imipenem_7min:1.0,0.0647711660598776,-0.1199460799999982
Multistress:Imipenem_60min:1.0,5.038390772102527,0.819921260000001
Multistress:Imipenem_7min:2.0,1.3181633330886695,0.2176857500000011
Multistress:Imipenem_60min:2.0,2.913151135986916,0.3497839600000016
Multistress:Imipenem_7min:3.0,1.989279532914828,0.0795022400000018
Multistress:Imipenem_60min:3.0,2.1915380170861387,-0.0090693699999988
Multistress:H2O2_7min:1.0,-4.9810411903008776,-1.1602729799999985
Multistress:H2O2_60min:1.0,-6.624274831688748,-1.037663229999998
Multistress:H2O2_7min:2.0,-2.8782165516715,-0.9160636199999992
Multistress:H2O2_60min:2.0,-7.809516764133601,-0.9291378099999984
Multistress:H2O2_7min:3.0,-6.791604962687266,-1.268064129999999
Multistress:H2O2_60min:3.0,-11.854846392282768,-0.8234213099999987
Myristic_acid:Control:1.0,-2.314182609249705,0.1075977966666652
Myristic_acid:Control:2.0,2.938810081157384,-0.0720138033333341
Myristic_acid:Control:3.0,-0.6246274728175478,-0.0355839933333346
Myristic_acid:Myristic_acid:1.0,-16.65793191184607,0.2372445966666649
Myristic_acid:Myristic_acid:2.0,-12.65232479191621,0.1279731966666659
Myristic_acid:Myristic_acid:3.0,-15.75938508208684,0.189457356666665
Phase:WT_Tr:1.0,1.7393022739757162,0.5858048149999995
Phase:WT_Tr:2.0,-0.7562567510815444,0.1926038749999996
Phase:WT_Ex:1.0,0.2596152294381615,0.0098308449999997
Phase:WT_Ex:2.0,-0.2596152294231328,-0.0098308450000015
Phase:WT_Tr:3.0,1.5675168444875212,-0.2013509150000008
Phase:WT_Tr:4.0,1.7721485205998138,-0.0733720749999999
Phase:WT_St:1.0,0.7030811813367234,-1.9542060180000007
Phase:WT_St:2.0,2.3959408910534394,-1.5437610250000002
RelA:Control:1.0,0.1960169791316632,0.1537339966666664
RelA:Control:2.0,0.6327348664135555,0.0867166766666667
RelA:Control:3.0,-0.8287518458856782,-0.2404506733333331
RelA:Del_relA:1.0,-2.343726550699563,0.1717867866666669
RelA:Del_relA:2.0,-2.5974522460391487,0.419498616666667
RelA:Del_relA:3.0,-2.259945974459433,0.2486035266666668
RelA:Del_relA_lignin:1.0,2.967720097425002,0.2176676866666671
RelA:Del_relA_lignin:2.0,2.938981433788058,0.2586829266666655
RelA:Del_relA_lignin:3.0,1.572656139164648,0.4163415266666668
Zn:Zn_ion:1.0,1.4748584019041542,-0.1366650766666648
Zn:Zn_ion:2.0,1.3869343994225067,-0.1406571766666662
Zn:Zn_ion:3.0,1.145015562543709,-0.2618055766666654
Zn:Control:1.0,-0.2480435149935397,0.019026543333334
Zn:Control:2.0,0.0294934029955017,-0.0132058366666658
Zn:Control:3.0,0.2185501127940213,-0.0058207066666646
ZnO:Control:1.0,-0.2155153260904947,-0.1401596499999993
ZnO:Control:2.0,0.2155153260671349,0.140159650000001
ZnO:Nano:1.0,0.908834816172368,-0.2300495599999994
ZnO:Nano:2.0,0.7373894227437161,-0.5138314349999984
ZnO:Nano:3.0,0.6517073152916748,-0.0304750999999985
ZnO:Zn_ion:1.0,0.1188220845768271,-0.4605043709999989
ZnO:Zn_ion:2.0,-0.4763569927763377,-0.6683251829999985
ZnO:Zn_ion:3.0,-0.1702917510739271,-0.0936519799999988
