,A,Nac
abx_mega__h2o-7__2,0.2667195847,0.723854905
abx_mega__h2o-10__3,-0.9458807871,0.3124016258
abx_mega__h2o-8a__2,-0.7259620797,-0.23641273810000002
abx_mega__thio_dmso__3,0.5748805973000001,-0.8668586420000001
abx_mega__lzd_dmso__3,2.1033788353,-1.0430530042
abx_mega__monac_dmso__3,-0.0110555389,1.7722864627
abx_mega__polmyx_h2o__5,-1.9312914920000002,0.1997568555
abx_mega__naoh-6__5,0.1456154913,-0.2226447558
abx_mega__teix_dmso__11,-0.2301983116,-0.258168695
abx_mega__van_h2o__3,-2.2355773042,-0.9163146615000001
abx_mega__teix_dmso__12,-0.9051571067,1.4693707471000002
abx_mega__dox_dmso__6,-0.3743285954,0.7150457751
abx_mega__teix_dmso__13,-3.3592888886,0.07583423560000001
abx_mega__h2o-7__3,0.6484277017,1.291088201
abx_mega__str_h2o__4,3.0022180961,0.36654976440000003
abx_mega__tec_h2o__3,-1.5388179031,-0.3690385224
abx_mega__phos_h2o__7,0.4681885451,-0.5893430229000001
abx_mega__chl_h2o__5,3.5587277636,-0.4808899045
abx_mega__polmyx_h2o__6,-0.7169352483,0.7444431812000001
abx_mega__teix_dmso__14,-0.5057472834,-0.0138354436
abx_mega__rif_dmso__7,1.4087586722,0.6852941224
abx_mega__ramo_h2o__3,-2.1260094329,-0.23832150770000002
abx_mega__fidax_dmso__4,0.09249564440000001,1.9400481498
abx_mega__teix_dmso__15,-2.0716862916,0.6046582118
abx_mega__thio_dmso__4,1.3346446069,-1.06112634
abx_mega__rif_dmso__8,2.2311756096,1.2622380304
abx_mega__reta_dmso__4,2.011630297,-0.13228293030000002
abx_mega__inh_h2o__4,-1.1261913626,-0.46696047490000003
abx_mega__novo_dmso__2,1.6365219417999999,-1.477964131
abx_mega__dcs_h2o__3,0.21805905320000002,0.6117606495
abx_mega__h2o-8b__3,0.49018620090000004,1.6416177001
abx_mega__valin_dmso__3,-0.3392618907,-0.1815506941
abx_mega__h2o-2__1,0.3094080239,0.6904965633
abx_mega__cro_h2o__4,-0.5900810160000001,0.8435732233000001
abx_mega__dcs_h2o__4,-0.3189181967,0.9029916877
