,A,YieP
abx_mega__teix_dmso__2,1.0035432477,-0.2263247667
abx_mega__nal_naoh__3,-2.1951792549,1.5999931244
abx_mega__novo_h2o__2,-0.8229584867,0.2868525778
abx_mega__dmso-10__2,1.3406112846,-0.3687927003
abx_mega__phos_h2o__3,-0.9668898538,0.8822727322
abx_mega__dmso-6__2,1.6227146891,0.2637182259
abx_mega__rfp_ethanol__1,1.4672236535,-2.8112848447000003
abx_mega__dmso-5__3,-0.0613292917,0.0626406671
abx_mega__amyc-d_dmso__1,-1.3101963095,-0.2532080098
abx_mega__sxt_dmso__1,4.8037539804,-0.47072837370000004
abx_mega__dmso-1__1,0.468986514,-0.3078155466
abx_mega__pen_h2o__1,0.3491828911,-0.1412162502
abx_mega__dmso-10__3,1.2086621269,-0.2869418338
abx_mega__nal_naoh__4,-1.5447873023,0.8654519856
abx_mega__cip_naoh__1,-1.0221813035,0.9342732237
abx_mega__pen_h2o__2,0.37513337500000005,-0.4657674128
abx_mega__ery_dmso__2,-0.6402071584,-1.8069607225
abx_mega__dmso-2__2,-1.1524222895,-0.6593075152
abx_mega__van_dmso__2,-0.5410912023000001,-0.9041410980000001
abx_mega__h2o-1b__1,0.6342546945,0.2250701541
abx_mega__ery_h2o__1,0.8427599194000001,-1.5802775047000002
abx_mega__bacit_h2o__1,-4.1739659642,-2.626477133
abx_mega__chl_h2o__2,0.1746816333,-2.5451285204
abx_mega__str_h2o__2,-1.2844669127000001,-1.0505458565
abx_mega__rfp_ethanol__2,1.6982857853,-2.7825240561999998
abx_mega__polmyx_h2o__2,0.40306201350000004,-0.3800967602
abx_mega__tric_h2o__1,1.2503055346,-0.07044371690000001
abx_mega__cip_naoh__2,-0.9058081488,0.9902701689000001
abx_mega__novo_h2o__3,0.1442260112,0.24400949630000002
abx_mega__bacit_dmso__1,0.9927180122,-0.641618054
abx_mega__gen_h2o__1,-1.7777816081000002,-1.3060875283
abx_mega__bacit_dmso__2,0.4289736827,-0.5980738798
abx_mega__chl_dmso__1,-2.8924411665000003,-1.4757120144
abx_mega__bacit_h2o__2,-3.2084355373,-0.9119694806
abx_mega__lvx_dmso__1,4.5986815643,-0.6986724278
abx_mega__bacit_h2o__3,-3.4807795286,-2.4027936507
abx_mega__nor_naoh__2,-0.5868040010000001,1.5351394281
abx_mega__amyc-d_dmso__2,2.4511416171000002,-0.5265019958
abx_mega__polmyx_h2o__3,-1.0517482784,-0.6946599598000001
abx_mega__naoh-6__1,-0.5021100367,0.7423281748
abx_mega__cst_h2o__2,1.1675406654,-0.21959703190000002
abx_mega__h2o-1b__2,0.21176408900000002,-0.9000743949000001
abx_mega__rfp_h2o__1,2.4513199591,-1.7215326132
abx_mega__tet_h2o__1,-0.8828059366000001,-1.3012555066
abx_mega__flavo_dmso__1,1.4152623898,-0.8458433275
abx_mega__zeocin_h2o__1,-0.0164018399,-0.10245582730000001
abx_mega__nor_naoh__3,-1.7173239796000002,1.2218955479
abx_mega__rach_dmso__2,4.567451522,-0.8720144823
abx_mega__thio_dmso__2,-1.2416475336000001,-2.698908695
abx_mega__amyc-d_dmso__3,3.4081916457,-0.37395819480000003
abx_mega__rif_dmso__2,2.9583520868,0.2910308632
abx_mega__amyc-d_dmso__4,1.7079207325999999,-0.2826429339
abx_mega__teix_dmso__3,-1.021228629,0.004319808200000001
abx_mega__valin_dmso__1,1.7861069857,-0.542067567
abx_mega__teix_dmso__4,-0.4123261252,-0.0519904631
abx_mega__ethanol-10__1,0.7752431348000001,-0.4856634507
abx_mega__inh_h2o__1,-1.5825513889,-0.4468468678
abx_mega__rif_dmso__3,1.8033619816000002,-1.1959348536
abx_mega__van_dmso__3,-0.0038632166000000003,-0.4429293724
abx_mega__doxo_dmso__1,1.5855653281,-0.6693491621000001
abx_mega__tmp_dmso__1,-2.5027611508,0.6736879404
abx_mega__ethanol-10__2,-0.8687346165000001,-0.7496449136000001
abx_mega__tmp_dmso__2,-2.4813110219,0.4890028907
abx_mega__amyc-d_dmso__5,1.4737596249,-0.38014321640000004
abx_mega__novo_h2o__4,1.8368910203,0.7059561793
abx_mega__cro_h2o__2,6.0438707974,-0.7666429427
abx_mega__cro_h2o__3,5.447488474,-0.7426369855
abx_mega__gen_h2o__2,-1.4319671753,-1.6170641486
abx_mega__phos_h2o__4,-0.8182834714,-0.5912644744000001
abx_mega__metro_dmso__2,-0.5349143141,0.0108709305
abx_mega__ery_h2o__2,0.4534629734,-1.2585277574
abx_mega__sacet_h2o__1,-1.0008566365,-1.1646090134
abx_mega__nal_naoh__5,-1.7540868756,1.2680617889999999
abx_mega__bacit_h2o__4,-3.0662094877,-1.2103332078
abx_mega__cip_naoh__3,-0.2988548035,0.5279901678
abx_mega__ethanol-8__1,5.1618191157,-0.2250654248
abx_mega__h2o-8a__1,-1.74186042,-0.5339728969
abx_mega__ery_h2o__3,1.5333741933,-1.3370592602
abx_mega__flavo_dmso__2,5.4855615552,-0.9124040173
abx_mega__rif_dmso__4,2.5038076256,-1.3246626517
abx_mega__novo_h2o__5,0.2267101381,0.5056407798
abx_mega__teix_dmso__5,0.7797230829,-0.595352573
abx_mega__naoh-2__1,1.0509807179,-0.0972801046
abx_mega__novo_h2o__6,-0.7931452342,0.2294850262
abx_mega__ctx_h2o__3,2.8521038122,-0.8558374868
abx_mega__rach_dmso__3,5.6590314116,-0.9587128262000001
abx_mega__valin_dmso__2,2.3494032375,-0.794691306
abx_mega__amyc-d_dmso__6,-0.306299034,-0.3700559834
abx_mega__dox_dmso__2,1.3449949882,1.1488371069
abx_mega__teix_dmso__6,0.5253423437,-0.9859369328
abx_mega__naoh-6__2,-0.4639889112,0.37814991330000003
abx_mega__inh_h2o__2,-0.8849574669,-0.3379907002
abx_mega__chl_h2o__3,-0.8490558883,-3.5459126556
abx_mega__nal_naoh__6,-1.3609875725,1.4370661218
abx_mega__chl_dmso__2,-1.4482120396,-1.3930716657
abx_mega__rach_dmso__4,4.2100526657,-0.1864773491
abx_mega__teix_dmso__7,1.1437509502,-0.6997331704
abx_mega__ceru_ethanol__1,2.8558686482,-0.2633307419
abx_mega__dmso-7__1,5.1006773571,-0.3623182459
abx_mega__naoh-6__3,-1.0648242006,0.6846189328000001
abx_mega__phos_ethanol__2,0.4909883881,-0.2536413154
abx_mega__metro_dmso__3,-1.8283075113,-0.0035925942000000002
abx_mega__van_dmso__4,-0.012099503800000001,-0.18869567
abx_mega__h2o-10__1,-1.9369660158,-1.2086159869
abx_mega__h2o-10__2,0.0832960959,-0.6218920192
abx_mega__dmso-6__3,1.6933973578,0.2992961555
abx_mega__mem_dmso__1,5.9333845425,-0.8656879386
abx_mega__ethanol-8__2,2.5431499767,0.1685362906
abx_mega__chl_h2o__4,-0.714156569,-3.8321635744
abx_mega__van_h2o__1,-2.0269360657,-0.6382806991000001
abx_mega__dcs_h2o__1,-0.36960076010000004,-0.7668091068
abx_mega__rif_dmso__5,1.0830521905,0.7013118333
abx_mega__dox_dmso__3,1.6536792824000002,-0.6562138595
abx_mega__mem_dmso__2,3.6451146278,-1.1477349462
abx_mega__lvx_dmso__2,0.7937164569,-0.1929690368
abx_mega__tet_h2o__2,0.5496861343,-2.6492443839
abx_mega__phos_h2o__5,-1.4804201264,-0.6276107487
abx_mega__monac_dmso__1,-0.9984274171,0.0122292353
abx_mega__str_h2o__3,-0.7228898368000001,-1.1724364561
abx_mega__zeocin_h2o__2,1.8770754069,-0.34861912570000003
abx_mega__amyc-d_dmso__7,-1.1894228568,-0.5403068868
abx_mega__fidax_dmso__1,1.9115608363,-0.6605191688000001
abx_mega__h2o-1a__1,-0.6212940841,0.087245947
abx_mega__dox_dmso__4,-0.7848106531,1.3957615304
abx_mega__lzd_dmso__2,-1.9435740960999999,-2.0524968601
abx_mega__tet_h2o__3,-0.3902479197,-1.1480328171
abx_mega__dmso-1__2,1.5457554128000002,-0.5107071134
abx_mega__sxt_dmso__2,2.8381523269,-1.14145394
abx_mega__tric_ethanol__2,4.4843620741,0.5385615034
abx_mega__teix_dmso__8,0.5246892294000001,-0.9538337653000001
abx_mega__ramo_h2o__2,-1.0494312402000001,-1.3964977224
abx_mega__inh_h2o__3,-0.9058245193000001,-0.2100556819
abx_mega__cst_h2o__3,0.0200424301,-0.4690421145
abx_mega__dmso-9__1,2.4089081932,-0.0547646929
abx_mega__ethanol-8__3,1.3242564655,0.22926922700000002
abx_mega__monac_dmso__2,-2.1835879627,-0.9101291083
abx_mega__dmso-9__2,1.2670043182000001,-0.0457920699
abx_mega__metro_dmso__4,0.5026554944,0.4197061741
abx_mega__ctx_h2o__4,4.2188360106000005,-0.7880661067
abx_mega__zeocin_h2o__3,2.7010885789,-0.5880738483
abx_mega__bacit_h2o__5,2.0377386364,-0.9862996132
abx_mega__reta_dmso__1,-1.3900108431,-2.5000454117
abx_mega__ery_h2o__4,2.3649939506,-2.0925051553
abx_mega__ceru_ethanol__2,-0.6074705696,-1.4403904847
abx_mega__fidax_dmso__2,2.0902049178,-0.6300856246000001
abx_mega__novo_dmso__1,-2.0387738066,0.7665588875
abx_mega__naoh-6__4,-0.8777763220000001,0.3132489472
abx_mega__amyc-d_dmso__8,2.3890180697,-0.4639845481
abx_mega__chl_dmso__3,-2.1832578806,-1.5922555188
abx_mega__nal_naoh__7,2.0652968455,-0.2224840294
abx_mega__teix_dmso__9,1.1960002461,-0.6930503198
abx_mega__ery_dmso__3,-0.4321702401,-1.8581764725
abx_mega__tmp_dmso__3,-3.7641540506,0.7165331005000001
abx_mega__sxt_dmso__3,3.5828772711,-0.4364736601
abx_mega__polmyx_h2o__4,-2.491349185,-1.070041745
abx_mega__mem_dmso__3,3.0868419312,-0.4325787412
abx_mega__nal_naoh__8,-3.887667624,0.8138105125
abx_mega__pen_h2o__3,-1.6276848118,-0.0618996538
abx_mega__van_dmso__5,0.5663526091000001,-0.2158780968
abx_mega__zeocin_h2o__4,0.38613172970000004,-0.3112242367
abx_mega__h2o-6__2,-0.8714679169,0.459334552
abx_mega__tet_h2o__4,1.2249851394,-1.2187898041
abx_mega__nor_naoh__4,-0.6940138992,0.2962945456
abx_mega__cip_naoh__4,-1.0549946989,1.3146815211
abx_mega__tmp_dmso__4,-3.1124053406,0.9221051469
abx_mega__reta_dmso__2,0.9338312674,-2.8668787365
abx_mega__mem_dmso__4,4.5560562405,-0.7758179166
abx_mega__dox_dmso__5,0.7569426322,-2.3878289254
abx_mega__tmp_dmso__5,-0.1296944697,-0.12872372140000002
abx_mega__flavo_dmso__3,3.8097028380999998,-0.7569823450000001
abx_mega__tmp_dmso__6,5.4380519988,-0.4863525112
abx_mega__ceru_ethanol__3,0.7766305189,-0.4806283517
abx_mega__teix_dmso__10,-1.121189852,-0.4234401197
abx_mega__novo_h2o__7,-0.0594596214,0.38669148200000003
abx_mega__fidax_dmso__3,2.8835367791,-0.35371881860000004
abx_mega__h2o-1a__2,-0.0426598947,0.08846192060000001
abx_mega__dcs_h2o__2,-0.6880344201,-0.7150574110000001
abx_mega__cst_h2o__4,-1.4807677741,-0.5189281377
abx_mega__van_h2o__2,-0.6373943046,-0.77465295
abx_mega__pen_h2o__4,2.4906629144,-0.6017023603
abx_mega__h2o-8b__2,-1.8805852746,0.018190226900000002
abx_mega__reta_dmso__3,2.4228792053,-2.3828869836
abx_mega__dmso-7__2,6.2426073045,-0.44568075030000004
abx_mega__rfp_h2o__2,2.3262835082,-1.9215713288
abx_mega__rif_dmso__6,1.4031104899,-0.6173872383
abx_mega__sxt_dmso__4,3.7512122773,-0.4576563725
abx_mega__cip_naoh__5,-0.5016485234,1.5071121926000002
abx_mega__dmso-9__3,5.8678932605,-0.6049799082
abx_mega__mem_dmso__5,2.5893197927,-0.9453530386000001
abx_mega__tric_h2o__2,1.2915305862,-0.0100404482
abx_mega__phos_h2o__6,-0.8166969602,0.5081527859
abx_mega__h2o-7__2,4.0578395537,-0.47934342950000003
abx_mega__h2o-10__3,-0.7597989390000001,-0.7499473374000001
abx_mega__h2o-8a__2,-1.6374388086,-0.6512600481
abx_mega__thio_dmso__3,0.3402151451,-1.867548122
abx_mega__lzd_dmso__3,-0.3999842437,-0.7385718491000001
abx_mega__monac_dmso__3,-2.5952617058,-1.3749714437
abx_mega__polmyx_h2o__5,2.7811874123,-1.1401204454
abx_mega__naoh-6__5,-1.2694905069,0.5187316136
abx_mega__teix_dmso__11,-2.1037531687,0.5307751761
abx_mega__van_h2o__3,-1.8765222854,-1.2876558532
abx_mega__teix_dmso__12,5.0640063576,-0.9036037914
abx_mega__dox_dmso__6,-6.698453514,0.0980721888
abx_mega__teix_dmso__13,3.7988876525,-1.3887397865
abx_mega__h2o-7__3,3.9418390218,-0.8048250323
abx_mega__str_h2o__4,-0.1489161651,-1.1632365861
abx_mega__tec_h2o__3,-4.8841990369,-2.8364985481
abx_mega__phos_h2o__7,-1.3124751672000001,0.5067775873
abx_mega__chl_h2o__5,-0.312598331,-2.5786800602
abx_mega__polmyx_h2o__6,-4.7011278824,-0.9267228034
abx_mega__teix_dmso__14,-1.6342159251,0.2606024208
abx_mega__rif_dmso__7,1.0137353343,-0.1970756844
abx_mega__ramo_h2o__3,-0.8796587937,-0.9912622372000001
abx_mega__fidax_dmso__4,4.090221575,-0.8293346730000001
abx_mega__teix_dmso__15,1.2303847112,-0.954864743
abx_mega__thio_dmso__4,0.8992039211,-1.8872276828999999
abx_mega__rif_dmso__8,2.6502725604,-0.7391449123
abx_mega__reta_dmso__4,1.2185755174,-2.846384725
abx_mega__inh_h2o__4,-1.655231255,-0.6572839022
abx_mega__novo_dmso__2,-2.0553391132,0.7306815579
abx_mega__dcs_h2o__3,0.0124839788,-0.8733277378000001
abx_mega__h2o-8b__3,3.0368015433,-0.5004108389
abx_mega__valin_dmso__3,-1.0295181631,-0.2716236173
abx_mega__h2o-2__1,-3.7800759907,-0.689143174
abx_mega__cro_h2o__4,0.0194850934,-0.5464359268
abx_mega__dcs_h2o__4,-0.6344409216,-0.6126508519
abx_mega__str_h2o__5,0.9931667239,-0.7898214276000001
abx_mega__h2o-8a__3,-1.103786243,-0.7716846390000001
abx_mega__dox_dmso__7,-0.6069188616,0.8686505915
abx_mega__doxo_dmso__2,2.2461361368,-1.0971298344
abx_mega__teix_dmso__16,5.2953557171,-1.9556719441000001
abx_mega__rfp_h2o__3,1.6493666895999999,-2.4182362171
abx_mega__ethanol-10__3,2.0091733867,-0.4270130005
abx_mega__naoh-2__2,1.7915233389,-0.4071840731
abx_mega__van_h2o__4,-1.8033258878,-0.8021732954
abx_mega__sacet_h2o__2,-2.6428991483,-1.0721006457
abx_mega__monac_dmso__4,-3.1674402357,-1.2910819026
abx_mega__h2o-2__2,-3.6161296213,-0.4501406979
abx_mega__zeocin_h2o__5,-0.6155374122,-0.4514372196
abx_mega__nor_naoh__5,0.4705797487,-0.3383643723
abx_mega__naoh-9__2,0.3122207808,-0.24225289
abx_mega__dmso-7__3,5.8812387509,-0.7101283107
abx_mega__van_h2o__5,-1.2381937689,-0.7268896691000001
abx_mega__flavo_dmso__4,5.2753391929,-0.6381754692
abx_mega__novo_dmso__3,-1.2441448221,0.6764963709
abx_mega__polmyx_h2o__7,2.9029789282,-0.8880295741
abx_mega__teix_dmso__17,0.9277813290000001,-0.8128811563
abx_mega__doxo_dmso__3,2.6023677649,-1.0598642199
abx_mega__mem_dmso__6,1.5570184118000001,-0.6606108372
abx_mega__h2o-1a__3,0.6639539788000001,-0.1757078676
abx_mega__bacit_dmso__3,0.36844733160000004,-0.3923674554
abx_mega__dox_dmso__8,-1.6546111419,-0.7033866416
abx_mega__teix_dmso__18,0.1414682653,-0.0448805781
abx_mega__h2o-6__3,-1.4824901252,0.7366103638
abx_mega__pen_h2o__5,0.7408810134,-0.5994167805
abx_mega__lzd_dmso__4,-0.707824772,-0.25648917920000003
abx_mega__daro__1,-2.9835550022,-2.8698575287
abx_mega__solv__1,-1.7168109408,-2.6842120915
abx_mega__daro__2,-2.5340329967,-2.7999309025
abx_mega__daro__3,-1.53762546,-2.4436265284
abx_mega__solv__2,-1.774130982,-3.008827687
abx_mega__solv__3,-2.27219522,-2.695998492
abx_mega__dmso-4__1,2.6303832242,-0.1187020933
abx_mega__kirr_dmso__1,0.2356698523,-1.8479679
abx_mega__kirr_dmso__2,0.9643335904,-1.9140511966
abx_mega__kirr_dmso__3,0.2862442697,-1.9991593188999999
abx_mega__dmso-4__2,3.1360962049,-0.1927753015
abx_mega__dmso-4__3,3.3022641325,-0.06515910550000001
ackA_pta__dnaA46_del_ackA__1,-0.4802167498,0.6447769111
ackA_pta__dnaA46_del_ackA__2,-0.9958249210000001,0.8600951875
ackA_pta__dnaA46_del_ackA__3,-0.2618402794,0.6001824374
ackA_pta__dnaA46_del_pta__1,2.7079283106,1.5013043562
ackA_pta__dnaA46_del_pta__2,0.5605443284,0.104116915
ackA_pta__dnaA46_del_pta__3,1.0167770969,0.4410707177
ackA_pta__dnaA46__1,-1.2103905468,-0.0320828976
ackA_pta__dnaA46__2,-0.3633082763,-0.34606759800000003
ackA_pta__dnaA46__3,-0.7372811546,0.0264470425
ackA_pta__del_ackA__1,-0.6083078223,1.0772807908
ackA_pta__del_ackA__2,-0.7180543448000001,1.8211648104
ackA_pta__del_ackA__3,-0.6424228282000001,1.0046123729
ackA_pta__del_pta__1,0.37462969830000004,0.1012415353
ackA_pta__del_pta__2,-0.0610629104,0.5634120083
ackA_pta__del_pta__3,0.7270567421,0.8094155558
ackA_pta__wt__1,0.1173335358,-0.0535626182
ackA_pta__wt__2,-0.39692774000000003,0.0190458115
ackA_pta__wt__3,0.27959420420000003,0.0345168067
anticancer__5fu__1,-3.5805417565,0.48620711450000004
anticancer__5fu__2,-3.1829882932,0.23704292440000002
anticancer__cap__1,-3.0112062478,0.0355305316
anticancer__cap__2,-3.2439121517,0.1380631886
anticancer__cap__3,-2.3466570264,0.0818551249
anticancer__wt__1,-0.43244572470000003,0.298385715
anticancer__wt__2,0.4641142877,-0.0241110736
anticancer__wt__3,-0.0316685629,-0.2742746414
anticancer__5fu__3,-4.2216273287,-0.1246451205
bio_pln__aero_pln__1,0.1215796878,0.1591592452
bio_pln__aero_pln__2,-0.1215796878,-0.1591592452
bio_pln__anaero_pln__1,-0.1489087902,-0.1231318985
bio_pln__anaero_pln__2,-1.2925855295,-0.2494777061
biocide__bzcl_12h__1,-0.12637928240000001,-0.3859956109
biocide__bzcl_12h__2,2.2772847828,-0.7140440298
biocide__bzcl_12h__3,0.6025650176,-0.4055222634
biocide__etoh_12h__1,0.09148254930000001,-0.2885970187
biocide__etoh_12h__2,0.3822965789,-0.35517388250000004
biocide__etoh_12h__3,0.2826381067,-0.1074825153
biocide__gluald_12h__1,0.3666462525,0.1126194357
biocide__gluald_12h__2,0.6236841415000001,0.06580072470000001
biocide__gluald_12h__3,-0.0013832058,-0.08656643060000001
biocide__h2o2_12h__1,0.2508453364,-0.1609807645
biocide__h2o2_12h__2,0.6661401948,-0.2316655755
biocide__h2o2_12h__3,1.3225203947,-0.1352110044
biocide__2ppoh_12h__1,0.6103235345,-0.14973033300000002
biocide__2ppoh_12h__2,0.5578353525,-0.27993123200000003
biocide__2ppoh_12h__3,0.5444864812,-0.3003282083
biocide__paa_12h__1,0.9996433677000001,-0.0034035451
biocide__paa_12h__2,1.3589663264,0.1141615185
biocide__paa_12h__3,1.4522926468000001,-0.1710498588
biocide__phe_12h__1,2.008822222,-0.053783478700000005
biocide__phe_12h__2,2.0674834876,-0.0752990625
biocide__phe_12h__3,1.7127344293,-0.0756931636
biocide__pvp-i_12h__1,2.8722277709,-0.22374072800000003
biocide__pvp-i_12h__2,1.5840838258,0.2552878551
biocide__pvp-i_12h__3,2.6662793745,0.0877997596
biocide__bleach_12h__1,1.8685843883,-0.34703454510000004
biocide__bleach_12h__2,1.9407836964,-0.3179953788
biocide__bleach_12h__3,1.6156853068,-0.5706414624
biocide__chx_12h__1,1.5374868118,-0.0186000197
biocide__chx_12h__2,2.7630974436,-0.5887359462
biocide__chx_12h__3,2.761441843,-0.7711452415000001
biocide__bzcl_30m__1,1.0708155426000001,-0.1130185794
biocide__bzcl_30m__2,0.5593762631,-0.1140686451
biocide__bzcl_30m__3,0.3511090939,-0.006962605
biocide__phe_30m__1,-0.3926558898,-0.321212516
biocide__phe_30m__2,-0.206398607,0.2204561494
biocide__phe_30m__3,-1.0474813111,-0.2311683445
biocide__pvp-i_30m__1,0.09068804180000001,-0.031117517900000002
biocide__pvp-i_30m__2,0.7132123319,-0.21188229760000002
biocide__pvp-i_30m__3,0.3642406078,-0.2298048098
biocide__ctrl_12h__1,-0.2957021138,-0.2619201691
biocide__ctrl_12h__2,-0.2953530292,0.0948299149
biocide__ctrl_12h__3,-0.6875676239,0.0387844061
biocide__ctrl_30m__1,0.9386317458000001,0.1011683663
biocide__ctrl_30m__2,-0.8322501004,-0.1311593876
biocide__ctrl_30m__3,-0.10638164550000001,0.029991021200000002
clpP__wt__1,-0.8481396233,-0.0067885093
clpP__wt_DPTA__1,11.826178607,1.5229360394
clpP__wt__2,-0.1428714376,-0.21793019700000002
clpP__wt_DPTA__2,11.9962903234,0.9857951832
clpP__wt__3,0.9910110609,0.22471870630000002
clpP__wt_DPTA__3,11.2461043288,1.6326050152
clpP__delclpP__1,-0.6750417447,-0.3030191863
clpP__delclpP_DPTA__1,10.1374935338,1.7887131948000001
clpP__delclpP__2,-0.0073183564,0.1525788227
clpP__delclpP_DPTA__2,8.969559503,1.8693828751
clpP__delclpP__3,0.5740787277,-0.20805668630000002
clpP__delclpP_DPTA__3,9.8982662909,1.9114977008
colombos2__delydcR__1,-0.0728452706,-0.12932822360000001
colombos2__delydcR__2,0.640513835,-0.2429347412
colombos2__delydcR__3,0.27618103,-0.215891409
colombos2__delyjiR__1,-0.8232549377,0.166532292
colombos2__delyjiR__2,0.2710465292,0.3621413942
colombos2__delyjiR__3,0.6363502507000001,0.4591579302
colombos2__wt__1,0.5255426752,0.4552610134
colombos2__wt__2,0.2936536067,-0.5060280889000001
colombos2__wt__3,-0.8191962819,0.0507670755
crp_k100__ar1_ar2__1,-4.6503387147,-2.9347716658
crp_k100__ar1_ar2__2,-2.7647087054,-3.8209338024
crp_k100__ar1_ar2__3,-3.6265523173,-2.2875505601
crp_k100__wt__1,-0.0868636208,-0.0494174816
crp_k100__wt__2,0.2119346322,0.10358228130000001
crp_k100__wt__3,-0.12507101140000002,-0.0541647997
crp_k100__K100Q__1,1.7004252005,-0.5612797324000001
crp_k100__K100Q__2,1.9512102621,-0.2471771322
crp_k100__K100R__1,1.4934175046,0.0625454661
crp_k100__K100R__2,0.1786731263,-0.1588781303
crp_k100__K100R__3,1.0107537744,-0.1521777497
csrA__wt_t00__1,-0.4383443842,-0.1571069849
csrA__wt_t02_30__1,0.1603720098,-0.8510518188
csrA__wt_t05__1,2.1515028841,-1.3095703815
csrA__wt_t10__1,1.4383826893,-1.4641779816
csrA__wt_t15__1,0.9217610719,-2.5516081721
csrA__delcsrA_t00__1,-1.6869523439,0.4764850993
csrA__delcsrA_t02_30__1,-0.2220583795,0.025663064500000003
csrA__delcsrA_t05__1,2.0272046958,-0.4242544467
csrA__delcsrA_t10__1,0.5351494442,-0.9873671316
csrA__delcsrA_t15__1,1.3892343385,-1.0447940625
csrA__wt_t00__2,0.4383443842,0.1571069849
csrA__wt_t02_30__2,0.9532513394000001,-0.8478273865
csrA__wt_t05__2,2.7102530769,-1.0810577218
csrA__wt_t10__2,2.016636541,-1.7919337557000001
csrA__wt_t15__2,0.22270079410000002,-1.7953541255
csrA__delcsrA_t00__2,-1.4155189838,0.3658871631
csrA__delcsrA_t02_30__2,0.243570314,-0.5953485190000001
csrA__delcsrA_t05__2,0.4935303272,-0.08087610490000001
csrA__delcsrA_t10__2,0.7348643810000001,-0.9026954873
csrA__delcsrA_t15__2,0.5824940772,-1.3883391779
cstr_pfr__str_0005m__1,0.45883988880000004,0.2879483843
cstr_pfr__str_0010m__1,-0.148232877,0.0184073623
cstr_pfr__str_0025m__1,-0.3095931557,0.2309794585
cstr_pfr__str_0045m__1,-0.3306988442,0.33484794630000003
cstr_pfr__str_0075m__1,-0.40704719170000003,0.3224148096
cstr_pfr__str_0120m__1,-0.5806121254000001,0.3440905043
cstr_pfr__str_0210m__1,0.1554662098,0.3204757476
cstr_pfr__str_0330m__1,0.16606845180000002,0.3845224708
cstr_pfr__str_1500m__1,-0.1632882765,0.190436622
