,A,ArcA
pgi__glu4_delpgi__1,2.9947617035,10.1906117898
pgi__pgi_ale1__1,-1.5516585328999999,9.9214105293
pgi__pgi_ale2__1,-3.9385033562,10.8682570531
pgi__pgi_ale3__1,-1.9262345546000001,9.8215814119
pgi__pgi_ale5__1,-1.7799405162,10.3858826544
pgi__pgi_ale6__1,-2.5712504558,10.0435249998
pgi__pgi_ale7__1,-1.8574058413,9.94056156
pgi__pgi_ale8__1,-0.7974895144,10.0114552486
ica__wt_glc__1,-0.7169541402,9.7321677516
ica__wt_glc__2,-1.581335465,9.6982855254
ica__wt_glc__3,-3.4370425975,9.9194723991
ica__wt_glc__4,-3.8295185058000003,10.1495032246
ica__arg_sbt__1,0.028002164700000002,9.9167494974
ica__arg_sbt__2,1.5786757656,9.9583999789
ica__cytd_rib__1,6.9309052053,12.1860934157
ica__cytd_rib__2,5.180854578,12.2565571494
ica__gth__1,-5.5612420004,11.2069449857
ica__gth__2,-6.4611431405,11.1603009512
ica__leu_glcr__1,3.8197367824,9.9257562019
ica__leu_glcr__2,3.2469660152,9.9257997688
ica__met_glc__1,0.8909665488,9.613284074
ica__met_glc__2,0.5592764367,9.5622530043
ica__no3_anaero__1,-24.7149867085,10.440261816
ica__no3_anaero__2,-26.753576846,10.287137095
ica__phe_acgam__1,-0.3142201523,9.8613908828
ica__phe_acgam__2,0.059143321000000006,9.8801526644
ica__thm_gal__1,2.9414893257,10.5624821568
ica__thm_gal__2,2.8550095536,10.5411158721
ica__tyr_glcn__1,-0.5012211627000001,9.5861648732
ica__tyr_glcn__2,-0.797587911,9.6692171612
ica__ura_pyr__1,0.0638398827,9.9348265624
ica__ura_pyr__2,2.8872331520000003,9.9752616652
ica__wt_glc__5,-2.6748295059,9.7959731832
ica__wt_glc__6,-1.7155536398,9.8192254115
ica__bw_delpurR_cytd__1,-4.5223142857,9.616743171
ica__bw_delpurR_cytd__2,-5.0045887175,9.7349984895
ica__ade_glc__1,-2.406843594,10.2786087329
ica__ade_glc__2,-2.2596025298,10.2393081891
ytf__wt_glc__1,-3.720651679,10.3405186252
ytf__wt_glc__2,-7.1092835824,10.5305453798
ytf__delyafC__1,-20.486241079,11.0401071952
ytf__delyafC__2,-20.3951315718,11.0807402034
ytf__delyeiE__1,-14.2901982616,10.4077860749
ytf__delyeiE__2,-5.4267051643,10.3406813956
ytf__delyiaJ__1,-20.2139955108,10.8300776647
ytf__delyiaJ__2,-20.397235056,10.4628533577
ytf__delyieP__1,-17.8536316293,10.4167402813
ytf__delyieP__2,-15.5747319684,10.299204419
ytf__wt_ph5__1,-1.2804102139,10.7556614663
ytf__wt_ph5__2,-2.108500398,10.8771795649
ytf__wt_ph8__1,-1.0863151094,10.2745069236
ytf__wt_ph8__2,-0.6630618744,10.2466083778
ytf__delybaO__1,-18.1166102815,10.9411562649
ytf__delybaO__2,-18.3689652875,10.8186435302
ytf__delybaQ__1,-1.0144711352,10.2725623359
ytf__delybaQ__2,-0.4845313431,10.3578997444
ytf__delybiH__1,-11.1486398979,10.2559202597
ytf__delybiH__2,-18.371429461600002,10.5313323457
ytf__delydcI_ph5__1,-1.1474513632,10.497896703
ytf__delydcI_ph5__2,-1.7622692444,10.6793459954
ytf__delydcI_ph8__1,-2.8366940764,10.2910324794
ytf__delydcI_ph8__2,-0.4414817421,10.1020912925
ytf__delyddM__1,-0.1514254575,10.8367135044
ytf__delyddM__2,0.5992378705,10.7745569589
ytf__delyheO__1,-18.9256610647,10.9248479626
ytf__delyheO__2,-18.2714397081,10.7789513499
fps__bw_glc__1,-0.5619566007,9.8858521308
fps__bw_glc__2,0.8318289758,9.7759761941
fps__fps_thrA_ale1__1,-1.7649861982,10.7321596016
fps__fps_thrA_ale1__2,-1.6104169399,10.6216016484
fps__fps_thrA_ale2__1,-1.4461223387,10.4816263794
fps__fps_thrA_ale2__2,-1.6054693609,10.5005186301
fps__fps_serB_ale1__1,-0.8299738838,10.2338004792
fps__fps_serB_ale1__2,-0.2327700731,10.2455449996
fps__fps_serB_ale4__1,-3.0546774809,10.5985920512
fps__fps_serB_ale4__2,-3.679933718,10.6602542611
fps__fps_ptsI_ale1__1,2.2055235761,10.6250392711
fps__fps_ptsI_ale1__2,2.688525499,10.5179521922
fps__fps_ptsI_ale3__1,1.6786513375,10.0706319637
fps__fps_ptsI_ale3__2,1.4359291567999999,10.0978859452
pal__lyx_ale2_f6__1,1.2563526418,10.3970332123
pal__lyx_ale2__1,1.6861549259,9.5522881692
pal__lyx_ale2__2,2.0737295886,9.5190251373
pal__lyx_ale4__1,1.6861549259,9.5522881692
pal__lyx_ale4__2,2.0737295886,9.5190251373
pal__5drib_ale10_f18__1,3.1081218994,9.6240521511
pal__5drib_ale10_f18__2,3.0653349076,9.6283053262
pal__5drib_ale10__1,3.7325241505999998,10.001503321
pal__arab_ale14_f9__1,-0.6931055845,10.1206413952
pal__arab_ale14_f9__2,-1.4986356404,10.1023517893
pal__arab_ale14__1,1.5013736389,9.554290686
pal__arab_ale14__2,1.5369616316,9.5399468184
pal__arab_ale16__1,-0.3269514881,9.4196540825
pal__arab_ale16__2,-1.2182405927,9.6044092911
pal__tartr_ale26_f10__1,4.1292428739,9.9793731022
pal__tartr_ale26_f10__2,3.8218283135,10.1970185068
pal__tartr_ale26__1,5.0986614956,9.8589525026
pal__tartr_ale26__2,4.7209875184,9.8024599785
pal__tartr_ale28_f10__1,2.3613550979,10.8792568647
pal__tartr_ale28_f10__2,0.9891944156,10.7642949913
pal__tartr_ale28__1,4.6187639722,9.916560138
pal__tartr_ale28__2,3.7891432974,10.0737801034
efeU__delmenFentC_citr__1,-1.4736974818,10.2713058605
efeU__delmenFentC_citr__2,-2.2362665642,10.1588139366
efeU__delmenFentC__1,-4.251028943,10.8036320672
efeU__delmenFentC__2,-4.2307669297,10.8066817727
efeU__menFentC_ale39__1,-17.5868384082,10.2543746862
efeU__menFentC_ale39__2,-18.4010030756,10.3834828126
efeU__menFentC_ale29__1,-6.4717143936,10.2288380146
efeU__menFentC_ale29__2,-6.549861216,10.3053768459
efeU__menFentC_ale30__1,-3.1091454211,9.289895585
efeU__menFentC_ale30__2,-2.7161829718,9.1786002504
efeU__menFentCubiC_ale36__1,-2.5311922557,10.0540901325
efeU__menFentCubiC_ale36__2,-1.4610222087,10.0491631702
efeU__menFentCubiC_ale37__1,-0.4088488223,10.4811289392
efeU__menFentCubiC_ale37__2,-0.2103973869,10.4740236095
efeU__menFentCubiC_ale38__1,-5.7003211778,9.8001916741
efeU__menFentCubiC_ale38__2,-6.2378362406,9.6788851526
