,A,MraZ,LexA,PdhR
abx_mega__cst_h2o__1,0.31953842120000003,-0.4885497983,-0.3605945508,-0.1260341966
abx_mega__tec_h2o__1,3.1446592644,1.1466881181,-2.4226243584000002,1.8993536682
abx_mega__str_h2o__1,-3.8705678654,0.3522871609,-1.7491723997,0.9910496412
abx_mega__ctx_h2o__1,0.4490515054,-0.1824617289,-0.4719943461,-0.1334589168
abx_mega__nal_naoh__2,-1.8496382307,-0.3191884443,0.7241115043,0.0270796529
abx_mega__phos_h2o__1,1.593864168,-0.1357641508,-0.6705143162,-0.8466689001000001
abx_mega__dmso-5__2,0.29015359900000004,0.5366431808000001,-0.1523698511,-0.8803425433000001
abx_mega__polmyx_h2o__1,1.1575696667,-0.1139023601,-0.019972669800000002,-0.2752803049
abx_mega__h2o-8b__1,0.3672392968,-0.0417600143,-0.39912844070000003,-0.39945049250000003
abx_mega__h2o-6__1,-1.2795040914,0.0170270541,-0.19350428090000002,-0.4419979311
abx_mega__thio_dmso__1,0.6534555518,-0.7330149101,-1.5789873405,1.266892293
abx_mega__phos_h2o__2,0.9998278889000001,-0.0019095181,-0.3228054195,-0.0808113733
abx_mega__ctx_h2o__2,3.2705864766,-1.3903236858999999,-0.2812358867,0.07512070230000001
abx_mega__lzd_dmso__1,-2.3689280245,-0.27271881,-0.9167735951,-0.6673192978
abx_mega__naoh-9__1,1.1071357919,-0.043280884400000004,-0.42471529690000004,0.831519917
abx_mega__dox_dmso__1,-0.09944857180000001,-0.5532925481000001,-1.5380465094,0.037717413400000004
abx_mega__phos_ethanol__1,-0.6430454556,0.25310670690000003,-0.3423547521,1.3179327087
abx_mega__teix_dmso__1,3.3866219154,-0.5829547217000001,-1.648603199,0.42768361860000004
abx_mega__dmso-10__1,0.4204199752,-0.6602446778000001,-0.41428744440000004,0.2221631061
abx_mega__van_dmso__1,-0.0928884086,0.26823359080000003,0.8338182087,-0.7253846821000001
abx_mega__ramo_h2o__1,2.0623730118,-0.41020110330000004,-0.4122688446,-0.6514753326
abx_mega__tec_h2o__2,3.0837859158,0.0695387211,-0.7412656399,-0.1516361028
abx_mega__h2o-7__1,0.3340949257,-1.4673349978,-0.713159883,0.6963605033
abx_mega__cro_h2o__1,1.4435187536,-1.2081456175,-0.6976809375,0.1837709777
abx_mega__tric_ethanol__1,4.5706596028,0.3497887941,-1.0474479203,1.9427185526000001
abx_mega__nor_naoh__1,-0.7790655551,-0.2467805166,1.2089031252,0.046946868700000005
abx_mega__teix_dmso__2,-0.3124413207,0.1917457829,-0.7534309621,-1.4623495752
abx_mega__nal_naoh__3,-1.6948277263,-0.4543609187,0.7302680959000001,-0.2098762837
abx_mega__novo_h2o__2,6.4735949235,-0.7494676742,-1.4439634784,-2.4302167375
abx_mega__dmso-10__2,-0.1239976722,-0.4602019936,-0.36776139680000003,0.604853218
abx_mega__phos_h2o__3,-1.2976368487,-0.11441385,-0.3311263944,-0.9640342847000001
abx_mega__dmso-6__2,-2.2702125730000002,0.0609854097,-0.8920029212,-1.6481699323
abx_mega__rfp_ethanol__1,0.47011023830000004,-0.28710678370000003,-0.8345750522000001,0.9013299302000001
abx_mega__dmso-5__3,-0.1066609154,0.3354036976,-0.4324448281,-0.10801200050000001
abx_mega__amyc-d_dmso__1,-10.320079614600001,0.7936172076,0.1588223734,1.1608061739
abx_mega__sxt_dmso__1,0.3172369673,-1.1189365421,-0.9366619075,0.4267420384
abx_mega__dmso-1__1,0.1504118233,0.0507127324,-0.9008236428,-0.4874277622
abx_mega__pen_h2o__1,-0.4814665166,-0.0607820257,-0.45187359200000005,-1.8979802275000002
abx_mega__dmso-10__3,-0.3751319454,-0.6126275118,-0.6501837948,0.1789729038
abx_mega__nal_naoh__4,0.3944227339,-0.4665245938,0.43019613900000003,0.46096723570000003
abx_mega__cip_naoh__1,0.6902150881,-0.3839092428,1.1313936102,0.1620881607
abx_mega__pen_h2o__2,1.2399696676,0.0269725998,-0.0967922771,-1.4105969001
abx_mega__ery_dmso__2,-3.1251809788,0.5771527743,-0.4634489498,1.2973136534
abx_mega__dmso-2__2,-0.5903426631,0.9710413532000001,-2.3988673115,0.43651621490000003
abx_mega__van_dmso__2,-1.0275367018,0.6118253565,0.6502955587,-0.2776117523
abx_mega__h2o-1b__1,1.2263367934,-0.3361653714,0.0541005165,0.19783469480000002
abx_mega__ery_h2o__1,-2.4361424111,-0.0797237863,-0.7630264977,1.0909626649
abx_mega__bacit_h2o__1,5.2510821687,-1.1078484822,-0.7278664819,-0.5051957658
abx_mega__chl_h2o__2,-1.2699183501,-0.025377876400000002,-0.6925001034,1.4602620033
abx_mega__str_h2o__2,-3.8351395713,0.8444865336,-1.6621151185,0.7237114785000001
abx_mega__rfp_ethanol__2,1.4252096926,-0.44253759940000004,-0.5209469019,0.9589068235
abx_mega__polmyx_h2o__2,1.4207546298,-0.5823873781000001,-0.2526649083,-0.6450805798
abx_mega__tric_h2o__1,1.1228858358,0.23829383070000001,-0.41709045920000004,1.6610062005000001
abx_mega__cip_naoh__2,-1.3350541092000001,-0.2345899736,0.8446497470000001,0.6424275629
abx_mega__novo_h2o__3,7.6652338896,-0.8235208483,-1.3103611554999999,-2.5199765503
abx_mega__bacit_dmso__1,-1.6592225336,0.3977042776,-0.39683426380000003,-0.61694242
abx_mega__gen_h2o__1,-8.2326804637,1.1598748517,-0.5930911640000001,1.8493936930000001
abx_mega__bacit_dmso__2,-0.7103514923,0.4059252582,-0.5157758239,-1.0286376569
abx_mega__chl_dmso__1,-0.6824767992,0.8656337432000001,-0.6618996958000001,-0.3900090181
abx_mega__bacit_h2o__2,2.2112715328,0.3380883455,-1.0095900587,0.3916022518
abx_mega__lvx_dmso__1,1.4997075923,0.132466457,0.39153897130000004,-0.6139734105
abx_mega__bacit_h2o__3,5.1430824676,-0.3912703956,-0.9550324745000001,0.0134662168
abx_mega__nor_naoh__2,-0.9536438576,-0.157373125,1.0820441508,-0.2786400758
abx_mega__amyc-d_dmso__2,-7.8769763018,0.7287774051,0.17532934760000002,-0.5352352775
abx_mega__polmyx_h2o__3,-0.8416694457,0.3951151799,-1.3647957231,1.7065577897000002
abx_mega__naoh-6__1,-1.3573894417,-0.0345724355,-0.1030792584,-0.7114469910000001
abx_mega__cst_h2o__2,-1.9434306799,-0.1060411096,-0.055539057600000004,-0.4062820858
abx_mega__h2o-1b__2,2.7431709856,-0.4296506015,0.1340611615,1.1323660895
abx_mega__rfp_h2o__1,-0.8975445168,0.33947211390000004,-0.6317871537,-0.5028850884
abx_mega__tet_h2o__1,-2.6961520299,0.0300781517,-1.117317177,-1.897170357
abx_mega__flavo_dmso__1,2.1355227018,0.0331815887,-0.9020775940000001,0.1384413032
abx_mega__zeocin_h2o__1,-0.2678977657,-0.7618497435,0.3553696968,-0.1544561085
abx_mega__nor_naoh__3,-0.5068037331,-0.1287514056,1.0713810513,0.34029836890000004
abx_mega__rach_dmso__2,2.1074511842,-1.9935665341000002,0.6269860923,-0.449618785
abx_mega__thio_dmso__2,-1.1777755181,1.0322360822,-0.8184176179,2.7152643049
abx_mega__amyc-d_dmso__3,-9.9379326791,1.0113797274,0.3537058838,1.6077031243
abx_mega__rif_dmso__2,-2.5098365509000002,0.6106596278,-0.5535449112,-0.1452984927
abx_mega__amyc-d_dmso__4,-8.4841673771,0.4713596836,0.1088805935,-0.233597714
abx_mega__teix_dmso__3,0.1246902698,-0.0082234017,-0.44880827170000004,0.1842955241
abx_mega__valin_dmso__1,-2.4585261063,0.1782581016,-0.2664358761,-1.8900768642
abx_mega__teix_dmso__4,-1.0954160097,-0.033171829,-0.6011272411,-1.0885010201
abx_mega__ethanol-10__1,1.1428700333,-1.4658149045,-0.7056644308000001,0.33415471880000003
abx_mega__inh_h2o__1,-1.0077994943,-1.8218537931,-0.7738321505,0.163974729
abx_mega__rif_dmso__3,0.6841484179,0.2464487039,-0.9883610304,-0.9465467362000001
abx_mega__van_dmso__3,-2.7309787359,0.4122349926,0.6488484013,-0.11527832730000001
abx_mega__doxo_dmso__1,-0.8202894787,-0.8766457927,0.8264987613,-1.6774971662
abx_mega__tmp_dmso__1,-1.130387902,0.23934875360000002,-0.3274578173,-0.5065759217
abx_mega__ethanol-10__2,-0.9416265945000001,-1.8142666951000002,-1.124796193,-0.5628886394
abx_mega__tmp_dmso__2,-0.7524362679000001,0.3546019507,-0.2979865941,-0.7358977565
abx_mega__amyc-d_dmso__5,-9.9782116941,0.8625502909,0.2535894027,1.7595576955
abx_mega__novo_h2o__4,6.5868418751,0.118025852,-1.0025501383,-3.5277934386
abx_mega__cro_h2o__2,1.4932240643,-0.9315840632,-0.5555307263,0.6800925502
abx_mega__cro_h2o__3,2.0197710954,-0.7518277531,-0.6333914708,0.0690848901
abx_mega__gen_h2o__2,-7.1573063925,1.4338018052,-0.4701641546,1.8034974754
abx_mega__phos_h2o__4,1.2976503687,0.7001103288,-1.4739084575999999,1.2636687302
abx_mega__metro_dmso__2,1.8425840022000002,0.4262205879,0.5861512747000001,0.051329992000000005
abx_mega__ery_h2o__2,-4.1641246397,-1.0068965791,-0.5571932071,-0.6355700000000001
abx_mega__sacet_h2o__1,0.4845587289,0.6645227332,-2.9085156724,3.0086459954
abx_mega__nal_naoh__5,-1.3106587868,-0.6189141899,0.7807742173000001,1.0393897033
abx_mega__bacit_h2o__4,2.1065815901,0.4893073315,-0.6997537746,0.1199381191
abx_mega__cip_naoh__3,0.7159205033,-0.194750539,1.0406411593,-0.9546299443
abx_mega__ethanol-8__1,1.7766766687,-0.9131755318,-0.5230718904,-0.3625229781
abx_mega__h2o-8a__1,0.8897387076000001,-0.0110114675,-0.593772023,-0.6755486363000001
abx_mega__ery_h2o__3,-2.1353624442,-0.2273075624,-0.7771059692000001,1.1364678129
abx_mega__flavo_dmso__2,1.8540642976,-1.1421173116,-0.7451805055,0.4532699526
abx_mega__rif_dmso__4,0.8935768438,0.327899718,-0.5297658644000001,-0.44597501440000004
abx_mega__novo_h2o__5,9.4825031993,-0.379491456,-0.6088479142000001,-0.9021733236
abx_mega__teix_dmso__5,1.0433106545,-0.5719310405,-0.8216864051,-0.29392495820000003
abx_mega__naoh-2__1,-0.5077951435,-0.0886956653,-1.6937042682999999,1.7575499723
abx_mega__novo_h2o__6,8.8880943453,-0.28453474370000004,-0.6718370020000001,-2.2880616785
abx_mega__ctx_h2o__3,2.6411464251,-0.9305751440000001,-0.0661519807,-0.1260430246
abx_mega__rach_dmso__3,3.2635998868,-1.5167758987000002,1.0152425441,-0.6224222674000001
abx_mega__valin_dmso__2,-2.2136619338,0.18300266010000002,-0.5063658747,-0.4991096861
abx_mega__amyc-d_dmso__6,-9.3594826636,0.8167124505000001,-0.087585536,2.8750119271
abx_mega__dox_dmso__2,-1.0220561449,0.7210466710000001,-0.393487024,-0.6416532500000001
abx_mega__teix_dmso__6,0.8884927049,-1.0519046817,-1.236480217,-0.39564770450000003
abx_mega__naoh-6__2,-1.1691747187,-0.1693794852,-0.3090679521,0.1878611425
abx_mega__inh_h2o__2,4.6852124083,0.1693109303,-0.9580897774,0.1596236761
abx_mega__chl_h2o__3,0.5376438026,-0.0079619149,-2.5769778904000002,-0.8464006367
abx_mega__nal_naoh__6,-1.4318723313000001,-0.4875286092,0.7346793315,0.6296171002000001
abx_mega__chl_dmso__2,-1.4377446841000001,0.315786377,-1.3011087217,-0.21805504280000002
abx_mega__rach_dmso__4,2.9761053344,-1.672871229,0.8406841732,-0.7590008223
abx_mega__teix_dmso__7,0.4553181445,-0.79904334,-0.7289153163000001,-0.0032073790000000002
abx_mega__ceru_ethanol__1,2.0767918981,-0.06471003560000001,-0.2162465116,1.4435760144
abx_mega__dmso-7__1,0.48892781430000004,-1.3561366028,-0.7501755706000001,-1.0260677785
abx_mega__naoh-6__3,-1.1681293194,-0.0631926154,-0.19017826640000002,-0.6519718255
abx_mega__phos_ethanol__2,-0.1864296873,-0.4925424734,-0.4640143886,0.261166871
abx_mega__metro_dmso__3,1.4685152110000002,0.7538266462000001,0.6387102104,0.1619025955
abx_mega__van_dmso__4,-3.4076717656,0.21154470250000001,0.20998713530000002,-1.1021793901
abx_mega__h2o-10__1,0.4805618783,-1.6094724550000001,-0.987617524,0.023180969000000003
abx_mega__h2o-10__2,0.4766729152,-1.3772101406,-0.7620950787,0.0228896086
abx_mega__dmso-6__3,0.2405344066,0.6390983098,-0.6964015992,-1.3316720743000001
abx_mega__mem_dmso__1,0.42935481680000004,-0.8849028940000001,-0.36901442840000004,0.10431136960000001
abx_mega__ethanol-8__2,1.7264703342,0.1347727523,-0.4373989655,-1.1348177466
abx_mega__chl_h2o__4,0.9868522395,-0.0339695443,-2.4653949977,-0.5021852574
abx_mega__van_h2o__1,1.5074637459,0.4888938821,-0.4577604823,-0.8109298492
abx_mega__dcs_h2o__1,0.15048740600000002,-0.6130120097,-1.0352176333,0.8947460851000001
abx_mega__rif_dmso__5,-1.4092923011,0.3211607267,-0.18483111630000001,-0.4245853972
abx_mega__dox_dmso__3,1.6183872311,0.1149394185,-0.7996319224,0.4786198345
abx_mega__mem_dmso__2,1.8410543382000002,0.0980587735,-0.6894603271,-0.47065052
abx_mega__lvx_dmso__2,1.2194180568,-0.2644947969,0.2929767848,-1.3783743383
abx_mega__tet_h2o__2,-0.8386835972000001,0.8653679498,-1.1354507509,0.9010077183
abx_mega__phos_h2o__5,-1.345048834,0.2881597708,-1.7375413645000002,1.7212183656
abx_mega__monac_dmso__1,3.274207865,-1.1535187577000001,0.7543367696000001,1.6380525906
abx_mega__str_h2o__3,0.1871055171,-2.0731277001,-1.5306559098,-0.8634437747
abx_mega__zeocin_h2o__2,-2.6396444582000003,0.2734254866,-1.2609185959,0.8500895152
abx_mega__amyc-d_dmso__7,-8.9175593927,0.4633653572,-0.2960062633,2.7092636837
abx_mega__fidax_dmso__1,-0.2941896565,-0.6035083265,-0.6531243673,0.332572566
abx_mega__h2o-1a__1,-0.5425050744000001,-0.0559775963,-0.0248614968,-0.2097590615
abx_mega__dox_dmso__4,-0.5260504793,0.10336313720000001,-0.3813844656,-0.6135971464000001
abx_mega__lzd_dmso__2,1.7026132120000002,-0.29238122240000003,-0.7155828513,2.3263255445
abx_mega__tet_h2o__3,-1.715297932,0.0201192498,-0.8422762472,-1.6661178604
abx_mega__dmso-1__2,-0.1723576156,0.4130992705,-0.8988270308,-0.7963523501
abx_mega__sxt_dmso__2,-0.36292330510000004,-0.1013228667,-0.44159392670000003,0.6676015018
abx_mega__tric_ethanol__2,3.0823552083,-0.15699708210000002,-0.8134280931000001,0.611818948
abx_mega__teix_dmso__8,0.06934552620000001,-0.1020454215,-0.4271436435,0.2941291088
abx_mega__ramo_h2o__2,2.0980824473,-0.7102194542,-0.9819114566,0.29582476960000004
abx_mega__inh_h2o__3,0.0822116704,-0.6450661363,-0.1869146011,0.4211354343
abx_mega__cst_h2o__3,1.2412870049,-0.1889031153,0.1464389126,1.092421801
abx_mega__dmso-9__1,1.8105708459,0.1790718144,-0.34603515030000004,-0.9959728360000001
abx_mega__ethanol-8__3,0.3306300996,-1.131461397,-0.096756299,-1.1785853659
abx_mega__monac_dmso__2,1.7895703486,-0.7932185183,0.7816178896,1.4194255879
abx_mega__dmso-9__2,1.6159903741,-0.1394577235,-0.41748080670000004,-0.5654526825
abx_mega__metro_dmso__4,-1.980151444,0.2722715586,0.7086375810000001,-0.0817218317
abx_mega__ctx_h2o__4,2.0803094049,-1.0266700645,-0.49743515860000004,0.2844940982
abx_mega__zeocin_h2o__3,-3.6854832956,0.7617686946000001,-1.345512921,0.3247935293
abx_mega__bacit_h2o__5,-1.4073775654,0.3013689844,-1.1171447384,0.0287174311
abx_mega__reta_dmso__1,1.6016592048,0.13907891660000002,-1.2726965199,2.3413050593999998
abx_mega__ery_h2o__4,-5.0883878599,0.341540556,-1.6809685755000001,1.5430646228
abx_mega__ceru_ethanol__2,2.5529874324,0.6057198785,-0.6679037666000001,2.2689011297
abx_mega__fidax_dmso__2,-0.1416889319,-0.5218817443,-0.5363930341,-0.1137787614
abx_mega__novo_dmso__1,8.7889574329,0.2577912019,-0.9029079182,-0.408164154
abx_mega__naoh-6__4,-1.3437054435,0.09361156030000001,-0.3594398616,0.1779227555
abx_mega__amyc-d_dmso__8,-7.9724040329,0.5108624866,0.2409545303,-0.4830104558
abx_mega__chl_dmso__3,-1.7228134284,0.2748630321,-0.5906048941,0.1846776134
abx_mega__nal_naoh__7,1.6643668468000001,0.2092107759,-0.4501316669,-0.5579709116
abx_mega__teix_dmso__9,0.4587515218,-1.7310889052,-0.9022569852000001,0.19114676800000002
abx_mega__ery_dmso__3,-0.1343179464,0.4554970564,-0.6429939720000001,-0.5998606199000001
abx_mega__tmp_dmso__3,-0.6744315802,0.032014157,-0.33169297340000004,-0.5849807367000001
abx_mega__sxt_dmso__3,1.4122019594,-1.1682786161,-1.7629578060000002,0.9691723634
abx_mega__polmyx_h2o__4,-1.1576546167,0.4349098611,-1.1367657311000001,1.5979652084
abx_mega__mem_dmso__3,2.236802707,0.0004301341,-0.49761529590000003,-1.0068605655
abx_mega__nal_naoh__8,-1.4434054875,-0.057917616400000003,-0.8094477494000001,0.40523894190000004
abx_mega__pen_h2o__3,1.825447981,-0.431918913,-0.2747198477,0.0277423698
abx_mega__van_dmso__5,-1.8255493159,0.4216540351,0.2793538698,-0.7269173316
abx_mega__zeocin_h2o__4,-0.6532878980000001,0.9503320422,-1.16522354,1.1378334358
abx_mega__h2o-6__2,-1.9148427822,-0.1887364,-0.5035410064,-0.0221615997
abx_mega__tet_h2o__4,-0.7489598334,0.063504445,-0.6233304940000001,-0.8773841771
abx_mega__nor_naoh__4,0.6828916764,-0.4126174534,0.9654172780000001,0.5746642230000001
abx_mega__cip_naoh__4,-0.2046322008,0.0585133138,0.5702479530000001,-0.9546694867000001
abx_mega__tmp_dmso__4,-0.4922583098,0.14350806530000002,-0.47480227680000003,-0.6023950366
abx_mega__reta_dmso__2,0.8327493667,0.29540854180000004,-1.2938332867,2.5298865425
abx_mega__mem_dmso__4,2.5289116832,-1.3228584456,-0.6398214146,0.5733171209
abx_mega__dox_dmso__5,0.4883283966,-0.633253665,-1.4250999836,0.1539947966
abx_mega__tmp_dmso__5,1.8972867216,0.0151537285,-0.5969783758,-0.1057692011
abx_mega__flavo_dmso__3,1.5697585267,-1.4752714418,-0.5458892820000001,0.3525624363
abx_mega__tmp_dmso__6,2.1216412736,0.1766619932,-0.6865004551,-0.8582718675000001
abx_mega__ceru_ethanol__3,5.1020930341,0.1453249123,-0.1540273459,1.5460657521
abx_mega__teix_dmso__10,0.3289848542,0.0639056414,-0.16121176,-0.338155248
abx_mega__novo_h2o__7,7.0686522921,-0.7449856134,-1.5060468208,-2.7097884011
abx_mega__fidax_dmso__3,0.238975649,-0.1599171601,-0.1296503486,0.040824517000000005
abx_mega__h2o-1a__2,0.1741201743,-0.018581968600000002,0.0061137808,-0.0346983853
abx_mega__dcs_h2o__2,1.0742267991,-0.24734782160000002,-0.5002767827,-0.6031391581000001
abx_mega__cst_h2o__4,-0.0336305795,-0.2422328252,0.0794725028,0.4405357697
abx_mega__van_h2o__2,1.9797725163000002,-0.1091501727,-0.7405979136,-0.4426223392
abx_mega__pen_h2o__4,3.1039002327,0.5498913541,-0.6417829684,0.2513184476
abx_mega__h2o-8b__2,-0.8748283330000001,-0.782857109,-0.7678383286,0.6231524575
abx_mega__reta_dmso__3,0.2824655278,-0.5583926265,-1.3351778934,1.6584761082
abx_mega__dmso-7__2,1.8258220247999999,-1.5114009232,-0.8999267830000001,-1.0349208702
abx_mega__rfp_h2o__2,-1.715431536,0.2526322254,-0.8331553121,-0.5779139507000001
abx_mega__rif_dmso__6,-0.3574409719,1.0278263071,-0.3354222803,-1.200123335
abx_mega__sxt_dmso__4,2.0006009279,-1.5738692242,-1.2008757935,1.0188274883
abx_mega__cip_naoh__5,-1.332165188,-0.4677348576,0.9300406103000001,-0.9591141556
abx_mega__dmso-9__3,1.9209690061,0.026246584400000002,-0.5886329206,-0.48678795020000004
abx_mega__mem_dmso__5,0.1612770038,-0.8548817428000001,-0.2162611233,0.4173870995
abx_mega__tric_h2o__2,2.7587928824,0.0193215098,-0.5146140047000001,1.5075158116
abx_mega__phos_h2o__6,-0.7195826202000001,-0.0634057193,-0.31410027360000004,-0.4197426429
abx_mega__h2o-7__2,1.5917932966000001,-1.1517872657,-0.1289079624,0.0371117412
abx_mega__h2o-10__3,0.5542502287000001,-1.2504286686000001,-0.8696639364000001,-0.1318831091
abx_mega__h2o-8a__2,1.1317270937,-0.1647072337,-0.5142044147,-0.7855418463
abx_mega__thio_dmso__3,1.0311508692,-0.9603096203,-1.4177974908,0.9942240452000001
abx_mega__lzd_dmso__3,-2.6002228149,-0.14969114990000001,-0.9727789462,-0.18553622220000002
abx_mega__monac_dmso__3,0.2379225546,0.206180784,0.5629359425,-0.8518931401000001
abx_mega__polmyx_h2o__5,3.0337191765,0.0922721169,-0.5937820308,1.2043127801
abx_mega__naoh-6__5,-0.7179573703000001,-0.0252127517,-0.2404594707,-0.1367536986
abx_mega__teix_dmso__11,-0.7976085774,-0.1071566015,-0.3574987094,-0.7484889823
abx_mega__van_h2o__3,2.3138976596,-0.7469879823000001,-0.8204712466,-0.1616024161
abx_mega__teix_dmso__12,2.0582622775,0.1325142282,-0.9835395237000001,-0.28948498640000003
abx_mega__dox_dmso__6,-0.4323957262,0.8522040377000001,-2.2256836041,0.7328503404000001
abx_mega__teix_dmso__13,3.2469005248,-0.9305609053,-1.4288582538,0.23284967310000002
abx_mega__h2o-7__3,0.5809450624,-1.2954502245000001,-0.3318585787,0.28341805600000003
abx_mega__str_h2o__4,-3.4870996224,1.0089086122,-1.9452321264,1.1061748645
abx_mega__tec_h2o__3,3.2979137472,1.1838364574,-2.2852334666,1.1248963119
abx_mega__phos_h2o__7,-1.364017875,-0.0363890366,-0.30319241150000004,-0.7261404472
abx_mega__chl_h2o__5,-2.0206892334,0.0982802235,-0.7129759932,2.7187370817
abx_mega__polmyx_h2o__6,-0.1028158764,0.1857785395,-1.5293128274,2.3050613132
abx_mega__teix_dmso__14,-0.8399644925,0.0491557248,-0.4799210003,0.0066911849
abx_mega__rif_dmso__7,-0.131927816,1.0343377958,-0.3315427372,0.0253528349
abx_mega__ramo_h2o__3,2.8668038598,0.3522633021,-0.5996225849,-0.232407202
abx_mega__fidax_dmso__4,1.2936367544,0.3490626877,-0.24704832040000002,-0.5013601774
abx_mega__teix_dmso__15,1.6293699184000001,-0.6167391130000001,-0.546102576,0.3265748053
abx_mega__thio_dmso__4,-0.38064387190000004,-0.8580276725,-1.3394368101,0.7219312425000001
abx_mega__rif_dmso__8,0.0673748819,1.4925593938000001,-0.4591895751,-1.110445881
abx_mega__reta_dmso__4,1.9964647561,-0.187937455,-0.9514629495,2.2939059183
abx_mega__inh_h2o__4,6.7849751295,-0.5095621647,-1.0424294423,0.217358774
abx_mega__novo_dmso__2,8.2570133641,0.1079694315,-1.1807209852,-2.7552709095
abx_mega__dcs_h2o__3,0.9079439683,-0.6443465638,-0.8417798737000001,-0.1604662312
abx_mega__h2o-8b__3,1.89876026,0.28477129630000003,-0.2395657246,0.0071152463
abx_mega__valin_dmso__3,-0.194986341,0.0711278137,-0.5329624306,-1.3121209232
abx_mega__h2o-2__1,-1.9387662058,0.6464866348,-1.7744748068,1.7874537529
abx_mega__cro_h2o__4,0.0352560276,-0.0944892585,-0.7686649786,-0.6204937620000001
abx_mega__dcs_h2o__4,0.0698384797,-0.5824898624,-0.9216615248000001,0.5936549796
abx_mega__str_h2o__5,0.3708707183,-1.6564703096,-1.2861042654000001,-0.48501010180000004
abx_mega__h2o-8a__3,2.0495829997,-0.9758433322000001,-0.6855590993,-0.7931422532
abx_mega__dox_dmso__7,0.2328242955,-0.1323487806,-0.47166792750000003,-0.2211643686
abx_mega__doxo_dmso__2,-0.7284046968,-1.4896864238,0.6583931611,-1.8204814434
abx_mega__teix_dmso__16,3.6334272739999998,-0.6118486135,-1.4302501485,0.49493397910000003
abx_mega__rfp_h2o__3,-1.8754902268,0.5151682123,-1.1479007721,-0.3579742077
abx_mega__ethanol-10__3,0.7647727161000001,-1.1062221351,-0.7567337419,-0.4074329789
abx_mega__naoh-2__2,-0.5065666285,0.5337067775000001,-1.8230371496000002,0.9636096666
abx_mega__van_h2o__4,0.2276868713,0.09984000650000001,-0.7067819584,-0.5947242583
abx_mega__sacet_h2o__2,1.1865210335,0.5209915777,-2.6246179311,3.1011735072
abx_mega__monac_dmso__4,2.7995032533,-0.9701995293000001,1.3413863664,1.2477117179000001
abx_mega__h2o-2__2,-0.4438647255,0.7310226382,-1.9942936123,1.4248720643000001
abx_mega__zeocin_h2o__5,0.1398409762,-0.9383694585000001,0.0137844143,-0.19339094
abx_mega__nor_naoh__5,1.409149533,-0.16588401900000002,0.7110111155000001,-0.5426747711000001
abx_mega__naoh-9__2,1.359436309,0.1479122409,-0.2579409233,-0.047269524
