,A,CueR
immunity_isolated__WT_pad4__4.0,0.32949395810000004,-0.7575487536000001
immunity_isolated__WT_PS__4.0,1.2129637525,-0.1205942596
immunity_isolated__AvrRpt2_WT__12.0,-1.8802372371,0.161504211
immunity_isolated__AvrRpt2_pad4__4.0,0.2691804288,-1.1414695515
immunity_isolated__AvrRpt2_PS__3.0,0.4956918831,-0.6265417305000001
immunity_isolated__WT_WT__11.0,-0.9433520687,0.0798250823
immunity_isolated__WT_stp__1.0,-0.8537368916,0.5345883977
immunity_isolated__AvrRpt2_WT__13.0,-0.6095588002,0.3964639293
immunity_isolated__AvrRpt2_stp__1.0,-1.8117298970000002,-0.591873952
immunity_isolated__WT_WT__12.0,0.8692502876,-0.3120283836
immunity_isolated__WT_stp__2.0,1.1824347854,1.0860100828
immunity_isolated__AvrRpt2_WT__14.0,-1.3256541412,0.5265829669000001
immunity_isolated__AvrRpt2_stp__2.0,-0.1949358718,0.2864331721
immunity_no_isolation__WT_WT_mock__1.0,-1.2767517651,0.0690640959
immunity_no_isolation__WT_WT_flg22__1.0,2.0129050013,0.5848124449000001
immunity_no_isolation__WT_WT_flg22__2.0,4.7249853405,1.2069593384
immunity_no_isolation__WT_WT_flg22__3.0,2.3274067639,0.9196266264
immunity_no_isolation__WT_WT_mock__2.0,1.0919605601,-0.050144213300000004
immunity_no_isolation__WT_WT_mock__3.0,0.18479120500000001,-0.0189198827
immunity_time__mock_1hpi__1.0,-1.8072629444000001,0.0420547461
immunity_time__mock_1hpi__2.0,0.9932647259,-0.1098014456
immunity_time__mock_1hpi__3.0,0.8139982186,0.0677466996
immunity_time__flg22_1hpi__1.0,-4.8988752474,0.3795099919
immunity_time__flg22_1hpi__2.0,0.1290038816,-0.0249882438
immunity_time__flg22_1hpi__3.0,-0.07248381720000001,-0.4082310408
immunity_time__mock_3hpi__1.0,-3.3831945305,-1.0657584628
immunity_time__mock_3hpi__2.0,-3.5183233074,0.10365536600000001
immunity_time__mock_3hpi__3.0,-0.7139281779000001,-0.5978053424
immunity_time__flg22_3hpi__1.0,-1.0481294323,0.4112543292
immunity_time__flg22_3hpi__2.0,0.6464559950000001,1.065018073
immunity_time__flg22_3hpi__3.0,1.0319956573,0.6975300118000001
immunity_time__mock_5hpi__1.0,-0.3084001222,-0.2879240752
immunity_time__mock_5hpi__2.0,-2.2392836183,-0.7708859416
immunity_time__mock_5hpi__3.0,-2.0482827581,-0.927745204
immunity_time__flg22_5hpi__1.0,1.6782255091,0.5419654381
immunity_time__flg22_5hpi__2.0,-1.3076297835,0.8762672689000001
immunity_time__flg22_5hpi__3.0,-1.3701425033,0.4319571947
