,A,ABUW_1645
AB5075_biofilm+abx__planktonic__2.0,-2.8662234183,-0.3316266585
AB5075_biofilm+abx__biofilm__1.0,35.8920491538,-0.2191557533
AB5075_biofilm+abx__planktonic__3.0,-6.8959510182,-0.3944556803
AB5075_biofilm+abx__biofilm__2.0,35.2004767381,0.3870969481
AB5075_biofilm+abx__biofilm__3.0,32.8296999236,0.9425215843
AB5075_biofilm+abx__cip_biofilm__1.0,29.7536676101,-0.3456942253
AB5075_biofilm+abx__cip_biofilm__2.0,31.2492681146,-0.7513853821
AB5075_biofilm+abx__tet_biofilm__1.0,28.8846990062,0.4751069895
AB5075_biofilm+abx__cip_biofilm__3.0,31.3311825688,-0.4844134671
AB5075_biofilm+abx__tet_biofilm__2.0,31.3802380018,0.7404254943
AB5075_biofilm+abx__tet_biofilm__3.0,30.1290457009,0.1908472548
AB5075_gigAB__kan_gigB__1.0,-15.4358945595,-1.4928734687
AB5075_gigAB__kan_gigB__2.0,-17.3362760779,-1.5619292297
AB5075_gigAB__kan_gigB__3.0,-10.9040754195,-0.6961083060000001
AB5075_gigAB__gigB__1.0,-2.9309699007,-2.6108128954
AB5075_gigAB__gigB__2.0,-1.8568094409,-2.7793908819
AB5075_gigAB__gigB__3.0,-4.3185219044,-2.5055812592
AB5075_gigAB__kan_gigA__1.0,-8.1747103881,0.3003972458
AB5075_gigAB__kan_gigA__2.0,-19.9801403406,-1.7515405255
AB5075_gigAB__kan_gigA__3.0,-17.7358367783,-2.2280692437
AB5075_gigAB__gigA__1.0,-1.1537497224,-2.5422953352
AB5075_gigAB__gigA__2.0,1.5307299303000002,-2.3300011155
AB5075_gigAB__gigA__3.0,0.96453259,-2.5608213014
AB5075_gigAB__kan_WT__1.0,-14.4140800106,1.323893714
AB5075_gigAB__kan_WT__2.0,-16.8634338798,0.34756559270000004
AB5075_gigAB__kan_WT__3.0,-16.3088281735,1.1057618809
AB5075_gigAB__WT__1.0,0.5622882383,0.7528778542
AB5075_gigAB__WT__2.0,-4.051784022,-1.1921342265
AB5075_gigAB__WT__3.0,3.4894957838,0.43925637230000003
AB5075_med__CA-MHB__1.0,-7.0469429025,-0.6757049632000001
AB5075_med__CA-MHB__2.0,-6.1793017419,-0.5068150686
AB5075_med__CA-MHB_pH6__1.0,3.7146191709,0.2086600197
AB5075_med__CA-MHB_pH6__2.0,-7.9187307386,-0.6833706377000001
AB5075_med__RPMI+_pH7__1.0,-3.2205350508,-0.9366144156
AB5075_med__RPMI+_pH7__2.0,-1.5729399974,0.8063927789
AB5075_med__RPMI+_pH6__1.0,-1.1719471882999999,0.6982142005
AB5075_med__RPMI+_pH6__2.0,-1.4844374157,0.6608851799000001
AB5075_med__RPMI+_-HCO3__1.0,-6.2986289048,-1.2086502677
AB5075_med__RPMI+_-HCO3__2.0,-1.3563431349,0.1249985277
AB5075_med__LB__1.0,-0.4700912103,-0.267198681
AB5075_med__LB__2.0,0.4700912103,0.267198681
AB5075_med__M9+AA__1.0,-2.7603539118000002,-0.4837216897
AB5075_med__M9+AA__2.0,-4.7655612668,-0.48933688150000004
AB5075_med__M9-AA__1.0,-7.5930911239,-0.7185998723
AB5075_med__M9-AA__2.0,-5.9024752583,-0.4025422127
AYE_adeB__WT__1.0,0.2295554458,0.5571737363
AYE_adeB__WT__2.0,0.34507377770000003,-0.6757726620000001
AYE_adeB__WT__3.0,-0.5746292235,0.11859892570000001
AYE_adeB__adeB__1.0,-11.9446114935,-0.4486429008
AYE_adeB__adeB__2.0,-6.2007201614,0.44070548860000003
AYE_adeB__adeB__3.0,-6.8397369771,1.1343332625
COL__0ug/ml__1.0,11.3723019348,0.2312037895
COL__0ug/ml__2.0,-11.3723019348,-0.2312037895
COL__0.25ug/ml__1.0,-6.9762514374,-0.5310938315
COL__0.25ug/ml__2.0,-5.9921088027,-1.2203866085
COL__1ug/ml__1.0,-1.2863240407,-0.5268504255
COL__1ug/ml__2.0,-10.4040350538,-0.8273152665
H2O2__0ug/ml__1.0,-5.7167796575,-0.0428174315
H2O2__0ug/ml__2.0,5.7167796575,0.0428174315
H2O2__1.25ug/ml__1.0,9.5247517895,-0.0631641775
H2O2__1.25ug/ml__2.0,13.7001134145,-0.1080412432
H2O2__2.5ug/ml__1.0,5.3076404138,0.0733505106
H2O2__2.5ug/ml__2.0,11.377612065,0.3584878629
H2O2__5ug/ml__1.0,2.5763260317,1.3586192046
H2O2__5ug/ml__2.0,-0.0709066898,0.8596536769
MRP__0ug/ml__1.0,-7.9930039090000005,0.09318895170000001
MRP__0ug/ml__2.0,7.9930039090000005,-0.09318895170000001
MRP__25ug/ml__1.0,-10.7542211388,0.0165093057
MRP__25ug/ml__2.0,8.4043817542,-0.21983032400000002
MRP__100ug/ml__1.0,2.416061143,0.2758183011
MRP__100ug/ml__2.0,6.8126245161,-0.1614534954
MRP__200ug/ml__1.0,4.2934850494,-0.3425194518
MRP__200ug/ml__2.0,-4.4758590768,-0.5789826725
growth__2h__1.0,-2.6821541711,0.4652744843
growth__2h__2.0,2.6821541711,-0.4652744843
growth__4h__1.0,-9.430102099900001,1.6243571559
growth__4h__2.0,-9.2695100224,1.3719881596999999
growth__6h__1.0,-7.2818158487,1.0150892456
growth__6h__2.0,-11.4301460988,0.9712185469000001
growth__8h__1.0,0.3301713237,2.0491031901
growth__8h__2.0,-2.9773907974,1.9050100593
growth__10h__1.0,0.3377729068,0.6551012278
growth__10h__2.0,-3.4672270906,2.1295474451
mutants__WT__1.0,-2.0834806131,-0.470256198
mutants__WT__2.0,2.0834806131,0.470256198
mutants__R7__1.0,-0.9860960238,-2.562235187
mutants__R7__2.0,2.8316257945,0.091696287
mutants__gacA__1.0,14.0290596232,0.693985735
mutants__gacA__2.0,13.3264766472,0.6048072710000001
vacJ_LL-37__WT__1.0,0.6981858139,-0.0476649992
vacJ_LL-37__WT__2.0,-0.6981858139,0.0476649992
vacJ_LL-37__WT+LL-37__1.0,3.2131611114,-0.9065852332000001
vacJ_LL-37__WT+LL-37__2.0,9.0228663444,-0.8073403326
vacJ_LL-37__vacJ__1.0,10.1266704041,-1.24777588
vacJ_LL-37__vacJ__2.0,17.9994641131,-1.0075563548
vacJ_LL-37__vacJ+LL-37__1.0,13.8863545808,-2.0570844582
vacJ_LL-37__vacJ+LL-37__2.0,10.6548980901,-1.4327238081
