,A,MarA,MarR,Fis,Crp,Rob,AcrR,Cra,SoxS,CpxR
abx_mega__rif_dmso__1,4.1669339472,2.8259825051,0.7748211782000001,1.7759768752,-0.8477189713000001,-1.2080970369,-0.1658216576,-1.1465008338,1.3352402628,0.0818792874
abx_mega__novo_h2o__1,1.9845975137,0.6075015358,-1.2553115511000001,0.1268043401,0.1307715067,-1.4732548375,-2.7979642325,-3.3721230493,1.6074935602,-0.9578921612
abx_mega__rach_dmso__1,-1.2901235707,0.3780288764,0.18641127370000002,0.08683377910000001,-0.2340068764,-0.3650578416,-0.21273329940000002,0.11221218470000001,1.4550054035,0.2709099318
abx_mega__metro_dmso__1,3.9343064907,2.8911164329,2.8958263407000002,0.147434414,-0.33700626310000004,-1.1167031696,-0.3684999189,-1.3980611692,3.4130561472,0.4084372189
abx_mega__dmso-6__1,-1.872696045,0.13136358210000001,-0.17184560570000001,-0.7709696535,-0.2857852433,0.0127596522,-0.5522934947,0.2467512605,0.2576974199,0.5030222702
abx_mega__chl_h2o__1,8.4590312574,2.848829016,3.1222690691,1.8644089753,-2.9247054987,-0.7830376515,-0.3446096321,-2.6432952439,-1.0895406373,-1.5241682389
abx_mega__cst_h2o__1,-0.2459245552,0.2295034282,0.5163478813,-0.3006031253,0.0899715865,0.43359899500000004,-0.223041928,0.2581778823,0.939396785,0.2734839572
abx_mega__tec_h2o__1,-1.8626304859,-1.0327108808,1.3912795804,0.5347225265000001,-1.6070723407,1.2735641539,-2.2474418251,-0.0287932522,2.4822282833,0.5972433948
abx_mega__str_h2o__1,-0.5949308292000001,-0.40778245690000003,1.5437286727,-0.315531422,-0.5390842036,2.0570686792,-1.9584424720000002,0.6316982481,2.0833260494,0.2530840492
abx_mega__ctx_h2o__1,0.9565470967,0.7186888843,1.1893279839,-0.27706315800000003,-0.0980165268,0.0232967385,-0.1244776494,0.0781090031,0.806227236,0.22629311430000001
abx_mega__nal_naoh__2,1.2339354978000001,0.9588990223,1.026404929,-1.0515561892,0.2016373309,0.15429447500000001,-0.3564530973,-0.4752620474,0.9656189942000001,0.7164461946
abx_mega__phos_h2o__1,-2.0703534978,-0.7394753037,-0.2926466645,0.45988812300000004,-0.2490351859,0.1656390579,-1.1879352843,0.4332073776,-1.5054211269,0.0350990969
abx_mega__dmso-5__2,-0.7823459154,0.13010346720000002,-0.3498970757,-0.1227531806,0.0411821817,-0.22216871800000002,-0.5194596188,0.0325016821,1.143655056,0.5174468618
abx_mega__polmyx_h2o__1,-0.7346617440000001,-0.2461908334,0.1094972429,-0.7439088252,0.0231238538,0.25558338810000003,-0.6142455861,0.3834597617,-0.29725854100000004,0.2399229565
abx_mega__h2o-8b__1,-1.7400814338,0.058503909300000004,0.5534514041,-0.3382359766,0.0476350313,0.3894072281,-0.2302767657,0.5965422085000001,0.8263991432000001,0.4463179412
abx_mega__h2o-6__1,-0.8042431469,0.123839606,0.3848605282,-0.46712865400000003,0.24713669740000002,0.2368236366,0.24121677800000002,0.1308253183,-0.0856607582,-0.014249184100000001
abx_mega__thio_dmso__1,4.1219231143,2.0382558621,0.8217125782,1.2231535145,-1.5465123927,-0.7357274485,-1.8141532131,-0.8388425719,-0.09780684860000001,-0.6917129164
abx_mega__phos_h2o__2,-2.4189116496,-0.7239846981,-0.1135906037,-0.8780742082,0.2066153554,0.4151517261,-0.8151140264000001,0.6751682776,-0.8032320694,-0.0688117843
abx_mega__ctx_h2o__2,-0.8113046906,-0.49611786760000004,-0.7963683481,-0.3190684022,-0.5157335737000001,-0.06393179,-1.9260766826,0.9108492799000001,0.2974468242,0.1167443107
abx_mega__lzd_dmso__1,1.8882805213,1.1198845636,1.6382485707,0.9380870463000001,-1.8223907651,-0.6817815596,-0.1664175372,-1.1208930686,-0.1810144651,-0.42171916940000004
abx_mega__naoh-9__1,-1.2918592878,0.1968234872,0.9026867232,-0.5544290879,0.36042412560000003,0.47194079170000003,-0.2372005258,0.21406610210000002,0.1392374787,0.5817872295000001
abx_mega__dox_dmso__1,1.770410251,0.2847059357,0.4493965545,0.499138858,-1.3002511837,-0.8221947317,-1.1670188756,-0.4068578344,-0.6454584018,-0.37442498960000004
abx_mega__phos_ethanol__1,0.9148256835,0.6531216404,1.2584491175,0.1323222643,0.3379205155,0.1207713593,-0.3688580233,0.44640647380000004,0.47058795140000004,-0.2529812531
abx_mega__teix_dmso__1,-0.1289011733,0.17707995740000002,-0.6348364876,0.2073111051,-0.6834405493,-0.5060249171,-1.7853244006,0.045534809600000004,2.7118016468,0.26287335230000003
abx_mega__dmso-10__1,-0.6926914984,0.0950128226,0.6144115982,-0.25733282500000004,0.1656640608,0.0598161539,-0.6591606323,0.6982458443,0.4145545397,0.1288200247
abx_mega__van_dmso__1,11.392214131,4.1967237298,4.3745705685,-0.43288717800000004,-0.9934080376000001,0.150335197,-2.2381011969,-1.9874404964,6.0626043901,0.36938965770000004
abx_mega__ramo_h2o__1,0.37586263410000004,-0.1704419522,-0.2319903224,-0.1847626776,-0.3443110079,-0.19077674590000002,-1.0673113188,-0.38277561260000004,2.7186194084,0.5161979748000001
abx_mega__tec_h2o__2,-0.0589587197,0.3320383937,0.4701672746,0.9230981104,-0.9407234058,-0.1151209799,-0.7587549311,-0.5035923001,1.3541792284,0.5498769937
abx_mega__h2o-7__1,-1.6470426347,-0.5335320818,-0.19155744030000002,0.418788309,-0.0040549861000000005,0.40344198400000003,-1.4151372711999999,1.0192005981,0.9283405807,0.37430656700000003
abx_mega__cro_h2o__1,-0.1458606429,0.3572890023,-0.039828848,0.2659133738,-0.1478341465,-0.1415561146,-1.9085631118,0.7719019076,0.8976539871,0.1344609497
abx_mega__tric_ethanol__1,0.2861310869,1.1375825754,0.49068688460000004,-1.8737666673,-0.1558928562,0.4880892321,-1.0854325279,-0.052083887700000005,1.2434253468,0.8879458575
abx_mega__nor_naoh__1,0.18922836040000002,0.4032004564,0.34642215600000004,-0.7529405576,0.2764607147,0.1503474675,-0.1136879206,-0.2371284206,0.7146807885,0.2342612036
abx_mega__teix_dmso__2,-0.0047312446,0.4280255911,-0.0828113961,0.40104904210000003,-0.14661147630000002,-0.4031885738,-0.3940193382,-0.0507022806,1.1823105204,0.3336056999
abx_mega__nal_naoh__3,0.8002533134,0.9277862834,0.9510180746,-0.5866514008,0.2201400917,0.1442708906,-0.0349057227,-0.5041378015,0.9730154314,0.6850361314
abx_mega__novo_h2o__2,0.5372258016,0.4834436144,-1.3328315243,0.1670368142,0.1874058842,-1.6563570468000002,-3.2558736369,-3.2518194953,1.5566207699999999,-0.8274027535
abx_mega__dmso-10__2,-0.7429536889,0.3357229176,0.9932568801,-0.18329488400000002,0.0513472187,0.220704231,-0.5023291624,0.5148069151,0.3450223448,0.2022706651
abx_mega__phos_h2o__3,-1.6533359266,0.0508325872,0.0289277502,-0.44714341750000003,0.3866879371,0.3978925078,0.046620649300000004,0.2921819518,-0.050826596,0.1250893475
abx_mega__dmso-6__2,-0.6182855294,-0.12419864280000001,-0.705129369,-1.1044765928,-0.0602559214,-0.1934036144,-0.1177813036,0.09906589140000001,0.0318629843,0.6371522945
abx_mega__rfp_ethanol__1,-1.7325976861,1.2423139035,-0.26194206340000004,2.01999203,-1.4743546362,-0.6013639230000001,-2.660557422,-0.9248653221,0.7380234284,-0.1137708053
abx_mega__dmso-5__3,-0.4020521878,0.2018037158,1.1887389362,-0.11737753790000001,-0.13444608700000002,-0.0373969602,0.1779396155,0.0783119691,1.5385225167,0.4611996713
abx_mega__amyc-d_dmso__1,1.8171850574000001,1.4952107841,0.8458720458000001,1.1007515523,-1.621907484,-0.2162357289,-0.2814473435,-1.4474649046999999,1.3036011208,-0.0667186057
abx_mega__sxt_dmso__1,-0.22603634400000003,0.6867220955000001,0.8371695546,-0.1059151671,-0.0376343135,0.4550513427,-2.1146695428,0.24395055710000002,0.6407163448000001,0.1419090221
abx_mega__dmso-1__1,0.0717726455,0.1973739836,-0.5489635834000001,-0.1809852853,-0.0810478849,-0.183590574,0.0113827828,-0.0396580453,-0.5095648894,0.21193790140000002
abx_mega__pen_h2o__1,1.0154375938,0.2646831744,0.13789252500000002,-0.4078044901,0.1296583874,-0.7403110382,-0.5499410148,-0.444195335,0.0156508655,0.1041967579
abx_mega__dmso-10__3,-1.3924528199,-0.245652155,0.038934107,-0.4056936109,0.2017965224,0.302465415,-0.7621049447,0.6848183492000001,0.24989832280000002,0.21446118400000003
abx_mega__nal_naoh__4,-0.5932578533,0.2750863127,0.9485504034000001,-0.2755809595,0.1490464558,0.29163518310000003,-0.4255958177,-0.2074547953,1.2273820129,0.7972941226
abx_mega__cip_naoh__1,0.2610718819,0.36249123600000005,1.0461148519,-0.0218445443,0.2623448043,0.1890702864,-0.5215644418000001,-0.3665347619,1.4372215392,0.6427368064
abx_mega__pen_h2o__2,0.7366877032,0.2651607608,0.4871361161,-0.3603364043,-0.22631582460000002,-0.4123853937,-0.6886949954,-0.3004042504,1.065932288,0.0037802532
abx_mega__ery_dmso__2,5.3721660005,2.4051835891,1.8523172931,0.5386924691,-1.9945889461,-1.5565473043,0.1420026385,-1.956959367,-0.2377438483,0.22796918230000002
abx_mega__dmso-2__2,-0.7266899963,-1.4955276921,0.7825338147,-1.1777016044,-0.303318389,1.9324716034,-0.6771471585000001,1.1549827568,0.8077195082,0.4951095104
abx_mega__van_dmso__2,11.5239998832,4.8865571558,5.101700822,0.4569554622,-0.9213934478,0.5138794624,-1.6792293369,-1.8424156250000001,6.076531362,0.4302528044
abx_mega__h2o-1b__1,1.0035199431,0.34056868230000004,0.2210104928,0.62288687,-0.5542551321,-0.19078971660000002,-0.8473092672,-0.4115024249,-0.7362252654,0.1461998007
abx_mega__ery_h2o__1,4.3589472962,1.45091096,1.55391674,2.3050038891,-2.4371824129,-1.376855021,-0.4148684171,-2.491041828,-0.47351419790000004,-1.2008334368
abx_mega__bacit_h2o__1,1.4441663836,0.7345679111000001,0.843537567,-0.034645267800000004,-0.6975730314,-0.7616635513000001,-2.8277887636,-0.21317231320000002,3.4111127852,0.2660047775
abx_mega__chl_h2o__2,7.8222359433,2.530974159,2.4921273038000002,1.6454385256,-2.788252041,-0.8525082251,-0.6017526243,-2.3858561979,-0.9836647594000001,-1.5169624899
abx_mega__str_h2o__2,-2.3932125274000002,-1.0342815311,1.4610321549,-0.862049083,-0.46271994780000003,1.7714244626000002,-2.09539626,0.5017693683000001,2.2576606131,0.5807647243
abx_mega__rfp_ethanol__2,-0.160482288,0.7495938296,-0.564330192,1.5046348551,-1.0117169578,-0.47015787400000003,-2.619423641,-0.380546541,1.449711555,-0.23835781420000002
abx_mega__polmyx_h2o__2,-0.7066117563000001,-0.1927712967,-0.1496663328,-0.7560279758,-0.1729404675,-0.168131994,-0.7180041396,0.1581059554,-0.2950483209,0.06999049830000001
abx_mega__tric_h2o__1,2.1109492923,1.597312011,1.0579107665,-0.9570480503000001,0.2138522692,0.5911527551,-0.6212931914,1.0830491121999999,1.237510974,0.3969217732
abx_mega__cip_naoh__2,-0.2477142086,0.514183034,0.35654494070000003,-0.2310521848,0.22403181360000002,0.19238282140000001,-0.219291476,-0.282687005,0.8955530141,0.3839472142
abx_mega__novo_h2o__3,1.3270993274,0.4974326597,-0.9569617119,0.0384749824,-0.09237995040000001,-1.9917172030999999,-3.7740067783,-3.0070167331,0.7626379369,-0.9429622161000001
abx_mega__bacit_dmso__1,2.2304757404,1.3600735907,0.3315916342,-0.27164175360000004,-0.38942819040000004,-0.5381080291,0.0518188591,-0.5811062264,2.4225481195,0.6074640797
abx_mega__gen_h2o__1,2.6917139191,1.4085650238,2.6291241757,-0.9889467527,-1.1362642293,2.6198603558,-1.6856169009,-0.6505409267000001,5.3573444331,1.8596698893
abx_mega__bacit_dmso__2,2.5347470612,1.4134331884,0.1790702999,-0.7642554466,-0.41342659340000004,-0.5960617162,-0.2793315169,-0.38795174190000004,2.6902108628,0.6708217417
abx_mega__chl_dmso__1,4.2790353663000005,2.6357924198,2.143695759,-0.2785421886,-1.6036324816,-0.9188509686,-0.9920691149,-0.8694942068,1.8289582152000001,1.3957326331
abx_mega__bacit_h2o__2,2.7950719293,1.3142201141,1.0112657192,0.37938326920000004,-0.5104274184,-0.5890846808,-1.4370439374,-1.0863040595,3.1235731436,0.3179212409
abx_mega__lvx_dmso__1,-0.64089252,0.030409181,0.5291712461,0.0592087638,-0.1584196907,-0.3561867971,-0.7745733786,0.1716691594,2.1516538716,0.4080035117
abx_mega__bacit_h2o__3,1.2914934232,0.5215810031,0.8559069866000001,0.2957838322,-0.6589226995,-0.48146718510000003,-2.3864388808,-0.29180052300000003,3.0466960426,0.3187331281
abx_mega__nor_naoh__2,-0.5086454293,0.43182293590000004,-0.047176346300000005,-0.9272936324000001,0.1764471632,0.1432780988,-0.0228648242,-0.2578289723,0.7131690473000001,0.2396575336
abx_mega__amyc-d_dmso__2,1.5317346269,0.9090942609,0.8910018987,1.1044165911,-0.5799739837,-0.6850210856000001,0.1129429081,-1.1029578843,2.8746674155000003,0.5348083152
abx_mega__polmyx_h2o__3,-1.9139499501000001,-1.7818584641,2.0314154899,-1.0044740437,-0.6950204566,1.5358695531,-1.0195034148,0.5883921036,2.0312393836,0.4746400404
abx_mega__naoh-6__1,0.043184684800000005,0.47099929170000004,0.349921256,-0.3681309666,0.245553549,0.3641477073,0.0515585763,-0.0315979718,0.45590613420000003,0.1883531891
abx_mega__cst_h2o__2,1.7183418591000001,0.9124325542,0.8698193661,0.49882963830000004,-0.24882076420000002,-0.4661197413,-0.266159551,-0.3307579353,0.3139783389,0.2915022264
abx_mega__h2o-1b__2,0.1632513288,-0.1584076252,0.1863727876,0.566920077,-1.0972302127,-0.1326138067,-1.6274228405,-0.5558390831000001,-0.8833521546,0.4425020082
abx_mega__rfp_h2o__1,1.6828497773,1.4936501342000001,0.3618472893,2.0234284253,-2.0210704043,-0.9343427670000001,-1.3374165197,-1.7615590003000001,0.3982990232,-0.1315665405
abx_mega__tet_h2o__1,2.3355769955,0.22689700980000002,0.4103743805,-0.22959920490000002,-1.6584843203,-1.1085299459,0.0316388063,-1.7568379058999999,0.8356393537,-0.5381750919
abx_mega__flavo_dmso__1,1.3473795934,0.6412401592,0.6986576835,-0.0980294456,-0.2397944182,-0.6603604509000001,-0.671086747,0.1660500036,2.6195844514,0.1159177101
abx_mega__zeocin_h2o__1,-0.8953455864000001,0.007236593,-0.18095694680000002,-0.459732,0.1989831632,0.2508349693,-0.6177450424,0.48433845670000003,-0.7866102273000001,-0.0446682346
abx_mega__nor_naoh__3,-0.7290093430000001,0.300449713,0.2388655332,-0.3283958898,0.10670366340000001,0.0400469386,-0.19183597500000002,-0.3263923486,0.6948530473,0.338906971
abx_mega__rach_dmso__2,-2.1434934748,-0.4315380239,-1.4954454004,0.5310775656,-0.1227589166,-0.1685053504,-2.1586412381,0.46525192070000004,1.639153671,0.5562415157
abx_mega__thio_dmso__2,9.7699273679,3.8119366157,3.5953695401,1.8115914355,-1.4531793695,-0.7655670318000001,-0.6998925043,-2.0357395307,2.0229584143,-0.0432123226
abx_mega__amyc-d_dmso__3,1.2042535591,0.8717007803,1.0688726161,1.6412196845,-1.642695013,-0.0191118939,-0.6570891631,-1.6318591136,0.8045780956,0.1267051197
abx_mega__rif_dmso__2,0.9299968569,1.1982177093,0.5239282519,0.5688580452,-0.659556922,-0.3678963081,0.0495080439,-0.4210968036,0.5349222609000001,0.1220846799
abx_mega__amyc-d_dmso__4,0.9039654284,0.7749282921,0.9280946982,1.2367111817,-0.5482364304,-0.3942422557,0.1269072554,-0.8271836069,2.4387786317,0.1032390752
abx_mega__teix_dmso__3,-0.2549311141,0.0034858650000000003,0.3607169624,0.5325024357,-0.1455592358,-0.0224939264,-0.7659606593,-0.235260515,1.5561605637,0.033353407200000004
abx_mega__valin_dmso__1,2.4718172934,0.9858351493,0.5248918721,-0.4511907362,-0.6506498564000001,-0.7183124976,-1.1675201527,-0.5404264046,0.7036989145,0.0771250232
abx_mega__teix_dmso__4,-0.5180747130000001,0.0665871225,0.1703781043,0.277694506,-0.0665078507,-0.1686284629,-0.1141747367,-0.1281517943,0.9212912854,0.33679936520000003
abx_mega__ethanol-10__1,1.6558161304999999,1.1477337822,0.710451767,-1.0363960574,0.0163008612,0.2302221727,-0.9625637421000001,0.8024695425,0.0946069199,-0.0753781119
abx_mega__inh_h2o__1,-1.3803927912,-0.3461513992,-0.31835845420000003,-0.5469996683,0.3281616036,0.0431246006,-1.1999592471,0.6949377064000001,-0.46803699590000003,-0.22037630430000002
abx_mega__rif_dmso__3,1.2297669251,1.2466240868,-0.325831026,2.0394370277,-1.3897674496999999,-1.6682662123,-0.9737700473,-1.794658864,-1.3519473942,0.3819250746
abx_mega__van_dmso__3,7.1642534887,3.3987190373000002,2.8332108317999998,0.6814291384000001,-0.94657928,-0.035986644000000005,-1.2636738744,-1.8545558817,5.1230277885,0.1097132105
abx_mega__doxo_dmso__1,0.0016880785000000001,0.5471766611000001,0.3907850681,-0.0301321781,-0.11358356480000001,0.3081020451,-1.3799787984,1.4236078071,1.6370781129,-0.9470954505
abx_mega__tmp_dmso__1,-0.0138941606,0.5505382713,0.7287181774,-0.1249819187,0.2090437913,0.11510711280000001,0.1098290973,-0.1422608386,1.2203692497,0.1187786171
abx_mega__ethanol-10__2,-0.6176872975000001,0.1429190504,-0.1142049193,-0.5284590883,0.156288703,0.0759982461,-1.2361750991,0.8253414572000001,-0.2724926048,-0.37192626370000004
abx_mega__tmp_dmso__2,0.43256913810000003,0.6584495509,0.9274663859000001,-0.1497972132,0.1914919696,0.1307577648,0.1115661591,0.015944328900000002,1.7273573944,0.10523402180000001
abx_mega__amyc-d_dmso__5,0.7620676414,0.677454079,0.6696099456,2.0380877735,-1.6521756011000002,-0.26009811250000003,-0.6831731153,-1.6910187156,0.6064475824000001,0.11645987860000001
abx_mega__novo_h2o__4,2.4251948554,1.4492759168,-0.5440597167,0.0052233307,-0.2527058608,-1.8069944026,-2.8010891988,-2.0946863412,0.5525002298,-0.5797902723
abx_mega__cro_h2o__2,0.29853479780000003,0.508759961,0.3339324863,0.4784042827,-0.30657057660000003,0.2087824836,-1.8125659611,0.5257695536,1.269346712,0.2694753345
abx_mega__cro_h2o__3,-0.7057525898,0.12470963880000001,0.0131432726,-0.1817873103,-0.2669976047,-0.2502057129,-1.4043219125,0.2565888257,0.3913653036,0.1633657727
abx_mega__gen_h2o__2,-0.4113331349,-0.5084285654,1.991959352,-1.6733663526,-1.0307723459,2.5785616442,-1.6721482695,-0.5893973720000001,5.6842790837,1.6826018297
abx_mega__phos_h2o__4,-3.4774304897,-2.6239813533,0.9369309777,-1.4923286758,-0.0309958632,1.3077593507,-1.5589228997,0.9156420854,1.8018477322000002,0.2908099749
abx_mega__metro_dmso__2,2.8298142624000002,2.6486440663,2.6968682795000003,0.0575286216,-0.3804310446,-1.3178616977,-0.2731603971,-1.1846501745,3.1506350436,0.6535301744
abx_mega__ery_h2o__2,2.4203489261,1.2655193957,1.9697999218,2.0216415702,-2.3462003852,-1.4422739048,-0.2472962098,-2.2733299144,0.3418361009,-0.9659850511
abx_mega__sacet_h2o__1,-0.22757158870000002,2.3875252033,2.6209004668,-1.5202731443,-0.6041545277,2.1573551995,-2.1020599288,-0.3041345535,0.5964407288,-0.3306979439
abx_mega__nal_naoh__5,0.3681498562,0.7939047679,1.1151491183,-0.37419296630000004,-0.054980210200000004,0.1356164839,-0.10689521510000001,-0.6094488481,0.7124388884,0.6673118725
abx_mega__bacit_h2o__4,3.0513528145,1.7230228513,1.8338544146,0.6656975378000001,-0.7076949831,-0.7103837023,-1.2296205576,-1.0523985637,3.6947519133,0.40760410700000005
abx_mega__cip_naoh__3,-0.0639402384,0.33422538630000004,0.8853133557,-0.285459375,0.1102525246,-0.1688251372,-0.37791388470000004,-0.2124608039,1.702493687,0.7857297332000001
abx_mega__ethanol-8__1,-1.7896974243,-0.38702584970000004,-0.2755581635,-0.5478844172,-0.0590977866,0.2606221224,-0.7975172785,1.1846757806000001,-0.4862923779,-0.1719491078
abx_mega__h2o-8a__1,-0.5439594438,0.3429622297,0.640162109,-0.9426291372000001,-0.22081801820000002,-0.1750687483,-0.1095332942,-0.1143937765,0.9375988888000001,0.2277511855
abx_mega__ery_h2o__3,3.7268628918999998,1.4203790292,1.5860813329,2.365706667,-2.3057897995,-1.3189573371,-1.0017031225,-2.2488264197,-0.2795341666,-1.3023468236
abx_mega__flavo_dmso__2,-0.1074915399,0.35032509300000003,-0.1612212899,0.44815050570000003,-0.3165443482,0.0079521554,-1.8220452857,0.5414791011,1.0696065176,0.2237454573
abx_mega__rif_dmso__4,1.2137414748,1.1669412475,-0.5402881884,2.2319022165,-1.5399098517,-1.3544716776,-1.2661873314,-1.7994636388,-0.8301435057000001,0.18654978860000002
abx_mega__novo_h2o__5,1.869543969,0.7383879267,-0.7751299484,0.9714924580000001,-0.3411830033,-1.9947520215,-2.9764559396,-2.8797694036,-0.2046681243,-1.0206670439
abx_mega__teix_dmso__5,-1.8914062294,-0.3019074078,-0.0241219207,-0.3183097434,-0.0340696975,0.057069561500000004,-0.7007413616,0.7292042436,0.0307377076,0.0662030157
abx_mega__naoh-2__1,-1.1119979629,0.3552542281,1.3077380983,0.4595702441,-0.31705369640000003,1.8541728313,-2.1089981456,0.1506402454,0.43199740080000004,0.5771612002000001
abx_mega__novo_h2o__6,1.4927278179,0.0711092295,-1.1994840887,0.3188663069,-0.5697764494,-2.0714817617,-3.1264952855,-2.2825630053,0.0347717196,-1.067605701
abx_mega__ctx_h2o__3,-1.5789732717,-0.6822313223,-0.7565555580000001,-0.29555656550000003,-0.31765341210000003,0.1010422965,-2.1237990837,0.5598154293000001,0.2165458126,-0.0380028156
abx_mega__rach_dmso__3,-2.3406120927,-0.8486673142000001,-2.2481599508,0.3466464765,-0.25011430100000004,-0.4438313726,-2.3898908739999998,0.0412895322,1.2036794492,0.40291101360000003
abx_mega__valin_dmso__2,2.1102594434,0.9659415227,0.4925397588,-0.1199930824,-0.8373204843000001,-0.8311000992,-0.7232979181,-0.39142262170000003,0.5368653591,0.16609462290000002
abx_mega__amyc-d_dmso__6,1.9219580758,1.5087796035999999,1.6470311364999999,1.8591924979,-1.2728116676,-0.1147096833,-0.9024518661,-1.5052256722,2.0190070715,0.7824178825
abx_mega__dox_dmso__2,0.7706416570000001,0.8770571359,0.0859501108,-0.8229845064,-0.025511662,-0.1788758631,0.152935067,-0.4343343082,0.9307925680000001,0.0390618168
abx_mega__teix_dmso__6,-2.3805488209,-0.9320496652,-0.4307708048,-0.0098665728,0.1480773849,-0.0196584235,-1.33264535,0.9490607440000001,-0.38115009780000003,-0.17711142870000002
