,A,CovR
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,1.1008808101,-1.7367325819000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,-1.6631983429,-0.8639908188000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-2.3093168092,-1.1357796231
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-1.2115219849,-1.0954504177
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-2.1337014348,-1.2711135228
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.43940992230000003,0.09757533
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,-0.0070589791,-0.12725127120000002
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.4464689013,0.0296759412
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-2.3751438381,-0.24314273460000002
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-4.223395602,0.45233669790000003
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,-3.9639433874,0.27991731540000003
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-4.1691581795,0.2137305965
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,0.14328680770000002,0.0129009061
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.0287485172,0.009378777000000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.7214752985,0.029181749000000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.6069370080000001,-0.0514614321
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,1.7490264537,0.17080487360000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,1.6772342299,0.130033007
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,1.6135195310000001,0.15188154040000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,1.6426530165000002,0.0819489805
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,3.5599434083,-0.2076158683
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,3.3506746278,-0.0625102375
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,3.0982190506,-0.0419491078
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,3.3226614151,0.0291436584
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,-10.3565453515,0.11267651490000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,-10.4556245615,0.116931106
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-9.7112970846,0.1990664275
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-9.8593108254,0.2471247256
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,-1.7355685999000001,0.6464892268
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,-0.4836817262,0.41909890650000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,-1.653311675,0.3847149875
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,-11.5010523894,1.1060258307
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,-11.3765044478,1.0709897718
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,-10.7891527188,1.1180603302
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-2.3718649296,-0.8615528325
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,-7.5998142104,-2.7938274106
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-2.2393560974,-0.4997803589
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,-8.0217712386,-2.3670738046
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-2.0637191348,-1.1622850947
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,-8.5550240571,-2.3733323798
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,0.4558102029,-1.0931397489
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,-12.1697115134,-0.5721140861
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,1.5472214309,-0.20400939580000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,-13.482858455,-0.47834395820000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,1.8695303675,-0.153153976
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-10.8603572797,-1.0716002669
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,-0.12882571210000002,0.045653004000000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,0.3709679551,-0.0709262903
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.242142243,0.0252732863
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.4510446474,-0.4240567349
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-1.366791311,-0.4581758983
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-2.7907230911000003,-0.4688042965
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,0.4985661463,0.2457018755
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,6.0839975588,0.1891675794
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,0.6016102891,0.4079226385
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.5884710146,0.0910578253
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-2.8343911451,-0.22648313990000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-3.433043538,0.122533709
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,-4.7588523583,0.0660744917
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,-5.6153874135,0.0927657535
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,-5.93239079,0.3829925273
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,-2.5301455794,-0.5124793177
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,-3.0815736679,-0.47931904210000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,-3.8318043822,-0.48772635550000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,-4.3855544250000005,0.31146659730000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,-3.9166717132,0.2570309403
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,-3.9975378044000003,0.5045065668000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,-1.9307143626,0.8145839451
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,-2.7518093329,0.8346940140000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,-2.6750969643999998,0.7876770804000001
