,A,SigE
Sw_2,1.4651442036,2.4950333333333328
BT_1,62.3476694287,4.452133333333333
BT_2,57.7366250535,3.770433333333334
B36_1,56.0459763447,5.935533333333333
B36_2,56.3688660716,5.574633333333334
B60_1,48.9063301782,6.108433333333333
B60_2,44.6908477229,5.921133333333333
M9exp_1,-2.4761238138,0.1011333333333333
M9exp_2,0.9615456559000001,0.06633333333333269
M9exp_3,1.5145781579,-0.16746666666666687
M9tran_1,3.5619441918,0.5983333333333336
M9tran_2,4.7312550525,0.754833333333333
M9tran_3,-0.7572250291,1.3667333333333334
M9stat_1,64.6996035312,6.133333333333334
M9stat_2,41.7951822114,4.805833333333333
M9stat_3,41.9535489192,4.794233333333334
M+G_1,15.0564163934,0.9718333333333335
M+G_2,3.1534441589,0.13773333333333238
M+G_3,3.0695982508,0.006133333333332658
Glu_1,-0.0031540815,0.4501333333333326
Glu_2,1.1898924983999999,0.3182333333333327
Glu_3,-0.5365614092000001,0.49373333333333225
Fru_1,0.7538445965,-0.14796666666666702
Fru_2,2.1619410812,1.6203333333333338
Fru_3,4.3912584248,0.3708333333333327
Mal_1,5.7012059147,-0.13956666666666706
Mal_2,8.0667102519,0.17403333333333304
Mal_3,2.5397390587,0.014733333333333043
G+S_2,47.1470404584,5.198533333333333
G+S_3,49.1551040947,5.362933333333333
Pyr_1,51.2336913211,5.128433333333333
Pyr_2,45.9878350864,4.988033333333333
Pyr_3,42.8782297502,4.6087333333333325
Gly_1,14.7506990644,-0.123966666666667
Gly_2,7.9820766718,0.3292333333333337
Gly_3,24.764075342,0.22953333333333337
Glucon_1,22.9800267467,2.5417333333333323
Glucon_2,17.1040209822,2.2893333333333326
Glucon_3,21.8506187299,0.45133333333333336
aero_1,-1.7070655488000002,0.509433333333333
aero_2,6.9402433338,-0.1565666666666674
aero_3,-2.2542285477,0.2054333333333327
nit_1,25.1708716227,1.9970333333333334
nit_2,7.1564229803,1.4031333333333338
nit_3,21.3495239867,2.0592333333333324
ferm_1,24.9160323984,2.3132333333333337
ferm_2,9.1429068501,0.9941333333333331
ferm_3,22.5506378247,2.3045333333333327
T-5.40H_1,8.4166572433,2.9718333333333335
T-4.40H_1,5.0335869847,2.1225333333333323
T-3.40H_1,1.302373162,1.7386333333333335
T-2.40H_1,1.6404865043,1.277733333333333
T-1.40H_1,0.6826562333,0.8613333333333335
T-1.10H_1,-0.9366545591000001,0.7811333333333339
T-0.40H_1,-0.8498806313,0.24693333333333367
T0.0H_1,-0.15701073540000002,0.4031333333333338
T0.30H_1,15.8653500841,0.13693333333333246
T1.0H_1,12.8122549612,0.5165333333333324
T1.30H_1,17.5000565496,2.3361333333333336
T2.0H_1,21.1068626472,3.3788333333333336
T2.30H_1,23.7448315539,4.749033333333332
T3.0H_1,36.7747224713,4.842633333333333
T3.30H_1,44.5702775813,5.700433333333334
T4.0H_1,51.7127004428,6.253633333333332
T5.0H_1,58.0331181797,6.223833333333332
HPh_1,3.8845443314,0.17313333333333336
HPh_2,2.2280335968,-0.1939666666666673
HPh_3,5.2889315187,0.19443333333333346
LPh_1,3.0632043201,0.21223333333333283
LPh_2,-2.4058227995,0.17933333333333312
LPh_3,4.8197165676000004,0.36733333333333373
LPhT_1,8.7224018038,0.8766333333333334
LPhT_2,5.7696654941,0.36813333333333365
LPhT_3,4.6558369926,0.6595333333333331
SMMPr_1,14.7106470835,2.1933333333333325
SMMPr_2,13.2500890589,2.2062333333333326
SMMPr_3,9.050101341,1.8906333333333327
HiTm_1,10.4833023705,0.6557333333333331
HiTm_2,4.3632599633,0.17813333333333237
HiTm_3,4.7675116942999995,0.4966333333333326
LoTm_1,61.9260705735,6.085133333333332
LoTm_2,65.2481321954,5.958233333333333
LoTm_3,69.3350278162,5.806033333333333
HiOs_1,11.8769782704,3.2401333333333335
HiOs_2,16.3569599135,3.386733333333333
HiOs_3,9.476183918,2.8895333333333335
BMM_1,-3.0292232707,0.12553333333333327
BMM_2,-0.8494760929,-0.09446666666666648
BMM_3,0.0582981668,0.2402333333333333
Heat_1,0.0907230411,0.5352333333333332
Heat_2,-1.3594134317,0.34103333333333286
Heat_3,5.478009907,0.5299333333333331
Cold_1,0.3761594773,-0.27766666666666673
Cold_2,6.0251499388,-0.33266666666666733
Cold_3,11.439120709200001,-0.37056666666666693
Etha_1,17.722040733100002,0.3896333333333333
Etha_2,21.6622286244,0.3552333333333335
Etha_3,15.4287441132,0.26303333333333345
SMM_1,2.2681407658,1.1308333333333325
SMM_2,2.552937467,1.7339333333333338
SMM_3,3.2645556271,1.867633333333333
Salt_1,9.6013126183,0.35513333333333374
Salt_2,11.7716583442,0.4734333333333334
Salt_3,7.6340565242,0.13793333333333369
Mt0_1,1.530330389,0.13773333333333238
Mt0_3,-2.5711342466,0.07883333333333287
M0t45_1,2.0283079212,0.3018333333333336
M0t45_2,-0.3117752207,-0.10356666666666658
M0t45_3,-3.3552480183,0.3848333333333338
M0t90_1,13.6125148707,0.30503333333333327
M0t90_2,-0.4099499189,0.7896333333333336
M0t90_3,4.8014150014,0.7294333333333336
M40t45_1,6.7372146048,0.31843333333333224
M40t45_2,0.7422826132,0.14113333333333333
M40t45_3,-5.9963353491,0.32423333333333293
M40t90_1,6.7704886583,0.27913333333333323
M40t90_2,-1.7308686187,0.5827333333333327
M40t90_3,-1.8200198285,0.7526333333333328
dia0_1,2.2064755137,0.07393333333333274
dia0_2,-0.29555383080000003,0.13103333333333378
dia0_3,-4.3805295769,0.07863333333333333
dia5_1,3.008962729,0.28953333333333386
dia5_2,3.1205150731,0.6861333333333333
dia5_3,-1.3895353578,0.47513333333333296
dia15_1,2.0975777157,1.3743333333333334
dia15_2,3.5264991795,1.778433333333333
dia15_3,8.2759687742,0.7163333333333322
Diami_1,11.8020696768,0.49593333333333245
Diami_2,5.0534573296,0.9090333333333325
Diami_3,11.6548641896,0.8547333333333329
Paraq_1,10.8298171596,0.025333333333333208
Paraq_2,3.4485157925,0.25943333333333296
Paraq_3,16.0243324905,-0.28086666666666726
H2O2_1,9.8020212136,0.1271333333333322
H2O2_2,7.8120712309,0.5325333333333324
H2O2_3,12.3306534386,0.4280333333333326
Oxctl_1,14.9562202254,0.1293333333333324
Oxctl_2,12.6916202361,0.040733333333332844
Oxctl_3,4.8180661978,0.14883333333333315
GM-0.1_1,2.3305108138,0.1105333333333327
GM-0.2_1,9.2844982572,0.39913333333333245
GM+5_1,2.2238182337,0.09193333333333342
GM+15_1,-0.4082374848,0.11893333333333267
GM+25_1,-5.0051913255,0.47153333333333247
GM+45_1,-1.6444564270000002,0.2972333333333337
GM+60_1,-3.8383149008,0.25143333333333384
GM+90_1,-1.1395195,0.41603333333333214
GM+120_1,15.3649549507,0.3649333333333322
GM+150_1,4.9946768232,0.6456333333333335
GM-0.1_2,-3.5098205918,-0.23056666666666725
GM-0.2_2,3.1092366285,0.3191333333333324
GM+5_2,-3.8818701202,-0.5122666666666671
GM+10_2,-2.2359702842,-0.5437666666666674
GM+15_2,2.9775393322,-0.23646666666666682
GM+25_2,-0.1846459221,-0.24046666666666727
GM+45_2,3.4794798783,-0.8104666666666667
GM+60_2,8.8075862256,-0.012466666666666626
GM+90_2,4.8936222997000005,0.5906333333333338
GM+150_2,5.8896743116,0.8733333333333322
GM-0.1_3,1.6679975892,0.5409333333333324
GM-0.2_3,-3.3731525255,0.15903333333333247
GM+5_3,-2.2874335453,0.6253333333333329
GM+10_3,7.0734623887,-0.14876666666666694
GM+15_3,0.6433565503,0.09543333333333326
GM+25_3,7.087583459,0.09623333333333317
GM+45_3,12.922503596,0.23213333333333264
GM+60_3,12.1353782236,0.08113333333333284
GM+90_3,7.3993452547,0.5576333333333325
GM+120_3,12.5930247185,0.9572333333333338
GM+150_3,2.1632739019000002,0.5035333333333325
MG-0.1_1,0.4000334216,-0.283266666666667
MG+5_1,3.5092058010000002,-0.17056666666666676
MG+10_1,-2.8514049537,-0.0686666666666671
MG+15_1,5.2699397856,-0.16206666666666703
MG+25_1,1.0361476461,-0.04566666666666652
MG+45_1,3.3368544435,-0.14536666666666687
MG+120_1,8.1889296587,0.24943333333333317
MG+150_1,2.6761254923,1.1637333333333322
MG-0.1_2,3.6424467901,-0.7356666666666669
MG-0.2_2,-0.1016573681,-0.5747666666666671
MG+5_2,-2.4242852784,-0.7373666666666674
MG+10_2,-2.1231048379,-0.4278666666666666
MG+15_2,0.3417296519,0.4117333333333333
MG+25_2,3.4071340644,-0.414366666666667
MG+45_2,7.3999138638,-0.4422666666666668
MG+60_2,2.9190527574000003,-0.24466666666666725
MG+90_2,0.470679864,-0.7253666666666669
MG+120_2,-2.1750424516,0.6983333333333333
MG-0.1_3,-3.3198714717,-0.14766666666666683
MG-0.2_3,3.3722893989,-0.08366666666666678
MG+5_3,6.8324944739,0.037833333333333385
MG+10_3,11.6677529522,-0.010166666666666657
MG+15_3,-1.2100656318,-0.1250666666666671
MG+25_3,-0.1899519898,-0.06066666666666709
MG+45_3,-3.0803439752,0.033333333333333215
MG+60_3,4.8877376662,-0.10946666666666705
MG+90_3,-3.0923941513,-0.27486666666666704
MG+120_3,-0.39838968100000005,0.20913333333333295
MG+150_3,-0.3853457829,1.030733333333333
