,A,purR
pgi__pgi_ale6__1,0.0536899393921,8.797998977584301
pgi__pgi_ale7__1,-1.4196736173500002,8.862705888147609
pgi__pgi_ale8__1,-0.00194005759781,8.84176850258413
ica__wt_glc__1,0.192062949344,8.62166175824732
ica__wt_glc__2,0.630115078501,8.64548564883787
ica__wt_glc__3,-0.164428820852,8.82267523588999
ica__wt_glc__4,-1.554606537,8.7703825555443
ica__arg_sbt__1,-4.84457397131,7.973305458224719
ica__arg_sbt__2,-4.43078303758,8.18537257184308
ica__cytd_rib__1,-10.5555073197,7.44958797209635
ica__cytd_rib__2,-10.8543897429,7.3973410535781206
ica__gth__1,-7.202674043360001,8.97655834369848
ica__gth__2,-6.93029402573,8.92083429800426
ica__leu_glcr__1,-2.96021876407,8.671409646472
ica__leu_glcr__2,-3.4475835022400005,8.574598595100982
ica__met_glc__1,1.59960094884,8.71577008815994
ica__met_glc__2,1.0370221572299998,8.728418026061501
ica__no3_anaero__1,-0.965073537717,8.4434145457355
ica__no3_anaero__2,-0.7471373694769999,8.50714992161084
ica__phe_acgam__1,0.51788483264,9.09363123151221
ica__phe_acgam__2,1.0543814647,9.11451587689065
ica__thm_gal__1,-11.715731086500002,7.4408582160792305
ica__thm_gal__2,-11.3931205374,7.59237369209317
ica__tyr_glcn__1,0.5181830963790001,8.5458309043814
ica__tyr_glcn__2,0.926721342591,8.57406681987549
ica__ura_pyr__1,-0.992904822752,8.553932582430718
ica__ura_pyr__2,-0.992259421093,8.631672163418902
ica__wt_glc__5,-0.9301907154369999,8.87557764404969
ica__wt_glc__6,-1.07337184469,8.949660416593769
ica__bw_delpurR_cytd__1,3.0948688132999997,0.8895091249132879
ica__bw_delpurR_cytd__2,2.8552736104100003,0.920547497295473
ica__ade_glc__1,-19.119832548399998,8.09871243106779
ica__ade_glc__2,-18.480075354100002,8.00222325611767
ytf__wt_glc__1,-3.6145930640300006,7.942882377458321
ytf__wt_glc__2,-5.7079519564100005,7.77078947786432
ytf__delyafC__1,-12.627183649900001,7.3310015778528
ytf__delyafC__2,-12.7564743601,7.23532514301093
ytf__delyeiE__1,-0.09419750883510002,8.76513906507426
ytf__delyeiE__2,0.362851920842,8.74940605351629
ytf__delyiaJ__1,-12.09003445,7.10927304968871
ytf__delyiaJ__2,-12.852164032100001,7.14501159351504
ytf__delyieP__1,-13.217128193599999,7.33685939546126
ytf__delyieP__2,-12.6052865901,7.330967743064951
ytf__wt_ph5__1,-0.76334478098,8.396117732503
ytf__wt_ph5__2,-1.6707586204499998,8.48378636715911
ytf__wt_ph8__1,-2.2702513675200002,8.68183407309785
ytf__wt_ph8__2,-1.89694525324,8.892345617660741
ytf__delybaO__1,-12.4082263937,7.154517360578559
ytf__delybaO__2,-12.6469103094,7.2930076430560495
ytf__delybaQ__1,-0.458871796179,8.7663355722736
ytf__delybaQ__2,-0.835110952008,8.83451679265841
ytf__delybiH__1,-7.932990806169999,7.171486647228139
ytf__delybiH__2,-15.274061245999999,6.44158679149194
ytf__delydcI_ph5__1,-0.761791340311,8.4952754929194
ytf__delydcI_ph5__2,-0.326100959027,8.32852956084531
ytf__delydcI_ph8__1,-2.48724771466,8.741836616211291
ytf__delydcI_ph8__2,-1.7225138870299999,8.761157505483709
ytf__delyddM__1,-2.92043961893,8.63783162719487
ytf__delyddM__2,-2.70394330599,8.671925096287731
ytf__delyheO__1,-13.3098013379,7.06174505828762
ytf__delyheO__2,-13.3084854147,7.205293762677259
fps__bw_glc__1,-2.28208660475,8.86929593797306
fps__bw_glc__2,-2.2405143839200004,8.89945659467982
fps__fps_thrA_ale1__1,-3.52809494126,9.113566601264141
fps__fps_thrA_ale1__2,-3.3524656859400004,9.006748947392289
fps__fps_thrA_ale2__1,-2.9121963117000003,9.00077342746293
fps__fps_thrA_ale2__2,-2.88016138182,9.04610437367118
fps__fps_serB_ale1__1,-1.7849906184400002,8.731597241169549
fps__fps_serB_ale1__2,-1.0171487966,8.74291024487347
fps__fps_serB_ale4__1,-1.9515078522799998,8.347401245863251
fps__fps_serB_ale4__2,-1.06261989895,8.20584215003424
fps__fps_ptsI_ale1__1,-6.12315557549,8.79808582102123
fps__fps_ptsI_ale1__2,-5.746272910040001,8.63996688082062
fps__fps_ptsI_ale3__1,-4.07202546295,8.6811177223243
fps__fps_ptsI_ale3__2,-4.423776312699999,8.609290232214741
pal__lyx_ale2_f6__1,-4.73498144366,8.384578110238
pal__lyx_ale2__1,-1.98377809822,8.55885828282866
pal__lyx_ale2__2,-1.4608600576800002,8.4715670175603
pal__lyx_ale4__1,-1.98377809822,8.55885828282866
pal__lyx_ale4__2,-1.4608600576800002,8.4715670175603
pal__5drib_ale10_f18__1,-6.78221981594,8.3225091613636
