,A,CreB
abx_mega__dox_dmso__2,1.6164063670000002,-0.4212576455
abx_mega__teix_dmso__6,0.5657848907,-0.2134064124
abx_mega__naoh-6__2,-0.6122378067,-0.7251344563000001
abx_mega__inh_h2o__2,0.8907153476,1.2129335479
abx_mega__chl_h2o__3,0.4433903743,0.9827961267
abx_mega__nal_naoh__6,0.5037890968000001,-1.0849556575000001
abx_mega__chl_dmso__2,1.7752492862,0.3521146
abx_mega__rach_dmso__4,0.2975961626,0.1983062237
abx_mega__teix_dmso__7,-0.6791352521,0.4472328237
abx_mega__ceru_ethanol__1,-0.9936960438,1.2981967441
abx_mega__dmso-7__1,1.4850039866,0.0732770021
abx_mega__naoh-6__3,-0.4547950767,-0.9493612377
abx_mega__phos_ethanol__2,-0.051230736900000004,0.6131689879000001
abx_mega__metro_dmso__3,0.6240187146,-0.4140040776
abx_mega__van_dmso__4,2.5671491343,-0.5939179328
abx_mega__h2o-10__1,-0.9159997573,0.520174464
abx_mega__h2o-10__2,-1.1577312548,0.6698257346000001
abx_mega__dmso-6__3,1.2969006589,-0.4047747318
abx_mega__mem_dmso__1,-1.0849742553,-0.1845865439
abx_mega__ethanol-8__2,-0.9957082012,-0.36349670440000004
abx_mega__chl_h2o__4,0.2368824876,0.8696429922000001
abx_mega__van_h2o__1,5.282691222,-0.5764096623
abx_mega__dcs_h2o__1,-0.8546435305000001,0.5104753513
abx_mega__rif_dmso__5,0.8110779536,-0.33177733130000003
abx_mega__dox_dmso__3,0.6322084425000001,0.5908731456
abx_mega__mem_dmso__2,1.415523588,0.1990979351
abx_mega__lvx_dmso__2,-0.085276894,0.1739422309
abx_mega__tet_h2o__2,0.588040962,1.7390456132
abx_mega__phos_h2o__5,-0.7508475781,-0.0668409325
abx_mega__monac_dmso__1,0.878476574,0.4068677972
abx_mega__str_h2o__3,-0.6073227201,0.056295462000000004
abx_mega__zeocin_h2o__2,5.0375706411,1.5417233089
abx_mega__amyc-d_dmso__7,4.1866814594,1.4111932051
abx_mega__fidax_dmso__1,-0.8876259641,0.47131568770000004
abx_mega__h2o-1a__1,0.24098953480000002,0.2263844874
abx_mega__dox_dmso__4,-0.0345764176,-0.6603560788
abx_mega__lzd_dmso__2,2.764033493,0.4028819577
abx_mega__tet_h2o__3,0.6155067819000001,0.3745245594
abx_mega__dmso-1__2,1.0690753314,0.25086926400000004
abx_mega__sxt_dmso__2,0.0206163007,0.3979962784
abx_mega__tric_ethanol__2,-0.3476824195,0.2517562565
abx_mega__teix_dmso__8,0.3131721977,-0.7475096839
abx_mega__ramo_h2o__2,13.2153499294,0.21177685940000002
abx_mega__inh_h2o__3,-2.3195622517,0.48354955730000004
abx_mega__cst_h2o__3,-0.1268537912,-0.1904388859
abx_mega__dmso-9__1,-0.48862923560000004,0.1017796707
abx_mega__ethanol-8__3,-0.3642350462,0.1574357667
abx_mega__monac_dmso__2,0.7236973683,0.4970834033
abx_mega__dmso-9__2,0.037187589300000004,0.3247988989
abx_mega__metro_dmso__4,2.4865171464999998,-0.1445488254
abx_mega__ctx_h2o__4,-1.2964804118,0.3989751341
abx_mega__zeocin_h2o__3,5.6314741713,1.3987613224
abx_mega__bacit_h2o__5,11.7090131157,0.5140490127
abx_mega__reta_dmso__1,2.6845053736,0.5761193917
abx_mega__ery_h2o__4,0.8057454083000001,1.7316637974
abx_mega__ceru_ethanol__2,-0.7598909949,1.2037557911
abx_mega__fidax_dmso__2,0.0538899693,0.1510848054
abx_mega__novo_dmso__1,2.2282686419,-0.8770927093
abx_mega__naoh-6__4,-0.8306632289,-0.5941654809
abx_mega__amyc-d_dmso__8,2.8463721528,0.0418963113
abx_mega__chl_dmso__3,1.6375068814,0.5899203484000001
abx_mega__nal_naoh__7,-0.8205775186,0.1555170034
abx_mega__teix_dmso__9,0.4751815977,0.202564093
abx_mega__ery_dmso__3,3.1600964485,0.0445452375
abx_mega__tmp_dmso__3,-1.8191511199,-1.0028964954
abx_mega__sxt_dmso__3,-1.2315227249,0.8359580251000001
abx_mega__polmyx_h2o__4,-2.3925767198,0.24415908960000002
abx_mega__mem_dmso__3,0.7433713231,0.3634654283
abx_mega__nal_naoh__8,1.0022845087,-0.1284265072
abx_mega__pen_h2o__3,1.7449165467,0.0468603381
abx_mega__van_dmso__5,2.3821504216,-1.1122569416
abx_mega__zeocin_h2o__4,4.9054275629,1.3390320191
abx_mega__h2o-6__2,-0.5742403334,-1.0338431121
abx_mega__tet_h2o__4,0.1193708948,0.1441845615
abx_mega__nor_naoh__4,-0.0162868996,0.2138172257
abx_mega__cip_naoh__4,-0.039803345000000004,-0.21751888930000002
abx_mega__tmp_dmso__4,-0.8179746325,-0.4361123196
abx_mega__reta_dmso__2,1.5863687406,1.2229285535
abx_mega__mem_dmso__4,-3.6550700203,0.3763722647
abx_mega__dox_dmso__5,-0.1946562964,0.5871194117
abx_mega__tmp_dmso__5,0.9997199126,0.2253423866
abx_mega__flavo_dmso__3,-0.9684204145,0.9696448369
abx_mega__tmp_dmso__6,0.42486328,-0.2109477462
abx_mega__ceru_ethanol__3,-0.8794278486,0.700095015
abx_mega__teix_dmso__10,0.700210718,-0.23440636580000002
abx_mega__novo_h2o__7,0.8015465735,-1.9775578725
abx_mega__fidax_dmso__3,0.2764835116,0.2538677924
abx_mega__h2o-1a__2,-0.3239761832,-0.0697331905
abx_mega__dcs_h2o__2,-1.0475168386,0.0623700534
abx_mega__cst_h2o__4,0.018859685,-0.4668619275
abx_mega__van_h2o__2,1.4475656397,0.3890200938
abx_mega__pen_h2o__4,1.1603804686,0.142956026
abx_mega__h2o-8b__2,-1.0022628518,0.1674533845
abx_mega__reta_dmso__3,0.7743818257,0.6825154336
abx_mega__dmso-7__2,0.8814901954000001,0.2070175629
abx_mega__rfp_h2o__2,2.1437160868,0.6019654532000001
abx_mega__rif_dmso__6,2.2754719718,0.3193814353
abx_mega__sxt_dmso__4,-0.9029976569,0.37402270260000003
abx_mega__cip_naoh__5,-0.20582425410000002,-0.9412211907
abx_mega__dmso-9__3,0.39623744400000005,-0.1492684465
abx_mega__mem_dmso__5,-0.4504165489,-0.48316810260000004
abx_mega__tric_h2o__2,-1.3453162069,1.2571201355000001
abx_mega__phos_h2o__6,0.29752350580000003,-0.8893376748
abx_mega__h2o-7__2,-0.9854221499,0.56240656
abx_mega__h2o-10__3,-1.293432586,0.6451953808
abx_mega__h2o-8a__2,-0.7565667746,0.16892035
abx_mega__thio_dmso__3,-1.0242961789,0.8122437174
abx_mega__lzd_dmso__3,-0.0493615735,-0.0229309808
abx_mega__monac_dmso__3,2.2231446528,-0.3420872985
abx_mega__polmyx_h2o__5,-0.2896741887,0.9855065825
abx_mega__naoh-6__5,-0.1118039166,-0.5166615223000001
abx_mega__teix_dmso__11,3.4580585073,-1.030842705
abx_mega__van_h2o__3,0.6086024262,0.5812899234000001
abx_mega__teix_dmso__12,2.4204465755,0.16893736550000002
abx_mega__dox_dmso__6,-1.4810892005,0.8574174696
abx_mega__teix_dmso__13,14.8185551044,0.2053627795
abx_mega__h2o-7__3,-0.7088463112000001,-0.0920910835
abx_mega__str_h2o__4,1.7168248281,0.9278054147
abx_mega__tec_h2o__3,14.8806666221,0.3147505473
abx_mega__phos_h2o__7,-0.059203444300000005,-1.1091666212
abx_mega__chl_h2o__5,1.0866308273,0.0405313859
abx_mega__polmyx_h2o__6,-1.3164362046,0.5674342399
abx_mega__teix_dmso__14,3.82923718,-0.9505853393
abx_mega__rif_dmso__7,0.0544231981,0.17658016640000002
abx_mega__ramo_h2o__3,14.445127997,0.18622167550000002
abx_mega__fidax_dmso__4,0.5243107692,0.2542052999
abx_mega__teix_dmso__15,-0.2807231779,0.267313532
abx_mega__thio_dmso__4,-0.3628670563,0.21180308180000001
abx_mega__rif_dmso__8,3.1432693179,0.0400624677
abx_mega__reta_dmso__4,1.4307719308,1.0205310589
abx_mega__inh_h2o__4,2.616548279,0.8200969603
abx_mega__novo_dmso__2,1.1234880787,-1.7172606507000001
abx_mega__dcs_h2o__3,-1.1309633121,0.4446814297
abx_mega__h2o-8b__3,-0.5827807199,0.1727598943
abx_mega__valin_dmso__3,2.0774418556,-0.0955797588
abx_mega__h2o-2__1,-1.7501305129,0.47355518900000004
abx_mega__cro_h2o__4,-0.0835455131,0.4050395444
abx_mega__dcs_h2o__4,-1.7379890981,0.3017025373
abx_mega__str_h2o__5,-0.9222647809000001,0.272859992
abx_mega__h2o-8a__3,-0.1174087892,0.0527370906
abx_mega__dox_dmso__7,-0.8094490487,-0.47172814220000003
abx_mega__doxo_dmso__2,-1.6851227856,-0.3207297921
abx_mega__teix_dmso__16,15.8811194994,0.1843510385
abx_mega__rfp_h2o__3,1.8438503681,0.37188935710000004
abx_mega__ethanol-10__3,-1.5851749957,0.585882899
abx_mega__naoh-2__2,-0.1705682878,0.1610690606
abx_mega__van_h2o__4,5.8699108526,-0.9513544984000001
abx_mega__sacet_h2o__2,0.4118447193,0.22318213110000001
abx_mega__monac_dmso__4,1.0152712414,0.4752099127
abx_mega__h2o-2__2,2.6503344798,1.1824399819
abx_mega__zeocin_h2o__5,-2.177630694,0.5686570112
abx_mega__nor_naoh__5,-0.3288696185,0.2810688988
abx_mega__naoh-9__2,-0.4426263104,0.4042864896
abx_mega__dmso-7__3,0.7894393193,0.5371178275
abx_mega__van_h2o__5,5.4623642681,-1.263527185
abx_mega__flavo_dmso__4,-0.1680704012,0.5714781891
abx_mega__novo_dmso__3,1.8310233507,-1.6881147297
abx_mega__polmyx_h2o__7,0.24825437400000003,0.47370969290000003
abx_mega__teix_dmso__17,1.2514489999,0.09809372840000001
abx_mega__doxo_dmso__3,-2.8451247131,-0.636191503
abx_mega__mem_dmso__6,1.1567378235999999,0.2939169407
abx_mega__h2o-1a__3,0.0829866484,-0.15665129690000001
abx_mega__bacit_dmso__3,3.3093619679,0.0223156544
abx_mega__dox_dmso__8,-1.373813169,-0.505329071
abx_mega__teix_dmso__18,1.2714645947,-0.4485343471
abx_mega__h2o-6__3,-0.2071156281,-0.1347299513
abx_mega__pen_h2o__5,0.4952212254,-0.1462414535
abx_mega__lzd_dmso__4,-0.37749085130000004,-0.0018775516
abx_mega__daro__1,0.1859675788,0.8412846954000001
abx_mega__solv__1,1.0807985101,0.5741461039
abx_mega__daro__2,-0.7364583601,0.8233879129
abx_mega__daro__3,1.0196368565,1.3897519805
abx_mega__solv__2,0.5880386618,0.47298563930000004
abx_mega__solv__3,1.0451920098,1.4050842456
abx_mega__dmso-4__1,4.2315784231,0.8306551937000001
abx_mega__kirr_dmso__1,1.6369319515,0.3343355428
abx_mega__kirr_dmso__2,1.5294217338,0.390793902
abx_mega__kirr_dmso__3,1.9968690590000002,0.4787939976
abx_mega__dmso-4__2,5.2991721159,1.0859526415
abx_mega__dmso-4__3,4.0576045952,0.5535976102
ackA_pta__dnaA46_del_ackA__1,2.5734593458,0.2119950192
ackA_pta__dnaA46_del_ackA__2,2.5227956869,0.7851980331
ackA_pta__dnaA46_del_ackA__3,2.3144450234000002,0.7939969403
ackA_pta__dnaA46_del_pta__1,0.0420123997,1.0332524582
ackA_pta__dnaA46_del_pta__2,-0.7546507194000001,-0.0243032641
ackA_pta__dnaA46_del_pta__3,-0.7114404632,0.5962330702
ackA_pta__dnaA46__1,-0.5231640334000001,0.0465550548
ackA_pta__dnaA46__2,-1.0974946674,0.4596463644
ackA_pta__dnaA46__3,0.2592987317,0.031126729300000003
ackA_pta__del_ackA__1,4.2945290553,0.49736603700000004
ackA_pta__del_ackA__2,4.2453109201,1.1576774841
ackA_pta__del_ackA__3,3.8460232132,0.0703236225
ackA_pta__del_pta__1,-0.1558187318,-0.6566188659000001
ackA_pta__del_pta__2,0.1591544206,-0.3218975483
ackA_pta__del_pta__3,-0.0799661993,-0.0153192064
ackA_pta__wt__1,0.1067991711,0.1899897121
ackA_pta__wt__2,-0.0604776287,-0.1572562067
ackA_pta__wt__3,-0.0463215424,-0.0327335054
anticancer__5fu__1,0.6786069976,-1.0620111748
anticancer__5fu__2,0.8387397338,-0.6500600572
anticancer__cap__1,-0.5505269778,-0.5944673713
anticancer__cap__2,-0.8095257995,-0.594884784
anticancer__cap__3,-0.5733425726,-0.5622588070000001
anticancer__wt__1,0.4232993807,-0.030227804400000002
anticancer__wt__2,-0.23508108830000002,-0.0233925408
anticancer__wt__3,-0.18821829240000001,0.0536203452
anticancer__5fu__3,1.1164070826,-1.1456940134
bio_pln__aero_pln__1,-0.029912794200000002,-0.0285654903
bio_pln__aero_pln__2,0.029912794200000002,0.0285654903
bio_pln__anaero_pln__1,0.252124165,-0.2387404059
bio_pln__anaero_pln__2,-0.9594655638,-0.4089267992
biocide__bzcl_12h__1,-0.7289503099,-0.0621927543
biocide__bzcl_12h__2,0.0137302781,0.10381122050000001
biocide__bzcl_12h__3,-0.7466167771000001,0.029055913200000002
biocide__etoh_12h__1,1.7591326999999999,0.2089523349
biocide__etoh_12h__2,1.7659560419,0.1765251175
biocide__etoh_12h__3,0.8549913759000001,0.20886982710000002
biocide__gluald_12h__1,-0.5888810833,0.5336582621
biocide__gluald_12h__2,-0.4894123133,0.2585319732
biocide__gluald_12h__3,0.11571376650000001,0.43164593370000004
biocide__h2o2_12h__1,-0.3292767806,0.1769526536
biocide__h2o2_12h__2,-0.2121138142,0.164675713
biocide__h2o2_12h__3,-0.4506223977,0.39104776560000004
biocide__2ppoh_12h__1,-0.7975778864,0.2349962267
biocide__2ppoh_12h__2,-0.1544193146,0.29234006220000003
biocide__2ppoh_12h__3,-0.4664814189,0.32065870960000004
biocide__paa_12h__1,-0.2236604126,0.2960272688
biocide__paa_12h__2,-0.28059563530000003,0.280789513
biocide__paa_12h__3,-0.17763468100000002,0.1075440837
biocide__phe_12h__1,-1.2812263972,0.0490591817
biocide__phe_12h__2,-0.6247028836,0.4070538998
biocide__phe_12h__3,-0.5382766894000001,0.3855110692
biocide__pvp-i_12h__1,-0.0742184826,-0.2781269596
biocide__pvp-i_12h__2,-0.5075032914000001,0.1704432925
biocide__pvp-i_12h__3,0.3142423823,0.11058172200000001
biocide__bleach_12h__1,-0.417534138,0.5849352633
biocide__bleach_12h__2,0.1263932234,0.3902292952
biocide__bleach_12h__3,-0.1604568122,0.4315482738
biocide__chx_12h__1,-0.6873675981,0.5206193171
biocide__chx_12h__2,1.0364128009,0.10013372940000001
biocide__chx_12h__3,0.2102010399,-0.008533911600000001
biocide__bzcl_30m__1,-0.0460852389,0.1413005776
biocide__bzcl_30m__2,-0.2655925749,0.0434388374
biocide__bzcl_30m__3,-0.5016656358,0.1245659818
biocide__phe_30m__1,0.11392119170000001,0.0933163303
biocide__phe_30m__2,-0.6744950846000001,-0.0772659126
biocide__phe_30m__3,-0.3986348683,-0.057594386600000005
biocide__pvp-i_30m__1,0.4881259585,-0.0190332977
biocide__pvp-i_30m__2,0.6385595826,0.0168060475
biocide__pvp-i_30m__3,-0.0405498363,0.1215087776
biocide__ctrl_12h__1,-0.1893196808,-0.0016183673
biocide__ctrl_12h__2,-0.5577301357000001,0.020630853
biocide__ctrl_12h__3,-0.5242178519,0.15355701830000001
biocide__ctrl_30m__1,0.2727831657,0.1888205584
biocide__ctrl_30m__2,-0.19172844660000002,-0.1613733629
biocide__ctrl_30m__3,-0.0810547191,-0.0274471955
clpP__wt__1,-1.2179920434,-0.1456181952
clpP__wt_DPTA__1,1.4736638668,0.3449898292
clpP__wt__2,-0.2690895908,0.0860097068
clpP__wt_DPTA__2,3.3758326823,0.0765636202
clpP__wt__3,1.4870816341,0.0596084884
clpP__wt_DPTA__3,1.8180415511999999,0.2441267453
clpP__delclpP__1,-0.5049269691,-0.30559120430000003
clpP__delclpP_DPTA__1,1.636247601,-0.5654105579
clpP__delclpP__2,0.1719350882,-0.1036768997
clpP__delclpP_DPTA__2,0.3101895035,-0.2801992802
clpP__delclpP__3,-0.7305125038,-0.10938713800000001
clpP__delclpP_DPTA__3,1.4880931706,-0.0521884127
colombos2__delydcR__1,-1.1973026732,-0.3608832246
colombos2__delydcR__2,0.8694360434,0.1666757861
colombos2__delydcR__3,-0.08681298350000001,-0.1376360232
colombos2__delyjiR__1,0.5617458695,0.021048677800000002
colombos2__delyjiR__2,0.8728316275,0.5715395187
colombos2__delyjiR__3,-0.4287382797,0.6738143654000001
colombos2__wt__1,0.5005513842,-0.09707618970000001
colombos2__wt__2,-0.7563912646000001,0.19965904480000002
colombos2__wt__3,0.2558398805,-0.10258285510000001
crp_k100__ar1_ar2__1,0.2206728299,-0.106296609
crp_k100__ar1_ar2__2,0.8243792282,-0.0437537611
crp_k100__ar1_ar2__3,-0.9074874938,0.2896251651
crp_k100__wt__1,0.13701500360000002,-0.1543619881
crp_k100__wt__2,-0.3483763131,-0.3472710048
crp_k100__wt__3,0.2113613095,0.5016329929
crp_k100__K100Q__1,0.6365531088,-0.1022457252
crp_k100__K100Q__2,-0.7247260034,-0.1343003739
crp_k100__K100R__1,-1.147586502,-0.6003222522
crp_k100__K100R__2,0.0087039454,0.9036863570000001
crp_k100__K100R__3,-0.8778718298,-0.2663486002
csrA__wt_t00__1,-0.699663161,-0.45452483050000003
csrA__wt_t02_30__1,0.4013725515,-1.5827774384
csrA__wt_t05__1,2.4668808908,-3.380751019
csrA__wt_t10__1,2.7970756816,-3.4762858256999998
csrA__wt_t15__1,4.4545926588,-2.7138359941
csrA__delcsrA_t00__1,1.1078901415,0.016721718400000002
csrA__delcsrA_t02_30__1,1.2831482757,-1.4744286342000001
csrA__delcsrA_t05__1,2.4643568391,-2.9720952368
csrA__delcsrA_t10__1,2.5066944368,-3.2234401054
csrA__delcsrA_t15__1,3.2907486945,-1.9755997552000002
csrA__wt_t00__2,0.699663161,0.45452483050000003
csrA__wt_t02_30__2,0.22076390980000002,-0.6077746424
csrA__wt_t05__2,1.2193232345,-2.8697875096
csrA__wt_t10__2,2.5916452718,-3.5858714558
csrA__wt_t15__2,4.0001791702,-2.5023378423000002
csrA__delcsrA_t00__2,1.4161785239,-0.1432757523
csrA__delcsrA_t02_30__2,1.0969839363,-1.3292315007
csrA__delcsrA_t05__2,2.8929805301,-3.4479755713
csrA__delcsrA_t10__2,3.093630139,-3.8220148929
csrA__delcsrA_t15__2,4.5238730507,-2.7028824122
cstr_pfr__str_0005m__1,-0.0147528998,-0.08945167870000001
cstr_pfr__str_0010m__1,-0.0173951206,-0.19368170410000002
cstr_pfr__str_0025m__1,-0.1501424153,-0.017540529200000002
cstr_pfr__str_0045m__1,-0.4018787405,-0.0979046829
cstr_pfr__str_0075m__1,-0.4620391407,-0.10310409890000001
cstr_pfr__str_0120m__1,-0.33707907940000004,-0.12334529030000001
cstr_pfr__str_0210m__1,-0.1622755253,-0.10311316520000001
cstr_pfr__str_0330m__1,0.1032921264,0.0347252948
cstr_pfr__str_1500m__1,0.3413332492,0.1036458021
cstr_pfr__str_1560m__1,-0.33488235850000003,0.06841866220000001
cstr_pfr__str_1680m__1,-0.0862629203,-0.0963568851
