,A,FabT
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-6.3059882962,-2.4343121579
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-9.4577998224,-2.9221691074000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-6.1175727072,-2.0997562834
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.5890667620000001,-0.0805328186
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.38529858980000004,0.07393899300000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.2037681721,0.0065938256
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-4.7273660647,-0.7097987758000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-5.6203112459,-1.4124543162
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,-5.7133079879,-1.231323039
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-4.8308743513,-1.006136833
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,0.9752040535000001,0.1707596877
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.4156117458,-0.0737654853
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.6959885182000001,-0.1099450829
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.1363962105,0.0129508806
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,0.3774122056,0.0651837748
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,-0.8223763983,-0.1312451361
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,0.1638500722,0.0569903276
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,-0.329066058,-0.0178068075
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,-0.1195408834,-0.052367850300000005
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,0.3713506851,0.0269266662
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,0.3817141867,0.016477029100000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,0.3369637855,0.0625786691
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,-1.8306034382,-0.1488718581
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,-1.7095657086,-0.16990027770000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-1.2067755072,-0.050491435200000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-1.226892277,-0.07347850410000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,-0.9755294809,0.2506217107
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,0.13350130600000001,0.49390218410000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.1396334588,0.4642099912
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,-6.6528173842000005,-1.7865254945
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,-6.5298109552,-1.6165710111
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,-7.4164907265,-2.0566370887
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-0.2103440556,-0.6908518666
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,-15.3114674369,-4.9341679024000005
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,1.1499377323,-0.2947869289
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,-15.6488304307,-4.7922783391
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-0.43991542710000003,-0.5638381826000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,-15.8864034346,-4.6566219025999995
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-1.216149594,-1.083755888
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,-10.7875944591,-2.8796311931
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,0.6708944851,-0.32543822240000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,-10.4420146251,-2.3457045493
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,1.2476498250999999,0.2004602244
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-13.7590199669,-3.6669258659
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,-0.8794782898,0.1332826829
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,1.6040585324,0.24609632320000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.7245802426,-0.37937900620000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,11.2000165972,-5.9609444685
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,11.8458690097,-7.2461504268
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,11.4920713971,-6.4485811763
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-0.7202092085,0.37670482710000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-0.5420765408,-0.0235103786
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-1.8941048677999999,-0.2284582467
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,8.5757245913,-8.0896909426
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,10.4060472883,-7.0813335254
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,10.1199728363,-9.1615261421
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,-7.3354800226,-2.1513656128
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,-6.5299343868,-2.2509704136
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,-4.2810345846,-2.0639433983
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,12.5357411495,-7.5879284793
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,12.3991512584,-8.9447407905
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,12.7201602652,-6.9203194785
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,-7.164328466,-2.0725597665
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,-7.3340123883,-2.3063060498
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,-6.7183246392000004,-2.0028140695
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,10.7128338977,-10.4184491859
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,12.9031031876,-9.0584264303
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,12.7736861343,-9.8059768662
