,A,WalR
yacP:delyacP:3,2.9193854961466386,-0.14120033330034065
yacP:yacP_induced:3,1.487901058959916,-0.21426970625528166
yacP:yacP_no_induce:3,0.7569504899452888,-0.22200740396797514
yonO:wt:1,-0.7060708600673317,-0.04988906410676641
yonO:wt:2,0.3180255043016865,0.009850279184328237
yonO:wt:3,0.3880453557656419,0.04003878492244084
yonO:wt_mmc:1,2.327722571844413,-2.2720642729108853
yonO:wt_mmc:2,3.6011198279593803,-2.418949830984002
yonO:wt_mmc:3,2.9503987786427803,-2.244727803548757
yonO:delyonO:1,1.7560067540855395,0.3023375429307649
yonO:delyonO:2,0.4367033409931133,0.012284890844329157
yonO:delyonO:3,0.6637719449038418,-0.22299250940528206
yonO:delyonO_mmc:1,2.413722284857761,-1.6928093494353655
yonO:delyonO_mmc:2,3.5817597241294266,-1.8865204776876088
yonO:delyonO_mmc:3,2.7598276557577806,-2.2703988305373466
yydF:ctrl:1,0.08751542060264858,0.09853491646245603
yydF:ctrl:2,-0.5658017290322078,0.06293447700374523
yydF:ctrl:3,0.4782863084295619,-0.16146939346619948
yydF:yydF:1,-1.6968023922579376,0.1902728012411945
yydF:yydF:2,-2.9524952317660564,0.19889335608693412
yydF:yydF:3,-1.9945674396681887,0.16958622282620614
