,A,NanR
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.6478780739000001,0.1462655757
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-1.2455181419,-0.08382772670000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-1.0463427661,0.14869802000000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,2.0143745569,0.14633012880000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,0.5020484939000001,0.1202120742
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,-0.27458126990000004,0.1802342834
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,0.1695277215,0.0808323723
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-2.087957935,-0.2002465471
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,-1.2746405911,-0.1556344526
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,10.8324929296,-0.5380612811000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,15.317664282700001,-1.2035173359
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,15.4414983176,-1.097517155
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,15.2799110919,-0.8839123594
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,15.2751867256,-0.45447026570000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,13.977803336400001,-0.7061692165
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,9.9968407051,-0.5393128082
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,14.2244050212,-0.6299167908000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,11.4394370785,-0.6597329525
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,13.7035091077,-0.8069440857
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,14.2201006872,-0.4869608393
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,14.3838418977,-0.9448954504
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,10.7337555295,-0.4315249674
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,12.9192024822,-0.7860761078
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,13.9122939998,-0.9633954851000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,12.2767199194,-0.7399964397000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,13.2474892932,-1.4975844252
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,12.6330988789,-0.7576302417
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,9.5247701723,-0.6476454059
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,10.3622204509,-0.5740522704000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,9.2722015598,-0.9917429897000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.6996409164,0.10152388700000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.46268582810000003,0.014894951600000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.2369550883,-0.1164188386
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,27.3275292659,-0.4201794498
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,27.3199595983,-0.7906955623
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,27.5155658867,-0.6782631687
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,26.9200913466,-0.7541362277
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,0.40870945470000003,-0.0452258476
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,0.4850093274,0.0613061899
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.5894327787,-0.0130210362
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,-0.3042860034,-0.0030593060000000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,3.06358784,-0.2949487085
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,2.9934376631,-0.0597527263
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,3.9200827387,-0.2182831607
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,4.979696486,-0.1089120096
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,2.50081687,-0.021970633
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,0.6618882355,-0.1296611568
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,2.9564333934,-0.12095823030000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,2.5999566713,-0.1977769923
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,0.798046965,-0.1510770145
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,0.3565367693,-0.1109273654
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-2.5666272304,0.0451565472
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-2.1378581569,-0.08361683
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,3.7003141222,-0.39007983820000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,3.909287592,-0.348285793
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,4.3122889608,-0.32470136120000004
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,3.1317012761,-0.8698565271
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,2.5890535062,-0.8605675526000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,3.1352905504,-0.6282532242000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-2.5134835749,-0.0398609396
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,6.1355038769,-1.4935539432
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-2.672019314,-0.0660444288
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,6.5509127014,-1.3751523624
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-1.714014174,-0.1049969083
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,8.1747775817,-1.7097917275
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-3.7911280512000003,0.3000446355
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,-5.1288077729,-0.9426842593
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-3.7606630043,0.5410719796
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,-5.4818803091,-1.0513284453
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-4.3700996195,0.2219503773
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-3.9886953977,-1.0393819283
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.5377584621,0.0466165562
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-1.1624575317999999,-0.0017126762
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,0.6246990697,-0.0449038801
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-3.1565427119,-0.49815582
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-2.1093634479,-0.4041087749
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-3.1861683466,-0.4062593835
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-4.0093309919,-0.0825019912
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-3.9511180671,0.14667683780000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-2.332159224,-0.025027915300000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-4.3912028463,-0.2213582947
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-3.8151244841,-0.205294796
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-4.4757033918,-0.1988324557
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,14.7373017602,-1.3892046498
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,14.8265903043,-1.2979518945000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,14.9515541088,-1.3626273549
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,11.1565245411,-1.0192361913
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,9.8973450826,-1.1453545659
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,8.7772970297,-1.0554130349
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,13.4239447119,-1.0506095895
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,13.9445268052,-1.1018737651
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,12.7760845285,-0.9091877278
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,16.938890921,-0.7556195828000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,16.4225523826,-0.5061920619
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,18.4462847822,-1.0352899207
