,A,CdaR
ompr__bw_delompr_nacl__1,2.6868906471000003,3.1071495634
ompr__bw_delompr_nacl__2,2.2146455204,3.0389159435
minspan__wt_ade__1,0.31411008220000003,2.2774072503
minspan__wt_glc__1,0.3057230528,3.1355032929
minspan__wt_glc__2,0.5875227030000001,2.706742521
minspan__wt_glc__3,-0.1048348476,3.1977278245
minspan__wt_glc__4,0.7869214965,3.2665550785
minspan__wt_glc_anaero__1,-0.5027070821,3.2148823029
minspan__wt_glc_anaero__2,0.904104558,1.7295210213
minspan__wt_trp__1,1.6982919737,3.8214366017
minspan__bw_delcra_glc__1,0.5329106641,3.3482036158
minspan__bw_delcra_glc__2,0.7537926184,3.4250180061
minspan__bw_delcra_trp__1,1.8835534790000001,3.3959808933
minspan__bw_delmntr__1,0.9300531745,3.7176287088
minspan__bw_delnac_ade__1,1.0849097847,3.3925175954
minspan__bw_delnac_glc__1,1.582982221,3.1406064723
cra_crp__wt_ac__1,1.9917702568000002,4.6433997791
cra_crp__wt_ac__2,2.0856007205,4.3100879485
cra_crp__wt_fru__1,2.8389381601,4.0204746358
cra_crp__wt_fru__2,2.1481431616,3.7117954124
cra_crp__delcra_ac__1,2.1264691293,5.4629843973
cra_crp__delcra_ac__2,2.2631471264,5.4364457196
cra_crp__delcra_fru__1,1.5424508408,3.7921046903
cra_crp__delcra_fru__2,1.1247943823,3.4438977886
cra_crp__delcra_glc__1,0.9739142877,3.484418587
cra_crp__delcra_glc__2,1.5818761432000001,3.7019453654000003
rpoB__wt_031__1,5.2778976555,5.3838559653
rpoB__wt_044__1,1.0685958933,3.8926742672
rpoB__wt_lb__1,8.3335846658,5.0822561387
rpoB__wt_lb__2,8.0154309333,5.2117383828
rpoB__rpoBE546V_031__1,1.8238530697000002,4.7318904759
rpoB__rpoBE546V_044__1,1.8876849449000002,4.386563474
rpoB__rpoBE546V_lb__1,6.7160140381,5.1566343687
rpoB__rpoBE546V_lb__2,6.3845248809,4.9890432818
rpoB__rpoBE546V_glc__1,0.1657586812,3.0251127873
rpoB__rpoBE672K_glc__1,0.016303933200000002,3.5842972229
rpoB__rpoBE672K_glc__2,0.18719864890000001,3.572354978
rpoB__rpoBE672K_lb__1,5.4199324233,3.9582263883
rpoB__rpoBE672K_lb__2,5.5783340797,3.7550459875
crp__wt_fru__1,7.2863380015,5.6018076128
crp__wt_glyc__1,2.7878116835,5.5537500317
crp__wt_glyc__2,3.2838052145,5.6906612095
crp__delar1_glyc__1,2.6339904213,3.4750983721
crp__delar1_glyc__2,2.9184641605,3.8435759608
crp__delar1ar2_glyc__1,1.3702374185,3.7809320988
crp__delar1ar2_glyc__2,2.2295999158,3.8054180255
crp__delar1ar2_glyc__3,1.9509821881,3.5953137888
crp__delar2_glyc__1,5.0247145764,6.2317149349
crp__delar2_glyc__2,5.1418048569,6.0164825113
crp__delar2_glyc__3,4.7332608703,6.1230076624
crp__delcrp_fru__1,2.009390732,3.8895628650000003
crp__delcrp_fru__2,1.8360385773,3.8990880781
crp__delcrp_fru__3,2.006203934,3.6326654943000003
crp__delcrp_glc__1,2.4516968545,3.799915742
crp__delcrp_glc__2,2.3726056958,3.7965208691
crp__delcrp_glc__3,2.4598491588,3.9053765674000003
crp__delcrp_glyc__1,2.2979576847,3.3309469786
crp__delcrp_glyc__2,2.7916622593,3.5982293022
crp__delcrp_glyc__3,2.0560968231,3.6031507832000003
glu__glu_ale3__1,1.8459026193999999,2.6780660828
glu__glu_ale4__1,0.3035198029,3.3244586304
glu__glu_ale5__1,-0.4723252819,3.3561799704
glu__glu_ale6__1,0.6680186829,2.7871389517000003
glu__glu_ale8__1,0.4731082213,2.69542654
glu__glu_ale9__1,0.8858257756000001,3.0177192421
glu__glu_ale10__1,0.0479881162,2.7396626965
42c__wt_42c__1,2.2133227336,4.1326700259999996
42c__42c_ale1__1,1.5050533313,4.444858083
42c__42c_ale2__1,1.4588920417,2.9594937963000003
42c__42c_ale3__1,-0.0149383842,3.5590297674
42c__42c_ale4__1,1.0867295217,2.6097572698000002
42c__42c_ale5__1,0.3184131885,3.1525261192
42c__42c_ale6__1,1.11607675,3.4421538160000003
42c__42c_ale8__1,1.5413910914,2.871580845
42c__42c_ale9__1,0.2204223944,3.4444659067
42c__42c_ale10__1,0.5611410054,3.8666698625
ssw__wt_ac__1,2.06726149,5.0399281894
ssw__wt_glc__1,-1.6808350664,2.4870997561
ssw__wt_glyc__1,13.3212468184,6.9182179079
ssw__wt_xyl__1,1.0456937433,4.5992795827
ssw__glc_ale1__1,1.3048622329000001,4.0052439816
ssw__glc_ale2__1,2.2512393186,4.0792236429
ssw__glc_ale3__1,1.8977987645,4.2715913331
ssw__glyc_ale1__1,3.6740310264,4.4664799096
ssw__glyc_ale2__1,4.4929687566,4.2973402842
ssw__xyl_ale1__1,5.5005915248,4.2630841946
ssw__xyl_ale2__1,14.1839373832,7.0250785908
ssw__xyl_ale3__1,3.1635439485,4.2416282335
ssw__glc_ac_ac2__1,2.3374508721,5.0840275078
ssw__glc_ac_glc1__1,0.2481363935,3.3795148043
ssw__glc_ac_glc2__1,2.8525383476,4.0892881126
ssw__glc_glyc_glc__1,1.9045085992000002,3.5182454913
ssw__glc_glyc_glyc__1,11.2043209483,6.1085729203
ssw__glc_xyl_glc__1,1.1350959402,3.4412690514
ssw__glc_xyl_xyl__1,8.389361065,4.8628079421
pgi__glu4_delpgi__1,1.5157707275,4.6630090341
pgi__pgi_ale1__1,6.2263794358,4.5719890153
pgi__pgi_ale2__1,2.181909576,4.1557674935
pgi__pgi_ale3__1,1.5672450708999999,4.1000616654
pgi__pgi_ale5__1,1.3470411833,4.1673567122
pgi__pgi_ale6__1,3.1562239812,3.9098561876
pgi__pgi_ale7__1,1.2921730411999999,4.1925158913
pgi__pgi_ale8__1,0.8068717790000001,3.4284849097
ica__wt_glc__1,1.07223955,4.1028214763
ica__wt_glc__2,0.410200177,4.0384428448
ica__wt_glc__3,0.9219212439000001,4.0344921066
ica__wt_glc__4,0.7119750162,3.9571740527
ica__arg_sbt__1,4.0382701757,5.4609930234
ica__arg_sbt__2,3.2036423889,5.1779872485
ica__cytd_rib__1,16.9734036745,6.4321933773
ica__cytd_rib__2,16.4303313434,6.4124900161
ica__gth__1,2.0265324511,4.2128500574
ica__gth__2,2.0645413284,4.4455397237
ica__leu_glcr__1,27.8288513369,8.4609685078
ica__leu_glcr__2,28.1114953608,8.4972038774
ica__met_glc__1,-0.2154712708,4.037334091
ica__met_glc__2,0.6699053884,4.1748475024
ica__no3_anaero__1,0.34336967500000004,3.6797468297
ica__no3_anaero__2,0.19582902060000001,3.7329336271
ica__phe_acgam__1,0.6044629193000001,3.4828803686
ica__phe_acgam__2,1.1681762788,3.6844506589
ica__thm_gal__1,3.0957353353,5.4605401687
ica__thm_gal__2,3.6068828668,5.5629858687
ica__tyr_glcn__1,1.441032977,3.2908678324
ica__tyr_glcn__2,0.9650338476,3.6644981191
ica__ura_pyr__1,0.5290947293,4.6594516058
ica__ura_pyr__2,0.997912079,5.0350766218
ica__wt_glc__5,0.8337879536,4.1447484683
ica__wt_glc__6,0.5423353716,3.9892820122
ica__bw_delpurR_cytd__1,0.7000746179,4.0266075709
ica__bw_delpurR_cytd__2,0.6801481324,4.0028647826
ica__ade_glc__1,0.6594932747000001,4.4346555062
ica__ade_glc__2,0.7955056102,4.2514558745
ytf__wt_glc__1,1.621162096,3.7775596939
ytf__wt_glc__2,1.8979089418,3.9906550468
ytf__delyafC__1,2.3459224101,4.6308162349
ytf__delyafC__2,2.6882238917,4.7149623854
ytf__delyeiE__1,1.132214282,4.258170213
ytf__delyeiE__2,1.8281241869,3.8633718492
ytf__delyiaJ__1,2.9375420876,4.2531182052
ytf__delyiaJ__2,2.174147788,4.1127839266
ytf__delyieP__1,1.6732785313,4.412382395
ytf__delyieP__2,2.0376787388,4.0924636838
ytf__wt_ph5__1,0.9930537903000001,3.8947270982
ytf__wt_ph5__2,1.4850993571,4.1183701676
ytf__wt_ph8__1,0.8338167596,4.0311599065
ytf__wt_ph8__2,1.0210669804,4.1920686198
ytf__delybaO__1,2.4868127164000002,4.8345044763
ytf__delybaO__2,1.3382243767,4.885512028
ytf__delybaQ__1,1.3017266043,3.7214519298
ytf__delybaQ__2,1.0716676045,3.8597833586
ytf__delybiH__1,2.1501049459,3.515054371
ytf__delybiH__2,2.0477780336,4.4855661643
ytf__delydcI_ph5__1,0.7608654575,3.99911685
ytf__delydcI_ph5__2,0.8455968099000001,3.4341267336
ytf__delydcI_ph8__1,1.2367779869,3.7333686643
ytf__delydcI_ph8__2,1.2274307108,3.9213887313
ytf__delyddM__1,1.2764407953,3.7238425524
ytf__delyddM__2,1.4842869742,3.766025239
ytf__delyheO__1,2.5274778609,4.477960099
ytf__delyheO__2,1.9405696889000001,4.7649204245
fps__bw_glc__1,0.5483431842000001,4.13584841
fps__bw_glc__2,1.4084470968,3.8440907167000002
fps__fps_thrA_ale1__1,1.0857149659,3.5458332493
fps__fps_thrA_ale1__2,0.6137495501,3.6427871604
fps__fps_thrA_ale2__1,1.3147912533000001,3.973026336
fps__fps_thrA_ale2__2,1.4176064644,3.4623885261
fps__fps_serB_ale1__1,1.2939416992,4.0616461796
fps__fps_serB_ale1__2,0.5584959609,3.7328883223
fps__fps_serB_ale4__1,1.5653506656,4.4065191756
fps__fps_serB_ale4__2,1.8362015173000001,4.2871815939
fps__fps_ptsI_ale1__1,2.9058380918,5.4044391917
fps__fps_ptsI_ale1__2,2.3412591933,5.4006584741
fps__fps_ptsI_ale3__1,1.4748631879,5.2810392893
fps__fps_ptsI_ale3__2,1.7517484719,5.1661701799
pal__lyx_ale2_f6__1,4.1424812887,5.9695716048000005
pal__lyx_ale2__1,2.1733851754,5.3270914223
pal__lyx_ale2__2,1.9092923289,4.978950784
pal__lyx_ale4__1,2.1733851754,5.3270914223
pal__lyx_ale4__2,1.9092923289,4.978950784
pal__5drib_ale10_f18__1,5.7808841248,6.0915126666
pal__5drib_ale10_f18__2,5.6738800534,6.3112613211
pal__5drib_ale10__1,3.9584278993,6.0318609518
pal__arab_ale14_f9__1,5.5836641959,5.0304099565
pal__arab_ale14_f9__2,4.9830106964,4.7417259322
pal__arab_ale14__1,14.3391746397,5.0686859996
pal__arab_ale14__2,14.985685994,5.4617932838
pal__arab_ale16__1,14.790739537,6.2108371898
pal__arab_ale16__2,15.6885698274,6.2656728066
pal__tartr_ale26_f10__1,27.9820952246,9.1039688058
pal__tartr_ale26_f10__2,26.3239723831,8.8051044634
pal__tartr_ale26__1,29.3068496339,9.2672815321
pal__tartr_ale26__2,29.1459587762,9.263310131
pal__tartr_ale28_f10__1,26.5677213799,8.9678456376
pal__tartr_ale28_f10__2,26.8273811739,9.429662663
pal__tartr_ale28__1,32.3664471708,9.9025944582
pal__tartr_ale28__2,30.5074056535,10.1755877776
efeU__delmenFentC_citr__1,2.1211538413,3.8629147528
efeU__delmenFentC_citr__2,1.6633672469,3.4252108949
efeU__delmenFentC__1,1.3993897783,3.9293824253
efeU__delmenFentC__2,1.1473963058,3.7526882107
efeU__menFentC_ale39__1,2.2852287275,4.4100019347
efeU__menFentC_ale39__2,2.0204793481,4.0076308046
efeU__menFentC_ale29__1,2.4915744855,3.0708106482
efeU__menFentC_ale29__2,3.3017653831000002,3.5440883539
efeU__menFentC_ale30__1,2.2715175624,4.1873278192
efeU__menFentC_ale30__2,1.8951449004,3.6981590299000002
efeU__menFentCubiC_ale36__1,0.8699580659,3.561299495
efeU__menFentCubiC_ale36__2,1.8290042596,3.6954051648
efeU__menFentCubiC_ale37__1,1.4102482901,3.8735866126
efeU__menFentCubiC_ale37__2,1.3064144414,4.0868524989
efeU__menFentCubiC_ale38__1,1.0792420245,4.1402413121
efeU__menFentCubiC_ale38__2,2.1877561326,4.0158993048
