,PA3440a
SRX7058500,-0.07457005700000001
SRX7058501,-0.326307453
SRX7058502,-0.38543775300000005
SRX7058503,-0.40099187000000003
SRX7058504,-0.10357199600000001
SRX7058505,0.078995095
SRX7058506,-0.29664433500000004
SRX7058508,-0.315691021
SRX7058510,0.08150913900000001
SRX7058511,-0.340645191
SRX7058512,0.025228312000000003
SRX7058513,-0.115389344
SRX7058514,-0.009615321000000001
SRX7058515,-0.25358456
SRX7058492,0.41811517000000004
SRX7058494,-0.5526137600000001
SRX7058495,-0.557861175
SRX7058509,-0.08862365300000001
SRX6923929,0.381830793
SRX6923930,0.606796878
SRX6923932,0.790893504
SRX6923933,0.21417476500000002
SRX6923934,-0.12504483500000002
SRX6923935,-0.08912993
SRX7940213,-0.24432223600000003
SRX7940214,0.09891788100000001
SRX7940215,0.145404355
SRX7940216,-0.36253366800000003
SRX7940217,-0.530788903
SRX6874325,-0.4330925
SRX6874326,-0.11230311500000001
SRX6874327,-0.13221791100000002
SRX6874328,0.371368694
SRX6874329,0.306244832
SRX6874330,-0.565819943
SRX6874331,-0.491555155
SRX6874332,-0.326048569
SRX6874333,0.064693428
SRX6874334,0.10777091500000001
SRX2255950,0.176269743
SRX2255951,0.23392331600000002
SRX2255954,0.037300169
SRX2255955,-0.037300169
ERX2813653,0.07528003700000001
ERX2813654,-0.07528003700000001
ERX2813656,0.5016897370000001
ERX2813657,0.048706030000000004
ERX2813658,0.29872085800000003
SRX2711962,0.087433702
SRX2711963,-0.087433702
SRX2711964,-0.083843729
SRX2711965,-0.049756524
SRX2711966,-0.5465716780000001
SRX2711967,-2.303979349
