,A,PdhR,PyrR,BtsR
oxidative__delsoxs_pq__1,2.9448513225,7.3616356047,6.9957187355,4.4681994426
oxidative__delsoxs_pq__2,2.6978101934,7.2208343528,7.0969132711,4.2349108143
nac_ntrc__wt_csn__1,0.9091768490000001,8.0345715105,6.1135775354,4.3968196864
nac_ntrc__wt_csn__2,0.8718977101000001,7.9621834365,6.3464422432,4.3170876304
nac_ntrc__wt_cytd__1,0.8879866120000001,8.0307440543,6.0334281401,4.2876509402
nac_ntrc__wt_cytd__2,0.7959646356000001,7.7500308489,6.0123455468,4.2594454183
nac_ntrc__wt_gln__1,2.2117784856,8.4856092429,6.6154077298,4.3873043863
nac_ntrc__wt_gln__2,2.5035508732,8.2143622746,6.6074080488,4.2332835629
nac_ntrc__bw_delnac_csn__1,2.7850882567,7.6943462087,6.9593274869,4.9529504111
nac_ntrc__bw_delnac_csn__2,3.2214159498,8.1113357133,6.9426675597,4.6475495479
nac_ntrc__bw_delnac_cytd__1,0.5898135045,7.8008479501,6.7151772885,4.8302420058
nac_ntrc__bw_delnac_cytd__2,1.3077461534,7.8589344955,6.6980590097,4.8094601539
nac_ntrc__bw_delnac_gln__1,2.507653284,8.047008133,7.011807254,4.7282223076
nac_ntrc__bw_delnac_gln__2,2.6722957264,8.2006962683,6.853054995,4.9753846012
nac_ntrc__bw_delnac_nh4__1,1.5677624534999999,8.1288970715,5.9211709011,5.1828731182
nac_ntrc__bw_delnac_nh4__2,1.0961291954,8.0690858366,6.2764933539,4.9243530744
misc__wt_no_te__1,1.3456000196,7.4925217889,6.6502474320000005,4.7295626635
misc__wt_no_te__2,0.4175316745,7.8500661644,6.4728342843,4.6671481928
misc__bw_delcbl__1,0.1442732646,8.1124455243,5.8052417076000005,5.2392037407
misc__bw_delcbl__2,0.9182006332,8.1293451276,6.0526715469,5.149881037
misc__bw_delfabr__1,0.7265608921000001,8.2888988179,5.6429654802,5.2219603586
misc__bw_delfabr__2,0.633221671,8.2291261781,5.6232805976,5.1660513505
misc__bw_delfadr__1,0.8143951220000001,8.129318739,6.1679473647,4.6153466114
misc__bw_delfadr__2,1.2610390084,7.9680126296000005,6.1331342258,5.0194760124
misc__nitr_031__1,5.2607246128,7.9453463315,6.3841906361,4.5203541212000005
omics__wt_glu__1,0.9487508824,8.1764626185,5.6047188208000005,4.3847240079
omics__wt_glu__2,1.0607484723,8.3133348766,6.1180175559,4.7603766188000005
omics__wt_gly__1,2.1168665604,8.1960442116,5.3384881747,4.4440635926
omics__wt_gly__2,1.7428117225,8.0319265191,5.1707888839,4.3575584198
omics__wt_thr__1,2.6250611187,7.0902628349,6.3065768294,4.8220184687
omics__wt_thr__2,2.4405877847,6.6648028494,6.2668694943,4.6978419063
omics__bw_ac__1,3.661661838,7.9039098076,5.5074338825,6.7105326909
omics__bw_ac__2,3.3183964282,7.9272403125,5.7288100347,6.6013485952
omics__bw_fum__1,1.8359042032000001,8.6313758141,5.818087778,6.5272714887
omics__bw_fum__2,1.4906524305,8.8047997463,5.7979133553,6.4956019196
omics__bw_glc__1,-0.2998533853,8.4094871067,6.5520776889,5.4350076944
omics__bw_glc__2,-0.28096680560000004,8.3246827371,6.3746701469,5.1541462673
omics__bw_pyr__1,15.968708472,10.3336512791,5.7782414589,6.9608320170999995
omics__bw_pyr__2,16.1260977599,10.2547548106,5.9069340847,7.0548820152
ompr__wt_nacl__1,0.9657821973,7.8767340472,6.3945515419,3.333371371
ompr__wt_nacl__2,0.7167637098,7.9275904398,6.2444354257,4.0300848757
ompr__bw_delompr_nacl__1,1.1712723943,7.6319699322,5.938912684,3.3480802794
ompr__bw_delompr_nacl__2,0.5796673741,7.6633583939,6.0210893628,3.4794288583
minspan__wt_ade__1,7.6181163355,8.1495690953,6.1799854465,4.7203567608
minspan__wt_glc__1,0.49442586930000004,7.7085531514,6.0532481607,4.6555265218
minspan__wt_glc__2,1.2924477294,7.9846134525,6.0317276453,4.4922631544
minspan__wt_glc__3,0.0349132182,7.8749824503,6.0876482793,4.9693058604
minspan__wt_glc__4,0.3510163549,7.8129609977,5.7519180372,5.0166815717
minspan__wt_glc_anaero__1,4.5336065294,6.5264233876,6.4745874055,4.6796995332
minspan__wt_glc_anaero__2,5.5245976098,7.0545687666,6.1830832745,4.5978551353
minspan__wt_trp__1,-0.1710158542,5.3916980197,6.5343411673,6.1311385662
minspan__bw_delcra_glc__1,5.2930702486,4.9448667138,6.5445411766,5.2678980823
minspan__bw_delcra_glc__2,5.2721240268,5.145237806,6.3843660313,5.3136967888
minspan__bw_delcra_trp__1,1.6237243214000001,5.3589602505,6.5750952315,5.7481512324
minspan__bw_delmntr__1,1.6634054035,6.3525081698,6.2832702536,5.9626965199
minspan__bw_delnac_ade__1,7.8765764862,7.4726680748,6.434600856,5.4079177698
minspan__bw_delnac_glc__1,9.487340499,8.7239171002,5.9295260216,5.1955900601
cra_crp__wt_ac__1,2.8979166067,7.5392496625,5.3342957604,5.9080314651
cra_crp__wt_ac__2,2.8604131037,7.5385224024,5.3636170736,5.6944283339
cra_crp__wt_fru__1,2.6070874017,8.0285223256,5.4518811386,5.2611873166
cra_crp__wt_fru__2,2.5402011573000003,8.0166501003,5.7065234731,5.3186791606
cra_crp__delcra_ac__1,1.1541685416,7.1812264065,6.2130056135,7.0753235218
cra_crp__delcra_ac__2,0.8340995117000001,7.3341036582,6.3176306268,6.973544003
cra_crp__delcra_fru__1,9.0598423324,8.5210348001,6.4186877565,4.6240929596
cra_crp__delcra_fru__2,8.745933999,8.4626533304,6.3808666751,4.7390742243
cra_crp__delcra_glc__1,2.3081792683,8.1401809184,6.1759972601,4.9827168721
cra_crp__delcra_glc__2,2.3836339843,8.1214810058,6.1087215315,5.0875052355
rpoB__wt_031__1,1.9428182102,7.1645473546,5.825121877,5.8729667549
rpoB__wt_044__1,5.1609846364,7.8263477099,5.5180464537,4.5212625483
rpoB__wt_lb__1,4.1939556353,6.3587252529,6.1879885022,5.9002030023
rpoB__wt_lb__2,3.8991559741,6.2717406653,6.2146656552,5.866429194
rpoB__rpoBE546V_031__1,2.0626970248,7.2954442992,5.5468805953,4.8700946846
rpoB__rpoBE546V_044__1,2.8484897753,7.7172351881,5.8443174972000005,4.9838297605
rpoB__rpoBE546V_lb__1,5.1192574425,7.6803792883,6.1502517303,5.6972526535
rpoB__rpoBE546V_lb__2,4.8835844835,7.64825254,5.8913173673,5.5321019005
rpoB__rpoBE546V_glc__1,0.1847149733,8.0594885471,5.2434148481,5.0898931829
rpoB__rpoBE672K_glc__1,0.1850411062,8.3484694162,5.2887002806,4.6861020829
rpoB__rpoBE672K_glc__2,1.3800182195000001,8.5424223082,5.0621557857,5.0349931094
rpoB__rpoBE672K_lb__1,4.3226134527,8.7020081382,5.198763945,5.6864199492
rpoB__rpoBE672K_lb__2,3.9177839356,8.8021039608,5.15382185,6.074199498
crp__wt_fru__1,1.7592220623000001,8.1861888784,5.1342659252,6.3322278078
crp__wt_glyc__1,1.3417688389,7.7305322524,5.3966672876,6.2213561824
crp__wt_glyc__2,1.4169036305,7.8014019762,5.1628511254,6.3798524728
crp__delar1_glyc__1,4.5964365855,4.7681636495,7.0119033458,4.6334860897
crp__delar1_glyc__2,4.0760563227,3.9861280705,7.1990457502,4.6241187172
crp__delar1ar2_glyc__1,1.1246001532,7.2321697708,6.2419195174,4.022153369
crp__delar1ar2_glyc__2,1.5383923629,7.2934867615,6.3785547985,4.0085765559
crp__delar1ar2_glyc__3,1.393302541,7.3401501958,6.2157551551,4.2680465443
crp__delar2_glyc__1,2.5828022485,3.5054309087,6.1780702341,4.987139933
crp__delar2_glyc__2,3.0809444322,3.384976225,6.352306209,4.6584632662
crp__delar2_glyc__3,2.1113624843,3.4008903472,6.371252657,5.2008024827
crp__delcrp_fru__1,2.6944824092,7.3690044267,6.2491465592,4.5650115126
crp__delcrp_fru__2,2.9619182197000002,7.3147824618,6.0375396065,3.6392626479
crp__delcrp_fru__3,2.6595161989,7.3942997843,6.4598207923,4.5583332868
crp__delcrp_glc__1,0.8698365047000001,7.2162971623,6.0939468501,3.9467213598
crp__delcrp_glc__2,0.7503828607,7.2344451042,6.3299280429,4.3154693218
crp__delcrp_glc__3,0.9097182854,7.2660517954,6.2397901171,3.7837163603
crp__delcrp_glyc__1,1.8674249104,7.7469274806,6.3737850408,4.0572196634
crp__delcrp_glyc__2,2.6757870679,7.6704790117,6.7415844697,4.3155092357000004
crp__delcrp_glyc__3,2.085063541,7.7113630518,6.6086561246,4.164397289
glu__glu_ale3__1,3.4885709025000002,5.767637716,6.2476491599,3.5426568738
glu__glu_ale4__1,3.6521065232,8.7670609982,5.363391165,4.5965179672000005
glu__glu_ale5__1,1.6913673156,8.6915339618,4.8933072767,5.2381431777
glu__glu_ale6__1,8.5671711713,8.5839007703,5.233933001,4.3402625406
glu__glu_ale8__1,2.2118545305,5.6132423608,6.6730130976,4.3350121209
glu__glu_ale9__1,10.495825239,6.7172160159,6.3083654742,4.749901181
glu__glu_ale10__1,7.068416697,5.73789661,6.1014792249,3.7989446964
42c__wt_42c__1,1.985931211,8.8524473354,5.6614884514,4.850793188
42c__42c_ale1__1,0.4300588918,6.0063485534,6.0988678851,6.5066531562000005
42c__42c_ale2__1,1.5750556537,7.8578532319,6.0526800889,4.7605360733
42c__42c_ale3__1,0.7543162426000001,8.7627766199,6.2224857406,4.8576163436
42c__42c_ale4__1,1.1016581318,5.7954862297,6.5878643991,5.0577006748
42c__42c_ale5__1,3.528368319,8.2265564763,6.2738010056,5.0671026745
42c__42c_ale6__1,1.3507996057,3.1410632063,6.8975205007,5.015741243
42c__42c_ale8__1,1.105290322,5.0166012863,7.2252639277,5.5357403002000005
42c__42c_ale9__1,-0.8394832405,8.5803502245,5.9732169969,5.542391996
42c__42c_ale10__1,1.2701143350000001,4.6450849529,7.0329515236,5.4964513487
ssw__wt_ac__1,1.5054546879,6.7036283629,6.0417972855,6.3856185726
ssw__wt_glc__1,2.90728303,7.5305833739,6.0506287098,4.2217093494
ssw__wt_glyc__1,2.9180526393,8.1751775427,6.5612164758,6.4161309388
ssw__wt_xyl__1,4.6926457553,6.9019166928,6.9590827617,6.4501209101
ssw__glc_ale1__1,3.579283835,5.5834229142,6.5827169426,6.0976824046
ssw__glc_ale2__1,5.9036736196,5.9057570706,6.2739218007,4.9259445828
ssw__glc_ale3__1,2.960381524,6.2190298783,6.6356366878,6.0080882873
ssw__glyc_ale1__1,3.8026876096,8.8052925467,5.8770688702000005,5.5560770431
ssw__glyc_ale2__1,2.2802401735,8.2638226923,5.9365114334,5.5698093357000005
ssw__xyl_ale1__1,0.3458827114,8.4920974656,5.7525558249,5.2098072875
ssw__xyl_ale2__1,0.9556380649,8.8128433287,5.6606685717000005,5.332184194
ssw__xyl_ale3__1,6.7197093708,8.3865450027,5.9146441234000005,5.2450892613
ssw__glc_ac_ac2__1,1.6508445177,6.4728155077,5.9150825344,6.8737949270000005
ssw__glc_ac_glc1__1,4.0184233678,9.1130662496,6.509656442,5.2305453688
ssw__glc_ac_glc2__1,-0.1473371903,4.4690256223,6.8429957081,6.2283471199000005
ssw__glc_glyc_glc__1,2.8140796066,6.9704175624,6.4852121797,4.5961655305
ssw__glc_glyc_glyc__1,3.364160052,7.1104918092,5.8018767802,5.0531432397
ssw__glc_xyl_glc__1,2.0015146715,7.5177922032,5.5893558589,5.1281356424
ssw__glc_xyl_xyl__1,1.9159402457999999,7.7469396263,5.2757057679,5.5897202327
pgi__glu4_delpgi__1,1.2707057397,7.0631358519,6.3350240631,5.804511436
pgi__pgi_ale1__1,-0.5741445928000001,7.598198789,6.0151385087,6.0330695446
pgi__pgi_ale2__1,0.3692215318,7.3287484565,7.0603491856,5.6017407219
pgi__pgi_ale3__1,-0.8326507914,7.5965951225,6.1027088024,5.6628235158999995
pgi__pgi_ale5__1,-0.3326127002,7.4933358241,6.0141785674,5.532076978
pgi__pgi_ale6__1,-1.3032716784,7.6603904297,5.9379518679,5.6155267903
pgi__pgi_ale7__1,-1.8241375079000002,7.3860651935,5.9421351818,5.6254077183
pgi__pgi_ale8__1,0.6815707991000001,7.8847367056,5.7156293029,4.9785192757
ica__wt_glc__1,-0.0317501127,7.4010346599,5.4480727136,5.5943169178000005
ica__wt_glc__2,-0.3922295665,7.4420980115,5.5867560597,5.5262428456
ica__wt_glc__3,-0.1277040797,7.5564878240999995,5.8567909694,4.9353200154
ica__wt_glc__4,-0.49146183400000004,7.287148203,6.0444771833,5.0217162089
ica__arg_sbt__1,2.5925362307,7.5748075277,5.6103042749,5.9683833174
ica__arg_sbt__2,1.7118105728000002,7.8805435446,5.5595357891,6.1182677919
ica__cytd_rib__1,6.9387385264,6.0994513766,6.4413713829,5.6065543489
ica__cytd_rib__2,6.6615997041,6.0027697405,6.7568490672,5.6864057903
ica__gth__1,2.7793438570999998,9.2527384477,7.4134874636,4.4948609692
ica__gth__2,2.8717390945,9.0933457885,7.4607307694,3.8504473066
ica__leu_glcr__1,3.8226644139,9.211405527,6.1081444068,5.9348139392
ica__leu_glcr__2,4.0114913343,9.1528856528,6.1317945822,5.9972305196
ica__met_glc__1,-0.6189821043,7.3322961978,5.166095993,5.2051165978
ica__met_glc__2,0.348214746,7.2057564044,5.1970428394,5.1408920199
ica__no3_anaero__1,-0.6645674977,7.1429328659,6.6648827704,4.5530038964
ica__no3_anaero__2,-1.8840475791,7.2184195724,6.8167830601,4.7332700286
ica__phe_acgam__1,1.0474882693,7.8752116423,5.7185218622,5.4445370051
ica__phe_acgam__2,0.9365251865,7.9110408638,5.7427767133,5.4922958841
ica__thm_gal__1,1.5322883442,7.0647870355,5.9488096741,6.0120554863
ica__thm_gal__2,1.9916560030000001,7.2950303535,5.8063865138,6.0867219654
ica__tyr_glcn__1,3.1695445363,9.1391194183,5.5640222199,5.587467353
ica__tyr_glcn__2,3.5409686366,9.1287743044,5.8524610257,5.51394281
ica__ura_pyr__1,11.1270677636,8.367333186,6.0082489074,6.2074888261
ica__ura_pyr__2,14.5450129776,9.114742079100001,5.9404801927,6.7495524717
ica__wt_glc__5,0.0638346134,7.6493912725,6.1603473979,5.1689894674
ica__wt_glc__6,0.7484505902,7.5901206091999995,6.3373915704,4.9642707345
ica__bw_delpurR_cytd__1,-0.587289163,7.7992731513999995,5.6881548113000004,5.1293861413
ica__bw_delpurR_cytd__2,-1.4199221989,7.9307436424,6.2071466933,5.3818497289
ica__ade_glc__1,-1.4709491881,8.4488039705,5.9506436145,5.5206207436
ica__ade_glc__2,-1.3541864329,8.321371815,6.0515807407,5.2734836827
ytf__wt_glc__1,0.5447927153000001,7.4614511557,6.4901284841999995,5.2002753268
ytf__wt_glc__2,0.39932223370000003,7.0993058358,7.0327653468,4.8780811492
ytf__delyafC__1,-1.6752607205999999,5.811433438,7.1278970913,6.0310376675
ytf__delyafC__2,-1.1303673945,5.9202673263,7.1221896506,6.0785596842
ytf__delyeiE__1,-2.6966697622,8.3246689504,7.1121971682,5.5992227773
ytf__delyeiE__2,-1.4322519827,8.1358688057,6.6944801712,5.0211282551
ytf__delyiaJ__1,-0.7357234747,5.5874596610000005,7.2017961224,5.712421781
ytf__delyiaJ__2,-0.8849914753,5.6358161569,7.485545346,5.4859424914
ytf__delyieP__1,1.4088742734,6.2193338518,7.2207898519,5.6057950035
ytf__delyieP__2,0.4806883273,6.3879345260000004,7.3364336658,5.2470862038
ytf__wt_ph5__1,3.9428979959,7.6946963838,6.6822458955,5.0728393317
ytf__wt_ph5__2,4.1155421337,7.8335752103,6.7219718127,5.2027527132
ytf__wt_ph8__1,-0.7784292378000001,7.3434918742,6.3990010058,5.3390742992
ytf__wt_ph8__2,-0.30736673000000003,7.3610215507,6.3246822947,5.1066868939
ytf__delybaO__1,-1.1920335975,5.8061222083,7.1487781043,5.9698796843
ytf__delybaO__2,-0.7225309470000001,5.6137696736,7.2577568365000005,6.1608086116
ytf__delybaQ__1,0.1844877066,7.68266604,6.3027717089,4.9861039623
ytf__delybaQ__2,-0.23508458470000002,7.7133385763,6.1369255059,4.961933327
ytf__delybiH__1,1.2751454214,5.8166271907,7.0747436076,5.0266033581
ytf__delybiH__2,0.2701644013,5.5232367348,7.4334393134,5.3546940834
ytf__delydcI_ph5__1,3.3141987721,7.6691502275,6.4520932518,5.0863719483
ytf__delydcI_ph5__2,3.4739120031,7.5353284544,6.5815657611,5.2023166047
ytf__delydcI_ph8__1,0.3552319424,7.3593294165,6.3567427246,4.9019783816
ytf__delydcI_ph8__2,-1.343197298,7.2551439261,6.3001457774,4.8347882503
ytf__delyddM__1,0.2642405147,7.6758654831,6.7572977966,4.6404480013
ytf__delyddM__2,-0.11840373300000001,7.505777372,6.7170801304,4.7435014558
ytf__delyheO__1,-1.1825165695,5.5042984226,6.8214690748999995,5.7346097029
ytf__delyheO__2,-0.1031554368,5.6818384034000005,7.1411779747,5.9378619195
fps__bw_glc__1,-1.5056354538,7.9548800605,6.1992973991,5.8942124064
fps__bw_glc__2,-1.2944218984,7.6718813297,5.9387859071,5.4446107918
fps__fps_thrA_ale1__1,-0.5797411239,7.6122246766,6.4107799452,5.3008433828
fps__fps_thrA_ale1__2,-0.0433810353,7.3557679103,6.3722176991,4.9451336199
fps__fps_thrA_ale2__1,-0.7041457159000001,7.275190239,6.4532548172,5.3193930471
fps__fps_thrA_ale2__2,0.46180478750000004,7.3239942064,6.4369017503,5.1541776976
fps__fps_serB_ale1__1,-2.0214861946,7.1161627772,6.1259969141,5.0925946751
fps__fps_serB_ale1__2,-1.9325977229,6.9916774231000005,6.1971363349,4.7850083227999995
fps__fps_serB_ale4__1,-3.1952605165,6.7413968638,6.738352825,5.2987223055
fps__fps_serB_ale4__2,-2.8768252921,6.9444509065,7.1312745556,5.2925075505
fps__fps_ptsI_ale1__1,0.6220138266,7.1562877989,6.1668542118,6.3200416629
fps__fps_ptsI_ale1__2,0.9645593382000001,7.0115646333,5.9323606907,6.2599572819
fps__fps_ptsI_ale3__1,0.46058407160000003,7.1634495565,5.968323599,6.4238152529
fps__fps_ptsI_ale3__2,0.4261449516,7.2825569179,5.876723139,6.2941436948
pal__lyx_ale2_f6__1,1.0979762735,6.8647495417,5.9413213313,6.3296807044
pal__lyx_ale2__1,2.4935004675,7.352695147,4.9513800991,6.1398485793
pal__lyx_ale2__2,2.0144241464,7.3077365087,4.9670213524,6.0409684061
pal__lyx_ale4__1,2.4935004675,7.352695147,4.9513800991,6.1398485793
pal__lyx_ale4__2,2.0144241464,7.3077365087,4.9670213524,6.0409684061
pal__5drib_ale10_f18__1,2.5857867189,7.2517073042,6.0709265947,6.6392980756
pal__5drib_ale10_f18__2,2.4523670325999998,7.1000683413,5.971262219,6.7686875892
pal__5drib_ale10__1,2.9311551481,7.0636183048,5.8645536101,6.8737764087
pal__arab_ale14_f9__1,2.1314142242,7.8339999175,6.2344391842,5.8991240837
pal__arab_ale14_f9__2,2.2643986707,7.5656301835,6.3163688995000005,5.7420902748
pal__arab_ale14__1,2.3452863318,7.9355448948,5.6186645261,5.8616379013
pal__arab_ale14__2,2.7176931143000003,7.9689055987,6.0172274618,6.1937089966
pal__arab_ale16__1,2.701864211,7.900210553,5.9335554258,6.3604836522
pal__arab_ale16__2,3.2614557902,7.876344816,6.3821286005,6.3568620061
pal__tartr_ale26_f10__1,2.7349647156,6.8707654293000004,5.961841773,7.1597859952
pal__tartr_ale26_f10__2,2.8476791378,6.6286280866,6.116062632,7.1033581236
pal__tartr_ale26__1,2.3359554034,7.108344924,6.0067842751,6.8811191641
pal__tartr_ale26__2,2.5363442803,6.9831443187,5.9491284019,7.1494091448
pal__tartr_ale28_f10__1,1.620989844,7.0576305872,6.419352091,5.7523152573
pal__tartr_ale28_f10__2,2.1799815821,6.9946757021,6.5188815988,6.0327487299
pal__tartr_ale28__1,2.0943798647,7.5991199688,5.8026153948,6.3896539604
pal__tartr_ale28__2,1.4915531145,7.534331251,5.5806838771,6.5692040436
efeU__delmenFentC_citr__1,0.8581468515,8.1639695981,5.8699831062,4.7891888855
efeU__delmenFentC_citr__2,0.7985104762,7.4681432216,5.9294234589,4.6809227873
efeU__delmenFentC__1,9.914673355,8.4960555279,6.9984407782,5.0323279125
efeU__delmenFentC__2,9.6983772748,8.4918975937,6.906390537,4.9270506604
efeU__menFentC_ale39__1,3.6692412656,4.6504014103,6.3913947967,5.4302473627
efeU__menFentC_ale39__2,3.6143509593000003,4.4095584241,6.2968332759,5.6878075117
efeU__menFentC_ale29__1,3.8552426851,8.5432660469,6.4180580532,4.5882663015
efeU__menFentC_ale29__2,4.2741428861,8.660900121000001,6.3657882404,4.6481147604
efeU__menFentC_ale30__1,0.9819309414,7.891453913,5.9780672782,5.3519187598
efeU__menFentC_ale30__2,0.6379180522,8.1810931073,5.5594177846,5.3484765146
efeU__menFentCubiC_ale36__1,3.5949650047,8.3009884983,6.4988204074,5.0855842943
efeU__menFentCubiC_ale36__2,4.6975583224,8.1380212879,6.3978018489,5.1791649795
efeU__menFentCubiC_ale37__1,5.0239255092,8.1657953929,6.5425692515,5.2450261954
efeU__menFentCubiC_ale37__2,4.7936672517000005,8.1759280919,6.7468060753,5.0844767924
efeU__menFentCubiC_ale38__1,5.5157060423,8.3138243327,6.5239950755,4.9378214833000005
efeU__menFentCubiC_ale38__2,5.6316272724,8.3157245046,6.3064330143,4.771687637
