,A,ABUW_1645
AB5075_Zinc__Zinc__1.0,6.131888676,0.5587447779
AB5075_Zinc__Zinc__2.0,4.6036138141,1.6661711329000002
AB5075_biofilm+abx__planktonic__1.0,-0.6842607014000001,0.7260823387
AB5075_biofilm+abx__planktonic__2.0,-0.2832492399,-0.3316266585
AB5075_biofilm+abx__biofilm__1.0,-2.5170359593000002,-0.2191557533
AB5075_biofilm+abx__planktonic__3.0,0.9675099413,-0.3944556803
AB5075_biofilm+abx__biofilm__2.0,-1.0193844705,0.3870969481
AB5075_biofilm+abx__biofilm__3.0,-0.427926729,0.9425215843
AB5075_biofilm+abx__cip_biofilm__1.0,4.5558415374,-0.3456942253
AB5075_biofilm+abx__cip_biofilm__2.0,-1.6614327821,-0.7513853821
AB5075_biofilm+abx__tet_biofilm__1.0,-5.2582284066,0.4751069895
AB5075_biofilm+abx__cip_biofilm__3.0,2.9283530874,-0.4844134671
AB5075_biofilm+abx__tet_biofilm__2.0,-6.0076761557,0.7404254943
AB5075_biofilm+abx__tet_biofilm__3.0,-3.1635552198,0.1908472548
AB5075_gigAB__kan_gigB__1.0,10.3283807639,-1.4928734687
AB5075_gigAB__kan_gigB__2.0,6.6637356948,-1.5619292297
AB5075_gigAB__kan_gigB__3.0,6.2915712851,-0.6961083060000001
AB5075_gigAB__gigB__1.0,8.0252888663,-2.6108128954
AB5075_gigAB__gigB__2.0,9.6380312435,-2.7793908819
AB5075_gigAB__gigB__3.0,10.6934544649,-2.5055812592
AB5075_gigAB__kan_gigA__1.0,5.0000549362,0.3003972458
AB5075_gigAB__kan_gigA__2.0,5.2565170803,-1.7515405255
AB5075_gigAB__kan_gigA__3.0,8.8438938601,-2.2280692437
AB5075_gigAB__gigA__1.0,9.9926218213,-2.5422953352
AB5075_gigAB__gigA__2.0,4.0254236324,-2.3300011155
AB5075_gigAB__gigA__3.0,7.6439333131,-2.5608213014
AB5075_gigAB__kan_WT__1.0,7.1035229797,1.323893714
AB5075_gigAB__kan_WT__2.0,7.4229668102,0.34756559270000004
AB5075_gigAB__kan_WT__3.0,6.8916338279,1.1057618809
AB5075_gigAB__WT__1.0,-1.586290817,0.7528778542
AB5075_gigAB__WT__2.0,2.4231357647,-1.1921342265
AB5075_gigAB__WT__3.0,-0.8368449477000001,0.43925637230000003
AB5075_med__CA-MHB__1.0,-0.0954232547,-0.6757049632000001
AB5075_med__CA-MHB__2.0,1.4875225412,-0.5068150686
AB5075_med__CA-MHB_pH6__1.0,3.9164742103,0.2086600197
AB5075_med__CA-MHB_pH6__2.0,-18.9557111312,-0.6833706377000001
AB5075_med__RPMI+_pH7__1.0,-19.8951137933,-0.9366144156
AB5075_med__RPMI+_pH7__2.0,-19.8590517175,0.8063927789
AB5075_med__RPMI+_pH6__1.0,-22.0736037206,0.6982142005
AB5075_med__RPMI+_pH6__2.0,2.8088886507,0.6608851799000001
AB5075_med__RPMI+_-HCO3__1.0,0.3002961073,-1.2086502677
AB5075_med__RPMI+_-HCO3__2.0,1.4401642588999999,0.1249985277
AB5075_med__LB__1.0,0.17810705270000002,-0.267198681
AB5075_med__LB__2.0,-0.17810705270000002,0.267198681
AB5075_med__M9+AA__1.0,-2.2046516744,-0.4837216897
AB5075_med__M9+AA__2.0,-3.5910787439,-0.48933688150000004
AB5075_med__M9-AA__1.0,-0.7419160788,-0.7185998723
AB5075_med__M9-AA__2.0,0.2216932693,-0.4025422127
AYE_adeB__WT__1.0,0.010421970000000001,0.5571737363
AYE_adeB__WT__2.0,-0.3826125979,-0.6757726620000001
AYE_adeB__WT__3.0,0.3721906279,0.11859892570000001
AYE_adeB__adeB__1.0,6.6338359776,-0.4486429008
AYE_adeB__adeB__2.0,0.6175146599,0.44070548860000003
AYE_adeB__adeB__3.0,0.8516778184,1.1343332625
COL__0ug/ml__1.0,-0.1895748793,0.2312037895
COL__0ug/ml__2.0,0.1895748793,-0.2312037895
COL__0.25ug/ml__1.0,1.6788650033999999,-0.5310938315
COL__0.25ug/ml__2.0,-3.8270378744,-1.2203866085
COL__1ug/ml__1.0,-3.2046886944,-0.5268504255
COL__1ug/ml__2.0,-0.7470182887,-0.8273152665
H2O2__0ug/ml__1.0,0.9035301343000001,-0.0428174315
H2O2__0ug/ml__2.0,-0.9035301343000001,0.0428174315
H2O2__1.25ug/ml__1.0,-3.697691835,-0.0631641775
H2O2__1.25ug/ml__2.0,-13.3571798478,-0.1080412432
H2O2__2.5ug/ml__1.0,-13.1970090654,0.0733505106
H2O2__2.5ug/ml__2.0,-16.5594869568,0.3584878629
H2O2__5ug/ml__1.0,-11.2369267077,1.3586192046
H2O2__5ug/ml__2.0,-13.921178325,0.8596536769
MRP__0ug/ml__1.0,4.3964873099,0.09318895170000001
MRP__0ug/ml__2.0,-4.3964873099,-0.09318895170000001
MRP__25ug/ml__1.0,1.8563900675,0.0165093057
MRP__25ug/ml__2.0,-2.8740329732000003,-0.21983032400000002
MRP__100ug/ml__1.0,0.6361561679000001,0.2758183011
MRP__100ug/ml__2.0,-3.2633125628,-0.1614534954
MRP__200ug/ml__1.0,2.235824411,-0.3425194518
MRP__200ug/ml__2.0,-6.3028397056,-0.5789826725
growth__2h__1.0,-1.0157843078,0.4652744843
growth__2h__2.0,1.0157843078,-0.4652744843
growth__4h__1.0,16.7051338396,1.6243571559
growth__4h__2.0,16.3788465829,1.3719881596999999
growth__6h__1.0,11.2742309916,1.0150892456
growth__6h__2.0,12.1309910453,0.9712185469000001
growth__8h__1.0,9.7881211764,2.0491031901
growth__8h__2.0,10.905447734500001,1.9050100593
growth__10h__1.0,11.8199260348,0.6551012278
growth__10h__2.0,4.9561470517,2.1295474451
mutants__WT__1.0,-0.36570443820000004,-0.470256198
mutants__WT__2.0,0.36570443820000004,0.470256198
mutants__R7__1.0,3.1241615755,-2.562235187
mutants__R7__2.0,3.7585127354,0.091696287
mutants__gacA__1.0,0.0650923264,0.693985735
mutants__gacA__2.0,-0.2741707057,0.6048072710000001
vacJ_LL-37__WT__1.0,-0.8686894557,-0.0476649992
vacJ_LL-37__WT__2.0,0.8686894557,0.0476649992
vacJ_LL-37__WT+LL-37__1.0,-0.1316277739,-0.9065852332000001
vacJ_LL-37__WT+LL-37__2.0,-0.0907388845,-0.8073403326
vacJ_LL-37__vacJ__1.0,-5.0028836215,-1.24777588
vacJ_LL-37__vacJ__2.0,-2.5886412831,-1.0075563548
vacJ_LL-37__vacJ+LL-37__1.0,-1.8042739429,-2.0570844582
vacJ_LL-37__vacJ+LL-37__2.0,-1.2472337974,-1.4327238081
