,A,Cra
rpoB__rpoBE546V_glc__1,0.4968432252,0.1860434845
rpoB__rpoBE672K_glc__1,0.4928239755,-0.0267189575
rpoB__rpoBE672K_glc__2,0.4128429736,-0.0257166055
rpoB__rpoBE672K_lb__1,-2.3205692754,-0.6128218315
rpoB__rpoBE672K_lb__2,-1.9247599377,-0.5361180115
crp__wt_fru__1,10.8792751152,0.2989213585
crp__wt_glyc__1,1.7410443525,0.4175891165
crp__wt_glyc__2,1.7269898079,0.48395879950000004
crp__delar1_glyc__1,1.8464838216000001,-0.47260369550000003
crp__delar1_glyc__2,1.9902939380000002,-0.1598414535
crp__delar1ar2_glyc__1,0.6241175170000001,0.0721372145
crp__delar1ar2_glyc__2,0.6897054610000001,0.09626005650000001
crp__delar1ar2_glyc__3,0.263864089,0.1420857595
crp__delar2_glyc__1,5.7347596101,1.5884455014999999
crp__delar2_glyc__2,5.6115518871,1.5380338865
crp__delar2_glyc__3,5.4414118313,1.7052313895
crp__delcrp_fru__1,8.256762886,-0.1714309155
crp__delcrp_fru__2,9.0281830036,-0.1182234695
crp__delcrp_fru__3,8.9281970949,-0.0551217295
crp__delcrp_glc__1,0.5737447812,0.07036556050000001
crp__delcrp_glc__2,0.47546451300000003,-0.0425951975
crp__delcrp_glc__3,0.3542225765,-0.042914679500000004
crp__delcrp_glyc__1,0.6171378618000001,-0.3392304345
crp__delcrp_glyc__2,0.6255028119,-0.3827568625
crp__delcrp_glyc__3,0.3888883649,-0.42265333850000003
glu__glu_ale3__1,9.0451580104,-0.7402779055
glu__glu_ale4__1,2.9545109001,-0.3293785065
glu__glu_ale5__1,0.47236366290000004,0.0947587235
glu__glu_ale6__1,0.4888781977,-0.4482474515
glu__glu_ale8__1,11.1092871739,-0.4052344865
glu__glu_ale9__1,5.5406577023,-0.5522943725
glu__glu_ale10__1,6.2672177795,-0.8425052495
42c__wt_42c__1,1.5115191937999999,-0.0454717345
42c__42c_ale1__1,12.6400137141,0.5311776705
42c__42c_ale2__1,3.6608274151,-0.7342239275
42c__42c_ale3__1,1.0555219977,0.1280321895
42c__42c_ale4__1,5.8165365309,-1.0645376205
42c__42c_ale5__1,1.3520009817,-0.5135051465
42c__42c_ale6__1,12.8475270842,0.21068480650000002
42c__42c_ale8__1,9.3846624253,-0.6217082495
42c__42c_ale9__1,1.241174197,-0.3956042765
42c__42c_ale10__1,9.431032712,-0.6379388755000001
ssw__wt_ac__1,1.8955302607000002,-0.2413961185
ssw__wt_glc__1,-2.9404696988000003,0.1827105745
ssw__wt_glyc__1,6.4832251884,1.1715215855
ssw__wt_xyl__1,6.4508447425,-0.3577239085
ssw__glc_ale1__1,3.8221748216,0.2224382355
ssw__glc_ale2__1,4.9496152265,0.015246928500000001
ssw__glc_ale3__1,8.9935532194,0.5553166585
ssw__glyc_ale1__1,3.2332081489,0.4629098115
ssw__glyc_ale2__1,7.6612400984,0.5725965515
ssw__xyl_ale1__1,5.0902618683,0.0756614555
ssw__xyl_ale2__1,5.2778629903,-0.0253439305
ssw__xyl_ale3__1,3.3523137046,-0.3214053655
ssw__glc_ac_ac2__1,10.4485210366,0.2500812255
ssw__glc_ac_glc1__1,2.5478294284,-0.5140878895000001
ssw__glc_glyc_glc__1,6.9516672568,-0.7389535915000001
ssw__glc_glyc_glyc__1,4.6286281596,-0.3282083195
ssw__glc_xyl_glc__1,5.5428567489,-0.48230233450000004
ssw__glc_xyl_xyl__1,2.7551745307,-0.3761572855
ica__wt_glc__1,0.1668482417,-0.3288401735
ica__wt_glc__2,-0.11534397660000001,-0.2298459905
ica__wt_glc__3,0.7577127694,-0.1335046945
ica__wt_glc__4,-0.2937312836,-0.3478971115
ica__arg_sbt__1,2.9061917227,-0.11815284250000001
ica__arg_sbt__2,2.4024838598000002,-0.0305277525
ica__cytd_rib__1,2.5529317088,0.47457973550000004
ica__cytd_rib__2,2.734225179,0.36735209150000003
ica__gth__1,1.2241926162,-0.8516950065000001
ica__gth__2,1.8091080764,-0.7889611225000001
ica__leu_glcr__1,-2.1525386432999998,-0.5439973285
ica__leu_glcr__2,-1.9189161977,-0.42771834150000004
ica__met_glc__1,-0.4746970869,-0.5987970785
ica__met_glc__2,-0.0673521577,-0.5193976305
ica__no3_anaero__1,2.5165529048,-0.3146283825
ica__no3_anaero__2,2.1864040831000002,-0.3560574165
ica__phe_acgam__1,-1.637210858,-0.1434673985
ica__phe_acgam__2,-1.5248196599,-0.0791374365
ica__thm_gal__1,0.5460186693,0.22811886750000002
ica__thm_gal__2,0.7743893925,0.2597582215
ica__tyr_glcn__1,-1.236536779,-0.2977201755
ica__tyr_glcn__2,-0.779341987,-0.2693074865
ica__ura_pyr__1,-0.7931222614000001,-0.25550746750000003
ica__ura_pyr__2,-1.9410204764,0.1375782835
ica__wt_glc__5,0.1031831495,0.040130148500000004
ica__wt_glc__6,0.0167249898,0.0250361385
ica__bw_delpurR_cytd__1,-0.2684755146,0.0205400925
ica__bw_delpurR_cytd__2,-1.0435702338,-0.1574850455
ica__ade_glc__1,-1.3312020662,-0.1759677155
ica__ade_glc__2,-0.42593626770000004,-0.0996171145
ytf__wt_glc__1,3.5728145455,-0.6737077895
ytf__wt_glc__2,4.8110657911,-0.6055927765
ytf__delyafC__1,9.2266999173,0.13054956950000002
ytf__delyafC__2,9.8923462997,-0.0921015085
ytf__delyeiE__1,5.7627148626,0.14207658950000002
ytf__delyeiE__2,2.7259730817000003,0.0901582025
ytf__delyiaJ__1,7.1454772987,-0.2099125755
ytf__delyiaJ__2,7.3277087503,-0.4627617465
ytf__delyieP__1,7.3179094869,0.15975073850000002
ytf__delyieP__2,6.7335864303,0.0252895325
ytf__wt_ph5__1,0.3377376353,-0.2569162325
ytf__wt_ph5__2,-0.0941138852,-0.2472585465
ytf__wt_ph8__1,0.9955780312,-0.46788135750000004
ytf__wt_ph8__2,0.6058044825000001,-0.3931881025
ytf__delybaO__1,9.4001356423,0.3487492755
ytf__delybaO__2,9.991984091700001,0.3502586885
ytf__delybaQ__1,0.15751611670000001,-0.1179309295
ytf__delybaQ__2,0.47491605870000003,-0.15625389750000002
ytf__delybiH__1,6.6524295035000005,-1.0921259985
ytf__delybiH__2,10.2367408459,-0.7620028185000001
ytf__delydcI_ph5__1,0.0290315906,-0.1672907085
ytf__delydcI_ph5__2,-0.3207011922,-0.1853617155
ytf__delydcI_ph8__1,0.7409478579000001,-0.4265538595
ytf__delydcI_ph8__2,0.5173034077,-0.4108135465
ytf__delyddM__1,-0.5114223907000001,0.1275209545
ytf__delyddM__2,-0.6556638652,0.1606258955
ytf__delyheO__1,9.2698916202,0.2242853965
ytf__delyheO__2,10.7292875948,0.3255009585
fps__bw_glc__1,0.39607691700000003,-0.24882681750000002
fps__bw_glc__2,0.2368129555,-0.2915858915
fps__fps_thrA_ale1__1,0.7967587493,-0.0612522275
fps__fps_thrA_ale1__2,0.5304578362,-0.1153842045
fps__fps_thrA_ale2__1,-0.12502471440000001,-0.1519660425
fps__fps_thrA_ale2__2,0.0861226711,-0.1983438985
fps__fps_serB_ale1__1,0.8018198595,0.0069847105000000005
fps__fps_serB_ale1__2,0.6027553207,0.0829141155
fps__fps_serB_ale4__1,0.014559042500000001,-0.3300999335
fps__fps_serB_ale4__2,0.0270576563,-0.2279361055
fps__fps_ptsI_ale1__1,1.3071795892,-0.029749650500000002
fps__fps_ptsI_ale1__2,1.326687679,0.1353121075
fps__fps_ptsI_ale3__1,2.0071879921,0.1697747235
fps__fps_ptsI_ale3__2,1.9767402726,0.1375632705
pal__lyx_ale2_f6__1,1.5890719861,0.44014802150000004
pal__lyx_ale2__1,2.0723997921,0.4296669475
pal__lyx_ale2__2,1.9943494031000002,0.5236768855
pal__lyx_ale4__1,1.7911346902,0.1788567995
pal__lyx_ale4__2,1.4421725734,0.2502945185
pal__5drib_ale10_f18__1,0.0837718674,0.8401702095
pal__5drib_ale10_f18__2,0.1615521989,0.9115120555
pal__5drib_ale10__1,0.18839940730000002,0.9093576335
pal__arab_ale14_f9__1,2.1323313135,-0.4265461505
pal__arab_ale14_f9__2,2.1711977766,-0.35549306950000004
pal__arab_ale14__1,0.5865374263,-0.2417858225
pal__arab_ale14__2,0.608704021,-0.2578451895
pal__arab_ale16__1,1.0099744649,0.1964395635
pal__arab_ale16__2,0.22429546400000003,0.0568622445
pal__tartr_ale26_f10__1,0.7552720955000001,0.2225531285
pal__tartr_ale26_f10__2,0.7622280519,0.3151548185
pal__tartr_ale26__1,0.3739434843,0.2784140225
pal__tartr_ale26__2,0.1283545719,0.3857143545
pal__tartr_ale28_f10__1,2.2310241675,-0.10273533850000001
pal__tartr_ale28_f10__2,1.8118075473,-0.15649287150000002
pal__tartr_ale28__1,0.9539850832000001,-0.0567533215
pal__tartr_ale28__2,-0.3069811457,0.1348526165
efeU__delmenFentC_citr__1,2.803869336,-0.4299608375
efeU__delmenFentC_citr__2,3.8198704006,-0.4640288495
efeU__delmenFentC__1,-0.7427424023,-0.8467870275
efeU__delmenFentC__2,-0.5499995317,-0.7631983415
efeU__menFentC_ale39__1,10.250263818,-0.2556837565
efeU__menFentC_ale39__2,11.0523120117,-0.1915773315
efeU__menFentC_ale29__1,10.7634330838,-0.039705712500000004
efeU__menFentC_ale29__2,10.6249094344,0.058085645500000005
efeU__menFentC_ale30__1,1.1701812747,0.1319201785
efeU__menFentC_ale30__2,1.362468898,0.1403792365
efeU__menFentCubiC_ale36__1,0.13406836190000002,0.13333991350000002
efeU__menFentCubiC_ale36__2,0.8023239748000001,0.0445382865
efeU__menFentCubiC_ale37__1,0.396133836,0.1334626515
efeU__menFentCubiC_ale37__2,0.06656521500000001,0.1367576495
efeU__menFentCubiC_ale38__1,0.2710562341,-0.2789833975
efeU__menFentCubiC_ale38__2,-0.009778772100000001,-0.2123298265
misc2__salc_glc__1,0.41904369300000005,-0.36501655450000003
misc2__salc_glc__2,0.7208981743,-0.053028755500000004
misc2__dbcn_glc__1,1.8147163532000001,-0.2567029305
misc2__dbcn_glc__2,1.1650983497,-0.2695548895
misc2__tyr_glc__1,-0.6353780315,-0.2503051805
misc2__tyr_glc__2,-0.9640879829000001,-0.2997001745
misc2__arg_cytd__1,0.8201728598,-0.1083011905
misc2__arg_cytd__2,0.27899382040000004,-0.1827847635
misc2__delyheO_pyr__1,-0.9254622112,0.4023999695
misc2__delyheO_pyr__2,-1.5350592265,0.27791473850000004
nquinone__delubiC__1,0.4192652986,-0.21470511750000001
nquinone__delubiC__2,-0.4148702979,-0.3306261005
nquinone__ubiC_ale1__1,0.7338239809,0.0790396755
nquinone__ubiC_ale1__2,0.3717447795,-0.0734280155
nquinone__ubiC_ale2__1,0.8800987747000001,0.0353346505
nquinone__ubiC_ale2__2,1.2077372277,-0.0018049525
nquinone__ubiC_ale3__1,-0.6225381307,-0.6794247415
nquinone__ubiC_ale3__2,-1.096399879,-0.6278564055
nquinone__ubiC_ale4__1,1.0555456495,-0.0891983695
nquinone__ubiC_ale4__2,1.2969383566000001,-0.0803739825
nquinone__delpdhR__1,-0.20273660170000002,-0.2769369845
nquinone__delpdhR__2,0.1494150015,-0.2938275845
quinone__glu_ale4__1,0.4586357619,-0.3001390625
quinone__glu_ale4__2,5.4937164496,-0.4458674305
quinone__delmenF__1,0.5701426999,-0.3317039425
quinone__delmenF__2,0.5052768946,-0.2140393105
quinone__menF_ale5__1,9.3318708718,-0.3731903915
quinone__menF_ale5__2,9.7105434624,-0.39414975150000003
quinone__menF_ale6__1,10.0500787187,-0.3932079115
quinone__menF_ale6__2,10.2587704594,-0.2942019615
quinone__menF_ale7__1,12.1022371535,0.2206331685
quinone__menF_ale7__2,12.3341980865,0.1118040455
quinone__menF_ale8__1,12.9150976896,-0.048174719500000004
quinone__menF_ale8__2,11.4971024597,-0.3402880525
quinone__delmenFubiC__1,-0.024566803300000002,-0.3092731875
quinone__delmenFubiC__2,-0.1052652027,-0.17641565350000002
quinone__menFubiC_ale1__1,10.0322525604,-0.06474065650000001
quinone__menFubiC_ale1__2,9.8830726176,-0.1520650225
quinone__menFubiC_ale2__1,10.6617756797,-0.2111487195
quinone__menFubiC_ale2__2,10.4732712468,-0.058635081500000005
quinone__menFubiC_ale3__1,1.1165899712,-0.0896427895
quinone__menFubiC_ale3__2,1.4007709018,-0.0698728435
quinone__menFubiC_ale4__1,8.8201740607,-0.6007593125
quinone__menFubiC_ale4__2,9.5329111849,-0.5026456095
oxyR__wt_glc__1,2.2161013994,-0.1736526655
oxyR__wt_glc__2,1.6840688676000002,-0.1066645425
oxyR__wt_h2o2__1,2.2561563994,-0.1139529145
oxyR__wt_h2o2__2,1.7600959337000002,0.0174592985
oxyR__glu_ale4__1,3.5375316388,0.4358023165
oxyR__glu_ale4__2,3.0253761492,0.1606344035
oxyR__glu_ale4_h2o2__1,3.97662536,0.3501225765
oxyR__glu_ale4_h2o2__2,3.1160322289,0.3245514705
oxyR__oxyR_ale17__1,3.9237572879,0.6820349205
oxyR__oxyR_ale17__2,3.8175852047000003,0.6488653885
oxyR__oxyR_ale17_h2o2__1,5.1091943617,0.6121383695
oxyR__oxyR_ale17_h2o2__2,1.567027562,0.6900592575000001
oxyR__oxyR_ale18__1,3.0488658357,-0.2568402815
oxyR__oxyR_ale18__2,2.3102038234,-0.1528743355
oxyR__oxyR_ale18_h2o2__1,2.6049669206,0.3295441655
oxyR__oxyR_ale18_h2o2__2,3.0320723353,0.39825510550000004
oxyR__oxyR_ale19__1,2.5009437894,-0.31673114350000003
oxyR__oxyR_ale19__2,3.7830981564,0.0385580375
oxyR__oxyR_ale19_h2o2__1,2.3171478787,-0.34107716450000003
oxyR__oxyR_ale19_h2o2__2,2.4649418020000002,-0.2926749605
oxyR__oxyR_ale20__1,3.4413990278,0.3667620935
oxyR__oxyR_ale20__2,2.843804604,0.2693497675
oxyR__oxyR_ale20_h2o2__1,3.7622362381,0.3920265375
oxyR__oxyR_ale20_h2o2__2,3.5621362181,0.37092413350000003
svns_pgi__BmePgi24_15__1,1.7189252797,-0.1015453585
svns_pgi__BmePgi24_15__2,1.8609679745,-0.3156219655
svns_pgi__BmePgi24_26__1,1.4200298228000001,-0.0694856845
svns_pgi__BmePgi24_26__2,1.2830678067,-0.0329812155
svns_pgi__BmePgi24_41__1,2.1432497193,0.0900326495
svns_pgi__BmePgi24_41__2,1.3421030542999999,0.0908492365
svns_pgi__BmePgi24_52__1,1.8953671434000001,0.2280290295
svns_pgi__BmePgi24_52__2,1.4816497844,0.045015701500000005
svns_pgi__PaePgi2_34__1,0.0877855011,0.06744731250000001
svns_pgi__PaePgi2_34__2,0.0805538308,0.0447984965
svns_pgi__PaePgi2_63__1,0.0135348416,0.1602298815
svns_pgi__PaePgi2_63__2,-0.1453475441,0.1413458675
svns_pgi__PaePgi24_54__1,-0.14826119910000002,0.1241862345
svns_pgi__PaePgi24_54__2,-0.3961375078,0.1773132215
svns_pgi__PaePgi24_90__1,-0.5801301064000001,0.3188783845
svns_pgi__PaePgi24_90__2,-0.8966848537000001,0.3431820045
abx_media__m9_ctrl__1,1.7855562995,-0.3554692465
abx_media__m9_ctrl__2,1.1714686300000001,-0.2348982135
abx_media__rpmi_ctrl__1,7.4455900812,-0.8119926805000001
abx_media__rpmi_ctrl__2,7.4680259905,-0.8293008375
abx_media__camhb_ctrl__1,7.6707730014,-1.3383975505
abx_media__camhb_ctrl__2,8.5038872934,-1.2419825195
abx_media__m9_mero__1,0.2384836968,-0.5594952585
abx_media__m9_mero__2,0.6998591131,-0.3955920685
abx_media__rpmi_mero__1,7.9695359928,-1.0346190905
abx_media__rpmi_mero__2,7.3101507111,-0.8550190215
abx_media__camhb_mero__1,5.286774444,-1.9034436515
abx_media__camhb_mero__2,5.9734419334,-1.8338377315
abx_media__m9_trisulf__1,1.4439128882,-0.4139257005
abx_media__m9_trisulf__2,2.2547960795,-0.3658489225
abx_media__rpmi_trisulf__1,7.3771470118,-1.1970739355
abx_media__rpmi_trisulf__2,7.5966288897,-1.1370689815
abx_media__camhb_trisulf__1,3.965927452,-1.0500158225
abx_media__camhb_trisulf__2,4.3556498845,-1.1212806755
abx_media__m9_cef__1,1.6180339515000002,-0.1439478705
abx_media__m9_cef__2,1.9710495465000002,-0.36378928450000003
abx_media__rpmi_cef__1,7.3088950776,-0.9479018825000001
abx_media__rpmi_cef__2,7.3687133110000005,-0.8289428295
abx_media__camhb_cef__1,5.7709173768,-0.9917317395
abx_media__camhb_cef__2,5.7506610954,-1.0507998015
abx_media__m9_cipro__1,2.6279431691,-0.5461974325
abx_media__m9_cipro__2,2.4908889822,-0.6536082705
abx_media__rpmi_cipro__1,9.5436993009,-1.2084995715
abx_media__rpmi_cipro__2,9.1852271057,-1.2680169395
abx_media__camhb_cipro__1,4.2312982238,-1.6057893564999999
abx_media__camhb_cipro__2,4.0186543452,-1.5622716605
hot_tale__42c_ale3_30c__1,0.8081835730000001,-0.2280425985
hot_tale__42c_ale3_30c__2,0.3780486738,-0.4117478885
hot_tale__42c_ale3_37c__1,-0.40596374350000003,-0.3369046925
hot_tale__42c_ale3_37c__2,-0.23377648950000002,-0.4763269895
hot_tale__42c_ale3_44c__1,-1.6861945409999999,0.3283116975
hot_tale__42c_ale3_44c__2,-1.6454357396,0.3002538615
hot_tale__hot_ale3_mid_30c__1,-4.5374369929,0.1612692785
hot_tale__hot_ale3_mid_30c__2,-0.7683779117,0.0925173505
hot_tale__hot_ale3_mid_37c__1,-1.6654881985999999,-0.30707745950000004
hot_tale__hot_ale3_mid_37c__2,-0.9528406074,-0.0948710745
hot_tale__hot_ale3_mid_44c__1,2.8047322112,0.1357722605
hot_tale__hot_ale3_mid_44c__2,1.7533171845000002,0.2854650045
hot_tale__hot_ale3_30c__1,-0.8285228317000001,0.0888244745
hot_tale__hot_ale3_30c__2,-0.6410256676,0.14737257750000002
hot_tale__hot_ale3_37c__1,-0.8127662326,-0.0341578565
hot_tale__hot_ale3_37c__2,-0.6340031284000001,0.1189017955
hot_tale__hot_ale3_44c__1,1.5596774197,-0.12267522950000001
hot_tale__hot_ale3_44c__2,-1.00521144,-0.1418937485
hot_tale__hot_ale4_30c__1,-0.0196691812,-0.3591463355
hot_tale__hot_ale4_30c__2,-0.3807436703,-0.2995226505
hot_tale__hot_ale4_37c__1,0.5845490736,-0.4472478575
hot_tale__hot_ale4_37c__2,0.3567800822,-0.21439937050000002
hot_tale__hot_ale4_44c__1,-0.5438385298,0.1914428035
hot_tale__hot_ale4_44c__2,0.3452240022,0.1219007205
hot_tale__hot_ale8_30c__1,0.097596126,-0.058053794500000006
hot_tale__hot_ale8_30c__2,0.1884384027,-0.1176217075
hot_tale__hot_ale8_37c__1,-0.0976455457,-0.0756692025
hot_tale__hot_ale8_37c__2,-0.5084513727000001,-0.0424388235
hot_tale__hot_ale8_44c__1,-1.3177985804,0.3606678225
hot_tale__hot_ale8_44c__2,-1.1540234913,0.3881329455
hot_tale__hot_ale9_mid_30c__1,0.1229457505,-0.0171176545
hot_tale__hot_ale9_mid_30c__2,-0.3813380589,0.024780219500000002
hot_tale__hot_ale9_30c__1,-0.0232347172,-0.2434496105
hot_tale__hot_ale9_30c__2,-0.11198435,-0.2171794655
hot_tale__hot_ale9_mid_37c__1,0.0735141794,-0.2633924185
hot_tale__hot_ale9_mid_37c__2,-0.3967868184,-0.1993657325
hot_tale__hot_ale9_37c__1,0.0956650222,-0.2251863155
hot_tale__hot_ale9_37c__2,-0.0143155967,-0.3138012415
hot_tale__hot_ale9_mid_44c__1,-1.9206800705,0.3286793945
hot_tale__hot_ale9_mid_44c__2,-1.2762275125,0.1371537125
hot_tale__hot_ale9_44c__1,-0.5713536979,0.2043196165
hot_tale__hot_ale9_44c__2,-0.6922178242,0.0383055815
hot_tale__hot_ale10_30c__1,-0.9285888590000001,0.1742360945
hot_tale__hot_ale10_30c__2,-0.6997696630000001,0.2046892845
hot_tale__hot_ale10_37c__1,-0.2771347959,-0.3254524895
hot_tale__hot_ale10_37c__2,-0.3677456422,-0.20625851950000001
hot_tale__hot_ale10_44c__1,0.8552743651,0.0072313685
hot_tale__hot_ale10_44c__2,-0.6402260529,0.0135728445
hot_tale__hot_ale16_30c__1,0.5422944544,0.061462300500000004
hot_tale__hot_ale16_30c__2,0.23415459900000002,0.0795101485
hot_tale__hot_ale16_37c__1,0.2502811565,-0.0533457045
hot_tale__hot_ale16_37c__2,0.14447405,-0.11059279550000001
hot_tale__hot_ale16_44c__1,-0.9605300812,0.2498183645
hot_tale__hot_ale16_44c__2,-1.0539291299,0.4299435455
pdhr_ale__pdhR-13_51__1,2.1210197503,-0.1282312575
pdhr_ale__pdhR-13_51__2,3.470187462,-0.0017489555000000001
pdhr_ale__pdhR-14_46__1,2.5538591388,-0.1284979795
pdhr_ale__pdhR-14_46__2,3.0753454522,-0.10850641250000001
pdhr_ale__pdhR-15_51__1,4.0591712729,-0.1142150975
pdhr_ale__pdhR-15_51__2,4.2020678837,-0.0220606105
pdhr_ale__pdhR-16_49__1,4.5078403644,-0.0295689625
pdhr_ale__pdhR-16_49__2,3.3660050804,0.06996596050000001
tcs__del_atoC_LiAcet__1,11.1408850127,0.11987262350000001
tcs__del_atoC_LiAcet__2,11.4522672414,0.31394053850000003
tcs__del_atoC_LiCl__1,11.6619174746,0.1931644615
tcs__del_atoC_LiCl__2,11.9333021994,0.2529109075
tcs__del_atoC_m9__1,11.828818438,0.13470229150000002
tcs__del_atoC_m9__2,11.8537421397,0.2756682365
tcs__del_baeR_etoh__1,-1.4448419774,1.8335522395
tcs__del_baeR_etoh__2,-0.4456517272,2.0021776035
tcs__del_baeR_lb__1,0.4443888157,0.5279175545
tcs__del_baeR_lb__2,0.37341907820000003,0.5804894445000001
tcs__del_btsR_01xlb__1,6.9387290149,-1.5613833855
tcs__del_btsR_01xlb__2,6.9303183464,-1.3891346095000001
tcs__del_btsR_lb__1,8.8806928466,1.2765130405
tcs__del_btsR_lb__2,8.9374709513,1.2704550625
