,A,LeuO
ecoli_00146,1.9278946621,0.5846129999999999
ecoli_00147,-1.6555146454,1.6211573910000001
ecoli_00148,-2.3384113075,0.36274701600000003
ecoli_00149,3.1020704567,0.550417573
ecoli_00150,-1.8491944303,0.937041557
ecoli_00151,-2.4266561051,1.6023142510000001
ecoli_00152,-1.7529822457000002,0.802911185
ecoli_00153,-3.9868425590000003,0.727203094
ecoli_00154,-3.7121423728,1.7647349220000002
ecoli_00155,-3.6693630308,1.408312041
ecoli_00157,0.19318009830000002,0.763489708
ecoli_00158,0.0242173104,0.7657078110000001
ecoli_00159,-0.8375985451,-0.824939677
ecoli_00160,1.9346946925,-0.28371957200000003
ecoli_00169,1.3665495324,-0.838139301
ecoli_00170,1.5188983503,-0.300869775
ecoli_00171,1.1564159046,-0.316605743
ecoli_00172,0.21061215360000002,-0.029868104000000003
ecoli_00173,-0.0933152436,0.8392529740000001
ecoli_00174,-0.4910099484,0.6909358840000001
ecoli_00175,-4.108691013,0.055353624000000004
ecoli_00176,-4.0051371756,0.446451003
ecoli_00177,-0.36174971850000004,0.39213844000000003
ecoli_00178,0.4559918142,0.28733498
ecoli_00179,-1.1074004391,0.98829543
ecoli_00180,-0.9349925022000001,0.979480729
ecoli_00181,-0.395181801,-0.069579687
ecoli_00182,-0.7199342295000001,-0.234057489
ecoli_00183,-3.0771193377,-0.13319751300000002
ecoli_00184,-3.2078220544000002,0.19221737300000002
ecoli_00185,0.6494112319,-0.385577559
ecoli_00186,0.0513767929,-0.231635474
ecoli_00187,0.7914672148,0.082037723
ecoli_00188,0.8891664434000001,0.031367556000000005
ecoli_00189,0.5026918686,-0.18697128500000001
ecoli_00190,0.6080340012000001,-0.24192063300000002
ecoli_00191,0.6698175567,-0.01850756
ecoli_00192,-0.1973569302,0.47054068800000004
ecoli_00193,0.29072647630000004,-0.326075853
ecoli_00194,0.580221634,-0.473559755
ecoli_00195,1.8664958708000001,0.027828903000000002
ecoli_00196,-4.4332770939,-0.20327308700000002
ecoli_00197,-4.1018281463,-0.21423255900000002
ecoli_00198,2.4752272268,0.31671345700000003
ecoli_00199,1.7322104710000001,-0.065699385
ecoli_00200,1.6429531021,0.370526204
ecoli_00201,-3.5105263965,0.8396865920000001
ecoli_00202,-3.8750199182,0.590617998
ecoli_00203,-0.9437977988,0.432039742
ecoli_00204,1.6372374229000002,0.43306165300000005
ecoli_00205,-1.4281924776000001,1.146332385
ecoli_00206,-1.7819460356999999,1.047685169
ecoli_00207,-0.6768952004000001,1.480292529
ecoli_00208,0.6421809242000001,1.376002245
ecoli_00209,-0.4558296134,-0.626689071
ecoli_00210,-1.3268515452,0.3852004
ecoli_00211,1.8705143401000002,0.132225227
ecoli_00212,1.6210614248000002,-0.55217255
ecoli_00213,-3.1552090902,0.6180241910000001
ecoli_00214,-1.8173413368,0.665454066
ecoli_00215,0.41051722220000003,0.113352647
ecoli_00216,-0.2579873494,0.268000414
ecoli_00217,0.35897981560000003,0.5379541
ecoli_00218,-1.2281788093000001,0.8945231220000001
ecoli_00219,-0.4227523729,-0.6077975680000001
ecoli_00220,-0.47529899470000003,-0.390152406
ecoli_00221,1.4342191814,-0.308982173
ecoli_00222,2.4226937245,0.301755027
ecoli_00223,2.8549499641000002,0.48880980100000004
ecoli_00224,2.5976390862,0.502831849
ecoli_00225,-3.0682281294,0.20557335300000001
ecoli_00226,-2.4088385409,0.8978815960000001
ecoli_00227,-0.13969256160000001,0.19084909600000002
ecoli_00228,-0.9077714592,0.35320928900000004
ecoli_00229,1.9510793117,0.705848963
ecoli_00230,2.3878950579,0.395871004
ecoli_00231,3.1271362941,0.634456804
ecoli_00232,3.0711975885,0.881194503
ecoli_00233,-0.8654291019,0.4181263
ecoli_00234,-0.5088371655,0.14653311200000002
ecoli_00235,-3.3424036797,0.325055288
ecoli_00236,-2.1014331676,0.558148949
ecoli_00237,-1.1165626679,0.274087155
ecoli_00238,-0.3789595595,0.6378775999999999
ecoli_00239,-0.5359542879,0.49491685500000004
ecoli_00240,-0.6063736414,0.501842234
ecoli_00241,-0.9834549034000001,0.54574637
ecoli_00242,-1.8570350626,0.551637998
ecoli_00243,-1.9700717791,0.553514865
ecoli_00244,-1.7375061488,-0.5624871300000001
ecoli_00245,-2.0807364009000002,-0.086367411
ecoli_00246,-1.9074916055000002,-0.22611662600000001
ecoli_00247,-2.4921427082,-0.53814181
ecoli_00248,-2.211739576,-0.854604974
ecoli_00249,-1.3642357371,-0.538958277
ecoli_00250,-1.193351607,-0.33679931100000005
ecoli_00251,-0.2729602617,-0.584168602
ecoli_00252,-0.07167215240000001,0.14855010500000002
ecoli_00253,-4.1590598112,0.553323737
ecoli_00254,-3.33760318,0.07707688800000001
ecoli_00255,-3.8799062068,-0.771921661
ecoli_00256,-4.307202475,-0.618695487
ecoli_00257,-1.5450042993,-0.45040649200000005
ecoli_00258,-0.9307347681,-0.306843068
ecoli_00259,-3.2777461001,0.686146624
ecoli_00260,-4.3768559997,0.8390840180000001
ecoli_00261,-3.8160699186,-0.853485779
ecoli_00262,-6.2322014012,-0.006179801
ecoli_00263,0.6217498370000001,-0.026503699999999998
ecoli_00264,0.9943842371,0.108834252
ecoli_00265,0.8442146776,0.557803256
ecoli_00266,1.0825135161,0.468286817
ecoli_00267,0.21442057020000002,0.689147041
ecoli_00268,0.15411308140000002,0.322158345
ecoli_00269,0.9746803788,0.764351721
ecoli_00270,0.4352919858,0.827133262
ecoli_00271,2.9404438331,0.304986427
ecoli_00272,3.5451417884,-0.084024728
ecoli_00273,0.3155570293,0.61055861
ecoli_00274,0.5085028155,0.396920488
ecoli_00275,0.9799128488000001,0.49925432000000003
ecoli_00276,0.9859498365,0.554884826
ecoli_00277,2.7894342414,0.669765476
ecoli_00278,2.1187946569,0.585161127
ecoli_00279,1.1374893035,1.305378235
ecoli_00280,0.5511619785,1.483874436
ecoli_00281,1.6834181863,-1.417934588
ecoli_00282,1.3315694740000001,-0.6825078840000001
ecoli_00283,0.210582088,-0.299742004
ecoli_00284,-0.4092723802,-0.24870414700000001
ecoli_00285,0.22926842860000002,-0.285956996
ecoli_00286,-0.504742557,-0.513329286
ecoli_00287,-0.6292318096,0.9091908240000001
ecoli_00288,-1.3186617645,0.7813028270000001
ecoli_00289,1.1581776443,0.033302309
ecoli_00290,1.6803177212,0.443211968
ecoli_00291,2.0759797985,0.29620681
ecoli_00292,2.3154223247,0.630377072
ecoli_00293,1.8296416242,0.8350854280000001
ecoli_00294,2.1665666794,0.370999481
ecoli_00295,1.9687918957,0.05441254
ecoli_00296,2.1945912292,-0.100143467
ecoli_00297,2.2524176041,0.74277736
ecoli_00298,2.1961448507,0.8646902280000001
ecoli_00299,1.0473932019,-0.359060924
ecoli_00300,1.0254266122,-0.35741828000000003
ecoli_00301,1.3283569194,-0.974272884
ecoli_00302,1.2479740678,-1.146049894
ecoli_00303,0.30986179210000003,0.009307549
ecoli_00304,1.1595373495,0.019377096
ecoli_00305,0.8580024737,1.072756506
ecoli_00306,0.862031561,0.61513217
ecoli_00307,0.5574224652,0.7556238930000001
ecoli_00308,0.8876524114000001,0.7979509730000001
ecoli_00309,-0.8145446513,0.748488029
ecoli_00310,-0.7888268621000001,1.012854638
ecoli_00311,-0.8188014337,1.3334642300000001
ecoli_00312,-0.2005397934,1.7159181270000001
ecoli_00313,0.6523034552,0.480874793
ecoli_00314,0.7343272864,0.295006914
ecoli_00315,-1.8473303986,0.5277199810000001
ecoli_00316,-2.0649304542999998,0.467657468
ecoli_00317,-0.078489792,0.502018677
ecoli_00318,0.2290044891,0.4202278
ecoli_00319,1.809481063,-0.279647617
ecoli_00320,1.5777950181,-0.070141243
ecoli_00321,-0.0112542311,1.173897135
ecoli_00322,-0.23804323970000002,1.496546696
ecoli_00323,0.45851112060000004,-0.72759319
ecoli_00324,0.4985266246,-0.364821756
ecoli_00325,-0.1308234116,0.11372947100000001
ecoli_00326,0.6849324743,0.13920559300000002
ecoli_00327,0.2051768126,-0.583467429
ecoli_00328,0.707232859,-0.20226944900000002
ecoli_00329,-0.3320042704,0.123031386
ecoli_00330,0.0503402793,-0.185566698
ecoli_00331,0.23117189600000002,0.44673814
ecoli_00332,0.4241932332,0.44290718100000004
ecoli_00333,1.327325876,0.47448682200000003
ecoli_00334,1.607568471,0.26771262100000004
ecoli_00335,0.8355116921,-0.8050700580000001
ecoli_00336,0.6664551198,-1.214567927
ecoli_00337,0.5205576547,-0.264788376
ecoli_00338,0.8924954511000001,0.042258544
ecoli_00339,0.3539337704,-0.703149813
ecoli_00340,0.1250783181,-0.49699365
ecoli_00341,0.09858981280000001,-0.6923221310000001
ecoli_00342,0.33041494590000003,-0.9654077660000001
ecoli_00343,-3.5174077509,0.178509828
ecoli_00344,-4.330258808,0.421219092
ecoli_00345,0.0155897129,-0.44598182500000005
ecoli_00346,0.0601289052,0.09770534
ecoli_00347,-0.4697473985,0.24669966200000001
ecoli_00348,-0.2597799756,0.09217317400000001
ecoli_00349,-0.4332100139,0.33649415400000005
ecoli_00350,-0.3912488223,0.027957509000000002
ecoli_00351,0.1541259312,1.274662667
ecoli_00352,0.5923482927,0.068259288
ecoli_00353,0.5250825508,0.09267639200000001
ecoli_00354,0.23252882260000002,0.22575655900000002
ecoli_00355,-1.8143098924,0.37068947900000004
ecoli_00356,-1.8780648392,0.324067078
ecoli_00357,1.0109201459,0.719844491
ecoli_00358,1.3144599427,0.709496456
ecoli_00359,0.4534521627,0.445390549
ecoli_00360,0.6024761822,0.522676695
ecoli_00361,2.0828061357,0.452440381
ecoli_00362,0.7582442352000001,0.5309902120000001
ecoli_00363,-2.7636852533000003,0.34232752600000005
ecoli_00364,-2.4508971558,0.28537295900000004
ecoli_00365,-18.2208283933,-1.088938302
ecoli_00366,-15.8905008275,-2.143447121
ecoli_00367,-18.2197611982,-0.838987076
ecoli_00368,-17.0430909868,-1.033777435
ecoli_00369,-7.1606936917,0.7098885970000001
ecoli_00370,-3.8834014266,-0.014189368
ecoli_00371,-16.955960712,-1.78050563
ecoli_00372,-16.5640051018,-1.161576077
ecoli_00373,-16.469360724,-1.066373022
ecoli_00374,-16.3670190931,-1.062146181
ecoli_00375,0.3204556736,0.067253693
ecoli_00376,-0.090216293,0.45817998
ecoli_00377,-18.4150057749,-1.9861848
ecoli_00378,-17.963393051,-2.328452457
ecoli_00379,-21.2445541494,-1.80897945
ecoli_00380,-20.8887019438,-1.652497547
ecoli_00381,-1.9323155319,0.20317779400000002
ecoli_00382,-1.442814098,0.15344216700000002
ecoli_00383,-17.4462043217,-1.350282611
ecoli_00384,-16.7688930649,-1.249831092
ecoli_00385,-15.5990599623,-1.404798183
ecoli_00386,-16.0449747028,-1.111001689
ecoli_00387,0.4658760255,-0.806899236
ecoli_00388,-0.3294569242,-0.456666147
ecoli_00389,-18.9441535561,-1.418481188
ecoli_00390,-19.4166630558,-1.55711092
ecoli_00391,-15.4859028295,-1.831503985
ecoli_00392,-15.6721388084,-1.845635496
ecoli_00393,-1.0643750184,-0.582083204
ecoli_00394,-2.1885686751,-0.017947256
ecoli_00395,0.0807396547,-1.111186227
ecoli_00396,1.1106070408,-0.42118754900000005
ecoli_00397,-1.0636394119,0.8131725780000001
ecoli_00398,-0.9264061237000001,0.9763505630000001
ecoli_00399,-1.1832249937000001,1.355986217
ecoli_00400,-1.8034517682,1.089465401
ecoli_00401,-0.3347883444,-0.061893081
ecoli_00402,-0.5792439574,-0.25939317
ecoli_00403,-3.1766782178,0.9826444540000001
ecoli_00404,-4.128790886,0.398775796
ecoli_00405,-0.9254821933,0.799897348
ecoli_00406,-0.30226506740000003,0.74494643
ecoli_00407,-0.3632729261,-0.026028946
ecoli_00408,0.0446732979,-0.181582024
ecoli_00409,-1.1801482263,0.24681050100000002
ecoli_00410,0.5350304111,0.085938735
ecoli_00411,-1.761707295,-0.726799415
ecoli_00412,-1.8809695045,-0.27044751
ecoli_00413,-0.8341751839,-0.219046011
ecoli_00414,-0.3998466993,-0.007687523000000001
ecoli_00415,0.4761887195,0.213027884
ecoli_00416,0.23796613730000002,0.291340686
ecoli_00417,-1.7246002527000002,-0.272393047
ecoli_00418,-1.2424938277,-0.453989623
ecoli_00419,-0.044158782,-0.581351258
ecoli_00420,-0.2191837861,-0.43543449300000003
ecoli_00421,-1.6102153219000002,0.40799576
ecoli_00422,-1.6293122072,0.027954268
ecoli_00423,-1.5058631088,0.12321224500000001
ecoli_00424,-0.8880680236,0.22076911200000002
ecoli_00425,-3.080246775,-0.004187775
ecoli_00426,-2.7110206594,-0.741445102
ecoli_00427,-0.0430913449,-0.05847755600000001
ecoli_00428,-0.7919873372,-0.14317601100000002
ecoli_00429,-0.6758869774,-0.547505695
ecoli_00430,-0.7930526252000001,-0.384751446
ecoli_00431,-1.880179578,0.49586600100000006
ecoli_00432,-0.9174097514,0.951646223
ecoli_00433,-0.0451054648,0.43015781900000005
ecoli_00434,-0.6052715864,0.25049408900000003
ecoli_00435,-1.6932175325,0.149607074
ecoli_00436,-1.2874750245,0.24099778900000002
ecoli_00437,-0.3480068629,-0.37854333500000004
ecoli_00438,-0.5768853567000001,-0.468932687
ecoli_00439,-1.5191164742,1.026987965
ecoli_00440,-1.4554229204,1.465810679
ecoli_00441,-0.8905016479000001,-0.042415546000000005
ecoli_00442,-0.2396515065,0.23353871
ecoli_00443,0.2965733976,-0.219874116
ecoli_00444,0.36088770470000003,-0.29730807200000003
ecoli_00445,-1.8755160787,0.15867936200000002
ecoli_00446,-3.2610230785,0.327067416
ecoli_00447,1.1965027688,0.29526614
ecoli_00448,0.9571402995,0.558073952
ecoli_00449,0.9017771724,1.164117729
ecoli_00450,1.088134018,0.954345148
ecoli_00451,0.32162180500000004,0.6315581250000001
ecoli_00452,0.7395603179,0.6206084110000001
ecoli_00453,1.2205079314,1.272733647
ecoli_00454,1.2048821165999999,0.54345129
ecoli_00455,-0.6363360073000001,0.445388169
ecoli_00456,-0.1030683819,0.059469535000000004
ecoli_00457,-0.8165462525,0.738246552
ecoli_00458,-0.5432493939,0.720142092
ecoli_00459,-0.7288182652,0.7906265090000001
ecoli_00460,-0.5964265137,0.904910752
ecoli_00461,-10.7897461227,-0.019188587
ecoli_00462,-9.5459345874,-0.493090825
ecoli_00463,-16.1330734731,0.127446206
ecoli_00464,-16.3955297861,-0.03255019
ecoli_00465,-15.9731688689,-0.012410787000000001
ecoli_00466,-15.7325401929,0.338185318
ecoli_00467,-15.3431046111,0.101934303
ecoli_00468,-15.7002058416,-0.142242468
ecoli_00469,-15.4321582107,0.068199671
ecoli_00470,-15.7827312521,0.393188784
ecoli_00471,-11.6526801212,0.802771927
ecoli_00472,-11.7911398539,0.987414247
ecoli_00473,-16.6967488837,0.27996059500000003
ecoli_00474,-16.5263363113,0.140163366
ecoli_00475,-13.0439525558,-0.343811223
ecoli_00476,-13.0867743144,-0.167012307
ecoli_00477,-15.2563793367,0.074447808
ecoli_00478,-15.9014687668,-0.025228107000000003
ecoli_00479,0.3581983186,0.428820435
ecoli_00480,0.4588396349,0.551052105
ecoli_00481,-1.0335998973,-0.346266901
ecoli_00482,-1.4765395479,-0.14426255
ecoli_00483,-0.034405324,0.5689635550000001
ecoli_00484,-0.0033224622,0.688962556
ecoli_00485,-2.9188207058,-0.049625844
ecoli_00486,-3.221187505,-0.021068733000000003
ecoli_00487,-10.2356970786,-0.174146872
ecoli_00488,-10.0450795025,-0.11103349600000001
ecoli_00489,-16.8393227339,0.188408282
ecoli_00490,-17.0330413904,0.049493303
ecoli_00491,-12.9306466137,0.251084348
ecoli_00492,-13.0931449867,0.167832371
ecoli_00493,-13.3841182864,0.28629830100000003
ecoli_00494,-13.0020307212,0.591708678
ecoli_00495,-3.1840684327,0.38777448600000003
ecoli_00496,-3.239918996,0.69303285
ecoli_00497,-14.6053934808,0.286175356
ecoli_00498,-14.5104531877,0.46931387900000004
ecoli_00499,-0.44527870080000004,-0.311476509
ecoli_00500,-0.3595876618,0.08832217
ecoli_00501,-13.5089701464,-0.40491745300000004
ecoli_00502,-12.6980447779,-0.75113865
ecoli_00503,-9.7770398184,0.21227764600000001
ecoli_00504,-10.0494180924,-0.23163739700000002
ecoli_00505,-16.7295658773,1.053007365
ecoli_00506,-16.855435633,1.049387252
ecoli_00507,0.1307578361,-0.37138880900000004
ecoli_00508,-0.6864948113,0.28205865
ecoli_00509,-1.1683524914,0.300614198
ecoli_00510,-1.150976696,0.383337623
ecoli_00511,-0.3991981571,-0.11349149
ecoli_00512,-0.6254327093000001,-0.1025502
ecoli_00513,-14.5916615195,0.536444001
ecoli_00514,-14.361155299,0.28690580400000004
ecoli_00515,-12.830559371,0.6373466910000001
ecoli_00516,-13.1786505032,0.30439483300000003
ecoli_00517,-4.1181115398,-0.203030554
ecoli_00518,-3.7436082732,-0.5407406570000001
ecoli_00519,-2.7343924906,0.29713417200000003
ecoli_00520,-3.6070167337,0.194373976
ecoli_00521,-3.3642614874,0.490644544
ecoli_00522,-3.8310391993,0.7265666980000001
ecoli_00523,-4.036858341,0.47132333200000004
ecoli_00524,-0.249792745,-0.029520571000000002
ecoli_00525,-0.082411893,-0.181740849
ecoli_00526,-0.6151887818,-0.15942023600000002
ecoli_00527,-0.2685482823,0.11451246400000001
ecoli_00528,-4.2610943152,0.745565176
ecoli_00529,-10.344073227700001,0.22019337
ecoli_00530,-5.6933290053,0.305458243
ecoli_00531,-10.2903159516,-0.035594385
ecoli_00532,-3.8129152402,0.45899403400000005
ecoli_00533,-4.3560214221,0.24334703900000001
ecoli_00534,-3.1322809525,0.367959821
ecoli_00535,-3.7233268045,0.35136603800000005
ecoli_00536,-6.593236283,-0.056614149
ecoli_00537,-5.5616880394,0.34002426300000005
ecoli_00538,-6.4779940147,0.191897381
ecoli_00539,-5.4581057894,0.274228846
ecoli_00540,-7.8287570248,-0.127107686
ecoli_00541,-8.2984685875,0.46257316600000004
ecoli_00542,-9.1615035386,0.22249639100000002
ecoli_00543,-9.3160876396,0.309474425
ecoli_00544,-7.0178989466,-0.44965856800000004
ecoli_00545,-7.9419188544,0.027579289000000003
ecoli_00546,-5.3603694044,0.18262314100000002
ecoli_00547,-5.8176920898,0.069053867
ecoli_00548,-5.9867020142000005,0.23710921000000001
ecoli_00549,-5.9845007652,0.181538538
ecoli_00550,-4.2862716943,0.557489703
ecoli_00551,-5.5836004755,0.235231511
ecoli_00552,-5.9123115359,0.222799142
ecoli_00553,-6.5975723196,0.085999669
ecoli_00554,-6.3324868946,0.7530395710000001
ecoli_00555,-5.9051993294,0.652880848
ecoli_00556,-5.0699141672,1.052376902
ecoli_00557,-4.7966189513,1.039707143
ecoli_00558,-2.7608339363,-0.5658510250000001
ecoli_00559,-2.6498862282999998,-0.266259858
ecoli_00560,-1.4660012561,-0.26176867600000003
ecoli_00561,-1.6675266413,-0.263935653
ecoli_00562,-1.0084100566,-0.628986275
ecoli_00563,-2.8018913846,-1.286022684
ecoli_00564,-5.9273286049,0.379151434
ecoli_00565,-5.6684336864,0.233927877
ecoli_00566,-3.3061272706000002,0.611954211
ecoli_00567,-3.1321488848,1.006990588
ecoli_00568,-0.3866316332,-0.18063313
ecoli_00569,-0.2201487761,-0.21321889900000002
ecoli_00570,-0.9169532376,-0.23304740100000002
ecoli_00571,-0.7521280277,0.22866507600000002
ecoli_00572,-2.8966551925,0.023705974
ecoli_00573,-1.7811067649,0.302859515
ecoli_00574,-7.6693298688,0.7651232170000001
ecoli_00575,-6.9313698247,0.898269949
ecoli_00576,-5.5373355547,0.37235316
ecoli_00577,-4.142179151,0.467195693
ecoli_00578,-4.0863811988,0.5912727120000001
ecoli_00579,-4.5105699857,-0.6734218820000001
ecoli_00580,-5.0766994608000005,0.857007034
ecoli_00581,-5.7785159998,0.69628369
ecoli_00582,-3.1102709499,0.893936665
ecoli_00583,-3.5844740505,0.61525302
ecoli_00584,-1.696832224,0.9377890440000001
ecoli_00585,-1.7058919327000002,0.66625008
ecoli_00586,-0.9255689713,-0.733368078
ecoli_00587,0.4761527864,-0.8713215320000001
ecoli_00588,-0.7681622275000001,-0.19414510100000001
ecoli_00589,-1.4170196143,0.096887281
ecoli_00590,-2.7864861429000003,0.420853405
ecoli_00591,-2.2059792947,0.539777911
ecoli_00592,-6.4731063183,0.37130274100000005
ecoli_00593,-7.5236294808,0.72748091
ecoli_00594,-4.5482219676,0.472480432
ecoli_00595,-5.6452351588,0.9043990660000001
ecoli_00596,-3.6063010373,0.6157666850000001
ecoli_00597,-5.0116008923,0.405309996
ecoli_00598,-3.8391119918000003,0.47775560400000006
ecoli_00599,-4.4354959661,0.7360268240000001
ecoli_00600,-2.1365912387,-0.635747155
ecoli_00601,-3.416972511,-0.798339212
ecoli_00602,-3.9424384085,-0.049115419
ecoli_00603,-4.2734986513,-0.189261538
ecoli_00604,-3.3501835827,-0.005978845
ecoli_00605,-4.1230140916,-0.20497752
ecoli_00606,-4.0464766121,0.10547160200000001
ecoli_00607,-2.4725098276,0.433952867
ecoli_00608,-7.0362072576,0.24607620800000002
