,213
abx_mega__kirr_dmso__1,0.915969456
abx_mega__kirr_dmso__2,1.1243668782
abx_mega__kirr_dmso__3,0.6009210805
abx_mega__dmso-4__2,-0.9007816042000001
abx_mega__dmso-4__3,0.0358735477
ackA_pta__dnaA46_del_ackA__1,0.6055975033000001
ackA_pta__dnaA46_del_ackA__2,0.3977538822
ackA_pta__dnaA46_del_ackA__3,-0.0021010580000000003
ackA_pta__dnaA46_del_pta__1,2.1334426603
ackA_pta__dnaA46_del_pta__2,0.2368792396
ackA_pta__dnaA46_del_pta__3,1.2833194664
ackA_pta__dnaA46__1,-0.347999182
ackA_pta__dnaA46__2,-1.2038404744
ackA_pta__dnaA46__3,0.2062965416
ackA_pta__del_ackA__1,0.4984996574
ackA_pta__del_ackA__2,1.0424494131
ackA_pta__del_ackA__3,0.8956479180000001
ackA_pta__del_pta__1,0.802310983
ackA_pta__del_pta__2,0.9767291368000001
ackA_pta__del_pta__3,1.2752531493
ackA_pta__wt__1,-0.3001151536
ackA_pta__wt__2,0.2036769685
ackA_pta__wt__3,0.0964381851
anticancer__5fu__1,-2.6160025983
anticancer__5fu__2,-1.349088893
anticancer__cap__1,-0.0283189007
anticancer__cap__2,0.8753748059
anticancer__cap__3,1.6202988577
anticancer__wt__1,1.0778812033
anticancer__wt__2,-0.6396409887
anticancer__wt__3,-0.4382402146
anticancer__5fu__3,0.6673955871
bio_pln__aero_pln__1,-0.1906035052
bio_pln__aero_pln__2,0.1906035052
bio_pln__anaero_pln__1,-1.0713726089
bio_pln__anaero_pln__2,0.0396582479
biocide__bzcl_12h__1,-0.5391547289
biocide__bzcl_12h__2,-0.5428619201
biocide__bzcl_12h__3,-0.765817312
biocide__etoh_12h__1,-1.4135354543
biocide__etoh_12h__2,0.0686747882
biocide__etoh_12h__3,-2.3065881941
biocide__gluald_12h__1,0.6980190279
biocide__gluald_12h__2,-0.0360197009
biocide__gluald_12h__3,0.2794934047
biocide__h2o2_12h__1,-0.1946200568
biocide__h2o2_12h__2,-0.446040235
biocide__h2o2_12h__3,0.5359064738
biocide__2ppoh_12h__1,-2.6629396028
biocide__2ppoh_12h__2,-1.3297290022000001
biocide__2ppoh_12h__3,-2.4050974454
biocide__paa_12h__1,-2.0052739908
biocide__paa_12h__2,-0.8254013249000001
biocide__paa_12h__3,-1.0149018761
biocide__phe_12h__1,0.2722288004
biocide__phe_12h__2,0.5758242941
biocide__phe_12h__3,-0.20225195510000002
biocide__pvp-i_12h__1,-2.5722686905
biocide__pvp-i_12h__2,-0.6393797459
biocide__pvp-i_12h__3,-2.5067211271
biocide__bleach_12h__1,-1.5843620044
biocide__bleach_12h__2,-0.9401215197
biocide__bleach_12h__3,-1.9633363043
biocide__chx_12h__1,-2.7760777880000003
biocide__chx_12h__2,-0.9895317180000001
biocide__chx_12h__3,-1.0327253856
biocide__bzcl_30m__1,-0.8030242808
biocide__bzcl_30m__2,0.6962828805
biocide__bzcl_30m__3,1.4419133984
biocide__phe_30m__1,1.5145276277000002
biocide__phe_30m__2,-3.1183975574
biocide__phe_30m__3,0.3674621588
biocide__pvp-i_30m__1,-1.0414783469
biocide__pvp-i_30m__2,-0.9748223222000001
biocide__pvp-i_30m__3,-2.4054691713
biocide__ctrl_12h__1,-2.8123382455
biocide__ctrl_12h__2,-1.6774244386000001
biocide__ctrl_12h__3,-2.4017692336
biocide__ctrl_30m__1,1.0601799608
biocide__ctrl_30m__2,-0.5425007917
biocide__ctrl_30m__3,-0.5176791691
clpP__wt__1,-0.3528633674
clpP__wt_DPTA__1,2.8224105669
clpP__wt__2,-0.2983098206
clpP__wt_DPTA__2,-2.0492958927
clpP__wt__3,0.651173188
clpP__wt_DPTA__3,2.356630579
clpP__delclpP__1,1.7168048055
clpP__delclpP_DPTA__1,0.7619118562
clpP__delclpP__2,-0.0861982226
clpP__delclpP_DPTA__2,-0.194719587
clpP__delclpP__3,-0.6182499893
clpP__delclpP_DPTA__3,0.901802384
colombos2__delydcR__1,-0.9980079134000001
colombos2__delydcR__2,-1.7573020691
colombos2__delydcR__3,-0.3856579543
colombos2__delyjiR__1,1.0771529323
colombos2__delyjiR__2,1.5552525247
colombos2__delyjiR__3,1.4319608916
colombos2__wt__1,0.0778665422
colombos2__wt__2,-0.33213712160000003
colombos2__wt__3,0.25427057940000003
crp_k100__ar1_ar2__1,-0.4486477189
crp_k100__ar1_ar2__2,0.10407374850000001
crp_k100__ar1_ar2__3,1.1298105655
crp_k100__wt__1,-0.17598785520000002
crp_k100__wt__2,0.49396594660000004
crp_k100__wt__3,-0.3179780914
crp_k100__K100Q__1,1.0258408322
crp_k100__K100Q__2,0.38837028960000003
crp_k100__K100R__1,0.0948393222
crp_k100__K100R__2,0.5084814445
crp_k100__K100R__3,0.1313000362
csrA__wt_t00__1,0.3159794571
csrA__wt_t02_30__1,-0.2889149576
csrA__wt_t05__1,0.5730243106
csrA__wt_t10__1,2.3105995135
csrA__wt_t15__1,0.3785633218
csrA__delcsrA_t00__1,0.19670728950000002
csrA__delcsrA_t02_30__1,-2.8015497855
csrA__delcsrA_t05__1,-0.5940676411
csrA__delcsrA_t10__1,0.8588562407
csrA__delcsrA_t15__1,-2.6720505796
csrA__wt_t00__2,-0.3159794571
csrA__wt_t02_30__2,-1.5498009615
csrA__wt_t05__2,0.7688570826000001
csrA__wt_t10__2,1.9240051236000002
csrA__wt_t15__2,0.24660527470000002
csrA__delcsrA_t00__2,-0.22828392890000002
csrA__delcsrA_t02_30__2,-2.6056452497
csrA__delcsrA_t05__2,-0.3212522398
csrA__delcsrA_t10__2,0.29980693950000004
csrA__delcsrA_t15__2,-0.3183788815
cstr_pfr__str_0005m__1,0.047381264000000006
cstr_pfr__str_0010m__1,0.2999582508
cstr_pfr__str_0025m__1,0.055964275300000005
cstr_pfr__str_0045m__1,0.335080252
cstr_pfr__str_0075m__1,0.11402283440000001
cstr_pfr__str_0120m__1,-0.0933940691
cstr_pfr__str_0210m__1,-0.0516613275
cstr_pfr__str_0330m__1,-0.5000781387000001
cstr_pfr__str_1500m__1,-0.6443360394000001
cstr_pfr__str_1560m__1,-0.16768570160000001
cstr_pfr__str_1680m__1,0.0163849425
cstr_pfr__str_ref1__1,0.2309361125
cstr_pfr__str_ref2__1,0.3635660345
cstr_pfr__str_ref3__1,0.27608947100000003
cstr_pfr__pfr_P5_0005m__1,-0.0273844544
cstr_pfr__pfr_P5_0010m__1,0.20604409780000002
cstr_pfr__pfr_P5_0025m__1,-0.0925482923
cstr_pfr__pfr_P3_0025m__1,-0.0055092656
cstr_pfr__pfr_P1_0025m__1,0.2488633178
cstr_pfr__pfr_P5_0045m__1,-0.2378799825
cstr_pfr__pfr_P5_0120m__1,-0.3772238228
