,A,XylR
crp__delar1ar2_glyc__1,2.9809632238,5.4812746272
crp__delar1ar2_glyc__2,2.5203602374000003,5.400356004
crp__delar1ar2_glyc__3,2.8839732656,5.477561896
crp__delar2_glyc__1,9.9233561021,6.2703891284
crp__delar2_glyc__2,10.0286846062,6.4191237651
crp__delar2_glyc__3,9.7429098159,6.3664644307
crp__delcrp_fru__1,1.7972465,5.0382421999
crp__delcrp_fru__2,2.0130551312,5.0879458731
crp__delcrp_fru__3,2.6081278161,5.0516096658
crp__delcrp_glc__1,2.2600988869,4.8829138132
crp__delcrp_glc__2,2.0638393588,4.9948827277
crp__delcrp_glc__3,1.9553478062,4.938095887
crp__delcrp_glyc__1,1.1501388931,4.9074699616
crp__delcrp_glyc__2,1.409005831,5.0345876006
crp__delcrp_glyc__3,1.6253062036,5.1449710699
glu__glu_ale3__1,-1.3236707398,4.7949590396
glu__glu_ale4__1,-2.1349372178,4.5403505827
glu__glu_ale5__1,-0.5020852376,4.7309428222
glu__glu_ale6__1,-2.4082153917,4.2010572989
glu__glu_ale8__1,-1.2862546384,5.665755025
glu__glu_ale9__1,-1.387505114,5.4644815743
glu__glu_ale10__1,-0.42313703410000003,4.6796329251
42c__wt_42c__1,0.6758375199000001,5.4187760418
42c__42c_ale1__1,-0.4827252976,5.3214445097
42c__42c_ale2__1,-1.0700950329,5.4084746211
42c__42c_ale3__1,-1.5918651749000001,5.0681828037
42c__42c_ale4__1,-1.4051490773,5.6717206588
42c__42c_ale5__1,-0.7841705360000001,5.1394792993
42c__42c_ale6__1,-1.7466814273,5.1070750065
42c__42c_ale8__1,-0.6593450733,5.9608448577
42c__42c_ale9__1,-2.028020463,5.0543154503
42c__42c_ale10__1,-0.34195392480000003,5.9436328601
ssw__wt_ac__1,2.0724078323,5.2638733623
ssw__wt_glc__1,0.4760004759,4.9988969202
ssw__wt_glyc__1,4.1408505095,4.8202665118
ssw__wt_xyl__1,27.9226129385,8.6103916891
ssw__glc_ale1__1,-0.501685575,5.2889553429
ssw__glc_ale2__1,0.8933659461000001,5.2809157004
ssw__glc_ale3__1,-1.3440674442,5.1461816755
ssw__glyc_ale1__1,0.6865443413,4.8401004752
ssw__glyc_ale2__1,2.2379557012,5.2524029241
ssw__xyl_ale1__1,28.5821154585,8.7825251096
ssw__xyl_ale2__1,28.1820754626,9.5931300581
ssw__xyl_ale3__1,26.281342413,9.1571345643
ssw__glc_ac_ac2__1,2.5447017997,5.165345788
ssw__glc_ac_glc1__1,-1.1300260128,4.5909338983
ssw__glc_ac_glc2__1,0.7363988285,5.0651085335
ssw__glc_glyc_glc__1,1.1712817252,4.874571481
ssw__glc_glyc_glyc__1,28.9632959471,8.8752280342
ssw__glc_xyl_glc__1,-1.3652849834,4.2732068774
ssw__glc_xyl_xyl__1,26.8216829727,8.7710692139
pgi__glu4_delpgi__1,-0.1394352964,4.6156246979
pgi__pgi_ale1__1,0.34640717190000003,5.1310248184
pgi__pgi_ale2__1,2.266346138,5.814361874
pgi__pgi_ale3__1,-0.45406103940000003,5.0322515428
pgi__pgi_ale5__1,0.4919640676,5.3281801354
pgi__pgi_ale6__1,-0.2462135225,5.2028496713
pgi__pgi_ale7__1,-0.3855015985,5.313733428
pgi__pgi_ale8__1,0.3148034731,5.0892301069
ica__wt_glc__1,0.2789775597,5.0701376255
ica__wt_glc__2,-0.18040588870000002,5.1310990616
ica__wt_glc__3,0.5639927123,5.0683149751
ica__wt_glc__4,0.7249132883,5.4871814056
ica__arg_sbt__1,4.502563064,5.1022556563
ica__arg_sbt__2,2.947605272,4.8545399466
ica__cytd_rib__1,8.9330895218,5.8515137577
ica__cytd_rib__2,9.3633190071,6.076062509
ica__gth__1,2.6450775799,4.5639209525
ica__gth__2,2.2918519262,4.1642020051
ica__leu_glcr__1,-0.0628213118,5.1868429035
ica__leu_glcr__2,-0.11803183930000001,5.1281221174
ica__met_glc__1,0.1500153085,4.8853160369
ica__met_glc__2,0.5460320755,4.7785258736
ica__no3_anaero__1,-0.36672487730000003,5.5732481077
ica__no3_anaero__2,0.4125911299,5.7190457921
ica__phe_acgam__1,0.6391743703,5.3016201029
ica__phe_acgam__2,0.542198741,5.4148264837
ica__thm_gal__1,4.3720431858,5.4466711679
ica__thm_gal__2,4.7144674286,5.5547042045
ica__tyr_glcn__1,0.011189662000000001,5.196656826
ica__tyr_glcn__2,0.87834418,5.2912263064000005
ica__ura_pyr__1,1.071418495,5.5927942143
ica__ura_pyr__2,2.2787418922000002,5.5359685111
ica__wt_glc__5,0.6153051028000001,5.6126439775
ica__wt_glc__6,0.0448675284,5.672555786
ica__bw_delpurR_cytd__1,-1.584131169,4.6611009927
ica__bw_delpurR_cytd__2,-1.5865290223000001,4.6929944929000005
ica__ade_glc__1,0.3317892665,5.5750438412
ica__ade_glc__2,-0.1565295539,5.7541481549
ytf__wt_glc__1,1.022338991,5.5608371975
ytf__wt_glc__2,0.5578904944,6.0313878096
ytf__delyafC__1,1.4897533158,5.541380402
ytf__delyafC__2,0.4999308898,5.6535866476
ytf__delyeiE__1,-0.5014456157,5.8195048725
ytf__delyeiE__2,0.3880501207,5.8335430017
ytf__delyiaJ__1,0.5430764133,5.862563927
ytf__delyiaJ__2,1.7518792618,5.7900442
ytf__delyieP__1,0.33217815980000004,5.9959133701
ytf__delyieP__2,0.6461623683000001,6.1794494336
ytf__wt_ph5__1,0.6043901349,5.3254207194
ytf__wt_ph5__2,0.2013279849,5.3978454582
ytf__wt_ph8__1,0.6517730942000001,5.0785527863
ytf__wt_ph8__2,0.8762408396,5.4784667137
ytf__delybaO__1,1.33999323,5.9200501953
ytf__delybaO__2,0.6469072729,5.977734555
ytf__delybaQ__1,0.5424584033000001,5.1721570356
ytf__delybaQ__2,0.4987564204,5.0453697948
ytf__delybiH__1,1.2775548755,5.7671558837
ytf__delybiH__2,1.3676986875,6.1193507147
ytf__delydcI_ph5__1,-0.29277024290000003,4.928221891
ytf__delydcI_ph5__2,-0.6174440437000001,5.0545391174
ytf__delydcI_ph8__1,0.36973542800000003,5.5593847214
ytf__delydcI_ph8__2,0.315372121,5.1745226181
ytf__delyddM__1,1.399999469,5.7059577468
ytf__delyddM__2,0.4506757918,5.4331459148
ytf__delyheO__1,1.4957514281,5.5860906672
ytf__delyheO__2,1.2393390474000001,5.7643808457
fps__bw_glc__1,0.440489444,4.8676248084000004
fps__bw_glc__2,-0.2124311844,4.8814221695
fps__fps_thrA_ale1__1,0.41305216650000004,5.0097430296
fps__fps_thrA_ale1__2,0.6399367277,4.8686676005
fps__fps_thrA_ale2__1,1.0519232954,5.2429631879
fps__fps_thrA_ale2__2,1.1089737109,5.3223681455000005
fps__fps_serB_ale1__1,0.9319338683,5.1833067407
fps__fps_serB_ale1__2,0.2380473162,5.1314598234
fps__fps_serB_ale4__1,0.42775928500000004,5.1380922481
fps__fps_serB_ale4__2,1.0104472273,5.8220169325
fps__fps_ptsI_ale1__1,4.0453630725,5.0503990919
fps__fps_ptsI_ale1__2,3.9252238948000002,5.1620475088
fps__fps_ptsI_ale3__1,2.7281191347,5.0320279541
fps__fps_ptsI_ale3__2,2.0412021896,4.6844371171
pal__lyx_ale2_f6__1,21.0897122806,8.7780994531
pal__lyx_ale2__1,26.1908442505,10.6114886778
pal__lyx_ale2__2,26.3096765706,10.6082633548
pal__lyx_ale4__1,26.1908442505,10.6114886778
pal__lyx_ale4__2,26.3096765706,10.6082633548
pal__5drib_ale10_f18__1,8.7685277398,6.2661475409000005
pal__5drib_ale10_f18__2,8.058939759,6.3286364214
pal__5drib_ale10__1,5.6273352955,5.869352177
pal__arab_ale14_f9__1,3.1047540994,4.9589880848
pal__arab_ale14_f9__2,2.546770829,5.1894508636
pal__arab_ale14__1,4.0019743118,5.524637732
pal__arab_ale14__2,4.7377515332,5.5742401903
pal__arab_ale16__1,2.9832200824,5.7500687303
pal__arab_ale16__2,6.0346920374,5.9466397193
pal__tartr_ale26_f10__1,3.1853902632,4.6917960466
pal__tartr_ale26_f10__2,3.2807958887,4.7243120214
pal__tartr_ale26__1,0.953435558,4.1276243731
pal__tartr_ale26__2,1.6156653258,4.0557444372
pal__tartr_ale28_f10__1,6.9507207088000005,5.5681580522
pal__tartr_ale28_f10__2,5.8714034998999995,5.5052762873
pal__tartr_ale28__1,4.1880967501,5.7022079181
pal__tartr_ale28__2,3.4126082728,5.6354929905
efeU__delmenFentC_citr__1,0.7423151358000001,4.9276758564000005
efeU__delmenFentC_citr__2,0.21110394540000002,4.7384396749
efeU__delmenFentC__1,1.5845191855,5.4083838382
efeU__delmenFentC__2,1.6781293589000001,5.4959010343
efeU__menFentC_ale39__1,1.4635597331999999,5.1276348631
efeU__menFentC_ale39__2,1.16302718,5.1722678015
efeU__menFentC_ale29__1,0.24456389080000002,5.3571624911
efeU__menFentC_ale29__2,1.4706828901,5.4153901379
efeU__menFentC_ale30__1,1.714992165,5.2440855613
efeU__menFentC_ale30__2,-0.8274182888,5.0019341002
efeU__menFentCubiC_ale36__1,1.0587495209,5.4681375279
efeU__menFentCubiC_ale36__2,0.320031587,5.3347580961
efeU__menFentCubiC_ale37__1,0.6922602333,5.184512836
efeU__menFentCubiC_ale37__2,0.16510862040000002,5.3157559752
efeU__menFentCubiC_ale38__1,-0.4698532072,5.332952907
efeU__menFentCubiC_ale38__2,0.5573945282,5.2033686626
