,A,PuuR
misc__bw_delcbl__2,-3.406927087,6.6069772061
misc__bw_delfabr__1,-4.2631451093,6.0122755113
misc__bw_delfabr__2,-3.920420667,6.1607714064
misc__bw_delfadr__1,-4.7200306213,6.3551725867
misc__bw_delfadr__2,-4.4357884344,6.4831953226
misc__nitr_031__1,-6.9500268505000005,6.1142948717
omics__wt_glu__1,-4.0671624578,5.675921131
omics__wt_glu__2,-4.2571237571000005,5.8793688001
omics__wt_gly__1,-3.3017564155,6.305544204
omics__wt_gly__2,-3.6403903451,6.1943494541
omics__wt_thr__1,-6.3740941703,4.1504678514
omics__wt_thr__2,-7.4722032295,4.3745934103
omics__bw_ac__1,-4.8120688231,6.484277872
omics__bw_ac__2,-4.3871796916,6.4141873391
omics__bw_fum__1,-6.2351228944,6.3657818354
omics__bw_fum__2,-5.5501252511,6.3999148963
omics__bw_glc__1,-5.2285176476,6.7815921165
omics__bw_glc__2,-4.6548976292,6.9320155036
omics__bw_pyr__1,-9.3197479439,6.3216059487
omics__bw_pyr__2,-9.4438476574,6.3606341308
ompr__wt_nacl__1,-0.6675634880000001,6.0114360591
ompr__wt_nacl__2,-0.3084676764,6.1300008051
ompr__bw_delompr_nacl__1,0.1259809694,5.6253781785
ompr__bw_delompr_nacl__2,-0.0266438245,5.7128379999
minspan__wt_ade__1,0.9239642699,8.4029455766
minspan__wt_glc__1,-3.2291742071,6.0114688489
minspan__wt_glc__2,-4.776385481,6.2119883472
minspan__wt_glc__3,-4.3947291212,6.5480095316
minspan__wt_glc__4,-3.5448833469,6.3562814698
minspan__wt_glc_anaero__1,-11.5760511614,4.9597369361
minspan__wt_glc_anaero__2,-12.9185935713,5.0896114391
minspan__wt_trp__1,-13.355938953,4.8022926552000005
minspan__bw_delcra_glc__1,-11.6862013808,4.7384503102
minspan__bw_delcra_glc__2,-12.36345543,4.5310244957
minspan__bw_delcra_trp__1,-11.9019663895,4.5743852604
minspan__bw_delmntr__1,-13.5099258519,5.0294625889
minspan__bw_delnac_ade__1,-3.9028076961,7.7723864618
minspan__bw_delnac_glc__1,-1.9324573997,6.9234987597
cra_crp__wt_ac__1,-2.5802689311,5.6651622359000005
cra_crp__wt_ac__2,-2.8867700893,5.760231822
cra_crp__wt_fru__1,-0.8541742129000001,6.4145875163
cra_crp__wt_fru__2,-1.5528383171,6.4157530688
cra_crp__delcra_ac__1,-2.7675525425,6.6051784823
cra_crp__delcra_ac__2,-3.3852009612,6.3470021444
cra_crp__delcra_fru__1,-7.2897374984,5.5804283551000005
cra_crp__delcra_fru__2,-7.6532248257,5.8298406026
cra_crp__delcra_glc__1,-3.0081822663,6.5034117676
cra_crp__delcra_glc__2,-3.9375262826,6.5155358675
rpoB__wt_031__1,0.5734640429,7.0189163263
rpoB__wt_044__1,-2.9088035999,6.3584450868
rpoB__wt_lb__1,-7.7582239962,5.7212632853
rpoB__wt_lb__2,-8.0880503019,5.5978193951
rpoB__rpoBE546V_031__1,-3.4526273131,5.8843877315
rpoB__rpoBE546V_044__1,-3.6867779864,5.7011910817
rpoB__rpoBE546V_lb__1,-6.8009918027000005,5.9528918551
rpoB__rpoBE546V_lb__2,-6.6126675525,5.2433658446
rpoB__rpoBE546V_glc__1,-0.21883351880000002,7.1965080076
rpoB__rpoBE672K_glc__1,0.47718782660000003,6.266494686
rpoB__rpoBE672K_glc__2,1.3613962431,6.4319774383
rpoB__rpoBE672K_lb__1,-8.4569347618,4.6509209516
rpoB__rpoBE672K_lb__2,-8.0350053112,4.6184464117
crp__wt_fru__1,-4.5887495607,6.2933679931
crp__wt_glyc__1,-4.1313699582,6.0094635993
crp__wt_glyc__2,-4.4707386735,5.8286827649
crp__delar1_glyc__1,-7.8109901838999996,4.7670237192
crp__delar1_glyc__2,-8.2823709519,4.8982925609
crp__delar1ar2_glyc__1,-4.0458145105,6.5034739897
crp__delar1ar2_glyc__2,-2.6667364745,6.4787790291
crp__delar1ar2_glyc__3,-3.8919306729,6.4929839137
crp__delar2_glyc__1,-9.9566893883,3.8082586057
crp__delar2_glyc__2,-10.3126365808,4.1906001423
crp__delar2_glyc__3,-10.8245558659,4.3074925309
crp__delcrp_fru__1,-5.7890194156,5.7132283964
crp__delcrp_fru__2,-4.3561318859,6.2538982042
crp__delcrp_fru__3,-5.3695196758,5.8874932743
crp__delcrp_glc__1,-3.9776954304,6.4042004951
crp__delcrp_glc__2,-3.2993786037,6.2399378672
crp__delcrp_glc__3,-3.5461470165,6.2250329217
crp__delcrp_glyc__1,-9.3592866915,5.5090484345
crp__delcrp_glyc__2,-10.4264888452,5.5977811643
crp__delcrp_glyc__3,-9.4915107513,5.5020132943
glu__glu_ale3__1,-10.0181087046,5.346777784
glu__glu_ale4__1,-9.0855028717,4.999223534
glu__glu_ale5__1,-6.9978979905,5.2014638378
glu__glu_ale6__1,-4.2132014847,5.3431914991
glu__glu_ale8__1,-11.353688841,5.1153810582
glu__glu_ale9__1,-9.0105978368,4.9371410552
glu__glu_ale10__1,-9.626899413,5.20910096
42c__wt_42c__1,-8.7280537407,5.5957549933
42c__42c_ale1__1,-14.2221741449,4.0889550099
42c__42c_ale2__1,-8.8155237386,5.1398415436
42c__42c_ale3__1,-10.3411515992,5.1924370669
42c__42c_ale4__1,-10.0941525867,4.6328697466
42c__42c_ale5__1,-9.4022023209,5.0630125656
42c__42c_ale6__1,-12.2409240917,3.1761027864
42c__42c_ale8__1,-13.0411175592,4.9296371448
42c__42c_ale9__1,-13.1906193156,5.4023556848
42c__42c_ale10__1,-10.840371145,4.6620166295
ssw__wt_ac__1,-0.4688660847,6.5928930262000005
ssw__wt_glc__1,-0.8336524814,6.2606315897
ssw__wt_glyc__1,-9.1344456976,5.287459311
ssw__wt_xyl__1,-13.3151101014,4.7789196831
ssw__glc_ale1__1,-13.2585910743,4.6779787574
ssw__glc_ale2__1,-7.4624176582,5.1546740946
ssw__glc_ale3__1,-14.2917747483,4.7768984661000005
ssw__glyc_ale1__1,-11.2898259831,4.8120760235
ssw__glyc_ale2__1,-7.8462286466,5.3108064803
ssw__xyl_ale1__1,-9.3739219388,5.6948470009
ssw__xyl_ale2__1,-7.6151460246,5.6912661494
ssw__xyl_ale3__1,-10.3522854862,5.546009583
ssw__glc_ac_ac2__1,-9.4764339684,5.7783068248
ssw__glc_ac_glc1__1,-16.0571384715,5.7718122289
ssw__glc_ac_glc2__1,-14.5460758457,4.6042717656
ssw__glc_glyc_glc__1,-10.2705737337,4.9843367891
ssw__glc_glyc_glyc__1,-10.0876754225,5.5848851889
ssw__glc_xyl_glc__1,-11.470232975,4.7311920694000005
ssw__glc_xyl_xyl__1,-3.9651556078,5.9699781865
pgi__glu4_delpgi__1,-4.8753489547,5.8366641988
pgi__pgi_ale1__1,-9.870720579,5.7610147926
pgi__pgi_ale2__1,-6.8916481892,6.1202278073
pgi__pgi_ale3__1,-8.4817112222,5.6684616517
pgi__pgi_ale5__1,-7.1848182193,5.8565281019
pgi__pgi_ale6__1,-5.8022727282,6.2663817713
pgi__pgi_ale7__1,-7.1572247682,6.3646584719
pgi__pgi_ale8__1,-7.3541119377,6.1748864968
ica__wt_glc__1,-6.6201875655,5.6678891844
ica__wt_glc__2,-7.784522672,5.2117523677
ica__wt_glc__3,-9.4652063821,5.5737152003
ica__wt_glc__4,-10.8018861932,5.4669489222
ica__arg_sbt__1,-3.238249657,5.8588705569
ica__arg_sbt__2,-4.5530359246,6.2735515806
ica__cytd_rib__1,7.8201773029,9.1269425646
ica__cytd_rib__2,8.7549121919,9.3465577017
ica__gth__1,-4.4657694313,6.2823447906
ica__gth__2,-2.7027311142,6.3388420634
ica__leu_glcr__1,-11.0223012758,5.5068569728
ica__leu_glcr__2,-10.2548533683,5.7250080685
ica__met_glc__1,-9.80455253,5.1551826203
ica__met_glc__2,-9.4700984296,5.1289783982
ica__no3_anaero__1,-14.5027373703,5.4817210812
ica__no3_anaero__2,-14.7481300018,5.317161639
ica__phe_acgam__1,-9.0525144878,5.3694018375
ica__phe_acgam__2,-9.0250808337,5.2670935522
ica__thm_gal__1,-6.7416424238,5.3997725005
ica__thm_gal__2,-5.8577959908,5.7976438689
ica__tyr_glcn__1,-9.6390174341,5.1296072993
ica__tyr_glcn__2,-9.2186578958,5.1490492748
ica__ura_pyr__1,-9.5807667414,5.6565184532
ica__ura_pyr__2,-9.4880290344,5.979999044
ica__wt_glc__5,-9.6542332115,5.5808984234
ica__wt_glc__6,-10.0805416469,5.5255682739
ica__bw_delpurR_cytd__1,-9.1115523055,5.4359696127
ica__bw_delpurR_cytd__2,-8.5138806749,5.2752829453
ica__ade_glc__1,-9.559191971,6.5226254784
ica__ade_glc__2,-10.6991160709,6.0710722551
ytf__wt_glc__1,-1.9786576982000001,6.6792917203
ytf__wt_glc__2,-4.2766494695,6.0199601771
ytf__delyafC__1,-10.7068911797,5.0165338126
ytf__delyafC__2,-10.4243616606,5.343009527
ytf__delyeiE__1,-10.9254451007,5.1593087721
ytf__delyeiE__2,-8.4325687917,5.6264130980000004
ytf__delyiaJ__1,-9.3646724045,5.1747586109
ytf__delyiaJ__2,-9.2865614171,5.2099932186
ytf__delyieP__1,-10.7313123804,4.8918397875
ytf__delyieP__2,-8.8793097418,5.0616044259
ytf__wt_ph5__1,-7.7593142099,5.6230863239
ytf__wt_ph5__2,-7.3534907517,5.8650119499999995
ytf__wt_ph8__1,-5.592217349,6.3320127112
ytf__wt_ph8__2,-5.9252618485,5.9366293714000005
ytf__delybaO__1,-11.117967373900001,4.7608866746
ytf__delybaO__2,-10.4435794566,5.1714609873
ytf__delybaQ__1,-2.3689744878,6.7856094329
ytf__delybaQ__2,-1.6832228725,6.9386783862
ytf__delybiH__1,-4.788270069,5.6590515354
ytf__delybiH__2,-8.4857073385,5.1240526046
ytf__delydcI_ph5__1,-6.3345397828,5.7372827017
ytf__delydcI_ph5__2,-6.1567301118,5.8764378386
ytf__delydcI_ph8__1,-6.5862594103,6.1222660818
ytf__delydcI_ph8__2,-4.993296585,6.0966139562
ytf__delyddM__1,-2.2490349074,7.3110005261
ytf__delyddM__2,-1.9157801722,7.6817185496
ytf__delyheO__1,-9.8063089266,5.0661336506
ytf__delyheO__2,-10.515632854,5.2076524117
fps__bw_glc__1,-6.7360250745,6.2265486708
fps__bw_glc__2,-6.8693045101,6.3669909732
fps__fps_thrA_ale1__1,-9.448436733,6.2351660186
fps__fps_thrA_ale1__2,-9.4800275573,6.2007660551
fps__fps_thrA_ale2__1,-10.6037939332,6.034699137
fps__fps_thrA_ale2__2,-10.3214365776,6.0367154188
fps__fps_serB_ale1__1,-2.4687835997,7.2712272141
fps__fps_serB_ale1__2,-2.1929143486,7.1180508217
fps__fps_serB_ale4__1,4.7775635817,9.5552872483
fps__fps_serB_ale4__2,6.0929143122,9.2927761281
fps__fps_ptsI_ale1__1,-0.7982305554,7.4653524592
fps__fps_ptsI_ale1__2,-0.5246402985,7.3539706004
fps__fps_ptsI_ale3__1,-3.3463579217,6.4737540935
fps__fps_ptsI_ale3__2,-2.3494610394,6.6252999942
pal__lyx_ale2_f6__1,-2.1580067108,6.91150444
pal__lyx_ale2__1,-5.4478205812,6.1089002654
pal__lyx_ale2__2,-4.1552057437,6.108577652
pal__lyx_ale4__1,-5.4478205812,6.1089002654
pal__lyx_ale4__2,-4.1552057437,6.108577652
pal__5drib_ale10_f18__1,-4.250342906,6.7036274839
pal__5drib_ale10_f18__2,-3.4292664543,6.5530307053
pal__5drib_ale10__1,-0.7544142393000001,6.792040157
pal__arab_ale14_f9__1,-5.9769708476000005,6.1345699844
pal__arab_ale14_f9__2,-5.618299417,5.9810655704
pal__arab_ale14__1,-6.3358677257,5.6997757478
pal__arab_ale14__2,-6.3443149302,6.1070930619
pal__arab_ale16__1,-5.274893861,5.8796311573
pal__arab_ale16__2,-4.5539550878,6.309569427
pal__tartr_ale26_f10__1,-0.32643856590000003,7.6254202985
pal__tartr_ale26_f10__2,2.6824224006,8.1875978775
pal__tartr_ale26__1,-1.8840101281,7.4685203003
pal__tartr_ale26__2,-4.5613237044,6.7972052376
pal__tartr_ale28_f10__1,3.3246221853,7.7489864101
pal__tartr_ale28_f10__2,0.41316011480000003,7.6312994971
pal__tartr_ale28__1,-4.0916391688000004,6.6079719672
pal__tartr_ale28__2,-5.0327673359,6.7283017586
efeU__delmenFentC_citr__1,-4.514856255,6.2230981796
efeU__delmenFentC_citr__2,-4.3690930809,6.4184579806
efeU__delmenFentC__1,-6.2246997945,6.1449413231
efeU__delmenFentC__2,-5.8698533729,6.2518632415
efeU__menFentC_ale39__1,-11.2747585418,4.3249380338
efeU__menFentC_ale39__2,-10.3495151066,4.4398825431
efeU__menFentC_ale29__1,-11.7481518167,4.5571737261
efeU__menFentC_ale29__2,-10.5753232219,4.4080281174
efeU__menFentC_ale30__1,-6.338119227,5.4506026852
efeU__menFentC_ale30__2,-8.1678380627,5.1436312532
efeU__menFentCubiC_ale36__1,-8.2328650973,5.671683704
efeU__menFentCubiC_ale36__2,-8.9201220104,5.7117292978
efeU__menFentCubiC_ale37__1,-4.4716685791,6.6141899873
efeU__menFentCubiC_ale37__2,-5.0341525247,6.6719460962
efeU__menFentCubiC_ale38__1,-9.6936860159,5.0634219154
efeU__menFentCubiC_ale38__2,-10.2470889786,5.1558272498
