,A,FhlA,RpoN
biocide__2ppoh_12h__3,0.2937416954,1.5717973142,0.10827356710000001
biocide__paa_12h__1,0.2023891362,1.1591559181,0.2286456831
biocide__paa_12h__2,1.3239543174000001,1.0344336645,0.1293620735
biocide__paa_12h__3,0.4511130592,1.3788368017,0.1015233809
biocide__phe_12h__1,0.9255471955000001,1.2499933304,0.025900977300000003
biocide__phe_12h__2,0.4824153746,1.1721017513,-0.0084411047
biocide__phe_12h__3,1.1790800007,0.9259439223,-0.08752319160000001
biocide__pvp-i_12h__1,4.44333066,1.0747054997,-0.14998926270000001
biocide__pvp-i_12h__2,1.1479726522,0.9638116601000001,0.0412438646
biocide__pvp-i_12h__3,2.9827933507,0.8235261277,-0.0466773335
biocide__bleach_12h__1,0.6490625099,0.4565804814,-0.0868794131
biocide__bleach_12h__2,0.7761227615,0.9695681775,0.0085894929
biocide__bleach_12h__3,0.3281883295,0.29830713610000004,-0.018567060700000002
biocide__chx_12h__1,0.7118115389,0.9813969575,0.0355272678
biocide__chx_12h__2,0.6239387392,0.2423563508,-0.14513015340000002
biocide__chx_12h__3,0.11462751800000001,0.5111206325000001,-0.1740518203
biocide__bzcl_30m__1,0.0848662047,0.3474312043,0.3011034106
biocide__bzcl_30m__2,-0.3286436575,0.3447931966,0.2568240081
biocide__bzcl_30m__3,-0.020195418200000002,0.5981334107,0.2176073537
biocide__phe_30m__1,1.6700457811,0.6977750809000001,-0.0695649644
biocide__phe_30m__2,0.0446196888,0.7781662157,0.27643011100000003
biocide__phe_30m__3,-0.35609126500000005,0.4910143845,0.0603497936
biocide__pvp-i_30m__1,0.8759213760000001,0.4214783838,0.087607533
biocide__pvp-i_30m__2,1.4923958479000001,0.6605896880000001,0.0913216261
biocide__pvp-i_30m__3,0.6064432726,0.6686774394,0.26532415800000003
biocide__ctrl_12h__1,0.3015937754,0.7997638749,0.1705345391
biocide__ctrl_12h__2,0.6216445713000001,0.6712288724000001,0.3225211441
biocide__ctrl_12h__3,-0.4433683552,1.1383024178,0.3128917021
biocide__ctrl_30m__1,-1.0518766832,0.3481536579,0.14295592270000002
biocide__ctrl_30m__2,-0.4366049758,-0.1944088445,-0.13966334160000002
biocide__ctrl_30m__3,1.4884816589,-0.1537448133,-0.0032925811
clpP__wt__1,-0.1476995483,0.1094067252,0.0801952651
clpP__wt_DPTA__1,-1.1018025672,0.5731535305000001,1.0104096684
clpP__wt__2,0.6630330756,-0.5116658141,-0.15961013970000001
clpP__wt_DPTA__2,-1.2165693969,-0.08317024120000001,0.9908922373000001
clpP__wt__3,-0.5153335273,0.4022590889,0.0794148746
clpP__wt_DPTA__3,-1.8815170561999999,0.9151774394000001,0.8979434834000001
clpP__delclpP__1,0.26274754100000003,0.060997514700000005,0.3861377004
clpP__delclpP_DPTA__1,-2.065732843,1.020647165,1.2033600538
clpP__delclpP__2,0.24667358290000002,0.2118843689,0.26954894160000004
clpP__delclpP_DPTA__2,-2.1895503776,0.2829512077,0.7817928164
clpP__delclpP__3,0.2499040706,0.3252206431,0.5099844118
clpP__delclpP_DPTA__3,-2.5548519266,0.2834453234,1.154091223
colombos2__delydcR__1,-1.4933948007,0.1958481695,-0.1133370323
colombos2__delydcR__2,2.0071647179,0.5274308658,-0.0237831136
colombos2__delydcR__3,-0.9028763275,-0.07346289360000001,-0.1769844632
colombos2__delyjiR__1,0.4355719106,-0.0100904004,-0.0023652598
colombos2__delyjiR__2,-1.6225319228,-0.48398850660000003,0.1417380475
colombos2__delyjiR__3,-0.9116468246,-0.8602127552000001,0.0611544907
colombos2__wt__1,0.9734164225,0.12126563430000001,0.08432900630000001
colombos2__wt__2,0.20785844820000002,0.3055493562,-0.09368249070000001
colombos2__wt__3,-1.1812748707,-0.4268149905,0.0093534845
crp_k100__ar1_ar2__1,-2.7679596899,-1.6764374801000002,1.0386732648
crp_k100__ar1_ar2__2,-4.0225632556,-2.4855146796,1.2993008221
crp_k100__ar1_ar2__3,-3.6809749631,-1.2636958473,0.7911549408
crp_k100__wt__1,-0.0613058527,0.1114213039,-0.0099408411
crp_k100__wt__2,0.3552560065,0.3054175971,0.07868816470000001
crp_k100__wt__3,-0.2939501538,-0.41683890100000004,-0.06874732360000001
crp_k100__K100Q__1,0.2982676814,0.5991588559000001,0.3964592985
crp_k100__K100Q__2,-1.9214086086000002,-0.1740409809,0.5109733348000001
crp_k100__K100R__1,1.5245557237,0.4755652856,-0.3099313486
crp_k100__K100R__2,-3.2625694379,-0.4453303336,-0.06540984600000001
crp_k100__K100R__3,-1.764352105,0.1146106102,-0.2666675979
csrA__wt_t00__1,0.9078403206000001,0.062229310100000004,-0.10783201240000001
csrA__wt_t02_30__1,3.178307829,0.20333477500000002,0.15824388150000002
csrA__wt_t05__1,5.088033679,-1.2000383963,-0.43737589990000003
csrA__wt_t10__1,5.8282841368,-1.2640501403,0.6552404767000001
csrA__wt_t15__1,7.8640409506,-0.0885933248,1.6580148005000002
csrA__delcsrA_t00__1,-0.24420463180000002,0.5644150087,0.22192684740000002
csrA__delcsrA_t02_30__1,2.9361362532,0.27425784740000003,0.3839373802
csrA__delcsrA_t05__1,2.9525507653,-1.2484178778000001,-0.0509269895
csrA__delcsrA_t10__1,4.1909481501,-0.7609664933,0.574184993
csrA__delcsrA_t15__1,6.5431216303,-0.6509981169,1.3968077029
csrA__wt_t00__2,-0.9078403206000001,-0.062229310100000004,0.10783201240000001
csrA__wt_t02_30__2,2.3485347908,-0.0573124672,0.47557474930000004
csrA__wt_t05__2,4.5634199424,-1.139444425,-0.0979839337
csrA__wt_t10__2,5.1289174577,-0.9586505066000001,0.9298331089
csrA__wt_t15__2,5.896325497,-0.4816609349,1.8507670551
csrA__delcsrA_t00__2,-0.36137920700000004,0.5243130208,0.0419514728
csrA__delcsrA_t02_30__2,2.6816972250999997,0.0750717227,0.1647592964
csrA__delcsrA_t05__2,4.4333489173,-1.1352502099,-0.3415013979
csrA__delcsrA_t10__2,4.8293922776,-1.357259131,0.7882840066
csrA__delcsrA_t15__2,5.2562841714,-0.3504905547,1.4156927451999999
cstr_pfr__str_0005m__1,3.3515667002000002,0.3347633316,0.11074358570000001
cstr_pfr__str_0010m__1,-0.15403408500000002,-0.3563327116,-0.1624802583
cstr_pfr__str_0025m__1,-0.49666071180000004,-0.18032202190000002,0.0056280402
cstr_pfr__str_0045m__1,1.2860099744,-0.2755469163,0.0412093648
cstr_pfr__str_0075m__1,0.9694689794,-0.2048257147,0.040798750200000004
cstr_pfr__str_0120m__1,1.0271086316,-0.26548530130000003,0.0547989027
cstr_pfr__str_0210m__1,0.9660709349000001,-0.2746334641,0.11289490270000001
cstr_pfr__str_0330m__1,2.8485513982,0.050311451300000004,0.1531201195
cstr_pfr__str_1500m__1,1.6973697257,0.1080494951,0.029019826500000002
cstr_pfr__str_1560m__1,0.7502865121000001,-0.10600426040000001,0.06348461300000001
cstr_pfr__str_1680m__1,-0.5450803902,-0.2381956556,0.0486880992
cstr_pfr__str_ref1__1,0.36400068290000004,-0.0023895886,0.0225145017
cstr_pfr__str_ref2__1,4.4347878658,-0.016489366800000002,-0.0079549809
cstr_pfr__str_ref3__1,0.7310771622000001,-0.1224702481,0.0673960328
cstr_pfr__pfr_P5_0005m__1,0.3255799824,-0.1929368722,0.1478935335
cstr_pfr__pfr_P5_0010m__1,-0.4246034072,-0.5337037345,-0.1316371284
cstr_pfr__pfr_P5_0025m__1,0.4766098536,-0.6551125245,-0.0203106426
cstr_pfr__pfr_P3_0025m__1,-0.3291360226,-0.44641693790000003,-0.1219099517
cstr_pfr__pfr_P1_0025m__1,-0.8562668830000001,-0.257567223,-0.1372826141
cstr_pfr__pfr_P5_0045m__1,1.4039560663000001,-0.6417475396,-0.0496341516
cstr_pfr__pfr_P5_0120m__1,3.5144577643,-0.3555885382,-0.0225154233
cstr_pfr__pfr_P3_0120m__1,1.1269908693,-0.5399093380000001,-0.1018335848
cstr_pfr__pfr_P1_0120m__1,10.3656291643,0.058395082200000004,-0.075095517
cstr_pfr__pfr_P5_0210m__1,3.468228797,-0.149420891,-0.033386169300000004
cstr_pfr__pfr_P5_1500m__1,-0.0206895702,-0.6356151594,-0.0844885021
cstr_pfr__pfr_P3_1680m__1,-0.0254753794,-0.1937067386,-0.030631214700000003
cstr_pfr__pfr_P5_1680m__1,0.8741899496000001,-0.6116845866,-0.041778117100000005
cstr_pfr__pfr_P1_1680m__1,0.1186586996,-0.221776509,0.0711012112
cstr_pfr__str_0005m__2,2.8568255857000002,0.0613915842,-0.08026113950000001
cstr_pfr__str_0010m__2,-0.4211485924,-0.3743852411,-0.26228857780000003
cstr_pfr__str_0025m__2,-0.6486832014,-0.3478270667,-0.13172305
cstr_pfr__str_0045m__2,1.5818760404,-0.3411436584,-0.0641812578
cstr_pfr__str_0075m__2,1.1029561638,-0.34127596990000003,0.0350225418
cstr_pfr__str_0120m__2,0.8423306620000001,-0.49236935390000003,0.0293183076
cstr_pfr__str_0210m__2,0.9584146304000001,-0.3341230747,0.06922512830000001
cstr_pfr__str_0330m__2,1.3915381252,-0.267683488,0.0853775008
cstr_pfr__str_1500m__2,-1.0975529607,-0.1833631429,0.1589193183
cstr_pfr__str_1560m__2,1.0971525447000001,-0.1313421014,0.15527350280000002
cstr_pfr__str_1680m__2,1.1092622325,-0.0882779925,0.0864250114
cstr_pfr__str_ref1__2,-0.36400068290000004,0.0023895886,-0.0225145017
cstr_pfr__str_ref2__2,0.5540815791,-0.1048482033,0.0451296018
cstr_pfr__str_ref3__2,0.2820780572,-0.0993143258,0.0684111122
cstr_pfr__pfr_P5_0005m__2,1.6221621365,-0.2428258968,-0.2158820794
cstr_pfr__pfr_P5_0010m__2,-0.18768150320000002,-0.6350531374,-0.2343129843
cstr_pfr__pfr_P5_0025m__2,-0.2223065905,-0.6587070622,-0.2165177666
cstr_pfr__pfr_P3_0025m__2,-1.0428874506,-0.6406480593,-0.28544913050000004
cstr_pfr__pfr_P1_0025m__2,-0.9307024529000001,-0.4027509556,-0.26896404300000004
cstr_pfr__pfr_P5_0045m__2,1.2823947723,-0.6060610687,0.1158714339
cstr_pfr__pfr_P5_0120m__2,1.7314872473,-0.7013546337000001,-0.0810049073
cstr_pfr__pfr_P3_0120m__2,0.8247630311,-0.7095560755,-0.0990417814
cstr_pfr__pfr_P1_0120m__2,3.5934070735,-0.3100723683,-0.0887430225
cstr_pfr__pfr_P5_0210m__2,1.5311719622000002,-0.6514631303,-0.088533531
cstr_pfr__pfr_P5_1500m__2,0.5882235018,-0.5064217074,-0.14743303530000001
cstr_pfr__pfr_P3_1680m__2,2.7893836786,-0.48329532900000005,-0.1087523703
cstr_pfr__pfr_P5_1680m__2,-0.5260875574,-0.3925304484,-0.1030133887
cstr_pfr__pfr_P1_1680m__2,-0.9785278352000001,-0.1439800091,-0.023188923
darobactin__daro_30m__1,-0.3820560617,0.5277190938,0.31318655170000004
darobactin__daro_30m__2,0.8055770756,0.5815335496,0.2077680137
darobactin__solv_1h__1,-0.0354640917,1.51321361,0.3379162327
darobactin__solv_1h__2,0.6455954058000001,1.9551801743000001,0.208014145
darobactin__daro_1h__1,-1.1570728691,1.7996070001,0.1191900048
darobactin__solv_1h__3,-1.6913253074,2.2741619302,0.6614127202
darobactin__daro_1h__2,-0.4671692381,1.7528638662,0.5984876075000001
darobactin__daro_1h__3,-0.5846206222,1.8956816548000002,0.4196187712
darobactin__daro_30m__3,0.0732285966,0.42852049140000004,0.305655263
darobactin__solv_30m__1,-0.34752204810000004,-0.041933822700000005,0.0135937062
darobactin__solv_15m__1,0.2753980012,-0.1182242716,0.0852694024
darobactin__solv_15m__2,0.2109042129,0.1862533868,-0.0155165013
darobactin__daro_15m__1,-0.0423884465,-0.0245460303,-0.0838011282
darobactin__solv_15m__3,-0.4863022142,-0.0680291152,-0.0697529011
darobactin__daro_15m__2,0.3798793104,-0.5143749475,0.27596232460000003
darobactin__daro_15m__3,-0.0148574054,0.1469442906,0.45113060850000003
darobactin__solv_30m__2,0.0976936585,-0.19628354280000002,-0.1525199025
darobactin__solv_30m__3,0.5508105611,-0.10072578880000001,0.052636634200000004
ddp__pNT3_aroP__1,-0.6400390140000001,-0.5635901736,0.0194943282
ddp__pNT3_aroP__2,-0.11770874540000001,-1.2859208707,0.0371448691
ddp__pNT3_bamC__1,0.0144620825,-1.9021256018,0.7403439074
ddp__pNT3_bamC__2,0.1131143472,-2.1288555095,0.7887621109
ddp__pNT3_cusA__1,0.7432764385,-2.3979546509,0.6989246475
ddp__pNT3_cusA__2,0.607084945,-2.5797150782,0.7712450152
ddp__pNT3_hemX__1,0.7393446977,-0.8655985993,0.2989290468
ddp__pNT3_hemX__2,0.1947904342,-0.9982508369,0.3438535408
ddp__pNT3_empty__1,0.1236291085,-0.0900853466,-0.0442370661
ddp__pNT3_empty__2,-0.1236291085,0.0900853466,0.0442370661
ddp__pNT3_topA__1,-0.5793240373,-1.3061610464,0.9965763493
ddp__pNT3_topA__2,-0.5559627140000001,-1.5990009433,1.31008916
ddp__pNT3_yicR__1,0.3357225937,-0.517627262,0.3495947186
ddp__pNT3_yicR__2,0.3330098937,-0.9106442824000001,0.3167987774
ddp__pNT3_yqjD__1,-0.2372021101,-0.1011131341,0.18282576220000002
ddp__pNT3_yqjD__2,-0.16361328700000002,-0.4006612181,0.2745354318
ecomics__del_gabT__1,0.4002063495,0.0175638678,0.0091526396
ecomics__del_gabT__2,-0.4002063495,-0.0175638678,-0.0091526396
ecomics__del_putP__1,-2.7126495959,0.6531712123,0.1517960213
ecomics__del_putP__2,0.1441760224,0.1452740892,-0.018863395800000002
ecomics__del_entF__1,-4.8935282529,0.18691033880000002,-0.3106553576
ecomics__del_entF__2,-6.1946842376,0.0734349849,0.0012067599
ecomics__del_entF__3,-7.6279003656,0.0321147993,-0.1112154671
ecomics__del_cysA__1,-6.0862626813,-0.4379710902,-0.44010103
ecomics__del_cysA__2,-5.8644752272,-0.4831456974,-0.2791661187
elyC__wt_21C__1,-0.7572631112,0.2584124907,-0.1132278063
elyC__wt_21C__2,-0.3634011754,0.3577189911,-0.29637354460000004
elyC__wt_21C__3,-0.3730008187,0.2204727311,-0.21916101030000001
elyC__wt_37C__1,-0.031354782500000004,-0.1941706306,-0.1117056741
elyC__wt_37C__2,-0.12017940120000001,0.1783073588,0.051901757300000004
elyC__wt_37C__3,0.15153418370000002,0.015863271800000002,0.0598039168
elyC__delelyC_21C__1,-0.9335743403000001,0.39868564300000003,-0.2188903626
elyC__delelyC_21C__2,-0.9477143344000001,0.4056843116,-0.17460792120000002
elyC__delelyC_21C__3,-0.6523305026,0.2610844163,-0.260555077
elyC__delelyC_37C__1,0.0783213156,0.0663531507,0.0039868995
elyC__delelyC_37C__2,-0.3927059175,0.0400296387,0.0221365934
elyC__delelyC_37C__3,-0.11071131440000001,-0.0364412462,-0.0647450559
evo_acid_w__F9_2__1,-0.5066586833,-0.38130265500000005,0.1463959096
evo_acid_w__F11_1__1,-2.8068992278,-0.9217223630000001,0.1202021206
evo_acid_w__F11_1__2,-2.5018547314,-0.6779528057,-0.0395698956
evo_acid_w__F11_1__3,-1.7155398641000001,0.051624521300000004,0.10572779530000001
evo_acid_w__wt__1,-1.4374465684,0.2947186691,-0.19171076280000002
evo_acid_w__F11_2__1,-1.8976939256,-0.2234734531,0.1714003089
evo_acid_w__B11_2__1,-1.2745486833,0.3510130873,0.35457862700000004
evo_acid_w__F11_2__2,5.6613007406,0.7394660234,0.1930127968
evo_acid_w__wt__2,-2.3659527413,-0.037645228,-0.139414123
evo_acid_w__B11_1__1,7.2383097775,1.1447649313000001,0.46414260090000004
evo_acid_w__H9_1__1,1.6886388812000002,-2.5230794017,-0.9293460187
evo_acid_w__H9_2__1,0.5116357377,0.4922234655,-0.2153956048
evo_acid_w__B11_2__2,-0.4395064293,0.3541109429,0.307804224
evo_acid_w__wt__3,-2.3917902077,-0.331183388,-0.0441240533
evo_acid_w__H9_2__2,0.0427388816,0.5804267133000001,-0.17407644390000002
evo_acid_w__B11_2__3,-0.39592721550000004,0.5011832037,0.304790481
evo_acid_w__F11_2__3,3.5578287498,0.7007785006,0.359799287
evo_acid_w__F9_2__2,-0.9971262382,-0.16833836570000002,0.2262852115
evo_acid_w__wt__4,0.3888084707,0.1349958172,0.1001533352
evo_acid_w__wt__5,1.1422459069,0.1320406726,0.2215301875
evo_acid_w__wt__6,1.2422707016,0.3857533148,0.0514810393
evo_acid_w__H9_1__2,1.8903950536,-2.321162893,-1.1099708241
evo_acid_w__F9_1__1,-2.1437138203,-0.6484102459000001,0.0609907036
evo_acid_w__F9_1__2,-2.2806122209,-0.45106242420000003,0.0100256292
evo_acid_w__B11_1__2,10.326408185,1.431632236,0.38586791800000003
evo_acid_w__H9_2__3,1.3586224619,0.8074302058,-0.2219397992
evo_acid_w__wt__7,-0.9457653525,-0.1291241136,-0.0058975043
evo_acid_w__F9_1__3,-1.7910993408,-0.5065905545,-0.0580505282
evo_acid_w__F9_2__3,-0.6542463004,-0.4308412075,0.0753342381
evo_acid_w__wt__8,1.0875210639,-0.3537566312,-0.042911954
evo_acid_w__B11_1__3,9.577940487,1.7390672644,0.4089002883
evo_acid_w__wt__9,3.2801087268,-0.0957991129,0.050893835500000005
evo_bz__c3_1_bz__1,2.139657074,1.4187178873000001,0.14582604870000002
evo_bz__c3_1_bz__2,1.3000648634,-0.1686966664,-0.36678308870000004
evo_bz__c3_1_bz__3,1.1846582319,0.33294795390000004,-0.27314160800000004
evo_bz__c3_1_bz__4,1.1453012455,0.5087187643000001,-0.2476562635
evo_bz__g5_1_bz__1,0.4855394163,0.0450879958,0.2154759758
evo_bz__g5_1_bz__2,7.0630759661,0.9949759403,0.22949940370000002
evo_bz__g5_1_bz__3,1.1867305175,0.0412651136,0.0752074958
evo_bz__g5_1_bz__4,1.7083862938,-0.27396793010000003,-0.0815494787
evo_bz__g5_1_bz__5,1.6100010537,-0.3680268465,-0.0341675644
evo_bz__g5_1_bz__6,1.4391934772,-0.1595585696,-0.0005939661000000001
evo_bz__w3110d13__1,-0.16492739820000002,0.4980424096,-0.1195503961
evo_bz__w3110d13__2,0.2394038725,0.2508432853,-0.0933554179
evo_bz__w3110d13__3,0.3055860707,-0.1979334757,0.0592809564
evo_bz__w3110d13__4,-0.3701881548,0.20155176300000002,-0.1354329401
evo_bz__w3110d13__5,0.07554400530000001,-0.6584877314,0.07357012090000001
evo_bz__w3110d13__6,-0.08541839550000001,-0.0940162507,0.2154876769
evo_bz__w3110d13_bz__1,13.3322408118,1.7340460646,0.25213877430000003
evo_bz__w3110d13_bz__2,14.7449280846,1.755463059,0.0389778084
evo_bz__w3110d13_bz__3,1.078735352,0.153952529,-0.1834919475
evo_bz__w3110d13_bz__4,14.8328842165,1.6472522877,0.1589210443
evo_bz__c3_1_bz__5,2.4962651841,1.3192816334,0.0801469077
evo_bz__c3_1_bz__6,4.9753360695,1.2570458405,0.1380442993
evo_bz__g5_2_bz__1,1.7714721375,-0.7085861403,-0.5813523044000001
evo_bz__g5_2_bz__2,1.68848506,-1.1413474365,-0.54992883
evo_bz__g5_2_bz__3,1.702947422,-0.6371391661,-0.5378679077
evo_bz__g5_2_bz__4,2.1800665408,1.5013470671,0.2686142181
evo_bz__g5_2_bz__5,3.5343759821000003,1.470070741,0.3047421518
evo_bz__g5_2_bz__6,10.805579058,1.389709155,0.3251273906
evo_bz__w3110d13_bz__5,1.5198396516,0.11613185590000001,-0.009906508100000001
evo_bz__w3110d13_bz__6,1.3925748948,0.44164934710000003,-0.2168331962
evo_bz__a1_1_bz__1,0.2402660127,1.6827806350999999,0.33431169050000004
evo_bz__a1_1_bz__2,8.1799012383,1.5001421995,0.2116968061
evo_bz__a1_1_bz__3,1.7137782524,-0.0416423373,-0.18372571140000002
evo_bz__a1_1_bz__4,5.2076411807,1.5338151999999998,0.4389608913
evo_bz__a1_1_bz__5,1.4529948963,-0.0982294009,-0.268070719
evo_bz__a1_1_bz__6,1.6691897964,0.1422100219,-0.0870670192
evo_metab__wt__1,-0.0990904581,0.6646148533,0.3443509589
evo_metab__del_zwf__1,0.7604704432,0.6098971339,0.1652742451
evo_metab__zwf_ale1__1,-0.0814172251,0.6571631536,0.211130064
evo_metab__zwf_ale2__1,-0.0624934355,-0.12652886970000002,-0.25708634550000004
evo_metab__del_ppk__1,-0.062105289200000004,-0.2012377621,-0.2066308214
evo_metab__ppk_ale1__1,-0.5805435010000001,-0.77072904,-0.3667514344
evo_metab__ppk_ale2__1,-0.5367864826000001,0.4478964748,0.3610644347
evo_metab__ppk_ale3__1,-1.021644487,-0.3193391531,0.2649755219
evo_metab__del_dapF__1,0.1072206641,0.1839896293,0.0281135955
evo_metab__dapF_ale1__1,0.2225415201,-0.3333920455,-0.151889398
evo_metab__dapF_ale3__1,-0.4912406106,-0.43999414610000004,-0.4239051464
evo_metab__del_entC__1,0.1179341889,0.26816413780000004,-0.36644120420000004
evo_metab__entC_ale1__1,-0.27055560630000003,0.0839848118,-0.2568174776
evo_metab__entC_ale2__1,0.1187451684,0.1900746532,0.14704410110000002
evo_metab__del_dgk__1,0.0056450905,-0.7813136656,-0.0739352672
evo_metab__dgk_ale1__1,0.031710951,-1.1884039123,-0.10839593850000001
evo_metab__dgk_ale2__1,0.0835149595,-1.2104342544,0.1786819499
evo_metab__dgk_ale3__1,-0.43154019930000004,0.4694312184,-0.2122526868
evo_metab__wt__2,0.045383680700000005,-0.27882321320000003,-0.1839833421
evo_metab__del_zwf__2,0.2296679472,0.5616549218,0.4721483286
evo_metab__zwf_ale1__2,0.9580209498000001,-2.0624664392,-0.3404743149
evo_metab__zwf_ale2__2,0.4007700636,-1.1304368925000001,-0.3626443479
evo_metab__del_ppk__2,0.6471974494,-0.7409201022,-0.2248503926
evo_metab__ppk_ale1__2,-0.0597460395,-1.4673769063,-0.06316998530000001
evo_metab__ppk_ale2__2,-0.8415174484,-0.8801693184,-0.1906721357
evo_metab__ppk_ale3__2,-0.3245266614,-0.5837160447,-0.30637156860000003
evo_metab__del_dapF__2,0.48511604220000004,-0.0833952728,0.3570191827
evo_metab__dapF_ale1__2,0.6881565855,-0.9613407619000001,0.1025501968
evo_metab__dapF_ale3__2,0.9019749001,-0.2647077239,0.4956171905
evo_metab__del_entC__2,0.289436676,-1.1352285359,-0.3591152302
evo_metab__entC_ale1__2,0.0722116938,-0.6887209564,-0.3043800538
evo_metab__entC_ale2__2,0.016558029800000002,-1.8807950242,-0.2029856726
evo_metab__entC_ale3__1,0.7608546366000001,-1.35174217,-0.1335952104
evo_metab__del_dgk__2,0.3846806144,-1.034557595,-0.009189183
evo_metab__dgk_ale1__2,0.3272846705,-1.706696602,-0.3093192174
evo_metab__dgk_ale2__2,0.18503587030000002,-1.4328682371,-0.10083591430000001
evo_metab__dgk_ale3__2,0.6341268495,-0.42660058980000004,-0.5890277701000001
evo_metab__wt__3,0.0537067773,-0.3857916401,-0.1603676168
evo_metab__del_zwf__3,0.5069826831,-0.5181885915000001,-0.5337777167000001
evo_metab__zwf_ale1__3,0.8071131978,-1.854979822,-0.3386101305
evo_metab__zwf_ale2__3,0.22310942120000002,-1.0353967801,-0.5595079862
evo_metab__del_ppk__3,0.07788944040000001,-0.3406982944,0.1256745228
evo_metab__ppk_ale1__3,0.020017092400000002,-0.4028770499,-0.1974074602
evo_metab__ppk_ale2__3,-0.0087693405,-0.40893902670000004,-0.16778095310000002
evo_metab__ppk_ale3__3,0.0926098452,-0.0817078443,-0.19864319430000002
evo_metab__del_dapF__3,0.6835936158,-0.1130690407,0.3276570398
evo_metab__dapF_ale1__3,0.5911236972,-0.6641047604,-0.0997289173
evo_metab__dapF_ale3__3,0.2326559645,-0.4395931132,0.2640760326
evo_metab__del_entC__3,0.394474723,-0.856282286,-0.37235867840000003
evo_metab__entC_ale1__3,0.34312948200000004,-0.5377022594,0.0181046865
evo_metab__entC_ale2__3,0.0056914961,-0.3366628287,-0.11700042790000001
evo_metab__entC_ale3__2,0.36002437,-1.4109430878,-0.1609804505
evo_metab__del_dgk__3,0.3023276895,-1.0631713794,-0.3751268578
evo_metab__dgk_ale1__3,0.1915517048,-0.9850484702000001,-0.176205029
evo_metab__dgk_ale2__3,0.4353437047,-1.1906383666,-0.1301696154
evo_metab__dgk_ale3__3,0.8543814565000001,-0.187617042,-0.351969819
flag_reg__wt__1,-0.2414282355,0.0421387001,-0.0092595132
flag_reg__del_fliA__1,0.06418341450000001,-0.5803092199000001,-0.0129624738
flag_reg__del_flhC__1,-0.42333359610000004,-0.5818580902,0.0793582208
flag_reg__del_flhD__1,-0.06252786860000001,-0.6980897354000001,0.09250216300000001
flag_reg__wt__2,0.2414282355,-0.0421387001,0.0092595132
flag_reg__del_fliA__2,-0.1345408298,-0.3299347965,0.1063528264
flag_reg__del_flhC__2,-0.4475370858,-0.0563613565,-0.0175557042
flag_reg__del_flhD__2,-0.22730998730000002,-0.7090289707,-0.010842586900000001
flgM__27C__1,0.4355569141,-0.2124704597,-0.49386042500000005
flgM__27C__2,0.49073156960000003,-0.5833146218,-0.4711977559
flgM__27C__3,0.3731991618,-0.3930749917,-0.5876803110000001
flgM__32C__1,-0.7071419224000001,0.24048093410000002,-0.12164353550000001
flgM__32C__2,0.5403650701,0.1015134283,-0.1487269227
flgM__32C__3,-0.3769786366,0.15096765480000002,-0.1490291595
flgM__37C__1,-0.11609976250000001,-0.0729707799,-0.0174158301
flgM__37C__2,0.1788792251,0.0426003368,0.0022036207
flgM__37C__3,-0.0627794626,0.0303704432,0.0152122095
flgM__42C__1,0.5819516032000001,-0.31290034240000003,0.1496946106
flgM__42C__2,0.5347582207,0.051293493200000005,0.1960098835
flgM__42C__3,0.2979092058,0.2068007187,0.20566612750000002
histone__untreated__1,0.1032722128,-0.1298766146,-0.0161078514
histone__untreated__2,-0.0741692421,0.2392369175,0.07405100270000001
histone__untreated__3,-0.0291029707,-0.109360303,-0.0579431513
histone__10ug_H2A__1,-0.4263727325,-0.2386267722,-0.11997661750000001
histone__10ug_H2A__2,0.17253486140000002,-0.1410973451,0.0025159921
histone__10ug_H2A__3,0.06824983400000001,-0.1580235143,-0.0979670931
histone__50ug_H2A__1,0.67013697,-0.1950454193,-0.1884766708
histone__50ug_H2A__2,0.9054540547000001,-0.2776644817,-0.12810657550000001
histone__50ug_H2A__3,0.42257460550000003,-0.3029851388,-0.2565370085
histone__100ug_H2A__1,0.31863348210000003,-0.3159923396,-0.19382686740000002
histone__100ug_H2A__2,0.4157183767,-0.05389802,-0.2250856863
histone__100ug_H2A__3,0.4392565862,-0.2049986878,-0.22388611700000002
hns__del_hns_spike__1,-2.3469785362,0.2291161325,0.1137865311
hns__del_hns_spike__2,-0.5827831087,1.0178247549,0.3119930792
hns__del_hns__1,-2.5082855648,0.3190707625,0.1210828718
hns__del_hns__2,-0.07526364120000001,0.7357914495,-0.1089395497
hns__wt_spike__1,-1.0013625342,0.4649986421,0.2134083628
hns__wt_spike__2,0.3179686614,0.157189626,0.1370073363
hns__wt__1,-1.0340015369,0.1272775522,0.2411013415
hns__wt__2,1.0340015369,-0.1272775522,-0.2411013415
hns_stpA__evo100G4_delhns_delstpA__1,-1.8407205157000002,-1.0374007533,-0.3394563648
hns_stpA__evo100G4_delhns_delstpA__2,-1.8379543648,-0.9383821601000001,-0.5961681449
hns_stpA__evo100G12_delhns_delstpA__1,-0.7675463424000001,-0.9091377801,-0.9814461712
hns_stpA__evo100G12_delhns_delstpA__2,-0.2672211534,-1.2000169532,-1.2562817839
hns_stpA__delhns_delstpA_delrpoS__1,-0.5984967574,-0.7952432155,-1.0463528466
hns_stpA__delhns_delstpA_delrpoS__2,-0.6274222898,-1.0142009363,-1.4682892945
