,A,ihfB,ArcA,Crp,IclR,Cra
omics__bw_ac__2,2.4297785489,0.605473425,-0.076148239,0.46188222300000004,0.39167937350000004,0.8924773015
omics__bw_fum__1,-2.3002537526,0.018456405000000002,-0.046794311000000005,0.44664785300000004,0.0457680525,0.5877983865
omics__bw_fum__2,-2.1611910631,-0.006356255000000001,-0.08552493700000001,0.49525865300000005,0.15171418650000001,0.5226877135
omics__bw_glc__1,-2.8870323079,0.164126605,0.12043444,0.319951353,-0.0060149255000000006,0.0273994885
omics__bw_glc__2,-2.8681579795000003,0.15512309500000002,0.131540097,0.360933593,0.0192736835,0.0728779705
omics__bw_pyr__1,-2.3778150265,0.644921705,-0.350962926,0.8061810030000001,-0.0392747315,0.4805777875
omics__bw_pyr__2,-2.9688702694,0.659472645,-0.34418755100000004,0.764467493,0.15807350350000002,0.5675752305
ompr__wt_nacl__1,4.5265243677,0.277552005,1.828340046,-0.686581477,-2.0932857315,-1.5929679745
ompr__wt_nacl__2,4.8589755525000005,0.08413458500000001,1.957742426,-0.620927,-1.9842360645000001,-1.7497737265
ompr__bw_delompr_nacl__1,3.2239338328000002,0.009492215,1.3682953260000001,-1.046248202,-2.4071024755,-1.7213951165
ompr__bw_delompr_nacl__2,3.55308973,-0.13246892500000002,1.419179516,-1.071490687,-2.4141753985,-1.8707998295000001
minspan__wt_ade__1,0.41833340100000005,0.323090545,0.393576953,-0.09169608400000001,-0.18611621150000002,-0.4489845905
minspan__wt_glc__2,-1.2446040778,-0.0050519250000000005,0.444636982,-0.171476714,-0.7591144515,-0.2207924055
minspan__wt_glc__3,-0.9036746052,0.045105535,0.371492769,-0.216511799,-0.6367290315,-0.1532301705
minspan__wt_glc__4,-0.6710504966,-0.07972467500000001,0.331090588,-0.237794143,-0.6266026415,-0.1654427225
minspan__wt_glc_anaero__1,-1.0330681921,-0.17243101500000002,0.7573820960000001,0.097308024,-0.1069743595,0.7999081985000001
minspan__wt_glc_anaero__2,-0.6625609085,-0.170063665,0.696397778,0.0007891440000000001,0.1638085225,1.1722754415
minspan__wt_trp__1,-0.37772582590000003,0.631325145,0.37565932,0.37930993300000004,-0.8157987165,0.4102215775
minspan__bw_delcra_glc__2,-1.6813052767,0.5065485750000001,0.476845821,0.207746483,-1.2927544665,-6.3602353955
minspan__bw_delcra_trp__1,-2.6203552329,0.906130685,0.5289642950000001,0.245706203,-1.0447769935,-4.7930176055
minspan__bw_delmntr__1,-0.6288854429,0.004072415,0.487748006,0.395080543,-0.7195812035,0.5425909545000001
minspan__bw_delnac_ade__1,2.8765614589,0.073518865,0.105543914,0.005806082000000001,0.1934239405,-0.7930149015
minspan__bw_delnac_glc__1,-1.7532995063999999,0.12347822500000001,0.32585684400000003,0.19238992300000002,-0.5383000915,-0.0986223765
cra_crp__wt_ac__1,2.7671610459,-0.30622956500000004,0.075213946,0.7848307330000001,0.5095870505,0.9012172285000001
cra_crp__wt_ac__2,2.8490448868,-0.352816565,0.040042087000000004,0.774460393,0.5088915415,1.1057735505
cra_crp__wt_fru__1,-0.8745976986,-0.26311180500000003,-0.27503787900000004,0.31349375300000004,0.1032191835,0.7123657575
cra_crp__wt_fru__2,-0.8426227149000001,-0.088390225,-0.23072129300000002,0.373244063,0.1478816655,0.47676490250000003
cra_crp__delcra_ac__1,6.3107178541,0.08919740500000001,0.252433879,0.205353913,0.1770735185,-7.2746930645
cra_crp__delcra_ac__2,5.6559865864,0.021087685000000002,0.273945205,0.159225273,0.21471650550000002,-7.2746930645
cra_crp__delcra_fru__1,-0.6696467236,0.279636635,0.519048295,0.12650519300000002,-0.5580650545,-7.2746930645
cra_crp__delcra_fru__2,-0.5839429794000001,0.32569436500000004,0.512524654,0.163147493,-0.43632926850000003,-7.2746930645
cra_crp__delcra_glc__1,-2.115053626,-0.027273645000000003,0.126573136,0.046791002000000005,-0.6468093965,-7.2746930645
cra_crp__delcra_glc__2,-1.7719918882,-0.13678458500000001,0.126137254,-0.014761104,-0.6090770845,-7.2746930645
rpoB__wt_031__1,1.7121684849,-0.018986005,0.396646588,0.271760703,0.3384905975,0.7803328845
rpoB__wt_044__1,0.390618571,-0.16863898500000002,0.45351927500000005,0.20485867300000002,0.5075549075,0.10390239150000001
rpoB__wt_lb__1,1.7911485424,0.377391115,1.5404025159999999,0.24727295300000002,-0.4840631395,0.5522476165
rpoB__wt_lb__2,0.7798643594,0.29310171500000004,1.449866066,0.204154523,-0.6292249465,0.5466030005
rpoB__rpoBE546V_031__1,0.16779547150000002,0.34542376500000005,0.685514203,0.45717146300000006,0.1670746885,0.5672867075
rpoB__rpoBE546V_044__1,-0.5747374744,0.433644805,0.539784889,0.376256283,0.13672702750000001,0.5335004895000001
rpoB__rpoBE546V_lb__1,-0.16233966730000002,0.154811065,1.181176256,0.11748048200000001,-0.1976609315,0.6674809845
rpoB__rpoBE546V_lb__2,-0.0178837929,0.184431905,1.097910146,0.125422963,-0.2786080975,0.5745490675
rpoB__rpoBE546V_glc__1,-3.1524542731,-0.25137586500000003,-0.042422106,-0.004082425000000001,0.23767704550000002,0.1860434845
rpoB__rpoBE672K_glc__1,-2.9901090001,-0.868628418,-0.529459554,-0.66628918,-0.16689697750000002,-0.0267189575
rpoB__rpoBE672K_glc__2,-2.735654607,-0.841749195,-0.47372824700000005,-0.570898456,-0.1661237325,-0.0257166055
rpoB__rpoBE672K_lb__1,-3.0202576531,-0.730282673,0.035597011000000005,-0.228845183,-0.4747627815,-0.6128218315
rpoB__rpoBE672K_lb__2,-2.9918819136,-0.70811133,0.07509867,-0.18410035800000002,-0.3748618425,-0.5361180115
crp__wt_fru__1,-0.5913464069000001,-0.120886425,-0.19600093400000002,-0.134837475,-0.08137981350000001,0.2989213585
crp__wt_glyc__1,0.9767614583,-0.235195225,-0.08909652200000001,-0.06971342200000001,-0.3158284695,0.4175891165
crp__wt_glyc__2,0.7787065562000001,-0.226979175,-0.190341532,0.000271048,-0.3180010755,0.48395879950000004
crp__delar1_glyc__1,5.717410222,0.817711665,0.584096822,0.768482663,-0.6067838615000001,-0.47260369550000003
crp__delar1_glyc__2,5.7765515812,0.8890342950000001,0.7408784060000001,0.980974663,-0.3572324885,-0.1598414535
crp__delar1ar2_glyc__1,4.2942669173,0.427391075,0.636325653,0.29165508300000004,-0.2790571055,0.0721372145
crp__delar1ar2_glyc__2,4.6173650174,0.49290713500000005,0.7106710190000001,0.25672264300000003,-0.23603255150000002,0.09626005650000001
crp__delar1ar2_glyc__3,3.8276947412,0.45579148500000005,0.7162020570000001,0.37124749300000004,-0.2678172085,0.1420857595
crp__delar2_glyc__1,1.3818078921999999,1.075854265,0.18458875400000002,1.429825303,-0.8730004845,1.5884455014999999
crp__delar2_glyc__2,1.3100362613,0.8624663450000001,0.17830120100000002,1.300445483,-0.6398591125,1.5380338865
crp__delar2_glyc__3,1.0555632612,0.782298315,0.25819627,1.236903523,-0.4038052485,1.7052313895
crp__delcrp_fru__1,2.5082447743,0.7741806250000001,1.391143806,-9.852476477,-0.44026540150000004,-0.1714309155
crp__delcrp_fru__2,3.0725778186,0.780515025,1.365476696,-9.107951936,-0.4282504345,-0.1182234695
crp__delcrp_fru__3,3.1151117791,0.668204965,1.362720846,-9.852476477,-0.4193646905,-0.0551217295
crp__delcrp_glc__1,4.7387132908,0.9036337950000001,1.358549616,-9.025871704,-0.3500774495,0.07036556050000001
crp__delcrp_glc__2,4.4975524724,0.880205215,1.3477543060000001,-9.566616581,-0.2958589645,-0.0425951975
crp__delcrp_glc__3,4.296253489,0.9120195050000001,1.385312096,-9.852476477,-0.26419013750000003,-0.042914679500000004
crp__delcrp_glyc__1,2.7175902375,0.895131325,0.928719166,-9.852476477,-0.6448658375,-0.3392304345
crp__delcrp_glyc__2,2.2945001483,0.8307353350000001,1.041311906,-9.852476477,-0.6266005625000001,-0.3827568625
crp__delcrp_glyc__3,2.3005593745,0.894754805,0.9504081660000001,-9.852476477,-0.7149730975,-0.42265333850000003
glu__glu_ale3__1,-3.6218140664,0.6064907850000001,0.9075265760000001,1.438555163,-0.7661711525,-0.7402779055
glu__glu_ale4__1,-3.3635298436,-0.26191363500000003,-0.055828563000000005,0.12370463300000001,-0.16063700050000002,-0.3293785065
glu__glu_ale5__1,-5.2507940188,-0.846024697,0.09422176900000001,0.23737495300000003,-0.32688351050000003,0.0947587235
glu__glu_ale6__1,-2.3794134477,-0.775242359,-0.407977407,-0.266972174,-0.49059273350000004,-0.4482474515
glu__glu_ale8__1,-2.6725902642,0.6607472950000001,0.9552785760000001,1.5517659030000002,-0.10420902650000001,-0.4052344865
glu__glu_ale9__1,-2.8986145508,-0.066971575,0.5717934290000001,0.736260553,-0.0967729135,-0.5522943725
glu__glu_ale10__1,-3.2448252555,0.21387256500000001,0.614706375,1.248499963,-0.8055313835,-0.8425052495
42c__wt_42c__1,2.3485687049,-0.314610025,0.328591383,-0.022893763,0.2707506925,-0.0454717345
42c__42c_ale1__1,-0.3705382223,0.116353545,1.071597756,0.578078713,-0.1777127905,0.5311776705
42c__42c_ale2__1,-0.8056609044,-0.254239745,0.330761637,-0.001157444,0.2221628095,-0.7342239275
42c__42c_ale3__1,0.44969366720000004,-0.295363645,-0.151671187,-0.163650862,0.5549613545000001,0.1280321895
42c__42c_ale4__1,-0.6376063847,-0.598037926,0.032578979,0.18829674300000002,0.5682847075,-1.0645376205
42c__42c_ale5__1,-2.5677334016,-0.42064137500000004,0.143125367,-0.255090408,0.2778665285,-0.5135051465
42c__42c_ale6__1,-4.1735016538,-0.051506065000000004,1.327478846,0.584709813,0.5975740185,0.21068480650000002
42c__42c_ale8__1,-1.4968931537,0.068028155,0.7806890660000001,0.898060053,0.6730289625,-0.6217082495
42c__42c_ale9__1,-1.0045695966,-0.241751655,-0.22797266500000002,0.234450913,0.5042417955,-0.3956042765
42c__42c_ale10__1,-0.8397958064000001,-0.179127275,0.387994353,0.5824345430000001,0.7703218615,-0.6379388755000001
ssw__wt_ac__1,6.3564557138,-0.346710805,1.138140236,0.155824183,-0.1014663395,-0.2413961185
ssw__wt_glc__1,0.6457689377,-0.342105245,0.199903728,0.08995910700000001,-0.0451038325,0.1827105745
ssw__wt_glyc__1,1.8832388718000002,-0.589388949,0.945881736,0.264629563,0.8638651655,1.1715215855
ssw__wt_xyl__1,-0.20709405790000002,-0.050211675000000004,-1.157955492,0.615108903,0.1902969895,-0.3577239085
ssw__glc_ale1__1,-1.9077224686,0.112337685,0.17438198900000002,0.311997713,0.0136290345,0.2224382355
ssw__glc_ale2__1,-5.7114072987,0.8555401050000001,0.268899551,0.5353218630000001,-0.1065461775,0.015246928500000001
ssw__glc_ale3__1,-5.8589534301,0.353007465,0.24444047800000002,0.445484003,0.1259247875,0.5553166585
ssw__glyc_ale1__1,-1.3926547521,0.5749310550000001,0.127729871,0.29887890300000003,-0.2534181835,0.4629098115
ssw__glyc_ale2__1,-5.0095125172,0.20948735500000001,0.191632509,0.302115623,0.20751341750000002,0.5725965515
ssw__xyl_ale1__1,-4.5913221739,0.125166975,0.368078151,-0.214788422,0.6638279405,0.0756614555
ssw__xyl_ale2__1,-2.7144070563,-0.22523246500000002,0.430075117,0.026451149,0.7180756455,-0.0253439305
ssw__xyl_ale3__1,-4.566872093,-0.522299721,-0.032960972000000005,-0.313835929,0.0155866465,-0.3214053655
ssw__glc_ac_ac2__1,-2.1590683219,0.171467045,0.8775486560000001,0.506935123,-0.0650589725,0.2500812255
ssw__glc_ac_glc1__1,-3.2713034511,0.336416765,-0.474772383,-0.42053636400000005,0.15644805550000002,-0.5140878895000001
ssw__glc_glyc_glc__1,-3.1601259988,0.527257035,0.030757539,0.565682133,-0.6604157435,-0.7389535915000001
ssw__glc_glyc_glyc__1,-3.3077351234,0.27466824500000003,-0.141775395,0.307042493,-0.4848049695,-0.3282083195
ssw__glc_xyl_glc__1,-6.9561463959,-0.35453504500000005,0.5339402830000001,0.029020072,-1.0689485045,-0.48230233450000004
ssw__glc_xyl_xyl__1,-2.975859987,-0.20853702500000001,0.08377153,-0.24384744700000002,-0.1473001975,-0.3761572855
ica__wt_glc__1,-1.5560898859,-1.114766093,-0.061878408,-0.021205165,-1.0944347995,-0.3288401735
ica__wt_glc__2,-1.5399599412,-1.198454692,-0.128401191,-0.013075078,-1.0374814145,-0.2298459905
ica__wt_glc__3,-1.3138587614000001,-0.531726669,0.18162740200000002,0.093050269,-0.4126744055,-0.1335046945
ica__wt_glc__4,-1.6105611652,-0.262344285,0.248907122,0.39985849300000004,-0.9117405855,-0.3478971115
ica__arg_sbt__1,1.231486886,-0.713059603,0.202924761,0.172960833,-1.1272620775,-0.11815284250000001
ica__arg_sbt__2,2.0686435283,-0.552746132,0.21404984100000002,0.493173503,-0.9977546505,-0.0305277525
ica__cytd_rib__1,3.8883707793999998,0.8413076650000001,2.510750616,0.503238653,-1.3222810835,0.47457973550000004
ica__cytd_rib__2,3.0998760277,0.716887895,2.531055996,0.486485123,-1.3623294975,0.36735209150000003
ica__gth__1,-0.6593161769,0.23464762500000003,1.198519576,-0.34473195700000003,-0.7612421035,-0.8516950065000001
ica__gth__2,-0.8903914965,0.036029945,1.214784426,-0.550939686,-0.4212367765,-0.7889611225000001
ica__leu_glcr__1,-0.5315873513,-0.38924391500000005,0.261485721,1.026079293,-0.8798838145000001,-0.5439973285
ica__leu_glcr__2,-0.6260924517,-0.49012625,0.251424062,0.9645909530000001,-0.9708519435,-0.42771834150000004
ica__met_glc__1,-1.584199226,-1.2518318019999999,-0.199984399,-0.0020434050000000003,-1.2719235315000001,-0.5987970785
ica__met_glc__2,-1.4093526352,-1.190588725,-0.27336614800000003,-0.06998529,-1.1967646895,-0.5193976305
ica__no3_anaero__1,0.1252210509,-0.11737177500000001,0.650216425,0.166015523,-0.7137129755,-0.3146283825
ica__no3_anaero__2,-0.2496050427,-0.23463296500000003,0.44755403200000005,0.165936663,-0.5249914695,-0.3560574165
ica__phe_acgam__1,-1.1658040191,-0.88716264,0.169901367,0.08710832,-0.9916363885,-0.1434673985
ica__phe_acgam__2,-1.376763294,-1.056596459,0.144579343,0.073714532,-0.9287097905,-0.0791374365
ica__thm_gal__1,3.5588704414,-0.164828625,0.895444466,0.419092283,-0.7994512345,0.22811886750000002
ica__thm_gal__2,3.2154031443,-0.156698685,0.9108855960000001,0.41257850300000004,-0.6257398905,0.2597582215
ica__tyr_glcn__1,-2.0244621826,-0.612021456,-0.14113408800000002,0.211699823,-0.9028750365,-0.2977201755
ica__tyr_glcn__2,-2.2825490062,-0.6368662970000001,-0.040525296,0.24928939300000003,-0.9201232425,-0.2693074865
ica__ura_pyr__1,0.4254536763,-0.315836855,0.08367163100000001,0.823666823,-0.9984738855,-0.25550746750000003
ica__ura_pyr__2,1.0364999424,-0.11250578500000001,0.19317804700000002,1.104333543,-0.7113233225000001,0.1375782835
ica__wt_glc__5,-2.5488252435,-0.197048255,0.13858604600000002,0.31050345300000004,-0.7699591695,0.040130148500000004
ica__wt_glc__6,-2.4554506247,-0.016725155000000002,0.18780670700000002,0.33765284300000004,-0.8279662345000001,0.0250361385
ica__bw_delpurR_cytd__1,-2.8486842221,-0.756265837,-0.051773211000000006,-0.141785767,-0.7382636965,0.0205400925
ica__bw_delpurR_cytd__2,-6.3943997506,-0.246303875,0.400081995,0.255483463,-0.5980744415,-0.1574850455
ica__ade_glc__1,-5.7519700456,-0.308254705,0.385302005,0.27079068300000003,-0.5758978435000001,-0.1759677155
ica__ade_glc__2,-2.6860832352,-0.753961313,-0.046425999999999995,-0.10748262700000001,-0.6456385385,-0.0996171145
ytf__wt_glc__1,-0.0108178276,0.048335155000000005,0.45113119700000004,0.340002173,-1.1499700845,-0.6737077895
ytf__wt_glc__2,0.4463344214,0.008906585,0.5947166890000001,0.487174103,-1.1560485195,-0.6055927765
ytf__delyafC__1,-1.5747272639,0.9312559250000001,1.316309596,0.518280163,-1.0971266335,0.13054956950000002
ytf__delyafC__2,-1.4585636186,0.8762793350000001,1.314921426,0.5586262230000001,-1.0879318085,-0.0921015085
ytf__delyeiE__1,-1.6007663281,0.374492025,0.602912816,0.452821843,-0.4467684565,0.14207658950000002
ytf__delyeiE__2,-1.0000117837,0.10842385500000001,0.47886219500000005,0.36938018300000003,-0.6882056745,0.0901582025
ytf__delyiaJ__1,-1.5408710662,0.8927779450000001,1.010078936,0.49007886300000003,-1.1884376075,-0.2099125755
ytf__delyiaJ__2,-1.324985667,0.9751252050000001,0.581776277,0.474334523,-1.1723256525,-0.4627617465
ytf__delyieP__1,-0.8257409514,0.41649266500000004,0.584642129,0.830611623,-0.5638351875000001,0.15975073850000002
ytf__delyieP__2,-0.23823024110000002,0.42112533500000005,0.38959575100000005,0.7498248230000001,-0.7275462695,0.0252895325
ytf__wt_ph5__1,-0.0115227544,0.077391735,0.916791876,0.39857596300000003,-0.7856554485,-0.2569162325
ytf__wt_ph5__2,-0.3880334401,0.130486615,0.9727493060000001,0.474739703,-0.8482153215,-0.2472585465
ytf__wt_ph8__1,-0.5358741974,0.172641955,0.40225860500000005,0.27564292300000004,-0.7506346115,-0.46788135750000004
ytf__wt_ph8__2,-0.6685420739,0.207431095,0.37994620900000003,0.268154863,-0.7187584735,-0.3931881025
ytf__delybaO__1,-1.3416623267,0.7855035850000001,1.101564286,0.582376183,-0.9569394275,0.3487492755
ytf__delybaO__2,-1.2504257395,0.670479245,0.9576076560000001,0.636744023,-0.7462333105000001,0.3502586885
ytf__delybaQ__1,-1.2020895008,-0.104676025,0.509436807,0.332940493,-0.7635107245,-0.1179309295
ytf__delybaQ__2,-1.092369333,-0.139979205,0.59530664,0.32368551300000004,-0.7614732075,-0.15625389750000002
ytf__delybiH__1,0.9884062544000001,0.183526605,0.31018813300000003,0.636331983,-1.5107741645,-1.0921259985
ytf__delybiH__2,0.7709625384000001,0.5048975450000001,0.597812501,0.554671843,-1.0511515675,-0.7620028185000001
ytf__delydcI_ph5__1,0.29060914060000004,-0.133531365,0.6471911260000001,0.36809995300000004,-0.6695972035000001,-0.1672907085
ytf__delydcI_ph5__2,-0.0104252094,-0.094717825,0.7488411960000001,0.422601483,-0.8224002195000001,-0.1853617155
ytf__delydcI_ph8__1,-0.4570271497,0.292940975,0.46656071800000004,0.363195763,-0.7892136895,-0.4265538595
ytf__delydcI_ph8__2,-0.6332000902,-0.073970795,0.209286083,0.30711134300000004,-0.9411306505,-0.4108135465
ytf__delyddM__1,0.6558018349,0.5608763050000001,1.057162046,0.8218948030000001,-0.5039225525000001,0.1275209545
ytf__delyddM__2,0.6443679774000001,0.493183935,1.017154226,0.832054603,-0.3457487335,0.1606258955
ytf__delyheO__1,-1.6339004077000001,0.7981991850000001,1.222256766,0.596168643,-1.1518777235,0.2242853965
ytf__delyheO__2,-1.4512241064,0.797997595,1.048374446,0.633656513,-1.0473338835,0.3255009585
fps__bw_glc__1,-0.4016312155,-0.593982416,0.012904309000000001,0.23073483300000003,-0.7484175235,-0.24882681750000002
fps__bw_glc__2,-0.849991783,-0.46387607100000006,-0.003799583,0.160408733,-1.1781631355,-0.2915858915
fps__fps_thrA_ale1__1,0.4532514737,0.250692175,0.941336296,0.33273120300000003,-1.1946307125,-0.0612522275
fps__fps_thrA_ale1__2,0.7334589778,0.117195875,0.8375840960000001,0.351625083,-1.1583110795,-0.1153842045
fps__fps_thrA_ale2__1,1.5185655036,-0.056704485000000006,0.5460123210000001,0.22966762300000002,-1.0476809775,-0.1519660425
fps__fps_thrA_ale2__2,1.6330826286,-0.07788523500000001,0.593318514,0.288967533,-1.0925615155,-0.1983438985
fps__fps_serB_ale1__1,2.1074679706,-0.053282165000000006,0.5135887640000001,0.263027813,-1.1228819515,0.0069847105000000005
fps__fps_serB_ale1__2,2.1537348132,-0.17460455500000002,0.48645864400000005,0.38965776300000005,-1.0289419345,0.0829141155
fps__fps_serB_ale4__1,4.4893686305,0.330804415,0.514392266,0.20591431300000002,-0.8185650155,-0.3300999335
fps__fps_serB_ale4__2,4.5377225492,0.34874165500000004,0.5490338840000001,0.360213693,-0.5326022695,-0.2279361055
fps__fps_ptsI_ale1__1,1.3132676747,0.18153876500000002,0.677961232,0.045779202000000005,-1.2421706115,-0.029749650500000002
fps__fps_ptsI_ale1__2,1.8046879929,0.07463568500000001,0.664224993,0.144864783,-1.0868772405,0.1353121075
fps__fps_ptsI_ale3__1,0.6803788831,-0.048072745,0.12885385700000002,0.252590313,-0.9817052745,0.1697747235
fps__fps_ptsI_ale3__2,0.9617545565000001,-0.084592575,0.213223601,0.223236343,-1.1273569595,0.1375632705
