,A,Fnr,flhD,NarL,ihfB,NarP,NsrR,Fis
cstr_pfr__pfr_P5_0010m__1,0.8736810749,-0.2344536919,-0.37075956600000004,0.012752025600000001,-0.3380115139,-0.2550913338,0.1458938308,0.0369889334
cstr_pfr__pfr_P5_0025m__1,0.41441868470000004,-0.0826404376,-0.8104292849,0.10650203870000001,-0.4061420535,-0.1311075348,0.2989504609,-0.09247393920000001
cstr_pfr__pfr_P3_0025m__1,0.7837391281,-0.0256008087,-0.0657926006,-0.1344711113,-0.36089320010000003,0.14130771920000001,0.0861961895,0.1868786475
cstr_pfr__pfr_P1_0025m__1,0.2068657626,0.0782023473,0.3628757613,-0.0234104083,-0.3537627923,0.17743747940000001,0.12131735810000001,0.3714230999
cstr_pfr__pfr_P5_0045m__1,0.5192836449,-0.061452792000000006,-0.4426259799,0.1155470234,-0.34136905160000003,-0.057823301800000004,0.4022938882,-0.0875288531
cstr_pfr__pfr_P5_0120m__1,0.6313639859,-0.1692250595,-0.3104208205,0.1907248333,-0.2991285242,-0.0317505469,0.26354042,-0.21486324180000002
cstr_pfr__pfr_P3_0120m__1,0.6846270103000001,-0.041461468200000004,0.5051977362,0.1370135902,-0.518906887,0.1251942997,0.050299581600000004,0.2156180856
cstr_pfr__pfr_P1_0120m__1,0.617383633,-0.1137485844,0.4171330754,0.1090688742,-0.0308626203,0.26510076720000003,0.4647606958,-0.0003861452
cstr_pfr__pfr_P5_0210m__1,1.3454491873,-0.0317671671,-0.3117686981,0.1568457091,-0.3128391911,-0.1720530951,0.2427176912,-0.3241287467
cstr_pfr__pfr_P5_1500m__1,0.3154868842,0.1322023543,0.10120147580000001,0.0821505596,-0.6247095729000001,-0.0124391129,0.052357450300000004,-0.1113040052
cstr_pfr__pfr_P3_1680m__1,0.8069693736,0.1073992975,0.4216950868,0.0617843458,-0.39696131430000003,0.149587399,0.1151215062,0.059424622100000005
cstr_pfr__pfr_P5_1680m__1,0.8380361785,0.1209936897,-0.1548017703,-0.0327660216,-0.5874492021000001,-0.039778609400000005,0.3353513174,-0.0612322287
cstr_pfr__pfr_P1_1680m__1,0.4555062452,0.0865760295,0.6177946981,0.0576043545,-0.4934994717,0.21853823020000002,-0.0362951953,0.1655727507
cstr_pfr__str_0005m__2,0.7915220909,0.0869610324,0.7865745518,-0.1018990825,-0.29955184300000004,0.0385683246,-0.0325070311,0.5265381162
cstr_pfr__str_0010m__2,0.45174058300000003,0.14327588460000001,0.8053423218,-0.1296229603,-0.3493445589,0.133444992,-0.063032883,0.7105019414
cstr_pfr__str_0025m__2,0.20991093160000002,0.2261574416,0.5029169254,-0.0031785693,-0.4939354536,0.0055746198000000005,-0.06682675440000001,0.5685124336
cstr_pfr__str_0045m__2,0.370011584,0.20080978970000002,0.6242900961,0.1120271981,-0.4346685737,-0.0632382838,-0.1532390039,0.4777084478
cstr_pfr__str_0075m__2,0.599476609,0.16720264440000002,0.595249131,0.1554664126,-0.49898345190000004,-0.0907422481,-0.0394048178,0.2742997667
cstr_pfr__str_0120m__2,0.3950440672,0.105850789,0.6809442082,0.0869716888,-0.4394335224,-0.0504231345,0.0180952521,0.226354881
cstr_pfr__str_0210m__2,0.4448441005,0.09419939840000001,0.7610391239000001,0.0395658513,-0.3779241423,0.0367858775,0.1341658357,0.1282664125
cstr_pfr__str_0330m__2,0.1708605842,0.1618353592,0.5955928106,0.1620586929,-0.43067581120000004,-0.1122138658,0.1191674464,0.09933768750000001
cstr_pfr__str_1500m__2,1.0811452591,0.16753480240000002,0.6995829433,0.0175127079,-0.4469418351,0.3046816305,0.2604516029,0.1111544077
cstr_pfr__str_1560m__2,0.08668889190000001,0.2065221516,0.6769945952,0.0092416341,-0.5305284609,0.2792592331,0.17308698320000002,0.1520757899
cstr_pfr__str_1680m__2,0.2873143027,0.16651981030000002,0.669946515,0.1139285237,-0.3726353283,0.121406262,0.08742960500000001,0.0853638337
cstr_pfr__str_ref1__2,0.16638175600000002,0.014069373100000001,0.0252230675,0.00043602200000000005,0.013629433100000001,-0.0273922406,-0.0861252247,-0.0166531259
cstr_pfr__str_ref2__2,0.4201773353,0.0089584777,-0.0688508609,0.0219017582,-0.1410483777,0.0892692825,-0.0809196405,0.0606862564
cstr_pfr__str_ref3__2,0.16894724930000002,-0.0235427967,-0.0319053948,-0.0127370664,-0.2992241516,-0.1444617365,-0.2039101559,0.10144661
cstr_pfr__pfr_P5_0005m__2,1.0395050449,-0.2587817019,-0.3050615162,-0.0649560279,-0.1919072104,-0.1364566775,0.2616309247,-0.1066968236
cstr_pfr__pfr_P5_0010m__2,1.2282576865000001,-0.24644766410000002,-0.15514011260000002,0.029570828700000003,-0.2106737712,-0.1192251817,0.2796994776,0.142671809
cstr_pfr__pfr_P5_0025m__2,0.9403760971,-0.09211287180000001,-0.2239203576,0.11365745490000001,-0.4396286763,-0.135827224,0.1718554789,0.1367928948
cstr_pfr__pfr_P3_0025m__2,0.6411315666,0.017315400800000002,0.4214717503,0.0553188192,-0.43113698440000003,0.08645501200000001,-0.21035440930000002,0.52037051
cstr_pfr__pfr_P1_0025m__2,0.055461830600000005,0.10647242130000001,0.6721166978,-0.030395658500000002,-0.5285459621,0.0480963514,-0.2656642671,0.5944288306000001
cstr_pfr__pfr_P5_0045m__2,0.9329239862,-0.0916118039,-0.1252875305,0.0906059725,-0.7789340456,-0.5091029222,0.8209072976,-0.30567362540000004
cstr_pfr__pfr_P5_0120m__2,0.8416625871000001,-0.0331110313,0.0406055782,0.1483538805,-0.47990665450000003,-0.2299007753,0.3227060141,-0.049653716
cstr_pfr__pfr_P3_0120m__2,0.7063620249,-0.0461462572,0.528919129,0.10071487820000001,-0.40638696950000003,-0.097868413,-0.025773641400000002,0.2289279667
cstr_pfr__pfr_P1_0120m__2,0.33642064580000003,0.1472780603,0.7251384332,0.20215588180000002,-0.4920680422,-0.13331486280000002,-0.09550898370000001,0.3062890209
cstr_pfr__pfr_P5_0210m__2,1.5879005231,-0.0815733439,0.00019444970000000002,-0.08376810380000001,-0.2794220631,0.4240773479,0.3676751144,-0.1641562449
cstr_pfr__pfr_P5_1500m__2,0.7887046793,0.1628644928,0.1442355921,0.0862120646,-0.6138260592,-0.0968021153,0.0591632147,-0.0834540627
cstr_pfr__pfr_P3_1680m__2,0.5069339868,0.0778987927,0.0104342788,0.0241249348,-0.5289399786,-0.062453081800000004,0.2982852596,-0.11396918040000001
cstr_pfr__pfr_P5_1680m__2,0.47904122600000004,0.0352389719,0.5410979689000001,0.0850111279,-0.45414213950000004,0.2683128032,0.2162180111,0.0618995564
cstr_pfr__pfr_P1_1680m__2,0.5202163264,0.0666002566,0.7609544561,0.060204776200000004,-0.48781659310000003,0.036632949000000005,0.0044017851000000005,0.0997404394
darobactin__daro_30m__1,0.0085872658,-0.21927705500000003,1.1983126512,0.7284092859,0.172211879,0.9871667178,0.3814607164,-0.40148430150000003
darobactin__daro_30m__2,-0.115172487,0.0068389657000000005,1.2796409945,0.4246301596,0.2852446293,0.7514377199000001,0.1471397895,0.1344392673
darobactin__solv_1h__1,2.1177353294,-0.39919583750000004,1.0055468561,1.0373981939,-0.034085819600000004,-0.1706782725,0.1397730943,-1.5103430657999999
darobactin__solv_1h__2,0.8062614295,-0.15292812990000001,1.8169164696000002,1.2576795023,0.0714393256,0.16082470840000002,-0.0746941759,-1.3614163122
darobactin__daro_1h__1,-0.5220896197,-0.5413516662,0.6019301198,1.4009456965,0.7262429691000001,1.3208998759,-0.2542391988,-0.8391686561
darobactin__solv_1h__3,-1.4095199763,-0.5255719177,0.3289789556,1.2853268692,-0.54570419,-0.6762528471,0.2838140415,-1.6092606401
darobactin__daro_1h__2,-0.49027780320000003,-0.4380107324,1.21479826,1.3244833698,0.2129508923,0.7661344433,-0.0796210542,-1.0707844469
darobactin__daro_1h__3,0.4775551132,-0.6924116879000001,0.9417218412,1.3857240534,0.14178574160000001,0.8678561977,-0.09417184120000001,-1.4302093213
darobactin__daro_30m__3,-0.3562257881,-0.023623925,1.082075994,0.7652728165,0.2678849863,0.6723792165,0.0507603598,-0.4504878827
darobactin__solv_30m__1,-0.49586206310000003,-0.2769247087,1.3355452349,0.500861994,-0.0398567252,0.7422985984,0.47977481730000004,0.1964987598
darobactin__solv_15m__1,-0.7074014601,0.022569228400000002,0.082218841,-0.3044582545,-0.011565161000000001,-0.19117541570000002,0.3473824541,0.06597989230000001
darobactin__solv_15m__2,1.0149919829,-0.0149231714,-0.0267733507,0.30226830450000003,-0.0110295462,0.2309709237,-0.21331106130000002,0.0713297845
darobactin__daro_15m__1,-2.8475030422,-0.059067987700000005,-0.6681189827,0.1665464679,0.14964342960000002,0.18920579580000002,-0.4846666383,-0.2348329657
darobactin__solv_15m__3,-0.30759052270000004,-0.007646057,-0.055445490300000004,0.00218995,0.0225947072,-0.039795508,-0.1340713928,-0.1373096768
darobactin__daro_15m__2,-0.9185641667000001,-0.3998425611,-0.6006347697000001,0.1625546682,0.1396423013,-0.1756016257,-0.3938400214,-0.1987746408
darobactin__daro_15m__3,0.1572498517,-0.2961707172,-0.21012570400000002,-0.0420865568,0.6544630542000001,0.1044404515,0.8986640862,-0.1041404887
darobactin__solv_30m__2,-0.9398275902000001,-0.0197029371,0.2596913435,0.2689682221,-0.312079486,0.38981051510000003,-0.4239771277,0.1079538777
darobactin__solv_30m__3,-1.2609055999,-0.2057315476,0.715174627,0.382244295,-0.4423228079,0.8594948432,-0.1056407256,-0.15648901070000001
ddp__pNT3_aroP__1,0.16456344080000002,0.0648785776,0.8459700075000001,0.5979051968,0.1266565106,0.1567471745,0.6041303341,-0.6239197979000001
ddp__pNT3_aroP__2,0.9773244894,0.1318960147,0.9456110724000001,-0.0199559407,-0.19509359999999998,-0.283822124,0.49387613,-0.2297412021
ddp__pNT3_bamC__1,0.4414116991,-0.18930506100000002,2.2899728562,1.2818083355,-0.5672458622000001,-0.30049329820000004,-0.7777426957,3.0231784308
ddp__pNT3_bamC__2,0.8361689525,0.048734282000000004,2.0731044015,1.0522916616,-1.1369997208,-0.6502364096000001,-0.7883138616,2.3202658635
ddp__pNT3_cusA__1,0.0731890649,-0.1222527779,2.0611327544,1.0320046949,-1.1653131053,0.0927653427,-0.6361934935,3.585583478
ddp__pNT3_cusA__2,-0.0910983539,0.2651479138,1.8078981024,0.7609959868,-1.834437337,-0.0896525383,-0.4492528737,3.4521562427
ddp__pNT3_hemX__1,0.4617887594,-0.18178306500000002,0.7772524248,0.5856344474,-0.3100348107,-0.09763270760000001,-0.5938069768,2.2410353148
ddp__pNT3_hemX__2,0.9056550525,-0.0481881923,0.8775333473,0.2921182026,-0.3205994297,-0.1619953418,-0.1997714102,1.879845411
ddp__pNT3_empty__1,-0.34521226860000004,0.0035004484000000003,0.1094791516,0.0626236352,-0.0232892471,0.040359769600000005,0.07365259290000001,-0.2336929399
ddp__pNT3_empty__2,0.34521226860000004,-0.0035004484000000003,-0.1094791516,-0.0626236352,0.0232892471,-0.040359769600000005,-0.07365259290000001,0.2336929399
ddp__pNT3_topA__1,0.24744512070000002,0.2884841145,0.3648641044,0.5306601487,-0.9207812597,-0.3143547218,-0.6223455817,2.4965166696
ddp__pNT3_topA__2,-0.0032067942000000003,0.6061379563,0.5144848752,0.0063539721,-1.3071923027,-0.6187415562,-0.3486269543,3.1856201873
ddp__pNT3_yicR__1,0.4086355942,-0.6059054221,1.7045687863999999,0.25629960960000003,-0.45955464420000003,-0.2700885068,-0.4517572509,2.4701123107000003
ddp__pNT3_yicR__2,0.0893466668,-0.4301566023,1.6085133595999999,-0.2211240432,-0.7959901979,-0.39152739540000003,-0.0645055345,2.3050675208999998
ddp__pNT3_yqjD__1,-0.0712961156,-0.2255559323,0.962705735,0.7782545998,0.4344459372,0.3352563744,0.1256955665,0.7332346591000001
ddp__pNT3_yqjD__2,0.0305853732,-0.1661942998,1.0426865592,0.4418493845,0.3504806305,-0.09472025810000001,-0.044847679200000004,0.8660502453000001
ecomics__del_gabT__1,-2.8149421974,0.0654297724,-0.0023146620000000003,-0.2558356651,-0.0056595274,-0.17576158050000001,0.37171365640000004,-0.20326393040000001
ecomics__del_gabT__2,2.8149421974,-0.0654297724,0.0023146620000000003,0.2558356651,0.0056595274,0.17576158050000001,-0.37171365640000004,0.20326393040000001
ecomics__del_putP__1,0.47911559680000004,0.0394489063,-0.5655934254,0.0252704775,0.062111151,-0.0913590397,0.2516250107,-0.0825427549
ecomics__del_putP__2,-1.105666772,0.2651847274,-0.6554359822,0.0533145967,-0.1246500822,-0.3845829965,-0.0502091652,0.0336603295
ecomics__del_entF__1,2.0158577291,-0.1274267449,2.5064163125,0.35173000730000004,-0.32022293760000003,1.0401780122,-0.1949248896,1.5476896820000001
ecomics__del_entF__2,-1.7756721886,-0.0156335277,-0.1308820537,0.187345971,-0.18921608780000002,0.6361260588000001,-0.5609236446,0.4018239786
ecomics__del_entF__3,0.46517952290000003,-0.0681908374,1.4977573305,0.3538666499,-0.0718275669,0.5560934693,0.09681794490000001,0.5858999062
ecomics__del_cysA__1,2.794396196,-0.3039509496,2.1285998607,0.8789809757,0.0014180174,1.1036989155,-0.1545319467,1.4248384284
ecomics__del_cysA__2,1.5167103026,-0.18626809560000002,1.5084310508,0.7735650338000001,-0.0314311242,1.1473892754,-0.4828409323,1.1984242662
elyC__wt_21C__1,0.3284785092,-0.0019092608000000001,0.9587254089,-0.17239399390000001,0.25078108450000003,-0.2579833125,0.5811406851,0.3771354375
elyC__wt_21C__2,0.1513941147,0.0184901467,1.0692614583,-0.039473231000000004,0.3183754319,-0.3815933832,-0.49473832110000004,0.509388119
elyC__wt_21C__3,-0.3196310685,0.0880267361,0.9453102423,-0.16596388850000002,0.301183598,-0.4714856075,0.2062965279,0.48062607100000004
elyC__wt_37C__1,0.08964761260000001,0.0063945471,0.0520437959,0.15780662110000002,0.0474008011,0.1571588063,-0.2945547429,0.1394315285
elyC__wt_37C__2,-0.0297742858,-0.0357761938,0.035529673500000004,-0.0722310566,-0.0484154558,-0.2105147174,-0.0163629034,-0.1542708204
elyC__wt_37C__3,-0.0598733268,0.0293816467,-0.0875734694,-0.0855755645,0.0010146547,0.0533559111,0.3109176462,0.0148392919
elyC__delelyC_21C__1,0.3567200418,0.0098731567,0.6380236914,-0.1654629797,0.3186137509,-0.3765587408,0.10365957290000001,0.49311404880000004
elyC__delelyC_21C__2,0.4447162562,-0.1897870955,0.2720395288,-0.258966122,0.30219993900000003,-0.311102696,-0.10364524130000001,0.3537705665
elyC__delelyC_21C__3,0.3642680498,-0.0409235603,0.7190709664,-0.20104031860000002,0.2917894999,-0.3788739786,0.0038747471,0.4754753548
elyC__delelyC_37C__1,-0.07619762320000001,-0.0254851513,0.0691139909,-0.0865105382,0.09051329500000001,0.26746768390000003,0.1136798227,-0.07399847500000001
elyC__delelyC_37C__2,-0.1651129811,0.0355440585,0.0156791363,0.07553486050000001,0.1174934251,0.2956056328,0.5138517716000001,0.023794240600000002
elyC__delelyC_37C__3,-0.3377149788,0.0057575253,0.0451378189,0.061852098800000005,0.11349563530000001,0.4223045596,0.1934066582,0.051536903700000004
evo_acid_w__F9_2__1,-0.0967194846,-7.3552758056,-1.1918849051,-0.0888399111,1.2565419311000001,-0.1344019484,-0.18613088390000002,-0.5093630551
evo_acid_w__F11_1__1,-1.5371930251,0.7139563072,0.154507897,0.7065790823,-0.8093952846,1.8704860046,1.3296898836,1.0448240257
evo_acid_w__F11_1__2,-1.6653787231,0.9185294265,0.3780809775,0.7386335782,-0.5522377374,1.2585676727,0.8250562817,1.3949710003
evo_acid_w__F11_1__3,-1.2787484169,0.7798311562,0.1079170888,0.8138956489,-0.2151484244,1.4210610885000001,1.0979316284,1.0738428079
evo_acid_w__wt__1,-0.3359484988,0.0845328856,0.21043858310000002,-0.0839775374,-0.1374971984,0.4343523409,0.226624344,0.6279534183000001
evo_acid_w__F11_2__1,-0.7328128171,0.196271321,-0.1660464283,0.7062556104000001,0.2263643548,2.159065596,0.6615675415000001,-0.3132555821
evo_acid_w__B11_2__1,-1.2109352202,-0.21254939720000002,0.0053498756,0.6953554794,0.1338611287,1.4501015635,-0.1022161122,-0.5439089850000001
evo_acid_w__F11_2__2,-0.2626695338,0.45666608210000004,0.0263251549,1.6437094670999999,0.2189045622,1.8606589863,0.5892355341000001,0.17956962810000002
evo_acid_w__wt__2,-0.644344286,0.0023046192,0.8326513680000001,-0.043374079,-0.7429114568,1.0414799579,0.1982315771,0.7840393394
evo_acid_w__B11_1__1,0.6016638564,0.030882746500000002,0.8009660270000001,0.3553058173,0.0881715998,0.4118579717,0.0028042708,-0.7293389396000001
evo_acid_w__H9_1__1,-2.3855171464,0.9365946801,-1.0264547518,-0.3280518362,-0.8041098849,-0.479922822,2.0893148108,1.7779188062
evo_acid_w__H9_2__1,-0.8900048624,0.39447972600000003,0.1127490341,0.4331012071,0.7958109651,1.0554273252,0.8993496320000001,0.8633148513000001
evo_acid_w__B11_2__2,-0.8338556236,-0.2747681118,-0.13830729860000002,0.6206496690000001,-0.0253147293,1.3666384043,-0.1517816146,-1.0434970141
evo_acid_w__wt__3,-0.383843617,0.1197434681,0.9574953462,-0.29263095580000004,-0.5291315211000001,2.2017455388,1.1160385506,0.0930653412
evo_acid_w__H9_2__2,-0.7478593353,0.4314267907,0.1312931761,0.5051565148,0.861613673,1.2060458719,0.7674001576,0.8914924555
evo_acid_w__B11_2__3,-1.2151031351000001,-0.2345901954,-0.0524150519,0.6962143766000001,0.0989163598,1.540690969,0.0526044036,-1.0738210716
evo_acid_w__F11_2__3,-0.23167749640000002,0.456708999,-0.2824768998,1.6755633808,0.1265679443,1.9729553553999999,0.9155406418,-0.2266908223
evo_acid_w__F9_2__2,-0.5442633706000001,-7.8525940196,-0.9371368422,0.1400424825,1.226954437,-0.8518439793,-0.48623510950000004,-0.6093413027
evo_acid_w__wt__4,0.6953059207000001,0.2973060844,-0.1596406363,0.6123452586,0.9211761875000001,-0.5677582922000001,-0.6348230281,0.40157637690000003
evo_acid_w__wt__5,0.0715551581,0.3124097697,-0.10359187060000001,0.7063927401,0.9600903644000001,-0.3705456193,-0.39634687550000003,0.3272748216
evo_acid_w__wt__6,-0.1567377498,-0.1751172912,-0.3854854623,-0.4659502613,-0.823212393,-0.9231565988,-0.0243333793,-1.0786827828
evo_acid_w__H9_1__2,-2.2122697683,0.9036193136,-1.0508038201,-0.38384030410000003,-0.6308114248000001,-0.2842164529,2.1109008771,1.9312242163
evo_acid_w__F9_1__1,-1.2069264154,-7.5369515417,0.0422786748,-0.1033873485,-0.1923440525,0.3603594959,0.6276319538,0.3365615109
evo_acid_w__F9_1__2,-1.2203269945,-7.0361766568,-0.1660793317,-0.010538875100000001,-6.0176e-05,0.1681802355,0.6713501013000001,-0.0320332964
evo_acid_w__B11_1__2,0.3083090939,-0.0131986588,0.6921049122,0.5218018408,0.1408796672,1.5041161454,0.8523983725000001,-0.2880409691
evo_acid_w__H9_2__3,-0.6406301567,0.1964461357,0.3344350427,0.6081714487000001,0.8741056694,1.1560854842000001,0.34039324060000004,0.7264883133000001
evo_acid_w__wt__7,0.7930759026,0.1707039968,-0.1058811254,0.0180629813,0.7605394983,-0.7069637105000001,-0.7414122944,0.39649041
evo_acid_w__F9_1__3,-1.6833068230000001,-7.7499151628,0.1196475684,0.046942355500000005,-0.0228632045,0.1820430585,0.5710750695,0.1565363276
evo_acid_w__F9_2__3,-0.2453626444,-7.0926670476,-1.1842234076,-0.0829499602,1.3315944608999999,-0.4959411768,-0.2991907797,-0.47432717080000003
evo_acid_w__wt__8,0.344949369,-0.22741367480000002,-0.2773088009,-0.2819431939,-0.4763504617,-1.0391004758,-0.3047897093,-0.5565783599
evo_acid_w__B11_1__3,0.7439289093,-0.0619256138,0.7093827666,0.5324068082,0.2004499127,1.2074997116,-0.0124013403,-0.3943179129
evo_acid_w__wt__9,-0.38401219880000004,-0.5844698577,-0.9686774018000001,-0.16892495270000002,0.0672969808,-0.0700531412,0.5608108149000001,-0.9951385649000001
evo_bz__c3_1_bz__1,-3.0242483391,1.2617788521,-0.0284297661,0.5762343186000001,0.2288210901,-1.636535397,0.5942359564,0.1932521797
evo_bz__c3_1_bz__2,0.0987173419,0.013602002200000001,-1.3660976772,1.2983206766,0.6101915694,-1.8972790812,-0.1245315766,-0.11367726040000001
evo_bz__c3_1_bz__3,0.1614220966,-0.011886655900000001,-1.4339984764,0.7465112118,0.576618225,-1.1837751168,-0.030172697300000002,-0.055300474200000005
evo_bz__c3_1_bz__4,0.2844364257,0.0928465604,-1.4205533402000001,0.8942923287000001,0.6110947582,-1.4006546721,-0.1644923222,-0.050601478500000005
evo_bz__g5_1_bz__1,-1.1009592266000001,1.4522089644,0.9551103385,0.25686588790000003,0.5652189377,-1.0994469099,-0.0460913751,1.0977452562
evo_bz__g5_1_bz__2,-0.1079451709,1.4799556311,0.1613517479,0.5486288687,-0.2131127912,-0.7153965995,0.33003308470000003,1.6067169379
evo_bz__g5_1_bz__3,-1.1883317324,1.2878835212,0.7458477271,0.3260326055,0.46224616560000004,-0.3340174602,0.36457337360000003,1.2337849475
evo_bz__g5_1_bz__4,0.5127559622,0.5038059594000001,-0.7308477366,0.7897283174,0.5648670378,-0.5475833447,0.8098357931,0.6487535925
evo_bz__g5_1_bz__5,0.1145832697,0.360903352,-0.84253698,0.49558195120000004,0.2495908246,-0.6943970726,0.7305692998000001,0.4313845094
evo_bz__g5_1_bz__6,0.1450183195,0.5015165093,-0.6061290140000001,0.4566782632,0.25883636260000004,-0.36254436760000003,0.7761694088000001,0.5314377797000001
evo_bz__w3110d13__1,0.46741153700000004,-0.2848580515,0.9044393439,0.1724557368,-0.3371452922,-0.5125855479,-0.846044458,-0.090826216
evo_bz__w3110d13__2,0.6864815931,-0.061697307900000005,0.4122239176,-0.030635029900000003,-0.4144919876,-0.2738784492,-0.372385242,-0.2275090176
evo_bz__w3110d13__3,-0.6410462099,0.1678169173,-0.6486220786,-0.0722359716,0.0859386959,0.1632059475,0.31248325730000004,0.1507807058
evo_bz__w3110d13__4,0.3037901631,-0.3500729039,0.6113660652,0.0013491506000000001,-0.5315682872,-0.0999277088,-0.5445018444,0.26904184870000003
evo_bz__w3110d13__5,-0.9247471913,0.2581440398,-0.9110849409,-0.26139924600000003,0.6184017657,0.38275978590000004,0.7902117197,-0.3688713026
evo_bz__w3110d13__6,0.10811010800000001,0.2706673062,-0.36832230720000003,0.19046536020000002,0.5788651053,0.3404259725,0.6602365674,0.2673839818
evo_bz__w3110d13_bz__1,0.4677219024,0.4075951256,0.4554868322,0.7234735221,-0.5625498558,-1.4657015157,-0.4581856702,0.0702495348
evo_bz__w3110d13_bz__2,-0.4914361293,0.4723477928,0.6281405172,0.8461263958,-0.31589760570000003,-2.0010544501,-0.9147130480000001,0.4987004956
evo_bz__w3110d13_bz__3,0.7697359333,0.0966315491,-1.2418591064,0.9141561881,1.1900981018,-1.3832379776,0.3016565095,-0.31829052350000003
evo_bz__w3110d13_bz__4,0.3637429327,0.4559032226,0.4261007157,0.664258193,-0.2427241886,-1.532095044,-0.4771605546,0.1930835283
evo_bz__c3_1_bz__5,-3.2985688219,1.3849591353,-0.153884866,0.7452993698,0.9276404627,-1.8024552306000001,0.6670545027,-0.0603150774
evo_bz__c3_1_bz__6,-2.8963720598,1.4019401177,0.1976208807,0.5785401985,0.0796417516,-1.9927816739000002,0.5258201787,0.030817823100000002
evo_bz__g5_2_bz__1,-0.086269183,0.032233089300000003,-2.2101255307,0.4802957195,0.2109846849,-1.007265906,0.0404710001,0.0996390431
evo_bz__g5_2_bz__2,0.004083046700000001,-0.0453090219,-1.9840241203,0.49381386400000005,0.23533751830000002,-0.5476771832,0.4809443243,-0.2768246876
evo_bz__g5_2_bz__3,0.3034657993,0.0014162464,-1.9105304851,0.5898432175,0.21035469750000002,-0.7514221903,0.5929344308,-0.6500033339
evo_bz__g5_2_bz__4,0.3213280818,0.2852736966,-0.4391662283,0.9554701996,0.351986183,-1.7137459561,0.2205234492,-0.3410497646
evo_bz__g5_2_bz__5,0.6664144398,0.2818975743,-0.36651836800000004,0.7713469477,0.13782204180000002,-1.6212636189,0.19868631080000002,-0.4108510732
evo_bz__g5_2_bz__6,-0.5022739182,0.9043918405,-0.1654303665,0.657317507,0.2137416066,-1.4145132440000001,0.3460095168,-0.0331066877
evo_bz__w3110d13_bz__5,0.7499893343,0.2892210988,-1.1208830578,0.8135768659,1.1509351128,-1.3674921518,0.6801877376000001,-0.5176073027
evo_bz__w3110d13_bz__6,0.42321283660000003,0.2841031,-1.15724639,0.8840772914,1.210246552,-1.4677593481,0.256258072,0.0390048894
evo_bz__a1_1_bz__1,-0.2118973093,-0.4692650607,-0.8672609489,0.2345764287,0.9463787208000001,-2.0805516963,0.9574061164000001,-1.8786517409
evo_bz__a1_1_bz__2,-0.458874104,0.359532976,0.1372676591,0.6899307175,0.6894988855,-1.0165328679,0.41967742750000003,0.5361451732
evo_bz__a1_1_bz__3,-0.3627207403,1.0300605526,0.10684434370000001,0.4485482959,1.0535282181,0.4137341713,0.7450621015000001,1.3088622026
evo_bz__a1_1_bz__4,0.1367103562,0.06453909170000001,0.208842662,0.478671245,-0.1420939679,-0.228545607,0.6690197444,0.2024257022
evo_bz__a1_1_bz__5,-0.5473150064,1.0883072748,0.3652264556,0.1767654194,0.9057751446000001,0.7617366428,0.6068164872,1.8037451479
evo_bz__a1_1_bz__6,-0.0053094337,0.9656259972000001,0.0654738448,0.4141056352,1.1254304514,0.5905102694000001,0.9646037935,1.2205659637
evo_metab__wt__1,-0.1458212463,0.1288576417,-1.2299549302,0.3706986647,1.4426827544,-0.022696146400000002,0.24788255050000002,-1.6493450053
evo_metab__del_zwf__1,0.2789689396,-0.0383819357,-1.1008956354,0.39092617890000003,0.6087812218,-0.197169858,0.5065051705,-0.7442162344000001
evo_metab__zwf_ale1__1,-0.0829504352,0.1318576497,-0.6571667330000001,0.5842403459000001,1.453697321,0.1097569092,0.4339218985,-0.6383483829000001
evo_metab__zwf_ale2__1,-0.4847727639,0.019056687000000003,-0.1505723588,0.5959497501000001,1.5126676941000001,0.037858136800000004,-0.1210040971,0.28114724700000004
evo_metab__del_ppk__1,-0.3026992021,-0.0419896674,0.2212068878,-0.8026795525,1.1758653763,-0.7772977034,-1.0880271917,0.2732446559
evo_metab__ppk_ale1__1,0.1730179964,0.23862317660000001,-0.23085766130000002,-1.1079643948,0.7068659902000001,-0.5276708831,-0.35129095860000004,1.0259451355
evo_metab__ppk_ale2__1,0.1156220631,0.1611058857,-0.059246150600000005,0.7774519143,2.7404168595,0.35358751250000003,0.15466836650000002,-0.9024142098
evo_metab__ppk_ale3__1,-0.42756456860000003,0.4581252995,-0.7637277876,0.3939165264,1.4055007212000001,0.4980028863,0.2143145273,-0.652088098
evo_metab__del_dapF__1,-1.1786121705000001,0.3172238424,-1.2146256916,0.243656734,1.5731943474999999,-0.1618089996,-0.1941829478,-2.1722072706
evo_metab__dapF_ale1__1,-0.7765202166,0.1383090976,-1.4020761947,0.5492736877000001,1.3286870738,0.022543798900000002,0.0311051354,-1.6052180138
evo_metab__dapF_ale3__1,0.2070350738,-0.3716839181,-0.3125109274,-0.7256898118,-0.5334557359000001,-0.7717061212,-0.2017862401,0.3620233339
evo_metab__del_entC__1,0.2561363722,-0.2415756215,1.5700668,-0.1402465632,1.0691534304,-0.6368249217,-0.9620841701,-0.49893765240000004
evo_metab__entC_ale1__1,0.2934948924,-0.15906388330000001,1.8096862433,-0.3618465671,-0.2272644741,-0.9245576052000001,-0.2567550563,0.5466123304
evo_metab__entC_ale2__1,-0.0528715955,0.007812727200000001,-0.11740627020000001,0.6184222671,1.2407535673,0.1568959154,0.9167437927000001,-1.2977643723
