,A,SgrR,ComR,flhD
nac_ntrc__wt_gln__1,1.4481458647,0.306398537,0.8058148900000001,-0.287646832
nac_ntrc__wt_gln__2,1.3630976099,0.230416595,0.860661874,-0.7679582970000001
nac_ntrc__bw_delnac_csn__1,-0.18639796520000002,0.061841244000000004,1.417583051,-1.114148526
nac_ntrc__bw_delnac_csn__2,0.0568526678,0.15133753,1.391589129,-1.174369788
nac_ntrc__bw_delnac_cytd__1,0.5451149788,-0.031429517000000004,0.12207369900000001,0.113220678
nac_ntrc__bw_delnac_cytd__2,0.43686282330000004,-0.044694769,0.190055887,-0.35367678900000005
nac_ntrc__bw_delnac_gln__1,0.9747855950000001,-0.24059871,0.23354165000000002,-0.24886122600000002
nac_ntrc__bw_delnac_gln__2,1.0256070949,-0.19272164300000003,0.5326235180000001,-0.274518048
nac_ntrc__bw_delnac_nh4__1,0.0285708275,0.089289583,-0.21125375700000001,1.615777079
nac_ntrc__bw_delnac_nh4__2,0.40908446400000004,0.002035855,-0.350483831,1.541546205
misc__wt_no_te__1,0.7409467819000001,-0.040086571,0.025233858,-0.731129448
misc__wt_no_te__2,0.4638051522,0.09743805400000001,0.15060804600000002,-0.445726506
misc__bw_delcbl__1,-1.5432362891,0.10004471300000001,-0.023483783,0.296964724
misc__bw_delcbl__2,-0.9045094038,0.196483019,0.20271570800000002,0.174066895
misc__bw_delfabr__1,-0.6613080598000001,0.061193620000000004,0.5789115890000001,2.249422247
misc__bw_delfabr__2,-0.3630038245,0.048757261,0.590823557,2.202174337
misc__bw_delfadr__1,-0.5491040403,0.001257665,0.11464412800000001,1.071501677
misc__bw_delfadr__2,-0.5977517049000001,-0.157399071,0.002487298,1.091158002
misc__nitr_031__1,0.349408302,0.223620697,0.37869310500000003,-0.5800470750000001
omics__wt_glu__1,0.1627299755,0.40275102300000004,0.9617004750000001,-0.153124544
omics__wt_glu__2,0.6081833347,0.458756706,1.096688203,-0.28167442600000003
omics__wt_gly__1,-0.1332089728,0.27838439800000003,0.280434613,-0.229133585
omics__wt_gly__2,0.0096969204,0.12167175100000001,0.198966828,-0.049074383000000006
omics__wt_thr__1,1.775502505,0.9592829420000001,0.9294294580000001,-0.06289704
omics__wt_thr__2,2.0321286355,0.9660485990000001,1.170457546,-0.023168447
omics__bw_ac__1,4.4309676697,-0.155397686,0.87261067,0.7029883920000001
omics__bw_ac__2,3.9759609511000003,-0.347334134,0.675127174,1.087496802
omics__bw_fum__1,3.3180472336,-0.226064587,0.513935244,0.920113316
omics__bw_fum__2,3.7177482225,-0.198974485,0.445632776,0.887568515
omics__bw_glc__1,3.8072372651,-0.060691583,0.474857173,0.509963614
omics__bw_glc__2,3.4849576328,0.032289016000000004,0.466270785,0.142197096
omics__bw_pyr__1,3.4561862529000003,-0.121804593,0.6466604840000001,0.759018077
omics__bw_pyr__2,3.3595291708,-0.212577118,0.6847710720000001,0.888819797
ompr__wt_nacl__1,2.9546845291,-0.11526004100000001,0.282517996,-1.39192601
ompr__wt_nacl__2,2.6032210996,0.060797758,0.111908038,-2.051410534
ompr__bw_delompr_nacl__1,3.3072171708,-0.12488375300000001,-0.073868917,-3.2615163640000002
ompr__bw_delompr_nacl__2,3.2438343363,-0.18972175300000002,0.001125378,-2.303239407
minspan__wt_ade__1,0.0406700147,-0.52174339,0.063465456,1.456916161
minspan__wt_glc__2,1.7351618134,-0.575547908,0.282723559,2.057132309
minspan__wt_glc__3,1.8427455109,-0.7234786740000001,0.46476142400000003,2.290942062
minspan__wt_glc__4,1.5947404437000001,-0.5760724190000001,0.271023157,2.142775065
minspan__wt_glc_anaero__1,1.8273043459,0.32034908,0.46547896400000005,2.16048183
minspan__wt_glc_anaero__2,-0.3358188065,0.629863375,0.7400868380000001,1.96922437
minspan__wt_trp__1,2.8256144286,-0.281912773,0.198955224,2.513728258
minspan__bw_delcra_glc__2,1.6682946666,-0.203389425,-0.48050567600000005,1.111017702
minspan__bw_delcra_trp__1,1.4803534195,-0.33340246900000003,-0.798783016,1.534987427
minspan__bw_delmntr__1,2.2321988867,-0.164014463,1.2062678070000001,2.815457202
minspan__bw_delnac_ade__1,1.1259345831,-0.8870327960000001,-0.438433899,1.17973262
minspan__bw_delnac_glc__1,1.2811081135,-0.716230879,-0.011621916000000001,1.8793220970000002
cra_crp__wt_ac__1,-0.3462068387,0.006813428000000001,0.860172538,0.781585265
cra_crp__wt_ac__2,0.1464757934,-0.08982049,0.907637813,0.5945523030000001
cra_crp__wt_fru__1,0.4177300886,0.272904919,0.688968562,0.808830315
cra_crp__wt_fru__2,0.2971435187,0.134696865,0.8801872820000001,0.8181565150000001
cra_crp__delcra_ac__1,-0.8458086587,-0.34661739700000005,0.5398866999999999,0.253090647
cra_crp__delcra_ac__2,-0.7465907122000001,-0.221061998,0.610178634,0.21494110400000002
cra_crp__delcra_fru__1,-0.1739376807,-0.04068756,0.211314782,-0.966138084
cra_crp__delcra_fru__2,-0.45562078780000004,-0.02362549,0.239847885,-1.084932887
cra_crp__delcra_glc__1,0.6338699734000001,-0.027915221,-0.043709054000000004,-0.35500254400000003
cra_crp__delcra_glc__2,1.0125528479,-0.09699892800000001,-0.093565649,-0.351496603
rpoB__wt_031__1,0.47631024860000004,0.101818851,-0.176184905,0.5000578760000001
rpoB__wt_044__1,0.3052262671,0.09972151500000001,0.121444434,-0.021210687000000002
rpoB__wt_lb__1,4.8766926941,-0.34744213700000004,-0.07987725500000001,-0.695450046
rpoB__wt_lb__2,4.4869606706,-0.35621019800000003,-0.342483525,-0.707259162
rpoB__rpoBE546V_031__1,1.2719344137,-0.079708975,-0.16973633500000002,-0.32673598400000003
rpoB__rpoBE546V_044__1,0.8247332244000001,0.068861322,0.366496682,0.36384229
rpoB__rpoBE546V_lb__1,3.3589219166,0.098430134,0.027259965,-1.043133153
rpoB__rpoBE546V_lb__2,3.254966758,0.10258555100000001,0.27098118400000004,-0.762233056
rpoB__rpoBE546V_glc__1,0.472953212,0.070112848,-0.499226989,-0.26938833700000003
rpoB__rpoBE672K_glc__1,-0.716430957,-0.558695857,-0.583081309,-0.900076388
rpoB__rpoBE672K_glc__2,-0.8134360332,-0.50443006,-0.722493025,-0.8111437810000001
rpoB__rpoBE672K_lb__1,2.9726915259,-0.241825531,-0.31902455700000004,-0.7128539580000001
rpoB__rpoBE672K_lb__2,1.3629475276,-0.23852082600000002,-0.42141783,-0.532445375
crp__wt_fru__1,0.455061965,-0.698966493,0.034952469,0.864345015
crp__wt_glyc__1,0.9848046518,-0.7346617510000001,0.24255973100000003,1.456978364
crp__wt_glyc__2,0.9261516582,-0.6626638880000001,0.171572724,1.415658544
crp__delar1_glyc__1,0.7820540559,0.265870015,0.004767376,-2.251953479
crp__delar1_glyc__2,0.5732791188,0.418883691,0.220032894,-2.388129284
crp__delar1ar2_glyc__1,-1.5013020874,-0.061902001000000005,0.185806824,-1.561501683
crp__delar1ar2_glyc__2,-1.7821791935,0.093391901,0.084058306,-2.031664782
crp__delar1ar2_glyc__3,-1.098371486,0.107380205,0.103817109,-2.415498399
crp__delar2_glyc__1,0.5539055975,0.154080971,0.842018665,1.414329865
crp__delar2_glyc__2,0.21860397980000001,0.18873304,0.85038908,1.734843162
crp__delar2_glyc__3,0.214038793,0.45889812500000005,0.957350181,1.480120271
crp__delcrp_fru__1,-0.4289734267,0.024874557000000002,0.95808262,-3.297986385
crp__delcrp_fru__2,-0.43954893700000003,-0.189071604,0.7004962130000001,-3.916488529
crp__delcrp_fru__3,0.1219125927,0.008176212,0.955443122,-2.528279265
crp__delcrp_glc__1,-1.0210044537,0.015600866000000001,0.8703649290000001,-3.493648318
crp__delcrp_glc__2,-2.0070478336,-0.18910290700000001,1.078160142,-2.467526382
crp__delcrp_glc__3,-1.1841386478,-0.145177575,1.049333461,-2.722754872
crp__delcrp_glyc__1,-1.9174375716,-0.266794882,0.844979491,-2.899493084
crp__delcrp_glyc__2,-2.0008783031,0.024596233000000002,0.71678092,-2.6725856720000003
crp__delcrp_glyc__3,-1.8827954946,-0.16027661,0.7330102220000001,-2.082546713
glu__glu_ale3__1,0.9485912797,0.612970703,1.194817856,-0.652939683
glu__glu_ale4__1,-0.9526995617,0.284369488,1.002349128,0.247950463
glu__glu_ale5__1,-1.5803236294,0.13723200200000002,0.26915478200000004,1.449544518
glu__glu_ale6__1,-0.4625507484,0.07007864100000001,-0.676601416,0.657418391
glu__glu_ale8__1,2.2817237595,0.592280542,1.031064673,0.460553806
glu__glu_ale9__1,-0.45422582510000004,0.63619285,0.7872390050000001,-0.5133780370000001
glu__glu_ale10__1,0.6730558992,0.53166606,1.091288921,-0.777021065
42c__wt_42c__1,0.9753603315,0.213401428,-0.477649745,0.5328236780000001
42c__42c_ale1__1,0.0919725536,-0.20468799999999998,0.434748503,1.7774252540000002
42c__42c_ale2__1,-0.3314828883,0.185033193,1.240167953,1.753271314
42c__42c_ale3__1,-0.9280176086,0.19619978500000002,-0.133485882,2.489506627
42c__42c_ale4__1,-1.0579723772,0.441218989,1.525443631,0.441467747
42c__42c_ale5__1,-0.2301196378,-0.032986722,0.605888807,2.004502254
42c__42c_ale6__1,-0.259525985,0.121873538,-0.33526371400000005,-0.43257751600000005
42c__42c_ale8__1,1.8613803536,0.332999626,1.066617522,-1.080570669
42c__42c_ale9__1,-0.8013055951,0.09468918200000001,0.109504638,2.3618647360000002
42c__42c_ale10__1,0.7800382932000001,0.507916147,1.020661794,0.541456201
ssw__wt_ac__1,1.15596469,-0.6758203970000001,0.058624143000000004,-0.083122765
ssw__wt_glc__1,0.9486839482,-0.093237411,-0.313549526,1.443749003
ssw__wt_glyc__1,0.9312560133000001,-0.523209809,-0.34076347300000004,1.458514101
ssw__wt_xyl__1,0.4050501301,-0.257000287,-0.7396356380000001,0.239087033
ssw__glc_ale1__1,1.0049256663,-0.39782188,-0.053245338,0.18071463000000001
ssw__glc_ale2__1,0.7399633889,0.07109466,0.102281064,-0.8678545320000001
ssw__glc_ale3__1,0.5792131201,-0.350808269,-0.6058315320000001,-0.43032905200000005
ssw__glyc_ale1__1,0.1915111467,-0.306409715,0.146539934,-0.22017623600000003
ssw__glyc_ale2__1,1.0879044208,-0.420867019,-0.531556287,-0.6450267860000001
ssw__xyl_ale1__1,0.5648621821,0.036984905000000005,0.7389606999999999,1.12170526
ssw__xyl_ale2__1,1.7018594691,-0.270123208,1.012894728,1.807538405
ssw__xyl_ale3__1,0.5682553508,-0.27904514,-0.29495908800000004,-0.895736861
ssw__glc_ac_ac2__1,1.3425519616,-0.730831714,-0.96741727,-1.214357268
ssw__glc_ac_glc1__1,0.08996654180000001,-0.9750927220000001,0.311470907,-1.077765353
ssw__glc_glyc_glc__1,0.9532071320000001,-0.029215007,-0.039891437,-2.098721109
ssw__glc_glyc_glyc__1,0.1866515407,-0.260456872,0.28964174200000004,-1.41856405
ssw__glc_xyl_glc__1,0.2094655675,-0.630063472,0.16901274900000002,-0.8073933080000001
ssw__glc_xyl_xyl__1,0.3665612206,-0.655843646,-0.256584386,0.245534157
ica__wt_glc__1,0.7391506035000001,-0.6364068850000001,0.536086352,2.490295743
ica__wt_glc__2,0.5504771203000001,-0.831979455,0.60823098,2.452439383
ica__wt_glc__3,1.2037921338,-0.46069143300000004,0.9963818190000001,1.895192989
ica__wt_glc__4,2.0064888922,-0.701860221,0.9912855780000001,1.9398067270000001
ica__arg_sbt__1,0.7061494494,-0.9533075310000001,-0.13056905300000002,2.228382359
ica__arg_sbt__2,1.1129653449,-1.119200983,-0.237733829,2.365644629
ica__cytd_rib__1,5.1482963169,-0.79928385,1.727459923,2.136301232
ica__cytd_rib__2,4.8578902541,-0.7286762830000001,1.723832325,2.124113133
ica__gth__1,4.4010353734,-1.106511275,1.619318436,-1.235841635
ica__gth__2,4.4850047639,-1.111840736,1.347073876,-1.695064113
ica__leu_glcr__1,1.9308498572000001,-0.967425123,-0.08783911,3.101601013
ica__leu_glcr__2,1.7932493893,-1.045045003,-0.071661026,3.088069511
ica__met_glc__1,1.3044504735,-1.037639962,-0.365151873,2.112304418
ica__met_glc__2,1.6929075558000002,-1.176453017,-0.26742482100000003,2.173916207
ica__no3_anaero__1,0.8865144505,-0.43031515400000003,0.35565307500000004,0.23812283
ica__no3_anaero__2,1.1315442608,-0.614117424,0.243595146,0.597006236
ica__phe_acgam__1,0.8739798469000001,-0.826652818,0.312601352,2.518213547
ica__phe_acgam__2,0.8040475078,-0.819675675,0.229827688,2.45811977
ica__thm_gal__1,5.4161854205,-0.7657869140000001,0.9162626720000001,2.983540182
ica__thm_gal__2,4.9713636050000005,-0.731799941,1.106548924,2.897956228
ica__tyr_glcn__1,1.1043749840000001,-0.714989901,1.073163253,2.668535432
ica__tyr_glcn__2,1.282429954,-0.641616723,1.080070089,2.7200002850000002
ica__ura_pyr__1,0.8982703184,-0.7793378910000001,0.5209678790000001,2.408677533
ica__ura_pyr__2,0.7851384685,-1.068800482,-0.010733329000000002,2.485378561
ica__wt_glc__5,1.1799018666,-0.420530163,0.849429485,2.216084835
ica__wt_glc__6,1.0550082959,-0.558472743,0.83169022,2.3599868280000003
ica__bw_delpurR_cytd__1,0.5624751377,-0.43905739800000004,0.364709428,2.542113171
ica__bw_delpurR_cytd__2,0.20031924850000002,-0.908931404,1.294017643,2.3832579799999998
ica__ade_glc__1,0.21859701820000002,-0.956289916,1.221383311,2.306738328
ica__ade_glc__2,1.0841823665,-0.436371017,0.21529129700000002,2.701235821
ytf__wt_glc__1,1.1189805585,-0.604374163,0.07266683900000001,-0.179178581
ytf__wt_glc__2,1.5470752905,-0.43936225900000003,0.10763784500000001,0.216635497
ytf__delyafC__1,2.5095877658,-0.32854430300000004,0.015395037,0.646294314
ytf__delyafC__2,2.256772755,-0.41566237,0.055214184000000006,0.20717934300000002
ytf__delyeiE__1,0.4811064699,-0.338885147,-0.080530396,0.714560587
ytf__delyeiE__2,0.6326063985,-0.6555782880000001,-0.38564570400000003,0.18095771500000002
ytf__delyiaJ__1,1.7357019179000002,-0.335326408,-0.24144220700000002,0.039415546
ytf__delyiaJ__2,1.8184130066000002,-0.547211617,-0.07459801,0.020599499
ytf__delyieP__1,1.4440065338,-0.05772777900000001,0.057310304000000006,0.301111616
ytf__delyieP__2,2.0087085252,-0.10330523700000001,0.232458086,-0.175911601
ytf__wt_ph5__1,0.137769788,-0.26512699,-0.042318098000000005,-0.672051729
ytf__wt_ph5__2,0.9382859503000001,-0.404316333,0.197030961,-0.338883902
ytf__wt_ph8__1,0.7782386609,-0.695717562,-0.47508237400000003,-0.042680769
ytf__wt_ph8__2,1.1040666934,-0.460923485,-0.357764639,-0.107543019
ytf__delybaO__1,2.0303930571,-0.322424227,0.01613163,0.44578902400000003
ytf__delybaO__2,1.6079386684,-0.267351571,0.066259151,0.825620274
ytf__delybaQ__1,1.3994816538000001,-0.42229807300000005,-0.23739415500000002,0.271855673
ytf__delybaQ__2,1.3454940083,-0.347468007,-0.300669315,0.041616233
ytf__delybiH__1,1.3441756526,-0.559481844,0.057239185000000005,-0.8676692410000001
ytf__delybiH__2,3.047642481,-0.168608916,0.368186601,-0.29116599800000004
ytf__delydcI_ph5__1,0.42412403470000004,-0.43507702800000003,-0.014310486,-0.174889749
ytf__delydcI_ph5__2,0.3954701305,-0.610794311,-0.017417973,-0.263204243
ytf__delydcI_ph8__1,0.5957432474000001,-0.7234095060000001,-0.42627742900000004,-0.38624468
ytf__delydcI_ph8__2,0.678371861,-0.652490766,-0.553583463,-0.189350447
ytf__delyddM__1,1.0355072138,-0.318253057,-0.094905639,-0.256412095
ytf__delyddM__2,1.0892034991,-0.33869771200000004,-0.14181057700000002,-0.36643869900000003
ytf__delyheO__1,2.0647691447,-0.551360382,-0.07836021800000001,0.31827007900000004
ytf__delyheO__2,1.9204978622,-0.21480021400000002,-0.19436109000000001,0.6635284330000001
fps__bw_glc__1,0.6237626145,-0.8290106890000001,-0.582087729,0.477180152
fps__bw_glc__2,0.8469978516000001,-1.044098277,-0.7254610840000001,0.5877181810000001
fps__fps_thrA_ale1__1,0.9704791959,-0.9889166570000001,-0.5721453830000001,1.839629977
fps__fps_thrA_ale1__2,1.0067268712,-0.6736240010000001,-0.586993246,2.006337586
fps__fps_thrA_ale2__1,0.7202400317000001,-1.033438166,-0.7468564120000001,1.941530786
fps__fps_thrA_ale2__2,0.7572713151,-0.717823674,-0.5945291530000001,1.976282254
fps__fps_serB_ale1__1,0.8353680151,-1.0398760870000001,-0.277726199,2.867824534
fps__fps_serB_ale1__2,0.6867344878,-0.7600688680000001,-0.28610335800000003,2.725414106
fps__fps_serB_ale4__1,1.0172052445,-1.119682364,0.22275460300000002,0.751301498
fps__fps_serB_ale4__2,1.1833006089,-0.901789237,0.519553453,1.0133175
fps__fps_ptsI_ale1__1,0.7131807304000001,-1.143642203,-0.375478387,0.63521404
fps__fps_ptsI_ale1__2,0.6001596792,-1.021100946,-0.21288178800000002,0.777167652
fps__fps_ptsI_ale3__1,0.7291887717000001,-1.117742182,-0.48137359700000004,0.739475785
fps__fps_ptsI_ale3__2,1.0786794395000001,-1.060744203,-0.517921119,0.68866243
pal__lyx_ale2_f6__1,0.8641557196,-0.56994114,0.7141797010000001,0.36918714900000005
pal__lyx_ale2__1,0.9932203034,-0.170801625,0.48080638700000006,0.8753936130000001
pal__lyx_ale2__2,0.8594418743000001,-0.048104234,0.366888196,1.105401543
pal__lyx_ale4__1,0.593709315,-0.829283996,-0.036476474,1.109517462
pal__lyx_ale4__2,0.06442429400000001,-0.8496102390000001,-0.21344929999999998,0.990241299
pal__5drib_ale10_f18__1,2.1917793293,-1.02470636,0.41807318,0.378035656
pal__5drib_ale10_f18__2,2.0443442746,-0.6902214510000001,0.3575173,0.247100229
pal__5drib_ale10__1,2.4197747714,-0.6497227710000001,0.274497779,0.40645072600000004
pal__arab_ale14_f9__1,1.2466369787,-0.416290093,0.284585283,0.5572064090000001
pal__arab_ale14_f9__2,1.3455935217000001,-0.42088552,0.323515314,0.479317125
pal__arab_ale14__1,0.3374319228,-0.515814493,-0.19847128500000003,0.388648151
pal__arab_ale14__2,0.7632497804,-0.729164833,-0.132491605,0.537835476
pal__arab_ale16__1,0.9480523785,-0.34335473800000005,-0.061390128,0.866598602
pal__arab_ale16__2,1.6169744522,-0.32172209500000004,0.36534306800000005,0.867932514
pal__tartr_ale26_f10__1,0.3560523874,-0.900372256,0.595032419,-0.910311697
pal__tartr_ale26_f10__2,1.6030010422,-0.770861549,0.679739133,-0.260346747
pal__tartr_ale26__1,0.2203651194,-0.818975176,0.582894667,-0.100335382
pal__tartr_ale26__2,-0.09011053050000001,-0.9328512990000001,0.621012782,-0.012420493000000001
pal__tartr_ale28_f10__1,2.8877156204,-0.602962279,0.729820321,0.149885852
pal__tartr_ale28_f10__2,2.2856516471,-0.615563525,0.856198306,-0.22147469900000002
pal__tartr_ale28__1,0.0722088354,-0.558789979,0.36382953700000004,0.575068115
pal__tartr_ale28__2,1.3355142624,-0.933973245,0.303350192,0.530433175
efeU__delmenFentC_citr__1,0.6631537719,-0.5172165280000001,-0.348808544,0.060402999000000006
efeU__delmenFentC_citr__2,0.0444863302,-0.6700824590000001,-0.42897812300000004,-0.47311935400000005
efeU__delmenFentC__1,0.5671396356,-0.6641600630000001,0.205344877,-0.636412612
efeU__delmenFentC__2,0.3030625987,-0.6697360640000001,0.05521464,-0.7587817750000001
efeU__menFentC_ale39__1,0.5084598765,-0.35551868200000003,-0.296803667,-0.22288194700000002
efeU__menFentC_ale39__2,1.0329944125,-0.366704521,-0.31953858100000004,-0.238466383
efeU__menFentC_ale29__1,2.1965143206,-0.632748877,-0.09651583200000001,-1.2788957459999999
efeU__menFentC_ale29__2,2.5711746814,-0.392066685,0.070869817,-1.348244843
efeU__menFentC_ale30__1,-0.0809647893,-0.25265711,-0.323101534,0.9363966950000001
efeU__menFentC_ale30__2,-0.1032894059,-0.347697955,-0.792222834,0.283725402
efeU__menFentCubiC_ale36__1,-0.6749746943,-0.44617885700000004,0.014541183000000001,-1.198277712
efeU__menFentCubiC_ale36__2,-0.5543902311000001,-0.63145404,-0.086657416,-0.77902878
efeU__menFentCubiC_ale37__1,-0.4344758119,-0.6495298110000001,-0.102790637,-0.9361329690000001
efeU__menFentCubiC_ale37__2,-0.44973660460000003,-0.5680613870000001,-0.052667199000000005,-1.0344128
efeU__menFentCubiC_ale38__1,0.0161576559,-0.493694279,-0.164107983,-0.175843991
efeU__menFentCubiC_ale38__2,-0.211467326,-0.395977293,-0.23260275200000002,-0.28644184300000003
misc2__salc_glc__1,2.8816072479,-0.663228515,2.288917878,0.30143253600000003
misc2__salc_glc__2,3.0969686936,-0.44426790200000005,2.498367557,-0.06903392700000001
misc2__dbcn_glc__1,-0.9953632731000001,-1.110968722,0.226575079,1.463437711
misc2__dbcn_glc__2,-0.4422156022,-0.7759658660000001,-0.075767003,1.381185672
misc2__tyr_glc__1,0.1312383757,-0.301265371,1.441812423,2.116689324
misc2__tyr_glc__2,0.7132913059,-0.45924574300000004,1.642370576,1.942793294
misc2__arg_cytd__1,0.9531131871,-0.5977254350000001,0.15393473800000002,1.780998534
misc2__arg_cytd__2,0.7474197792,-0.37925026,0.366513111,1.557233082
misc2__delyheO_pyr__1,0.8920268960000001,-0.730817903,-0.607668796,0.5170173170000001
misc2__delyheO_pyr__2,0.8059227683,-0.6505776010000001,-0.672759141,0.46639146400000003
nquinone__delubiC__1,0.5711768699,-0.5708340590000001,0.937612537,2.081093682
nquinone__delubiC__2,0.1203129138,-0.410835714,0.9646952790000001,2.067243949
nquinone__ubiC_ale1__1,0.9596699858000001,-0.382963282,0.19236920700000001,2.016187239
nquinone__ubiC_ale1__2,0.4636835043,-0.5161166500000001,0.008375839000000001,2.130172704
nquinone__ubiC_ale2__1,0.9338238034,-0.642128558,-0.398176955,1.6017845400000001
nquinone__ubiC_ale2__2,0.7649260772,-0.512654378,-0.41435606,1.685121228
nquinone__ubiC_ale3__1,0.9185495094,-0.5859770320000001,0.937879007,2.078965756
nquinone__ubiC_ale3__2,0.8869097805,-0.658407874,1.025408709,1.758260925
nquinone__ubiC_ale4__1,1.1630995442,-0.532761339,-0.28386753600000003,1.745223253
nquinone__ubiC_ale4__2,1.0110442614,-0.517528026,-0.14216837400000001,1.5883818729999999
nquinone__delpdhR__1,1.3239922926,-0.594899598,1.185718507,2.487520671
nquinone__delpdhR__2,0.1468094734,-0.814927342,1.217115377,2.742434285
quinone__glu_ale4__1,0.4967792581,-0.40158552200000003,0.7112828670000001,1.283280991
quinone__glu_ale4__2,-0.4036950272,-0.09179359999999999,1.293714428,0.628675192
quinone__delmenF__1,1.1065309811,-0.49246893300000005,-0.19418774300000002,0.49441161400000005
quinone__delmenF__2,1.2310574086,-0.619288491,-0.446991607,0.34559976000000003
quinone__menF_ale5__1,1.3990493349,-0.103011051,-0.18122058400000002,-0.617665388
quinone__menF_ale5__2,0.8002614570000001,-0.15881682500000002,-0.501705238,-0.9428778360000001
quinone__menF_ale6__1,1.5552000909,-0.387477385,-0.464495824,-0.341965565
quinone__menF_ale6__2,0.655143296,-0.330270249,-0.43577079100000005,-0.376441118
quinone__menF_ale7__1,1.1933546067,-0.28460127500000004,-0.552582688,-0.176329813
quinone__menF_ale7__2,1.4479386229,-0.353885098,-0.7681139920000001,-0.163202068
quinone__menF_ale8__1,1.3276264757,-0.34405087300000003,-0.368711977,0.037136844
quinone__menF_ale8__2,1.5383166635999999,-0.153868064,-0.082389395,-0.201090442
quinone__delmenFubiC__1,-0.08105513980000001,-0.230429356,-0.279188492,-0.396171798
quinone__delmenFubiC__2,0.5041897598,-0.20070907300000002,-0.366937877,-0.138630319
quinone__menFubiC_ale1__1,0.23548477,-0.608838725,-0.6983113830000001,-0.7480392810000001
quinone__menFubiC_ale1__2,0.3283846503,-0.5009670110000001,-0.781789653,-0.9295279080000001
quinone__menFubiC_ale2__1,0.9062283349,-0.513825792,-0.663617764,-1.116040735
quinone__menFubiC_ale2__2,1.1202958906,-0.49098205,-0.6097586580000001,-0.725380417
quinone__menFubiC_ale3__1,0.0568959074,-0.47562330100000005,-0.452195018,0.244913292
quinone__menFubiC_ale3__2,0.1506410943,-0.46854874500000004,-0.17128129,0.777354618
quinone__menFubiC_ale4__1,0.8492482122,-0.028740425000000003,0.133127352,-0.8971376040000001
quinone__menFubiC_ale4__2,0.9963750016,-0.179102438,0.333300558,-1.099791068
oxyR__wt_glc__1,1.1500154034,-0.6967567330000001,1.007128284,2.244631237
oxyR__wt_glc__2,1.4912338363,-0.513556961,1.087745393,2.173552001
oxyR__wt_h2o2__1,2.1852025198,-0.6933902740000001,0.87050229,2.170221132
oxyR__wt_h2o2__2,2.6305408588,-0.39955465100000004,1.103777769,1.7986536640000002
oxyR__glu_ale4__1,-0.26192636280000003,-0.179762162,0.433238689,0.924601918
oxyR__glu_ale4__2,0.2557004003,-0.22928988700000003,0.14594952,0.893076088
