,A,rcsB
abx_mega__zeocin_h2o__1,-2.1773515952,-0.0165112528
abx_mega__nor_naoh__3,1.9350204146,-0.3101327836
abx_mega__rach_dmso__2,1.3215645636,-0.17232564490000002
abx_mega__thio_dmso__2,-1.7514774222,-0.6368717066
abx_mega__amyc-d_dmso__3,7.9643497803,0.015310763500000001
abx_mega__rif_dmso__2,4.7869033605,-0.12345032310000001
abx_mega__amyc-d_dmso__4,6.2015531238,-0.29047334280000003
abx_mega__teix_dmso__3,3.7775680429,-0.054144064500000005
abx_mega__valin_dmso__1,3.9532885918,-0.1193019948
abx_mega__teix_dmso__4,2.9946885653,-0.038148285500000004
abx_mega__ethanol-10__1,0.9099121562,0.2665140512
abx_mega__inh_h2o__1,-0.9319809614000001,0.045553327000000005
abx_mega__rif_dmso__3,0.8792746434,-0.48884406680000003
abx_mega__van_dmso__3,6.5351556992,0.0611810619
abx_mega__doxo_dmso__1,0.5006993289,-0.49681002960000004
abx_mega__tmp_dmso__1,2.1151292782,-0.3468336383
abx_mega__ethanol-10__2,4.7558654737,0.25837298810000003
abx_mega__tmp_dmso__2,0.5146131740000001,-0.38010313160000003
abx_mega__amyc-d_dmso__5,6.8769693767,0.2413626441
abx_mega__novo_h2o__4,9.0556166014,-0.7911374723
abx_mega__cro_h2o__2,1.5627788,-0.1952157044
abx_mega__cro_h2o__3,-2.6796557596,-0.609664885
abx_mega__gen_h2o__2,0.1273526942,-0.4692679061
abx_mega__phos_h2o__4,0.044532437,-1.0053174348
abx_mega__metro_dmso__2,2.9296060695,0.31112856780000003
abx_mega__ery_h2o__2,-2.4052902546,-1.3600508932
abx_mega__sacet_h2o__1,-3.6991439564,1.0085622395
abx_mega__nal_naoh__5,-1.5417947146,-0.2640458865
abx_mega__bacit_h2o__4,21.3705114007,0.6846513714
abx_mega__cip_naoh__3,-0.9695234685,-0.27457069230000003
abx_mega__ethanol-8__1,0.3588634882,0.31500135900000004
abx_mega__h2o-8a__1,-1.1667166055,-0.13889101980000002
abx_mega__ery_h2o__3,-0.6034815556,-1.1399060122
abx_mega__flavo_dmso__2,5.6683368577,-0.24371989530000002
abx_mega__rif_dmso__4,6.6364449829000005,-0.4775378749
abx_mega__novo_h2o__5,0.6924950915,-1.7118570858000002
abx_mega__teix_dmso__5,5.4311032331,-0.0598809391
abx_mega__naoh-2__1,-0.9458538104,-0.4052864474
abx_mega__novo_h2o__6,7.0276013082,-1.4593646224
abx_mega__ctx_h2o__3,-0.7819126078,-0.610064783
abx_mega__rach_dmso__3,0.0583657853,-0.5003799224000001
abx_mega__valin_dmso__2,4.8020826166,-0.1628824402
abx_mega__amyc-d_dmso__6,4.8410622826,0.8788865643
abx_mega__dox_dmso__2,6.2505086922,0.10188744500000001
abx_mega__teix_dmso__6,4.9738861274,0.0220351497
abx_mega__naoh-6__2,-0.22412486980000002,0.1042984764
abx_mega__inh_h2o__2,0.0477798943,1.6690300115
abx_mega__chl_h2o__3,-2.4158291361,-0.7462975896
abx_mega__nal_naoh__6,-0.5326722078,-0.2561679216
abx_mega__chl_dmso__2,4.0960936427,0.0376951013
abx_mega__rach_dmso__4,0.2238182826,0.0376989069
abx_mega__teix_dmso__7,2.1917382224,0.22803191960000002
abx_mega__ceru_ethanol__1,-0.4252908019,1.1473217454
abx_mega__dmso-7__1,1.0190856039,0.2067303016
abx_mega__naoh-6__3,-0.2869299652,0.17038699200000001
abx_mega__phos_ethanol__2,-1.0876938063,0.17986766980000002
abx_mega__metro_dmso__3,2.8475302914,0.26920249900000004
abx_mega__van_dmso__4,6.0644580511,-0.0732952799
abx_mega__h2o-10__1,0.1040889998,0.0109278966
abx_mega__h2o-10__2,-0.47074021580000003,-0.056357022300000004
abx_mega__dmso-6__3,2.4300026388,0.0131951002
abx_mega__mem_dmso__1,1.617487248,-0.2874357758
abx_mega__ethanol-8__2,-1.8099017654,0.27453637470000003
abx_mega__chl_h2o__4,-2.2962418065,-0.6869531291000001
abx_mega__van_h2o__1,15.4180097575,0.4329179892
abx_mega__dcs_h2o__1,4.1630038086,0.2446024339
abx_mega__rif_dmso__5,1.2660395062,0.030424287100000003
abx_mega__dox_dmso__3,5.4071027121,-0.1175255904
abx_mega__mem_dmso__2,13.4904200758,-0.2159868402
abx_mega__lvx_dmso__2,1.0626595231,-0.1798761438
abx_mega__tet_h2o__2,-2.2313195342,-0.6197831825
abx_mega__phos_h2o__5,-1.754922914,-0.5473232619
abx_mega__monac_dmso__1,4.1609865594,0.8756667146
abx_mega__str_h2o__3,-0.7835324897,-0.0561028469
abx_mega__zeocin_h2o__2,4.1037339458,-0.5620122805000001
abx_mega__amyc-d_dmso__7,4.5407468721,0.8349774226000001
abx_mega__fidax_dmso__1,1.2345996888,0.1777920002
abx_mega__h2o-1a__1,-0.1114944392,-0.044733907
abx_mega__dox_dmso__4,1.5557185406,0.2412263362
abx_mega__lzd_dmso__2,-0.9001571855,-0.4591168067
abx_mega__tet_h2o__3,-2.5057341147,-0.44412845510000004
abx_mega__dmso-1__2,-1.4877234541,0.1386792195
abx_mega__sxt_dmso__2,-0.12200174250000001,-0.47760707280000003
abx_mega__tric_ethanol__2,6.8100278413,0.9573107503
abx_mega__teix_dmso__8,4.9412106943000005,-0.36753592630000004
abx_mega__ramo_h2o__2,29.8110639407,0.6971643186
abx_mega__inh_h2o__3,-1.9942811292,0.1526034496
abx_mega__cst_h2o__3,-1.5914230976,-0.08942992820000001
abx_mega__dmso-9__1,0.08335710360000001,0.083221551
abx_mega__ethanol-8__3,-1.9582143903,0.3968750205
abx_mega__monac_dmso__2,4.1141570744,0.6097671441
abx_mega__dmso-9__2,0.8768428541000001,0.0103992908
abx_mega__metro_dmso__4,1.8287463005,0.40847255130000004
abx_mega__ctx_h2o__4,0.0916830696,-0.46629688890000004
abx_mega__zeocin_h2o__3,4.2027813366,-0.9496005192
abx_mega__bacit_h2o__5,16.3106290487,0.6526870678000001
abx_mega__reta_dmso__1,-1.2288565834,-0.1431541809
abx_mega__ery_h2o__4,-0.011324714000000001,-1.0220243683
abx_mega__ceru_ethanol__2,3.6632065342,1.336866731
abx_mega__fidax_dmso__2,-0.6262718802,0.0561216734
abx_mega__novo_dmso__1,6.7970108604,-0.3682563803
abx_mega__naoh-6__4,-0.9395730504,0.0588950513
abx_mega__amyc-d_dmso__8,5.7295112624,-0.029883113000000003
abx_mega__chl_dmso__3,1.5559689214999999,-0.058800814400000005
abx_mega__nal_naoh__7,-1.0138180525,0.1232675367
abx_mega__teix_dmso__9,3.240099267,0.003271758
abx_mega__ery_dmso__3,1.5207415596,-0.5184644451
abx_mega__tmp_dmso__3,1.6022752134,-0.2901524599
abx_mega__sxt_dmso__3,-1.2001319297,0.0267054923
abx_mega__polmyx_h2o__4,-0.2823592361,-0.2173338062
abx_mega__mem_dmso__3,3.7955476288,-0.0312895393
abx_mega__nal_naoh__8,-1.333063695,-0.614849661
abx_mega__pen_h2o__3,17.4699358039,0.2677786171
abx_mega__van_dmso__5,5.6629247093,-0.0320843466
abx_mega__zeocin_h2o__4,2.7508135276,-0.7346247149
abx_mega__h2o-6__2,-1.3322710244,0.10839279710000001
abx_mega__tet_h2o__4,-0.8077278637,-0.49185487920000004
abx_mega__nor_naoh__4,-1.8812471857,-0.2173234802
abx_mega__cip_naoh__4,2.6319431133,-0.0479969393
abx_mega__tmp_dmso__4,2.6186725961,-0.2378286114
abx_mega__reta_dmso__2,1.2610378413,-0.0013483430000000001
abx_mega__mem_dmso__4,0.8995328950000001,-0.2772537705
abx_mega__dox_dmso__5,-2.0125922727,0.0419196275
abx_mega__tmp_dmso__5,-1.3987550366,-0.1259747973
abx_mega__flavo_dmso__3,8.2540739436,-0.0605226629
abx_mega__tmp_dmso__6,-0.5125705811,-0.5278025735
abx_mega__ceru_ethanol__3,5.1805849014,1.1839483868
abx_mega__teix_dmso__10,2.6633731320000003,-0.065012611
abx_mega__novo_h2o__7,7.3495466123,-1.6611236052
abx_mega__fidax_dmso__3,-0.7116867915,0.0757445435
abx_mega__h2o-1a__2,0.11701640890000001,-0.001639601
abx_mega__dcs_h2o__2,1.8786315441,-0.2477615844
abx_mega__cst_h2o__4,-1.9325311064,-0.0124747018
abx_mega__van_h2o__2,12.4330077325,0.0136846035
abx_mega__pen_h2o__4,15.8379854003,0.4725608483
abx_mega__h2o-8b__2,1.0204251202,0.12066865580000001
abx_mega__reta_dmso__3,0.12543436930000001,0.0072713756
abx_mega__dmso-7__2,0.6986205353,0.050482035800000005
abx_mega__rfp_h2o__2,9.4301996838,-0.7154791164000001
abx_mega__rif_dmso__6,5.2148070474,0.0130387321
abx_mega__sxt_dmso__4,0.2654980435,0.1019427743
abx_mega__cip_naoh__5,-2.8860848352,-0.15839337750000002
abx_mega__dmso-9__3,2.0518706061,-0.1039090056
abx_mega__mem_dmso__5,1.9045121261,-0.18828963370000001
abx_mega__tric_h2o__2,-1.3017025312000001,0.8591340553
abx_mega__phos_h2o__6,-1.2551895062,0.053606658200000004
abx_mega__h2o-7__2,1.3261211737,-0.0096353856
abx_mega__h2o-10__3,-0.8843948759,-0.0761035733
abx_mega__h2o-8a__2,-1.2562083603,-0.20120261180000001
abx_mega__thio_dmso__3,0.5602431337,-0.8319344421
abx_mega__lzd_dmso__3,0.41637038590000003,-0.4239011545
abx_mega__monac_dmso__3,5.531535634,-0.021117447
abx_mega__polmyx_h2o__5,26.0065419298,-0.2008140072
abx_mega__naoh-6__5,-0.9017493929,0.187483645
abx_mega__teix_dmso__11,3.7427720611,0.17857302320000001
abx_mega__van_h2o__3,14.2911038547,-0.1033746445
abx_mega__teix_dmso__12,9.9854390067,-0.09248798920000001
abx_mega__dox_dmso__6,-2.3506859511,-0.3773126813
abx_mega__teix_dmso__13,23.2680457309,0.9999715650000001
abx_mega__h2o-7__3,0.126661047,0.035867511000000005
abx_mega__str_h2o__4,-4.1354216141,-1.5157333062
abx_mega__tec_h2o__3,22.8502245693,0.7476415816
abx_mega__phos_h2o__7,-0.2732092383,0.1146580636
abx_mega__chl_h2o__5,-2.4358213279,-0.9829878313
abx_mega__polmyx_h2o__6,1.2989746148,-1.3123877972
abx_mega__teix_dmso__14,2.2077592377,0.0860674019
abx_mega__rif_dmso__7,5.94343046,-0.07488525210000001
abx_mega__ramo_h2o__3,23.1383009987,0.6630475823
abx_mega__fidax_dmso__4,0.7052581179,-0.023368907300000002
abx_mega__teix_dmso__15,3.1450624538,-0.0487723199
abx_mega__thio_dmso__4,0.1821096921,-0.7184850013
abx_mega__rif_dmso__8,7.0494890035,-0.0800363354
abx_mega__reta_dmso__4,1.1654897832,-0.22283036450000002
abx_mega__inh_h2o__4,-0.23597634350000002,1.7676836432
abx_mega__novo_dmso__2,5.7697996103,-0.28810192630000003
abx_mega__dcs_h2o__3,2.8495388914,-0.0877195198
abx_mega__h2o-8b__3,-0.9928895620000001,-0.0923085085
abx_mega__valin_dmso__3,0.047090626000000003,0.0823437909
abx_mega__h2o-2__1,1.1577590311,-0.9320324133000001
abx_mega__cro_h2o__4,-2.9059396140000002,-0.1329985722
abx_mega__dcs_h2o__4,1.9575223288,0.0678774032
abx_mega__str_h2o__5,-3.0411128717,-0.0090452655
abx_mega__h2o-8a__3,-1.3477636263,-0.1604913721
abx_mega__dox_dmso__7,-1.1171226337,0.1823654605
abx_mega__doxo_dmso__2,0.36619747010000003,-0.6560727206
abx_mega__teix_dmso__16,24.9751612644,0.8354260681000001
abx_mega__rfp_h2o__3,13.6671359438,-0.3006162714
abx_mega__ethanol-10__3,1.7066500507,0.3119177016
abx_mega__naoh-2__2,-1.5113028136,-0.5902124074
abx_mega__van_h2o__4,16.1832906599,0.6142236939
abx_mega__sacet_h2o__2,-1.8358377991000001,0.27460413510000004
abx_mega__monac_dmso__4,4.6019088181,0.4929938471
abx_mega__h2o-2__2,0.9951979822,-0.8388866537
abx_mega__zeocin_h2o__5,-0.8461987580000001,-0.1568425008
abx_mega__nor_naoh__5,-1.7982478648,-0.2271504245
abx_mega__naoh-9__2,-2.3670058694,0.0873021623
abx_mega__dmso-7__3,-0.3034947415,0.0323892754
abx_mega__van_h2o__5,17.579644428800002,0.5641226449
abx_mega__flavo_dmso__4,11.617893519999999,0.1169529916
abx_mega__novo_dmso__3,5.8525015334,-0.6999853960000001
abx_mega__polmyx_h2o__7,9.6241381712,-0.35950454330000003
abx_mega__teix_dmso__17,6.4331768446,-0.0021470643000000003
abx_mega__doxo_dmso__3,4.2791224701,-0.4638102959
abx_mega__mem_dmso__6,4.6993774863,0.0421826144
abx_mega__h2o-1a__3,-0.0055219697000000005,0.046373508
abx_mega__bacit_dmso__3,7.3587705037,-0.0377870009
abx_mega__dox_dmso__8,-1.0764700419,-0.9386551884000001
abx_mega__teix_dmso__18,2.8436969304,-0.154581511
abx_mega__h2o-6__3,2.4515142422,0.0908093026
abx_mega__pen_h2o__5,3.6927540665,-0.2251310122
abx_mega__lzd_dmso__4,2.4883922916,-0.0041415339
abx_mega__daro__1,-2.4592460639000002,-0.4896418624
abx_mega__solv__1,11.2185336851,-0.2948440564
abx_mega__daro__2,-2.244496587,-0.2218170395
abx_mega__daro__3,8.15392207,-0.0498953569
abx_mega__solv__2,0.36909735800000004,-0.6066266503000001
abx_mega__solv__3,9.2912879523,-0.1040314896
abx_mega__dmso-4__1,4.0611136067,0.0094284348
abx_mega__kirr_dmso__1,1.0719731066,-0.8817844926
abx_mega__kirr_dmso__2,-0.9193113704,-0.9198311623000001
abx_mega__kirr_dmso__3,0.7334668820000001,-1.1036101185
abx_mega__dmso-4__2,3.8921512168,-0.18893437740000002
abx_mega__dmso-4__3,2.2538534452,0.031197048100000003
ackA_pta__dnaA46_del_ackA__1,2.8569895717,0.49772050430000003
ackA_pta__dnaA46_del_ackA__2,3.9387703624,0.9398822009000001
ackA_pta__dnaA46_del_ackA__3,4.3257665295,0.3464270699
ackA_pta__dnaA46_del_pta__1,0.8473294813000001,1.1951508601
ackA_pta__dnaA46_del_pta__2,3.7442788138000003,0.3497689207
ackA_pta__dnaA46_del_pta__3,2.4817566322,0.6375868008000001
ackA_pta__dnaA46__1,0.32492125310000003,-0.0672531378
ackA_pta__dnaA46__2,3.6700068204000003,-0.0693833704
ackA_pta__dnaA46__3,1.6811725763,0.034008628400000004
ackA_pta__del_ackA__1,0.3900774153,0.5375671428000001
ackA_pta__del_ackA__2,-0.5064280968,1.1375917026
ackA_pta__del_ackA__3,0.7828432701,0.436629472
ackA_pta__del_pta__1,1.3438716204,0.028024322600000002
ackA_pta__del_pta__2,0.5079633428,0.436714405
ackA_pta__del_pta__3,0.3281904679,0.39509686180000003
ackA_pta__wt__1,-0.6743573782000001,-0.0218154909
ackA_pta__wt__2,0.5956219204000001,0.0043780594
ackA_pta__wt__3,0.0787354578,0.0174374315
anticancer__5fu__1,2.077977368,-0.2456440263
anticancer__5fu__2,2.3688800297,-0.3417112705
anticancer__cap__1,2.2409583755,0.4034751877
anticancer__cap__2,2.1332831274,0.3525685528
anticancer__cap__3,2.1963845628,0.26569872
anticancer__wt__1,0.9606252515,0.401199264
anticancer__wt__2,-0.43172341820000004,0.004012001
anticancer__wt__3,-0.5289018333000001,-0.4052112651
anticancer__5fu__3,2.0315193073,-0.5306104211
bio_pln__aero_pln__1,0.3686790113,0.066275176
bio_pln__aero_pln__2,-0.3686790113,-0.066275176
bio_pln__anaero_pln__1,2.8589399791,0.0924823246
bio_pln__anaero_pln__2,-0.1346222931,0.1624639401
biocide__bzcl_12h__1,3.5240334459,-0.0859522519
biocide__bzcl_12h__2,6.7971603118,0.3034740601
biocide__bzcl_12h__3,4.0254956508,-0.056444591700000005
biocide__etoh_12h__1,-1.6933344553,0.6624781839
biocide__etoh_12h__2,-0.9372426041,0.5676513692
biocide__etoh_12h__3,-0.5024421472,0.7723469516
biocide__gluald_12h__1,3.6472151917,0.4061081429
biocide__gluald_12h__2,3.4274593397,0.2977443155
biocide__gluald_12h__3,3.4628782671,0.3598073351
biocide__h2o2_12h__1,2.0236385135,0.24832546630000002
biocide__h2o2_12h__2,1.9354633563,0.3998972752
biocide__h2o2_12h__3,1.245520532,0.1871897934
biocide__2ppoh_12h__1,-0.8833215297,0.6239580680000001
biocide__2ppoh_12h__2,-1.1398157748,0.6818953503
biocide__2ppoh_12h__3,-0.8193752358,0.7136309085
biocide__paa_12h__1,0.40979273250000003,0.16417237110000002
biocide__paa_12h__2,-0.9860286847,0.2687069465
biocide__paa_12h__3,-0.8607124712,0.1851377549
biocide__phe_12h__1,-2.5944020181000003,0.2665410538
biocide__phe_12h__2,-2.2838757403,0.3220265167
biocide__phe_12h__3,-1.1370287819,0.423354029
biocide__pvp-i_12h__1,2.1704545859,0.1782979704
biocide__pvp-i_12h__2,-0.3442643588,0.2602729347
biocide__pvp-i_12h__3,0.5387948017,0.1017305983
biocide__bleach_12h__1,1.9132712758000001,0.0979578005
biocide__bleach_12h__2,1.234924946,0.2041083841
biocide__bleach_12h__3,1.1586076540999999,0.1503891075
biocide__chx_12h__1,2.5224015722,0.2334472408
biocide__chx_12h__2,3.7040591179,0.232962838
biocide__chx_12h__3,4.468557687,0.1837268393
biocide__bzcl_30m__1,1.2530681758,0.14233135600000002
biocide__bzcl_30m__2,1.0635718965,0.17981259700000002
biocide__bzcl_30m__3,0.6198431286,0.1913987331
biocide__phe_30m__1,-0.3259723021,-0.0987039052
biocide__phe_30m__2,-0.4252069,0.37599864400000005
biocide__phe_30m__3,-1.1334493363,0.0926725186
biocide__pvp-i_30m__1,1.4479466925,0.041449916100000005
biocide__pvp-i_30m__2,0.9090210889,0.2158939329
biocide__pvp-i_30m__3,1.3349732532,0.09938554470000001
biocide__ctrl_12h__1,1.8431489611,0.18594882910000002
biocide__ctrl_12h__2,2.0387774382,0.2704819431
biocide__ctrl_12h__3,1.45637054,0.23391798130000002
biocide__ctrl_30m__1,-0.26341486210000004,0.0730122248
biocide__ctrl_30m__2,0.39781770110000003,-0.1784614709
biocide__ctrl_30m__3,-0.134402839,0.1054492461
clpP__wt__1,2.212399102,-0.0464211016
clpP__wt_DPTA__1,-4.1358074649,0.6912858433
clpP__wt__2,0.0274362285,-0.0925361227
clpP__wt_DPTA__2,-4.5870504508,0.6674875767
clpP__wt__3,-2.2398353305,0.1389572244
clpP__wt_DPTA__3,-3.0308050451,0.8058832926
clpP__delclpP__1,-0.8241793123000001,-0.5616877893000001
clpP__delclpP_DPTA__1,-4.5439111158,0.5918658449
clpP__delclpP__2,-2.0349376563,-0.272959587
clpP__delclpP_DPTA__2,-2.322181945,0.4511516486
clpP__delclpP__3,-1.8456094604,-0.2164469082
clpP__delclpP_DPTA__3,-3.7291389731,0.4148609066
colombos2__delydcR__1,3.1340584708,-0.10052151940000001
colombos2__delydcR__2,1.8934871361,-0.20018029240000002
colombos2__delydcR__3,-2.9864805884,-0.12189639990000001
colombos2__delyjiR__1,-1.8975271612,-0.3490959517
colombos2__delyjiR__2,-3.3723480328,0.0282985735
colombos2__delyjiR__3,-2.7222867106,0.006550307500000001
colombos2__wt__1,-1.7288651434000002,0.1634821472
colombos2__wt__2,7.7581544668,-0.2058856
colombos2__wt__3,-6.0292893234,0.042403452800000005
crp_k100__ar1_ar2__1,1.6847285041000002,0.06765697920000001
crp_k100__ar1_ar2__2,2.5898664621,-0.093940641
crp_k100__ar1_ar2__3,2.5340479747,0.1295649401
crp_k100__wt__1,0.1339721708,0.09205365680000001
crp_k100__wt__2,-0.6008374399,0.0223873734
crp_k100__wt__3,0.46686526910000004,-0.1144410302
crp_k100__K100Q__1,-0.4180870835,0.036292872500000004
crp_k100__K100Q__2,0.4186668993,0.0145749043
crp_k100__K100R__1,-0.8794579381000001,-0.1140422876
crp_k100__K100R__2,0.5174702569,-0.2360977356
crp_k100__K100R__3,-0.8621738322,-0.19879941880000002
csrA__wt_t00__1,0.16138897970000002,-0.0418084013
csrA__wt_t02_30__1,3.1581726431,-0.4572830707
csrA__wt_t05__1,7.2407517045,-0.8851335521
csrA__wt_t10__1,8.7363115379,-1.8325992924
csrA__wt_t15__1,8.338303564,-2.6889610730999998
csrA__delcsrA_t00__1,-0.8174391633,0.0107476776
csrA__delcsrA_t02_30__1,3.4808999961,-0.6231872747
csrA__delcsrA_t05__1,7.1217793348,-1.2325476719
csrA__delcsrA_t10__1,9.4028194458,-1.3878191989
csrA__delcsrA_t15__1,7.6418825779,-1.5687828361
csrA__wt_t00__2,-0.16138897970000002,0.0418084013
csrA__wt_t02_30__2,3.5530690112,-0.23564201110000002
csrA__wt_t05__2,8.4460780265,-0.6656779169
csrA__wt_t10__2,10.8214534091,-1.737964274
csrA__wt_t15__2,11.9012087091,-2.6443819082999998
csrA__delcsrA_t00__2,-0.8068255708000001,-0.120394627
csrA__delcsrA_t02_30__2,4.0308042255,-0.940228732
csrA__delcsrA_t05__2,8.055894707,-1.2310509965
csrA__delcsrA_t10__2,8.750224684500001,-1.4390969269
csrA__delcsrA_t15__2,8.5503516367,-1.6248618831
cstr_pfr__str_0005m__1,-0.24950821580000002,0.027614888
cstr_pfr__str_0010m__1,-0.1717199999,-0.2666124889
cstr_pfr__str_0025m__1,-0.6940744095,-0.0617429621
cstr_pfr__str_0045m__1,-1.2088284811,-0.0611201743
cstr_pfr__str_0075m__1,-0.16954660900000001,0.0011701717
cstr_pfr__str_0120m__1,-1.1027214003,-0.0009090097
cstr_pfr__str_0210m__1,-1.2691709066,-0.033764039
cstr_pfr__str_0330m__1,1.6627337936000002,0.0168676187
cstr_pfr__str_1500m__1,2.2059099029,-0.014444963500000001
cstr_pfr__str_1560m__1,-1.5126513519,-0.0111687651
cstr_pfr__str_1680m__1,-1.8349782732,-0.10829605460000001
