,A,OmpR
ecoli_00128,0.5841713426,-0.40016895950000003
ecoli_00129,3.1694779249,1.3250495545
ecoli_00130,1.7606750691,1.0152214275
ecoli_00131,2.2250069084,1.2223461875
ecoli_00132,2.7456873496,0.2020179695
ecoli_00133,2.7061885638,1.1616171545
ecoli_00134,1.4762276006000001,-0.0819881385
ecoli_00135,1.8931390756000002,0.1981331415
ecoli_00136,1.4832210567000002,0.6359511065
ecoli_00137,1.1315440162,-0.1397982535
ecoli_00138,1.6750258436,1.7403572455
ecoli_00139,0.6628381407,1.1931687115
ecoli_00140,0.2436879237,-0.1196441345
ecoli_00141,0.9039199315,0.9856576675000001
ecoli_00142,4.4964644889,0.0617314575
ecoli_00143,1.545041608,-0.06629241450000001
ecoli_00144,4.9134108007,0.3359882575
ecoli_00145,3.2935088209,-0.2871250405
ecoli_00146,2.1343423008,0.8278158195
ecoli_00147,3.1697054991,1.0597460425
ecoli_00148,2.6705092452,0.6340339725
ecoli_00149,3.3030366382,0.7557271205
ecoli_00150,3.7326285715000003,0.5685847465
ecoli_00151,3.8357473256,0.4500466865
ecoli_00152,2.100757406,0.32596986450000004
ecoli_00153,1.3531187513,0.0390312305
ecoli_00154,3.6286359297,0.6140211565
ecoli_00155,0.3592812072,-0.1833150215
ecoli_00157,2.1357453948,0.7515869615
ecoli_00158,0.5848777879,0.9172736175
ecoli_00159,0.4449166436,0.032809515500000004
ecoli_00160,1.1168966993,-0.1642545155
ecoli_00169,1.4158284298,-0.5073074755
ecoli_00170,1.3782610232999999,-0.5158819645
ecoli_00171,2.5636583002,0.1114720265
ecoli_00172,1.265450405,-0.1755786215
ecoli_00173,3.0404138985,0.0904854705
ecoli_00174,2.4954372584,-0.0974523795
ecoli_00175,6.0432165029,2.0233978575
ecoli_00176,6.0331669685,2.0407535565
ecoli_00177,6.643155784,0.8924363805000001
ecoli_00178,7.3152745343,1.0228144765
ecoli_00179,0.4228071941,-0.4129551515
ecoli_00180,0.5586597279000001,-0.4866076775
ecoli_00181,0.8453298555000001,-0.3203518065
ecoli_00182,1.2103754853,-0.5359465865
ecoli_00183,4.6514076715,0.08337723650000001
ecoli_00184,5.2341324352,0.0305029025
ecoli_00185,1.8723942821000001,-0.2422127415
ecoli_00186,1.4433714385,-0.3475195595
ecoli_00187,4.5599730283,0.37079099050000003
ecoli_00188,4.3027463287,0.3823012505
ecoli_00189,2.0034009595,-0.2356570265
ecoli_00190,2.2245314118,-0.23425528350000002
ecoli_00191,2.2588516991,-0.0805607175
ecoli_00192,2.6264155555,-0.0938219505
ecoli_00193,1.3727953205,-0.2386521835
ecoli_00194,1.9162321098000001,-0.1524206045
ecoli_00195,1.4252251016,-0.6139403795
ecoli_00196,0.17925604890000002,-0.24845833950000001
ecoli_00197,0.7221170691000001,-0.1773282895
ecoli_00198,1.1026239413,-0.5733076125000001
ecoli_00199,0.15854777080000002,0.2640988795
ecoli_00200,0.0998273601,0.4311563225
ecoli_00201,0.8846230898,0.9298128945
ecoli_00202,0.8360685383,0.9491845245
ecoli_00203,1.3103333960999999,0.2320704945
ecoli_00204,1.1657593155,-0.0558314925
ecoli_00205,1.6141479186,0.7782365865
ecoli_00206,1.1256615873,0.6983893195
ecoli_00207,0.2006707146,0.8498789715
ecoli_00208,0.6831399394000001,0.7778399315000001
ecoli_00209,2.7998128418,0.5767738695
ecoli_00210,2.9050119727,0.6041079215
ecoli_00211,0.3394123002,-0.0261215715
ecoli_00212,-0.066821138,0.0038572145
ecoli_00213,1.5934242277,1.0375331665
ecoli_00214,1.0084563483,1.0568289035
ecoli_00215,0.4594494684,0.0465688795
ecoli_00216,0.0916005547,0.1620935255
ecoli_00217,0.4857718713,0.6209862325000001
ecoli_00218,0.5636268237000001,0.8640807665
ecoli_00219,3.2888792949,0.46385045350000004
ecoli_00220,2.4126191927000002,0.46943057450000003
ecoli_00221,-0.759469481,0.10752017950000001
ecoli_00222,-0.4616577311,-0.1269164965
ecoli_00223,-0.7258917162,0.5256240845
ecoli_00224,-0.3748246866,0.4465441485
ecoli_00225,1.7195902597,1.0228912525
ecoli_00226,1.1903791726,1.1447802055
ecoli_00227,1.1120466838,-0.17007321150000002
ecoli_00228,0.6884457611,-0.1009076765
ecoli_00229,1.3807251273,-0.0162395045
ecoli_00230,1.4343915726,0.0172096035
ecoli_00231,0.9105360838000001,-0.2865864875
ecoli_00232,0.833794306,-0.2871816635
ecoli_00233,1.682669548,0.0110048245
ecoli_00234,1.8292831465,0.1495056615
ecoli_00235,2.3911877925000002,-0.1683661595
ecoli_00236,2.8705100328,0.0330456765
ecoli_00237,3.7425336746,0.1812037095
ecoli_00238,3.4432863178,0.2508458825
ecoli_00239,2.5721051856,0.14110844250000001
ecoli_00240,2.5769295198,0.020709849500000002
ecoli_00241,4.5241280582,0.6762378865
ecoli_00242,1.6944400623,0.8531000965000001
ecoli_00243,2.2326520863,0.8359308615000001
ecoli_00244,1.2015601085,0.0225383545
ecoli_00245,2.193791197,0.1819986585
ecoli_00246,8.6475840901,1.1556675415
ecoli_00247,8.8337842021,1.1736813975
ecoli_00248,1.1177138855,1.2207963045
ecoli_00249,1.5012399571000001,0.3493634235
ecoli_00250,1.87802202,0.1867653735
ecoli_00251,1.0703576026,-0.10864736450000001
ecoli_00252,0.9831266927000001,-0.11662639550000001
ecoli_00253,1.6448828828000002,0.31397902050000004
ecoli_00254,3.4370943823,0.4788819295
ecoli_00255,5.4462519417,0.8145226035
ecoli_00256,6.1800392033,0.9109845645
ecoli_00257,3.8090863524,0.8570262295000001
ecoli_00258,3.879003489,0.7227934615
ecoli_00259,5.9895583133,0.9441000305
ecoli_00260,6.2724744813,0.7351556995
ecoli_00261,1.1927573637,0.1379151865
ecoli_00262,0.1702947274,0.1504051385
ecoli_00263,3.3362896493,0.20456820650000002
ecoli_00264,3.0282707721,0.3618875945
ecoli_00265,1.348298269,0.20838861050000002
ecoli_00266,0.8644204822,0.1382694435
ecoli_00267,2.6641274559,1.1952653725
ecoli_00268,2.9395646022,1.2052664855
ecoli_00269,0.3227120365,1.2441848525
ecoli_00270,0.8213395318000001,1.2591264835
ecoli_00271,1.763246,-0.1630690575
ecoli_00272,1.8282305755000001,-0.0562550765
ecoli_00273,2.8813245386,0.5471814165000001
ecoli_00274,3.4247293705,0.5382064895
ecoli_00275,2.5053553698,0.4853898625
ecoli_00276,2.1621577511,0.5159286605
ecoli_00277,2.3580791858,0.1172726915
ecoli_00278,2.3518565062,0.1159139825
ecoli_00279,5.6795093789,1.2190688785
ecoli_00280,6.1695984345,1.5151573704999999
ecoli_00281,4.0142797284,0.052348989500000005
ecoli_00282,3.5379874168,0.3041644625
ecoli_00283,0.8105644404,0.12071277050000001
ecoli_00284,1.5248711377,0.1044953225
ecoli_00285,0.7756963961000001,-0.2819720395
ecoli_00286,0.7873417361,-0.23817619350000002
ecoli_00287,0.5568509123000001,0.3424477345
ecoli_00288,0.4676606294,0.1364367745
ecoli_00289,1.4501770372,-0.2305626985
ecoli_00290,0.8611853669,-0.0842745335
ecoli_00291,2.8805487147,0.16385721150000002
ecoli_00292,2.7269943629,0.1173224385
ecoli_00293,2.8934996741,0.1477686945
ecoli_00294,2.9643682924,0.1549137295
ecoli_00295,0.8894252052,-0.3074573845
ecoli_00296,1.2748748931,-0.38878406050000003
ecoli_00297,3.1037737087,0.22705753550000002
ecoli_00298,3.4804616676,0.2462655775
ecoli_00299,1.038822019,-0.5097989345
ecoli_00300,1.8743460618,-0.5787933445
ecoli_00301,1.8233789705999999,-0.3271572165
ecoli_00302,3.5926095034000003,0.3086153615
ecoli_00303,2.0269619937,0.12052496850000001
ecoli_00304,1.1295627682,0.0936429985
ecoli_00305,2.2241646002,1.0648863474999999
ecoli_00306,2.2512517669,1.0111644825
ecoli_00307,2.769186823,1.0985503995
ecoli_00308,2.3797872682,1.0243929735
ecoli_00309,2.9249517032,1.1300790735
ecoli_00310,3.5323143224,1.1122528485
ecoli_00311,4.2007424813,1.4258938825
ecoli_00312,4.0599128209,1.1516092395
ecoli_00313,1.0592220157,-0.0472673725
ecoli_00314,0.6514883840000001,0.0009286755000000001
ecoli_00315,3.384975307,0.8768270775
ecoli_00316,3.5330071613,0.8008433295
ecoli_00317,4.7873672642,0.6732772265
ecoli_00318,3.6659192436,0.7337531625
ecoli_00319,2.0913539146,-0.1709957175
ecoli_00320,1.1354200659,-0.23452216850000002
ecoli_00321,2.8043584635,1.2811678715
ecoli_00322,2.5605518753,1.2937523405
ecoli_00323,1.825925222,-0.3372085865
ecoli_00324,2.1234866313,-0.2931919625
ecoli_00325,1.5855940262,-0.4260073495
ecoli_00326,2.8622398257,0.0577711475
ecoli_00327,3.1114991196,0.3204952955
ecoli_00328,3.5027633761,0.1371415665
ecoli_00329,3.1868635757,0.3586083225
ecoli_00330,2.9612745306,0.2324787315
ecoli_00331,3.0724800859,0.1299956205
ecoli_00332,3.603951877,0.1964979345
ecoli_00333,3.3311879005,0.2148997585
ecoli_00334,2.9672722638,0.0418090805
ecoli_00335,2.046695967,-0.6648646005000001
ecoli_00336,1.6743755415,-0.5418437255
ecoli_00337,2.6359293387,-0.39998756950000003
ecoli_00338,2.3191443336,-0.2132681315
ecoli_00339,1.8783599633999999,-0.6894977925
ecoli_00340,2.0191335921,-0.3741627795
ecoli_00341,1.1427176488,-0.8033832795
ecoli_00342,1.3940032828,-0.7151310275
ecoli_00343,2.5279850079,-0.5048593585
ecoli_00344,2.9339960569,-0.39523822350000004
ecoli_00345,1.4528007577,-0.3713920705
ecoli_00346,1.8935446943,-0.29357455250000003
ecoli_00347,1.4227985445,-0.2222003655
ecoli_00348,1.3196558244,-0.20895057350000001
ecoli_00349,1.1365807584,-0.3151405655
ecoli_00350,0.9082865183000001,-0.19477831750000002
ecoli_00351,1.3921602853000001,0.6544698845
ecoli_00352,1.0528220941,-0.2444773375
ecoli_00353,1.4532129312,-0.1885501135
ecoli_00354,1.11601635,-0.3362440545
ecoli_00355,2.3346017049,-0.0152410355
ecoli_00356,2.1496221759,0.09132617650000001
ecoli_00357,2.6933577168,0.0835117615
ecoli_00358,2.7766291774000003,-0.1498311285
ecoli_00359,1.3225585862,-0.2350098935
ecoli_00360,1.1243220592,-0.2799267615
ecoli_00361,1.7586294003,-0.0935344285
ecoli_00362,1.481337037,-0.0976192765
ecoli_00363,7.3579560722,-0.4001002765
ecoli_00364,7.7081579566,-0.3754509495
ecoli_00365,0.0758580702,-1.2760176145
ecoli_00366,0.3377933208,-0.6012142095
ecoli_00367,1.2457239241,-1.7379376094999999
ecoli_00368,1.8979807145,-1.6634282145000001
ecoli_00369,4.0458489909,-1.7348292935
ecoli_00370,5.6676986912,-1.0227326675
ecoli_00371,0.8932037555000001,-1.4574764255
ecoli_00372,0.7750853243,-1.0781917715
ecoli_00373,0.9984520646,-2.3744335325
ecoli_00374,1.0283268228,-2.1068915725
ecoli_00375,5.8942010325,-0.4869926355
ecoli_00376,6.7250393424,-0.3163097995
ecoli_00377,1.5678407991999999,-1.3335604205
ecoli_00378,1.4036852405,-1.3873484865
ecoli_00379,1.5227957008000002,-0.9956635375
ecoli_00380,1.3633223886999999,-1.1635603015
ecoli_00381,6.0039975288,-0.2434172825
ecoli_00382,6.6713854633,-0.18874847150000001
ecoli_00383,1.5615381514000002,-0.9392022675
ecoli_00384,1.8344376194,-0.9964010545
ecoli_00385,1.7907693438,-1.0183302525
ecoli_00386,1.5343143382000002,-0.9504875345
ecoli_00387,7.0527945521,0.0092850715
ecoli_00388,7.0757750702,-0.0027659725
ecoli_00389,0.9388542734,-1.3064527825
ecoli_00390,1.5473491678,-1.3255095475
ecoli_00391,1.4296923987,-1.4914000425
ecoli_00392,0.9746794367,-1.3959242965
ecoli_00393,1.9265264157000002,-0.3388850995
ecoli_00394,0.5780580438,-0.22556902650000002
ecoli_00395,2.0227305548,-0.2436767635
ecoli_00396,1.8262605308,-0.23716743950000002
ecoli_00397,2.4724616005,0.5124135975
ecoli_00398,3.622640677,0.5938741115
ecoli_00399,1.6137434029,-0.2144825075
ecoli_00400,1.4893822299,-0.2077878235
ecoli_00401,-0.0037334205,-0.3565295115
ecoli_00402,0.5708421719,-0.10518640950000001
ecoli_00403,3.5744346053,-0.3064127055
ecoli_00404,3.0533848489,0.29395167650000004
ecoli_00405,0.3964801458,-0.2904281025
ecoli_00406,0.8684811499,-0.27026297250000003
ecoli_00407,-0.22078402160000002,-0.1579905365
ecoli_00408,0.7101281668,-0.0714049045
ecoli_00409,1.2162671196,0.1971098305
ecoli_00410,1.158468663,0.1123041265
ecoli_00411,0.8626654749,-0.30426957450000003
ecoli_00412,1.5778045268,-0.2918856005
ecoli_00413,1.5288032857,-0.2622112455
ecoli_00414,1.6335119316000002,-0.0225130155
ecoli_00415,2.2351302001,0.2811706715
ecoli_00416,1.6712061928000002,0.22917027850000002
ecoli_00417,0.5795753606,-0.1760560545
ecoli_00418,1.4178049989,-0.3766593875
ecoli_00419,1.2616997536,-0.18466451150000002
ecoli_00420,1.7630564871,-0.1742686985
ecoli_00421,1.9733293358,0.3339518435
ecoli_00422,2.1696028063,0.1935713165
ecoli_00423,1.5407074858,0.0265780345
ecoli_00424,1.265568063,0.0142619085
ecoli_00425,0.7741362998,-0.3226813905
ecoli_00426,0.9565798456000001,-0.16040746250000001
ecoli_00427,0.9055770786,-0.0352827175
ecoli_00428,0.7341923552,-0.0614744205
ecoli_00429,0.6507589134,-0.1389136005
ecoli_00430,0.5389972345,-0.12810150950000002
ecoli_00431,2.231769024,0.6579702005
ecoli_00432,2.7488438983,0.8631847055
ecoli_00433,0.8812622593,0.2102114925
ecoli_00434,0.7024160873,0.19831319050000001
ecoli_00435,0.7296467124,-0.3495889585
ecoli_00436,0.24455946010000001,-0.21134193750000002
ecoli_00437,-0.0175701825,-0.3057344785
ecoli_00438,-0.1119621,-0.20174322150000001
ecoli_00439,3.2543171829,0.14663080050000002
ecoli_00440,1.484821728,0.0935961545
ecoli_00441,1.0800131124,-0.38905060550000004
ecoli_00442,1.1788041835,-0.1685530265
ecoli_00443,1.3944004259,-0.2439349225
ecoli_00444,1.2215268475,-0.16663864050000002
ecoli_00445,1.3947657159,0.3124606395
ecoli_00446,1.3348274413,0.4310809165
ecoli_00447,1.9719396285,-0.0667614455
ecoli_00448,1.6625275824,-0.3054398525
ecoli_00449,3.7867119975,0.1256636955
ecoli_00450,4.1005861091,0.0579005695
ecoli_00451,2.7628157782000002,-0.27105109250000003
ecoli_00452,3.0251743914,-0.2927120375
ecoli_00453,5.3603465438,0.1616715305
ecoli_00454,6.0667786425,0.1591104565
ecoli_00455,2.6541669737999998,0.21496686350000002
ecoli_00456,3.2776359387,0.3644017875
ecoli_00457,3.1162433343,0.3731706085
ecoli_00458,3.8490493752,0.6758574285000001
ecoli_00459,3.2182151398,0.36970756650000003
ecoli_00460,3.2450417373000002,0.3427064385
ecoli_00461,2.2558303947000002,0.6490427185000001
ecoli_00462,3.335185781,0.8182473995
ecoli_00463,8.1809463013,1.0452339865
ecoli_00464,8.5424032514,0.9494872065000001
ecoli_00465,9.965668454,0.41331351850000003
ecoli_00466,10.0090326511,0.3272461035
ecoli_00467,4.3218854316,0.7808666985
ecoli_00468,4.3513715937,0.8318213515
ecoli_00469,9.5044440215,0.4886130025
ecoli_00470,9.6771298595,0.41015931450000004
ecoli_00471,3.05662581,0.8641307395000001
ecoli_00472,2.7805927845,0.9925839495000001
ecoli_00473,8.0362971833,0.9443054765000001
ecoli_00474,8.5403667302,1.0906732255
ecoli_00475,8.9648937435,1.7343793695
ecoli_00476,9.1172005158,1.6302195725000002
ecoli_00477,2.9570110785,0.9135198535
ecoli_00478,2.5149138236,0.8014121065
ecoli_00479,5.1357704344,0.22262428150000002
ecoli_00480,5.5834526868,0.2695464335
ecoli_00481,2.4079768284,-0.2835274915
ecoli_00482,2.3678234837,-0.1058225935
ecoli_00483,2.9192550531,0.4373627175
ecoli_00484,2.986399669,0.3098895005
ecoli_00485,10.1447238807,1.2716981505
ecoli_00486,10.223479367,1.2879501515
ecoli_00487,1.7327163326,1.2463854435
ecoli_00488,2.434617266,1.3007696795
ecoli_00489,6.7468011605000004,0.9851667795000001
ecoli_00490,6.8030539207,1.0537978405
ecoli_00491,2.2660821163,0.8505845595
ecoli_00492,2.0622043484,0.8396459505
ecoli_00493,7.1122244136,1.4084771345
ecoli_00494,6.9044550834,1.4329714315
ecoli_00495,5.7533547939,0.4709874705
ecoli_00496,5.9687649393,0.5320828165
ecoli_00497,9.821290103599999,0.5035477225
ecoli_00498,9.8082304836,0.46364937450000004
ecoli_00499,2.1125197919,-0.1864242575
ecoli_00500,2.0666295304,-0.16031311550000002
ecoli_00501,6.3650720995,1.2643474895
ecoli_00502,6.5976650258,1.3263154475
ecoli_00503,3.3507177268,1.1290305725
ecoli_00504,3.2188417022999998,1.0116622245
ecoli_00505,5.8982235136,0.3560970015
ecoli_00506,6.3326432625999995,0.2701819985
ecoli_00507,3.5631134127,0.3613296965
ecoli_00508,2.4529556202,0.1628406355
ecoli_00509,3.3171281627,0.5025087195
ecoli_00510,3.3732416947,0.3621689205
ecoli_00511,9.8237316426,1.1372024545000001
ecoli_00512,10.1445576654,1.1375146935
ecoli_00513,9.6336594286,0.6819763845
ecoli_00514,9.726318864,0.7392622945
ecoli_00515,6.2931513041,1.2485751345
ecoli_00516,6.2964588326,1.2663755165000001
ecoli_00517,-0.5731422836,-1.5070174564999999
ecoli_00518,-1.0808630242,-1.3148047775
ecoli_00519,-0.1129650138,0.2033678645
ecoli_00520,-0.4548571115,-0.0047898195000000005
ecoli_00521,0.019495792600000002,0.3417122735
ecoli_00522,-0.6536477916,0.0940607615
ecoli_00523,-1.0888487129,-0.3126644155
ecoli_00524,3.3160673608,-0.1706896085
ecoli_00525,3.8076190277,-0.19114975350000002
ecoli_00526,3.169585432,-0.2867428675
ecoli_00527,3.2758197446,-0.3781664185
ecoli_00528,6.4334208826,-0.6117768635
ecoli_00529,5.4604210476,-1.1555620115
ecoli_00530,1.8338819972,-1.3528194345
ecoli_00531,2.2008324513,-2.0293701275
ecoli_00532,1.631588174,-0.2719681185
ecoli_00533,1.3925897571,0.057455609500000004
ecoli_00534,1.7224372533999999,-0.2639019815
ecoli_00535,1.6627622080000002,0.1207821595
ecoli_00536,0.7685124717,-0.5262212645000001
ecoli_00537,1.1378751418,-0.4933480465
ecoli_00538,0.9691271231,-0.5645627415000001
ecoli_00539,1.3517425347,-0.3457720355
ecoli_00540,6.8083109307,-0.7109776945
ecoli_00541,6.5676754926,-0.6855604535
ecoli_00542,6.3811939843,-0.5536962905
ecoli_00543,5.778535938,-0.46335067150000003
ecoli_00544,7.8907755086,-0.4968395995
ecoli_00545,7.2121280005,-0.6864086805
ecoli_00546,0.0619556188,-0.42086532050000003
ecoli_00547,0.5137726355,-0.4211389655
ecoli_00548,0.0939146808,-0.4400979635
ecoli_00549,0.5334235812,-0.33843450950000004
ecoli_00550,0.632911067,-0.3674782145
ecoli_00551,0.9699359757,-0.3389386875
ecoli_00552,1.5207407728,-0.49436997450000003
ecoli_00553,1.0175337832,-0.6613317755
ecoli_00554,1.586419787,-0.0599289155
ecoli_00555,2.4818821494,0.0871951245
ecoli_00556,2.2973927246,0.4504798165
ecoli_00557,1.7330581183,0.2388517745
ecoli_00558,0.5131722237,-0.9815056675
ecoli_00559,1.7983598909,-0.8233307955
ecoli_00560,1.6431556903,0.4461172425
ecoli_00561,1.2338846668,0.4255260605
ecoli_00562,1.8367787052,1.7410838805000002
ecoli_00563,0.7507651802,1.4224337595
ecoli_00564,1.3355042045,0.47401226350000003
ecoli_00565,1.5639345843,0.4087111955
ecoli_00566,0.3127760023,-0.1645234555
ecoli_00567,0.4146142903,-0.21765818750000002
ecoli_00568,1.3157893437000001,-0.0136001755
ecoli_00569,0.6706597886,-0.0333499035
ecoli_00570,1.3289981971,0.7515747595000001
ecoli_00571,1.2847441564,0.8156543825
ecoli_00572,0.2813896494,-0.2708254905
ecoli_00573,-0.1361850333,0.029663797500000002
ecoli_00574,2.2776613166,0.2290557035
ecoli_00575,3.1637755321,0.3939036555
ecoli_00576,2.3800672965,0.35347008950000003
ecoli_00577,2.4832434513,0.6923040855
ecoli_00578,2.5409182007,0.5932005885
ecoli_00579,2.479248489,0.4938735415
ecoli_00580,3.1380561395,0.1774513135
ecoli_00581,3.7472591752,0.0925202165
ecoli_00582,3.2463631366,1.3234660575000001
ecoli_00583,3.2173622648,0.8835176765
ecoli_00584,0.6725174821000001,-0.41598979350000004
ecoli_00585,0.8901494238000001,-0.0917576605
ecoli_00586,1.3785117424,-0.2669238805
ecoli_00587,1.0117054204,-0.0935791655
ecoli_00588,1.0116652213,1.0768284255
ecoli_00589,0.6245983899,0.9807189155
ecoli_00590,1.174116743,0.3895619275
ecoli_00591,1.9316642117,0.5229948585
ecoli_00592,4.1733412935,0.4260437355
ecoli_00593,3.1248215445,0.4442481065
ecoli_00594,2.555028821,0.6090759255
ecoli_00595,3.2559722858,0.6333345325
ecoli_00596,3.4926711173,0.16792983150000002
ecoli_00597,2.966380414,0.3328173975
ecoli_00598,3.8755432316,-0.0243620885
ecoli_00599,3.8649563497,-0.07375715050000001
ecoli_00600,1.921512886,-1.4451295705
ecoli_00601,1.0522157935,-1.3239891955
ecoli_00602,1.1866452264,-0.9128668615000001
ecoli_00603,1.2637042149,-0.9064301005000001
ecoli_00604,1.158849093,-0.5292371515000001
ecoli_00605,1.2749537479,-0.6280985665000001
ecoli_00606,0.21178922890000001,-1.9049382725
ecoli_00607,0.1878597408,-1.1735218105
ecoli_00608,-0.1724543811,-1.6108046704999999
ecoli_00609,0.2995196939,-1.2235043955
ecoli_00610,0.3718472769,-0.9203871975000001
ecoli_00611,3.0818338859,-0.7372251495000001
ecoli_00612,0.49963446050000004,-0.8399361405
ecoli_00613,0.2573946099,-0.5951374625
ecoli_00614,-0.1221050297,-0.2571240685
ecoli_00615,-0.9550147331000001,-0.6079173195
ecoli_00616,0.009668463,-0.0754808265
