,A,RpoS,NtrC,RpoN
misc__bw_delfabr__1,-1.4244920408000001,-0.25510862900000003,-0.43369753250000004,0.12483548650000001
misc__bw_delfabr__2,-1.4806984421,-0.162772564,-0.39835266150000004,0.1031144385
misc__bw_delfadr__1,-1.164286886,0.10687962200000001,-0.7024347035,0.2262561375
misc__bw_delfadr__2,-1.4679024561,0.197510713,-0.7518494535,0.2539545305
misc__nitr_031__1,10.5001307938,1.136068692,1.8695830555000001,0.3646965855
omics__wt_glu__1,-1.9408705201,-0.23051727,-0.4930106595,0.2962516995
omics__wt_glu__2,-2.3606104614,0.043958795,-0.4107867365,0.4666522205
omics__wt_gly__1,0.8794146899,-0.016657597,0.6424083655,0.08866842550000001
omics__wt_gly__2,1.0879280904,-0.015329333,0.6454411235,0.0568323675
omics__wt_thr__1,-2.9014510624,-0.276530589,0.4849992675,0.7135937785
omics__wt_thr__2,-3.1668556671,-0.338241102,0.3777853725,0.7710917565000001
omics__bw_ac__1,6.3628198944,1.014675532,-1.1329429855,0.2626952735
omics__bw_ac__2,6.1366348706,0.977911822,-0.9975638155000001,0.2125339715
omics__bw_fum__1,1.7121235505999999,0.727420032,-1.1282836225,-0.0719943285
omics__bw_fum__2,1.5204740828999999,0.7373106620000001,-1.0086983915,-0.1321674075
omics__bw_glc__1,-2.1045720556,0.38823240200000003,-0.21373389750000002,0.08772091650000001
omics__bw_glc__2,-2.1008491183,0.395184152,-0.19944722450000002,0.0866318205
omics__bw_pyr__1,2.5291773396,1.039849572,-1.3713202665,0.13049388650000002
omics__bw_pyr__2,0.0453186067,1.148814332,-1.1621855385,0.0750394705
ompr__wt_nacl__1,2.9383139898,1.6465871120000002,-0.47424875250000004,0.8458476445
ompr__wt_nacl__2,3.4936120411,1.759748342,-0.3623504305,0.7361582905
ompr__bw_delompr_nacl__1,2.4718046884,0.7287601720000001,-0.3721031905,0.3376980425
ompr__bw_delompr_nacl__2,2.3245063639,0.573927292,-0.4593646905,0.3812324995
minspan__wt_ade__1,-2.684169132,-0.41096649500000004,-2.1838632055,-0.23121805050000002
minspan__wt_glc__2,-0.7082710626000001,0.115747578,-0.9505896595000001,-0.2809332425
minspan__wt_glc__3,-0.7547143933,0.027857161000000002,-0.9092726735000001,-0.2902247825
minspan__wt_glc__4,0.324679763,0.048182902,-0.7960748085,-0.2054288275
minspan__wt_glc_anaero__1,-7.1642634522,-0.27702965700000004,-1.3021550305,0.0389202145
minspan__wt_glc_anaero__2,-6.7363721545,-0.08955874200000001,-1.5035946495,0.0609900175
minspan__wt_trp__1,-6.4372240457,0.016084043000000003,-0.9953353275000001,0.1072953325
minspan__bw_delcra_glc__2,-5.0109431874,0.268831166,-1.0402592785,0.0527145325
minspan__bw_delcra_trp__1,-7.2519874113,0.030301163000000002,0.16517766650000001,0.1089791855
minspan__bw_delmntr__1,-5.3150048126,0.12121000100000001,-0.5728476695,0.2383428175
minspan__bw_delnac_ade__1,-1.6193914993,0.083390378,-1.3211906065,0.0018527365
minspan__bw_delnac_glc__1,-0.5404103450000001,0.41288737200000003,-1.0241365895,-0.3356794605
cra_crp__wt_ac__1,7.6470180454,0.343919792,-1.2950856365,0.1917987605
cra_crp__wt_ac__2,7.8444468916000005,0.222851611,-1.2142403275,0.1532170935
cra_crp__wt_fru__1,2.7499368228,0.32115443200000005,-0.9904316025000001,0.2657675905
cra_crp__wt_fru__2,2.12861203,0.286542844,-1.1206215635,0.3237425105
cra_crp__delcra_ac__1,5.1535581017,0.5809128020000001,-1.3056248495,-0.023381640500000002
cra_crp__delcra_ac__2,5.555104659,0.6237719420000001,-1.2152266735000001,-0.1429831305
cra_crp__delcra_fru__1,-1.5964014515,0.44571107200000004,-0.1799304905,0.10736111150000001
cra_crp__delcra_fru__2,-1.517779488,0.527806022,-0.1304773895,0.12499276150000001
cra_crp__delcra_glc__1,-0.8100931299,-0.06741426,-0.2908591135,-0.0261596815
cra_crp__delcra_glc__2,-0.5738130932000001,-0.009461412,-0.1417137605,-0.1007299425
rpoB__wt_031__1,9.9358289131,0.41899008200000004,1.3949993055,-0.056968540500000005
rpoB__wt_044__1,6.2658452727,-0.002706628,1.5035136384999999,0.22376482050000002
rpoB__wt_lb__1,16.8403470837,0.5912388620000001,-0.9137006765000001,-0.028158271500000002
rpoB__wt_lb__2,16.7947249985,0.555214862,-0.9558305525,0.0103283685
rpoB__rpoBE546V_031__1,10.5335143708,1.075322802,1.2908964935,-0.1267133255
rpoB__rpoBE546V_044__1,10.3561389055,1.046519562,1.2412249895,0.023719754500000002
rpoB__rpoBE546V_lb__1,10.7392342067,0.663852262,-1.1203196115,-0.013294588500000001
rpoB__rpoBE546V_lb__2,10.7172407232,0.6135239920000001,-1.0573056785,-0.0162517615
rpoB__rpoBE546V_glc__1,-2.9435368025,0.129992928,-0.2110427685,-0.5141145255
rpoB__rpoBE672K_glc__1,-1.9566754908,-0.926944088,-0.0589953355,-0.2027603775
rpoB__rpoBE672K_glc__2,-1.8237291761,-0.9221537670000001,-0.0306049135,-0.22850633750000002
rpoB__rpoBE672K_lb__1,-2.1260277653,-0.9664375940000001,-1.6649322175,-0.6724268015
rpoB__rpoBE672K_lb__2,-3.1810871221,-0.89091248,-1.4809584065,-0.5883223085
crp__wt_fru__1,1.4124613404000002,-0.08924797200000001,-0.3250443155,-0.2614936275
crp__wt_glyc__1,3.8334322583000002,0.38219653200000003,-0.6119121665,-0.4111413085
crp__wt_glyc__2,3.6028921051,0.29671736200000004,-0.5592038885,-0.31615505250000003
crp__delar1_glyc__1,-0.5939707991000001,0.45762537200000003,-0.5303713995,0.6530569715
crp__delar1_glyc__2,-2.7397519771,0.33209055200000004,-0.43894030650000004,0.6094381865
crp__delar1ar2_glyc__1,2.6967230403,0.193629716,-0.7439360155,0.41063416150000004
crp__delar1ar2_glyc__2,2.6382607685,0.33613993200000003,-0.7689202095000001,0.39263840650000004
crp__delar1ar2_glyc__3,2.220012658,0.21436483,-0.8432862455,0.3384137365
crp__delar2_glyc__1,-3.2114715805,1.187215512,-0.4887759915,0.23901305750000001
crp__delar2_glyc__2,-3.6585698826,1.041209602,-0.7579041665,0.3881425055
crp__delar2_glyc__3,-4.1318667329,1.000426512,-0.6376105735,0.5417163865
crp__delcrp_fru__1,-0.0083403251,1.403545152,-0.2609810955,0.48734105450000004
crp__delcrp_fru__2,-0.0916498776,1.312142502,-0.2192330835,0.6076043145000001
crp__delcrp_fru__3,-1.4085942116,1.332774822,-0.2518783275,0.4631423375
crp__delcrp_glc__1,1.9482471977,1.220202512,-0.8290001095,0.6373608285
crp__delcrp_glc__2,1.7086750032,1.232196922,-0.9082314925,0.6669930295000001
crp__delcrp_glc__3,1.9023349647,1.2185585620000001,-0.9650134365,0.5979555295
crp__delcrp_glyc__1,0.3282141798,1.473030322,-0.8602257135,0.4546922765
crp__delcrp_glyc__2,0.41747527770000004,1.491695502,-0.9548261575,0.47694144850000003
crp__delcrp_glyc__3,-0.3964214277,1.425635312,-1.0496985455,0.4892179915
glu__glu_ale3__1,-2.8409254907,0.7930836120000001,-1.5916900025,-0.1601779305
glu__glu_ale4__1,-3.5139525183,-0.261345063,-0.5818395405,-0.2800279565
glu__glu_ale5__1,0.3164548594,-0.923966688,-0.4332083675,-0.6870798615
glu__glu_ale6__1,-2.7420073742,-1.072388459,2.7528500000000002e-05,-0.5723060855000001
glu__glu_ale8__1,-3.6346685255,0.8990942620000001,-1.6435674565,0.1635734905
glu__glu_ale9__1,-4.0911714996,-0.267016099,-0.8641334475,0.0031536635000000003
glu__glu_ale10__1,-3.5553691188,-0.06099581900000001,-1.1934246325,-0.2871971685
42c__wt_42c__1,-3.0216892168,-0.281531602,-0.4924464915,0.0244120205
42c__42c_ale1__1,-6.7510656909,-0.48538561300000005,-1.0464060355,0.3491200385
42c__42c_ale2__1,-5.451562229,-0.28717722,-1.0837548765,-0.3153191495
42c__42c_ale3__1,-5.8014610032,-0.530759834,-0.5191260215,0.09912298550000001
42c__42c_ale4__1,-3.3202414617000002,-0.06679679300000001,-0.5096285155,-0.1073433455
42c__42c_ale5__1,-6.0973305648,-0.4238999,-0.8832038325,-0.2023175995
42c__42c_ale6__1,-5.1359456675,-1.679026192,-0.5320815265000001,0.8135905605
42c__42c_ale8__1,-5.3844097468,-0.6158962060000001,-0.6995238575,0.32016739250000004
42c__42c_ale9__1,-3.3685967104,-0.5299862820000001,-0.15691161750000002,-0.0553719955
42c__42c_ale10__1,-4.4610199272,-0.523400039,-0.7327512955000001,0.21542995750000002
ssw__wt_ac__1,4.4789296669,1.223033602,-1.8295548605,-0.2178078165
ssw__wt_glc__1,-0.4043546612,-0.634528351,-0.8193041815000001,-0.2212727485
ssw__wt_glyc__1,-3.839811515,-0.137538191,-0.062033437500000004,-0.2125297985
ssw__wt_xyl__1,-6.1441269308,0.24299832000000002,-0.3873148295,0.4108722805
ssw__glc_ale1__1,-4.4810408356,0.743275232,-1.5941472935,-0.7788251875000001
ssw__glc_ale2__1,-4.3265337051,0.42675417200000004,-1.3149935145,-0.0637925315
ssw__glc_ale3__1,-6.6155021558,-0.580133845,-0.3067341395,0.2370279345
ssw__glyc_ale1__1,-5.4241919038,0.25396372500000003,-0.7266657625,-0.3120889155
ssw__glyc_ale2__1,-6.5257967013,-0.752617222,-0.3533501385,0.2020547685
ssw__xyl_ale1__1,-4.6603227055000005,0.0710249,-1.5525453985,-0.1082888095
ssw__xyl_ale2__1,-4.6154361246,0.116572929,-0.8624242375000001,-0.1497820355
ssw__xyl_ale3__1,-5.0788603496,-0.28887214,-0.10362368050000001,-0.3262490615
ssw__glc_ac_ac2__1,-7.4464246869,-0.9307193810000001,-0.4949791975,-0.0901773505
ssw__glc_ac_glc1__1,-6.3137235959,-0.209421098,-0.3927684555,-0.28990390050000003
ssw__glc_glyc_glc__1,-5.0558517841,0.518224082,-1.0540999095,-0.2741644015
ssw__glc_glyc_glyc__1,-4.7039571204,0.460795852,-1.3081330935,-0.45250245850000004
ssw__glc_xyl_glc__1,-6.5717250679,-0.634889455,-1.1727561105,-1.0410889935
ssw__glc_xyl_xyl__1,-4.5581484855,-0.264002552,-1.2587677035,-0.8552477355
ica__wt_glc__1,-1.5291405781,-0.760218982,-1.0288914735,-0.5082379055
ica__wt_glc__2,-2.7302129101,-0.853688909,-0.9416034705,-0.4994340875
ica__wt_glc__3,-2.7461512518999998,0.049913986,-1.2980526275,-0.1040741495
ica__wt_glc__4,-3.1862809508,0.090811919,-1.6928023475,-0.2792215905
ica__arg_sbt__1,6.2797499106,0.589161122,-1.5349266995000002,-0.2671002145
ica__arg_sbt__2,6.5346433955,0.38819800200000004,-1.9500805105,-0.3823479205
ica__cytd_rib__1,21.7269315755,0.7651803420000001,-1.1782060125,0.1386887865
ica__cytd_rib__2,21.2989385964,0.6480234420000001,-1.2108747475000001,0.12476168450000001
ica__gth__1,0.3506473687,0.891268402,-1.0765006485,0.3953586515
ica__gth__2,0.35228144,1.006328562,-1.2077988325,0.5102487215
ica__leu_glcr__1,2.8346336286,-0.236939853,-2.3217179255,-0.2586659055
ica__leu_glcr__2,2.5155263586,-0.303417861,-2.3204743805,-0.3374765535
ica__met_glc__1,-1.8383889429,-1.022815705,-1.5529284895000002,-0.8079442385000001
ica__met_glc__2,-1.7254031309000002,-1.1022078180000001,-1.5606984645000002,-0.8131288585
ica__no3_anaero__1,-7.0842362462,-0.195428179,-0.5814741805,0.023476880500000002
ica__no3_anaero__2,-6.4035018159,-0.121725145,-0.7310563255,0.012221922500000001
ica__phe_acgam__1,-2.468860203,-0.492266825,-1.8022377105,-0.5329956575
ica__phe_acgam__2,-2.4441859677,-0.58526513,-1.7421548855,-0.5109843565000001
ica__thm_gal__1,5.6491511186,0.606615282,-1.4826370455,-0.1857659965
ica__thm_gal__2,5.8046413444,0.6685109720000001,-1.3763329745,-0.0851485565
ica__tyr_glcn__1,-2.0441822995,-0.5756726790000001,-1.6094516235,-0.3903549005
ica__tyr_glcn__2,-3.0846043979,-0.507721481,-1.7399843025,-0.3410315705
ica__ura_pyr__1,-0.0044325508,0.20881733900000002,-1.9512778935,-0.3768134025
ica__ura_pyr__2,1.6192710094,0.446916122,-2.1287103875,-0.4399327825
ica__wt_glc__5,-4.0537593,-0.44323311600000004,-1.5173093635,-0.5177360115
ica__wt_glc__6,-3.7548130030999998,-0.344020588,-1.6751314965000002,-0.49115702850000004
ica__bw_delpurR_cytd__1,-4.3297450583,-1.10661481,-1.6508305564999999,-0.7443637615
ica__bw_delpurR_cytd__2,-4.1705905037,-0.40072797,-2.0273868685,-0.7433956735
ica__ade_glc__1,-4.1448643637,-0.41283612900000005,-1.8791966845,-0.7138325825
ica__ade_glc__2,-4.902173928,-1.293643016,-1.3519457975,-0.8051262665000001
ytf__wt_glc__1,-0.5687743187000001,0.341964942,-0.9965007585000001,-0.2177005135
ytf__wt_glc__2,-2.620517899,0.6804132620000001,-1.2421250715,-0.1777278635
ytf__delyafC__1,-4.8511450105,0.556544842,0.2832668215,0.1175472515
ytf__delyafC__2,-5.0691475308,0.6846965420000001,-0.4532090945,0.1546335705
ytf__delyeiE__1,-4.3162352066,0.24851932100000002,1.5657899485,0.0250697845
ytf__delyeiE__2,-3.6550982309,0.072319354,-0.6680544355,-0.1486100975
ytf__delyiaJ__1,-5.7251517722,0.602499332,-1.3799284305000001,0.08753290150000001
ytf__delyiaJ__2,-5.6258396102,0.775933062,-1.6361449035,0.23139318550000001
ytf__delyieP__1,-5.5387728483,0.622855142,-0.1960486485,0.21411362450000002
ytf__delyieP__2,-4.8578370639,0.770140982,-0.9790222265,0.2065327435
ytf__wt_ph5__1,0.0461381628,0.46668029200000005,-0.3348788945,-0.1566763185
ytf__wt_ph5__2,-0.8323975175,0.490794722,-0.49514226650000004,-0.1216764105
ytf__wt_ph8__1,0.2228849332,0.413575132,-1.2456083295,-0.2880566235
ytf__wt_ph8__2,0.0316538702,0.42222096200000003,-1.3366248105,-0.3517970845
ytf__delybaO__1,-5.2869265618,0.39317079200000005,-0.0447021025,0.08682374550000001
ytf__delybaO__2,-5.6345675441,0.509847962,-1.3242929175,0.11715476650000001
ytf__delybaQ__1,-0.3574990108,0.110479853,-0.6822533575,-0.36648127750000004
ytf__delybaQ__2,0.1718096527,0.19184862700000002,-0.7889451225,-0.4210866755
ytf__delybiH__1,-2.4094771107,0.7546381320000001,-1.0512743295,-0.08041245350000001
ytf__delybiH__2,-4.7571715449,0.858339712,-1.4347729345,0.1485691505
ytf__delydcI_ph5__1,0.0411506603,0.23723094300000003,-0.14451927950000001,-0.2860461955
ytf__delydcI_ph5__2,-0.1930336765,0.21605959200000002,-0.20162230150000002,-0.2915660545
ytf__delydcI_ph8__1,-1.4820694891000001,0.5150319520000001,-1.4702849345,-0.19775634250000002
ytf__delydcI_ph8__2,-0.1381056369,0.075430536,-1.5013579485,-0.4303054455
ytf__delyddM__1,-0.0188046784,0.590555552,-1.6439704635,0.0436795175
ytf__delyddM__2,0.29961215890000004,0.554853602,-1.6699376865,0.0510243685
ytf__delyheO__1,-5.3276309119,0.440513052,-0.0961685255,0.0094733505
ytf__delyheO__2,-5.6119584662,0.5138055220000001,-1.1799778765,0.024496082500000002
fps__bw_glc__1,-1.9987208026,-0.42322193300000005,-0.9777779675,-0.5196136545
fps__bw_glc__2,-1.9463217749,-0.397225969,-0.9353370225000001,-0.6788874785
fps__fps_thrA_ale1__1,-1.3194582887,0.39264833200000004,-1.2486509545,-0.3205594465
fps__fps_thrA_ale1__2,-1.4452459866,0.40612146200000004,-1.3038047335,-0.42812930250000003
fps__fps_thrA_ale2__1,-2.8144053167000003,0.563901842,-1.7175144015,-0.4658414105
fps__fps_thrA_ale2__2,-2.5229723941,0.45276521200000003,-1.7120581785,-0.4076242355
fps__fps_serB_ale1__1,0.253133956,0.19160315700000002,-1.5617680455,-0.3878105415
fps__fps_serB_ale1__2,-0.0223182977,0.146452999,-1.4817199635,-0.3348743525
fps__fps_serB_ale4__1,-0.6818067604,0.361100702,-2.1540446635,-0.1907283005
fps__fps_serB_ale4__2,0.1397243948,0.14233325400000002,-1.8761335375,0.10126346950000001
fps__fps_ptsI_ale1__1,7.1656748134,1.047253142,-2.0867915705,-0.8559759545000001
fps__fps_ptsI_ale1__2,7.3810804231,0.915891192,-2.1203831385,-0.7988730515
fps__fps_ptsI_ale3__1,3.8792542433,0.5594406820000001,-1.9185099985,-0.8056928055
fps__fps_ptsI_ale3__2,4.6654037937,0.625345122,-1.8123063115,-0.8484199965
pal__lyx_ale2_f6__1,10.5634511814,1.221120712,-1.4586756445,-0.3722573105
pal__lyx_ale2__1,7.8928851528,0.9668986020000001,-1.5631995905,-0.5214724065
pal__lyx_ale2__2,7.4923296687,1.011708712,-1.4896369415000001,-0.4881702405
pal__lyx_ale4__1,4.2747970476,-0.31484015,-1.6170608035,-1.0848582725
pal__lyx_ale4__2,5.6840363217,-0.48601730600000004,-1.4091588365,-1.0038269125
pal__5drib_ale10_f18__1,8.4059939794,0.652653732,-1.2963189565,0.6129173255
pal__5drib_ale10_f18__2,8.0099503453,0.6990012320000001,-1.3281695625,0.6364002815
pal__5drib_ale10__1,7.6381476823,0.720726312,-1.3421571215,0.013956801500000001
pal__arab_ale14_f9__1,2.1534663946,0.672899162,-1.1608750075,-0.3592717405
pal__arab_ale14_f9__2,2.8209928139000002,0.514171322,-1.3292056155,-0.2363246525
pal__arab_ale14__1,-1.2118687342,-0.065868839,-1.1784117785000001,-0.6221584905
pal__arab_ale14__2,-0.3725432515,-0.171776657,-0.8780974225,-0.6037325335
pal__arab_ale16__1,-0.7222464786,-0.002671377,-0.2122107695,-0.3419427795
pal__arab_ale16__2,0.694375277,0.191384187,-0.6337032435000001,-0.20152948750000002
pal__tartr_ale26_f10__1,7.7675675316,1.052987252,-1.7645798195,-0.3747926055
pal__tartr_ale26_f10__2,8.618290083,1.117358552,-1.8468945845,-0.35274892150000003
pal__tartr_ale26__1,9.1239104376,0.389226942,-2.0319757345,-0.45010071150000003
pal__tartr_ale26__2,9.5826962666,0.314109252,-1.8663941805,-0.3057581085
pal__tartr_ale28_f10__1,9.2280177341,1.265058722,-1.8169926835,-0.4779141955
pal__tartr_ale28_f10__2,7.3105882045,0.9722561120000001,-1.7375450835000001,-0.48248354050000003
pal__tartr_ale28__1,4.569519791,0.063914889,-1.6797790345,-0.5465418105000001
pal__tartr_ale28__2,2.7337752076,0.36638761200000003,-1.2398568005000001,-0.6007871505
efeU__delmenFentC_citr__1,-0.7538446437,0.43246427200000004,-0.6294158785,-0.3912163105
efeU__delmenFentC_citr__2,-0.5980137726,0.389756152,-0.8256030965000001,-0.5284220465
efeU__delmenFentC__1,0.7519369625,1.177584972,-2.2215960525,0.08356590650000001
efeU__delmenFentC__2,0.6896681895,1.115352902,-2.1685421475,0.053814073500000004
efeU__menFentC_ale39__1,-3.1574534275,-0.068474823,-0.8200750975000001,-0.3340089295
efeU__menFentC_ale39__2,-3.486099764,-0.114093364,-1.1044635435,-0.2956222475
efeU__menFentC_ale29__1,-4.1601764403,0.653364402,-1.3480076285,-0.0378373955
efeU__menFentC_ale29__2,-3.6494391969,0.730860912,-1.3400240475,-0.0412327315
efeU__menFentC_ale30__1,-3.4498381041,-0.6166222720000001,-0.9323353685,-0.7487878285
efeU__menFentC_ale30__2,-4.297771457,-0.36928399700000003,-1.1796826025,-0.7009630315000001
efeU__menFentCubiC_ale36__1,-1.6237352967,0.204656004,-1.6270618895,-0.18203062050000002
efeU__menFentCubiC_ale36__2,-1.4629341746,0.245879587,-1.7971527675,-0.2151145645
efeU__menFentCubiC_ale37__1,-0.9018710883000001,0.5874251220000001,-1.5181078695,-0.0737356045
efeU__menFentCubiC_ale37__2,-1.0000723579,0.40229103200000005,-1.3436456505,-0.0430306665
efeU__menFentCubiC_ale38__1,-5.7032206069,0.33760438200000004,-2.3352106275,-0.0768021715
efeU__menFentCubiC_ale38__2,-5.5424358429,0.321729782,-2.3688356055,-0.2355697055
misc2__salc_glc__1,-1.4643246445,0.8863017320000001,-1.0431659165,0.1359028115
misc2__salc_glc__2,-0.7383728339000001,1.151312292,-0.5560525515,0.44392921550000003
misc2__dbcn_glc__1,-2.0329930975,-0.870570438,-0.7197470815,-0.6235655355
misc2__dbcn_glc__2,-0.2226688582,-0.053842641000000004,-1.2010477695,-0.4320346105
misc2__tyr_glc__1,-2.1609827436,0.030154189,-1.7723303515,-0.2007496575
misc2__tyr_glc__2,-2.6832409074,0.189315261,-1.9101751495000001,-0.1041754705
misc2__arg_cytd__1,-5.6002581299,-0.9715555750000001,-1.3777559135000002,-0.6218984005
misc2__arg_cytd__2,-4.8869510699,-0.9203768010000001,-1.3653660065,-0.5839646795
misc2__delyheO_pyr__1,1.6947879875,0.746716032,-1.5279821755,-0.45300003250000004
misc2__delyheO_pyr__2,2.5468933497,0.640421412,-1.5795546135,-0.5385766335000001
nquinone__delubiC__1,-5.6085483582,-0.18854235400000002,-1.9886009815,-0.3668799975
nquinone__delubiC__2,-5.0878597113,0.030013313000000003,-2.1909195095,-0.3155679335
nquinone__ubiC_ale1__1,-2.2851086965,0.41317053200000003,-1.6665392185,-0.1009341795
nquinone__ubiC_ale1__2,-2.3169630585,0.44372140200000004,-1.6980426675,-0.2546691535
nquinone__ubiC_ale2__1,-3.1152494341,0.9644070320000001,-1.8765688165,-0.40340550750000004
nquinone__ubiC_ale2__2,-2.4335701862,0.825257302,-1.6700450695,-0.3678198875
nquinone__ubiC_ale3__1,-3.2164232463,-0.490303827,-2.4753954315,-0.8875475355
nquinone__ubiC_ale3__2,-3.2484609444,-0.46322188700000005,-2.5830672255,-0.7537812915000001
nquinone__ubiC_ale4__1,-2.9398746394,0.630730562,-1.8224400115,-0.32932624050000003
nquinone__ubiC_ale4__2,-2.610596507,0.697185532,-1.8526699205,-0.1580608585
nquinone__delpdhR__1,-0.5248142496,-0.7608141740000001,-1.3319922395,-0.6353274335
nquinone__delpdhR__2,-0.5854859482,-0.7927318760000001,-1.2692121185,-0.7252746255
quinone__glu_ale4__1,-4.4071798444,-0.37281189800000003,-1.6710258525000001,-0.5979053565
quinone__glu_ale4__2,-5.5440851909,-0.370992619,-1.8579096394999999,-0.36403217250000003
quinone__delmenF__1,-0.0168291995,0.04685425,-0.7548873605,-0.1925102585
quinone__delmenF__2,-0.5918859281000001,0.363218242,-0.7667089215,-0.4212613405
quinone__menF_ale5__1,-2.7832786644,0.414445702,-1.1963083165,0.0905275655
quinone__menF_ale5__2,-3.0403536988,0.635844992,-0.9735447385,-0.028343522500000003
quinone__menF_ale6__1,-3.0534588099,0.416631322,-1.2348248715,-0.0886333495
quinone__menF_ale6__2,-3.3145543937,0.349855482,-1.2108073135,0.0306147075
quinone__menF_ale7__1,-3.8183011401,0.27863103300000003,-1.4416075545,-0.0059721975
quinone__menF_ale7__2,-3.8047254600000002,0.352076192,-1.5038081895,0.0742940055
quinone__menF_ale8__1,-3.9618358519,0.081373631,-1.8103971955,-0.1555023795
quinone__menF_ale8__2,-4.2608833234,0.289872226,-1.5506008525000001,0.0782791145
quinone__delmenFubiC__1,-3.1321417443,0.434302342,-1.0945297635,-0.2155050915
quinone__delmenFubiC__2,-2.2066618563000002,0.44545774200000005,-1.2269381265,-0.2042967585
quinone__menFubiC_ale1__1,-6.0292875486,-0.592986713,-0.6184342495,-0.1498709755
quinone__menFubiC_ale1__2,-6.0836969765,-0.6825730510000001,-0.49830188350000004,-0.1392940585
quinone__menFubiC_ale2__1,-5.9313264536,-0.48291984600000004,-1.4931491365,0.0115364335
