,A,EvgA
ica__wt_glc__5,0.8695551935,-1.5708399800000001
ica__wt_glc__6,0.36805392670000003,-1.604122001
ica__bw_delpurR_cytd__1,-0.6210320968,-1.763684124
ica__bw_delpurR_cytd__2,-0.4510979939,-2.122820084
ica__ade_glc__1,0.0573141677,-1.9887882060000002
ica__ade_glc__2,-0.5188023122000001,-1.587633354
ytf__wt_glc__1,1.7752212713,-0.285593453
ytf__wt_glc__2,1.9031160246,0.22375053
ytf__delyafC__1,1.1016504061,0.10948571500000001
ytf__delyafC__2,0.2817394843,0.18861554900000002
ytf__delyeiE__1,1.6530565124,0.38969351700000004
ytf__delyeiE__2,1.2204533735,0.331916037
ytf__delyiaJ__1,1.8949661789,0.5992961950000001
ytf__delyiaJ__2,2.2732177802,0.6072846310000001
ytf__delyieP__1,1.2998843722,0.42606670100000005
ytf__delyieP__2,1.7449249235000002,0.20916394
ytf__wt_ph5__1,10.8953229629,-0.40821627200000005
ytf__wt_ph5__2,11.1087974502,-0.308506545
ytf__wt_ph8__1,2.183005753,0.15090029400000002
ytf__wt_ph8__2,1.6619700279,0.037102913
ytf__delybaO__1,2.0641444993,0.013349845
ytf__delybaO__2,1.1765174471,0.21926514800000002
ytf__delybaQ__1,1.0801628849,-0.178322254
ytf__delybaQ__2,0.7416801359,-0.138152623
ytf__delybiH__1,2.3778137394,-0.262247441
ytf__delybiH__2,1.7709604024,0.124234277
ytf__delydcI_ph5__1,12.6544720202,-0.271162455
ytf__delydcI_ph5__2,13.2741810132,-0.30875767600000004
ytf__delydcI_ph8__1,3.256715484,0.09028335600000001
ytf__delydcI_ph8__2,3.421121457,-0.020165196
ytf__delyddM__1,2.3082748772,0.439753728
ytf__delyddM__2,2.0992467577,0.263823163
ytf__delyheO__1,0.9390182130000001,-0.057404911
ytf__delyheO__2,1.899385969,0.063874332
fps__bw_glc__1,1.763087137,-0.041623493000000004
fps__bw_glc__2,1.6837115814999999,-0.061353174
fps__fps_thrA_ale1__1,5.0172220475,0.260889411
fps__fps_thrA_ale1__2,4.9080984612,0.15355602000000002
fps__fps_thrA_ale2__1,5.8130272686,0.27005458600000004
fps__fps_thrA_ale2__2,5.2254907838,0.145470137
fps__fps_serB_ale1__1,1.2156994532,-0.409731938
fps__fps_serB_ale1__2,1.3124704333000001,-0.451288795
fps__fps_serB_ale4__1,0.8207603547000001,-1.75847393
fps__fps_serB_ale4__2,1.6389234800999999,-1.5422229170000001
fps__fps_ptsI_ale1__1,3.4518474109,-1.284966534
fps__fps_ptsI_ale1__2,3.7244722745,-1.314123693
fps__fps_ptsI_ale3__1,3.8048155325,-0.972370956
fps__fps_ptsI_ale3__2,3.8679597877000003,-1.027143002
pal__lyx_ale2_f6__1,0.0715776182,-2.422103088
pal__lyx_ale2__1,0.0007554512,-3.839372084
pal__lyx_ale2__2,0.2653798904,-3.483765233
pal__lyx_ale4__1,-0.0946603629,-3.668157218
pal__lyx_ale4__2,0.1862932772,-3.009078889
pal__5drib_ale10_f18__1,0.11123606200000001,-3.679575791
pal__5drib_ale10_f18__2,0.8753933650000001,-3.584185376
pal__5drib_ale10__1,0.4762448856,-2.580944231
pal__arab_ale14_f9__1,1.3029306634,-1.7609945050000002
pal__arab_ale14_f9__2,0.0685600324,-2.149257605
pal__arab_ale14__1,1.1212254424,-2.127339077
pal__arab_ale14__2,0.1981091429,-2.305807379
pal__arab_ale16__1,1.8801223786999999,-0.960071797
pal__arab_ale16__2,2.1204933167,-1.347419721
pal__tartr_ale26_f10__1,0.1786895308,-3.541606452
pal__tartr_ale26_f10__2,0.303249158,-3.376052188
pal__tartr_ale26__1,-0.7531562132,-4.466149814
pal__tartr_ale26__2,-1.226829535,-4.688584768
pal__tartr_ale28_f10__1,1.0899526234,-2.8361551560000002
pal__tartr_ale28_f10__2,0.6818018745000001,-3.094091879
pal__tartr_ale28__1,-0.8254293352000001,-2.861772917
pal__tartr_ale28__2,-0.2101246867,-2.21990312
efeU__delmenFentC_citr__1,5.4254600282,-0.45843449300000005
efeU__delmenFentC_citr__2,4.6855129458,-0.695102744
efeU__delmenFentC__1,1.3653328436,-0.169460847
efeU__delmenFentC__2,2.3515839209,0.12490253400000001
efeU__menFentC_ale39__1,2.4793311962,-1.64900066
efeU__menFentC_ale39__2,2.1253820448,-1.500832719
efeU__menFentC_ale29__1,3.4456353198,-0.9541751890000001
efeU__menFentC_ale29__2,3.2620116521,-1.100819748
efeU__menFentC_ale30__1,2.9678419707,-0.8256882630000001
efeU__menFentC_ale30__2,3.8928410792,-0.78881251
efeU__menFentCubiC_ale36__1,2.5297407476,-0.12103967800000001
efeU__menFentCubiC_ale36__2,3.7725252424,-0.07685663100000001
efeU__menFentCubiC_ale37__1,3.5312138652,0.44685050400000004
efeU__menFentCubiC_ale37__2,3.3916423493,0.479236908
efeU__menFentCubiC_ale38__1,4.4841282169,-0.20630482200000003
efeU__menFentCubiC_ale38__2,4.3012183493,-0.257385246
misc2__salc_glc__1,-0.3334853881,0.30997522
misc2__salc_glc__2,-1.5813308902,-0.18976005
misc2__dbcn_glc__1,-1.1010165794,-3.154847113
misc2__dbcn_glc__2,-0.9947911170000001,-3.129932251
misc2__tyr_glc__1,-0.47946476800000004,-1.6265523430000002
misc2__tyr_glc__2,0.3665893135,-1.540546141
misc2__arg_cytd__1,0.9756424972000001,-1.304564945
misc2__arg_cytd__2,0.5267945968000001,-1.379729019
misc2__delyheO_pyr__1,6.605345227,0.32014380600000003
misc2__delyheO_pyr__2,5.8301656711,0.230986972
nquinone__delubiC__1,1.0339535285,-0.797758315
nquinone__delubiC__2,0.9865688684,-0.5715560540000001
nquinone__ubiC_ale1__1,4.5875985452,-0.307278857
nquinone__ubiC_ale1__2,5.149372734,-0.11693183200000001
nquinone__ubiC_ale2__1,7.1072604303,0.6513576130000001
nquinone__ubiC_ale2__2,6.3484122504,0.350073587
nquinone__ubiC_ale3__1,0.11275017,-2.326059024
nquinone__ubiC_ale3__2,0.6649853726,-2.296680831
nquinone__ubiC_ale4__1,6.3167065104,0.505351981
nquinone__ubiC_ale4__2,6.7342741325,0.44792554100000004
nquinone__delpdhR__1,1.631830108,-2.278137604
nquinone__delpdhR__2,1.8389727938,-2.37816225
quinone__glu_ale4__1,-0.0103937816,-1.968893746
quinone__glu_ale4__2,0.7897831072,-2.392437417
quinone__delmenF__1,1.4403771319,0.059803728
quinone__delmenF__2,2.0561027861,0.10837882500000001
quinone__menF_ale5__1,2.5437834262,-1.136594982
quinone__menF_ale5__2,1.5794288296999999,-1.372880548
quinone__menF_ale6__1,3.0576530059,-1.134765084
quinone__menF_ale6__2,2.1033845700000002,-1.032616774
quinone__menF_ale7__1,3.1830035588,-0.8097942410000001
quinone__menF_ale7__2,2.826831775,-0.7973078720000001
quinone__menF_ale8__1,2.4413797025,-0.5190008150000001
quinone__menF_ale8__2,2.9885982404,-0.133953768
quinone__delmenFubiC__1,1.6487936073,0.062728225
quinone__delmenFubiC__2,2.0271124827,0.207192659
quinone__menFubiC_ale1__1,1.6707882286,0.047788652
quinone__menFubiC_ale1__2,0.8697953057000001,0.047911225
quinone__menFubiC_ale2__1,0.9383262468,-0.337620432
quinone__menFubiC_ale2__2,0.5769508517,-0.272628756
quinone__menFubiC_ale3__1,3.5369984267,-0.746207936
quinone__menFubiC_ale3__2,3.7583968814,-0.72033534
quinone__menFubiC_ale4__1,2.2899661716,-1.254544624
quinone__menFubiC_ale4__2,2.4354108275,-1.070792583
oxyR__wt_glc__1,1.3046600485,-1.5917691710000001
oxyR__wt_glc__2,1.2472911164,-1.47699807
oxyR__wt_h2o2__1,1.7963058108,-1.072954887
oxyR__wt_h2o2__2,2.0641160841,-0.8679647680000001
oxyR__glu_ale4__1,1.4005294814,-0.871952744
oxyR__glu_ale4__2,0.674033383,-0.7667998330000001
oxyR__glu_ale4_h2o2__1,1.6736084774000002,-0.39400929900000004
oxyR__glu_ale4_h2o2__2,0.9087567910000001,-0.127176233
oxyR__oxyR_ale17__1,3.2471212072,0.22506477400000002
oxyR__oxyR_ale17__2,1.882756043,0.029915672
oxyR__oxyR_ale17_h2o2__1,4.218972314,0.007850000000000001
oxyR__oxyR_ale17_h2o2__2,3.4679306854,-0.13297130100000001
oxyR__oxyR_ale18__1,0.08950308010000001,-1.72065533
oxyR__oxyR_ale18__2,0.8025712478,-1.502485431
oxyR__oxyR_ale18_h2o2__1,0.7736545339,-0.68551869
oxyR__oxyR_ale18_h2o2__2,1.176994727,-0.9343736210000001
oxyR__oxyR_ale19__1,1.0666634807,-1.284312447
oxyR__oxyR_ale19__2,1.1403652177,-1.126393249
oxyR__oxyR_ale19_h2o2__1,0.5556415992,-1.392386769
oxyR__oxyR_ale19_h2o2__2,1.015282314,-1.605617965
oxyR__oxyR_ale20__1,1.5402215778000001,0.327914588
oxyR__oxyR_ale20__2,2.1627023484,0.323495755
oxyR__oxyR_ale20_h2o2__1,2.3769571331,0.252437507
oxyR__oxyR_ale20_h2o2__2,2.3958799707000002,0.203775948
svns_pgi__BmePgi24_15__1,3.9987821154,0.140784436
svns_pgi__BmePgi24_15__2,3.7261677375,0.09385093800000001
svns_pgi__BmePgi24_26__1,3.9881523177,-0.348385869
svns_pgi__BmePgi24_26__2,3.9643461367,-0.337026009
svns_pgi__BmePgi24_41__1,4.5933587582,-0.646306135
svns_pgi__BmePgi24_41__2,4.0587499036,-0.753435681
svns_pgi__BmePgi24_52__1,4.3107255326,-0.239641285
svns_pgi__BmePgi24_52__2,3.9605989771,-0.40899631000000003
svns_pgi__PaePgi2_34__1,1.3296293787,-0.537747214
svns_pgi__PaePgi2_34__2,1.5288983226,-0.512584485
svns_pgi__PaePgi2_63__1,2.2428259674,-0.95561378
svns_pgi__PaePgi2_63__2,3.0938925663,-0.883260393
svns_pgi__PaePgi24_54__1,1.7594713989000001,-0.5414844160000001
svns_pgi__PaePgi24_54__2,1.2866155323,-0.535186593
svns_pgi__PaePgi24_90__1,1.3160951845,-1.318261761
svns_pgi__PaePgi24_90__2,1.6516554211,-0.9207265710000001
abx_media__m9_ctrl__1,5.0827792073,0.114374552
abx_media__m9_ctrl__2,3.8847681144,-0.40256397800000004
abx_media__rpmi_ctrl__1,1.0084135259,-1.116999766
abx_media__rpmi_ctrl__2,-0.1537878642,-1.338847202
abx_media__camhb_ctrl__1,2.9120595183,-2.374069928
abx_media__camhb_ctrl__2,2.4388372609,-2.3064691440000002
abx_media__m9_mero__1,4.7296723376,-0.143815925
abx_media__m9_mero__2,3.6541400150000003,-0.352831712
abx_media__rpmi_mero__1,0.7052952038,-1.46195106
abx_media__rpmi_mero__2,0.2562565245,-1.452567624
abx_media__camhb_mero__1,3.9831310456,-2.504951101
abx_media__camhb_mero__2,3.2488674155,-2.544861322
abx_media__m9_trisulf__1,3.9220016448,-0.22066944800000002
abx_media__m9_trisulf__2,3.3855294166,-0.077969276
abx_media__rpmi_trisulf__1,1.3990451329,-2.123085446
abx_media__rpmi_trisulf__2,1.0810990181,-2.187719184
abx_media__camhb_trisulf__1,-0.1670109356,-2.751330081
abx_media__camhb_trisulf__2,-0.6333696320000001,-2.691073936
abx_media__m9_cef__1,3.6207505364,-0.058883969
abx_media__m9_cef__2,2.944404623,-0.20054822400000002
abx_media__rpmi_cef__1,0.30787795020000003,-1.185706395
abx_media__rpmi_cef__2,0.8029257617000001,-1.074928813
abx_media__camhb_cef__1,1.4472683347,-3.153170175
abx_media__camhb_cef__2,1.2912409654,-2.9465316120000002
abx_media__m9_cipro__1,1.7572504675,-1.453882956
abx_media__m9_cipro__2,1.7067224345,-0.9998024830000001
abx_media__rpmi_cipro__1,-0.5382950935,-2.112813307
abx_media__rpmi_cipro__2,-0.23915640500000002,-1.80960466
abx_media__camhb_cipro__1,0.6579686095,-3.032545376
abx_media__camhb_cipro__2,0.6437082145,-2.791435377
hot_tale__42c_ale3_30c__1,0.33127240880000003,-1.125184079
hot_tale__42c_ale3_30c__2,1.2211743691999999,-1.112173933
hot_tale__42c_ale3_37c__1,-0.2834541377,-1.377032494
hot_tale__42c_ale3_37c__2,-0.7022578556,-1.258953856
hot_tale__42c_ale3_44c__1,2.5636359055,-0.07984619200000001
hot_tale__42c_ale3_44c__2,2.3187421873,-0.21291399700000002
hot_tale__hot_ale3_mid_30c__1,0.2499805029,-3.458633609
hot_tale__hot_ale3_mid_30c__2,0.1476277226,-4.137701191
hot_tale__hot_ale3_mid_37c__1,-1.1884095512,-4.805636201
hot_tale__hot_ale3_mid_37c__2,-0.7499910954,-4.197543295
hot_tale__hot_ale3_mid_44c__1,-0.3916636235,-1.860975547
hot_tale__hot_ale3_mid_44c__2,1.3026744513000001,-2.357336435
hot_tale__hot_ale3_30c__1,-0.1083393742,-4.125890015
hot_tale__hot_ale3_30c__2,-0.1736298869,-4.620013751
hot_tale__hot_ale3_37c__1,-1.1015131805,-4.267002927
hot_tale__hot_ale3_37c__2,-0.9596823832,-4.218455075
hot_tale__hot_ale3_44c__1,0.36542522,-2.601447675
hot_tale__hot_ale3_44c__2,0.3655796066,-2.487888203
hot_tale__hot_ale4_30c__1,-0.3773862287,-3.875927342
hot_tale__hot_ale4_30c__2,-1.1453441259,-4.05508323
hot_tale__hot_ale4_37c__1,-0.8098072833000001,-4.136974247
hot_tale__hot_ale4_37c__2,-0.2611062033,-4.255310044
hot_tale__hot_ale4_44c__1,0.43264706950000004,-1.960046299
hot_tale__hot_ale4_44c__2,0.6616016054,-2.30047216
hot_tale__hot_ale8_30c__1,-1.6033861195,-3.877013144
hot_tale__hot_ale8_30c__2,-0.9634976794000001,-3.96750189
hot_tale__hot_ale8_37c__1,-2.1220649891,-4.301975669
hot_tale__hot_ale8_37c__2,-1.9904822913,-4.357827181
hot_tale__hot_ale8_44c__1,-0.5637376398,-2.665135647
hot_tale__hot_ale8_44c__2,-0.7122298612,-2.704337273
hot_tale__hot_ale9_mid_30c__1,1.0970951768,-3.410762917
hot_tale__hot_ale9_mid_30c__2,0.9313665696000001,-3.671827572
hot_tale__hot_ale9_30c__1,-0.8648462643,-3.883926246
hot_tale__hot_ale9_30c__2,-0.7399125510000001,-4.129615067
hot_tale__hot_ale9_mid_37c__1,0.5522246455,-3.883463775
hot_tale__hot_ale9_mid_37c__2,0.6033294597000001,-3.64327606
hot_tale__hot_ale9_37c__1,-0.7701846498,-4.480726322
hot_tale__hot_ale9_37c__2,-0.3094357424,-4.354813358
hot_tale__hot_ale9_mid_44c__1,1.6079888994,-2.406089085
hot_tale__hot_ale9_mid_44c__2,2.5903686522,-2.76179469
hot_tale__hot_ale9_44c__1,0.9134286099000001,-2.9200782050000003
hot_tale__hot_ale9_44c__2,1.2165475073,-3.198183121
hot_tale__hot_ale10_30c__1,0.0826208446,-3.589390827
hot_tale__hot_ale10_30c__2,0.0656667125,-4.412049979
hot_tale__hot_ale10_37c__1,-0.23397862160000002,-3.986125127
hot_tale__hot_ale10_37c__2,-0.18422962680000002,-4.064768708
hot_tale__hot_ale10_44c__1,1.9911306861,-2.291425685
hot_tale__hot_ale10_44c__2,3.0751529883,-1.709089005
hot_tale__hot_ale16_30c__1,-0.0605917917,-3.327240978
hot_tale__hot_ale16_30c__2,-0.1966529752,-3.72593528
hot_tale__hot_ale16_37c__1,-0.23579370330000002,-4.010119956
hot_tale__hot_ale16_37c__2,-1.0612040108,-4.240942524
hot_tale__hot_ale16_44c__1,2.4499479257,-2.712637388
hot_tale__hot_ale16_44c__2,1.3632972816,-2.39701508
pdhr_ale__pdhR-13_51__1,4.2643259888,0.066025056
pdhr_ale__pdhR-13_51__2,4.7999418211,0.10786055
pdhr_ale__pdhR-14_46__1,6.5586656157,0.291989973
pdhr_ale__pdhR-14_46__2,6.2674124386,0.034096661
pdhr_ale__pdhR-15_51__1,4.8037586721,-0.01750852
pdhr_ale__pdhR-15_51__2,4.8399279902,-0.128554534
pdhr_ale__pdhR-16_49__1,6.7429758934,0.164584752
pdhr_ale__pdhR-16_49__2,4.723981684,-0.383259456
tcs__del_atoC_LiAcet__1,1.4679804964,0.24523318
tcs__del_atoC_LiAcet__2,0.28783428640000003,-0.10550500400000001
tcs__del_atoC_LiCl__1,1.733391127,0.646315215
tcs__del_atoC_LiCl__2,1.6605924795,0.630839008
tcs__del_atoC_m9__1,2.2906286349,0.53040985
tcs__del_atoC_m9__2,1.4340352137,0.36437245500000004
tcs__del_baeR_etoh__1,0.2880813749,-1.582641276
tcs__del_baeR_etoh__2,-0.5447592205,-2.012712792
tcs__del_baeR_lb__1,1.6791461095,0.055498267000000004
tcs__del_baeR_lb__2,1.3742663494,0.08825901900000001
tcs__del_btsR_01xlb__1,2.8483251382,-3.801009622
tcs__del_btsR_01xlb__2,3.603751964,-3.997748742
tcs__del_btsR_lb__1,-1.2759818105,0.19844845100000003
tcs__del_btsR_lb__2,-1.1407570677,0.126836104
tcs__del_btsR_pyruvate__1,3.8610571149,-3.8922486110000003
tcs__del_btsR_pyruvate__2,3.7842046083,-3.758960998
tcs__del_cpxR_etoh__1,0.0623424286,-1.2608838740000001
tcs__del_cpxR_etoh__2,-0.1576421144,-1.277445012
tcs__del_cpxR_lb__1,1.7429718927,0.16506752400000002
tcs__del_cpxR_lb__2,1.4037651303,0.06288450400000001
tcs__del_cusR_CuSO4__1,-0.31873190100000004,-1.454745592
