,A,CsqR
abx_mega__tric_ethanol__1,-0.1374258452,-0.13970842190000002
abx_mega__nor_naoh__1,1.2874236743,0.2165611046
abx_mega__teix_dmso__2,3.8012178573,0.1141850105
abx_mega__nal_naoh__3,0.012896345,0.1059809101
abx_mega__novo_h2o__2,3.8551572698000003,-1.6296452128999999
abx_mega__dmso-10__2,0.1353074156,0.2233475973
abx_mega__phos_h2o__3,-0.6205909847000001,-0.056831060700000005
abx_mega__dmso-6__2,2.744794912,-0.379998948
abx_mega__rfp_ethanol__1,0.913417809,0.23654310280000002
abx_mega__dmso-5__3,1.2904911578,-0.18535585870000001
abx_mega__amyc-d_dmso__1,6.0061485588,0.2807628144
abx_mega__sxt_dmso__1,0.6226333518,-0.0994728277
abx_mega__dmso-1__1,-1.2301460286,-0.3174625741
abx_mega__pen_h2o__1,0.1012725336,0.0264003087
abx_mega__dmso-10__3,0.3218377779,0.21585917940000002
abx_mega__nal_naoh__4,1.3717025399,0.7834117619000001
abx_mega__cip_naoh__1,0.8539818496,0.5421568823
abx_mega__pen_h2o__2,0.3176346216,0.1783512469
abx_mega__ery_dmso__2,6.6006098341,-0.2405359
abx_mega__dmso-2__2,0.8985480991,0.5296943695
abx_mega__van_dmso__2,0.4425279405,0.49666212190000003
abx_mega__h2o-1b__1,-0.0534112741,-0.7529780065
abx_mega__ery_h2o__1,0.08641701190000001,-0.3212651711
abx_mega__bacit_h2o__1,0.1760007573,-0.3853431288
abx_mega__chl_h2o__2,0.1895756955,-0.3806412007
abx_mega__str_h2o__2,0.053489432100000005,0.0922101299
abx_mega__rfp_ethanol__2,2.7470669511,0.8870024717
abx_mega__polmyx_h2o__2,0.9813365796,0.670667409
abx_mega__tric_h2o__1,0.3235481947,0.4099677906
abx_mega__cip_naoh__2,1.9147083975,0.2974921002
abx_mega__novo_h2o__3,4.8212777179,-1.566416158
abx_mega__bacit_dmso__1,5.4454531412,0.1633185389
abx_mega__gen_h2o__1,3.0303755529,0.6349262969
abx_mega__bacit_dmso__2,6.8617178333,0.298170417
abx_mega__chl_dmso__1,2.8658842796,-0.23546365030000002
abx_mega__bacit_h2o__2,0.171634909,-0.1333373964
abx_mega__lvx_dmso__1,0.3275083082,0.5923969627
abx_mega__bacit_h2o__3,0.0239516748,-0.0507544424
abx_mega__nor_naoh__2,1.4300182396,0.007357008900000001
abx_mega__amyc-d_dmso__2,6.5232508258,0.23187964190000002
abx_mega__polmyx_h2o__3,0.8759634677,0.8346832165
abx_mega__naoh-6__1,-0.6522438125000001,0.1200579475
abx_mega__cst_h2o__2,5.828399782,0.8611964233
abx_mega__h2o-1b__2,-0.4364432885,-0.42021404090000003
abx_mega__rfp_h2o__1,4.4228866703,0.3294689125
abx_mega__tet_h2o__1,-0.3284503005,-0.5821783488
abx_mega__flavo_dmso__1,-0.5666314299,0.2026503251
abx_mega__zeocin_h2o__1,-0.1132114567,0.5362365619
abx_mega__nor_naoh__3,1.8530159111,0.2857331945
abx_mega__rach_dmso__2,1.1718022089,0.24041393530000002
abx_mega__thio_dmso__2,0.0661949787,0.10266802700000001
abx_mega__amyc-d_dmso__3,5.2263352206,0.013810061600000001
abx_mega__rif_dmso__2,8.0029499543,1.3588277988
abx_mega__amyc-d_dmso__4,1.6918579029,-0.13892611200000002
abx_mega__teix_dmso__3,0.3131999441,-0.0295048663
abx_mega__valin_dmso__1,8.4676620741,1.2028343791
abx_mega__teix_dmso__4,1.8370792472000002,-0.1831891235
abx_mega__ethanol-10__1,0.8249841782,0.7824357105
abx_mega__inh_h2o__1,0.6899776921,-0.0824114638
abx_mega__rif_dmso__3,1.9854012970000001,0.4010780486
abx_mega__van_dmso__3,5.4004565769,0.06982817150000001
abx_mega__doxo_dmso__1,1.4216450495,-0.0477158145
abx_mega__tmp_dmso__1,-0.2799952831,0.43006225070000004
abx_mega__ethanol-10__2,-0.1863924305,0.139376536
abx_mega__tmp_dmso__2,-0.0963363684,0.3665271272
abx_mega__amyc-d_dmso__5,2.7859550740000003,-0.2073081433
abx_mega__novo_h2o__4,8.1969385017,-0.7399515872
abx_mega__cro_h2o__2,-1.2798894754,0.6394870602
abx_mega__cro_h2o__3,-0.9125427486000001,0.6011090426
abx_mega__gen_h2o__2,-0.08014935740000001,0.6743844977
abx_mega__phos_h2o__4,-0.062496451300000005,0.2847781669
abx_mega__metro_dmso__2,1.0021169331,-0.4647768627
abx_mega__ery_h2o__2,0.20026565300000002,-0.306026736
abx_mega__sacet_h2o__1,-2.0152317599,-0.1080902529
abx_mega__nal_naoh__5,1.052121441,0.4497272613
abx_mega__bacit_h2o__4,0.3988168133,-0.3777338099
abx_mega__cip_naoh__3,1.1051762077,0.7394405178
abx_mega__ethanol-8__1,0.18696415560000001,0.43700196360000004
abx_mega__h2o-8a__1,-0.2402241849,0.5695346495
abx_mega__ery_h2o__3,0.5562401197,-0.07847865250000001
abx_mega__flavo_dmso__2,-0.3733803838,0.5136990866
abx_mega__rif_dmso__4,3.6386390509,0.6165455188
abx_mega__novo_h2o__5,3.5851523538,-2.032216143
abx_mega__teix_dmso__5,-0.29351930930000003,0.2739924177
abx_mega__naoh-2__1,-0.8640056015,0.2571213549
abx_mega__novo_h2o__6,2.3979934323,-1.5415052642
abx_mega__ctx_h2o__3,-0.9704949574,0.3727418181
abx_mega__rach_dmso__3,0.8755252656,0.1304652227
abx_mega__valin_dmso__2,8.2382769958,1.4240224439
abx_mega__amyc-d_dmso__6,2.7867760054,0.9247481347000001
abx_mega__dox_dmso__2,5.2539834673,0.2626822838
abx_mega__teix_dmso__6,0.2081743566,0.1776181739
abx_mega__naoh-6__2,-0.47533765110000004,-0.1593440186
abx_mega__inh_h2o__2,-0.6305881388,0.568683233
abx_mega__chl_h2o__3,1.7026475576,-0.3226580557
abx_mega__nal_naoh__6,0.9887363097,0.3576624533
abx_mega__chl_dmso__2,3.2365746205,-0.5771225401
abx_mega__rach_dmso__4,1.5723770075,-0.2021266474
abx_mega__teix_dmso__7,-0.1068313733,0.0604094488
abx_mega__ceru_ethanol__1,0.1675182333,0.3783033362
abx_mega__dmso-7__1,0.7464906086,0.0048238767
abx_mega__naoh-6__3,-0.39440584710000004,-0.2443131188
abx_mega__phos_ethanol__2,-1.3483508911,0.3934950897
abx_mega__metro_dmso__3,0.9463948416,0.1211096037
abx_mega__van_dmso__4,4.4770159959,-0.5341605714000001
abx_mega__h2o-10__1,-0.0934816134,0.4032755295
abx_mega__h2o-10__2,0.9476512691000001,0.6530867667
abx_mega__dmso-6__3,0.2711263197,-0.3763237372
abx_mega__mem_dmso__1,0.15325303980000002,0.4927095959
abx_mega__ethanol-8__2,1.0957571867,0.1946854819
abx_mega__chl_h2o__4,1.6592064211,-0.14779777400000002
abx_mega__van_h2o__1,-0.0978478323,-0.2674720846
abx_mega__dcs_h2o__1,-0.6630402698,0.4461560425
abx_mega__rif_dmso__5,2.2689198769,0.2577349304
abx_mega__dox_dmso__3,-0.6938869531,0.6656171269000001
abx_mega__mem_dmso__2,-0.4591125534,0.0602650427
abx_mega__lvx_dmso__2,1.2680304333,0.5559109314
abx_mega__tet_h2o__2,1.3288074847,0.46289463150000004
abx_mega__phos_h2o__5,-1.319325904,0.254841393
abx_mega__monac_dmso__1,0.9527983751,-0.0107199843
abx_mega__str_h2o__3,0.061709240900000004,0.2087911321
abx_mega__zeocin_h2o__2,9.169055748,1.0896610513
abx_mega__amyc-d_dmso__7,2.6812297252,0.1331740703
abx_mega__fidax_dmso__1,0.1735120501,0.2739029939
abx_mega__h2o-1a__1,0.5359575175,0.139342235
abx_mega__dox_dmso__4,1.0194095842,-0.1765494004
abx_mega__lzd_dmso__2,-1.2887326383,-0.0192867065
abx_mega__tet_h2o__3,-0.2784047811,-0.323564829
abx_mega__dmso-1__2,-1.613224156,-0.33645572560000003
abx_mega__sxt_dmso__2,-0.0800514235,0.8452792659
abx_mega__tric_ethanol__2,0.4698921649,-0.3262338849
abx_mega__teix_dmso__8,-0.5734222298,0.13910813630000002
abx_mega__ramo_h2o__2,0.7997058420000001,-0.0356106237
abx_mega__inh_h2o__3,0.44866540400000005,0.2458037562
abx_mega__cst_h2o__3,0.6469455984,0.1378915131
abx_mega__dmso-9__1,0.47833178600000004,0.4468898512
abx_mega__ethanol-8__3,0.39247319350000004,0.1236424009
abx_mega__monac_dmso__2,1.1267471869,0.37213615440000003
abx_mega__dmso-9__2,0.5368840363,0.3189602409
abx_mega__metro_dmso__4,4.4630263732,0.194758339
abx_mega__ctx_h2o__4,-0.4631722049,0.17801307460000002
abx_mega__zeocin_h2o__3,10.8292655738,1.4688484543
abx_mega__bacit_h2o__5,8.7578540198,1.1668252416
abx_mega__reta_dmso__1,-0.0412625541,0.2267860744
abx_mega__ery_h2o__4,2.2135540657,0.4564746253
abx_mega__ceru_ethanol__2,-0.153577671,-0.0136205397
abx_mega__fidax_dmso__2,-0.019606023400000002,0.2868671608
abx_mega__novo_dmso__1,2.9881550251,-1.1520498994
abx_mega__naoh-6__4,-0.2942865282,-0.3569629304
abx_mega__amyc-d_dmso__8,5.3004559014,0.2516723759
abx_mega__chl_dmso__3,2.3270434118,-0.40425515710000004
abx_mega__nal_naoh__7,0.10263719140000001,0.5413511208
abx_mega__teix_dmso__9,0.1312125829,-0.059265549300000005
abx_mega__ery_dmso__3,1.727695559,-1.8863222309
abx_mega__tmp_dmso__3,-0.3034971595,0.4236316661
abx_mega__sxt_dmso__3,0.24036338770000001,0.1719048099
abx_mega__polmyx_h2o__4,0.3219614369,0.1521739556
abx_mega__mem_dmso__3,0.0603297395,0.3468743601
abx_mega__nal_naoh__8,3.619068317,0.4562330435
abx_mega__pen_h2o__3,0.8483131481,0.3159755173
abx_mega__van_dmso__5,3.9773629683,0.1780635768
abx_mega__zeocin_h2o__4,8.1748969616,1.1068019434
abx_mega__h2o-6__2,-0.16139153850000001,-0.2853204881
abx_mega__tet_h2o__4,-0.5397396265000001,-0.4560706538
abx_mega__nor_naoh__4,0.27370849950000004,0.42364204120000004
abx_mega__cip_naoh__4,1.1127393924,0.0388475962
abx_mega__tmp_dmso__4,-1.2889530595,0.0161663586
abx_mega__reta_dmso__2,0.6506473183,0.47297433790000004
abx_mega__mem_dmso__4,-0.47842954470000004,0.7111782755
abx_mega__dox_dmso__5,-0.44321393410000004,-0.2470545992
abx_mega__tmp_dmso__5,-0.2129679689,0.3035999359
abx_mega__flavo_dmso__3,-0.2138276915,0.5451760191
abx_mega__tmp_dmso__6,-0.3398972847,0.562851266
abx_mega__ceru_ethanol__3,-0.7486430888000001,-0.6384907321000001
abx_mega__teix_dmso__10,0.3196443204,0.1701672932
abx_mega__novo_h2o__7,5.0715754687,-1.6634397659
abx_mega__fidax_dmso__3,-0.290148825,-0.1943732813
abx_mega__h2o-1a__2,-0.0466056773,-0.1198817041
abx_mega__dcs_h2o__2,0.7241997898,0.24296505670000001
abx_mega__cst_h2o__4,0.7492923789,-0.1591971211
abx_mega__van_h2o__2,0.0464327815,0.40997999360000004
abx_mega__pen_h2o__4,0.0460330965,0.7116609594000001
abx_mega__h2o-8b__2,0.5837216383,0.0722867623
abx_mega__reta_dmso__3,0.3268798335,0.2693246385
abx_mega__dmso-7__2,0.6491647529,0.2057058601
abx_mega__rfp_h2o__2,4.2720242874,0.38398336780000003
abx_mega__rif_dmso__6,5.8809936351,0.8324068441
abx_mega__sxt_dmso__4,0.12427083550000001,0.2330765635
abx_mega__cip_naoh__5,0.7983078339,0.0963868425
abx_mega__dmso-9__3,0.8121567995000001,0.3640635768
abx_mega__mem_dmso__5,-0.9590455603,0.3617649511
abx_mega__tric_h2o__2,0.1423194838,0.32017897640000004
abx_mega__phos_h2o__6,-0.517421755,-0.3466463521
abx_mega__h2o-7__2,0.45488953940000004,0.0856968209
abx_mega__h2o-10__3,0.18980668,0.80068576
abx_mega__h2o-8a__2,0.0364638502,0.36807415530000004
abx_mega__thio_dmso__3,0.6096049388,-0.0839692758
abx_mega__lzd_dmso__3,0.9640282440000001,-0.45078794520000004
abx_mega__monac_dmso__3,2.1773517474,-0.0336729504
abx_mega__polmyx_h2o__5,-0.7558564514,0.2741949839
abx_mega__naoh-6__5,-1.0400531697,0.057649444800000005
abx_mega__teix_dmso__11,-0.3354161416,-0.16063491500000002
abx_mega__van_h2o__3,-0.2345810508,0.39844384320000004
abx_mega__teix_dmso__12,-0.014794199999999999,0.6994892214
abx_mega__dox_dmso__6,-1.4189562569,0.377559333
abx_mega__teix_dmso__13,0.7917629539000001,-0.1457207287
abx_mega__h2o-7__3,0.2119295631,0.2411319428
abx_mega__str_h2o__4,-0.45566896360000003,0.9407679238000001
abx_mega__tec_h2o__3,-0.5591311549,-0.0780804826
abx_mega__phos_h2o__7,-1.1643619781,-0.22427547020000002
abx_mega__chl_h2o__5,0.8177079452,-0.5246720841
abx_mega__polmyx_h2o__6,-0.5320523883,0.3595435616
abx_mega__teix_dmso__14,-1.2296232236,-0.3255240099
abx_mega__rif_dmso__7,1.9640953432,0.3402347711
abx_mega__ramo_h2o__3,-0.0823887527,0.17399545700000002
abx_mega__fidax_dmso__4,-0.0237488008,0.053062636
abx_mega__teix_dmso__15,-0.9497805697,0.2223715575
abx_mega__thio_dmso__4,0.0235818627,-0.2832297883
abx_mega__rif_dmso__8,7.4926703421,1.3722418819
abx_mega__reta_dmso__4,1.0572553013000001,0.19605442380000002
abx_mega__inh_h2o__4,-0.2755324306,1.0299949781
abx_mega__novo_dmso__2,2.7515200178,-1.8615450980000001
abx_mega__dcs_h2o__3,-0.7711416416,0.3451081261
abx_mega__h2o-8b__3,0.1829195609,0.4989471521
abx_mega__valin_dmso__3,0.6663329962,-0.2775269321
abx_mega__h2o-2__1,2.9509246597,0.6806945399000001
abx_mega__cro_h2o__4,0.8544738784,0.6106491294
abx_mega__dcs_h2o__4,-0.43607086640000003,0.4160545177
abx_mega__str_h2o__5,1.4236022468,0.6822491122000001
abx_mega__h2o-8a__3,0.2422005268,-0.0082581348
abx_mega__dox_dmso__7,0.44690108840000003,-0.3417678213
abx_mega__doxo_dmso__2,1.0923424819,0.08763379360000001
abx_mega__teix_dmso__16,-0.4412908182,0.2082786658
abx_mega__rfp_h2o__3,4.3927725486,0.21443663840000002
abx_mega__ethanol-10__3,0.7725531158000001,0.2105896306
abx_mega__naoh-2__2,-0.5464386896,0.45652815480000003
abx_mega__van_h2o__4,0.32530826100000004,-0.19676265950000002
abx_mega__sacet_h2o__2,0.4539187603,0.4618657038
abx_mega__monac_dmso__4,0.9466548876,-0.0410245268
abx_mega__h2o-2__2,1.2655835395000001,0.9277905703
abx_mega__zeocin_h2o__5,0.0776985033,0.5374894841
abx_mega__nor_naoh__5,-0.040541868700000004,0.4955834174
abx_mega__naoh-9__2,0.0357730257,0.5035705044000001
abx_mega__dmso-7__3,0.7804868484,0.2883791993
abx_mega__van_h2o__5,-0.0214143512,-0.4920753
abx_mega__flavo_dmso__4,-1.0101612978,0.4396472965
abx_mega__novo_dmso__3,3.4398098153,-1.2169596453
abx_mega__polmyx_h2o__7,-0.4770799509,0.5470772454
abx_mega__teix_dmso__17,-0.0705860777,0.1777620013
abx_mega__doxo_dmso__3,0.5285769867,0.5373194318
abx_mega__mem_dmso__6,0.2526001083,0.6256108982
abx_mega__h2o-1a__3,-0.4893518402,-0.0194605308
abx_mega__bacit_dmso__3,9.2368740564,0.8238280795
abx_mega__dox_dmso__8,-0.4170432327,1.0399829337
abx_mega__teix_dmso__18,1.5543232576000001,-0.0295215502
abx_mega__h2o-6__3,-0.9954864928,-0.14089890030000002
abx_mega__pen_h2o__5,-0.0118718695,0.4472026743
abx_mega__lzd_dmso__4,-0.102380122,-0.1201223325
abx_mega__daro__1,-0.6157528878,0.2116942001
abx_mega__solv__1,-0.5697464904,-0.0672019725
abx_mega__daro__2,0.029587939100000002,0.34778774700000004
abx_mega__daro__3,0.5276764582,0.5716015981
abx_mega__solv__2,-0.7310517927,-0.307066173
abx_mega__solv__3,0.4767414393,0.4608559862
abx_mega__dmso-4__1,7.0744836227,0.8153489296
abx_mega__kirr_dmso__1,3.053972417,-0.3230175356
abx_mega__kirr_dmso__2,2.2766142086,-0.0678074079
abx_mega__kirr_dmso__3,4.5077814558,0.10684596240000001
abx_mega__dmso-4__2,8.6480664163,1.1650615906
abx_mega__dmso-4__3,6.7151979307000005,0.5918841464
ackA_pta__dnaA46_del_ackA__1,-1.2336738673,-0.3534331424
ackA_pta__dnaA46_del_ackA__2,-1.4320905816,-0.38510273780000004
ackA_pta__dnaA46_del_ackA__3,-1.5090920161999999,-0.5532231026000001
ackA_pta__dnaA46_del_pta__1,2.064044881,0.8340616011
ackA_pta__dnaA46_del_pta__2,-0.3819760692,-0.656392348
ackA_pta__dnaA46_del_pta__3,-1.0458786131,-0.0909045154
ackA_pta__dnaA46__1,-0.31211213600000004,0.1266567684
ackA_pta__dnaA46__2,-0.4490582976,-0.4919910671
ackA_pta__dnaA46__3,-0.2634271923,-0.0705136131
ackA_pta__del_ackA__1,-2.0539776858,0.30954425480000003
ackA_pta__del_ackA__2,-0.2538008636,0.7352501515000001
ackA_pta__del_ackA__3,-1.3531183525000001,0.055719294700000005
ackA_pta__del_pta__1,-0.317374329,-0.38193206700000004
ackA_pta__del_pta__2,-0.5832359852,-0.5852459427
ackA_pta__del_pta__3,-1.0114897798,-0.0433403993
ackA_pta__wt__1,-0.0508259,0.1652335125
ackA_pta__wt__2,-0.0605946541,-0.0208590515
ackA_pta__wt__3,0.1114205541,-0.144374461
anticancer__5fu__1,0.0097706493,-1.2147036741
anticancer__5fu__2,0.0325907811,-0.7018011349000001
anticancer__cap__1,-1.7348761676,-0.659791295
anticancer__cap__2,-1.1649613319,-1.2321005801
anticancer__cap__3,-1.6470182624,-1.1421789603999999
anticancer__wt__1,0.1045307208,-0.4172795301
anticancer__wt__2,0.1861819241,0.10924438160000001
anticancer__wt__3,-0.2907126449,0.3080351484
anticancer__5fu__3,-0.5038496407,-1.3358690554
bio_pln__aero_pln__1,-0.062697414,-0.1245021182
bio_pln__aero_pln__2,0.062697414,0.1245021182
bio_pln__anaero_pln__1,0.7922522492,-0.2396963453
bio_pln__anaero_pln__2,-1.8377461349000002,-0.7034198104
biocide__bzcl_12h__1,0.4519654577,0.07026167650000001
biocide__bzcl_12h__2,1.595042226,0.1532717158
biocide__bzcl_12h__3,0.4091253812,0.2436432942
biocide__etoh_12h__1,1.0021678445,0.3529192628
biocide__etoh_12h__2,1.2434695948,0.4237190826
biocide__etoh_12h__3,1.708894436,0.4234764085
biocide__gluald_12h__1,1.093445406,-0.12032124350000001
biocide__gluald_12h__2,1.0767758022,0.28718380400000004
biocide__gluald_12h__3,1.3363587574,0.36196178290000003
biocide__h2o2_12h__1,1.4762503339,0.08639768710000001
biocide__h2o2_12h__2,0.7430311802,0.443460962
biocide__h2o2_12h__3,1.2512154904,0.41011483330000004
biocide__2ppoh_12h__1,2.3876428426,0.3384979239
biocide__2ppoh_12h__2,2.3142340755,0.6175877003
biocide__2ppoh_12h__3,2.2171237577,0.3153771111
biocide__paa_12h__1,1.8212459614,-0.1994921294
biocide__paa_12h__2,1.0759383559,0.2859457755
biocide__paa_12h__3,0.6482769340000001,0.08454511690000001
biocide__phe_12h__1,0.4663826339,0.1734782417
biocide__phe_12h__2,0.7149184807000001,0.3204925726
biocide__phe_12h__3,1.8803533432,0.1266701225
biocide__pvp-i_12h__1,2.1935366431,-0.0601883444
biocide__pvp-i_12h__2,1.4300711445,0.2754878797
biocide__pvp-i_12h__3,1.6357896954000002,0.0830842535
biocide__bleach_12h__1,2.6169353204,0.0840693336
biocide__bleach_12h__2,1.9198755110999999,0.1449171544
biocide__bleach_12h__3,2.0626338746,0.2903892956
biocide__chx_12h__1,2.0533805255,0.5102110601000001
biocide__chx_12h__2,1.7830894129,0.1215470159
biocide__chx_12h__3,2.0322174893,0.2744409571
biocide__bzcl_30m__1,-0.36865146320000003,-0.09422671860000001
biocide__bzcl_30m__2,-0.6210685401,0.23250248810000002
biocide__bzcl_30m__3,-0.4672310787,-0.1602132986
biocide__phe_30m__1,0.8635529745,-0.3715007286
biocide__phe_30m__2,0.7705649883,-0.3728983522
biocide__phe_30m__3,-0.7904585713000001,0.2799175642
biocide__pvp-i_30m__1,0.7534327482000001,0.2516739328
biocide__pvp-i_30m__2,1.0836105478,0.2535224929
biocide__pvp-i_30m__3,0.6362999606,-0.1506460017
biocide__ctrl_12h__1,-0.3164566217,0.2193602281
biocide__ctrl_12h__2,0.6578569084,-0.031985642700000004
biocide__ctrl_12h__3,0.6558444889,0.23760235810000002
biocide__ctrl_30m__1,-0.7228395921,-0.045274533000000006
biocide__ctrl_30m__2,0.2521741381,-0.2723837933
biocide__ctrl_30m__3,0.4706654541,0.3176583263
clpP__wt__1,0.1172807664,-0.30152679400000004
clpP__wt_DPTA__1,2.1401590566,0.6365765427
clpP__wt__2,-0.8406067948,0.139254641
clpP__wt_DPTA__2,1.7333046182,1.0936293058
clpP__wt__3,0.7233260284,0.162272153
clpP__wt_DPTA__3,-0.8027290507,0.8309454303
clpP__delclpP__1,-0.13437509790000002,-1.3484680692
clpP__delclpP_DPTA__1,0.4234197481,-0.5602854558
clpP__delclpP__2,0.8984404888,-0.022891716000000003
clpP__delclpP_DPTA__2,1.8784878428,0.2652543884
clpP__delclpP__3,0.6365329677,-0.2912641474
clpP__delclpP_DPTA__3,1.7326062988,-0.6781341677
colombos2__delydcR__1,0.3350147331,-0.4659015446
colombos2__delydcR__2,1.3568823785,-0.1335904389
colombos2__delydcR__3,0.6503556494,-0.1003697555
colombos2__delyjiR__1,-1.3426817818,-0.4928964958
colombos2__delyjiR__2,-0.6644679288,0.1432239183
colombos2__delyjiR__3,-0.1815662086,0.21870790750000002
colombos2__wt__1,0.6725667618000001,0.1767169508
colombos2__wt__2,1.4200448623,-0.3720809592
colombos2__wt__3,-2.0926116242,0.19536400850000002
crp_k100__ar1_ar2__1,1.6676899465,-1.1536687939
crp_k100__ar1_ar2__2,1.599018738,-1.7012381393
crp_k100__ar1_ar2__3,1.2664757117,-1.4947640582
crp_k100__wt__1,-0.6065526965,-0.0275700689
crp_k100__wt__2,-0.5902781393000001,0.15120013270000002
crp_k100__wt__3,1.1968308358,-0.12363006380000001
crp_k100__K100Q__1,0.5851893804,-0.4656641676
crp_k100__K100Q__2,0.5407633477,-0.7266349352
crp_k100__K100R__1,0.1825730615,-0.3847664874
crp_k100__K100R__2,-0.0305007883,0.4975832834
crp_k100__K100R__3,1.1233529058,-0.011876829600000001
csrA__wt_t00__1,0.2910393981,-0.4021245297
csrA__wt_t02_30__1,2.5998319707,-1.0527949355
csrA__wt_t05__1,4.5218135141,-2.1519267539999998
csrA__wt_t10__1,6.6329516367,-3.3188991284
csrA__wt_t15__1,5.9327524174,-2.6669142406
csrA__delcsrA_t00__1,1.2601753429,0.1690805968
csrA__delcsrA_t02_30__1,4.9990981917,-1.497097862
csrA__delcsrA_t05__1,7.1240410815,-2.8965595918
csrA__delcsrA_t10__1,8.0369320508,-3.4165380972
csrA__delcsrA_t15__1,7.340800646,-2.5780953714
csrA__wt_t00__2,-0.2910393981,0.4021245297
csrA__wt_t02_30__2,3.1460918172,-0.5624280147
csrA__wt_t05__2,5.6022645637,-2.0048168118
csrA__wt_t10__2,7.1761726484,-3.0939599132
csrA__wt_t15__2,5.9152565212,-2.6462127811
csrA__delcsrA_t00__2,1.1635720971,-0.1810517114
csrA__delcsrA_t02_30__2,4.3157336936,-1.6686866668
csrA__delcsrA_t05__2,6.4486119311,-3.1685631105
csrA__delcsrA_t10__2,7.2240541003,-3.3207676142
csrA__delcsrA_t15__2,6.9753735144,-2.0846902457
cstr_pfr__str_0005m__1,0.10280272400000001,0.1713007716
cstr_pfr__str_0010m__1,0.1581552175,-0.033367692500000004
cstr_pfr__str_0025m__1,0.1026752145,0.3055449925
cstr_pfr__str_0045m__1,-0.0668994673,0.1048321745
cstr_pfr__str_0075m__1,0.4530958134,0.13648704
cstr_pfr__str_0120m__1,0.11978334,-0.0337145131
cstr_pfr__str_0210m__1,-0.00457612,0.0474163565
cstr_pfr__str_0330m__1,2.1248633274,0.2209396981
cstr_pfr__str_1500m__1,2.420921416,0.2168163116
cstr_pfr__str_1560m__1,-0.5177513381000001,-0.055620830100000004
cstr_pfr__str_1680m__1,-0.1516956424,0.0270282041
cstr_pfr__str_ref1__1,-0.09173246040000001,0.0767478466
cstr_pfr__str_ref2__1,-0.2469380784,0.0159201134
cstr_pfr__str_ref3__1,0.1384884805,0.043010846900000003
cstr_pfr__pfr_P5_0005m__1,0.2472328744,-0.24045627290000002
