,A,flhD
abx_mega__h2o-1b__2,1.2288917808,-0.7486896812
abx_mega__rfp_h2o__1,-12.0056746341,-0.1745971313
abx_mega__tet_h2o__1,-2.4499766388,1.306968395
abx_mega__flavo_dmso__1,-1.3713494951,-1.9880221804
abx_mega__zeocin_h2o__1,3.0981221862,0.4637735116
abx_mega__nor_naoh__3,1.0400393268,-0.3062661521
abx_mega__rach_dmso__2,3.7234906337,-0.15011868420000002
abx_mega__thio_dmso__2,-2.3697387583,0.0831291111
abx_mega__amyc-d_dmso__3,-12.7321050564,0.0607207949
abx_mega__rif_dmso__2,-5.1183798623,-0.1364899058
abx_mega__amyc-d_dmso__4,-3.6426664555,0.20054398140000002
abx_mega__teix_dmso__3,1.160140015,-0.5745220569
abx_mega__valin_dmso__1,-3.1649948636,-0.4139537404
abx_mega__teix_dmso__4,1.8097571559,-0.15704729750000002
abx_mega__ethanol-10__1,0.1120862089,0.49249635300000005
abx_mega__inh_h2o__1,3.5991515014,-0.3104736417
abx_mega__rif_dmso__3,-9.5332853584,-0.43504833860000003
abx_mega__van_dmso__3,-7.0826407941,-1.5174490577
abx_mega__doxo_dmso__1,-0.6529684356000001,-1.5549778523
abx_mega__tmp_dmso__1,-0.0110855306,0.24839610210000002
abx_mega__ethanol-10__2,2.7026316817,0.4977978239
abx_mega__tmp_dmso__2,0.23925286810000002,0.0442897882
abx_mega__amyc-d_dmso__5,-13.1080126128,-0.3345278946
abx_mega__novo_h2o__4,-1.4470118604,-1.5525288251
abx_mega__cro_h2o__2,3.5478189848,0.08404858080000001
abx_mega__cro_h2o__3,3.7962560444999998,0.014220288800000001
abx_mega__gen_h2o__2,-7.2413328838,-5.4271297658
abx_mega__phos_h2o__4,5.4735200439,-2.1347973825
abx_mega__metro_dmso__2,0.6745481337,0.1241881737
abx_mega__ery_h2o__2,-1.9711384237,0.6514211433
abx_mega__sacet_h2o__1,-13.7011258298,-1.2290970377
abx_mega__nal_naoh__5,1.3352472199,-0.3095138114
abx_mega__bacit_h2o__4,-2.5284453595,-3.3963695321
abx_mega__cip_naoh__3,0.4643307499,-0.006235324
abx_mega__ethanol-8__1,0.4163921848,0.12707968420000001
abx_mega__h2o-8a__1,1.1563661568999999,0.2065048893
abx_mega__ery_h2o__3,-1.6054345644999999,1.0557329767
abx_mega__flavo_dmso__2,3.348405862,0.2214268097
abx_mega__rif_dmso__4,-10.003626763,-0.3504350666
abx_mega__novo_h2o__5,-0.148451627,-2.7753189692999998
abx_mega__teix_dmso__5,2.3527052646,0.2172820481
abx_mega__naoh-2__1,3.4985054237,-0.6120320406
abx_mega__novo_h2o__6,-0.12427617290000001,-2.1435260193
abx_mega__ctx_h2o__3,4.4744329829,-0.1295221233
abx_mega__rach_dmso__3,4.5839968702,-0.2194067828
abx_mega__valin_dmso__2,-3.7779681339,-0.4133308842
abx_mega__amyc-d_dmso__6,-10.8256822162,-0.5270457155
abx_mega__dox_dmso__2,-0.4517375132,0.0187277888
abx_mega__teix_dmso__6,2.3774947618,0.0471940184
abx_mega__naoh-6__2,2.3409886363,0.06383159940000001
abx_mega__inh_h2o__2,-11.858329071,-1.3319311646
abx_mega__chl_h2o__3,-7.1982292759,0.8869315514
abx_mega__nal_naoh__6,1.2818751651,-0.1895489367
abx_mega__chl_dmso__2,-6.6553207653,-2.5762372585
abx_mega__rach_dmso__4,4.5041226534,-0.4694516748
abx_mega__teix_dmso__7,2.7221499657,0.4069309336
abx_mega__ceru_ethanol__1,-4.4258249918,-0.3228416099
abx_mega__dmso-7__1,2.986744948,0.3160195196
abx_mega__naoh-6__3,2.0278146939,0.16985497530000002
abx_mega__phos_ethanol__2,1.8883135168,0.7145446211
abx_mega__metro_dmso__3,1.3735116798,0.10043686900000001
abx_mega__van_dmso__4,-6.8716924894,-1.0968315312
abx_mega__h2o-10__1,2.9566533953,0.1534776173
abx_mega__h2o-10__2,2.0115696854,0.4429498888
abx_mega__dmso-6__3,1.5854617556,0.0131545627
abx_mega__mem_dmso__1,2.4547331924,0.3213024161
abx_mega__ethanol-8__2,-0.4074962724,-0.0302465963
abx_mega__chl_h2o__4,-5.8971191276,1.1739271801
abx_mega__van_h2o__1,-2.9539009091,-1.6613654743000001
abx_mega__dcs_h2o__1,1.6161330887,0.4405296272
abx_mega__rif_dmso__5,-2.8059351698,0.2476099294
abx_mega__dox_dmso__3,1.573271671,1.6616152994000002
abx_mega__mem_dmso__2,0.6136897832,-0.4419209753
abx_mega__lvx_dmso__2,1.6585589620999999,0.1712580785
abx_mega__tet_h2o__2,-7.4454843388,1.040503405
abx_mega__phos_h2o__5,5.2568381987,-2.0588765365
abx_mega__monac_dmso__1,-3.3262152228,-1.6912800863
abx_mega__str_h2o__3,3.8701983359,-0.16340206810000002
abx_mega__zeocin_h2o__2,0.3568504328,-2.0722140842
abx_mega__amyc-d_dmso__7,-12.4236729808,-0.9161229601
abx_mega__fidax_dmso__1,2.372724407,-0.16102312400000002
abx_mega__h2o-1a__1,0.053712333800000005,-0.1549375618
abx_mega__dox_dmso__4,1.7140790018,0.27465352590000003
abx_mega__lzd_dmso__2,0.33810719840000003,0.8065328923
abx_mega__tet_h2o__3,-1.618476819,1.3989402337999999
abx_mega__dmso-1__2,-1.2689479648,0.3106630419
abx_mega__sxt_dmso__2,0.0136602284,0.5956004334
abx_mega__tric_ethanol__2,-2.259025858,0.0555872779
abx_mega__teix_dmso__8,-0.2443886583,-0.7051069360000001
abx_mega__ramo_h2o__2,0.059059045000000004,-0.8484077354
abx_mega__inh_h2o__3,3.6227904265,0.290439
abx_mega__cst_h2o__3,0.3631160873,-0.3536148811
abx_mega__dmso-9__1,0.846311719,0.1851617341
abx_mega__ethanol-8__3,1.0934863474,-0.0377915444
abx_mega__monac_dmso__2,-4.8478280299000005,-2.1039566712
abx_mega__dmso-9__2,1.7772657304,0.2405649728
abx_mega__metro_dmso__4,-1.6782837725,0.5008920927
abx_mega__ctx_h2o__4,4.2362422161,0.16519066170000002
abx_mega__zeocin_h2o__3,-0.9855910766,-1.7995012003
abx_mega__bacit_h2o__5,-4.5912690221,-2.6144363982
abx_mega__reta_dmso__1,-0.8431743164000001,1.5987489174
abx_mega__ery_h2o__4,-9.9886697992,1.2417370797
abx_mega__ceru_ethanol__2,-12.9586108294,-0.8975576207
abx_mega__fidax_dmso__2,2.4522105621,-0.058265362200000004
abx_mega__novo_dmso__1,1.9215114813,-1.2534043243
abx_mega__naoh-6__4,2.8438388025,0.2549673472
abx_mega__amyc-d_dmso__8,-5.4233199468,0.1889560918
abx_mega__chl_dmso__3,-6.8001966302,-1.9734936504
abx_mega__nal_naoh__7,1.3723549256,0.1809473947
abx_mega__teix_dmso__9,2.954558046,-0.032168898200000004
abx_mega__ery_dmso__3,-3.419110464,0.6729862624
abx_mega__tmp_dmso__3,-0.4259607469,0.1304741243
abx_mega__sxt_dmso__3,3.1049205771,-0.5559198734
abx_mega__polmyx_h2o__4,4.4146126066,-2.2437957783
abx_mega__mem_dmso__3,0.5440799274,-0.2312379639
abx_mega__nal_naoh__8,2.7406217691,-1.7087825794
abx_mega__pen_h2o__3,-0.8164034882000001,-2.711141607
abx_mega__van_dmso__5,-6.7576845592,-1.6043742308
abx_mega__zeocin_h2o__4,1.4863332881,-2.0486492396
abx_mega__h2o-6__2,2.6307813284,0.1249593772
abx_mega__tet_h2o__4,-1.5840852425,1.139261169
abx_mega__nor_naoh__4,1.4798157516,0.2689302182
abx_mega__cip_naoh__4,0.0830143336,-0.08686519840000001
abx_mega__tmp_dmso__4,-1.9998304759,0.6542862954
abx_mega__reta_dmso__2,-1.8506057597,1.3264330443
abx_mega__mem_dmso__4,3.1642616621,-0.3722304765
abx_mega__dox_dmso__5,3.5323255298,1.6164499216000001
abx_mega__tmp_dmso__5,-0.3077652389,0.8392950461
abx_mega__flavo_dmso__3,3.9010337723,0.1675627381
abx_mega__tmp_dmso__6,-0.3932112602,1.0417814142
abx_mega__ceru_ethanol__3,-8.1240886317,-1.0423437452
abx_mega__teix_dmso__10,0.6064760962,-0.5269540065
abx_mega__novo_h2o__7,-0.2524097258,-2.5126281381
abx_mega__fidax_dmso__3,1.4770641954000001,0.30110703110000003
abx_mega__h2o-1a__2,-0.427402225,0.29867065940000004
abx_mega__dcs_h2o__2,1.7669942656000002,0.48125591360000003
abx_mega__cst_h2o__4,0.5558292492,0.0739121085
abx_mega__van_h2o__2,1.4983146224000001,-0.8892910738
abx_mega__pen_h2o__4,-1.8402117502,-2.0006843858
abx_mega__h2o-8b__2,2.4621593844,-0.2853568587
abx_mega__reta_dmso__3,-0.3253459641,1.5045400106
abx_mega__dmso-7__2,3.5234958428,0.37053766450000003
abx_mega__rfp_h2o__2,-12.2456940085,-0.42433838490000003
abx_mega__rif_dmso__6,-6.7113685712999995,-0.46470464170000003
abx_mega__sxt_dmso__4,2.8531950721,-0.469775221
abx_mega__cip_naoh__5,1.6989791217999999,0.3687961879
abx_mega__dmso-9__3,1.3169323119,0.1429697268
abx_mega__mem_dmso__5,2.5849261254,0.5009034045
abx_mega__tric_h2o__2,-3.1434150862,0.4456346606
abx_mega__phos_h2o__6,2.4777173284,-0.1683695024
abx_mega__h2o-7__2,2.9031608503,-0.0666233247
abx_mega__h2o-10__3,2.4955613017,0.611235341
abx_mega__h2o-8a__2,1.0846601037,0.0362649647
abx_mega__thio_dmso__3,1.9083048345,0.2686946999
abx_mega__lzd_dmso__3,-1.2452808954,0.9791252717000001
abx_mega__monac_dmso__3,-8.0980598865,-2.0906926065
abx_mega__polmyx_h2o__5,-2.3874154034,-0.1159719298
abx_mega__naoh-6__5,1.7921401311,0.50369673
abx_mega__teix_dmso__11,1.4119607147,-0.2960257477
abx_mega__van_h2o__3,1.2210849320000001,-1.4218939452
abx_mega__teix_dmso__12,1.0386568902,0.0307663404
abx_mega__dox_dmso__6,5.1726587454,-1.2346586511
abx_mega__teix_dmso__13,2.93642979,-3.2074936754
abx_mega__h2o-7__3,2.2064244272,0.0527688059
abx_mega__str_h2o__4,1.8765074483,-2.4217732221
abx_mega__tec_h2o__3,-1.1613821074,-5.8231530293
abx_mega__phos_h2o__7,2.3038150018,0.0201962293
abx_mega__chl_h2o__5,-5.6471826039,-0.9835073454000001
abx_mega__polmyx_h2o__6,5.1632766955000005,-2.5671311733
abx_mega__teix_dmso__14,1.5970736572000002,-0.424145137
abx_mega__rif_dmso__7,-4.2940630908,-0.2308542298
abx_mega__ramo_h2o__3,-0.6234188316,-0.9870838687000001
abx_mega__fidax_dmso__4,-0.7034110178,-0.2034823174
abx_mega__teix_dmso__15,3.3277376260000002,0.16858414060000002
abx_mega__thio_dmso__4,1.1351572591,0.43210670560000003
abx_mega__rif_dmso__8,-7.3147150244,-0.224424167
abx_mega__reta_dmso__4,-1.4714463225,1.0428947419
abx_mega__inh_h2o__4,-16.916341296,-1.8029791373
abx_mega__novo_dmso__2,2.8882135516,-0.6940539794
abx_mega__dcs_h2o__3,2.492784618,0.1419679679
abx_mega__h2o-8b__3,1.2810144479,0.030886044600000002
abx_mega__valin_dmso__3,-0.5689788575,-0.0912979268
abx_mega__h2o-2__1,4.8652082024,-0.7875611238
abx_mega__cro_h2o__4,3.0297739417,0.4310207592
abx_mega__dcs_h2o__4,1.8988559379,0.5430305698
abx_mega__str_h2o__5,3.3468482056,-0.1998231125
abx_mega__h2o-8a__3,2.1904395582,0.1860892888
abx_mega__dox_dmso__7,2.5138293329,0.08147411090000001
abx_mega__doxo_dmso__2,-0.2614947121,-1.1563486406
abx_mega__teix_dmso__16,2.863378868,-2.625494112
abx_mega__rfp_h2o__3,-12.3753366685,-0.5472169210000001
abx_mega__ethanol-10__3,-0.22037560220000002,0.36415424290000004
abx_mega__naoh-2__2,3.7531410463,-2.3869427232
abx_mega__van_h2o__4,-3.0138869805,-1.906028634
abx_mega__sacet_h2o__2,-10.6990270512,-1.4145638585
abx_mega__monac_dmso__4,-5.4183283928,-1.8603697220000002
abx_mega__h2o-2__2,5.1572563799,-1.9188034685000002
abx_mega__zeocin_h2o__5,3.2295357904,0.0514983252
abx_mega__nor_naoh__5,0.4427872181,0.2923641584
abx_mega__naoh-9__2,0.2624366245,0.3305108738
abx_mega__dmso-7__3,4.3149962317,0.2467031878
abx_mega__van_h2o__5,-3.8173527967,-1.3181315329
abx_mega__flavo_dmso__4,2.8222072091,-0.0055441088
abx_mega__novo_dmso__3,2.9344677784,-1.6834408341
abx_mega__polmyx_h2o__7,-0.6531110626000001,0.027803864
abx_mega__teix_dmso__17,2.3470670452,-0.1528420804
abx_mega__doxo_dmso__3,-0.0944965145,-1.9044594116
abx_mega__mem_dmso__6,1.1381758215,0.08815497230000001
abx_mega__h2o-1a__3,0.3736898912,-0.1437330976
abx_mega__bacit_dmso__3,-2.4759962332,-0.7025034063000001
abx_mega__dox_dmso__8,4.0930289624,-1.6862410402
abx_mega__teix_dmso__18,1.7818706189,-0.3803736298
abx_mega__h2o-6__3,1.5992367030999999,0.2141019017
abx_mega__pen_h2o__5,0.5611923132000001,0.1244511531
abx_mega__lzd_dmso__4,1.1137508649,1.109874804
abx_mega__daro__1,0.5966408538,0.3750634701
abx_mega__solv__1,-2.8007264055,-1.0697519619
abx_mega__daro__2,0.4048103658,0.388888086
abx_mega__daro__3,-3.3216786493,-0.8278409032
abx_mega__solv__2,2.3793682915,-0.0673906486
abx_mega__solv__3,-3.6231476531,-0.7106640040000001
abx_mega__dmso-4__1,-2.2567126909,0.3324556762
abx_mega__kirr_dmso__1,-6.193962393,0.751708515
abx_mega__kirr_dmso__2,-6.7993089791,0.1706864563
abx_mega__kirr_dmso__3,-8.9527813943,-1.1048454069
abx_mega__dmso-4__2,-2.6655093914,-0.2362637669
abx_mega__dmso-4__3,-2.142119736,0.1409204055
ackA_pta__dnaA46_del_ackA__1,-4.3695411794,0.6613201987
ackA_pta__dnaA46_del_ackA__2,-4.6604424419,1.4794870902000001
ackA_pta__dnaA46_del_ackA__3,-5.8298879625,0.23158525060000001
ackA_pta__dnaA46_del_pta__1,4.1939436447,1.9028208979
ackA_pta__dnaA46_del_pta__2,10.2860226278,1.4257873943
ackA_pta__dnaA46_del_pta__3,-8.5768392199,-0.39739635370000004
ackA_pta__dnaA46__1,5.290614354,0.2559522416
ackA_pta__dnaA46__2,-2.4940868309,-1.2695925862
ackA_pta__dnaA46__3,1.7530684651000001,0.5860647762
ackA_pta__del_ackA__1,-2.3491387576,0.5769239068
ackA_pta__del_ackA__2,-0.5065519607,1.7643585180999999
ackA_pta__del_ackA__3,-4.7181608392,-0.07310525200000001
ackA_pta__del_pta__1,0.0887194151,-0.8189000569
ackA_pta__del_pta__2,9.4933939407,1.8327607154
ackA_pta__del_pta__3,1.841656103,0.5403498835
ackA_pta__wt__1,7.0430959598,0.4632001806
ackA_pta__wt__2,-6.6210941627,-0.0436029046
ackA_pta__wt__3,-0.4220017971,-0.419597276
anticancer__5fu__1,-4.2912792935,-0.0329579824
anticancer__5fu__2,-5.2233961041,0.07025096680000001
anticancer__cap__1,-9.9265949945,-0.8396470155
anticancer__cap__2,-9.0772558032,-0.9340007810000001
anticancer__cap__3,-9.7341161234,-1.2715134080000001
anticancer__wt__1,-0.1358796475,-0.10470957460000001
anticancer__wt__2,0.2947301538,0.34923864860000003
anticancer__wt__3,-0.1588505063,-0.24452907410000002
anticancer__5fu__3,-2.1610366593,0.0523096651
bio_pln__aero_pln__1,0.850204964,-0.0678522287
bio_pln__aero_pln__2,-0.850204964,0.0678522287
bio_pln__anaero_pln__1,2.2590655405,-1.1878477988
bio_pln__anaero_pln__2,-2.4994374171000002,-1.2517164181
biocide__bzcl_12h__1,-2.2698758641,0.193340285
biocide__bzcl_12h__2,-20.639845621,-0.5914267834
biocide__bzcl_12h__3,-2.5373207303000003,0.2734094191
biocide__etoh_12h__1,-2.4199396415,0.9428209838
biocide__etoh_12h__2,-1.6514400594,1.0757307647
biocide__etoh_12h__3,-2.8721576918,0.8564269025
biocide__gluald_12h__1,-0.25746281600000004,0.10220530200000001
biocide__gluald_12h__2,-2.7767510249000003,0.1139361846
biocide__gluald_12h__3,-1.0540390615,-0.11092649010000001
biocide__h2o2_12h__1,0.4645838721,0.353585121
biocide__h2o2_12h__2,-0.1383763118,0.3169686276
biocide__h2o2_12h__3,-2.0080673064,0.2853507763
biocide__2ppoh_12h__1,-7.1268017438,1.2464314569
biocide__2ppoh_12h__2,-6.5537147209,1.1156092378
biocide__2ppoh_12h__3,-8.1928166063,1.2168093072
biocide__paa_12h__1,-2.7368451993000003,0.4531222882
biocide__paa_12h__2,-4.9895126991000005,0.0849771821
biocide__paa_12h__3,-12.6348685822,0.0542047061
biocide__phe_12h__1,-7.0287096991,0.3289434834
biocide__phe_12h__2,-4.8491630819000004,0.3944177162
biocide__phe_12h__3,-9.0591567819,0.4093135667
biocide__pvp-i_12h__1,-22.0844258307,0.007975878
biocide__pvp-i_12h__2,-2.6881583238999998,0.45932989300000004
biocide__pvp-i_12h__3,-16.5797193822,0.18721650880000001
biocide__bleach_12h__1,-5.1320892507,0.6277421682000001
biocide__bleach_12h__2,-5.9286736657,0.5066951962
biocide__bleach_12h__3,-4.5190905486,0.8243345851
biocide__chx_12h__1,-10.1872788337,-0.1078819932
biocide__chx_12h__2,-20.4493214248,0.1491508151
biocide__chx_12h__3,-18.1038457003,0.23041526040000002
biocide__bzcl_30m__1,-4.6529712823,-0.8812699358
biocide__bzcl_30m__2,-4.814804779,-0.9708382590000001
biocide__bzcl_30m__3,-4.4237524694,-0.9084985361000001
biocide__phe_30m__1,1.5828260029,0.4110527069
biocide__phe_30m__2,1.5100570937,0.30639707580000003
biocide__phe_30m__3,1.7562581669,0.3262299409
biocide__pvp-i_30m__1,-0.5834719196,-0.4982723724
biocide__pvp-i_30m__2,-0.6633704172,-0.2210559574
biocide__pvp-i_30m__3,-0.5817755145,-0.2832664814
biocide__ctrl_12h__1,0.4213868086,0.0401310318
biocide__ctrl_12h__2,1.6288458635,0.0809558508
biocide__ctrl_12h__3,1.1694791602,-0.13003067910000002
biocide__ctrl_30m__1,-0.0167347254,-0.10910965560000001
biocide__ctrl_30m__2,0.9705226667,0.1763596527
biocide__ctrl_30m__3,-0.9537879413,-0.0672499971
clpP__wt__1,-0.2477216586,-0.0074328300000000005
clpP__wt_DPTA__1,-4.1619139855,-3.4748841017
clpP__wt__2,0.6302371243,-0.054475716800000004
clpP__wt_DPTA__2,-3.4587103142,-5.9938744462999995
clpP__wt__3,-0.3825154657,0.061908546800000006
clpP__wt_DPTA__3,-4.2734225506,-4.4578481581
clpP__delclpP__1,6.7774975659,-0.48943210740000004
clpP__delclpP_DPTA__1,3.1268902533,-4.4658949138
clpP__delclpP__2,6.502851783,-0.40679910680000003
clpP__delclpP_DPTA__2,3.1443338731,-3.0120190817
clpP__delclpP__3,6.1588379963,-0.6540641608000001
clpP__delclpP_DPTA__3,3.6889213474,-4.2146658893
colombos2__delydcR__1,-3.0900738484,-1.5071729202
colombos2__delydcR__2,-0.15914868810000002,0.377584945
colombos2__delydcR__3,-1.0595118058,0.1348570805
colombos2__delyjiR__1,-3.2460967265,0.48265073740000003
colombos2__delyjiR__2,1.5090567047999999,0.8114547412
colombos2__delyjiR__3,0.46125943550000004,1.0881727617
colombos2__wt__1,-0.0225331731,0.4001568474
colombos2__wt__2,-0.7213576378000001,-0.3640717017
colombos2__wt__3,0.7438908109,-0.0360851457
crp_k100__ar1_ar2__1,-2.537163818,-1.637379927
crp_k100__ar1_ar2__2,-3.035838439,-2.2381857375
crp_k100__ar1_ar2__3,-4.6451363209,-1.0404597271
crp_k100__wt__1,0.46088906970000004,0.2374944027
crp_k100__wt__2,-0.5895924610000001,-0.3636544986
crp_k100__wt__3,0.1287033913,0.1261600958
crp_k100__K100Q__1,4.593373951,0.7431905399000001
crp_k100__K100Q__2,3.1010251166,-0.2684952144
crp_k100__K100R__1,0.062256654700000004,0.5216037867000001
crp_k100__K100R__2,0.4603872895,0.5617394316000001
crp_k100__K100R__3,-2.3311792293,0.15227617000000002
csrA__wt_t00__1,0.47867334180000004,-0.0620986362
csrA__wt_t02_30__1,-2.0395392481,-3.2715987926
csrA__wt_t05__1,-7.1574890723,-6.0450968358
csrA__wt_t10__1,-9.3829836215,-7.0720007684
csrA__wt_t15__1,-11.1034123231,-5.1016696883
csrA__delcsrA_t00__1,-4.0596946765,-0.6746072681
csrA__delcsrA_t02_30__1,-5.7412480302999995,-4.0725182556
csrA__delcsrA_t05__1,-11.91749122,-5.2576347235
csrA__delcsrA_t10__1,-13.5186127105,-5.5443298079000005
csrA__delcsrA_t15__1,-14.2116430872,-4.8742307114
csrA__wt_t00__2,-0.47867334180000004,0.0620986362
csrA__wt_t02_30__2,-2.4106618281,-3.7668688647
csrA__wt_t05__2,-7.7185086793,-6.0302114207
csrA__wt_t10__2,-9.9353589869,-5.5678172863
csrA__wt_t15__2,-10.9867272636,-4.7477775765
csrA__delcsrA_t00__2,-3.8624973654,-0.7532525272
csrA__delcsrA_t02_30__2,-6.5205985142,-4.732968834
csrA__delcsrA_t05__2,-11.6994074082,-5.1708579149
csrA__delcsrA_t10__2,-14.0808007923,-4.6981933730000005
csrA__delcsrA_t15__2,-15.0669102627,-3.4515412328
cstr_pfr__str_0005m__1,-0.2480543154,0.6305341544
cstr_pfr__str_0010m__1,3.3066494544,0.7321017639
cstr_pfr__str_0025m__1,9.2093197051,0.3252885951
cstr_pfr__str_0045m__1,11.1533894908,0.4274982942
cstr_pfr__str_0075m__1,11.8156866353,0.5361283461
cstr_pfr__str_0120m__1,11.6331965306,0.6318168788
cstr_pfr__str_0210m__1,10.9487887862,0.6071850585
cstr_pfr__str_0330m__1,8.7671503992,0.6065197727
cstr_pfr__str_1500m__1,6.6291550379,0.51433006
cstr_pfr__str_1560m__1,7.5249564897,0.5075289635
cstr_pfr__str_1680m__1,9.0435552946,0.634679324
cstr_pfr__str_ref1__1,0.0485557614,-0.0252230675
