,A,AraC,MhpR
abx_mega__van_dmso__2,-1.7815081467,-1.9028363004000002,0.7089768947
abx_mega__h2o-1b__1,0.4761402328,-0.9388676908,-0.7476004717
abx_mega__ery_h2o__1,-0.33820713620000004,-2.8308638417000003,-0.6724209878
abx_mega__bacit_h2o__1,1.9186350878,-1.5784736799,1.954296792
abx_mega__chl_h2o__2,-0.5780824653000001,-2.7822431581,0.9606397745
abx_mega__str_h2o__2,2.9771892896,-0.2012264937,1.0151670579
abx_mega__rfp_ethanol__2,0.5564950215000001,-0.8005493333,2.218771813
abx_mega__polmyx_h2o__2,0.8328726743,0.1261257606,-0.5980083190000001
abx_mega__tric_h2o__1,0.6857653012,0.5425608445,0.9939208512000001
abx_mega__cip_naoh__2,-0.0670141174,-0.41727983550000003,0.0284501947
abx_mega__novo_h2o__3,-0.25664922100000004,-2.7624742045,-0.1674937038
abx_mega__bacit_dmso__1,1.7244176986,-0.4154493281,1.7035083172
abx_mega__gen_h2o__1,0.2541307796,-1.2979988719,2.8834682171
abx_mega__bacit_dmso__2,2.4468351629000002,-0.3633957761,1.7154954174000001
abx_mega__chl_dmso__1,0.8096251003,-2.0657230627,2.7809132969
abx_mega__bacit_h2o__2,1.7082698551000002,-1.3950714663000001,1.4427180291
abx_mega__lvx_dmso__1,0.4445604214,-0.1715405253,-0.3621179661
abx_mega__bacit_h2o__3,1.4653146218,-1.4017871907,1.9255168273
abx_mega__nor_naoh__2,0.0600423436,-0.1286146481,0.3697540391
abx_mega__amyc-d_dmso__2,3.1872137216,-0.7130296072,1.3224526989
abx_mega__polmyx_h2o__3,-0.4771091054,0.1571639004,0.4737936633
abx_mega__naoh-6__1,0.2758038331,-0.13198737,-0.1436034076
abx_mega__cst_h2o__2,1.4163141743,-0.13781608110000002,1.0505656538
abx_mega__h2o-1b__2,0.13638078080000002,-1.7032481123,0.4184941379
abx_mega__rfp_h2o__1,1.4409166042,-1.721894962,2.1890026409
abx_mega__tet_h2o__1,0.8033739729,-1.3826615343,-0.8457322091
abx_mega__flavo_dmso__1,2.4405387766,-0.703893039,1.1981513109
abx_mega__zeocin_h2o__1,-0.0141721616,0.1992798034,-0.63781722
abx_mega__nor_naoh__3,-0.2136097629,-0.22328345770000002,0.1715852055
abx_mega__rach_dmso__2,-0.1774788434,0.09700152020000001,-0.29390618900000004
abx_mega__thio_dmso__2,-0.6120213326,-2.3775751339,2.0178421935
abx_mega__amyc-d_dmso__3,0.47830307780000003,-1.6265203636,1.2721556432
abx_mega__rif_dmso__2,2.6184420094,-0.2470166073,2.155867765
abx_mega__amyc-d_dmso__4,0.1252728922,-0.5304846896000001,0.8393949654
abx_mega__teix_dmso__3,0.307175297,-0.5827954015,-0.3743664947
abx_mega__valin_dmso__1,2.1893434631,-0.1144670554,1.7509635396
abx_mega__teix_dmso__4,0.40689223960000004,-0.21027483530000002,-0.032653301100000004
abx_mega__ethanol-10__1,-0.6322180901000001,0.2934146615,-0.7317117534
abx_mega__inh_h2o__1,-0.4983045334,0.23798271910000002,-0.6576684362
abx_mega__rif_dmso__3,0.9972585471000001,-1.2065523427,-0.0854274409
abx_mega__van_dmso__3,0.8710111376,-1.5952304348,2.0516175862
abx_mega__doxo_dmso__1,-2.3989642339,-1.0235835175,-1.1693992558
abx_mega__tmp_dmso__1,-1.0764831258,-0.085204691,-0.3947020611
abx_mega__ethanol-10__2,-0.07661774090000001,0.3840497986,-1.6259054733
abx_mega__tmp_dmso__2,-1.2999374642000001,-0.1295775135,-1.1728264523
abx_mega__amyc-d_dmso__5,0.0276168564,-1.6791754697,-0.12512373100000002
abx_mega__novo_h2o__4,2.884557689,-2.0555338134,0.6713338345000001
abx_mega__cro_h2o__2,-1.3679516386000001,-0.478531134,-1.7520630213000001
abx_mega__cro_h2o__3,-0.060417069500000004,-0.45791220650000003,-1.3063043167
abx_mega__gen_h2o__2,-0.1243610574,-1.4829716682,2.482580031
abx_mega__phos_h2o__4,-1.3527837914,0.3556386113,1.3544943047
abx_mega__metro_dmso__2,-0.6437390754,-0.22384842230000002,0.09075118930000001
abx_mega__ery_h2o__2,-1.2908640257,-2.4794746343,-0.3609580094
abx_mega__sacet_h2o__1,0.0245590068,-0.9369283614,0.43934749510000004
abx_mega__nal_naoh__5,-0.8785119261000001,-0.5599795972,-0.9386780489000001
abx_mega__bacit_h2o__4,1.6553696600999999,-1.4137996747,1.9891928848
abx_mega__cip_naoh__3,0.3307946057,-0.43034048340000003,-0.5275243405
abx_mega__ethanol-8__1,-0.14468395720000002,0.11503343840000001,-1.5222651614
abx_mega__h2o-8a__1,1.0591696747,0.053061311400000005,0.9483261157
abx_mega__ery_h2o__3,-0.5246649117000001,-2.4491983273,-0.4217547021
abx_mega__flavo_dmso__2,-0.5108637441,-0.4476866981,-1.0726809188
abx_mega__rif_dmso__4,1.7644365547,-1.2003500719,0.3163510533
abx_mega__novo_h2o__5,0.4950658256,-2.3563124448,0.21874546720000002
abx_mega__teix_dmso__5,-0.5414776920000001,0.24371076390000002,-0.2097697058
abx_mega__naoh-2__1,-1.6826467366,-0.3452426585,0.1274128856
abx_mega__novo_h2o__6,0.2826049107,-2.2030800557,-0.5579057693
abx_mega__ctx_h2o__3,-0.5800823271000001,-0.7004456449,-1.1937937067
abx_mega__rach_dmso__3,-0.2609250133,0.1858603044,-1.1624900499
abx_mega__valin_dmso__2,2.7545665488,-0.49181259520000004,1.0973678491
abx_mega__amyc-d_dmso__6,1.3180416277,-1.9535569744,1.3367389344
abx_mega__dox_dmso__2,2.3838108329,-0.1731089547,0.7035566835
abx_mega__teix_dmso__6,-0.8290248908000001,0.159166821,-1.7465569381
abx_mega__naoh-6__2,-0.5656290477,-0.3367642547,-0.25022001320000004
abx_mega__inh_h2o__2,1.756791765,0.22265716730000001,1.2818721429
abx_mega__chl_h2o__3,-0.8536613724000001,-2.5023493577,0.8306405731000001
abx_mega__nal_naoh__6,-1.026464718,-0.4580490052,-0.49587297830000004
abx_mega__chl_dmso__2,1.8066759511,-2.3114676682,2.6311570187999997
abx_mega__rach_dmso__4,-0.4932142957,0.1184889023,-0.7040797917
abx_mega__teix_dmso__7,-0.6702442565000001,0.0506089214,-1.1573225693
abx_mega__ceru_ethanol__1,2.1176218589,0.547078813,1.180104465
abx_mega__dmso-7__1,-0.2879660552,0.10745230300000001,-0.9300682345
abx_mega__naoh-6__3,-0.694428739,-0.0820446715,-0.1475273261
abx_mega__phos_ethanol__2,-1.0718247184,0.1456218145,-0.4998739793
abx_mega__metro_dmso__3,-0.8487879285000001,-0.2364175909,-1.129882428
abx_mega__van_dmso__4,0.6794632263,-1.2044199757,1.227703317
abx_mega__h2o-10__1,1.2771535876,-0.25034797610000004,-0.3668187036
abx_mega__h2o-10__2,0.0326738327,-0.0002104681,0.03234867
abx_mega__dmso-6__3,-0.4874796663,0.10630507380000001,0.2963541342
abx_mega__mem_dmso__1,-0.0882980539,-0.5718228188,-1.4606434477
abx_mega__ethanol-8__2,0.4402399853,0.5127082117,-0.1685820899
abx_mega__chl_h2o__4,-0.5686863843000001,-2.2511362472,0.8835097895
abx_mega__van_h2o__1,2.0315304514,-0.846418921,0.3534323834
abx_mega__dcs_h2o__1,-1.0395944776,-0.1488605466,-1.1573711184
abx_mega__rif_dmso__5,0.7381978013,-0.0948878242,0.279437215
abx_mega__dox_dmso__3,-0.2404368549,-0.3933031924,-0.5213457151
abx_mega__mem_dmso__2,0.2092275775,-0.31233717440000003,-0.5740614540000001
abx_mega__lvx_dmso__2,0.5767133497,0.0192734069,-0.4800674606
abx_mega__tet_h2o__2,0.5506910709,-1.8937014814,1.8962488131000002
abx_mega__phos_h2o__5,-2.6084635955,0.027877258000000002,0.4219728816
abx_mega__monac_dmso__1,1.1398264317,-1.4659348838000001,1.9418563729
abx_mega__str_h2o__3,0.1118154466,0.0464597208,-0.6542890913
abx_mega__zeocin_h2o__2,2.340728449,-0.2193500411,2.2167296481
abx_mega__amyc-d_dmso__7,0.7414589986,-1.7989543935,2.0101276699
abx_mega__fidax_dmso__1,-0.7928155379,0.028409734500000002,-1.5421061318
abx_mega__h2o-1a__1,0.5278456758,0.0862150357,0.2545527446
abx_mega__dox_dmso__4,0.5976062043,-0.0482564853,0.2938542242
abx_mega__lzd_dmso__2,0.22506375420000002,-3.1616010523,1.0222036632
abx_mega__tet_h2o__3,0.5621687633,-1.0567656231,-0.5190912999
abx_mega__dmso-1__2,0.426873928,0.0963046246,-0.4161972859
abx_mega__sxt_dmso__2,2.3517806389,-0.5213645469,0.2569719643
abx_mega__tric_ethanol__2,1.5504943973,0.0079538935,0.6072170104
abx_mega__teix_dmso__8,-0.6000005536,-0.9689951137,-1.6874705459000001
abx_mega__ramo_h2o__2,1.1123719345,-0.6268000924,0.8263223267
abx_mega__inh_h2o__3,-0.5418436371,0.0478843517,-0.5978558402
abx_mega__cst_h2o__3,-0.5861572988,-0.6588624331,-0.022263373700000002
abx_mega__dmso-9__1,0.8224988405,0.3566369728,-0.2116284292
abx_mega__ethanol-8__3,-0.041092328000000004,0.49874949760000004,-0.5129017279
abx_mega__monac_dmso__2,-0.4181699285,-1.9091636338,2.1754000532
abx_mega__dmso-9__2,-0.0440066452,0.1329814272,-0.3424168802
abx_mega__metro_dmso__4,1.8645940073,-0.1460945491,0.8270958636
abx_mega__ctx_h2o__4,-0.5733103531,-0.7929200398,-0.4791514014
abx_mega__zeocin_h2o__3,1.7010251313,-0.0367228703,2.3682976544
abx_mega__bacit_h2o__5,3.6702368267,-1.3738266623,2.6611693362
abx_mega__reta_dmso__1,0.3021671477,-2.4943252357,0.6169552715000001
abx_mega__ery_h2o__4,0.34812416,-2.3117116591,1.6152038690000001
abx_mega__ceru_ethanol__2,3.8370806818,-1.0753145103,3.084129067
abx_mega__fidax_dmso__2,-0.7056843803,0.2321140753,-0.3812428336
abx_mega__novo_dmso__1,0.9635813985,-1.4672421729,0.32140933590000004
abx_mega__naoh-6__4,-0.47186681140000003,-0.2938235313,-1.0256761254
abx_mega__amyc-d_dmso__8,1.1907366208,-0.7053492636,1.3500594184999999
abx_mega__chl_dmso__3,1.010028818,-2.3207841034,2.4203336688
abx_mega__nal_naoh__7,0.2360911232,-0.18087413800000002,-0.717377369
abx_mega__teix_dmso__9,-0.8224593067,-0.3075709452,-1.4004507664
abx_mega__ery_dmso__3,2.5140530206,-2.3794165591,-0.1915052619
abx_mega__tmp_dmso__3,-0.7684424019,-0.0529254267,-0.9707002113000001
abx_mega__sxt_dmso__3,-0.7538738849000001,-0.37905063180000004,-1.3180522609
abx_mega__polmyx_h2o__4,-1.8483404407,-0.25123992170000004,0.0634899973
abx_mega__mem_dmso__3,0.16494002330000002,0.1577350137,-0.2525096097
abx_mega__nal_naoh__8,-0.9031258452,-0.45317072690000004,-2.1310222703
abx_mega__pen_h2o__3,-0.3347473935,-0.1598881891,-1.0007214835
abx_mega__van_dmso__5,0.5443956745,-1.7919070750000001,0.9616991028
abx_mega__zeocin_h2o__4,2.019437704,-0.1743729558,2.4297458036
abx_mega__h2o-6__2,-0.5334869436,-0.3095258459,-0.7294724058000001
abx_mega__tet_h2o__4,0.46590343030000003,-1.4946339096,-1.0173022931
abx_mega__nor_naoh__4,0.4363384173,-0.2254973194,-0.6068838079000001
abx_mega__cip_naoh__4,0.10476904100000001,-0.1795804268,1.1722100124
abx_mega__tmp_dmso__4,-1.1641768024,-0.5225126395,-0.768377195
abx_mega__reta_dmso__2,-0.507895196,-2.5631822833999998,-0.4253096188
abx_mega__mem_dmso__4,-0.9222108347,-0.42122853520000003,-0.6943129362
abx_mega__dox_dmso__5,-0.8416668055000001,-1.3897364516000001,-0.8494286652
abx_mega__tmp_dmso__5,-0.24403330380000002,0.056781849200000005,-0.0932237618
abx_mega__flavo_dmso__3,-0.1662387695,-0.2637180717,-0.5532890913
abx_mega__tmp_dmso__6,0.0855963711,-0.4223037525,-0.7217056436
abx_mega__ceru_ethanol__3,3.8978791106,-0.4111707079,2.3237031743
abx_mega__teix_dmso__10,0.12258933600000001,-0.212061034,-0.7527166516
abx_mega__novo_h2o__7,-0.0764174606,-2.6425716662000003,0.2905906491
abx_mega__fidax_dmso__3,0.1050327556,-0.24898550600000002,-0.15691463490000002
abx_mega__h2o-1a__2,-0.3177931337,-0.07763572490000001,0.1909544473
abx_mega__dcs_h2o__2,-0.3906767956,-0.3616591693,-1.2210193603
abx_mega__cst_h2o__4,-1.2373297911,-0.5528680677,-0.18505158800000002
abx_mega__van_h2o__2,0.5744862518,-0.0968574704,-0.0299844117
abx_mega__pen_h2o__4,0.0003744242,-0.3291896603,-1.2951387925
abx_mega__h2o-8b__2,-0.3819051398,0.1218496854,-1.4701458976000001
abx_mega__reta_dmso__3,-1.6166861407000002,-2.0570174684,-0.8460824653000001
abx_mega__dmso-7__2,-1.0066137594,0.18326674010000002,-0.5672706856
abx_mega__rfp_h2o__2,1.4908804908,-1.9974102369,2.1575082755
abx_mega__rif_dmso__6,1.9555779172,-0.5054954175,2.1059659612
abx_mega__sxt_dmso__4,0.0249884169,-0.43450699410000004,-0.5873439955
abx_mega__cip_naoh__5,0.3627374755,-0.13206198160000002,-1.0311201535
abx_mega__dmso-9__3,-0.1817083058,-0.10932797400000001,-1.2719681775
abx_mega__mem_dmso__5,-0.3123182244,-0.3673388677,-1.5796316474
abx_mega__tric_h2o__2,0.2474517688,0.7465268941000001,0.7314861459
abx_mega__phos_h2o__6,-0.4200498742,-0.1076671946,-0.6636075488000001
abx_mega__h2o-7__2,1.2611326171,-0.2244082628,-0.7326420086000001
abx_mega__h2o-10__3,0.20918792730000002,0.0378985681,-0.13191977330000002
abx_mega__h2o-8a__2,1.4109208236000002,-0.0838353275,0.7762553539
abx_mega__thio_dmso__3,-0.5634361096,-1.3785861158000001,0.0821115941
abx_mega__lzd_dmso__3,0.0499063363,-2.1439553285,-0.803933922
abx_mega__monac_dmso__3,1.6804511068,-1.7176139944000002,2.6398611744
abx_mega__polmyx_h2o__5,-0.2385613363,-0.7038560519,-0.29005948260000003
abx_mega__naoh-6__5,-0.5116903179,-0.2750303032,0.16791577870000002
abx_mega__teix_dmso__11,-0.19542151160000001,-0.3022286233,-0.4692310719
abx_mega__van_h2o__3,0.5416788604,-0.5910745067000001,0.0508349108
abx_mega__teix_dmso__12,0.3512750244,-0.3012074275,-0.8607602107000001
abx_mega__dox_dmso__6,-1.7585737957,0.3710022224,0.6250588202
abx_mega__teix_dmso__13,0.3161674678,-0.4588786078,-0.23300897180000002
abx_mega__h2o-7__3,-0.0642872733,-0.5555293678000001,-1.4259320338
abx_mega__str_h2o__4,0.3532085184,-0.2255390982,-0.2001864496
abx_mega__tec_h2o__3,-0.3059317353,-1.3047117525,1.8955956357
abx_mega__phos_h2o__7,-0.4474348802,-0.2048207501,-0.49179795930000003
abx_mega__chl_h2o__5,-0.9015272830000001,-3.1010898568,0.8702229945000001
abx_mega__polmyx_h2o__6,-0.415976149,-0.056900738400000005,0.9643920841
abx_mega__teix_dmso__14,-0.648618251,-0.4112242366,-0.4168269027
abx_mega__rif_dmso__7,0.5572303203,-0.2665941099,1.5006829027
abx_mega__ramo_h2o__3,1.0772145031,-0.47617261260000004,1.5151552308
abx_mega__fidax_dmso__4,-0.5002048316000001,-0.2630940167,0.11663074920000001
abx_mega__teix_dmso__15,-0.5068990703,-0.279368693,-0.4840765869
abx_mega__thio_dmso__4,-0.6383349711,-1.6023567415,-0.8441560991
abx_mega__rif_dmso__8,2.0649701592,-0.7298957134,2.4938310746
abx_mega__reta_dmso__4,-0.48282750430000004,-2.4867481237,-0.1242844253
abx_mega__inh_h2o__4,1.5541667381000002,0.4021689513,1.2546950194
abx_mega__novo_dmso__2,1.0161332579,-0.6992999798,0.2339545956
abx_mega__dcs_h2o__3,0.0909540762,-0.4109316254,-1.862542171
abx_mega__h2o-8b__3,0.10111662980000001,-0.13881554910000002,-0.8155352041
abx_mega__valin_dmso__3,0.0111116815,-0.2052562632,0.8298657409
abx_mega__h2o-2__1,-3.1061005013,0.0979390597,1.1860960655000001
abx_mega__cro_h2o__4,0.7587809909000001,-0.022097971,-0.5106572319
abx_mega__dcs_h2o__4,-1.4392172643,-0.0817643834,-0.9887307221
abx_mega__str_h2o__5,-0.1336494986,0.1955236081,-1.2341888588
abx_mega__h2o-8a__3,2.1026958378,-0.1708997647,0.5996057759
abx_mega__dox_dmso__7,-0.4370558969,-0.027947055800000002,-0.1703736555
abx_mega__doxo_dmso__2,-3.7610573957,-1.1418768114,-1.307545954
abx_mega__teix_dmso__16,0.1445659471,-0.6609093103,0.0709174469
abx_mega__rfp_h2o__3,1.4520287929,-2.4952396923,1.8414645851
abx_mega__ethanol-10__3,-1.2551555624000001,0.41787943400000005,0.5295422470000001
abx_mega__naoh-2__2,0.15634643850000002,0.0200884164,0.30276196240000003
abx_mega__van_h2o__4,1.6736903683,-0.8869361229,0.7032489128
abx_mega__sacet_h2o__2,-0.3016736832,-0.8285906114,1.1759321139
abx_mega__monac_dmso__4,0.47424591260000004,-1.4735142487,2.5963685598
abx_mega__h2o-2__2,-0.8854543971000001,0.4126663426,1.8030406074
abx_mega__zeocin_h2o__5,0.0848076452,-0.0236227842,-0.11681138120000001
abx_mega__nor_naoh__5,-0.0363533262,-0.3950397102,-0.6781494548
abx_mega__naoh-9__2,0.1697656833,-0.1240741058,-0.5383002105
abx_mega__dmso-7__3,-0.4423121427,0.3185737126,-0.3987631801
abx_mega__van_h2o__5,1.4064197927,-1.3686232170000001,0.4881161412
abx_mega__flavo_dmso__4,-1.2920846562000001,-0.2726692187,-0.5552902559
abx_mega__novo_dmso__3,0.214572795,-1.6564461993,0.3648020503
abx_mega__polmyx_h2o__7,-0.4115518065,-0.3043366785,-1.4558026703
abx_mega__teix_dmso__17,-0.9202663934,0.1399591047,-1.2897942197
abx_mega__doxo_dmso__3,-3.0552316727,-1.8086614186,-0.4593913918
abx_mega__mem_dmso__6,-0.2124650209,-0.006764379300000001,-0.2918864742
abx_mega__h2o-1a__3,-0.21005254210000002,-0.0085793108,-0.44550719180000004
abx_mega__bacit_dmso__3,3.9573475072,-0.4816302826,2.6744171579
abx_mega__dox_dmso__8,-1.8178093679,-0.1569137343,-0.5859780449
abx_mega__teix_dmso__18,0.22001322450000002,-0.1563210085,-0.2607587716
abx_mega__h2o-6__3,-0.7662383026,-0.0136788076,-0.279808751
abx_mega__pen_h2o__5,0.8504906519000001,0.1203046812,-0.1354259167
abx_mega__lzd_dmso__4,-0.5632349407,-1.4862005189,-0.046110404300000005
abx_mega__daro__1,1.5385240151000001,-1.0588247803,1.9640984243
abx_mega__solv__1,1.3471598785,-2.0029311293,0.2748085501
abx_mega__daro__2,1.864919897,-0.9245423601,2.5255125312
abx_mega__daro__3,2.0333219936,-0.3249801873,2.3774741145
abx_mega__solv__2,-0.0296132479,-2.699385826,0.1518099872
abx_mega__solv__3,2.6006122637,-0.3799286649,2.7153137061
abx_mega__dmso-4__1,2.4546283067,0.2240048772,1.7134924851000002
abx_mega__kirr_dmso__1,1.1862183492,-2.4710928281,1.1041938491
abx_mega__kirr_dmso__2,0.5846483138,-2.6004645492,0.9962084915
abx_mega__kirr_dmso__3,0.3688152759,-2.7948438925,1.7465334956
abx_mega__dmso-4__2,2.5272902915,0.1644718487,1.8560802181
abx_mega__dmso-4__3,2.2976158583,0.207254765,1.3200284502000001
ackA_pta__dnaA46_del_ackA__1,0.791427603,0.3539826571,1.9964152253
ackA_pta__dnaA46_del_ackA__2,1.5686842416,1.0934174754,3.061374221
ackA_pta__dnaA46_del_ackA__3,0.8703827182,0.1360030186,1.8049151449
ackA_pta__dnaA46_del_pta__1,0.9528074753,2.1891895966,5.133273088
ackA_pta__dnaA46_del_pta__2,0.2800634917,-0.07661756210000001,1.5358780754999999
ackA_pta__dnaA46_del_pta__3,0.9116968372,0.0891211593,1.5721487537
ackA_pta__dnaA46__1,0.1589889455,-0.0542186211,0.0137540087
ackA_pta__dnaA46__2,0.5952785231000001,-0.649903914,0.7887361183
ackA_pta__dnaA46__3,-0.18258795400000002,0.1723656547,-0.082917714
ackA_pta__del_ackA__1,0.0834470247,0.6316702245,1.7150990021
ackA_pta__del_ackA__2,1.3347230811,1.8969275324,4.4732373146
ackA_pta__del_ackA__3,0.0364066896,0.6246078780000001,1.5244414353
ackA_pta__del_pta__1,-0.0584553769,-0.9738678341,0.3225133033
ackA_pta__del_pta__2,-0.5373299923,0.17273660640000002,1.7148435293
ackA_pta__del_pta__3,-0.3942313724,0.3030769795,1.3311891755
ackA_pta__wt__1,0.3219404641,0.47697085380000004,0.1734504131
ackA_pta__wt__2,-0.1921523877,-0.17769135390000002,-0.1092075027
ackA_pta__wt__3,-0.1297880764,-0.2992794998,-0.0642429104
anticancer__5fu__1,-0.6713962746000001,-0.6697234750000001,-3.0530998422
anticancer__5fu__2,-0.5650718372,-0.41662013800000003,-3.2717749978
anticancer__cap__1,-0.1510225636,1.3343980527000001,-1.0659279985
anticancer__cap__2,-0.2699635769,0.8628168303,-1.5747803364
anticancer__cap__3,-0.4953713715,0.7815814401000001,-1.6824911164
anticancer__wt__1,0.2692769268,-0.5609568427,-0.45964758510000003
anticancer__wt__2,-0.0505170712,-0.2539684797,0.027046345500000003
anticancer__wt__3,-0.2187598557,0.8149253224,0.4326012396
anticancer__5fu__3,-1.0184088327,-1.6145397685,-2.90619884
bio_pln__aero_pln__1,0.0150673651,-0.1561439127,0.041532654200000005
bio_pln__aero_pln__2,-0.0150673651,0.1561439127,-0.041532654200000005
bio_pln__anaero_pln__1,0.23855982180000002,-0.5396536888,0.1871661755
bio_pln__anaero_pln__2,-1.1337869737,-1.2037875344,-1.0252404186
biocide__bzcl_12h__1,-1.1146362545,0.4453460675,0.6097884012
biocide__bzcl_12h__2,-0.49282303050000004,0.39491177180000003,0.464672727
biocide__bzcl_12h__3,-0.4647313605,0.463263152,0.3364485695
biocide__etoh_12h__1,-2.2097783898,0.15879715760000002,-0.0707882246
biocide__etoh_12h__2,-1.7614072172,-0.12038182500000001,-0.45244213780000003
biocide__etoh_12h__3,-1.8574078121,-0.2370977045,-0.3373432002
