,A,Cra,Crp
abx_mega__ethanol-8__1,0.7437442768,1.1846757806000001,-0.0590977866
abx_mega__h2o-8a__1,-0.5596445241,-0.1143937765,-0.22081801820000002
abx_mega__ery_h2o__3,-2.7639866374,-2.2488264197,-2.3057897995
abx_mega__flavo_dmso__2,0.4668288921,0.5414791011,-0.3165443482
abx_mega__rif_dmso__4,-0.3108186656,-1.7994636388,-1.5399098517
abx_mega__novo_h2o__5,-1.0613346721,-2.8797694036,-0.3411830033
abx_mega__teix_dmso__5,0.4509644458,0.7292042436,-0.0340696975
abx_mega__naoh-2__1,-1.591540503,0.1506402454,-0.31705369640000003
abx_mega__novo_h2o__6,-1.4242786265,-2.2825630053,-0.5697764494
abx_mega__ctx_h2o__3,0.0286755365,0.5598154293000001,-0.31765341210000003
abx_mega__rach_dmso__3,0.7764113553,0.0412895322,-0.25011430100000004
abx_mega__valin_dmso__2,-1.8054297136000002,-0.39142262170000003,-0.8373204843000001
abx_mega__amyc-d_dmso__6,-0.2248696885,-1.5052256722,-1.2728116676
abx_mega__dox_dmso__2,-0.2605933805,-0.4343343082,-0.025511662
abx_mega__teix_dmso__6,0.9724401754,0.9490607440000001,0.1480773849
abx_mega__naoh-6__2,0.1260440314,-0.13238774720000002,0.1439389809
abx_mega__inh_h2o__2,1.2618267068,-0.282860869,0.0779751018
abx_mega__chl_h2o__3,-1.3487995908000001,-1.5334891602,-2.8414442095
abx_mega__nal_naoh__6,-0.7783153804,-0.5990392219,0.0426535923
abx_mega__chl_dmso__2,-0.06819373890000001,-0.9108944941,-1.6022828696
abx_mega__rach_dmso__4,0.3636999213,0.6804196523,-0.0800003088
abx_mega__teix_dmso__7,0.4488274385,0.7349275142,0.0001683552
abx_mega__ceru_ethanol__1,1.6917940790000001,0.6911968565000001,0.1315329539
abx_mega__dmso-7__1,0.3019545643,0.6084073021,-0.1486598298
abx_mega__naoh-6__3,0.2723944339,0.0359138691,0.232671539
abx_mega__phos_ethanol__2,0.0086483839,0.5805534557,0.2168248136
abx_mega__metro_dmso__3,-1.2877814023,-1.2865579975,-0.3791651303
abx_mega__van_dmso__4,0.0786380061,-1.8854855527,-0.8353134788000001
abx_mega__h2o-10__1,1.2223572467000001,-0.3937749486,-0.0202364792
abx_mega__h2o-10__2,1.0844297416,0.0569337061,-0.0607073754
abx_mega__dmso-6__3,-0.277545198,0.1522864267,-0.2527744328
abx_mega__mem_dmso__1,0.49198244690000004,0.1717118156,-0.1981004934
abx_mega__ethanol-8__2,0.0230024118,1.0669769225,-0.021523506600000002
abx_mega__chl_h2o__4,-1.0157142736,-1.5300362451,-2.6700349591
abx_mega__van_h2o__1,-0.5335000784,-0.9539721666000001,-0.9103162108
abx_mega__dcs_h2o__1,-0.27468275400000003,0.49571781130000003,0.0943710534
abx_mega__rif_dmso__5,0.2537920341,-0.3398812852,-0.1829334597
abx_mega__dox_dmso__3,-1.3917595428,-0.40342935360000004,-0.3972091841
abx_mega__mem_dmso__2,-0.5869213038000001,0.1689494005,-0.2638287498
abx_mega__lvx_dmso__2,-1.01832492,0.0972084373,0.0417388443
abx_mega__tet_h2o__2,-2.7811696284,-1.0433339282,-2.2693012292
abx_mega__phos_h2o__5,-2.4399195371,0.6151469783,-0.1972134109
abx_mega__monac_dmso__1,-0.2446580154,-0.8081406531,-0.8663395759
abx_mega__str_h2o__3,0.27180893300000003,0.249143368,0.1259657223
abx_mega__zeocin_h2o__2,-3.0349841084,0.4965244495,-0.6476176532
abx_mega__amyc-d_dmso__7,-1.2199062724,-1.209235546,-1.42088019
abx_mega__fidax_dmso__1,0.2958881263,0.6527414339000001,0.007690172800000001
abx_mega__h2o-1a__1,-0.231348506,0.075576312,0.0575483496
abx_mega__dox_dmso__4,0.42415871400000005,-0.2659597963,0.2665585241
abx_mega__lzd_dmso__2,-1.4582154332,-1.8484214817,-1.9463157999
abx_mega__tet_h2o__3,-0.9180936531,-1.436213482,-1.5689931018
abx_mega__dmso-1__2,0.160268452,0.292098705,-0.0638843971
abx_mega__sxt_dmso__2,-1.0273788341,-0.6780960715000001,-0.6176702001000001
abx_mega__tric_ethanol__2,0.9202477554,0.48036271620000004,-0.058214080700000004
abx_mega__teix_dmso__8,0.0853670135,-0.6009751059,-0.3208467193
abx_mega__ramo_h2o__2,-0.267810532,-0.1478295309,-0.3043319677
abx_mega__inh_h2o__3,0.7480079328,0.7750522138,0.2263080572
abx_mega__cst_h2o__3,-0.9535467703,-0.6969591940000001,-0.6604587882
abx_mega__dmso-9__1,-0.8699957078,0.47815821950000004,0.1652363888
abx_mega__ethanol-8__3,0.503155146,0.9893608411,0.073808526
abx_mega__monac_dmso__2,-0.7113652288,-1.2653026277000001,-1.4421129371
abx_mega__dmso-9__2,-1.0492825991,0.4184569051,0.0124821121
abx_mega__metro_dmso__4,-0.3261526718,-1.1638421847,-0.0624036472
abx_mega__ctx_h2o__4,0.1780830686,0.5863456874,-0.3304413054
abx_mega__zeocin_h2o__3,-3.7215827451,0.5650166218,-0.8187488844
abx_mega__bacit_h2o__5,-2.0619683282,-1.0984562915,-0.6212632720000001
abx_mega__reta_dmso__1,-1.9771255313,-2.0109253777,-2.0377494386
abx_mega__ery_h2o__4,-2.3311388182,-1.3485028145,-2.3919325405
abx_mega__ceru_ethanol__2,0.5480324577,-0.5280297472000001,-0.2507206522
abx_mega__fidax_dmso__2,-0.14552023420000001,0.6857065432,0.07346573220000001
abx_mega__novo_dmso__1,0.3049286885,-1.6318165128,0.3143882568
abx_mega__naoh-6__4,-0.028130883000000002,-0.06482303040000001,0.1617989176
abx_mega__amyc-d_dmso__8,-0.6247717011,-1.0195210225,-0.4081937196
abx_mega__chl_dmso__3,-0.2964059639,-0.9328703077,-1.7002395932
abx_mega__nal_naoh__7,-0.7668182356000001,0.4973491512,0.1538530863
abx_mega__teix_dmso__9,1.1435842996,0.8080966286,0.1414549701
abx_mega__ery_dmso__3,-0.7967443135000001,-1.5690303947,-1.7943494913
abx_mega__tmp_dmso__3,-0.6221712212,-0.193287018,0.2193526747
abx_mega__sxt_dmso__3,0.3241635914,0.7843616708000001,-0.3849941899
abx_mega__polmyx_h2o__4,-2.2933754421,0.2772773824,-0.732440443
abx_mega__mem_dmso__3,-0.3875574156,0.4312175016,0.1017285234
abx_mega__nal_naoh__8,-2.3168489663000003,0.1371330278,-0.2163555027
abx_mega__pen_h2o__3,-1.2730730533,0.0880159845,-0.1832599433
abx_mega__van_dmso__5,0.9360140119,-2.0064355262,-0.9702752261
abx_mega__zeocin_h2o__4,-3.4174123126,0.7160194373000001,-0.7029806271
abx_mega__h2o-6__2,0.070798146,-0.0219061857,0.2689052974
abx_mega__tet_h2o__4,-0.8966711407,-1.7401859745000001,-1.7485042558
abx_mega__nor_naoh__4,-0.7048185129,-0.13764546290000002,0.2638014382
abx_mega__cip_naoh__4,-0.3045112678,-0.12439889450000001,0.1813226141
abx_mega__tmp_dmso__4,-0.7512464588000001,-0.4953257364,-0.0659537084
abx_mega__reta_dmso__2,-3.0501622012,-1.8144474763,-2.6935232182
abx_mega__mem_dmso__4,0.2036693649,0.6515780167,-0.24608755940000002
abx_mega__dox_dmso__5,-0.2171139191,-0.6463130855,-1.4072956342
abx_mega__tmp_dmso__5,-1.5400953572,0.5590132598,0.13500124700000002
abx_mega__flavo_dmso__3,0.5038843915,0.7377327490000001,-0.16266356510000002
abx_mega__tmp_dmso__6,-1.0024875116,0.3955473585,-0.08100398930000001
abx_mega__ceru_ethanol__3,2.0277872128,-0.5943358821,-0.0203257193
abx_mega__teix_dmso__10,0.2074222201,-0.312031323,-0.0864598209
abx_mega__novo_h2o__7,-0.19571640610000002,-2.7418967045000002,0.09512308080000001
abx_mega__fidax_dmso__3,-0.5002121152,0.0787107762,0.056592892000000006
abx_mega__h2o-1a__2,0.3071328323,-0.0775931141,-0.0203162279
abx_mega__dcs_h2o__2,0.1504574142,0.0086808589,0.08127249760000001
abx_mega__cst_h2o__4,-0.8550931644,-0.5439747382,-0.42764759150000003
abx_mega__van_h2o__2,-0.5229400297,0.24816900530000002,-0.3318785326
abx_mega__pen_h2o__4,-1.7600686418,0.519782485,-0.1072682971
abx_mega__h2o-8b__2,0.6011863064,0.7406089015,0.2832759084
abx_mega__reta_dmso__3,-1.9609330226,-1.6564637059,-2.220698214
abx_mega__dmso-7__2,0.3147782955,0.9828303522,-0.324421403
abx_mega__rfp_h2o__2,-0.7069601179,-1.9493855193,-2.078741852
abx_mega__rif_dmso__6,-0.6433306943,-0.7389979591,-0.8986833081000001
abx_mega__sxt_dmso__4,1.0846699207,0.5831883902,-0.39061972300000003
abx_mega__cip_naoh__5,0.5474026994,-0.0400861278,0.5302146851
abx_mega__dmso-9__3,-0.7824954779000001,0.38496605300000003,-0.0648156579
abx_mega__mem_dmso__5,0.9197620304,0.3057779418,-0.2015433442
abx_mega__tric_h2o__2,1.4026612471,1.0814096019,0.0561230447
abx_mega__phos_h2o__6,-0.08381992340000001,0.2956034265,0.1840419059
abx_mega__h2o-7__2,0.3656852586,0.8273412322,-0.0687134662
abx_mega__h2o-10__3,0.6281130847,-0.018987965000000002,-0.0029101905
abx_mega__h2o-8a__2,-0.2256122854,-0.2574594905,-0.2414092729
abx_mega__thio_dmso__3,-1.5198020437,-0.5142443918,-1.3992598427
abx_mega__lzd_dmso__3,-1.2654274326000001,-1.1588349234,-1.4757436121
abx_mega__monac_dmso__3,-2.069519573,-2.0864197647,-1.5239909109
abx_mega__polmyx_h2o__5,-0.5288168266000001,-0.1191076226,-0.5778881676000001
abx_mega__naoh-6__5,0.0309655352,-0.0897675072,0.2383405456
abx_mega__teix_dmso__11,0.630902092,0.0465704776,0.2231626615
abx_mega__van_h2o__3,0.0211261591,0.21144293290000002,-0.6145709097000001
abx_mega__teix_dmso__12,-1.1085018153,0.283038642,0.0065499987
abx_mega__dox_dmso__6,-1.8649354488,0.45653899740000004,-0.2166458346
abx_mega__teix_dmso__13,-0.6368889343,0.32208788390000004,-0.6082655704000001
abx_mega__h2o-7__3,0.5136009996,0.6984863627,0.012213341
abx_mega__str_h2o__4,-6.268911672,0.44962913320000003,-0.8489028276
abx_mega__tec_h2o__3,-4.3425959183,-0.29761332700000004,-1.5276697252
abx_mega__phos_h2o__7,0.3482619138,0.24874925080000002,0.23647347670000002
abx_mega__chl_h2o__5,-2.4345871901000002,-2.5241991852,-2.8546736802
abx_mega__polmyx_h2o__6,-4.2883685311,0.5041823862,-0.6676717403
abx_mega__teix_dmso__14,0.14284487740000001,-0.07935981040000001,0.10364661430000001
abx_mega__rif_dmso__7,-1.4396740053000001,-0.5268674811,-0.8174938777
abx_mega__ramo_h2o__3,-0.8580600122,-0.281593315,-0.1972418484
abx_mega__fidax_dmso__4,-0.615130656,0.2033202929,-0.2550231206
abx_mega__teix_dmso__15,0.127534428,0.5636834894,-0.1637807405
abx_mega__thio_dmso__4,-0.9092050016000001,-0.8255073678,-1.3135012281
abx_mega__rif_dmso__8,-1.2387934512,-1.0206736848,-1.2176583871
abx_mega__reta_dmso__4,-2.4031558918,-1.8980427306,-2.7449780099
abx_mega__inh_h2o__4,1.9183161704,0.2258569543,0.1674650962
abx_mega__novo_dmso__2,1.3641712326,-1.6487574424,0.7184192778
abx_mega__dcs_h2o__3,-0.1351128436,0.09299178670000001,-0.0899811296
abx_mega__h2o-8b__3,-0.43622213120000003,0.5694757752,-0.0284053616
abx_mega__valin_dmso__3,0.10156718740000001,-0.6313929308,-0.4440190169
abx_mega__h2o-2__1,-2.2801012975,0.8258952332,-0.3742459546
abx_mega__cro_h2o__4,-0.3732815349,0.29548445300000004,-0.0823108953
abx_mega__dcs_h2o__4,-0.2014793534,0.5130989705,0.19009073370000001
abx_mega__str_h2o__5,0.28714833700000003,0.4155179375,0.1230572979
abx_mega__h2o-8a__3,0.0552042009,-0.1913457136,-0.3090692798
abx_mega__dox_dmso__7,0.23143161040000002,-0.1410658997,0.1271493457
abx_mega__doxo_dmso__2,4.5741513499,1.4793937737,-0.057352962300000004
abx_mega__teix_dmso__16,-0.051275443000000004,0.1245718457,-0.7911037301
abx_mega__rfp_h2o__3,-0.9750180225,-1.9795885468,-2.2550692285
abx_mega__ethanol-10__3,1.1768515685,1.1656597673,0.09459037740000001
abx_mega__naoh-2__2,-1.1619194384,0.7298784328,-0.3417330189
abx_mega__van_h2o__4,-0.9919879576,-1.0022617801,-0.7655932475
abx_mega__sacet_h2o__2,-1.7644181496,0.0681248837,-0.8230648089
abx_mega__monac_dmso__4,-0.8982912162000001,-0.9495351296000001,-1.0244460877
abx_mega__h2o-2__2,-2.7240639149,1.0371807026,-0.3020521984
abx_mega__zeocin_h2o__5,0.5786816672,0.4756949567,0.0940214917
abx_mega__nor_naoh__5,-0.7358300807,0.0868518041,0.0455558508
abx_mega__naoh-9__2,-1.0392182909,0.42244225,0.22416250880000002
abx_mega__dmso-7__3,0.4947875105,1.0194817082,-0.4554145486
abx_mega__van_h2o__5,-0.3913717445,-1.1289858779,-0.9496879326000001
abx_mega__flavo_dmso__4,0.4920498111,0.6369146846,-0.14394191280000002
abx_mega__novo_dmso__3,0.4238129077,-2.0136736217,0.257330798
abx_mega__polmyx_h2o__7,0.1474784442,-0.0123311545,-0.3373228733
abx_mega__teix_dmso__17,0.7163323527000001,0.8593728504,0.035948117
abx_mega__doxo_dmso__3,2.586367144,1.236099305,-0.3182627866
abx_mega__mem_dmso__6,-1.0189184454,0.2800178371,-0.1118469182
abx_mega__h2o-1a__3,-0.0757843263,0.0020168021,-0.0372321217
abx_mega__bacit_dmso__3,-0.12137457460000001,-0.7998925456,-0.4922607946
abx_mega__dox_dmso__8,-2.6833419919,0.4150453168,-0.4416388787
abx_mega__teix_dmso__18,0.3510018972,0.0781070613,0.0105278607
abx_mega__h2o-6__3,-0.3093796264,0.0856897742,0.2876777482
abx_mega__pen_h2o__5,0.7859136392,-0.1534797292,-0.1645882529
abx_mega__lzd_dmso__4,-0.9550506341,-0.748016454,-0.8421746734000001
abx_mega__daro__1,-0.4665760604,-0.20705187460000002,-0.7797289048
abx_mega__solv__1,0.2710952499,-1.0056856991,-0.9412126322000001
abx_mega__daro__2,-0.41577047450000004,-0.1504947225,-0.555678611
abx_mega__daro__3,-0.1376287169,-0.0780020468,-0.38526479500000005
abx_mega__solv__2,-0.39756141910000004,-1.6227949732,-1.0984957077
abx_mega__solv__3,-0.2405673402,0.1739395561,-0.4458656036
abx_mega__dmso-4__1,-0.6564404530000001,0.1111824897,-0.23661516940000002
abx_mega__kirr_dmso__1,-2.1297577992,-1.6871165206,-1.8181327083
abx_mega__kirr_dmso__2,-2.1919601723,-1.8467455325,-2.037821897
abx_mega__kirr_dmso__3,-2.577982443,-1.8338820872000001,-2.2059426753
abx_mega__dmso-4__2,-1.5158056814,0.13301290840000002,-0.4792645071
abx_mega__dmso-4__3,-0.4854908556,0.0656847635,-0.054275376300000004
ackA_pta__dnaA46_del_ackA__1,0.6381278632,0.1905030133,1.2971935035
ackA_pta__dnaA46_del_ackA__2,-0.0662272654,0.7383686660000001,2.020927993
ackA_pta__dnaA46_del_ackA__3,0.44905760050000004,0.3439561471,0.5760517667
ackA_pta__dnaA46_del_pta__1,-0.4059811089,1.2068888213,2.383091682
ackA_pta__dnaA46_del_pta__2,-1.640744384,-0.095472335,1.2512872247
ackA_pta__dnaA46_del_pta__3,-0.0814392895,0.5830917221,1.4331106707
ackA_pta__dnaA46__1,0.4334786373,0.0403262807,0.1517886605
ackA_pta__dnaA46__2,-0.5624582247000001,0.1194841707,-0.2646015759
ackA_pta__dnaA46__3,1.030086209,-0.0049074938,0.256464884
ackA_pta__del_ackA__1,0.8104320403,0.4546612642,0.9591927252
ackA_pta__del_ackA__2,-0.2745001107,1.2432007328,2.5388323397
ackA_pta__del_ackA__3,0.3197391795,0.1714729243,0.9744724369000001
ackA_pta__del_pta__1,-0.4996483861,-0.5463070987,-0.30103145470000003
ackA_pta__del_pta__2,-1.7510906846,0.1378789785,1.2020478367
ackA_pta__del_pta__3,0.4641752702,0.1307434928,0.7380002376
ackA_pta__wt__1,0.9091924544000001,0.0512744329,0.0829169912
ackA_pta__wt__2,-0.5434462431,-0.0855589727,-0.075921268
ackA_pta__wt__3,-0.3657462113,0.0342845398,-0.006995723200000001
anticancer__5fu__1,0.6455873414000001,-1.5009690278,-0.2546401567
anticancer__5fu__2,0.3476186926,-1.1179878452,-0.30518404320000003
anticancer__cap__1,1.6711627073000002,-0.6506346825,-0.5181824078
anticancer__cap__2,1.9667084537,-1.0372223915,-0.675081557
anticancer__cap__3,2.1790202252,-1.067575678,-0.7835359689
anticancer__wt__1,0.6148772254,-0.15142821580000002,0.2440588662
anticancer__wt__2,-0.0971834206,0.0827449849,-0.0309117965
anticancer__wt__3,-0.5176938048,0.0686832309,-0.21314706960000002
anticancer__5fu__3,0.3273146422,-2.014499793,-0.39514538390000004
bio_pln__aero_pln__1,-0.10009147980000001,0.23210094990000002,0.1831441383
bio_pln__aero_pln__2,0.10009147980000001,-0.23210094990000002,-0.1831441383
bio_pln__anaero_pln__1,-0.4991025067,0.26515645800000004,-0.1003374077
bio_pln__anaero_pln__2,-0.5906577575,0.2561928144,-0.0489066405
biocide__bzcl_12h__1,-0.3956403993,-0.10761919830000001,-0.1152614403
biocide__bzcl_12h__2,0.12475628150000001,-0.178994125,0.33069778580000003
biocide__bzcl_12h__3,-0.7474191546000001,-0.2006570477,0.0395780566
biocide__etoh_12h__1,-0.6111474306,-0.30697530840000004,0.0799160108
biocide__etoh_12h__2,-0.4320755624,-0.4269761587,0.13476163600000002
