,A,SaeR
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-0.29428353500000004,8.9776447322
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,1.031183185,9.1734955296
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,-2.061936476,9.0671563866
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-0.167241032,9.0541766586
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,0.41381943,8.972746035
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,0.29212970800000004,8.867902835
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,-0.327668877,8.9703882368
USA300_LAC_ICA-Set001_R10LB_Control_1,17.19166154,11.2305531624
USA300_LAC_ICA-Set001_R10LB_Control_2,17.32279048,11.2558505493
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,17.20866111,11.319733834200001
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,17.44664361,11.3345711355
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,5.191515374,9.4718561527
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,3.928369867,9.5184802699
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,10.99312008,11.2332289857
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,7.954539225,10.7860683392
USA300_TCH1516_BK-Set001_THB_Control_1,4.519251212,7.4214481729
USA300_TCH1516_BK-Set001_THB_Control_2,5.998852012,9.0053180077
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,8.344308637,9.6437016089
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,8.84001457,9.7646843121
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,8.227537847,10.1894907503
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,13.49691389,9.8900675505
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,6.894457426,9.3703453685
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,7.153546235,9.0716802836
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,1.209236211,9.3593087494
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,0.197543206,9.3849187702
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,0.12637117,9.3481211598
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,0.2482617,9.1675824539
USA300_LAC_ICA-Set002_CAMHB_Control_1,-2.37513724,9.3223419149
USA300_LAC_ICA-Set002_CAMHB_Control_2,-3.317003112,9.3348481792
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,13.02124265,11.0259186796
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,14.74015024,11.1106796115
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,7.525092823,9.9642140036
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,9.337069484,10.1319036998
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,-0.33979675800000003,9.366481448
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,1.863474985,9.5201252332
USA300_SNFM1_ICA-Set002_R10LB_Control_1,28.27198644,11.6153549804
USA300_SNFM1_ICA-Set002_R10LB_Control_2,29.01757493,11.7125999387
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,3.643447813,9.1884522756
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,3.7021769620000002,9.2264901205
USA300_SNFR19_ICA-Set002_R10LB_Control_1,7.522921409,9.7482298842
USA300_SNFR19_ICA-Set002_R10LB_Control_2,8.824159879,9.8036745836
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,-0.17921555800000002,9.1373785406
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,0.17921555800000002,9.1232682038
USA300_TCH1516_ICA-Set002_R10LB_Control_1,25.80124621,10.7206028842
USA300_TCH1516_ICA-Set002_R10LB_Control_2,23.79519114,10.7700231998
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,20.19831648,8.2547728824
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,-5.28327499,8.4038075567
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,20.10915417,8.2130569508
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,-2.603697582,8.4671320705
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-5.796666726,8.177123093
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-3.725276574,8.2653717124
USA300_TCH1516_ICA-Set003_2gLGalactose_1,-3.137140318,8.4728586976
USA300_TCH1516_ICA-Set003_2gLGalactose_2,-3.757877661,8.3695957203
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,-9.459799357,7.6027163502
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,-7.368047309,7.5182624342
USA300_TCH1516_ICA-Set003_Control_1,-5.297657476,8.2928640346
USA300_TCH1516_ICA-Set003_Control_2,-4.515035943,8.2914959944
USA300_TCH1516_ICA-Set003_StationaryPhase_1,-0.288726511,8.7314231912
USA300_TCH1516_ICA-Set003_StationaryPhase_2,-1.422330817,8.6616363966
