,A,LicR
LPh_2,4.5632772151,0.058533333300000004
LPh_3,4.6143206137,-0.3951666667
LPhT_1,4.0994192141,0.0409333333
LPhT_2,3.0405126265,0.06303333330000001
LPhT_3,4.0929455198,0.5060333333
SMMPr_1,-0.0892801643,-0.47646666670000004
SMMPr_2,1.3955449056,-0.3572666667
SMMPr_3,1.4317986832,-0.33586666670000004
HiTm_1,11.6079241682,-0.0894666667
HiTm_2,8.0595501459,-0.0228666667
HiTm_3,8.3885573415,0.4519333333
LoTm_1,4.2409895042,0.1186333333
LoTm_2,3.0332555487,-0.0355666667
LoTm_3,3.2973533186,-0.0404666667
HiOs_1,-0.031327908,0.24353333330000002
HiOs_2,0.3935179279,0.09793333330000001
HiOs_3,0.4571338566,0.23243333330000002
BMM_1,2.3643813219,-0.1284666667
BMM_2,2.7912697555,-0.30866666670000004
BMM_3,4.9941975127,-0.1324666667
Heat_1,9.1946451225,0.6857333333
Heat_2,8.9181760373,0.4388333333
Heat_3,9.4905281472,0.2536333333
Cold_1,7.3249996436,-0.9136666667000001
Cold_2,8.8316313898,-1.4139666667
Cold_3,8.8078454473,-1.7556666667
Etha_1,-2.1702705252,-1.0074666667
Etha_2,-0.9981269734,-1.2619666667
Etha_3,-1.7307433215999999,-1.1031666667
SMM_1,-0.8994921711,-0.2751666667
SMM_2,-1.4346430641,-0.2561666667
SMM_3,-1.5196511444,-0.0955666667
Salt_1,6.9882467831,-0.5788666667
Salt_2,7.3605464462,-0.4158666667
Salt_3,7.9212195499,-0.48256666670000004
Mt0_1,5.2412401788,-0.5775666667
Mt0_3,4.2574547745,-0.47806666670000003
M0t45_1,0.38725994900000005,-0.0506666667
M0t45_2,4.3315867351,-0.8604666667
M0t45_3,1.1374744917,0.1677333333
M0t90_1,-2.8877604615,-0.24636666670000001
M0t90_2,-5.3937520763,0.7985333333
M0t90_3,-5.0586472649,0.6684333333
M40t45_1,1.8630496204,-0.44426666670000003
M40t45_2,7.2709711107,1.2769333333000001
M40t45_3,1.3592810178999999,0.3896333333
M40t90_1,-4.0085787704,0.2426333333
M40t90_2,-5.1472793074,0.7884333333
M40t90_3,-4.0151902001,0.8951333333
dia0_1,3.454252833,-0.9957666667
dia0_2,4.7041238628,-0.5210666667
dia0_3,4.3960819279,-0.4323666667
dia5_1,1.0595241097,-0.033566666700000004
dia5_2,3.3419766098,-0.5554666667
dia5_3,3.5252433506000003,-0.7913666667
dia15_1,18.9436913595,-0.5159666667
dia15_2,16.1548342482,-0.0093666667
dia15_3,4.6007120255,-0.2020666667
Diami_1,3.6401628944,-0.9670666667000001
Diami_2,4.798244131,-0.9147666667000001
Diami_3,6.0144111431,-0.8790666667
Paraq_1,8.5603556258,-0.4052666667
Paraq_2,10.6415884722,-0.0576666667
Paraq_3,8.960700600300001,-1.2459666667
H2O2_1,13.8858620596,0.11103333330000001
H2O2_2,15.4066517718,0.3329333333
H2O2_3,16.520510995,0.4007333333
Oxctl_1,6.1092137055,-0.9706666667
Oxctl_2,7.0151493215,-0.6883666667
Oxctl_3,8.7481470744,-0.2388666667
GM-0.1_1,-0.7251307106,-0.24326666670000002
GM-0.2_1,-0.2769300214,-0.09116666670000001
GM+5_1,-0.7565961679000001,-0.5809666667
GM+15_1,-1.3615281396,-0.030466666700000002
GM+25_1,-0.9747693377000001,0.14093333330000002
GM+45_1,-0.4921214513,0.0923333333
GM+60_1,-1.2698567217,0.0072333333
GM+90_1,-0.7110192782,0.0163333333
GM+120_1,0.954490464,-0.7303666667000001
GM+150_1,-0.07182447880000001,-0.5042666667
GM-0.1_2,-0.88374657,0.3365333333
GM-0.2_2,0.0679054583,0.2609333333
GM+5_2,-0.3904846699,-0.0821666667
GM+10_2,-0.12058006710000001,-0.1430666667
GM+15_2,0.3280171334,-0.2977666667
GM+25_2,0.3125008144,-0.1604666667
GM+45_2,1.4397690814000002,-1.0021666667
GM+60_2,1.8779730532,-0.9584666667
GM+90_2,0.9219574576,-0.1433666667
GM+150_2,-2.8769893078,-0.9793666667
GM-0.1_3,-1.5299613562999999,0.0962333333
GM-0.2_3,-2.2731667783000002,0.0896333333
GM+5_3,-2.118453054,0.0705333333
GM+10_3,-0.29925890180000003,-1.0719666667
GM+15_3,-1.0465250631,-0.3355666667
GM+25_3,-0.42665176520000003,-0.7071666667000001
GM+45_3,0.6010229828,-0.5243666667
GM+60_3,1.0115359797,-0.8930666667
GM+90_3,0.5520092982,-0.5618666667000001
GM+120_3,2.2780616824,-0.5075666667000001
GM+150_3,-0.09358114320000001,-0.48966666670000003
MG-0.1_1,-0.0325353114,0.0541333333
MG+5_1,2.6816134285,0.0428333333
MG+10_1,1.959148646,0.5015333333
MG+15_1,3.3232303616,-0.5220666667
MG+25_1,3.5049527384,-0.20956666670000001
MG+45_1,4.2176081864,-0.3959666667
MG+120_1,-0.4477321356,-0.3304666667
MG+150_1,-1.8742603029,-0.3420666667
MG-0.1_2,0.48047900470000005,-0.8005666667
MG-0.2_2,-0.3086821783,-0.2321666667
MG+5_2,2.6724208957,0.0564333333
MG+10_2,2.4545561471,0.1836333333
MG+15_2,3.3525902017,0.6507333333
MG+25_2,4.1862645451,-0.39586666670000004
MG+45_2,2.8702708693,-0.6793666667
MG+60_2,2.4055604273,-0.2641666667
MG+90_2,1.8754307173,-0.5906666667
MG+120_2,-2.0463766791,0.38573333330000004
MG-0.1_3,1.3746804615000001,0.5835333333
MG-0.2_3,2.1760171304,-0.0361666667
MG+5_3,4.915397759,0.0557333333
MG+10_3,5.0069910418,-0.4637666667
MG+15_3,4.2789434421,0.2530333333
MG+25_3,5.2201661124,-0.1318666667
MG+45_3,3.5948432252,0.4251333333
MG+60_3,3.6464539197,0.0912333333
MG+90_3,2.236794424,-0.035266666700000004
MG+120_3,-0.421640999,-0.0698666667
MG+150_3,-2.0645408993,-0.3482666667
